[00:00:04.400 --> 00:00:05.040]  And welcome back.
[00:07:29.114 --> 00:07:38.858]  Now, just think about what happens tomorrow if President Obama suddenly announces that we're going to have a bank holiday in the current crisis to try to straighten things out.
[00:07:39.399 --> 00:07:45.161]  And, you know, Wednesday, Friday, he said it's only going to last through next Wednesday.
[00:07:45.661 --> 00:07:46.001]  OK?
[00:07:46.361 --> 00:07:47.582]  A lot of bills to pay between
[00:07:47.642 --> 00:07:52.047]  Yeah, it doesn't sound too bad on that point, but then think about it.
[00:07:52.127 --> 00:08:00.618]  That means until next Wednesday, you can't deposit money, you can't withdraw money, you can't use your ATM, and you can't use your credit cards.
[00:08:00.678 --> 00:08:01.198]  Exactly.
[00:08:01.539 --> 00:08:03.441]  This place would fall into chaos, wouldn't it?
[00:08:03.681 --> 00:08:09.065]  Oh yeah, especially you've got that long weekend between... It would definitely, definitely be a drab weekend.
[00:08:09.406 --> 00:08:12.308]  So what would you recommend to somebody, not just here in the States, but anywhere?
[00:08:12.588 --> 00:08:16.271]  You know, they have the money in the bank, would you recommend withdrawing funds?
[00:08:16.331 --> 00:08:17.632]  Get your money out of the bank!
[00:08:18.433 --> 00:08:23.137]  You should only keep enough money in the bank to pay a month or two ahead in bills.
[00:08:23.857 --> 00:08:28.301]  And everything else, if it's in paper, then you're running a risk.
[00:08:29.113 --> 00:08:30.254]  And what would you do with it?
[00:08:30.394 --> 00:08:30.774]  I don't know.
[00:08:30.834 --> 00:08:33.716]  Some people say buy gold, but then I don't know.
[00:08:34.116 --> 00:08:35.217]  You can't eat gold.
[00:08:35.677 --> 00:08:35.877]  Yeah.
[00:08:36.097 --> 00:08:41.220]  You know, I would say buy property, buy tangible assets, buy tomato seeds.
[00:08:42.961 --> 00:08:44.402]  You know, just anything.
[00:08:44.462 --> 00:08:45.422]  Tangible assets.
[00:08:45.923 --> 00:08:46.363]  Exactly.
[00:08:47.403 --> 00:08:49.965]  They're trying to take guns away right now, but you know what?
[00:08:50.998 --> 00:08:57.464]  In the history of the world, a quality firearm has done nothing but appreciate value.
[00:08:58.245 --> 00:09:02.389]  We just saw that recently with the recent gun grab, you know, after the Sandy Hook shooting.
[00:09:03.150 --> 00:09:05.552]  And, you know, the price of an AR-15 was, what, $1,000?
[00:09:05.592 --> 00:09:06.773]  And what's it, $5,000 plus AK-47s?
[00:09:06.793 --> 00:09:10.156]  You used to be able to get those maybe $400 or $500 back in the day.
[00:09:10.176 --> 00:09:10.737]  Now they'll start at $1,000?
[00:09:14.660 --> 00:09:35.724]  Back in the day, I remember you could get those plastic 15-30 round clips for the 10-22 for five or six bucks, and then they tried to outlaw them, and you could still get them because it was grandfathered, so anyone that were already existing, you could still sell and trade, so it really didn't do anything.
[00:09:35.764 --> 00:09:39.305]  They were still available, but instead of five or six bucks, it went to more than $100.
[00:09:41.906 --> 00:09:44.287]  Folks, this is what happens all through history.
[00:09:45.207 --> 00:09:56.194]  The day before they passed the Volstead Act, which was prohibition, a little pint of hooch cost about
[00:09:57.354 --> 00:09:57.595]  About $3.
[00:09:58.215 --> 00:10:04.620]  And then the next day, after that became illegal, you know, it was like $50 or $60.
[00:10:05.221 --> 00:10:11.626]  All in the world you do is create a huge black market, and the criminals get rich.
[00:10:12.747 --> 00:10:16.270]  Now we hear the popular argument speaking about the gun grab.
[00:10:16.550 --> 00:10:23.016]  They say, well, we saw Feinstein, I believe it was last week, say, well, I don't want people to have guns because I don't want people to be able to go out and buy a bazooka.
[00:10:24.159 --> 00:10:33.724]  And my argument is, you know, if you have bazookas, the lack of availability of a bazooka, or at least the ammunition for it, I think is reasonable control enough.
[00:10:33.924 --> 00:10:40.087]  You know, you can't go to your big box store and buy, you know, a bazooka ammunition if you ask for what they're going to call an ATF on you.
[00:10:41.348 --> 00:10:41.548]  Right.
[00:10:42.168 --> 00:10:44.970]  And I'd ask you this.
[00:10:46.900 --> 00:10:49.384]  When's the last time you heard of somebody killed by a bazooka?
[00:10:49.824 --> 00:10:51.186]  Not in the U.S.
[00:10:51.527 --> 00:10:53.489]  I can't recall ever hearing somebody.
[00:10:54.351 --> 00:10:55.412]  People just don't get it.
[00:10:55.592 --> 00:11:01.260]  I mean, if strict gun control laws would actually rid the streets of crime,
[00:11:02.742 --> 00:11:04.003]  What happened to Chicago?
[00:11:04.763 --> 00:11:19.510]  That's the case point in question, because they always say, get the guns off the street, get the guns off the street, and then they hear about all these shootings in Chicago, which there are shootings, but these aren't your law-abiding citizens who, you know, accidentally shoot their dog when somebody breaks into their house.
[00:11:19.890 --> 00:11:22.611]  These are the criminals who never forfeited their guns.
[00:11:22.891 --> 00:11:25.492]  These are the criminals who are getting their guns off the black market.
[00:11:25.532 --> 00:11:29.294]  So how does this logic work that you get guns out of law-abiding citizens?
[00:11:29.514 --> 00:11:33.418]  Well, and Chicago has some of the toughest anti-gun laws in the whole country.
[00:11:33.438 --> 00:11:35.020]  Same thing with Washington, D.C.
[00:11:35.600 --> 00:11:40.626]  So here's two of the places with the toughest gun laws, and they have the highest crime and highest murder rates.
[00:11:41.507 --> 00:11:42.888]  Come on, folks, use your head!
[00:11:43.729 --> 00:11:44.370]  It's that simple.
[00:11:45.751 --> 00:11:47.012]  It's nuts.
[00:11:48.134 --> 00:11:50.476]  And besides that, we have a Constitution that says
[00:11:51.798 --> 00:11:55.822]  The right of the people to bear arms shall not be infringed.
[00:11:56.302 --> 00:11:58.705]  Infringed means you don't even mess around with it.
[00:11:59.245 --> 00:12:08.874]  And personally, I think it's a God-given right, because as the old quote goes, God created everyone equal, but Samuel Colt made them equal.
[00:12:10.355 --> 00:12:11.016]  I never heard of that.
[00:12:11.036 --> 00:12:11.596]  That's a good one.
[00:12:11.696 --> 00:12:15.519]  Well, you know, you got a 90-pound, 72-year-old woman.
[00:12:16.440 --> 00:12:26.047]  If she's got a 45, she's just as... She can oppose the 65-220 guy, you know?
[00:12:26.228 --> 00:12:26.948]  It's really true.
[00:12:27.829 --> 00:12:33.893]  And then, of course, the argument is, well, yes, but we've had all these shootings here, all these shooting deaths in the United States.
[00:12:34.474 --> 00:12:35.735]  They're twisting the facts.
[00:12:36.235 --> 00:12:41.499]  Number one, their statistics are technically correct, but then they say, but see, Britain doesn't have that high.
[00:12:41.539 --> 00:12:43.040]  Well, no, Britain ain't got any guns.
[00:12:43.080 --> 00:12:43.761]  They gave them up.
[00:12:44.021 --> 00:12:44.582]  Exactly.
[00:12:44.862 --> 00:12:47.224]  And of course, so that's going to skew the numbers.
[00:12:47.304 --> 00:12:49.926]  But over there, they kill with an axe or they'll stab you.
[00:12:49.986 --> 00:12:50.306]  Exactly.
[00:12:50.326 --> 00:12:54.209]  But even in Britain, they have their crime statistics staggered a little differently.
[00:12:54.249 --> 00:12:58.512]  Like, for example, in the U.S., let's say three people were shot in a drive-by shooting.
[00:12:58.532 --> 00:13:00.073]  That's three different incidents.
[00:13:00.214 --> 00:13:03.296]  If three people were shot by a drive-by shooting in Britain, that's one incident.
[00:13:03.596 --> 00:13:04.037]  We're good to go.
[00:13:17.142 --> 00:13:21.744]  Number one, this has got an explanation of the Exchange Stabilization Fund in there.
[00:13:22.164 --> 00:13:29.188]  It also quotes from the 2011 study to show that just this handful of people control the economy of the world.
[00:13:29.928 --> 00:13:41.493]  Basically, the whole back part of the book is the New World Order, and with the numbers, statistics, facts, to show you that it goes beyond conspiracy theory.
[00:13:41.613 --> 00:13:45.135]  Now, my question that I bring up in here is, well, who are these folks?
[00:13:45.735 --> 00:13:49.256]  And why do they think they have the right to rule over everyone?
[00:13:50.156 --> 00:13:52.897]  And what I find is it tracks all the way back through history.
[00:13:53.497 --> 00:14:05.180]  What I was really shocked and amazed at is that in 2000, the selection of 2000, Bush, George W. Bush, of course, was running against Al Gore.
[00:14:06.021 --> 00:14:08.381]  And we now know that Al Gore won the election.
[00:14:09.602 --> 00:14:11.222]  But they stopped the count in Florida.
[00:14:11.898 --> 00:14:16.705]  And the Supreme Court gave it to Bush, so that's the selection of 2000.
[00:14:18.107 --> 00:14:27.720]  But yet, I knew that was going to happen, because there was some stories from England
[00:14:29.442 --> 00:14:41.552]  On this prestigious genealogical study, Burke's peerage, and they said that Bush would get the presidency because although he and Gore were both related,
[00:14:42.705 --> 00:14:46.586]  And they were both related to the royal family of England, the Windsors.
[00:14:47.146 --> 00:14:49.647]  The Bushes were a little closer related.
[00:14:49.907 --> 00:14:58.089]  So he'd get it because in the history of the United States, every president that's the closest to the royals of England gets the nod.
[00:14:58.129 --> 00:15:06.550]  And I'm glad you bring that up because I hear this often that, you know, all these guys are related and Obama is supposedly related to Cheney or something like that.
[00:15:06.811 --> 00:15:08.751]  Can you explain a little bit about how that works?
[00:15:09.031 --> 00:15:19.802]  Well, that's the thing that blew me away, is that I knew that from 2000, and I knew that John Kerry, who ran against Bush in 2004, I knew that they were related.
[00:15:20.163 --> 00:15:24.868]  And they were both members of Skull and Bones, that secret society, etc, etc.
[00:15:25.488 --> 00:15:28.471]  And so I'm figuring, well, they're all keeping it in the family here.
[00:15:29.292 --> 00:15:33.775]  But then I thought, well, Barack Hussein Obama, how can he be related, right?
[00:15:34.376 --> 00:15:35.897]  It turns out, he is.
[00:15:36.897 --> 00:15:49.866]  And this is not me, not some conspiracy theorist, this is Lynne Cheney, the wife of Dick Cheney, who said as she was researching their family's history, they find out that Obama is a, I think, a tenth cousin.
[00:15:50.587 --> 00:15:51.067]  You know?
[00:15:51.627 --> 00:15:52.288]  Wait a minute.
[00:15:52.868 --> 00:15:53.128]  I mean...
[00:15:54.602 --> 00:15:56.103]  Are you related to the Windsors?
[00:15:56.583 --> 00:15:57.424]  Not that I'm aware of.
[00:15:57.644 --> 00:16:00.526]  And neither am I. We're not running for president, are we?
[00:16:00.666 --> 00:16:02.567]  No, no, that's another good point.
[00:16:02.627 --> 00:16:04.549]  Now, do they select these people?
[00:16:04.729 --> 00:16:09.292]  Or how do you get in the presidential race at that level?
[00:16:09.632 --> 00:16:10.913]  I mean, do they call you out?
[00:16:10.933 --> 00:16:12.254]  Hey, I want you to run for president.
[00:16:12.574 --> 00:16:16.477]  Do you start out for president and you just get promoted if you're in the proper bloodline?
[00:16:16.497 --> 00:16:17.077]  How does that work?
[00:16:17.297 --> 00:16:24.342]  If you're in the proper bloodline, you are groomed and you are placed in that position.
[00:16:25.262 --> 00:16:27.283]  Bill Clinton seemed to be an exception.
[00:16:27.943 --> 00:16:29.703]  His background is pretty murky.
[00:16:30.264 --> 00:16:35.985]  We're not sure where he came from, and the person that identifies his father is apparently kind of a nobody.
[00:16:37.666 --> 00:16:39.966]  So it's kind of like, wow, how did that happen?
[00:16:39.986 --> 00:16:49.829]  But then in my travels in Arkansas, I hear the rumor, and it's just a rumor, that actually he was the illegitimate son of Winthrop Rockefeller.
[00:16:50.589 --> 00:16:56.533]  He was governor of Arkansas and has been closely associated with the Clinton family.
[00:16:56.573 --> 00:17:05.018]  In fact, it was Bill Clinton that drove Hale Boggs to the airport on his flight that never came back.
[00:17:05.539 --> 00:17:10.702]  Hale Boggs being a politician from Arkansas who sat on the Warren Commission.
[00:17:11.637 --> 00:17:21.524]  And was one of the ones who was beginning to dissent and say, we think he was thinking, I don't think we were told the truth and I think maybe there was a conspiracy against John Kennedy.
[00:17:22.185 --> 00:17:25.407]  And he took a junket up to Alaska and never came back.
[00:17:26.188 --> 00:17:27.809]  Bill Clinton drove him to the airport.
[00:17:27.849 --> 00:17:29.450]  So Bill Clinton has been groomed.
[00:17:29.510 --> 00:17:31.131]  He was a Rhodes Scholar, right?
[00:17:32.432 --> 00:17:36.435]  Where do they find some poor kid in Arkansas and send him over to
[00:17:37.478 --> 00:17:38.959]  England to be a Rhodes Scholar.
[00:17:38.979 --> 00:17:40.219]  That's a very good question.
[00:17:40.259 --> 00:17:41.140]  So they're groomed.
[00:17:41.920 --> 00:17:47.922]  And Barack Obama, you know, he goes to Columbia and enrolls as a foreign exchange student.
[00:17:48.723 --> 00:17:50.423]  Yeah, that's a very good point.
[00:17:50.864 --> 00:17:54.345]  Wait a minute, because right there, it's an either or.
[00:17:54.445 --> 00:18:03.429]  Either he was a foreign exchange student, which means he's not an American citizen, which raises up that whole question, or he is an American citizen, which means he lied
[00:18:04.109 --> 00:18:07.291]  And cheated and got his way in as a foreign exchange student.
[00:18:08.032 --> 00:18:14.316]  Either way, I think we've got a problem there, and nobody seems willing or able to look into it.
[00:18:14.596 --> 00:18:22.581]  Yeah, and you were talking about last night, the speech we went to in Bastrop, and you were saying if they want background checks for everybody, let's start with Barack Obama.
[00:18:22.621 --> 00:18:25.984]  Hey man, he wants background checks if you want to buy a gun.
[00:18:26.044 --> 00:18:27.765]  I said, okay, well we'll start with him.
[00:18:27.785 --> 00:18:29.726]  Alright, well Jim, we're about out of time.
[00:18:29.746 --> 00:18:30.847]  Do you have any closing thoughts?
[00:18:33.471 --> 00:18:51.561]  I think people need to understand that we're looking here and I'm just confirming what Alex and a lot of others are saying which is this is a plan that's unfolding and the plan is to virtually destroy the sovereignty and freedom of the United States.
[00:18:52.922 --> 00:18:57.745]  It's really an incredible situation because we are told that we were attacked on September the 11th 2001
[00:18:59.747 --> 00:19:00.808]  That's technically true.
[00:19:16.145 --> 00:19:27.132]  It doesn't, when you peel away all of the pronouncements and all the flack and fluff, you find out it does not actually point to Middle Eastern terrorists, does it?
[00:19:27.172 --> 00:19:28.753]  Oh yeah, it's definitely terrorists.
[00:19:28.813 --> 00:19:31.414]  I'm just not saying it's the people they told us it was.
[00:19:31.454 --> 00:19:34.696]  Oh, it's terrorists, but it's not those Arab Muslim terrorists.
[00:19:35.237 --> 00:19:36.277]  It's somebody else.
[00:19:37.018 --> 00:19:43.782]  And I don't think this is outside the realm of study and criticism and debate.
[00:19:44.322 --> 00:19:54.988]  Because I can distinctly recall on the afternoon or evening of September the 11th, President Bush said, essentially, I may be paraphrasing, but I'm close.
[00:19:55.048 --> 00:20:01.392]  He said, we must not rest until we find out who's responsible for this and see that they're punished.
[00:20:02.272 --> 00:20:05.614]  So I'm just trying to do what my president said do.
[00:20:06.114 --> 00:20:06.915]  Mission accomplished.
[00:20:06.935 --> 00:20:08.516]  We saw him standing in front of the big banner.
[00:20:08.536 --> 00:20:10.197]  Mission accomplished and whatnot.
[00:20:10.577 --> 00:20:12.078]  Jim Morris, thank you for your time, sir.
[00:20:12.218 --> 00:20:12.578]  Thank you.
