[00:00:00.291 --> 00:00:00.912]  Northwoods.
[00:00:58.541 --> 00:00:58.941]  Killed.
[00:00:58.961 --> 00:00:59.102]  Killed.
[00:00:59.142 --> 00:00:59.362]  Killed.
[00:00:59.402 --> 00:00:59.682]  Killed.
[00:00:59.702 --> 00:00:59.822]  Killed.
[00:00:59.842 --> 00:00:59.982]  Killed.
[00:01:00.002 --> 00:01:00.322]  Killed.
[00:01:00.342 --> 00:01:00.463]  Killed.
[00:01:00.483 --> 00:01:00.603]  Killed.
[00:01:00.623 --> 00:01:00.743]  Killed.
[00:01:00.763 --> 00:01:01.023]  Killed.
[00:01:01.103 --> 00:01:01.423]  Killed.
[00:01:01.443 --> 00:01:01.643]  Killed.
[00:01:01.704 --> 00:01:01.884]  Killed.
[00:01:01.904 --> 00:01:02.264]  Killed.
[00:01:02.844 --> 00:01:03.025]  Killed.
[00:01:03.045 --> 00:01:03.465]  Killed.
[00:01:03.485 --> 00:01:03.945]  Killed.
[00:01:03.965 --> 00:01:04.145]  Killed.
[00:01:04.165 --> 00:01:04.386]  Killed.
[00:01:04.426 --> 00:01:04.686]  Killed
[00:01:06.498 --> 00:01:09.221]  61,911,000 people killed.
[00:01:09.241 --> 00:01:13.186]  Hitler's Germany, nearly 21 million people killed.
[00:01:13.547 --> 00:01:17.693]  Japan's imperialism, nearly 6 million people killed.
[00:01:18.093 --> 00:01:20.316]  Western colonization, killed over 50 million.
[00:01:20.416 --> 00:01:24.839]  So now you know the most dangerous thing to you and your family in the world is government.
[00:01:24.859 --> 00:01:28.062]  Because mass murderers agree gun control works.
[00:01:46.836 --> 00:01:49.139]  Disarming citizens is democide.
[00:01:49.279 --> 00:01:51.622]  Disarming citizens is democide.
[00:01:51.703 --> 00:01:53.325]  Disarming people is democide.
[00:01:53.505 --> 00:01:56.448]  How many people have died because of Fast and Furious?
[00:01:56.849 --> 00:01:58.651]  No more false flags.
[00:01:59.092 --> 00:01:59.472]  Enough.
[00:02:00.033 --> 00:02:00.393]  Enough.
[00:02:00.974 --> 00:02:01.415]  It's enough.
[00:02:02.108 --> 00:02:02.929]  Now is the time.
[00:02:03.249 --> 00:02:03.929]  It's time.
[00:02:04.189 --> 00:02:08.952]  It's time to realize that when the government takes your guns, people die.
[00:02:09.172 --> 00:02:13.194]  It's time to realize the biggest threat to you and your family is government.
[00:02:13.434 --> 00:02:17.737]  It's time to recognize government is the greatest killer of all time.
[00:02:17.857 --> 00:02:18.457]  It's time.
[00:02:18.857 --> 00:02:20.038]  Demand a plan.
[00:02:20.178 --> 00:02:20.698]  Demand.
[00:02:21.019 --> 00:02:21.939]  Demand a plan.
[00:02:22.239 --> 00:02:24.120]  Demand a plan right now.
[00:02:24.420 --> 00:02:25.721]  As a free human being.
[00:02:25.941 --> 00:02:26.682]  As an American.
[00:02:27.142 --> 00:02:27.962]  As an American.
[00:02:28.363 --> 00:02:29.603]  As an American citizen.
[00:02:29.983 --> 00:02:30.784]  As a patriot.
[00:02:31.064 --> 00:02:32.026]  For your children.
[00:02:32.327 --> 00:02:40.823]  Demand to know why you and your children are forced into gun-free zones while government officials, celebrities and their children
[00:02:41.448 --> 00:02:43.268]  Are protected by armed guards.
[00:02:43.529 --> 00:02:46.269]  Demand they show you the word hunting in the Second Amendment.
[00:02:46.369 --> 00:02:50.530]  Demand to know why the government shipped thousands of guns to Mexican drug cartels.
[00:02:50.710 --> 00:02:53.891]  Demand our government stops blowing up federal buildings.
[00:02:54.271 --> 00:02:59.453]  Demand that our troops stop protecting opium fields in Afghanistan and come home.
[00:02:59.633 --> 00:03:02.053]  Demand the government stop this phony drug war.
[00:03:02.213 --> 00:03:08.895]  Demand to know why the Department of Homeland Security bought more than 1.6 billion hollow point bullets with our money.
[00:03:09.235 --> 00:03:13.701]  Demand our government stop poisoning our food supply with genetically modified organisms.
[00:03:13.962 --> 00:03:21.372]  Demand that President Obama stops killing innocent women and children all around the world with his illegal drone attacks.
[00:03:21.572 --> 00:03:24.456]  Demand an end to these unconstitutional wars.
[00:03:24.656 --> 00:03:28.057]  Demand that the TSA stop groping our genitals at the airport.
[00:03:28.157 --> 00:03:32.559]  Demand that the NSA stop illegally spying on all of us, all the time.
[00:03:32.639 --> 00:03:36.000]  Demand that toxic fluoride be removed from the water supply.
[00:03:36.060 --> 00:03:42.823]  Demand our politicians uphold the Constitution and Bill of Rights as they swore to when they took office.
[00:03:43.203 --> 00:03:43.783]  It's time.
[00:03:43.983 --> 00:03:47.745]  It's time for our leaders to act like leaders.
[00:03:48.165 --> 00:03:51.466]  It's time for our leaders to read the Constitution.
[00:03:51.526 --> 00:03:53.127]  It's time for our leaders to obey.
[00:03:53.687 --> 00:03:54.788]  The Constitution.
[00:03:54.928 --> 00:03:55.909]  The Constitution.
[00:03:56.030 --> 00:03:57.111]  The Constitution.
[00:03:57.331 --> 00:04:01.715]  Because a well-regulated militia with ten round magazines wouldn't last very long.
[00:04:01.855 --> 00:04:04.178]  Demand an end to citizen disarmament.
[00:04:04.558 --> 00:04:06.140]  Government-sponsored terror.
[00:04:06.480 --> 00:04:07.541]  And democide.
[00:04:07.761 --> 00:04:08.542]  Democide.
[00:04:08.982 --> 00:04:10.064]  Death by government.
[00:04:10.204 --> 00:04:11.385]  Right now.
[00:04:11.825 --> 00:04:12.406]  Right now.
[00:04:12.966 --> 00:04:13.847]  Right now.
[00:04:14.468 --> 00:04:16.170]  We are sick and tired.
[00:04:16.810 --> 00:04:20.076]  Of our tyrannical government taking away our rights.
[00:04:20.477 --> 00:04:21.999]  Stop stealing our rights.
[00:04:22.460 --> 00:04:23.041]  Our rights.
[00:04:23.482 --> 00:04:24.083]  Our rights.
[00:04:24.523 --> 00:04:27.007]  How many more people does government have to kill?
[00:04:27.308 --> 00:04:27.709]  Enough.
[00:04:28.350 --> 00:04:28.670]  Enough.
[00:04:29.231 --> 00:04:29.952]  Enough already.
[00:04:30.623 --> 00:04:30.923]  Enough.
[00:04:31.463 --> 00:04:31.843]  Enough.
[00:04:32.523 --> 00:04:32.904]  Enough.
[00:04:33.484 --> 00:04:33.844]  Enough.
[00:04:34.384 --> 00:04:34.744]  Enough.
[00:04:35.704 --> 00:04:45.426]  Enough of the people laying down and letting government kill them in mass after disarming them as they've done throughout history over and over again.
[00:04:46.007 --> 00:04:46.467]  Enough.
[00:04:47.067 --> 00:04:52.088]  Enough to laying down and letting these criminals use us up like slaves.
[00:05:00.660 --> 00:05:01.060]  I don't know.
