[00:00:00.069 --> 00:00:01.249]  My name's Dave Matheny.
[00:04:34.157 --> 00:04:36.037]  Whatever you do, don't resist.
[00:04:36.658 --> 00:04:37.598]  Give in.
[00:04:39.159 --> 00:04:47.542]  260,000 of you could be out there as Obamacare or Prozac, the killer clown.
[00:04:48.222 --> 00:04:48.982]  Hi kids!
[00:04:49.362 --> 00:04:52.863]  It's me, your favorite selective serotonin reuptake inhibitor!
[00:04:53.283 --> 00:05:01.446]  Just cut along the dotted lines, cut some holes for the eyes, and attach a few rubber bands, and you are ready to wake up America this Halloween.
[00:05:02.074 --> 00:05:07.135]  Remember kids, Obamacare is for you and your family, and so is Prozac and Ritalin.
[00:05:07.496 --> 00:05:14.938]  So whatever you do, don't secure your copy of InfoWars Magazine, and resist, because death is good for you.
[00:05:30.745 --> 00:05:33.486]  You can pick up your copy today at the InfoWars store.
[00:05:33.566 --> 00:05:40.109]  You can always buy these in bulk at cost, and for a limited time, the annual subscription is just $39.95.
[00:05:41.490 --> 00:05:44.171]  Call now, because operators are standing by.
[00:05:44.291 --> 00:05:45.972]  Obama, we have you!
[00:05:46.092 --> 00:05:49.854]  Because people need to know that Obamacare is bone-chillingly frightening.
