[00:00:01.792 --> 00:00:04.755]  Well, that's what we saw at the AMS here in Austin.
[00:02:09.369 --> 00:02:09.749]  I think so.
[00:02:33.121 --> 00:02:37.525]  And yet, you know, they do their computer models and then they put the stuff up in the sky.
[00:02:38.386 --> 00:02:49.757]  I thought it was kind of interesting, one of the articles that you sent to me, they talked about how there was a net warming in the three days that all the jets were grounded following September 11th, back in 2001.
[00:02:52.919 --> 00:03:09.473]  Yes, but what they did is they took an average temperatures and so when they talk about there was a warming, they weren't, in other words, they didn't give you all of the data that was found, I don't think, in that report.
[00:03:09.893 --> 00:03:13.176]  Therefore, I have some questions because
[00:03:15.824 --> 00:03:26.970]  Scientists at NASA found that cirrus clouds formed by contrails from jet aircraft exhaust, which contain water vapor, a potent greenhouse gas,
[00:03:27.503 --> 00:03:27.663]  I think
[00:03:51.329 --> 00:04:14.945]  Nighttime, as well as may have a little cooling effect during the day, but it still traps heat and we're concerned about this because we feel that water vapor as an issue has not been discussed by any of the scientists or in any of the hearings that have been held on the subject of geoengineering by the U.S.
[00:04:15.165 --> 00:04:18.247]  House Science and Technology Committee.
[00:04:19.013 --> 00:04:37.473]  Yeah, and along those lines, news had just broken while we were at the AMS convention that they had just gone through and had the weather figures for 2012 and said it was, I think it was the warmest year they'd had on record or the warmest in quite some time, you know, in North America.
[00:04:38.033 --> 00:04:44.680]  But overall, it was only the 7th or 8th warmest globally, because in other places there was cooling.
[00:04:44.760 --> 00:04:58.134]  So, if they're putting a cloud cover that is raising the temperature of the United States, then that's something that could cause us to have warming here with their measurements, but perhaps, you know, not a global warming, because that's not being done everywhere.
[00:04:59.195 --> 00:04:59.956]  Is that the way you see it?
[00:05:00.862 --> 00:05:02.183]  Well, that's the way I see it.
[00:05:02.283 --> 00:05:07.867]  And also, you have to look at a Stanford University report by Jacobson.
[00:05:08.867 --> 00:05:12.730]  Professor Jacobson has noted that aircraft, aviation, and contrails
[00:05:13.368 --> 00:05:14.008]  Thank you.
[00:05:32.162 --> 00:05:40.389]  And I put this on my Alaska section of the website so people could look at the data and see what was going on there with the warming in the Arctic and Alaska.
[00:05:41.790 --> 00:05:44.412]  Now, are you concerned at all when you're watching this?
[00:05:44.473 --> 00:05:45.453]  Are you noticing things?
[00:05:45.493 --> 00:05:53.400]  Some people have said that they've seen soaring concentrations of aluminum and barium and other things like that in the soil and water.
[00:05:53.440 --> 00:05:56.743]  Have you noticed that with your agricultural watches out there?
[00:05:58.084 --> 00:06:07.731]  Well, the California State Department of Health Drinking Water Division, I obtained all of their drinking water data for going back to the 1980s.
[00:06:08.031 --> 00:06:18.979]  And you can tell in state drinking water testing, which is done by private, it's not done by private citizens, it's done by water districts.
[00:06:21.001 --> 00:06:26.885]  Their testing reveals that there is a definite increase statewide in aluminum and barium
[00:06:27.671 --> 00:06:33.815]  Magnesium and other contaminants in drinking water since the 1990s.
[00:06:35.676 --> 00:06:41.399]  Yeah, it was in one of the presentations they were doing some testing.
[00:06:41.439 --> 00:06:50.224]  They did computer simulation and modeling trying to determine if the computer could predict the right cloud conditions that would be optimal for their cloud seeding operation.
[00:06:51.071 --> 00:07:06.071]  And so they were putting up silver iodide and they put up a couple of trace radioactive elements, indium and cesium, and then he said they were going to test for those to see where they were coming back down, see what the rain pattern was going to be.
[00:07:06.792 --> 00:07:08.974]  But he also mentioned, casually, aluminum.
[00:07:09.254 --> 00:07:20.182]  And I really wanted to ask him about that, but it was in the same session where the fellow was that was talking about climate engineering, so we went for him first and we lost the other guy.
[00:07:20.262 --> 00:07:31.771]  But most of what we're seeing as far as climate change and that sort of thing, any talk about that, that was pretty much under the radar at AMS.
[00:07:34.073 --> 00:07:41.054]  I guess one of the things that struck me was just the sheer quantity of work that's being done everywhere.
[00:07:41.074 --> 00:07:46.055]  And it seems like it's focused primarily here in the United States and in China.
[00:07:46.115 --> 00:07:51.377]  Have you noticed anything in terms of increased cloud cover in China?
[00:07:52.077 --> 00:07:53.677]  Or is that anything that you monitor?
[00:07:55.097 --> 00:08:03.179]  I do a little, but you did notice the cloud cover and the jet contrails during the Olympics when it was held in China.
[00:08:04.313 --> 00:08:11.375]  And so there was some background where you could see in the skies, you could see the contrails in the skies.
[00:08:11.455 --> 00:08:19.158]  So we know that contrails that persist exist in other countries as well as the United States, especially the NATO countries.
[00:08:20.763 --> 00:08:23.544]  One of the things we always want to do is follow the money.
[00:08:24.244 --> 00:08:33.848]  And some of the stuff that you sent me, I mean, everybody's heard of carbon credits that are going to go to private companies like the ones that Al Gore runs that make them wealthy.
[00:08:34.549 --> 00:08:41.811]  We've also got carbon taxes, which could be a way to fund a global government because they have to do that globally.
[00:08:42.812 --> 00:08:45.533]  But you also pointed out that there's weather derivatives.
[00:08:45.613 --> 00:08:46.833]  That was something that was new.
[00:08:46.853 --> 00:08:48.054]  Could you tell us a little bit about that?
[00:08:49.614 --> 00:09:02.678]  Yes, the Chicago Mercantile Stock Exchange has been allowing betting on the weather for some time, and then in the last couple of years, they have decided that they're going to allow betting on the weather.
[00:09:03.371 --> 00:09:08.353]  Weather, how much snow, how much rainfall, all kinds of betting.
[00:09:08.913 --> 00:09:21.437]  And one of the things that we know is that there are 66 ongoing weather modification programs, ongoing in the United States, and that these programs are successful, that they're used every year.
[00:09:21.938 --> 00:09:31.461]  Pacific Gas and Electric Company, a public utility in California, has been doing it for over 40 years here in California as just one example.
[00:09:32.082 --> 00:09:38.747]  But in Wyoming and Colorado, Texas, there's been weather modification programs ongoing for years.
[00:09:39.728 --> 00:09:57.121]  And that these there, when they say that there's indefinite information, and we don't know how well it works, we have to realize that this has been perfected over time, especially considering that we the US Air Force perfected it in the Vietnam War.
[00:09:58.351 --> 00:10:06.002]  They were doing weather modification there on a massive scale and they know that it worked because they perfected the technologies then.
[00:10:06.443 --> 00:10:08.706]  Yes, we even have a document going back to
[00:10:10.108 --> 00:10:11.649]  1977, this is from the U.S.
[00:10:11.669 --> 00:10:18.433]  State Department, Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques.
[00:10:19.173 --> 00:10:31.500]  This is something that came out of the State Department, went to the U.N., and so they were aware of it to the degree that they wanted to have treaties prohibiting using it as a weapon.
[00:10:31.921 --> 00:10:36.203]  But there's nothing there that keeps them from using that here domestically, is there?
[00:10:37.208 --> 00:10:43.354]  Well, yes, because the United States passed it, ratified it, and passed it.
[00:10:43.454 --> 00:10:51.563]  So it is, the An Mon Treaty has been ratified by the United States, and because of our wartime activities in Vietnam,
[00:10:52.353 --> 00:10:55.234]  about using weather modification for warfare.
[00:10:55.794 --> 00:11:14.240]  However, if you say that something is experimental or if you say that it isn't ongoing, it's one time research and testing, then anyone can modify or change the weather in the United States without public notification, public oversight,
[00:11:14.870 --> 00:11:17.511]  Without your elected officials knowing what's going on.
[00:11:17.711 --> 00:11:26.914]  So we need to really be aware that there's no laws preventing atmospheric manipulation of any kind right now in the United States.
[00:11:27.555 --> 00:11:36.218]  And we've had people like Bill Gates and others who have talked about massively dumping quantities of particulates into the atmosphere.
[00:11:36.858 --> 00:11:37.599]  No, there isn't.
[00:11:37.639 --> 00:11:44.644]  If you have an ongoing weather modification program, you do have to report to NOAA, and I sent you that NOAA list of weather modification programs, which is online.
[00:12:06.980 --> 00:12:07.140]  I don't
[00:12:30.499 --> 00:12:32.501]  via aviation to the atmosphere.
[00:12:32.521 --> 00:12:33.621]  Exactly.
[00:12:34.222 --> 00:12:36.223]  So we're talking about that.
[00:12:36.343 --> 00:12:38.905]  We're also talking about putting salt particles up.
[00:12:39.005 --> 00:12:42.648]  This was Bill Gates was going to be funding this.
[00:12:43.328 --> 00:12:49.993]  In other words, looking to the skies to whiten the clouds to reflect more direct sunlight away from the Earth.
[00:12:50.774 --> 00:12:51.994]  But here's your problem.
[00:12:52.355 --> 00:12:58.179]  When you start putting up particles and chemicals, not only do you have an air, soil and water pollution problem,
[00:12:59.008 --> 00:13:03.815]  But you reduce the amount of direct sunlight reaching the earth and you have a photosynthesis problem.
[00:13:04.456 --> 00:13:09.584]  Because all plants require direct sunlight to grow healthy and strong and produce crops.
[00:13:10.051 --> 00:13:10.331]  Thank you.
[00:13:32.811 --> 00:13:46.820]  You are going to have an impact on the Earth's climate and weather system and our natural resources, as well as human health, crop production, and other items that need to be really discussed by the public.
[00:13:47.240 --> 00:13:49.081]  And they're not being discussed at this time.
[00:13:49.441 --> 00:14:02.762]  Yeah, it's amazing to me that, you know, both as government policy and also the EPA, for example, I mean, the things that most of their regulations are centering on, where they're shutting down businesses and that sort of thing, is to reduce CO2.
[00:14:04.725 --> 00:14:04.805]  Yes.
[00:14:25.903 --> 00:14:29.864]  Cracking down on individual users, and yet they're doing it at the same time.
[00:14:30.204 --> 00:14:46.147]  And then telling us that in order to protect us from this global warming that we're causing, they're setting up these massive global schemes to make money, like the carbon credit exchange, the carbon taxes, that sort of thing, and even, you know, betting on it as far as derivatives.
[00:14:47.247 --> 00:14:52.928]  That's right, because when you put a program into place, and it's known, like the weather modification programs going on,
[00:14:53.844 --> 00:14:54.465]  I think so.
[00:15:16.643 --> 00:15:20.504]  Well, the carbon tax that they're proposing is not... What is that tax going to do?
[00:15:20.544 --> 00:15:23.625]  It can't stop consumption because you don't have alternatives.
[00:15:40.161 --> 00:15:40.542]  I don't
[00:16:02.598 --> 00:16:07.847]  They're not talking about water vapor as being a problem, that they could reduce this.
[00:16:09.189 --> 00:16:17.141]  In other words, they have these schemes, and the interesting thing about geoengineering, or the part of it, solar radiation management,
[00:16:17.802 --> 00:16:40.113]  Which means reducing the amount of direct sunlight reaching the Earth, is that these schemes would be funded, but when you ask the people promoting them, a small group of men who really promote this, like David Keyes, for example, or Ken Caldeira, they say, well, once you start, you can never stop, because it doesn't fix the problem, it just masks the warming.
[00:16:40.554 --> 00:16:41.794]  Yeah, yeah.
[00:16:41.854 --> 00:16:43.215]  And that's incredible!
[00:16:43.455 --> 00:16:44.716]  Sounds like the cancer industry.
[00:16:45.620 --> 00:16:50.943]  Yeah, they don't ever come up with a cure, but they just endlessly treat it with more and more expensive treatments.
[00:16:52.464 --> 00:16:55.126]  Yes, and they say, well, then you can't stop.
[00:16:55.911 --> 00:17:07.620]  Well, when I say, well, you're going to do something in our atmosphere and you can't stop because then things will get worse, well, the programs that they're promoting are going to make things worse.
[00:17:07.640 --> 00:17:12.424]  Air pollution, water pollution, soil pollution, human health problems, all kinds of things.
[00:17:12.684 --> 00:17:13.905]  Those are going to get worse.
[00:17:14.485 --> 00:17:18.928]  And then they say, well, we can't stop because then, you know, crisis will prevail.
[00:17:19.089 --> 00:17:23.272]  Well, this doesn't seem like a long-term, long-lasting solution.
[00:17:24.210 --> 00:17:24.792]  Yeah, exactly.
[00:17:24.812 --> 00:17:32.030]  And I think one of the things that really disturbed me, of course, a lot of the people that we saw doing presentations, there were many, many presentations, because
[00:17:32.964 --> 00:17:40.107]  Each person's presentation only lasted 15 minutes, and they were doing these the entire day for four or five days.
[00:17:40.627 --> 00:17:46.350]  But they're typically going in with a thesis and doing something small, local, experimental.
[00:17:46.930 --> 00:17:54.493]  Most of the meteorologists were doing computer simulations, and then they were going out and taking measurements, getting empirical data, that sort of thing, and trying to close the loop.
[00:17:55.054 --> 00:17:59.197]  But when we're talking about massive things like climate change, they're not able to do that.
[00:17:59.578 --> 00:18:01.860]  The climatologists are different from the meteorologists.
[00:18:01.960 --> 00:18:09.246]  The climatologists are looking at things that are stretching out over decades or centuries or even millennia.
[00:18:09.506 --> 00:18:14.250]  And the way they're doing that is they're modeling things and they're doing computer projections.
[00:18:14.830 --> 00:18:21.279]  And so, you know, their understanding and how good their model is, is not anything that we can really verify.
[00:18:21.359 --> 00:18:30.932]  So, I guess one of the concerns that I have is that they're talking about doing things and are doing things that they really don't understand what the consequences are.
[00:18:32.014 --> 00:18:34.376]  No, and they're very focused on one thing.
[00:18:34.396 --> 00:18:40.341]  They're not focused in the agriculture field and impacts, or tree health, or photosynthesis.
[00:18:40.401 --> 00:18:47.527]  They're not interested in solar panel power production, and their models don't help with those things.
[00:18:48.008 --> 00:18:52.552]  And when they say models, they never usually put aviation impacts into models.
[00:18:53.453 --> 00:19:06.004]  See, the models can be flawed, and unless you know what parameters are excluded, or if they're taking averages and excluding things, then you can never verify that their models are correct.
[00:19:06.304 --> 00:19:06.764]  Exactly.
[00:19:07.065 --> 00:19:17.294]  And as we watch them do this, I mean, even when they were doing relatively small contained experiments, where they're doing cloud seeding over an area, for example, maybe during the snow season.
[00:19:18.406 --> 00:19:23.611]  And they're going out, they're measuring it constantly over two or three months, and trying to close that loop.
[00:19:24.211 --> 00:19:26.173]  Even then, they have a hard time modeling it.
[00:19:26.233 --> 00:19:39.326]  And so as you said, you know, when they've got, when they're trying to model, and the fellow that we talked to from the National Center for Atmospheric Research, he was very honest about the limitations of computer models.
[00:19:39.586 --> 00:19:42.129]  And I think he was very skeptical about
[00:19:42.629 --> 00:19:51.571]  Trying to do any kind of climate engineering, and also the massive environmental impacts he mentioned that would have to be considered if you were to do climate engineering.
[00:19:51.611 --> 00:20:00.553]  But when you look at what they're trying to do with just a local controlled experiment, and see how difficult that is for them to model, because they're out in the real world.
[00:20:00.593 --> 00:20:03.113]  Like I mentioned to him, my background is electrical engineering.
[00:20:03.514 --> 00:20:10.035]  You're modeling something, if you do a computer simulation of electrical circuit, you're doing something that's very well known, that's there in the laboratory,
[00:20:10.635 --> 00:20:17.082]  That, you know, it doesn't have the kind of infinite variables that the environment does.
[00:20:17.423 --> 00:20:26.953]  And, as you said, they're not even looking at contrails and clouds that are coming, that are persistent from contrails that are being generated by aviation.
[00:20:28.177 --> 00:20:37.327]  Yes, so the thing is that when they look at their models, they look at a very small, like you said, they look at a very small detail, and then say this or that about it.
[00:20:37.427 --> 00:20:41.391]  But what we're finding is they don't look at the overall picture.
[00:20:42.212 --> 00:20:47.858]  In other words, since agriculture, which is my background, and I work for the U.S.
[00:20:48.379 --> 00:20:50.301]  Department of Agriculture here in California,
[00:20:50.942 --> 00:20:51.442]  Thank you.
[00:21:13.348 --> 00:21:13.468]  Yes.
[00:21:25.391 --> 00:21:28.493]  And so that's one of the things I want to say about that.
[00:21:28.793 --> 00:21:41.883]  One of the things that has been noted is that you can enhance the snow or the rainfall in one area, but they're not studying the nearby areas that go into drought because their normal rainfall or snow never gets to them.
[00:21:42.143 --> 00:21:42.843]  Very good point.
[00:21:42.943 --> 00:21:43.524]  Yeah, yeah.
[00:21:43.544 --> 00:21:44.945]  They're robbing from Peter to pay Paul.
[00:21:45.620 --> 00:21:57.123]  Yeah, so they look at one little thing that, oh, well, it worked or didn't work or whatever they see, and they model it, but they aren't looking at the overall picture to see what's happening downstream.
[00:21:59.102 --> 00:22:04.845]  Well, one last question I had for you, which was, you know, most of the stuff that they're doing is silver iodide.
[00:22:04.905 --> 00:22:12.550]  They did talk about, I think it was bismuth tri-iodide was another particle that they were looking at for their cloud seeding stuff.
[00:22:12.650 --> 00:22:23.216]  Nobody would say they were doing anything with aluminum, but do you have, looking at it from an agricultural standpoint, I mean, do you have any concerns about silver iodide?
[00:22:24.662 --> 00:22:30.684]  Well, it depends on the amount and the scope that they're using, and it can have its impact because it rains out.
[00:22:30.804 --> 00:22:40.687]  And there is some EPA documentation that shows that silver iodide, in other words, can have some negative effects, and that's on the California EPA website.
[00:22:41.327 --> 00:22:42.327]  Anyone can look it up.
[00:22:42.867 --> 00:22:46.668]  What I'm concerned about is that it isn't just silver iodide.
[00:22:46.848 --> 00:22:51.410]  It's salt, sea salt, is being used for cloud seeding purposes.
[00:22:51.550 --> 00:22:52.650]  Right, hygroscopic, yeah.
[00:22:53.266 --> 00:22:58.068]  Yeah, and there's ground-based cloud seeding.
[00:22:58.108 --> 00:23:02.090]  There's not just small aircraft cloud seeding, there's ground-based cloud seeding.
[00:23:02.110 --> 00:23:03.130]  Yes.
[00:23:03.150 --> 00:23:20.257]  So you have a tremendous amount of methods and techniques going on, and I list some of them on the weather modification section of my website, so that people can go and look at that, and they can see the various techniques and chemicals and different things that are used.
[00:23:20.418 --> 00:23:21.318]  And it's stunning!
[00:23:21.852 --> 00:23:22.372]  Yeah, yeah.
[00:23:22.793 --> 00:23:25.254]  Your website has a wealth of information.
[00:23:25.314 --> 00:23:33.478]  I've got to say, you must have sent me about 30 or 40 emails and each of them had multiple documents on there.
[00:23:33.498 --> 00:23:37.441]  I mean, and that's just a small fraction of the data that you've collected over the years.
[00:23:37.501 --> 00:23:50.088]  I would highly recommend anybody that wants to look into this and is wondering about, you know, the massive contrails that they see in the sky crisscrossing, go to agriculturedefensecoalition.org
[00:23:50.968 --> 00:23:52.669]  They're going to find a lot of information there.
[00:23:52.709 --> 00:23:54.470]  Also, California Skywatch.
[00:23:54.730 --> 00:23:56.932]  Is that .org or is that .com?
[00:23:57.352 --> 00:23:57.952]  That's .org, right?
[00:23:58.633 --> 00:24:05.277]  It's, no, Californiaskywatch.com and AgricultureDefenseCoalition.org.
[00:24:05.797 --> 00:24:13.262]  If you click on the category section of either one, it will give you an alphabetical listing of everything on the websites by topic.
[00:24:13.743 --> 00:24:14.063]  Great.
[00:24:14.303 --> 00:24:15.024]  Thank you very much.
[00:24:15.044 --> 00:24:22.109]  And that's the thing, you know, at this point we need to educate ourselves about what's being done because they're not telling us about it.
[00:24:22.449 --> 00:24:25.871]  Most of what they're doing with the weather is under the radar at this point.
[00:24:26.972 --> 00:24:29.053]  But you can find out what's going on if you go to these sites.
[00:24:29.954 --> 00:24:32.996]  Roslyn Peterson and her organization has a wealth of information there.
[00:24:33.516 --> 00:24:35.418]  Well, thank you very much, Roslyn, for talking to us.
[00:24:36.238 --> 00:24:39.801]  Well, thank you very much, and it's been an honor and privilege to be on your show today.
[00:24:40.161 --> 00:24:40.521]  Thank you.
[00:24:40.541 --> 00:24:41.221]  Bye-bye.
[00:24:41.462 --> 00:24:41.802]  Thank you.
[00:24:43.829 --> 00:24:56.097]  Well, if you want to know more about ground particulates and things that are coming out of these geoengineering projects, or why they're doing it, there's an excellent couple of documentaries, What in the World Are They Spraying?
[00:24:56.317 --> 00:24:57.818]  and Why in the World Are They Spraying?
[00:24:58.018 --> 00:25:00.019]  We have those available at InfoWars store.
[00:25:00.860 --> 00:25:03.521]  We have a chemtrail combo where you can get both of those for $34.90.
[00:25:05.351 --> 00:25:06.492]  Very good documentaries.
[00:25:06.533 --> 00:25:17.664]  They go over exactly what people are seeing in terms of the concentrations of aluminum and barium and other elements that are part of these geoengineering programs.
[00:25:18.204 --> 00:25:21.267]  And they also look at why they're doing this.
[00:25:21.988 --> 00:25:24.410]  Because there's a lot of evidence, there's a lot of documents that
[00:25:25.931 --> 00:25:28.792]  The globalists have come out with why they're doing this.
[00:25:29.232 --> 00:25:30.873]  So those are a couple things you might want to check out.
[00:25:30.933 --> 00:25:34.314]  And also go to Prison Planet TV to check out our documentaries.
[00:25:34.974 --> 00:25:40.536]  If you get a membership, you'll be able to watch all the documentaries that we produce there at no additional charge.
[00:25:41.596 --> 00:25:43.077]  And if you're watching this on YouTube,
[00:25:44.115 --> 00:25:53.819]  You can go to Prison Planet TV and get a membership that will help to fund our operation, and you can also pass that out to your friends and family, help to wake them up.
[00:25:54.079 --> 00:25:57.220]  Ten people at a time can watch simultaneously.
[00:25:57.741 --> 00:26:06.304]  Of course, you can hand it out to more people than that, but at least ten people can simultaneously watch it at a time, so that's a lot of reach to get this information out there to wake people up.
[00:26:06.835 --> 00:26:13.260]  Just as we talked to Roslyn Peterson, you know, a lot of people don't really even take a look at what's going on above the sky.
[00:26:13.320 --> 00:26:20.285]  They don't look and they might see things happening with the weather, they might see things happening with agriculture, but they don't stop to ask why.
[00:26:21.266 --> 00:26:22.047]  We want to do that.
[00:26:22.654 --> 00:26:25.695]  And I think if you're watching this, you're probably the kind of person who wants to do that.
[00:26:25.755 --> 00:26:39.281]  Try to get your friends to be that kind of person, to look behind what's actually happening to them, to be aware of what's actually happening around the world, politically, chemically, in terms of weather, you know, and get the bigger picture.
[00:26:39.301 --> 00:26:40.961]  Well, that's it for tonight.
[00:26:41.321 --> 00:26:44.142]  We'll be back tomorrow night at 7 o'clock Central Time.
[00:26:44.783 --> 00:26:45.363]  I'm David Knight.
