[00:00:03.795 --> 00:00:04.436]  And welcome back.
[00:01:42.132 --> 00:01:45.415]  And then the, uh, deputy asked him if he had another
[00:01:46.438 --> 00:01:47.499]  Another weapon in the car.
[00:01:48.239 --> 00:01:50.260]  I have one in my pocket.
[00:01:52.201 --> 00:02:07.988]  And so, the deputy took him out, and the first team shook him down, took both guns, ran them NCIC, and then decided to arrest Mr. Parrish because he doesn't have a concealed carry permit.
[00:02:08.008 --> 00:02:15.472]  Well, Chair Finch does not believe that the Second Amendment is subject to a permission slip from government.
[00:02:16.468 --> 00:02:22.109]  And so he didn't believe that the probable cause for the original stop was solid.
[00:02:22.529 --> 00:02:30.091]  He didn't believe that there was probable cause for frisking the man physically and doing a TSA search.
[00:02:31.351 --> 00:02:33.572]  And he didn't believe that the man should be arrested.
[00:02:33.632 --> 00:02:34.452]  He's not a criminal.
[00:02:35.392 --> 00:02:36.692]  He had no criminal intent.
[00:02:37.812 --> 00:02:41.713]  And Sheriff Finch had never met this man before.
[00:02:42.153 --> 00:02:44.854]  Sheriff Finch took office January 1st of this year.
[00:02:45.672 --> 00:02:51.414]  He's trying to do a good job and he doesn't believe in violating the Second Amendment.
[00:02:51.694 --> 00:03:03.138]  Now, Sheriff, before we go any further, we'll talk about the actions of Sheriff Finch, but in your opinion, we have a traffic stop and one of your officers, one of your deputies, asked the gentleman, do you have a firearm?
[00:03:03.839 --> 00:03:07.780]  Do you condone that action, just asking if the man has a firearm in his vehicle?
[00:03:09.121 --> 00:03:09.661]  No, never.
[00:03:10.021 --> 00:03:10.301]  Never.
[00:03:10.421 --> 00:03:11.662]  In fact, I told my deputies,
[00:03:12.915 --> 00:03:14.316]  You consider everybody armed.
[00:03:14.356 --> 00:03:19.377]  You don't go up and ask somebody if they're armed and they tell you no, then you don't think they're armed.
[00:03:19.818 --> 00:03:20.538]  That's absurd.
[00:03:20.598 --> 00:03:22.478]  That's stupid law enforcement.
[00:03:22.498 --> 00:03:22.719]  Right.
[00:03:22.859 --> 00:03:24.159]  And that's stupid police work.
[00:03:24.459 --> 00:03:25.279]  You never think that.
[00:03:25.800 --> 00:03:30.741]  And not only that, because you find out that a guy has one gun, he could have two or three more.
[00:03:31.502 --> 00:03:34.003]  You know, he shows you one and shoots you with the other.
[00:03:34.343 --> 00:03:34.503]  Right.
[00:03:34.523 --> 00:03:37.464]  So it just doesn't make any sense for cops to do that.
[00:03:38.294 --> 00:03:39.575]  No, there's no problem with that whatsoever.
[00:03:39.595 --> 00:03:41.096]  You can keep and bear arms however you like.
[00:03:41.156 --> 00:03:44.298]  In fact, I recommend that people who have guns keep them concealed.
[00:03:44.338 --> 00:03:44.758]  It creates
[00:04:01.946 --> 00:04:08.990]  Much less alarmed than having guns sit out and you happen to explain to everybody why you have a gun on.
[00:04:09.090 --> 00:04:20.477]  Or if you wear a gun downtown on the street, which is totally legal in many states in this country, especially Arizona where I live, people are going to ask you, what do you have a gun on for?
[00:04:20.537 --> 00:04:21.818]  They're going to call 911.
[00:04:22.078 --> 00:04:23.019]  This man has a gun.
[00:04:23.419 --> 00:04:23.939]  So what?
[00:04:24.260 --> 00:04:26.441]  It's legal, it's lawful, and it's appropriate.
[00:04:27.137 --> 00:04:28.378]  And it's a guaranteed right.
[00:04:28.758 --> 00:04:29.179]  Exactly.
[00:04:29.199 --> 00:04:34.022]  Now Sheriff, you were in your story, you were telling us what happened after Nick Finch heard about this incident.
[00:04:35.443 --> 00:04:45.670]  Well, when Sheriff Finch heard about it, he went down to the jail and he looked at the booking sheet and he verified the information and he didn't like what he saw.
[00:04:46.391 --> 00:04:51.495]  So he, what I termed, un-arrested the man.
[00:04:52.395 --> 00:04:53.276]  And he released him.
[00:04:53.976 --> 00:04:55.978]  And he did away with the charges.
[00:04:57.040 --> 00:05:00.482]  If you do that, you're certainly within your right as a sheriff to do that.
[00:05:00.542 --> 00:05:01.803]  You run the sheriff's office.
[00:05:02.203 --> 00:05:03.644]  The deputy works for you.
[00:05:03.764 --> 00:05:04.984]  That's what a deputy means.
[00:05:05.464 --> 00:05:07.105]  It means you're working in his bed.
[00:05:07.125 --> 00:05:11.768]  So he said, we're not going to arrest this man for that.
[00:05:11.808 --> 00:05:12.628]  He's not a criminal.
[00:05:13.449 --> 00:05:21.313]  And so he would also be inclined to destroy the booking sheet upon which
[00:05:22.337 --> 00:05:24.799]  Are the records that this man was arrested.
[00:05:25.059 --> 00:05:28.681]  Now, Sheriff, if we can stop right there and clarify, if you can clarify for us.
[00:05:29.021 --> 00:05:34.805]  So at the point, Nicholas Finch, the Sheriff, goes in and says, hey, this man shouldn't have been arrested in the first place.
[00:05:35.065 --> 00:05:37.247]  Does that null and void the arrest completely?
[00:05:38.587 --> 00:05:39.368]  Of course it does.
[00:05:39.548 --> 00:05:41.109]  That's what the Sheriff's job is.
[00:05:41.769 --> 00:05:43.330]  And I've done similar things.
[00:05:43.831 --> 00:05:44.911]  You know, you tell your deputies.
[00:05:45.392 --> 00:05:49.134]  I told my deputies not to write tickets for people not wearing a seatbelt.
[00:05:49.855 --> 00:05:50.355]  If they did,
[00:05:51.016 --> 00:05:51.737]  I got rid of it.
[00:05:52.597 --> 00:05:59.902]  You know, it was the law, the supposed law, but I believe that that is something that people should choose on their own.
[00:06:00.442 --> 00:06:00.762]  Exactly.
[00:06:00.802 --> 00:06:05.885]  And here, the sheriff makes the choices as to who is arrested in his office.
[00:06:05.945 --> 00:06:09.728]  He is the constitutionally elected sheriff of that county.
[00:06:09.928 --> 00:06:10.268]  Exactly.
[00:06:10.288 --> 00:06:15.411]  Now, Sheriff, if we can move on, we have some other topics we have to get to, so I just want to talk about Nicholas Finch.
[00:06:15.431 --> 00:06:19.914]  He releases the man back out onto the street, and what happened after that with the governor?
[00:06:21.644 --> 00:06:35.535]  Well, then, two or three of the deputies within the Sheriff's Office who didn't want Sheriff Finch to be elected in the first place, you know, that's very common to have enemies within, and you're not always able to get rid of them.
[00:06:36.216 --> 00:06:39.919]  And so, they're not loyal, they don't support you, but they still do their job.
[00:06:40.500 --> 00:06:46.965]  Okay, so these deputies complained to the Florida Division of Law Enforcement, the state agency,
[00:06:47.682 --> 00:07:02.011]  They investigated the sheriff without ever interviewing the sheriff, they filed charges against the sheriff, the attorney general filed charges, and they arrested Sheriff Finch for a felony for destroying public record.
[00:07:02.912 --> 00:07:03.872]  What a farce.
[00:07:04.313 --> 00:07:05.093]  Yes.
[00:07:05.934 --> 00:07:14.799]  Then, the governor of the state suspended Sheriff Finch and suspended him without pay.
[00:07:14.819 --> 00:07:15.380]  Wow.
[00:07:15.420 --> 00:07:16.641]  So he is no longer
[00:07:17.726 --> 00:07:18.287]  On the job.
[00:07:18.787 --> 00:07:20.669]  Does he have any plans to get back in the saddle?
[00:07:20.689 --> 00:07:21.649]  Do you know anything about that?
[00:07:22.930 --> 00:07:23.531]  Yes, he does.
[00:07:23.611 --> 00:07:24.812]  He plans to fight this.
[00:07:25.833 --> 00:07:29.315]  His attorney is Jim Judkins out of Tallahassee.
[00:07:29.856 --> 00:07:31.737]  Liberty County is close to Tallahassee.
[00:07:32.358 --> 00:07:35.981]  And quite frankly, this is just the way it is.
[00:07:36.381 --> 00:07:38.202]  We are proceeding with this.
[00:07:38.743 --> 00:07:41.565]  Sheriff Finch is going to fight this all the way.
[00:07:41.985 --> 00:07:43.506]  He is not going to take a plea bargain.
[00:07:44.027 --> 00:07:45.088]  He wants his job back.
[00:07:45.348 --> 00:07:46.589]  He wants his reputation back.
[00:07:47.359 --> 00:07:52.440]  And he wants to be back in the office that the people of Liberty County elected him to do.
[00:07:52.900 --> 00:07:53.301]  Exactly.
[00:07:53.361 --> 00:07:56.381]  Now, Sheriff, do you know if there's any way to support Sheriff Finch?
[00:07:56.581 --> 00:07:59.582]  Does he have a website or anything that people can contact him through?
[00:07:59.702 --> 00:08:00.522]  He doesn't yet.
[00:08:00.862 --> 00:08:03.263]  We're raising money for him at CSPOA.
[00:08:03.983 --> 00:08:08.324]  So if you would like to make a donation, just make it to Sheriff Finch.
[00:08:08.844 --> 00:08:11.125]  Just go to CSPOA.org.
[00:08:11.145 --> 00:08:14.426]  That's Constitutional Sheriffs and Peace Officers Association.
[00:08:15.956 --> 00:08:19.078]  When it asks you for notes, or just say, put Sheriff Finch.
[00:08:20.339 --> 00:08:25.142]  So you can make it sure that it's flagged to Sheriff Finch.
[00:08:25.242 --> 00:08:28.004]  And we are trying to raise money for him desperately.
[00:08:28.705 --> 00:08:32.207]  He's going to be out of money very soon, as he has no other job.
[00:08:32.947 --> 00:08:35.449]  And he and his family are going to be pretty tight for money.
[00:08:36.109 --> 00:08:39.672]  And paying his attorneys is going to be something that we're going to help with also.
[00:08:40.256 --> 00:08:43.057]  Okay, definitely glad to see that on your side right there.
[00:08:43.077 --> 00:08:44.657]  Now Sheriff, we'll move on to some other topics.
[00:08:44.977 --> 00:08:47.698]  Now you're, or at least you were, in New York this week.
[00:08:47.738 --> 00:08:48.578]  Is that correct, sir?
[00:08:49.919 --> 00:08:52.499]  Yes, I'm still there.
[00:08:52.999 --> 00:08:55.300]  We just left the state capitol about ten minutes ago.
[00:08:55.720 --> 00:08:57.121]  Okay, now tell us what you're doing up there.
[00:08:58.541 --> 00:09:06.803]  Well, the SAFE Act is the gun control law that New York and Cuomo and Bloomberg all were supporting here.
[00:09:07.503 --> 00:09:09.564]  It makes it illegal to have a
[00:09:10.641 --> 00:09:15.985]  Uh, assault rifle or any kind of magazine that's over seven rounds.
[00:09:16.226 --> 00:09:16.506]  Right.
[00:09:16.946 --> 00:09:20.869]  Including law enforcement, by the way, and the law enforcement community is really upset.
[00:09:21.090 --> 00:09:23.451]  Yeah, that was a pretty big oversight.
[00:09:23.672 --> 00:09:27.535]  You don't allow your law officers to carry a sufficient number of rounds.
[00:09:27.675 --> 00:09:30.077]  So anyway, we met with some sheriffs today.
[00:09:30.117 --> 00:09:31.478]  There's a lot of good sheriffs here.
[00:09:31.998 --> 00:09:38.984]  And get this, 52 out of the 62 counties in New York State
[00:09:39.617 --> 00:09:39.938]  I don't
[00:09:57.848 --> 00:10:05.616]  As things that we've talked about on Alex Jones Show numerous times, talking about how gun control does not keep us safer.
[00:10:05.716 --> 00:10:06.176]  Exactly.
[00:10:06.256 --> 00:10:17.387]  And a journalist, if I can interrupt you Sheriff, a journalist confronted Mayor Bloomberg and said, Mayor Bloomberg, will you have your private security force disarmed or have them carry fewer than seven rounds?
[00:10:17.447 --> 00:10:19.089]  And he said, I'll get back to you on that.
[00:10:20.600 --> 00:10:20.900]  Yeah.
[00:10:22.421 --> 00:10:38.189]  And the sheriffs were being so strong in opposing Governor Cuomo and the others here that, get this, Governor Cuomo called in some of the sheriffs and actually told them to shut up and get on board.
[00:10:39.390 --> 00:10:40.891]  And then he denied saying that.
[00:10:41.431 --> 00:10:41.911]  I believe that.
[00:10:41.931 --> 00:10:48.875]  They're trying to muscle the sheriffs around, but we can see sheriffs like yourself, sheriffs like Nick Finch, many others we've had on the show are just not putting up with this.
[00:10:50.458 --> 00:10:51.219]  Well, yeah, of course.
[00:10:51.319 --> 00:10:52.840]  And no sheriff in the country should.
[00:10:53.020 --> 00:10:56.622]  And so finally we have these sheriffs who are standing and doing what's right.
[00:10:57.102 --> 00:11:01.626]  You know, Sheriff Finch didn't call me and say, hey, I want a lot of publicity because I released a man.
[00:11:02.046 --> 00:11:03.527]  He was just doing his job.
[00:11:03.707 --> 00:11:05.128]  He didn't ask for any publicity.
[00:11:05.508 --> 00:11:07.309]  He didn't ask for any awards or plaques.
[00:11:07.770 --> 00:11:09.030]  He was just doing his job.
[00:11:09.531 --> 00:11:12.653]  And now we find out he got arrested, so we are coming to his aid.
[00:11:13.153 --> 00:11:18.477]  We are hoping every sheriff does the exact same thing in their counties.
[00:11:18.996 --> 00:11:20.857]  Exactly, because that's what Alex was talking about.
[00:11:20.877 --> 00:11:27.901]  You know, we ask people like yourself and other sheriffs, and not just sheriffs, but other officials to come to our aid and stand up for what's right.
[00:11:28.421 --> 00:11:30.082]  And, you know, when the times get tough, we've got to support people.
[00:11:30.102 --> 00:11:31.643]  You know what I call this?
[00:11:31.703 --> 00:11:33.824]  I think I know Alex has done the same thing.
[00:11:34.444 --> 00:11:35.905]  We've heard of state nullification.
[00:11:36.245 --> 00:11:38.386]  This is sheriff nullification.
[00:11:39.207 --> 00:11:42.768]  And it's absolutely true and something he should be doing.
[00:11:43.369 --> 00:11:47.431]  And I'm thrilled that sheriffs all across this country are now doing it.
[00:11:48.556 --> 00:11:48.916]  Exactly.
[00:11:48.956 --> 00:11:50.598]  Now Sheriff, we have to move on to some other topics.
[00:11:50.618 --> 00:11:57.783]  I want to ask you briefly, you're probably familiar with Austin City, excuse me, Austin Police Commissioner Art Acevedo.
[00:11:58.223 --> 00:12:05.429]  We had him on, well actually I had a chance to meet him about a month or so ago, and he said his law is to enforce the laws as passed.
[00:12:05.449 --> 00:12:12.894]  Now he is a, you know, he's in the Police Department, you're in the Sheriff's Department, but do you agree with that statement that his job is to enforce the laws as passed?
[00:12:13.395 --> 00:12:15.997]  For some of these elected sheriffs that are saying we would not
[00:12:16.658 --> 00:12:17.678]  Who is part of what?
[00:12:17.738 --> 00:12:18.619]  What branch am I?
[00:12:18.919 --> 00:12:19.839]  Executive branch.
[00:12:20.479 --> 00:12:37.025]  You can't say that you stand for the Constitution as an elected sheriff, law enforcement official, as part of the executive branch, invoke the Constitution in terms of the Second Amendment and turn it around and absolutely ignore the rest of our 200 years of law that talks about the separation of powers.
[00:12:37.525 --> 00:12:40.286]  You are the executive branch, whether you like it or not.
[00:12:40.746 --> 00:12:43.327]  Your job is to enforce the law as passed.
[00:12:44.454 --> 00:12:46.455]  Well, is he ever going to keep his oath of office?
[00:12:46.515 --> 00:12:47.395]  I want to ask him that.
[00:12:47.935 --> 00:13:01.541]  But I want to ask him also, if he was the chief of police in Montgomery, Alabama in 1955 when Rosa Parks was arrested for failing to give her seat to a white man, would he enforce that law too?
[00:13:01.581 --> 00:13:03.162]  Would he have arrested Rosa Parks?
[00:13:04.102 --> 00:13:05.763]  Well, that'd be a good question.
[00:13:05.803 --> 00:13:07.204]  He says he wants to enforce the law.
[00:13:07.304 --> 00:13:09.004]  I'll not put any words in his mouth.
[00:13:09.024 --> 00:13:09.745]  That's his quote.
[00:13:11.772 --> 00:13:12.612]  Yeah, that was the law.
[00:13:12.932 --> 00:13:13.573]  That was the law.
[00:13:13.693 --> 00:13:18.014]  Is he going to arrest everybody for jaywalking?
[00:13:19.634 --> 00:13:22.635]  Is he going to arrest everybody who rolls through a stop sign?
[00:13:22.695 --> 00:13:29.177]  Is he going to arrest everybody who now New York has implemented a law called unknowing a cop and go to jail?
[00:13:29.197 --> 00:13:30.057]  Yeah, that's a good one.
[00:13:30.077 --> 00:13:31.178]  I'm glad you brought that up, Sheriff.
[00:13:31.198 --> 00:13:32.278]  What do you think about that one?
[00:13:33.779 --> 00:13:38.640]  That's got to be the epitome of insanity even for New York.
[00:13:39.622 --> 00:13:44.025]  And so when I spoke at the rally today, that's the first thing I said.
[00:13:44.045 --> 00:13:51.089]  I had to come here and find out if New York is so stupid as to make a law against annoying a cop.
[00:13:51.710 --> 00:13:57.654]  So these police officers, nobody, not that chief and nobody else, enforces all laws.
[00:13:58.334 --> 00:13:59.875]  That's absolutely absurd.
[00:13:59.935 --> 00:14:01.436]  We're not robots.
[00:14:02.014 --> 00:14:03.135]  We're not programmed.
[00:14:03.495 --> 00:14:04.296]  We are people.
[00:14:04.677 --> 00:14:10.022]  And to lose our sense of humanity and compassion is the worst thing any cop can do.
[00:14:10.763 --> 00:14:17.629]  And for anybody to get up and say, I enforce all laws and that's my job, first thing I'll say is he's a liar because that's not true.
[00:14:18.190 --> 00:14:22.394]  And secondly, I want to ask, would you arrest Rosa Parks?
[00:14:23.021 --> 00:14:25.742]  And would you arrest her today if that was still the law?
[00:14:41.510 --> 00:14:46.072]  Well, it's going to be really hard for that charge to stick, obviously, but if he could document a horrible driving pattern and other probable cause
[00:15:11.984 --> 00:15:14.846]  Then the officer might be justified.
[00:15:15.466 --> 00:15:26.672]  But if he can't prove any other drugs, and if he can't prove any level of intoxication, then somebody else needs to step in and do the Sheriff Finch thing and un-arrest that man.
[00:15:27.772 --> 00:15:28.132]  Exactly.
[00:15:28.172 --> 00:15:35.496]  Now Sheriff, in closing, we were talking a little bit before we went on the air, you're investigating or part of an investigation with Sheriff Arpaio?
[00:15:36.957 --> 00:15:37.177]  Yes.
[00:15:37.757 --> 00:15:38.698]  Can you tell us a little bit about that?
[00:15:40.202 --> 00:15:42.363]  Well, we just had our convention in St.
[00:15:42.383 --> 00:16:07.795]  Charles, Missouri, and so we wanted to hear the truth, and I've already seen this before, because I have been close with Sheriff Arpaio in Phoenix, and he is a good friend of mine, and so I've looked at the evidence before, and I wanted to show all our other police officers and sheriffs the same evidence and have them decide for themselves as to whether or not the birth certificate released by the White House regarding the birth of Barack Obama
[00:16:08.516 --> 00:16:10.857]  Yeah, if it really is fraudulent.
[00:16:11.697 --> 00:16:14.559]  And it appears to me that it absolutely is.
[00:16:15.039 --> 00:16:18.380]  Now Sheriff, can you elaborate a little bit on that, on the evidence that you found?
[00:16:18.400 --> 00:16:22.722]  Because a lot of people, they hear, oh, these birthers, you know, these guys are beating a dead horse.
[00:16:23.002 --> 00:16:24.263]  What information have you found?
[00:16:25.704 --> 00:16:26.704]  Well, he's found a lot.
[00:16:26.744 --> 00:16:32.727]  First of all, they've taken off nine layers of the birth certificate.
[00:16:33.527 --> 00:16:34.327]  And in doing so,
[00:16:36.218 --> 00:16:57.969]  They have found that the person who did it, who actually did this fraudulent birth certificate, did not have the correct chronological order of the number system back in 1961 or 62, whenever it was, that was used by the health department in Hawaii at the time.
[00:16:58.349 --> 00:17:03.532]  So first, the chronological order of the number system on the birth certificate does not match.
[00:17:04.677 --> 00:17:13.819]  And then you also look at the font system used by, well, not computers back then, because there was only typewriters back then.
[00:17:13.899 --> 00:17:20.320]  If you look at the font used by the typewriters back in those days, it doesn't match either.
[00:17:20.900 --> 00:17:24.821]  And there's lots and lots of other things that add to this.
[00:17:25.121 --> 00:17:31.822]  Some circumstantial, but there's so much more evidence that is irrefutable that would stand up in any court of law.
[00:17:32.595 --> 00:17:35.257]  And I will say the same thing that Sheriff Arpaio told me.
[00:17:36.157 --> 00:17:38.359]  I don't know where Barack Obama was born.
[00:17:38.719 --> 00:17:40.660]  We have not investigated where he was born.
[00:17:41.120 --> 00:17:50.186]  What we investigated was the birth certificate released by the White House, claiming he was born in Hawaii.
[00:17:50.226 --> 00:17:51.746]  There might be another birth certificate.
[00:17:52.167 --> 00:17:54.228]  Maybe they couldn't find his old birth certificate.
[00:17:54.768 --> 00:17:55.929]  Maybe his mom lost it.
[00:17:56.607 --> 00:18:04.993]  But the birth certificate released by the White House that was on their website saying this is his birth certificate is a lie, a fake, and a fraud.
[00:18:05.874 --> 00:18:09.857]  And what I can't believe is that more people aren't paying more attention to this story.
[00:18:10.397 --> 00:18:10.737]  Exactly.
[00:18:10.777 --> 00:18:14.160]  Now if people are interested in the birth certificate, where can they find more information on that?
[00:18:16.317 --> 00:18:26.099]  Well, I don't think that anything has actually been published, but if they want to email me, I can email them back what I have.
[00:18:26.119 --> 00:18:28.939]  I'm actually meeting with Detective Zullo next week.
[00:18:29.659 --> 00:18:35.980]  I was supposed to meet with him yesterday, but I decided to come out to New York and help the people here save their Second Amendment.
[00:18:36.401 --> 00:18:37.721]  That's right, that's very important.
[00:18:38.041 --> 00:18:41.721]  If any of them want to email me, that's fine, and that's Sheriff Mack at Hotmail.
[00:18:42.422 --> 00:18:44.342]  Alright, now Sheriff Mack, can you give us your closing thoughts?
[00:18:46.394 --> 00:18:55.879]  Well, I'll tell you what, I really think that this is, like Dickens said in The Tale of Two Cities, this is the best of times and it's the worst of times.
[00:18:56.599 --> 00:19:04.584]  We actually have sheriffs standing, we have other public officials standing for the Holy Cause of Liberty and standing for the oath of office and the Constitution.
[00:19:05.024 --> 00:19:07.505]  We have living proof now that this is working.
[00:19:08.066 --> 00:19:11.287]  And I ask everyone to join me at the CSPOA.org.
[00:19:14.801 --> 00:19:21.266]  And help us continue this tremendous effort, this tremendous movement to restore freedom to America.
[00:19:21.906 --> 00:19:23.888]  One sheriff, one county at a time.
[00:19:24.328 --> 00:19:25.229]  It's starting to work.
[00:19:25.589 --> 00:19:26.289]  We can do it.
[00:19:27.070 --> 00:19:28.031]  Please join with us.
[00:19:28.771 --> 00:19:32.494]  And I want to thank Alex and you for all the support that you've given us.
[00:19:33.215 --> 00:19:39.539]  And please believe and please have hope for America because this is starting to work.
[00:19:40.500 --> 00:19:40.800]  All right.
[00:19:40.840 --> 00:19:42.321]  Sheriff Mac, SheriffMac.com.
[00:19:42.361 --> 00:19:43.182]  Thank you for your time, sir.
[00:19:44.742 --> 00:19:45.029]  Thank you.
