[00:00:09.488 --> 00:00:11.169]  Vulnerable has no price.
[00:09:03.261 --> 00:09:07.722]  You can't just, days after they identify what it is, then already have a vaccine for it.
[00:09:08.583 --> 00:09:17.425]  And you've got Baxter tied in with mixing bird flu with regular vaccines, according to the London Telegraph that we broke just a month or so ago here in the U.S.
[00:09:17.805 --> 00:09:18.425]  Then it was covered by
[00:09:19.645 --> 00:09:38.580]  Bloomberg, AP, and others, with the headlines admitting that it could have caused a worldwide pandemic, that 18 different factories in Europe, US-based Baxter, ordered them to mix live bird flu in with the regular vaccines, the perfect way to create a mutagen, or to mutate it.
[00:09:39.181 --> 00:09:47.828]  Exactly what supposedly has naturally happened, bird flu from Asia, human flu from Europe,
[00:09:48.993 --> 00:09:59.943]  Particularly deadly strain and swine flu or porcine pig flu from North America have magically mixed somewhere in Mexico and has now
[00:10:02.441 --> 00:10:19.947]  Jumped species back into humans and appears to be airborne because it's got rapid person-to-person transmission with people who haven't been around pigs, haven't been around birds, haven't been kissing anybody that had it, haven't been holding hands with anybody that had it.
[00:10:20.728 --> 00:10:24.129]  So, I want to state this on the record.
[00:10:25.811 --> 00:10:33.738]  I believe the mainstream media and the governments of Mexico, the United States, the global government, the United Nations, are hyping this to grandstand as saviors.
[00:10:34.919 --> 00:10:48.031]  And Mexico, on the verge of revolution and collapse in their own admissions, will use this crisis to unify support of the people under the ongoing corruption in police state, as the government composes a savior.
[00:10:49.710 --> 00:10:56.938]  Now before I had, I was thinking this last night on the air when I did that two and a half hour plus emergency transmission, internet only.
[00:10:58.339 --> 00:10:59.720]  Just the power of the internet was amazing.
[00:10:59.760 --> 00:11:04.485]  I've got about 9,000 on the free streams and a few thousand watching prisonplanet.tv that are members there.
[00:11:07.162 --> 00:11:07.442]  Tune in
[00:11:28.044 --> 00:11:29.545]  I gotta get a proper list of all these.
[00:11:29.565 --> 00:11:31.186]  The point is, there's a lot of affiliates.
[00:11:31.206 --> 00:11:32.886]  There's over 30 picking up The Sunday Show now.
[00:11:33.227 --> 00:11:34.387]  Over 70 The Weekday Show.
[00:11:34.407 --> 00:11:36.768]  So we have people everywhere who have these contacts.
[00:11:36.788 --> 00:11:39.029]  So I want to hear from you at 877-590-5525.
[00:11:39.049 --> 00:11:39.169]  877-590-5525.
[00:11:39.269 --> 00:11:43.151]  Or, if you're in Mexico and that toll-free number won't work.
[00:11:43.251 --> 00:11:47.173]  I know it works for some people in Mexico, but with some plans it doesn't.
[00:11:47.193 --> 00:11:47.233]  512-836-0590.
[00:11:55.143 --> 00:11:57.345]  Again, that's 512-836-0590.
[00:11:57.565 --> 00:11:58.585]  Okay.
[00:12:00.487 --> 00:12:03.789]  Let me break down the issues here.
[00:12:07.211 --> 00:12:18.960]  Just like right before 9-11, I saw preparatory brainwashing on television, the radio, and in print, saying, Al Qaeda is going to attack us.
[00:12:19.821 --> 00:12:21.962]  I mean, the average American didn't even know what Al Qaeda was then.
[00:12:22.202 --> 00:12:23.202]  Maybe one in a hundred did.
[00:12:23.523 --> 00:12:26.124]  They introduced the enemy, they said, they're about to get you.
[00:12:26.604 --> 00:12:28.425]  When they do, we're going to take all your rights.
[00:12:29.545 --> 00:12:33.427]  And I saw the feds and the army putting out white papers about how they'd already set up homeland security.
[00:12:33.447 --> 00:12:34.427]  This was before 9-11.
[00:12:34.467 --> 00:12:35.288]  It wasn't set up in 2002, folks.
[00:12:37.575 --> 00:12:38.436]  We have those documents.
[00:12:38.496 --> 00:12:39.556]  In fact, we have some of them tonight.
[00:12:39.576 --> 00:12:40.196]  We're going to go over.
[00:12:40.717 --> 00:12:44.979]  And I saw them getting ready to stage an attack.
[00:12:45.039 --> 00:12:49.842]  That's how I went on air and said, OK, they're going to stage an attack saying Al Qaeda, known CIA front, did it.
[00:12:50.142 --> 00:12:53.524]  They'll probably attack the World Trade Center again, since the Feds have done that in 93.
[00:12:53.944 --> 00:12:56.925]  On record, even the New York Times admitted the FBI cooked the bomb, trained the drivers.
[00:12:57.446 --> 00:12:58.486]  They didn't want to go forward.
[00:12:58.506 --> 00:12:59.247]  They told them, go ahead.
[00:12:59.287 --> 00:12:59.827]  It's just a drill.
[00:12:59.847 --> 00:13:03.129]  And they tried to blow up the building, but the drivers didn't park it up against the main column.
[00:13:03.789 --> 00:13:04.710]  So I said, hey,
[00:13:05.410 --> 00:13:07.351]  I think they're going to try to blow up the World Trade Centers.
[00:13:09.073 --> 00:13:10.694]  And I said, call the White House, tell them don't do it.
[00:13:10.734 --> 00:13:13.736]  Well, in the last two months, I never talk about bird flu.
[00:13:13.776 --> 00:13:16.558]  I say it's hype, it's baloney, it's fear-mongering.
[00:13:16.958 --> 00:13:21.141]  If it ever is released and really causes a lot of death, it's been engineered.
[00:13:21.161 --> 00:13:25.323]  A lot of major reports have looked at some of the bird flu strains and said they are engineered.
[00:13:26.864 --> 00:13:28.005]  They're designer viruses.
[00:13:30.247 --> 00:13:33.349]  And then suddenly it comes out a few months ago that Bayer Pharmaceutical
[00:13:34.830 --> 00:13:39.492]  Knowingly shipped out Factor VIII with HIV and hepatitis in it to over a million people worldwide.
[00:13:40.073 --> 00:13:42.754]  They did it with a company, Baxter, based in the U.S.
[00:13:43.174 --> 00:13:48.617]  Then Baxter's caught lying to his subsidiary factories from Poland to Germany to the Czech Republic.
[00:13:48.757 --> 00:13:49.837]  This is mainstream news.
[00:13:49.857 --> 00:13:52.579]  Toronto Star, Reuters, you name it.
[00:13:52.619 --> 00:13:53.199]  Just Google it.
[00:13:53.439 --> 00:13:57.041]  We got stories up on InfoWars.com and PrisonPlanet.com that detail this.
[00:13:57.101 --> 00:13:58.862]  And I'm going to go to the latest info with what's happening now.
[00:14:01.283 --> 00:14:08.386]  And they mix the most powerful version of human bird flu, i.e.
[00:14:09.146 --> 00:14:10.286]  bird flu that can kill humans.
[00:14:10.846 --> 00:14:13.707]  90% kill rate on those that have gotten it all over the world.
[00:14:14.288 --> 00:14:15.708]  But it hadn't gone airborne yet.
[00:14:16.068 --> 00:14:17.089]  Very hard to contract.
[00:14:17.129 --> 00:14:19.429]  But if you get it, nine times out of ten you're dead.
[00:14:22.090 --> 00:14:23.191]  And suddenly,
[00:14:24.184 --> 00:14:25.865]  They mail it out from the U.S.
[00:14:26.365 --> 00:14:38.033]  to 18 factories and tell them, and list it as regular human flu strain of the year, and they say mix it with this wide spectrum of flu viruses for Europeans to have it injected into them.
[00:14:38.053 --> 00:14:42.976]  And over there, they've had the laws open where these are actually cultured on dead babies.
[00:14:43.197 --> 00:14:48.600]  They'll call it fetal tissue, but it's cultured in dead babies, just to add a macabre twist.
[00:14:50.109 --> 00:14:52.790]  I guess royal flush to the nightmare nature of it.
[00:14:53.211 --> 00:14:54.111]  That's going on there.
[00:14:55.612 --> 00:14:59.314]  So they're breeding up in these big vats with those sawed up, minced baby.
[00:15:00.474 --> 00:15:05.037]  They've got all this, you know, that's how dignified we think human life is, these eugenicists that run things.
[00:15:05.657 --> 00:15:08.138]  You know, you may not care about those babies, but the globals don't care about you either.
[00:15:08.899 --> 00:15:10.620]  And so they mix the live bird flu with it.
[00:15:12.120 --> 00:15:15.022]  And then they all, and then some of the firms, subsidiaries,
[00:15:16.132 --> 00:15:24.794]  like to test it on ferrets and guinea pigs because if they test the flu virus vaccine on it and it gets sick, that means they didn't radiate the batches correctly.
[00:15:26.935 --> 00:15:29.135]  So that it just gives you immunity and doesn't actually make you sick.
[00:15:29.775 --> 00:15:33.116]  Well, not only did the ferrets get sick, all of them died.
[00:15:33.676 --> 00:15:34.676]  And they went, whoa!
[00:15:35.657 --> 00:15:37.777]  So that one firm in the Czech Republic tested it.
[00:15:38.137 --> 00:15:40.318]  Top scientists went in the newspapers and said, this is a setup.
[00:15:43.502 --> 00:15:50.703]  Baxter had to have been trying to mix this to cover up a release, and it turns out Baxter is developing separately a bird flu vaccine.
[00:15:51.224 --> 00:15:54.604]  They now have a swine flu vaccine, they're in the news on that today in the Chicago Tribune.
[00:15:55.604 --> 00:16:07.727]  And the issue is, this is very serious, even if it is an accident, you know, accidentally 18 locations, 18 different factories, you mail out bird flu to be mixed with regular flu, and the scientist on record all over the newspaper said,
[00:16:08.570 --> 00:16:13.816]  This is the perfect way to have it mutate in the vats, in the fetal tissue.
[00:16:13.836 --> 00:16:16.759]  Sometimes they use eggs too, or monkey tissue.
[00:16:19.022 --> 00:16:22.125]  And then if you inject it in a human, it'll mutate again and go airborne.
[00:16:22.726 --> 00:16:26.410]  Now, I'll give you the latest on this bird, swine, human flu that's out.
[00:16:26.730 --> 00:16:28.312]  When we get back, stay with us.
[00:16:31.964 --> 00:16:35.568]  When making important financial decisions, you should always know the facts.
[00:16:35.868 --> 00:16:39.411]  That's why Midas Resources is willing to pay you to read the facts.
[00:16:39.691 --> 00:16:48.520]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:16:48.860 --> 00:16:52.804]  Midas Resources offers a host of services and stands behind their products.
[00:16:53.104 --> 00:16:57.328]  In fact, if you call and order their free Midas Report, Midas Resources will pay you
[00:16:57.948 --> 00:17:03.370]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:17:03.390 --> 00:17:08.851]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:17:08.871 --> 00:17:10.332]  So, what are you waiting for?
[00:17:10.512 --> 00:17:16.393]  Get the facts and call Midas Resources toll free at 888-292-2709.
[00:17:16.694 --> 00:17:19.354]  That's 888-292-2709.
[00:17:19.574 --> 00:17:24.936]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[00:17:32.026 --> 00:17:35.309]  Silver is mankind's oldest natural antibiotic.
[00:17:35.489 --> 00:17:39.553]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:17:39.733 --> 00:17:51.163]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:17:51.404 --> 00:17:57.229]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:17:57.329 --> 00:17:57.689]  I think so.
[00:18:17.782 --> 00:18:20.444]  We all need to prepare ourselves.
[00:18:20.464 --> 00:18:24.947]  You might have the food, water, gold, and silver, but ask yourself, are you truly prepared?
[00:18:39.378 --> 00:18:41.841]  That's why you need to visit MaineMilitary.com.
[00:18:42.222 --> 00:18:44.564]  MaineMilitary.com carries everything you need.
[00:18:44.764 --> 00:18:52.113]  Gas masks, wool blankets, fire starter kits, high-capacity magazines, chemical suits, military surplus items, and much more.
[00:18:52.533 --> 00:18:53.555]  Do you own a firearm?
[00:18:53.915 --> 00:18:57.940]  MaineMilitary.com has a large selection of pistols and rifles suited for your needs.
[00:18:58.400 --> 00:19:00.381]  Are your local stores sold out of ammunition?
[00:19:00.781 --> 00:19:04.883]  Call or visit them today for prices on hard-to-find ammo and bulk ammo orders.
[00:19:05.123 --> 00:19:13.847]  You don't need to worry about having a military surplus store in your area, because MainMilitary.com is the only store you'll ever need, all from the comfort of your computer.
[00:19:14.267 --> 00:19:17.108]  Visit them online today at MaineMilitary.com.
[00:19:17.228 --> 00:19:18.589]  That's Maine, like the state.
[00:19:19.009 --> 00:19:20.169]  Military.com.
[00:19:20.549 --> 00:19:21.210]  Or call them at 1-877-608-0179.
[00:19:21.230 --> 00:19:21.490]  That's 1-877-608-0179.
[00:19:35.367 --> 00:19:38.352]  Times are tough right now, and people are unsure about our future.
[00:19:38.672 --> 00:19:42.599]  The economy is hurting, even though there are powers that would make us believe differently.
[00:19:42.939 --> 00:19:45.503]  Banks are failing, and the gold buyers are buying.
[00:19:46.044 --> 00:19:48.889]  Question, with all the chemicals being put into our air,
[00:19:49.657 --> 00:19:53.839]  How do you use gold when you're very sick or dead?
[00:19:54.199 --> 00:19:55.919]  Investing in precious metals is smart.
[00:19:56.299 --> 00:19:58.440]  Investing in your health could be smarter.
[00:19:58.880 --> 00:20:02.902]  Life Change Tea changes your life just by drinking our tea.
[00:20:03.282 --> 00:20:04.762]  Detox from deadly chemicals.
[00:20:05.123 --> 00:20:07.363]  Flush poisons that cause harm to your organs.
[00:20:07.883 --> 00:20:10.765]  And lose unwanted pounds that bog you down.
[00:20:11.245 --> 00:20:11.645]  Call us!
[00:20:11.665 --> 00:20:11.705]  928-308-0408.
[00:20:11.725 --> 00:20:12.465]  Again, 928-308-0408.
[00:20:18.347 --> 00:20:23.110]  3 0 8 0 4 0 8 Or you can order online at GetTheTea.com.
[00:20:23.270 --> 00:20:25.672]  That's GetTheTea.com.
[00:20:25.932 --> 00:20:26.732]  Life Change Tea.
[00:20:27.113 --> 00:20:28.133]  We're changing lives.
[00:20:32.936 --> 00:20:34.237]  You're listening to GCN.
[00:20:34.277 --> 00:20:37.059]  The Genesis Communication Radio Network.
[00:20:43.092 --> 00:20:46.814]  Okay, we got Santiago in Mexico City.
[00:20:46.834 --> 00:20:47.534]  There's lots of sick people.
[00:20:47.554 --> 00:20:48.455]  We're going to go to him first.
[00:20:49.155 --> 00:20:50.896]  Steve in Tempe, Mexico.
[00:20:52.937 --> 00:20:54.298]  We'll give us a report on what's happening.
[00:20:54.358 --> 00:20:55.659]  Chris in Tampa, Florida.
[00:20:55.759 --> 00:21:01.882]  Ken in Shirts, Texas, where they've got five schools shut down for the next few days.
[00:21:02.442 --> 00:21:05.204]  So we'll be going over that as well.
[00:21:05.264 --> 00:21:06.204]  Again, a lot of data.
[00:21:06.284 --> 00:21:07.385]  I have it here in front of me.
[00:21:07.445 --> 00:21:11.047]  I want to go to your phone calls, but here's some basic facts I want to lay out.
[00:21:12.185 --> 00:21:34.855]  We have eugenicists that control the major governments of the world, the UN Biological Diversity Assessments, Ted Turner, Prince Philip, Prince Charles, they all write books saying they want 80% of us to die and they want to come back as deadly viruses to kill us in the next life and you know all these weird statements and State Department Memorandum 200.
[00:21:35.715 --> 00:21:36.976]  Listen folks, I'm giving you documents.
[00:21:38.462 --> 00:21:45.081]  Saying that, you know, they'll give the third world nations money if they'll carry out the sterilization and reduction of their population of at least 50%.
[00:21:46.892 --> 00:21:59.216]  So when we see things like this, and Australia and England are announcing they want one-child policies, and you can just Google this, England wants to cut its population in half from 66 million to 33 million.
[00:21:59.656 --> 00:22:00.836]  That's a BBC headline.
[00:22:00.876 --> 00:22:01.937]  They say it's good.
[00:22:02.997 --> 00:22:06.858]  Australia wants to cut it from 20-something million to half.
[00:22:07.638 --> 00:22:09.179]  Those are the headlines this week.
[00:22:09.259 --> 00:22:12.820]  So remember, as the government poses as the savior,
[00:22:13.400 --> 00:22:20.045]  Every time there's one of these outbreaks and things like this happening, we have to remember what they really stand for.
[00:22:20.125 --> 00:22:26.489]  Now, that said, I think this is hyped way, way, way, way out of proportion.
[00:22:26.969 --> 00:22:39.438]  But we have to take it seriously because the Security and Prosperity Partnership documents that were released a few years ago and Judicial Watch sued to get them, the big North American Union meeting, had them stating
[00:22:41.573 --> 00:22:47.575]  The leaders of North America, Mexico, US, and Canada, that they would use outbreaks and things to bring in the North American Union.
[00:22:47.875 --> 00:23:07.701]  That out of crises, economic, biological, terrorist, that out of any of those three things, economics, terrorist attacks, or normal biological releases, they could claim it's a naturally occurring event and they could be releasing it, but that out of that they would bring in the North American Union.
[00:23:08.607 --> 00:23:12.669]  Now let's talk facts, then I'm going to Santiago in Mexico City, who I appreciate holding.
[00:23:15.010 --> 00:23:16.350]  Because this is the most important thing.
[00:23:16.390 --> 00:23:22.613]  There are at least 15,000 deaths a year in the United States of flu.
[00:23:24.215 --> 00:23:31.377]  Because of the sanitation not being as good, and some other factors, they have around 20,000 on average in Mexico.
[00:23:31.697 --> 00:23:33.058]  There's only 100 million people down there.
[00:23:33.378 --> 00:23:37.379]  So a country of 300 million people, we have 15,000 deaths on average.
[00:23:37.399 --> 00:23:38.700]  Sometimes it's lower, sometimes it's higher.
[00:23:38.960 --> 00:23:39.540]  Sometimes it's above 30,000.
[00:23:40.440 --> 00:23:45.442]  Back in 1918, close to a million Americans died.
[00:23:45.462 --> 00:23:47.963]  40 million plus died worldwide.
[00:23:47.983 --> 00:23:51.984]  You can pull up Encyclopedia Britannica to see those numbers, and that was a swine flu as well.
[00:23:53.291 --> 00:23:54.311]  And that broke out on a U.S.
[00:23:54.331 --> 00:23:59.192]  military base, just like the 1976 swine flu, and that was clearly a biological program.
[00:23:59.212 --> 00:24:02.113]  Then they tried to vaccinate the whole population of the U.S.
[00:24:02.713 --> 00:24:04.934]  Thousands of people died, ladies and gentlemen.
[00:24:05.274 --> 00:24:09.815]  Many of them diagnosed with Guillain-Barnes diseases.
[00:24:12.636 --> 00:24:15.136]  On record, causing an autoimmune disease that killed them.
[00:24:17.177 --> 00:24:18.837]  So, what am I saying here?
[00:24:19.177 --> 00:24:21.418]  We don't know what's happening, right now.
[00:24:22.944 --> 00:24:25.645]  All we know is that somebody is lying.
[00:24:27.186 --> 00:24:31.388]  We have governments that use stage crises to get more power and control.
[00:24:31.748 --> 00:24:33.128]  They could have released this flu.
[00:24:34.149 --> 00:24:36.470]  It could be super deadly, like some are saying.
[00:24:37.010 --> 00:24:38.391]  It could just be a regular flu.
[00:24:38.411 --> 00:24:39.211]  They're over-hyping.
[00:24:40.131 --> 00:24:51.316]  Because if you've got more than 15,000 people a year dying in Mexico from the flu, mainly in Mexico City, 30-something million people, half of them almost homeless, open sewers,
[00:24:52.893 --> 00:24:56.335]  Suburbs that stretch for hundreds of miles around the mega city, biggest city in the world.
[00:24:57.536 --> 00:24:59.217]  So why are they hyping 80 deaths?
[00:24:59.557 --> 00:25:02.099]  It was 68 yesterday, 80 today.
[00:25:02.159 --> 00:25:06.042]  The BBC, though, has doctors and others posting in their stories.
[00:25:06.462 --> 00:25:13.086]  The BBC is talking to doctors saying, no, it's actually hundreds and hundreds and hundreds dead, but the government's covering it up not to create panic.
[00:25:13.446 --> 00:25:14.767]  Then what happens last night?
[00:25:15.087 --> 00:25:16.708]  I open the phones up to Mexico City.
[00:25:17.489 --> 00:25:21.632]  They call in and they say, look, I was at the hospital for my wife to have a baby.
[00:25:22.635 --> 00:25:38.166]  and there's people vomiting everywhere and passed out the bathrooms on the floor uh... i got calls from states in northern mexico and people you know falling down collapsing vomiting everywhere uh... and and and some of the northern states locking down from the southern states in mexico
[00:25:40.973 --> 00:25:45.877]  You've got World Health Organization, a bunch of eugenicists openly calling for world population reduction at the UN.
