[00:00:14.178 --> 00:00:15.299]  Today, that's 1-800-426-6186.
[00:09:10.167 --> 00:09:21.773]  They were going to set up a European Union, buy off the United States, and set up a North American Union, and that's in the Globe and Mail, BBC, and other major international publications.
[00:09:24.715 --> 00:09:25.755]  Now, I want to be clear.
[00:09:25.795 --> 00:09:27.036]  The New World Order is not Nazi.
[00:09:29.062 --> 00:09:35.289]  What really happened is, you know, the British media is spinning it that the European Union was set up by Nazis.
[00:09:35.789 --> 00:09:37.131]  And that's true to a certain extent.
[00:09:37.151 --> 00:09:47.542]  You had a lot of wealth, trillions of dollars, even in the numbers of the 40s, the tens of trillions today, that went underground.
[00:09:47.622 --> 00:09:50.845]  And it was intermarried with the British and other wealthy around Europe.
[00:09:52.574 --> 00:09:53.454]  A lot of U.S.
[00:09:53.715 --> 00:09:58.957]  financiers and robber barons were buddies with the German aristocracy, the Crumps and others.
[00:09:59.757 --> 00:10:02.639]  The Rothschilds of England owned large parts of Germany at the time.
[00:10:04.960 --> 00:10:08.861]  The King of England had to advocate because he was a public Nazi, Edward VIII.
[00:10:08.901 --> 00:10:12.103]  That's all on record, though it's not common knowledge.
[00:10:12.163 --> 00:10:13.343]  It's in the mainline history books.
[00:10:14.384 --> 00:10:15.664]  And so in 54, the CIA, with
[00:10:23.063 --> 00:10:32.766]  Prince Bernhard of the Netherlands and others set up the first Bilderberg Group meeting to kind of bring together the German money with the Anglo-American slash Dutch money.
[00:10:34.166 --> 00:10:37.347]  And the Dutch have always been more closely allied to the Anglo-Americans, the U.S.
[00:10:37.367 --> 00:10:38.588]  and England, than they have been to the Germans.
[00:10:38.628 --> 00:10:40.188]  But that's kind of the nexus point.
[00:10:40.228 --> 00:10:46.370]  That's why it was the go-between point at the Bilderberg Hotel in the Netherlands for that meeting to take place.
[00:10:49.133 --> 00:10:51.995]  And the Vildenberg Group has been bragging the last five or six years.
[00:10:52.036 --> 00:11:14.774]  They released their minutes of their first meeting, of some of the meetings in the 60s as well, decades later, where they had bragged that they set up the Treaty of Rome to set up the European Union covertly, that they're setting up the North American Union by stealth, that they're basically shaping the world we live in today, an undemocratic, tyrannical world ruled by a private group of banks.
[00:11:17.776 --> 00:11:23.199]  And then German chancellors and British prime ministers, people like David Rockefeller, write memoirs.
[00:11:23.239 --> 00:11:26.981]  He wrote his memoir four and a half years ago, bragging, yes, I'm trying to overthrow the U.S.
[00:11:27.061 --> 00:11:28.302]  and set up a new world order.
[00:11:28.642 --> 00:11:29.242]  I'm proud of it.
[00:11:31.163 --> 00:11:35.566]  Now, the elite will have all the rights in the world under this system, and everybody else will be poor slaves.
[00:11:35.786 --> 00:11:37.027]  Now, this is not a good system.
[00:11:37.067 --> 00:11:43.990]  Now, in the 40s, 50s, 60s, 70s, and 80s, and 90s, and on through today, in the year 2009,
[00:11:45.342 --> 00:11:52.746]  They run TV shows and movies and news articles making fun of people that believe in the New World Order and international banks.
[00:11:53.947 --> 00:11:55.868]  And then they would mix in absurd things, you know.
[00:11:56.728 --> 00:11:57.729]  Well, I mean, here's a clip.
[00:11:58.249 --> 00:12:00.971]  And there's been tens of thousands of things I've seen on television like this.
[00:12:00.991 --> 00:12:01.691]  You've all seen it.
[00:12:02.071 --> 00:12:03.132]  It's propaganda.
[00:12:03.152 --> 00:12:04.293]  You're being brainwashed.
[00:12:05.073 --> 00:12:06.754]  Not so funny today, though.
[00:12:07.426 --> 00:12:12.272]  When you realize that openly they're announcing a new Bank of the World that you will pay your global carbon taxes to.
[00:12:12.332 --> 00:12:15.737]  So, we've learned the new Bilderberg Group agenda for 2009 to 2010.
[00:12:15.777 --> 00:12:16.558]  We'll go over that.
[00:12:19.208 --> 00:12:24.570]  That dovetails with Government Ready's Youth Corps to take on veterans in the United States.
[00:12:25.150 --> 00:12:26.170]  No, I'm not kidding.
[00:12:26.810 --> 00:12:27.451]  You heard me.
[00:12:27.611 --> 00:12:30.972]  A Youth Corps under the federal government to take on U.S.
[00:12:31.072 --> 00:12:32.032]  veterans and gun owners.
[00:12:32.052 --> 00:12:34.473]  Remember the DHS report a few months ago we broke?
[00:12:34.673 --> 00:12:35.773]  People never believed me all the years.
[00:12:35.813 --> 00:12:36.273]  I warned you.
[00:12:36.313 --> 00:12:38.174]  Now we have the declassified documents.
[00:12:38.794 --> 00:12:43.175]  That their main buildup of homeland security is for the American people.
[00:12:43.856 --> 00:12:44.956]  It's all been set up for us.
[00:12:45.556 --> 00:12:47.997]  If we don't like the foreign bankers bankrupting everything.
[00:12:48.629 --> 00:12:50.090]  Well, let's go ahead and play Archie Bunker.
[00:12:51.071 --> 00:12:52.393]  In fact, I don't have the printout in front of me.
[00:12:52.433 --> 00:12:53.854]  What year is this Archie Bunker from?
[00:12:57.137 --> 00:12:58.799]  I know it was back in the 70s.
[00:12:59.639 --> 00:13:06.846]  Here is Archie Bunker back in the 1970s, talking about international bankers and communists wanting our guns.
[00:13:07.607 --> 00:13:09.689]  Ha ha ha, isn't Archie Bunker an idiot?
[00:13:10.180 --> 00:13:20.062]  This is so that years later when they openly set it up, when you tried to fight back against it, your neighbors... Most of you don't know why you laugh at people that talk about global cabals.
[00:13:20.602 --> 00:13:23.443]  Most of you don't know why you won't get involved in defending your country.
[00:13:23.743 --> 00:13:28.784]  You've been preconditioned tens of thousands of times by TV and culture that it's kooky to do so.
[00:13:29.285 --> 00:13:33.786]  They destroyed your natural defenses for sovereignty, for patriotism.
[00:13:33.826 --> 00:13:35.446]  They call it evil nationalism.
[00:13:36.058 --> 00:13:37.898]  Well, here they are, making fun of Archie Bunker.
[00:13:38.118 --> 00:13:40.579]  He's the buffoon, he's the racist, he's the idiot.
[00:13:41.039 --> 00:13:45.140]  And how dare him not want to turn his guns in and have international bankers ruling?
[00:13:45.780 --> 00:13:46.800]  Good evening, everybody.
[00:13:46.880 --> 00:13:55.122]  This is Archie Bunker of 704 Houser Street, veteran of the big war, speaking on behalf of Guns for Everybody.
[00:13:56.162 --> 00:13:57.183]  Now, question.
[00:13:58.003 --> 00:14:01.443]  What was the first thing that the communists done when they took over Russia?
[00:14:02.284 --> 00:14:03.804]  Answer, gun control.
[00:14:04.448 --> 00:14:09.509]  And there's a lot of people in this country who want to do the same thing to us here in a kind of conspiracy scene.
[00:14:10.169 --> 00:14:18.431]  You take your big international bankers, they want to, what do you call it, masticate the people of this here nation like puppets on a wing.
[00:14:18.992 --> 00:14:22.332]  And they're going to get that done and bring us over to the commons.
[00:14:22.412 --> 00:14:25.513]  Oh, I'm glad they put you on a stool.
[00:14:25.933 --> 00:14:28.154]  You look taller sitting down.
[00:14:29.463 --> 00:14:35.028]  Now, I want to talk about another thing that's on everybody's mind today, and that's your stick-ups and your skyjackets.
[00:14:35.568 --> 00:14:39.592]  Which, uh, if that was up to me, I could end the skyjackets tomorrow.
[00:14:40.292 --> 00:14:40.753]  You could?
[00:14:41.273 --> 00:14:43.795]  All you gotta do is arm all your passengers.
[00:14:44.335 --> 00:14:49.800]  I mean, he ain't got no more superiority there.
[00:14:49.820 --> 00:14:52.002]  He ain't gonna dare to pull out no ride.
[00:14:52.891 --> 00:14:57.052]  And then your airlines, then they wouldn't have to chase the passengers on the ground no more.
[00:14:57.612 --> 00:15:02.233]  They just pass out the pistols at the beginning of the trip, and they pick them up again at the end.
[00:15:03.654 --> 00:15:04.314]  Case closed.
[00:15:06.954 --> 00:15:07.495]  All right, folks.
[00:15:07.515 --> 00:15:12.576]  We're going to come right back and analyze this brainwashing and take your phone calls and a lot more.
[00:15:13.136 --> 00:15:15.997]  But this is how programming works.
[00:15:16.077 --> 00:15:17.597]  This is how it's always worked.
[00:15:18.670 --> 00:15:23.312]  But you know, in the states where they have said everybody can be armed with concealed carry, crime rates go down on average 24%.
[00:15:24.332 --> 00:15:31.535]  So actually, that sounds radical to gelded, domesticated slaves, but not to everybody else.
[00:15:31.595 --> 00:15:32.335]  We'll be right back.
[00:15:44.497 --> 00:15:45.298]  We're good to go.
[00:16:09.277 --> 00:16:10.598]  Yeah, we're good.
[00:16:22.708 --> 00:16:24.409]  Our beloved republic is on her knees.
[00:16:24.710 --> 00:16:28.152]  The forces of globalism are destroying national sovereignty worldwide.
[00:16:28.333 --> 00:16:30.174]  But in Liberty's darkest hour, there is hope.
[00:16:30.795 --> 00:16:33.557]  The first time in modern history, the people are beginning to wake up.
[00:16:33.977 --> 00:16:39.081]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:16:39.361 --> 00:16:47.628]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:16:47.928 --> 00:16:51.191]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:16:51.471 --> 00:16:54.434]  Do your herbal remedies have unwanted additives and fillers?
[00:16:54.694 --> 00:16:56.836]  Have you ever tested your body's pH level?
[00:16:57.216 --> 00:16:59.918]  Make a change to organic health and beauty products.
[00:17:00.179 --> 00:17:03.021]  Visit 2benatural.com and order today.
[00:17:03.602 --> 00:17:12.249]  2benatural.com carries exclusive all-natural chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:17:12.589 --> 00:17:14.491]  Visit 2benatural.com.
[00:17:14.691 --> 00:17:17.293]  That's T-O-B-E-natural.com.
[00:17:17.834 --> 00:17:18.995]  2benatural.com.
[00:17:19.355 --> 00:17:23.737]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:17:23.937 --> 00:17:24.217]  Call 1-888-417-1375.
[00:17:24.237 --> 00:17:26.178]  That's 1-888-417-1375 to order or request your free catalog.
[00:17:26.278 --> 00:17:31.701]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:17:40.425 --> 00:17:48.191]  Unfortunately, with taxation, the rising cost of food, energy, housing and medical, many retirees are forced to live below the poverty line.
[00:17:48.552 --> 00:17:56.418]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:17:56.718 --> 00:18:01.482]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:18:01.822 --> 00:18:06.446]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[00:18:07.006 --> 00:18:10.868]  A gripping adventure into the secret world of International Banking Cartel.
[00:18:11.368 --> 00:18:12.368]  Hi, this is Ted Anderson.
[00:18:12.448 --> 00:18:16.530]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:18:16.950 --> 00:18:21.332]  Call 1-800-686-2237 and order a copy today.
[00:18:21.852 --> 00:18:24.414]  It's critical that the public be made aware of the system.
[00:18:24.854 --> 00:18:26.534]  Call and order your copy today at 1-800-686-2237.
[00:18:26.634 --> 00:18:26.855]  That's 1-800-686-2237.
[00:18:34.884 --> 00:18:40.348]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:18:40.368 --> 00:18:40.909]  and the world.
[00:18:41.169 --> 00:18:44.631]  And for the first time in their lives, they are feeling the need for preparedness.
[00:18:45.032 --> 00:18:51.276]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:18:51.537 --> 00:18:53.318]  Ready Reserve is the manufacturer.
[00:18:53.558 --> 00:18:58.802]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[00:18:58.982 --> 00:19:01.543]  With double enameled cans and nitrogen packaging.
[00:19:01.783 --> 00:19:06.204]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:19:06.485 --> 00:19:12.026]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:19:12.286 --> 00:19:14.307]  Many companies do not even offer a catalog.
[00:19:14.467 --> 00:19:16.708]  We will be more than happy to send a catalog to you
[00:19:17.068 --> 00:19:17.849]  Free of charge.
[00:19:18.149 --> 00:19:18.450]  Dial 1-800-453-2202.
[00:19:18.470 --> 00:19:18.550]  1-800-453-2202.
[00:19:18.570 --> 00:19:20.092]  Or visit our website at ReadyReserveFoods.com.
[00:19:20.112 --> 00:19:22.234]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:19:22.255 --> 00:19:22.615]  Call us at 1-800-453-2202.
[00:19:38.982 --> 00:19:43.305]  Have you ever noticed that celebrities are endorsing weight loss products and health aids?
[00:19:44.045 --> 00:19:46.727]  Do you think they endorse these products for free?
[00:19:47.848 --> 00:19:48.528]  I don't think so.
[00:19:48.828 --> 00:19:52.651]  I'm here to tell you, I'm not a celebrity and Life Change T doesn't need one.
[00:19:52.911 --> 00:19:56.133]  Think about this, the product speaks for itself!
[00:19:56.733 --> 00:19:57.833]  What a concept!
[00:19:58.314 --> 00:19:59.354]  Our product works.
[00:19:59.914 --> 00:20:01.955]  You get healthy, and you'll lose weight.
[00:20:02.455 --> 00:20:03.095]  Summer's coming.
[00:20:03.336 --> 00:20:04.296]  Lookin' feel good!
[00:20:04.876 --> 00:20:06.397]  Order now.
[00:20:06.417 --> 00:20:06.697]  928-308-0408.
[00:20:06.717 --> 00:20:11.178]  Write this down.
[00:20:11.198 --> 00:20:12.559]  928-308-0408.
[00:20:13.239 --> 00:20:15.500]  Or you can order online.
[00:20:15.680 --> 00:20:16.180]  It's easy.
[00:20:16.480 --> 00:20:17.941]  GetTheTea.com.
[00:20:18.161 --> 00:20:20.382]  That's GetTheTea.com.
[00:20:20.662 --> 00:20:25.904]  You have nothing to lose, but the excess around your, uh, anyway.
[00:20:26.264 --> 00:20:28.285]  Life Change T. It speaks for itself.
[00:20:28.805 --> 00:20:30.966]  That's GetTheT.com.
[00:20:30.986 --> 00:20:38.950]  You're listening to GCN.
[00:20:38.990 --> 00:20:41.451]  Genesis Communication Radio Network.
[00:20:44.793 --> 00:20:47.834]  And it makes a fiery ring.
[00:20:49.435 --> 00:20:50.355]  We are back live.
[00:20:50.375 --> 00:20:51.116]  Thank you for joining us.
[00:20:53.687 --> 00:20:55.947]  Okay, I'm just going to go ahead and go to your phone calls.
[00:20:56.488 --> 00:21:00.928]  Eric, and Walt, and Steve, and George, and Bill, and many others that are patiently holding us.
[00:21:00.968 --> 00:21:02.149]  Do have one line open.
[00:21:02.169 --> 00:21:02.789]  That's a rarity.
[00:21:02.809 --> 00:21:05.529]  877-590-5525 or 836-0590.
[00:21:05.549 --> 00:21:10.990]  And if you disagree with me, you're also welcome to call.
[00:21:11.050 --> 00:21:14.631]  Go to the head of the line, as long as we can keep it civil here.
[00:21:15.091 --> 00:21:15.931]  Myself included.
[00:21:15.971 --> 00:21:17.051]  You know, I have problems with that.
[00:21:17.071 --> 00:21:17.111]  877-590-5525.
[00:21:21.329 --> 00:21:24.892]  And coming up, government readies youth corps to take on vets.
[00:21:26.053 --> 00:21:33.679]  Ten minutes into errant mayhem in his town near the Mexican border, and a gunman, a disgruntled Iraq war veteran, has already taken out two people.
[00:21:34.179 --> 00:21:37.362]  One slumped at his desk, the other covered with blood on the floor.
[00:21:37.782 --> 00:21:43.046]  But here come the Boy Scouts under Homeland Security command to seek and destroy and wipe out the vets.
[00:21:43.667 --> 00:21:45.528]  That's what the New York Times is reporting.
[00:21:45.888 --> 00:21:47.670]  And you know, this isn't just one little case.
[00:21:48.599 --> 00:21:48.839]  Of it.
[00:21:49.280 --> 00:21:50.741]  There's hundreds and hundreds I'm aware of.
[00:21:50.781 --> 00:21:52.442]  So I'm going to try to give folks the big picture.
[00:21:53.083 --> 00:21:54.043]  This happened in Germany.
[00:21:54.083 --> 00:21:55.084]  This happens in Russia.
[00:21:55.104 --> 00:21:56.065]  This happens in China.
[00:21:56.085 --> 00:21:57.546]  I'm going to break down.
[00:21:58.127 --> 00:22:01.069]  And folks are on InfoWars.com reading this article we wrote.
[00:22:01.709 --> 00:22:03.891]  Government readies youth corps to take on vets.
[00:22:06.053 --> 00:22:09.916]  And they are saying, oh, look at these kids.
[00:22:09.936 --> 00:22:10.697]  They look like wimps.
[00:22:10.717 --> 00:22:11.737]  They'd be easy to wipe out.
[00:22:12.598 --> 00:22:14.139]  They're not coming today.
[00:22:14.720 --> 00:22:17.502]  They're training them when they're young and impressionable
[00:22:17.847 --> 00:22:20.288]  To turn them loose on you when they're 18 years old.
[00:22:21.488 --> 00:22:23.908]  Yes, we know at 14, they're not that formidable.
[00:22:25.069 --> 00:22:27.509]  The point is, in just a few years, they will be.
[00:22:29.430 --> 00:22:34.051]  They want them trained, but when they're still young and stupid at 18, and don't know what they're doing.
[00:22:34.071 --> 00:22:37.451]  And by the way, the government admits these are for the American people.
[00:22:38.512 --> 00:22:39.172]  Do you understand?
[00:22:39.212 --> 00:22:40.812]  This is serious.
[00:22:40.912 --> 00:22:43.193]  Okay, that's coming up, and then the latest on the Bilderberg Group.
[00:22:43.593 --> 00:22:44.333]  Big developments there.
[00:22:46.138 --> 00:22:48.280]  Wall Street Journal and others finally reported on it.
[00:22:48.660 --> 00:22:53.843]  You never, never, never see mainstream reporting in the United States on the Bilderberg Group.
[00:22:53.883 --> 00:22:58.146]  It was 130 world leaders meet and chart the course of the planet.
[00:22:58.166 --> 00:23:09.975]  We made a big stink about it this year in AP and the Wall Street Journal reported on it, but the Wall Street Journal makes a joke out of it and says, the elite gather in Greece for a not-so-secret meeting and all, what's the big deal?
[00:23:10.355 --> 00:23:13.877]  Yeah, you just said it didn't exist all these years and now it's not-so-secret.
[00:23:13.897 --> 00:23:14.618]  They just arrested
[00:23:15.441 --> 00:23:18.922]  More than a dozen members of the press, including London Guardian reporter.
[00:23:19.703 --> 00:23:25.605]  We're trying to get within two miles on public beaches and sidewalks of the hotel.
[00:23:26.866 --> 00:23:27.886]  I mean, this is amazing.
[00:23:28.526 --> 00:23:29.727]  What is this, Russia or China?
[00:23:29.767 --> 00:23:30.287]  I guess it is.
