[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[00:17:28.891 --> 00:17:37.293]  Okay, Jim Tucker, in closing, when are you getting back to the United States so we can get a full 30-minute report here on air from you?
[00:17:37.333 --> 00:17:41.394]  When are we going to see the big print edition of American Free Press with all the details?
[00:17:43.054 --> 00:17:46.575]  That will be in the one that goes to press next Thursday.
[00:17:46.955 --> 00:17:56.657]  The next one you get, if you haven't got one, let's see, this is Friday, the one mailed out today, or Thursday night, last night, will have the story files.
[00:17:57.287 --> 00:17:58.987]  Prior to the meeting itself.
[00:17:59.427 --> 00:18:01.628]  Okay, what has security done to you?
[00:18:01.908 --> 00:18:04.368]  Because you always do the ritual of trying to walk into the gate.
[00:18:04.628 --> 00:18:05.948]  Have you not done that this time?
[00:18:07.669 --> 00:18:10.889]  Oh, I did, but they didn't say a word to me.
[00:18:10.909 --> 00:18:22.431]  They just turned the car, the cab driver turned around, and I was speaking to them, but they just gave me that funny look.
[00:18:22.951 --> 00:18:26.672]  As you know, they've known me for years from the photographs they've taken.
[00:18:27.390 --> 00:18:28.771]  And so he knew who I was.
[00:18:29.191 --> 00:18:31.313]  Well, all several cops knew who I was.
[00:18:31.813 --> 00:18:34.275]  But they told the cab driver he had to go away.
[00:18:34.895 --> 00:18:38.558]  And so, well, the way the gate was locked, he couldn't even press through if he wanted to.
[00:18:38.578 --> 00:18:46.823]  Jim, do you think they were angry from last year when we were only 50 yards away bullhorning them with you there?
[00:18:46.843 --> 00:18:48.184]  Well, they're angry from every year.
[00:18:49.485 --> 00:18:51.407]  Every year they're angry that they've been discovered.
[00:18:51.427 --> 00:18:52.868]  They're angry that there's protesters.
[00:18:53.228 --> 00:18:54.709]  They're angry that there's reporters.
[00:18:55.527 --> 00:19:01.489]  I'm hopeful that they'll top up the list because of major newspapers are now covering the story.
[00:19:01.509 --> 00:19:09.912]  There's a heavy story in the Times of London today.
[00:19:09.932 --> 00:19:14.854]  And there's going to be more tomorrow, so I'm hoping they'll top it up.
[00:19:15.474 --> 00:19:16.594]  In closing, Jim.
[00:19:17.135 --> 00:19:17.755]  Sure, sure.
[00:19:18.335 --> 00:19:20.716]  In closing, Jim, to interrupt you, because we're almost out of time in 30 seconds.
[00:19:21.761 --> 00:19:25.363]  They seem to be very grim-faced, you said in your article in American Free Press.
[00:19:25.423 --> 00:19:26.103]  Are they upset?
[00:19:26.143 --> 00:19:27.244]  Are things going well for them?
[00:19:28.325 --> 00:19:29.425]  No things are going bad for them.
[00:19:31.326 --> 00:19:36.449]  Americans are responding, the Europeans are responding, and their program has been blocked.
[00:19:37.850 --> 00:19:43.173]  They're still trying to do these things we discussed earlier, and we have to keep fighting so that they don't succeed.
[00:19:44.295 --> 00:19:48.938]  Well, this is the Global Cabal, and you're there on the front lines, once a voice in the wilderness, now many people joining you.
[00:19:49.258 --> 00:19:53.480]  Jim Tucker, go with God, we're praying for you, and we'll talk to you again next week.
[00:19:53.520 --> 00:19:54.301]  Great job, sir.
[00:19:55.441 --> 00:19:55.781]  Thank you.
[00:19:56.182 --> 00:19:58.143]  All right, there goes Jim Tucker.
[00:19:59.604 --> 00:20:01.225]  All right, ladies and gentlemen, stay with us.
[00:20:01.325 --> 00:20:06.848]  Coming up, we'll talk to the London Guardian reporter, who's reportedly been detained or harassed or arrested for the third time.
[00:20:06.868 --> 00:20:08.909]  Americans, do you know where your food comes from?
[00:20:09.309 --> 00:20:10.750]  Is it safe, secure, and healthy?
[00:20:11.226 --> 00:20:15.128]  Did you know most of our food is now contaminated with genetically modified ingredients?
[00:20:15.688 --> 00:20:24.073]  We at Baker Creek Heirloom Seed Company have been helping people get pure garden seed for 12 years and carry over 1,200 varieties of GMO-free heirloom seed.
[00:20:24.693 --> 00:20:28.055]  Go to www.rareseeds.com for more information.
[00:20:28.515 --> 00:20:29.835]  That's rareseeds.com.
[00:20:30.596 --> 00:20:35.218]  Baker Creek Heirloom Seed Company was started in 1998 by a 17-year-old as a hobby.
[00:20:35.658 --> 00:20:38.580]  It was developed out of a passion for preserving our vegetable heritage.
[00:20:39.269 --> 00:20:45.353]  The company now offers the largest selection of pure heirloom seeds strive every year to bring back varieties like our forefathers grew.
[00:20:46.053 --> 00:20:49.515]  In times like these, we can't trust the government to keep our seeds safe.
[00:20:50.195 --> 00:20:54.038]  Every year at Baker Creek, we work to preserve the best of the oldest for future gardeners.
[00:20:54.758 --> 00:20:58.000]  We also offer affordable seed collections for long-term storage.
[00:20:58.400 --> 00:21:03.343]  Go to www.rareseeds.com and get your seeds from America's pure seed source.
[00:21:03.823 --> 00:21:05.284]  That's rareseeds.com.
[00:21:06.610 --> 00:21:11.917]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:21:12.438 --> 00:21:19.427]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:21:19.995 --> 00:21:26.177]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:21:26.597 --> 00:21:28.418]  Well, Obama's already fudging.
[00:21:28.558 --> 00:21:30.978]  He's fudged since day one in this election.
[00:21:31.059 --> 00:21:41.862]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:21:42.640 --> 00:21:43.921]  It's not about left or right.
[00:21:44.301 --> 00:21:45.701]  It's about a one world government.
[00:21:46.161 --> 00:21:52.504]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:21:53.084 --> 00:22:00.867]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:22:01.327 --> 00:22:02.487]  The Obama Deception.
[00:22:02.907 --> 00:22:04.108]  The people strike back.
[00:22:07.521 --> 00:22:09.502]  Are you wondering about your retirement portfolio?
[00:22:09.862 --> 00:22:15.846]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:22:16.106 --> 00:22:20.028]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:22:20.248 --> 00:22:27.112]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:22:27.412 --> 00:22:32.955]  Who needs sugar-coated excuses when you can get the cold, hard facts and proven investment leads you can't get anywhere else?
[00:22:33.335 --> 00:22:36.597]  For a free introductory copy to Robert Chapman's International Forecaster,
[00:22:37.037 --> 00:22:42.802]  Subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:22:42.902 --> 00:22:45.344]  Experience the difference.
[00:22:45.684 --> 00:22:50.648]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:22:50.929 --> 00:22:51.889]  Don't wait another minute.
[00:22:52.170 --> 00:22:55.813]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:22:55.853 --> 00:22:56.033]  That's 877-479-8178.
[00:23:05.819 --> 00:23:06.360]  You worry.
[00:23:06.500 --> 00:23:08.582]  If you don't, you don't understand the situation.
[00:23:08.843 --> 00:23:09.123]  Hi.
[00:23:09.403 --> 00:23:11.886]  Summer's coming and now's the time to learn self-sufficiency.
[00:23:12.187 --> 00:23:16.432]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:23:16.732 --> 00:23:18.915]  Experience is the best teacher, but that means time.
[00:23:19.195 --> 00:23:22.259]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:23:22.559 --> 00:23:24.281]  Author Linda Runyon is that teacher.
[00:23:24.482 --> 00:23:25.503]  Her wild food knowledge
[00:23:25.623 --> 00:23:27.865]  Folks, I can vouch that Linda's the real deal.
[00:23:27.965 --> 00:23:29.026]  She's my mom and I watched her do it.
[00:23:29.046 --> 00:23:30.607]  So go to OfTheField.com or call 888-51-EAT-FREE.
[00:23:54.947 --> 00:23:55.568]  Start now.
[00:23:55.848 --> 00:23:56.829]  Knowledge is power.
[00:23:57.569 --> 00:23:58.390]  Better take action.
[00:23:58.410 --> 00:23:59.611]  I think a storm's coming.
[00:23:59.631 --> 00:24:09.599]  Get up, stand up.
[00:24:09.859 --> 00:24:14.843]  Stand up for your right.
[00:24:24.009 --> 00:24:40.814]  All right, we've got a Leningradian reporter coming up in T-minus nine minutes.
[00:24:40.994 --> 00:24:46.096]  A bunch of other guys I'll tell you about later, but I wanted to finish up with Paul Watson.
[00:24:47.930 --> 00:24:49.531]  We got interrupted by having Jim Tucker on.
[00:24:49.571 --> 00:24:51.993]  I'll break down those huge breaking pieces of information.
[00:24:52.413 --> 00:24:54.495]  You watch, all that's now going to happen in the next year.
[00:24:54.515 --> 00:24:57.857]  I mean, it just happens year after year.
[00:24:58.037 --> 00:24:59.298]  These people actually run things.
[00:25:00.179 --> 00:25:07.464]  We actually go to these countries and get arrested and detained and have moles inside in the Secret Service and Bilderberg group members who don't like it.
[00:25:08.585 --> 00:25:09.666]  And it's so incredible
[00:25:11.089 --> 00:25:18.241]  I mean, I've been in hotel rooms finding bugging devices and been followed and been arrested and Jim's been shot at and all this is happening.
[00:25:19.417 --> 00:25:20.558]  And it's not cloak and dagger.
[00:25:20.578 --> 00:25:26.480]  We're not like James Bond, all fancy and super handsome in perfectly tailored suits, you know, Mr. Universe.
[00:25:26.920 --> 00:25:28.161]  This is just real people.
[00:25:28.461 --> 00:25:34.184]  Gumshoe, detective-type folks, and myself, and Paul Watson, and all the other great people.
[00:25:34.204 --> 00:25:37.465]  There's quite a few rogue, alternative media people there.
[00:25:37.485 --> 00:25:41.667]  There's quite a few mainstream people there who were kind of laughing at first, but now being arrested.
[00:25:42.407 --> 00:25:42.767]  And so,
[00:25:44.108 --> 00:25:49.050]  If we just point out this is criminal, this is illegal, this is the cabal, they'll fall!
[00:25:49.150 --> 00:25:50.450]  And that's starting to happen!
[00:25:50.830 --> 00:25:57.452]  As Paul Watson said with his great article where the Dutch Prime Minister grilled over Bilderberg following Prison Planet article in the Parliament!
[00:25:58.253 --> 00:25:59.513]  The Queen's being grilled!
[00:26:00.950 --> 00:26:02.951]  You gotta have guts, because guts is enough, folks.
[00:26:03.231 --> 00:26:07.712]  You just believe in it, take action, tell the truth, don't stop fighting, and we're going to win this thing.
[00:26:07.972 --> 00:26:12.853]  Paul Watson finishing up with Government Ready's Youth Corps to take on vets.
[00:26:13.273 --> 00:26:18.115]  New York Times training the school children to take on the veterans.
[00:26:18.155 --> 00:26:19.575]  I mean, you can't make this stuff up.
[00:26:19.615 --> 00:26:20.516]  Paul Watson, finish up.
[00:26:21.756 --> 00:26:29.078]  Right, and I mean, in the article I point out that they're shifting away from the traditional boy scout pursuits of
[00:26:29.892 --> 00:26:33.353]  Sports, camping, team leadership, survival skills.
[00:26:34.153 --> 00:26:41.675]  And they're going forward and militarizing it, quote, to confront terrorism, illegal immigration, and escalating border violence.
[00:26:42.115 --> 00:26:49.777]  And it's all under the banner of this Explorers program, which is exactly how the Hitler Youth came into being.
[00:26:49.837 --> 00:26:57.619]  It started out as the Boy Scouts, and then it was militarized and became a preparatory school for the training of future Nazi leaders.
[00:26:58.140 --> 00:26:59.461]  And I don't say that lightly.
[00:26:59.681 --> 00:27:17.892]  I mean, this screams out Hitler Youth to me when you see these pictures of these teenagers with guns and they're being sent out to disarm disgruntled Iraq war veterans and people like that who are all cataloged in the Homeland Security.
[00:27:17.912 --> 00:27:18.612]  Disarm them?
[00:27:18.632 --> 00:27:22.835]  There's photos of Homeland Security saying, go in and kill everybody!
[00:27:22.855 --> 00:27:26.417]  I mean, these kids are practicing killing adults!
[00:27:27.598 --> 00:27:38.683]  You know, this is going to be introduced under the pretext of a national crisis, which relates to something that we're just going to post on the website now.
