[00:00:07.035 --> 00:00:12.279]  We are live at PrisonPlanet.tv every day during the four hour radio show.
[00:02:12.551 --> 00:02:14.112]  Joe in Texas, you're on the air.
[00:02:14.152 --> 00:02:14.472]  Welcome.
[00:02:15.673 --> 00:02:16.453]  Hello, Alex.
[00:02:16.854 --> 00:02:17.154]  Yes, sir.
[00:02:18.155 --> 00:02:18.515]  Yes, sir.
[00:02:19.195 --> 00:02:23.979]  Alex, I wanted to talk about regarding Obama and Bush.
[00:02:25.360 --> 00:02:35.307]  I'm a gunsmith here in Texas, and it's regarding the Second Amendment, that how they're trying to make gunsmiths get a manufacturer's license.
[00:02:36.032 --> 00:02:37.013]  I'm going to hold you over.
[00:02:37.033 --> 00:02:37.873]  This is important.
[00:02:37.893 --> 00:02:38.513]  I saw that in the news.
[00:02:38.574 --> 00:02:43.897]  Through regulation, that puts you under the control of a guild, and then you're just a citizen.
[00:03:03.007 --> 00:03:09.151]  buys a gunsmithing book and learns how to clean their gun or fix it, that's going to be illegal, quote, modifying it.
[00:03:10.172 --> 00:03:13.294]  And so, again, this is a way to further kill the gun culture.
[00:03:13.314 --> 00:03:13.955]  Explain it to people.
[00:03:14.875 --> 00:03:15.316]  Yes, sir.
[00:03:15.436 --> 00:03:26.844]  In the article, which I can send you off-air, but in the article they're stating where, quote-unquote from the article, November 2008,
[00:03:29.440 --> 00:03:36.222]  Yes sir, and there are even ATF and FBI recruiting, trying to recruit some of the gunsmiths at this career fair.
[00:03:53.582 --> 00:04:04.725]  It says, quote-unquote, do you suppose possible ATF is being purposely vague about defining gunsmithing versus manufacturing due to some form of top-to-bottom pressure applied by the revenuers?
[00:04:05.425 --> 00:04:11.347]  Could be, since manufacturers must collect and pay excise taxes on their sold merchandise.
[00:04:12.367 --> 00:04:16.088]  Going down, the man was asking a question.
[00:04:16.750 --> 00:04:17.671]  I'm still waiting.
[00:04:18.351 --> 00:04:19.592]  This is a reporter.
[00:04:19.752 --> 00:04:24.635]  I am still waiting for a black chopper to land on my lawn because I raised that question.
[00:04:24.895 --> 00:04:30.658]  Even though the ATF agent didn't have very good answers to my questions, I found a pretty good answer.
[00:04:31.199 --> 00:04:32.820]  April-May issue of Shop Business.
[00:04:33.740 --> 00:04:42.966]  Going down, it says, if you, the gunsmith, perform work on a firearm that has been requested by a customer, you are not manufacturing.
[00:04:43.661 --> 00:04:49.264]  If you build and work on guns with the sole objective being to sell them later, you're manufacturing.
[00:04:49.944 --> 00:04:57.048]  And what I see in this, Alex, and I want to hear your comments, is that it's going to affect the guys that reload ammunition.
[00:04:57.528 --> 00:04:58.608]  More than that, stop there.
[00:04:58.628 --> 00:04:59.249]  I'm going to hold you over.
[00:04:59.269 --> 00:05:00.069]  This is so important.
[00:05:00.669 --> 00:05:04.091]  Because I've been reading about this, and I haven't seen the article you're talking about in the industry publication.
[00:05:04.191 --> 00:05:07.353]  Email it to Aaron with two A's at InfoWars.com.
[00:05:07.373 --> 00:05:08.733]  We'll post a link to it right now.
[00:05:09.033 --> 00:05:12.115]  He's in there updating with Curt Nemo, so we can get that done.
[00:05:13.934 --> 00:05:27.207]  Every industry, so with the animal ID, the premises ID, this new greenhouse gas emission, they're going to selectively make people go through regulations, controls, to shut them down, to tax them, to trace them, and it's going to be just like private sales.
[00:05:27.868 --> 00:05:30.931]  If you work on a gun, and then the guy goes and sells it,
[00:05:31.351 --> 00:05:36.873]  They're going to claim you did that for sales, and they're going to come raid you, claiming you were illegally selling guns.
[00:05:36.893 --> 00:05:44.355]  What they really want to do is kill the grassroots retooling and selling of private firearms, and that's their big move.
[00:05:45.056 --> 00:05:49.637]  So let's come back and talk about that when we get back to the attack on the Second Amendment that is very real.
[00:05:53.479 --> 00:05:54.399]  We're on the march.
[00:05:54.879 --> 00:05:56.480]  The Empire's on the run.
[00:05:57.420 --> 00:06:00.101]  Alex Jones and the GCN Radio Network.
[00:06:04.588 --> 00:06:05.809]  Hi, this is Steve Shank.
[00:06:06.109 --> 00:06:07.250]  eFoods does it again.
[00:06:07.470 --> 00:06:12.274]  The 3-Day Responder provides one adult with three days worth of healthy, delicious, easy-fix food.
[00:06:12.594 --> 00:06:20.741]  The price of the 3-Day Responder is almost ridiculous at $21.95 for actually 12 meals plus snacks.
[00:06:21.261 --> 00:06:28.907]  When you taste the food in the 3-Day Responder, you'll understand why families trust eFoods Direct to provide healthy, delicious food for every need.
[00:06:29.308 --> 00:06:32.090]  Whether you're hunting, playing, or responding to an emergency,
[00:06:32.523 --> 00:06:35.864]  The Food and the 3-Day Responder is easy to fix and ready to go.
[00:06:36.344 --> 00:06:38.344]  Food is an everyday need.
[00:06:38.384 --> 00:06:43.485]  The 3-Day Responder is for the time when food should be the last thing you have to worry about.
[00:06:43.965 --> 00:06:46.145]  The 3-Day Responder, $21.95.
[00:06:47.386 --> 00:06:50.586]  Sometimes the best things do come in the smallest packages.
[00:06:50.946 --> 00:06:53.647]  Call 800-409-5633 on the web eFoodsDirect.com.
[00:06:53.687 --> 00:06:56.007]  That's 800-409-5633 on the web eFoodsDirect.com.
[00:07:03.664 --> 00:07:09.148]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:07:09.388 --> 00:07:10.689]  And we knew what to do.
[00:07:10.709 --> 00:07:12.491]  Or at least we thought we did.
[00:07:12.711 --> 00:07:19.155]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:07:19.736 --> 00:07:28.262]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:07:28.649 --> 00:07:35.451]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:07:35.751 --> 00:07:38.791]  He had his hand over the radio while he was getting a countdown.
[00:07:38.911 --> 00:07:44.113]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:07:44.693 --> 00:07:47.313]  This is an emergency transmission worldwide.
[00:07:47.753 --> 00:07:54.115]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order
[00:07:57.489 --> 00:07:59.551]  Do you have aches and pains or suffer from indigestion or inflammation?
[00:08:07.185 --> 00:08:09.887]  Are you tired of feeling restless from insomnia?
[00:08:10.167 --> 00:08:17.692]  These symptoms are produced by harmful toxins, but with the correct information, understanding, and care, you can cleanse them from your body.
[00:08:17.953 --> 00:08:22.416]  Allomaster.com would like to help you begin the road to recovery with aloe vera.
[00:08:22.456 --> 00:08:31.362]  For over 4,000 years, aloe vera has been known for its therapeutic and healing properties, and is widely recognized as the plant that helps alleviate minor burns.
[00:08:31.642 --> 00:08:39.554]  Allomaster.com picks the best aloe leaves and produces the most potent aloe vera concentrated juices and freeze-dry capsules you can find.
[00:08:39.854 --> 00:08:48.106]  Allomaster.com offers products with 10 times the potency of ordinary aloe products, enhancing the benefits of this ancient cleansing plant.
[00:08:48.366 --> 00:08:52.069]  Turn over a new leaf and visit us today at alomaster.com.
[00:08:52.169 --> 00:08:54.992]  That's A-L-O-E, master.com.
[00:08:55.112 --> 00:08:55.952]  Or call us at 1-800-934-A-L-O-E.
[00:08:55.972 --> 00:08:56.473]  That's 1-800-934-2563 today.
[00:08:56.493 --> 00:08:57.153]  Strange days are here.
[00:09:30.106 --> 00:09:44.051]  Yes, so a new age of big government regulation.
[00:09:44.071 --> 00:09:49.773]  They didn't triple the size of the federal government and triple the size of the BATF and build the biggest federal building
[00:09:51.161 --> 00:09:55.223]  or any agency in the United States in D.C.
[00:09:55.483 --> 00:09:59.784]  a few years ago, took four years to build it, the new B.A.T.F.
[00:10:00.765 --> 00:10:01.485]  Command Center.
[00:10:04.086 --> 00:10:05.647]  The new B.A.T.F.E.
[00:10:05.667 --> 00:10:09.748]  They tried to change their name like Monsanto and everybody else does when they get exposed.
[00:10:10.829 --> 00:10:16.171]  Very, very serious and they're coming after the gunsmiths now.
[00:10:17.379 --> 00:10:25.723]  And the NRA was set up by the federal government as a mode of gun control after the Civil War.
[00:10:26.463 --> 00:10:29.044]  And if you go study history, we've had Larry Pratt, Gunners of America, on about this.
[00:10:29.084 --> 00:10:31.425]  They supported the Gun Control Act in 33, 34.
[00:10:31.985 --> 00:10:35.387]  They supported the 68 Gun Control Act.
[00:10:35.407 --> 00:10:42.930]  They had Charlton Heston, who I've interviewed, God rest his soul, got up on TV and said, we're having these riots, we've got to restrict the guns, we've got to keep them out of felons' hands.
[00:10:44.155 --> 00:10:45.736]  Yeah, Alex, the only point I wanted to make was that
[00:11:08.835 --> 00:11:30.343]  In this article, American Gunsmith Association, November 2008, and I'll finish up with this, the basic idea was to create common ground upon which students, graduates of resident schools, as well as participating gunsmiths who were seeking employment could network with businesses and other organizations, including some law enforcement agencies.
[00:11:31.043 --> 00:11:33.084]  Now that's the co-opting of the gunsmiths.
[00:11:33.988 --> 00:11:35.250]  Yes sir.
[00:11:35.651 --> 00:11:37.173]  And that's really about all I have to say.
[00:11:37.193 --> 00:11:40.698]  I want to hear you comment, Alex, on your blessing and voice in the wilderness, sir.
[00:11:41.259 --> 00:11:41.980]  Well we're trying!
[00:11:43.581 --> 00:11:44.462]  I appreciate your call.
[00:11:44.482 --> 00:11:45.823]  Well, you've heard my comments on it.
[00:11:47.243 --> 00:11:51.466]  I mean, under the new green taxes, they've got 80 plus in New York State.
[00:11:51.506 --> 00:11:53.508]  I mean, they're just every facet of life.
[00:11:54.028 --> 00:11:59.792]  While they squeeze the economy, while they shut down Main Street, they have to extract the tens of trillions of dollars they've already stolen.
[00:12:00.332 --> 00:12:04.035]  When you write your income tax check, it doesn't go to the IRS or the Federal Treasury.
[00:12:04.455 --> 00:12:05.636]  It goes to the Federal Reserve.
[00:12:07.877 --> 00:12:09.138]  But the Federal Reserve isn't federal.
[00:12:09.378 --> 00:12:09.839]  It's private.
[00:12:10.697 --> 00:12:13.537]  Let's go ahead and talk to Derek in Detroit.
[00:12:13.597 --> 00:12:15.178]  Derek, you're on the air worldwide.
[00:12:15.738 --> 00:12:16.818]  Hey, how you doing, Alex?
[00:12:17.138 --> 00:12:17.398]  Good.
[00:12:18.558 --> 00:12:21.059]  I'm calling about the Obama family.
[00:12:21.099 --> 00:12:24.419]  I live in Detroit, and there's a huge black population here.
[00:12:25.079 --> 00:12:28.520]  And, you know, I've been talking to a lot of people.
[00:12:28.980 --> 00:12:31.040]  Actually, my fiancée, she's black.
[00:12:31.060 --> 00:12:32.741]  I've been talking to her family about it.
[00:12:33.341 --> 00:12:40.122]  And as you were saying, you know, like the race issue overshadows everything.
[00:12:40.908 --> 00:13:02.881]  We had our city council actually endorsed him, but through all the Kwame madness we had here, it seems like our local media has totally forgotten the fact that one-third of our council members are being investigated by the FBI for taking payments from Senegral.
[00:13:03.941 --> 00:13:09.805]  And it's like, if you want to know what somebody is about, you have to follow the money trail.
[00:13:11.016 --> 00:13:12.096]  That's just obvious.
[00:13:12.797 --> 00:13:23.400]  And, I mean, to have these people, who are so corrupt in our city government, backing someone such as Obama to the point where it's, you know, almost deifying.
[00:13:24.081 --> 00:13:29.463]  And, I mean, it's no wonder, you know, everybody just seems to be blindsided.
[00:13:29.523 --> 00:13:35.044]  What's happening is, and it's shameful that you have to call it and say, my fiancé's black, I'm not racist.
[00:13:35.545 --> 00:13:37.565]  But, I mean, that's how this whole thing's been dumbed down.
[00:13:37.585 --> 00:13:38.406]  That's exactly what
[00:13:39.787 --> 00:13:53.362]  KRS-One said here on the air is that it's all about the new order, putting on a black face, the novelty of that, distracting everybody from the point that he's a puppet anyways, presidents don't run anything, A. B, his agenda is a new world order.
[00:13:54.523 --> 00:14:02.228]  And then see when all this thing implodes and falls in on itself, it's going to be blamed on the black president and that's going to destroy race relations even that much more.
[00:14:02.288 --> 00:14:16.098]  So we have to look down the line of where all of this is going and all these big cities, Detroit, Houston, Dallas, Los Angeles, New York, Chicago, I mean it's all totally corrupt, whether it's black leaders, white leaders.
[00:14:16.678 --> 00:14:17.699]  That's what the elite wants.
[00:14:17.739 --> 00:14:19.341]  These people go up the chain of command.
[00:14:19.381 --> 00:14:20.502]  They get the lobbyist's money.
[00:14:20.542 --> 00:14:23.484]  They get the media attention because they did take payoffs.
[00:14:23.504 --> 00:14:24.525]  Because they were corrupt.
[00:14:25.266 --> 00:14:26.667]  And they'll work with the globalists.
[00:14:27.128 --> 00:14:31.372]  I mean, we had the big toll road companies come in here and spend hundreds of millions of dollars.
[00:14:32.032 --> 00:14:43.016]  In lobbying to literally just have the entire interstate and Texas highway system, 8,000 miles of it, plus hand it over to them and it's come out as total corruption, payoffs, all this.
[00:14:43.456 --> 00:14:44.216]  What do the companies do?
[00:14:44.236 --> 00:14:47.177]  They just buy up the newspapers to stop that reporting when it happens.
[00:14:47.857 --> 00:14:56.143]  Uh, to seize the roads and put toll roads on them, where they make a couple hundred million dollar investment over the decade, and they get hundreds of billions of dollars in tolls in the next decade.
[00:14:56.163 --> 00:14:59.765]  I mean, they're talking about hundreds of billions just in Texas alone, if they're able to do this.
[00:14:59.845 --> 00:15:02.127]  Hundreds of millions, you know, per toll road, per year.
[00:15:02.147 --> 00:15:03.928]  I mean, this is just massive.
[00:15:04.729 --> 00:15:09.472]  And so, yes, you have this big city Chicago machine creature, Barack Obama,
[00:15:11.082 --> 00:15:16.884]  Who is surrounded by criminals and cutthroats and thugs and Blagojevich who Rahm Emanuel handled.
[00:15:16.924 --> 00:15:21.766]  He brought those two up together as his protégés.
[00:15:22.326 --> 00:15:28.929]  But then you have Cheney and Halliburton being offshore and tens of billions of dollars in no-bid contracts and all that corporate corruption.
[00:15:29.029 --> 00:15:34.851]  It is just the New World Order is private offshore banks and companies combining forces offshore
[00:15:35.351 --> 00:15:46.258]  Robbing all the nations of the world, and then buying off those nations' politicians to sign treaties with the World Trade Organization and other private groups that then have more authority over the governments, over what they do.
[00:15:46.518 --> 00:15:48.119]  Then the nations are totally bankrupt.
[00:15:48.339 --> 00:15:52.542]  They have to sign IMF World Bank Agreements to follow whatever these private banks say.
[00:15:52.902 --> 00:15:59.926]  And now they're even skipping that and saying, we're going to create a World Bank that sets the currency, sets the interest rates, regulates private industry,
[00:16:00.246 --> 00:16:05.710]  Regulates local businesses, where this private banking group that engineered all this openly runs everything.
[00:16:05.950 --> 00:16:07.171]  It is so incredible!
[00:16:07.591 --> 00:16:08.912]  It's happening now!
[00:16:09.773 --> 00:16:13.755]  Everything we said, it's in Newsweek and Time and everywhere saying, world government.
[00:16:14.175 --> 00:16:15.376]  World government is here.
[00:16:15.676 --> 00:16:17.518]  The bankers will save you with world government.
[00:16:17.558 --> 00:16:18.879]  And it's just more of the same.
[00:16:19.739 --> 00:16:21.781]  So, absolutely, that's who they want.
[00:16:21.821 --> 00:16:23.762]  They want crooks they can work with.
[00:16:25.219 --> 00:16:30.283]  I don't know if you actually know what Senegro is about.
[00:16:30.944 --> 00:16:32.085]  They're a waste management.
[00:16:32.525 --> 00:16:40.872]  What they want to do is they want to convert our waste management, that is CityRan, you know, it employs Michiganders, you know.
[00:16:41.213 --> 00:16:42.394]  This is a seizure, sir.
[00:16:42.614 --> 00:16:45.016]  Sir, all the corruption is about seizure of architecture.
[00:16:45.376 --> 00:16:47.358]  Make your point and then I'll elaborate.
[00:16:47.818 --> 00:16:51.922]  Oh, well, the whole plan is they want to take human fecal
[00:16:52.515 --> 00:16:57.538]  Pelletize it, and then sell it as fertilizer for crops here in our state.
[00:16:58.379 --> 00:17:01.280]  And I mean, I don't know.
[00:17:01.321 --> 00:17:02.261]  That's always the cover.
[00:17:02.701 --> 00:17:16.970]  They want the water treatment, they want the waste management, they want the infrastructure of the city, and then they'll say, oh it's for wind power, oh it's for fertilizer, when that's only one small part but gives it a green sound, to sell the public on that has been brainwashed.
[00:17:16.990 --> 00:17:17.851]  Let me comment on that.
[00:17:18.993 --> 00:17:20.353]  You brought this up and what did I say?
[00:17:20.654 --> 00:17:35.839]  I said they want corrupt politicians in who will hand over the roads, before you even got into the waste management, who will hand over the city and state paid for gas lines, the power plants, the coal powered plants, the hydroelectric plants, the nuke plants.
[00:17:36.823 --> 00:17:41.205]  Taxpayers pay for it, private groups manage it, still make the profit, that isn't enough.
[00:17:41.385 --> 00:18:04.895]  In the IMF World Bank plan, I've been screaming about since 2002, they said in the West, in England, in Iceland, like we did in Argentina, they said in the US, in Canada, in Australia, in Europe, we are going to bankrupt the economy and then the people have to come to the private banks, the governments have to come to the private banks to go into receivership and the IMF and World Bank says, we'll give you these loans, we'll prop your currency up.
[00:18:05.851 --> 00:18:15.439]  But to do that, to be bailed out with your own money, you have to do this hundred plus list, and that's hand over all of your infrastructure.
[00:18:16.199 --> 00:18:17.741]  And so that's why most of the U.S.
[00:18:17.781 --> 00:18:21.604]  water districts and things are now owned by foreign offshore companies, because that's the group.
[00:18:22.385 --> 00:18:24.726]  And so they'll come in to a paid-for water district,
[00:18:25.580 --> 00:18:33.171]  And the Feds will even write regulations saying, doesn't matter if you've got a brand new water treatment, you've got to upgrade it with this, you know, $400 million package for some mid-sized city.
[00:18:33.191 --> 00:18:36.516]  I mean, I've seen, it was in the front page of the paper the other day here in Austin, all the corruption involved.
[00:18:37.057 --> 00:18:38.459]  It even comes out that it's all corrupt.
[00:18:38.820 --> 00:18:39.962]  And so they forced them to quote,
[00:18:41.448 --> 00:18:44.930]  Be insolvent, because they can't pay for it, the city can't pay for it with the mandate.
[00:18:44.950 --> 00:18:54.176]  And they say, don't worry, we have this European banking subsidiary that owns a water district company, a waste management, a water...
[00:18:55.999 --> 00:19:11.127]  Management company, they'll come in and you just basically sell your water district, your pipes, everything to them, the wastewater cleaning facilities to us for nothing and we'll pay for the upgrade.
[00:19:11.467 --> 00:19:12.888]  Then they usually don't even do the upgrade.
[00:19:13.668 --> 00:19:14.508]  So see how that works?
[00:19:15.169 --> 00:19:16.770]  Oh yeah.
[00:19:16.850 --> 00:19:19.131]  And they are just taking everything over.
[00:19:19.151 --> 00:19:19.591]  Anything else?
[00:19:20.551 --> 00:19:23.393]  No, nothing but you're doing a great job, man.
[00:19:23.413 --> 00:19:25.314]  I enjoy listening to you every day.
[00:19:26.072 --> 00:19:27.453]  You know, keep up the good work, man.
[00:19:27.473 --> 00:19:28.833]  I appreciate you.
[00:19:28.873 --> 00:19:34.455]  If everybody had the guts like you got to get out and say what's really going on, maybe we wouldn't be in this situation.
[00:19:34.855 --> 00:19:35.876]  But you have a great one, Alex.
[00:19:35.896 --> 00:19:36.756]  Thanks for the time, man.
[00:19:36.956 --> 00:19:37.416]  Thank you.
[00:19:37.877 --> 00:19:43.899]  I'm just somebody who 13 years ago got in a fight, well really 15 years ago, going around in politics and things, but 13 years ago on air.
[00:19:47.677 --> 00:19:52.401]  So now we're in a position to have a lot of people listening, but we need to grow exponentially to get the word out to others.
[00:19:53.141 --> 00:19:56.904]  I mean, I could go into this even more, but the roads, the land.
[00:19:57.384 --> 00:20:00.827]  I mean, here's another example of seizing infrastructure all over the country.
[00:20:01.447 --> 00:20:08.733]  Whether it's New London, Connecticut, or whether it's Hoboken, New Jersey, or whether it's Austin, Texas.
[00:20:09.893 --> 00:20:12.836]  They will go on the news and they will say, a salamander is dying.
[00:20:12.876 --> 00:20:13.636]  It's very rare.
[00:20:13.696 --> 00:20:15.337]  It's in this pool in the middle of the city.
[00:20:16.368 --> 00:20:18.883]  The water is running off of construction and will kill it.
[00:20:20.523 --> 00:20:21.443]  This is the case of Austin.
[00:20:21.503 --> 00:20:31.228]  So they say, all right, we're going to have a 15,000 acre land grab and a 5,000 acre land grab and a 1,000 acre land grab and, you know, 20 or 30 other little, you know, 100 acre land grabs here and there.
[00:20:31.248 --> 00:20:32.329]  There's all these different pieces of land.
[00:20:32.669 --> 00:20:36.771]  And they say, we're going to have a city bond proposal to buy this land.
[00:20:36.811 --> 00:20:46.016]  But then they make the people that own the land sell it, saying, well, because of the snail darter or the golden-cheeked warbler bird or the cave bug or the salamander, you can't build.
[00:20:46.696 --> 00:20:48.958]  And so their property value goes down, they're just sitting there on it.
[00:20:49.238 --> 00:20:52.920]  And they say, doesn't matter, you can sell to us for 5-10 cents on the dollar.
[00:20:54.742 --> 00:21:06.750]  Then the city councils with the Nature Conservancy, which is now the biggest landowner in the U.S., they come in and two or three years later it's the same, and everybody's forgotten that, oh, that 15,000 acres was supposed to be a giant park.
[00:21:07.370 --> 00:21:13.414]  And they'll take 200 acres, 300 acres of it, I go to these parks, of hill country, off the road, and that will be a park.
[00:21:14.895 --> 00:21:15.556]  That will be a park.
[00:21:16.721 --> 00:21:22.546]  But then they build big roads in and build houses and condos and golf courses and resorts here in Austin.
[00:21:23.567 --> 00:21:25.269]  And huge hotel day spas.
[00:21:26.890 --> 00:21:28.431]  And they just take the restrictions off.
[00:21:29.152 --> 00:21:31.114]  They say, you know what, we're going to go ahead and build on this.
[00:21:31.134 --> 00:21:31.895]  We said we weren't.
[00:21:32.195 --> 00:21:38.440]  See, so they basically steal the land, pay for it with our money, and then openly, former mayors open banks.
[00:21:39.485 --> 00:21:44.796]  Herc Watson just opens a bank and says, I have the bank and I have the deals inside government.
[00:21:44.836 --> 00:21:48.703]  He's now a state senator to where only I am allowed to decide who can build on this.
[00:21:50.626 --> 00:21:53.747]  And then literally, I mean, it's just, that's one example.
[00:21:54.127 --> 00:21:55.468]  It's everywhere.
[00:21:56.368 --> 00:21:57.308]  It's everywhere.
[00:21:58.369 --> 00:21:59.729]  In New London, Connecticut.
[00:22:00.649 --> 00:22:07.912]  Thousands and thousands of homes in a upper-middle class to lower-middle class area, depending on which area they're along the waterfront.
[00:22:08.312 --> 00:22:12.073]  We're talking three-story Victorian homes that were valued at a million bucks, $600,000.
[00:22:12.173 --> 00:22:14.294]  I interviewed the families, it was in the news.
[00:22:15.074 --> 00:22:19.916]  And they tell them a decade ago, we're going to force you to sell your houses, and by the way, we're not, see, the New London
[00:22:21.857 --> 00:22:25.258]  Connecticut Supreme Court ruling of three, four years ago.
[00:22:26.478 --> 00:22:27.298]  Was it New London?
[00:22:27.658 --> 00:22:30.659]  I forget the name of even the case.
[00:22:30.719 --> 00:22:31.519]  New London Kelo.
[00:22:31.679 --> 00:22:33.059]  New London Kelo decision.
[00:22:34.540 --> 00:22:36.140]  And they just say, guess what?
[00:22:37.780 --> 00:22:41.441]  We're not going to pay you market value for your house.
[00:22:41.461 --> 00:22:50.823]  See, before, they could come steal your land through adverse possession and through eminent domain and say, we've got to pay you market value.
[00:22:52.083 --> 00:22:54.505]  And then you could generally get what it was on the tax rolls.
[00:22:54.565 --> 00:22:55.025]  No, no, no, no.
[00:22:55.085 --> 00:23:01.309]  The new ruling, and the media simplified it to, people don't like, you know, having their houses taken for roads.
[00:23:01.349 --> 00:23:01.909]  That wasn't it.
[00:23:02.670 --> 00:23:06.232]  A big pharma company, the city, a few other companies wanted to build headquarters there.
[00:23:06.912 --> 00:23:07.793]  So they set the precedent.
[00:23:07.813 --> 00:23:10.755]  They said, we are going to take your thousand plus homes.
[00:23:11.994 --> 00:23:15.218]  And by the time the decision, most of them had given up and only a few hundred homes were still there.
[00:23:15.518 --> 00:23:19.683]  Places where grandma lived upstairs and the kids, you know, the family had been there for hundreds of years.
[00:23:20.124 --> 00:23:20.764]  Family homes.
[00:23:21.345 --> 00:23:21.966]  Famous homes.
[00:23:22.907 --> 00:23:23.588]  Historical homes.
[00:23:25.527 --> 00:23:42.757]  And they said, in the decision, not only can government, if it wants to build a road or something, take your land, you don't have to be paid fair market value, and private interests can legally lobby to have your land taken, and it's even legal for bribery to happen.
[00:23:42.938 --> 00:23:43.378]  It says it.
[00:23:43.658 --> 00:23:44.499]  They don't call it bribery.
[00:23:44.819 --> 00:23:51.343]  They say they can lobby and give campaign donations openly to politicians to take your land locally,
[00:23:52.475 --> 00:24:01.697]  And that once they take your land locally, they don't even have to pay you for it, except what it would be for the piece of land itself under a condemnation.
[00:24:02.097 --> 00:24:06.798]  Then the families that fought were told, years before the decision three years ago, was it four years ago?
[00:24:06.838 --> 00:24:07.538]  Now time flies.
[00:24:08.218 --> 00:24:11.779]  If you fight us, we will give you court fees.
[00:24:12.479 --> 00:24:19.261]  And so not only were their houses taken without being paid, they were then given the court fees for fighting it, and the Supreme Court said that was okay.
[00:24:19.801 --> 00:24:27.799]  So this is going back like a thousand years ago to ancient Europe or something, or the Byzantines, where they would just say, we just are taking your land because the emperor says so.
[00:24:30.635 --> 00:24:32.196]  Now, that's what was different.
[00:24:32.716 --> 00:24:35.078]  It wasn't just imminent domain issue.
[00:24:35.558 --> 00:24:41.602]  It was, we can just take your property, and all the major landowners in Texas have gotten these notices.
[00:24:42.002 --> 00:24:49.727]  My dad owns a good sized piece of family property, and he got notices a few years ago, the Texas Landowner and Homeowner's Bill of Rights.
[00:24:50.768 --> 00:24:55.051]  Sounds like you're getting, it's like Patriot Act, takes your rights away, and is unpatriotic, but it's called Patriot Act.
[00:24:55.791 --> 00:24:59.634]  And in the forms, my dad showed me, it said, you're put on notice.
[00:25:01.218 --> 00:25:18.882]  As a landowning taxpayer, that if you refuse a pipeline, or you refuse drilling, or you refuse a bridge, or you refuse anything the government wants to do with your property, you have six weeks to comply and take the first offer, or you forfeit the offer, and you get nothing.
[00:25:21.482 --> 00:25:33.335]  It's an offer you can't refuse, like Don Carleone having Luca Brasi put the gun to the band leader's head and say, hey, either your signature is on that contract or your brains are going to be on that contract.
[00:25:33.896 --> 00:25:34.556]  It's the same thing.
[00:25:34.737 --> 00:25:36.819]  Hey, you got six weeks.
[00:25:37.059 --> 00:25:41.284]  You take the offers or it's refused and we takes it.
