[00:00:14.446 --> 00:00:16.989]  8-8-7-6-6-6-0-6-6 today.
[00:15:09.312 --> 00:15:18.358]  They're now starting to have to come out because they're having trouble covering this up, and they're now having to admit he didn't have a gun, and they're now having to admit all this, but it's not about all that.
[00:15:21.239 --> 00:15:22.200]  That's not the issue.
[00:15:22.760 --> 00:15:30.205]  A caller called in and said, you know, they treat the blacks and Hispanics on the east side of Austin, Texas, and they have these, you know, type
[00:15:30.620 --> 00:15:32.541]  North, South, East, West, all over the country.
[00:15:32.761 --> 00:15:40.326]  The other side of the tracks, you all have similar stories in your towns and cities, that they treat them differently than they treat the wealthy areas.
[00:15:41.847 --> 00:15:47.931]  You know, in Miami, where it's mainly Hispanic, they treat the wealthy Hispanic areas differently than the poor Hispanic areas.
[00:15:47.971 --> 00:15:57.817]  I think it's more of a money thing, a class thing, because the police treat people that they know can sue them a little bit better than those
[00:15:59.565 --> 00:16:02.586]  That they don't.
[00:16:03.466 --> 00:16:10.649]  When we come back, I know this is kind of a riddle so far, I'm going to break down this microcosm that illustrates everything.
[00:16:10.689 --> 00:16:14.430]  As the caller called in and said, this is basically a eugenics program.
[00:16:14.830 --> 00:16:16.631]  Blacks and Hispanics are expendable.
[00:16:17.651 --> 00:16:20.592]  And the host made a joke going, oh yeah, prisonplanet.com.
[00:16:21.093 --> 00:16:24.294]  Then a lady calls in and says, yeah, let's kill all the Mexicans.
[00:16:24.934 --> 00:16:25.794]  And she was serious.
[00:16:26.595 --> 00:16:27.235]  Stay with us.
[00:16:27.255 --> 00:16:27.835]  I'll explain it.
[00:16:32.956 --> 00:16:38.418]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:16:38.458 --> 00:16:38.998]  and the world.
[00:16:39.258 --> 00:16:42.699]  And for the first time in their lives, they are feeling the need for preparedness.
[00:16:43.119 --> 00:16:49.361]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:16:49.621 --> 00:16:51.342]  Ready Reserve is the manufacturer.
[00:16:51.642 --> 00:16:52.263]  We're good to go.
[00:17:15.686 --> 00:17:16.667]  I think so.
[00:17:31.560 --> 00:17:31.841]  Good day.
[00:17:31.861 --> 00:17:33.222]  Jim Newcomer for Midas Resources.
[00:17:33.322 --> 00:17:34.363]  June 5th, 2009.
[00:17:34.724 --> 00:17:35.605]  Gold open this morning at $980.90.
[00:17:35.905 --> 00:17:40.470]  A one ounce gold coin can be purchased for $1,868.504.34 for the half ounce and $2.52.17 for a quarter ounce.
[00:17:40.490 --> 00:17:41.071]  That's $1,868.504.34 and $2.52.17.
[00:17:47.217 --> 00:17:52.900]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:17:53.020 --> 00:17:56.662]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:17:56.742 --> 00:17:57.682]  Bad news for U.S.
[00:17:57.722 --> 00:17:58.182]  currency.
[00:17:58.422 --> 00:18:00.583]  China and Japan hold large positions in dollar.
[00:18:00.743 --> 00:18:02.124]  Trading equals permanent loss.
[00:18:02.424 --> 00:18:04.266]  Call 800-686-2237 for Corsi's report today.
[00:18:04.326 --> 00:18:04.546]  That's 800-686-2237.
[00:18:36.821 --> 00:18:39.582]  We might have a different outlook on how we view our surroundings.
[00:18:39.982 --> 00:18:42.384]  In the past, you may not have put too much thought into it.
[00:18:42.744 --> 00:18:46.345]  But with the current health risks in the world today, it's impossible to ignore it.
[00:18:46.745 --> 00:18:48.806]  There is a solution and it's called Hazurid.
[00:18:49.327 --> 00:18:58.471]  Hazurid utilizes a fogging device that disinfects, sanitizes, and protects against influenza, viruses, bacteria, allergen, mold, and more.
[00:18:59.291 --> 00:19:01.612]  It's tough on germs, but not on children and pets.
[00:19:02.324 --> 00:19:11.806]  You'll receive the fogger, liquid concentrate, enough to make up to 32 gallons of germ-killing power, three respirators, goggles, protective suit, and heavy-duty gloves.
[00:19:12.086 --> 00:19:16.426]  Order right now at hazard.com, and you'll receive double the order of liquid concentrate.
[00:19:16.626 --> 00:19:17.247]  Or call 800-675-0323.
[00:19:17.267 --> 00:19:17.467]  That's 800-675-0323.
[00:19:17.527 --> 00:19:18.367]  Or visit hazard.com.
[00:19:18.407 --> 00:19:19.267]  That's H-A-Z-A-R-I-D.
[00:19:19.307 --> 00:19:19.527]  Protect.
[00:19:19.567 --> 00:19:19.887]  Prepare.
[00:19:19.907 --> 00:19:20.707]  Get your hazard today.
[00:19:31.983 --> 00:19:34.185]  This is Alex Jones for American Tax Settlement.
[00:19:34.345 --> 00:19:43.451]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:19:43.852 --> 00:19:51.697]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:19:51.857 --> 00:19:57.842]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800-506-5904.
[00:20:01.244 --> 00:20:05.910]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:20:06.290 --> 00:20:10.935]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:20:11.176 --> 00:20:19.826]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back, and saving consumers millions of dollars.
[00:20:20.226 --> 00:20:24.587]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:20:24.707 --> 00:20:28.448]  That's 1-800-506-5904.
[00:20:30.669 --> 00:20:31.269]  Call today.
[00:20:32.149 --> 00:20:34.530]  The GCN Radio Network.
[00:20:34.910 --> 00:20:37.811]  Providing the world with hard-hitting talk radio.
[00:20:38.331 --> 00:20:39.131]  GCN.
[00:20:39.511 --> 00:20:41.472]  Great talk radio starts here.
[00:20:58.044 --> 00:20:58.984]  Yeah, that's what we're doing.
[00:20:59.024 --> 00:21:02.246]  Trying to fight the New World Order and this devilish system.
[00:21:02.686 --> 00:21:05.267]  We're fighting the people that trained the Nazis.
[00:21:05.947 --> 00:21:10.269]  The Nazis were a mere shadow of their mother.
[00:21:10.649 --> 00:21:13.570]  Kind of like Grindel is a mere shadow of his maker.
[00:21:15.791 --> 00:21:17.792]  And who is the Beowulf to take them on?
[00:21:19.614 --> 00:21:24.918]  That is you, the people of this country and this world, who have the dynamic human spirit made in the image of God.
[00:21:25.359 --> 00:21:27.380]  That is what is going to counter the New World Order.
[00:21:27.821 --> 00:21:33.125]  Okay, so, I know about Margaret Sanger and the foundation of the modern U.S.
[00:21:33.185 --> 00:21:37.488]  technological scientific complex, the Rockefeller Foundation.
[00:21:37.568 --> 00:21:42.112]  It's all public information about their plan to kill all blacks.
[00:21:43.047 --> 00:21:49.193]  And to highly reduce anybody else of color and to kill off most whites that could compete with them.
[00:21:49.294 --> 00:21:50.034]  That's their view.
[00:21:50.214 --> 00:21:52.817]  And I'm going to go over the evidence of that coming up here today.
[00:21:54.619 --> 00:22:05.170]  But the issue is, I'm driving along and I hear about, you know, this big debate about rioting that even happened a few weeks ago when they shot these two black guys, killing one, asleep in the car.
[00:22:06.474 --> 00:22:16.422]  Rolled up, no loudspeaker, no lights, and yes, it's police policy to turn the lights on and say, you there in the car, get out, hands up, or whatever, if the police think that it's suspicious, and that's fine and dandy.
[00:22:16.742 --> 00:22:17.923]  But that's not the debate here.
[00:22:19.064 --> 00:22:22.907]  I'm driving along and I hear a caller go, well, they just don't care as much about blacks and Hispanics.
[00:22:23.628 --> 00:22:25.509]  You know, this is basically eugenics.
[00:22:25.549 --> 00:22:26.610]  They just want to get rid of them.
[00:22:28.151 --> 00:22:30.073]  And I think the host of the show rightfully got it.
[00:22:30.193 --> 00:22:31.694]  It was probably one of my listeners, and they said,
[00:22:32.641 --> 00:22:33.521]  Oh, really?
[00:22:34.202 --> 00:22:35.562]  Oh, PrisonPlanet.com.
[00:22:35.602 --> 00:22:37.623]  Yeah, there's a plan to kill all the blacks and Hispanics.
[00:22:38.883 --> 00:22:39.684]  And I'm okay.
[00:22:39.724 --> 00:22:40.244]  Very funny.
[00:22:40.264 --> 00:22:41.825]  You know, that's fine.
[00:22:41.905 --> 00:22:42.625]  It doesn't bother me.
[00:22:42.665 --> 00:22:43.585]  I mean, I got a thick skin.
[00:22:43.625 --> 00:22:44.986]  I've had Rush Limbaugh attack me.
[00:22:45.066 --> 00:22:47.247]  I've had big Democrats attack me.
[00:22:47.287 --> 00:22:48.787]  I've had National TV attack me.
[00:22:49.407 --> 00:22:51.848]  The New York Times and Bloomberg and L.A.
[00:22:51.868 --> 00:22:53.329]  Times attacked me last week.
[00:22:54.309 --> 00:22:55.109]  Got thick skin.
[00:22:55.390 --> 00:22:56.370]  It means I'm doing my job.
[00:22:56.989 --> 00:22:58.750]  And plus, I've shook both those guys' hands before.
[00:22:58.770 --> 00:23:00.491]  I've even worked with Pryor's brother.
[00:23:00.691 --> 00:23:01.171]  Nice guy.
[00:23:01.391 --> 00:23:02.252]  They were just having fun.
[00:23:02.292 --> 00:23:02.972]  It's a fun show.
[00:23:03.832 --> 00:23:08.555]  But then what came up next is what upset me, and they did counter this lady, and that's good.
[00:23:08.795 --> 00:23:13.877]  But see, they were experiencing exactly what I'm talking about, but that is in high places.
[00:23:14.518 --> 00:23:19.100]  The attitude of this lady is exactly
[00:23:20.060 --> 00:23:22.080]  What runs the New World Order.
[00:23:22.181 --> 00:23:38.684]  But she's a low-level minion who's being attacked by the very same eugenics program, but she's got this arrogant uppity attitude of, yeah, go ahead and kill the Hispanics and blacks, because they're all scum, they're all basically drug addicts, they all are gangbangers, they deserve to die.
[00:23:38.824 --> 00:23:40.845]  Abort them before they're born.
[00:23:42.245 --> 00:23:46.546]  Now, I almost called Friday when I heard this lady, because right as I'm getting out of the car,
[00:23:47.984 --> 00:23:50.205]  I hear her call in before I go and do my own show.
[00:23:51.165 --> 00:23:52.185]  And I just said, you know what?
[00:23:52.586 --> 00:23:53.546]  I'm not going to worry about it.
[00:23:54.866 --> 00:23:58.768]  And I did go on the show and, you know, mention it and cover some eugenics news.
[00:23:58.988 --> 00:24:06.810]  But then I'm driving in to do the show today in these studios, and I hear the promo of clips of the ladies saying it.
[00:24:06.870 --> 00:24:08.291]  So I thought, well, this is perfect.
[00:24:08.331 --> 00:24:09.891]  I'll just play the promo, promo their show.
[00:24:09.931 --> 00:24:12.092]  That'll, you know, kind of a win-win here.
[00:24:12.632 --> 00:24:14.693]  And mention what this lady was saying.
[00:24:14.733 --> 00:24:15.593]  See, to them,
[00:24:16.474 --> 00:24:23.179]  To the host of the local show, who are nice guys, it's so alien to think that people want to kill all the blacks and Mexicans.
[00:24:24.240 --> 00:24:24.881]  And Hispanics.
[00:24:26.001 --> 00:24:27.783]  Because they're not psychopathic killers.
[00:24:27.823 --> 00:24:31.946]  They're nice guys that run in marathons and have families and, you know, are funny guys.
[00:24:33.027 --> 00:24:34.528]  Well, see guys, you gotta grow up.
[00:24:34.568 --> 00:24:36.710]  You gotta look into what I'm saying before you dismiss it.
[00:24:36.990 --> 00:24:41.473]  Because what I'm saying is so hardcore and shocking, I don't blame you for not wanting to believe it.
[00:24:42.194 --> 00:24:45.036]  But you better understand that I have the evidence and I'm telling you the truth.
[00:24:46.283 --> 00:24:50.544]  And that goes for everybody else out there that can't believe what I'm covering and what I'm saying.
[00:24:50.864 --> 00:24:52.684]  Look, just take the challenge.
[00:24:53.044 --> 00:24:53.924]  The Taster's Choice.
[00:24:53.964 --> 00:24:54.825]  The Pepsi Challenge.
[00:24:55.045 --> 00:24:55.905]  Whatever you want to call it.
[00:24:56.385 --> 00:24:57.145]  Take the challenge.
[00:24:57.845 --> 00:24:58.705]  Look into eugenics.
[00:24:58.745 --> 00:25:01.566]  Look into eugenics Margaret Sanger Hitler.
[00:25:01.746 --> 00:25:02.266]  Google that.
[00:25:02.666 --> 00:25:04.706]  Or IBM eugenics Hitler.
[00:25:05.026 --> 00:25:09.187]  Or Microsoft eugenics... And prepare yourself.
[00:25:09.387 --> 00:25:10.827]  It's all them saying it.
[00:25:10.907 --> 00:25:11.587]  It's not me.
[00:25:13.688 --> 00:25:14.308]  You understand?
[00:25:15.928 --> 00:25:19.329]  Now, let's go ahead and play this clip.
