[00:00:00.009 --> 00:00:02.750]  Go to GCNlive.com to order online now.
[00:02:15.281 --> 00:02:23.468]  That's what they do, is they try to pass, it's like the Patriot Act, they tried to pass that for two decades through Congress, in piecemeal and in whole.
[00:02:24.569 --> 00:02:29.333]  Just like the omnibus crime bill of 1996, they tried to pass that for a decade before.
[00:02:31.021 --> 00:02:31.802]  So that's what's going on.
[00:02:31.822 --> 00:02:48.433]  But this goes, continues, I was really glad to see Tom Gresham's host of Gun Talk Radio and editor, writer, television host on Self Defense TV and one of the foremost gun spokesmen come out and tell everybody to stop worrying about legislation so absolutely over the top it would never get out of the committee.
[00:02:49.734 --> 00:02:56.059]  The point is that Obama's favorite Congress people introduced this and Rahm Emanuel introduced this last year when he was in the House.
[00:02:56.879 --> 00:02:58.821]  So the point is this is what the
[00:03:01.109 --> 00:03:01.890]  White House wants.
[00:03:04.411 --> 00:03:05.412]  This is their wish list.
[00:03:05.472 --> 00:03:06.473]  That was the whole point.
[00:03:07.734 --> 00:03:10.556]  Tom said, save your energy for when we really need it.
[00:03:10.936 --> 00:03:16.801]  Don't expend it trying to warn everyone in your email list about legislation that would go nowhere.
[00:03:16.861 --> 00:03:25.027]  No, we need to know that the White House was moving with the most draconian gun control legislation, victim disarmament legislation ever seen.
[00:03:26.768 --> 00:03:29.210]  Now Tom just interviewed me and Larry
[00:03:30.902 --> 00:03:43.250]  Haney, owner of Georgia Firearms, on the Gun Talk Radio Show, and Tom agrees, now is the time to unleash the hounds, by which he means start emailing and writing your Senators and Congressmen.
[00:03:44.711 --> 00:03:49.074]  Now it has come clear, now we know what they intend to do.
[00:03:50.415 --> 00:03:51.716]  It is an end run around Congress.
[00:03:52.096 --> 00:03:53.717]  They don't need to try to ban guns.
[00:03:54.018 --> 00:03:58.480]  They don't need to fight a massive battle to attempt gun registration or limit assault weapons.
[00:04:00.305 --> 00:04:07.287]  Nope, all they have to do is limit the amount of ammunition available to the civilian market, and when bullets dry up, guns will be useless.
[00:04:07.687 --> 00:04:08.548]  Think we jest.
[00:04:10.108 --> 00:04:11.208]  Now let's stop right there.
[00:04:14.209 --> 00:04:20.471]  California and other states have passed laws to make all guns sold in their state stamp
[00:04:21.795 --> 00:04:29.938]  The name, make and model basically of the gun, an identifying number to that that's tied to when you purchase the gun is a registration form.
[00:04:31.179 --> 00:04:38.001]  That will bankrupt a lot of gun manufacturers who then have to buy at the expense of patent for the gun stamping.
[00:04:39.102 --> 00:04:42.203]  A pro gun groups who came up with it, and that's in quotes.
[00:04:47.754 --> 00:04:56.381]  It also then allows them in the future to say, oh, we're going to ban or restrict guns that don't have this.
[00:04:58.103 --> 00:05:06.870]  And then when we were covering that state police file calling Ron Paul supporters basically terrorists, it had a whole section in there about how they need to get the police behind bullet stamping.
[00:05:07.951 --> 00:05:10.093]  So this is happening everywhere.
[00:05:11.434 --> 00:05:16.298]  And they're also trying to restrict the importation of ammunition, the importation of firearms.
[00:05:18.035 --> 00:05:22.297]  The Feds are moving to regulate and shut down a lot of ammunition producers.
[00:05:24.458 --> 00:05:31.161]  Both the producers that create, you know, entire bullets and casings, but also those that just produce the lead.
[00:05:31.441 --> 00:05:34.122]  They're trying to restrict lead bullets, saying it's bad for the environment.
[00:05:34.603 --> 00:05:38.204]  They're trying to restrict who can produce the brass.
[00:05:38.664 --> 00:05:46.048]  But now the military, which was the largest source of used shell casings,
[00:05:48.439 --> 00:05:55.921]  They're going to destroy it and sell it for scrap when they get a lot less money for the scrap than they would just selling the spent casings.
[00:05:57.881 --> 00:06:00.882]  Just billions and billions of 9mm, .45, .50 cal, .223, .308, and that's what's being announced here.
[00:06:10.290 --> 00:06:24.638]  Bullet manufacturers all across the United States are getting letters from the military saying, by law, but it's not a law, it's a regulation, we are no longer going to sell you any of the casings.
[00:06:24.678 --> 00:06:28.781]  And that's the story from the Shootist up at InfoWars.com right now.
[00:06:33.413 --> 00:06:38.794]  Nope, all they had to do is limit the amount of ammunition available to the civilian market, and when bullets dry up, guns will be useless.
[00:06:38.894 --> 00:06:39.595]  Think we just?
[00:06:39.955 --> 00:06:45.636]  Here are copies of two letters sent to Georgia Arms just Thursday evening, effectively canceling a contract.
[00:06:46.236 --> 00:06:50.677]  He had to purchase 30,000 pounds of expended military brass in .223, 7.62, and .50 caliber.
[00:06:54.284 --> 00:06:56.245]  And it goes on to say, Dear Valued Customer.
[00:06:56.505 --> 00:07:00.267]  And it's a letter from the Defense Department saying you can't buy this from us anymore.
[00:07:00.927 --> 00:07:05.209]  Under regulations, not a law, the White House says it's all to be scrapped.
[00:07:07.249 --> 00:07:17.774]  So, that's just another way that they're doing this and it's been confirmed in the last five, six years that the military is buying up more ammo than is being used
[00:07:19.730 --> 00:07:23.032]  in afghanistan in iraq in other areas of the world where u.s.
[00:07:23.052 --> 00:07:47.807]  militaries in a hundred and thirty plus countries that they're just hoarding it and warehousing and that's driven up the prices doubled or tripled in some cases and now with all the fear of obama moving is the second amendment even bigger runs against ammo and firearms themselves are celebrating so it's a lengthy article goes uh... through it and it's just uh... outrageous on that front you know i covered last week several mainstream news articles one out of uh...
[00:07:49.238 --> 00:08:01.543]  Oklahoma, several others around the nation, where cities are saying, we don't know if citizens can have gardens, because we might need inspections of their gardens, because you're guilty until proven innocent, and people might be growing marijuana.
[00:08:03.624 --> 00:08:09.946]  Coming up later, I want to get into a report out of Natural News, with Mike Adams, who was on with Jason Burmess, filling in yesterday.
[00:08:10.347 --> 00:08:15.028]  Shocking video shows Los Angeles City bulldozing community gardens into the dirt.
[00:08:15.048 --> 00:08:18.770]  They're just saying, no more community gardens, giant community gardens, bulldozing and getting rid of it.
[00:08:20.248 --> 00:08:23.250]  Saying that they don't need that anymore.
[00:08:23.611 --> 00:08:26.333]  There's all these people out there crying and the police getting in their faces.
[00:08:27.974 --> 00:08:38.342]  Meanwhile, Nancy Pelosi is in the San Francisco Chronicle saying they need a federal bailout of newspapers that are failing because the mainstream media is imploding because everybody knows they're a pack of spin doctors.
[00:08:39.843 --> 00:08:40.924]  We'll get into that report as well.
[00:08:40.984 --> 00:08:43.206]  Mexico is to impose sanctions on U.S.
[00:08:43.906 --> 00:08:44.407]  exports.
[00:08:44.707 --> 00:08:45.968]  Great deal under NAFTA and GATT.
[00:08:47.731 --> 00:08:48.572]  I don't think so.
[00:09:05.580 --> 00:09:09.343]  Barack Obama was having secret meetings with him and is appointing Bilderberg Group members.
[00:09:09.363 --> 00:09:14.928]  You have to understand, this is happening simultaneously while mainstream news is still saying it doesn't exist.
[00:09:14.948 --> 00:09:21.194]  You know, and then I went to a hotel and imagined people hiding behind trees in Virginia.
[00:09:23.996 --> 00:09:28.781]  Just like Time Magazine Newsweek, everybody's announcing a new Bank of the World to rule the planet.
[00:09:30.267 --> 00:09:31.308]  But none of this exists.
[00:09:31.668 --> 00:09:33.930]  In fact, I've got some filmmakers coming here in a few minutes.
[00:09:33.970 --> 00:09:48.383]  Guys, turn that TV on over there for me, because I want to pull up, and now for world government, from the Sunday Times of London, and I also want to pull up Time Magazine headline, New World Order, where they say a global government run by the banks, but that it's good.
[00:09:50.367 --> 00:09:54.868]  Because these guys may actually burst into flame when they see that, because, you know, the New World Order doesn't exist.
[00:09:54.888 --> 00:09:59.629]  So we're gonna, we're gonna, hundreds of mainstream news articles have now come out saying everything we've always said.
[00:10:00.629 --> 00:10:13.412]  And, and, and, so I want to show them this, and, and, and, and see if it's like a big cross or holy water, and, and see if they burst into flames, uh, when, um, these guys come into studio, Luke Meyer and Andrew Neal.
[00:10:15.272 --> 00:10:17.152]  So that is, uh, coming up in the next segment.
[00:10:17.172 --> 00:10:19.733]  They'll be with us for the rest of the hour.
[00:10:21.670 --> 00:10:25.651]  By the way, their film is the main selection of the Independent Film Channel this year.
[00:10:25.951 --> 00:10:27.392]  Their one big documentary of the year.
[00:10:27.932 --> 00:10:28.752]  Huge promotion!
[00:10:28.832 --> 00:10:33.614]  I was interviewed five separate times by IFC in the last three weeks for different programs.
[00:10:33.794 --> 00:10:35.795]  IFC News, their media project.
[00:10:37.055 --> 00:10:41.136]  So, I'm honored to be such a focal point of this film.
[00:10:41.176 --> 00:10:44.857]  So is Luke Rudowsky, Officer Jack McLam, and others.
[00:10:44.897 --> 00:10:46.158]  So, Will, I'm just teasing.
[00:10:47.381 --> 00:10:53.882]  Actually, these guys carry assault weapons around with them, the New World Order guys, and Andrew thinks he has a chip in his head.
[00:10:53.902 --> 00:10:56.063]  He was telling me secretly, but he told me not to tell anybody that.
[00:10:56.603 --> 00:10:57.743]  I'm just joking, guys.
[00:10:57.783 --> 00:10:58.703]  I'm just messing with you.
[00:10:59.303 --> 00:11:00.523]  I'm just messing with you.
[00:11:01.104 --> 00:11:01.624]  Come on.
[00:11:03.444 --> 00:11:05.864]  I am going to edit this interview together and make you guys look stupid, though.
[00:11:07.485 --> 00:11:09.225]  I'm just being sarcastic, actually.
[00:11:10.285 --> 00:11:13.986]  I'm going to follow you around for a few months, and the few cornball things you do, I'm going to put it in the film.
[00:11:15.049 --> 00:11:16.950]  I'm going to call the film Cornballs.
[00:11:18.572 --> 00:11:21.093]  And, you know, it a tribute to you guys and this film you made.
[00:11:25.156 --> 00:11:26.938]  Get ready to come in, boys.
[00:11:26.958 --> 00:11:27.999]  We're going to break air in a second.
[00:11:28.279 --> 00:11:30.040]  I'm actually just building it up for the listeners.
[00:11:30.861 --> 00:11:32.122]  It is good to see you.
[00:11:33.425 --> 00:11:37.029]  Andrew and Luke and everybody else here with us today.
[00:11:37.509 --> 00:11:38.970]  The makers of the New World Order.
[00:11:38.991 --> 00:11:43.094]  You can check out the website at NewWorldOrderTheMovie.com.
[00:11:43.135 --> 00:11:44.776]  It's fiction because the New World Order doesn't exist.
[00:11:46.238 --> 00:11:49.280]  NewWorldOrderTheMovie.com.
[00:11:50.402 --> 00:11:52.263]  It's a story of a mental hospital they visit.
[00:11:54.546 --> 00:11:55.987]  We'll be right back, ladies and gentlemen.
[00:11:56.027 --> 00:11:56.587]  Stay with us.
[00:11:58.146 --> 00:11:59.267]  A lot more coming up today.
[00:11:59.287 --> 00:12:03.269]  We're live at PrisonPlanet.tv, so go over to the site and tune us in.
[00:12:04.830 --> 00:12:10.493]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:12:10.773 --> 00:12:15.556]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:12:15.796 --> 00:12:19.538]  Plasma pH drops combine a unique formula of the most alkaline
[00:12:19.718 --> 00:12:20.138]  We're good to go!
[00:12:47.273 --> 00:12:49.034]  In the New World Order's war against humanity,
[00:13:08.266 --> 00:13:10.390]  Barack Obama is the tip of the spear.
[00:13:10.871 --> 00:13:17.903]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:13:18.462 --> 00:13:24.644]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:25.044 --> 00:13:26.864]  Well, Obama's already fudging.
[00:13:27.004 --> 00:13:29.425]  He's fudged since day one in this election.
[00:13:29.505 --> 00:13:40.448]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:13:41.088 --> 00:13:42.368]  It's not about left or right.
[00:13:42.769 --> 00:13:44.129]  It's about a one-world government.
[00:13:44.614 --> 00:13:50.980]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:51.520 --> 00:13:59.308]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:59.788 --> 00:14:00.949]  The Obama Deception.
[00:14:01.369 --> 00:14:02.651]  The people strike back.
[00:14:06.174 --> 00:14:07.295]  Hi, this is Ted Anderson.
[00:14:07.728 --> 00:14:13.209]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:14:13.769 --> 00:14:14.269]  That's right.
[00:14:14.589 --> 00:14:16.870]  Gold has been available to be placed in IRAs since 1986.
[00:14:17.430 --> 00:14:24.391]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:14:24.931 --> 00:14:32.553]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:14:33.055 --> 00:14:37.916]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:14:38.537 --> 00:14:43.558]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:14:44.338 --> 00:14:48.479]  Don't get left behind by rising inflation and low return on your paper investments.
[00:14:48.859 --> 00:14:49.099]  Call 800-686-2237.
[00:14:49.119 --> 00:14:51.060]  Make sure that you secure your future.
[00:14:51.120 --> 00:14:51.420]  Call 800-686-2237.
[00:14:51.720 --> 00:14:52.000]  That's 1-800-686-2237.
[00:15:05.640 --> 00:15:12.024]  If you experience sudden bouts of joint discomfort, swelling and redness, especially in your ankle or toe, you are not alone.
[00:15:12.304 --> 00:15:18.068]  Millions of Americans experience joint discomfort caused specifically by a buildup of crystallized uric acid in the joints.
[00:15:18.549 --> 00:15:23.012]  This can hinder your daily activities like walking and sleeping, and can keep you from enjoying your life.
[00:15:23.412 --> 00:15:24.853]  Until you try Uricinex.
[00:15:25.433 --> 00:15:31.055]  Uricinex is formulated to supplement the uric acid balancing nutrients you may not find in your everyday diet.
[00:15:31.415 --> 00:15:38.037]  As part of a healthy lifestyle, Uricinex helps relieve bouts of joint irritation while promoting your healthy joint comfort and control.
[00:15:38.657 --> 00:15:40.898]  No negative side effects, just lasting relief.
[00:15:41.468 --> 00:15:47.133]  For the past four years, Urisin-X has helped people just like you from all over the world, with millions shipped to date.
[00:15:47.613 --> 00:15:49.755]  Call 1-888-4FITLEGS.
[00:15:50.115 --> 00:15:52.137]  That's 1-888-434-8534.
[00:15:52.157 --> 00:15:55.620]  Or visit 4FitLegs.com.
[00:15:55.800 --> 00:15:58.262]  That website is the number 4FitLegs.com.
[00:15:58.662 --> 00:16:01.805]  And remember, ask how you can get Urisin-X for free today!
[00:16:09.404 --> 00:16:11.329]  Waging war on corruption.
[00:16:11.810 --> 00:16:14.556]  Alex Jones on the GCN Radio Network.
[00:16:24.008 --> 00:16:27.949]  Luke Meyer and Andrew Neil are award-winning filmmakers.
[00:16:28.009 --> 00:16:33.931]  In fact, they won the South by Southwest coveted Best Documentary in 2006 for Darkon.
[00:16:33.951 --> 00:16:38.152]  And their new film is New World Order, a see-think film.
[00:16:38.772 --> 00:16:41.253]  We're going to put that up on screen for everybody.
[00:16:42.013 --> 00:16:46.734]  The poster is myself looking out of a window from a darkened room.
[00:16:47.594 --> 00:16:51.676]  We are simulcasting at PrisonPlanet.tv and we have them with us five minutes to the next hour.
[00:16:52.096 --> 00:16:53.096]  Gentlemen, good to have you here.
[00:16:56.266 --> 00:16:59.927]  So, tell folks about the film, The New World Order.
[00:17:00.928 --> 00:17:09.691]  New World Order is basically, I guess we call it a behind-the-scenes documentary about what people refer to in America as conspiracy theorists.
[00:17:09.831 --> 00:17:16.873]  So, I guess it's sort of a behind-the-scenes look at what your life is like, Alex, a little bit, and other people that we traveled around.
[00:17:17.373 --> 00:17:22.035]  Jim Tucker, Jack McClam, Luke Rudowsky.
[00:17:22.679 --> 00:17:28.423]  Mike Edgerton and a number of other Seth Jacksons.
[00:17:28.743 --> 00:17:31.365]  And that, individually speaking, is Andrew and Neil.
[00:17:31.725 --> 00:17:32.825]  Luke, tell us about the film.
[00:17:33.886 --> 00:17:47.475]  Well, like Andrew said, it's a behind-the-scenes look at kind of what goes on in the world of exposing the secret one-world government.
[00:17:48.766 --> 00:17:50.627]  Well, I want to say this.
[00:17:50.647 --> 00:17:58.810]  I think this is... Well, I think for us, what was important to us is that there's... First of all, Alex, you make many films about it, but there's a lot of films out there about a lot of these topics.
[00:17:58.870 --> 00:18:11.154]  And for us, what was really important was to understand what it was like to live the lives of filmmakers, of radio hosts, of ambush journalists, of muckraking reporters who do the kind of work you're doing.
[00:18:11.554 --> 00:18:16.756]  Which is generally, you know, considered to be by a lot of people, you know, kind of far out there.
[00:18:16.796 --> 00:18:21.238]  And we wanted to know what it was like to be you guys and to live your lives a little bit.
[00:18:22.199 --> 00:18:24.600]  And also, really importantly, sorry, just not to cut you off.
[00:18:25.100 --> 00:18:27.881]  No, it's fine.
[00:18:28.221 --> 00:18:31.083]  How you came to believe what you believe, you know?
[00:18:31.363 --> 00:18:40.367]  I think understanding other human beings and why they believe what they believe is a valuable thing and I think more of that would be a good thing for
[00:18:41.007 --> 00:18:41.527]  Humanity.
[00:18:41.967 --> 00:18:47.149]  Well, I was just going to say, I think this is the fairest documentary, and there's been quite a few that I've been featured in.
[00:18:47.469 --> 00:18:48.590]  It's the fairest I've seen.
[00:18:49.230 --> 00:18:53.831]  That said, why did you guys go with the hokey angle?
[00:18:53.871 --> 00:18:58.993]  Because that certainly was oversampled from the footage that I saw you guys shoot.
[00:18:59.033 --> 00:19:00.774]  I mean, was that for the comic relief?
[00:19:00.814 --> 00:19:03.115]  Because it did get a lot of laughs, so this wouldn't be dark.
[00:19:03.475 --> 00:19:07.096]  I know you did that with Darkon as well, but that inherently is kind of, you know, goofy and funny.
[00:19:07.296 --> 00:19:08.436]  What are some of the hokey parts?
[00:19:08.597 --> 00:19:09.677]  I'm curious that you feel like
[00:19:10.077 --> 00:19:14.995]  It's actually, there were more laughs in the audience on Friday night than I think we were expecting.
[00:19:15.780 --> 00:19:23.765]  We didn't know if that was possibly because a lot of the people there knew you, and so it was sort of like there was a, there was sort of an inside joke going on.
[00:19:24.065 --> 00:19:31.390]  But I think that there's no question that Luke and I do see comedy in everything.
[00:19:31.610 --> 00:19:43.898]  Even in horrible things that are happening in the world, there is a certain part of the world that I see, sort of from the point of view of Voltaire, of you know, just the human,
[00:19:44.418 --> 00:19:49.180]  The human comedy is just a complicated mess.
[00:19:49.260 --> 00:19:52.962]  And I do see humor in that, even when stuff is serious.
[00:19:53.002 --> 00:19:57.664]  So I suppose that's sort of my own, or our own, take on the whole thing.
[00:19:57.684 --> 00:20:09.769]  But I think, by and large, I thought, besides some comic relief, I thought... Well, Tommy Pallotta thought, a director and producer, he thought that it humanized us, that it was a positive thing overall.
[00:20:10.710 --> 00:20:12.331]  I would hope that it is.
[00:20:13.511 --> 00:20:14.832]  Yeah, I mean, that's a tool.
[00:20:15.252 --> 00:20:16.673]  Humor itself can be a tool.
[00:20:17.094 --> 00:20:20.436]  If it's all serious, people sometimes just turn off eventually.
[00:20:20.997 --> 00:20:32.184]  Especially people... If there's a moment of laughter, of humanity, and then a moment where things are serious, that going back and forth makes the audience kind of pay attention.
[00:20:32.204 --> 00:20:42.051]  I mean, one of the things that really... One of your sound bites, actually, that we added in late was your comment about, you know, a lot of people say that conspiracy theorists, you know,
[00:20:42.912 --> 00:20:43.132]  I think so.
[00:21:01.873 --> 00:21:05.517]  People like you Alex have taken on it's not it's so for that reason.
[00:21:05.537 --> 00:21:22.496]  I think that's a bit the thesis doesn't work like obviously It's you're not doing it for some kind of satisfaction because like you're under a tremendous amount of stress You know in terms of your daily lives and and like you said like you know you wake up in the middle of the night sometimes and like
[00:21:23.157 --> 00:21:26.880]  You're genuinely afraid of what the future holds.
[00:21:28.461 --> 00:21:40.070]  And I think a lot of people generally try to adopt a belief, you know, sometimes be it religion, be it political ideology, whatever it is, so that they don't have to wake up in the middle of the night.
[00:21:40.190 --> 00:21:41.070]  All right, we got a break.
[00:21:41.110 --> 00:21:42.251]  That's key info.
[00:21:42.391 --> 00:21:50.357]  Andrew Neal and Luke Meyer, SeeThink Studios, the official film of the year being put out by the Independent Film Channel, and I'm very honored to be part of it.
[00:21:50.618 --> 00:21:51.358]  Great filmmakers.
[00:21:51.378 --> 00:21:52.399]  We'll talk to them after the break.
[00:21:54.969 --> 00:21:57.952]  We're on the march, the Empire's on the run.
[00:21:58.894 --> 00:22:01.577]  Alex Jones and the GCN Radio Network.
[00:22:07.572 --> 00:22:14.874]  Have you heard on radio all the new tees with funny names, movie stars, celebrities endorsing these products and so on?
[00:22:15.274 --> 00:22:16.414]  Have you checked the results?
[00:22:16.894 --> 00:22:20.055]  Not the pictures of the bikini babes and such, but the results.
[00:22:20.275 --> 00:22:25.497]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:22:25.617 --> 00:22:26.757]  Have you checked their results?
[00:22:26.777 --> 00:22:27.837]  Oh, that's right, I said that.
[00:22:27.877 --> 00:22:30.138]  Did you check the ingredients and you checked for caffeine?
[00:22:30.338 --> 00:22:30.858]  Yeah!
[00:22:31.618 --> 00:22:33.479]  Life Change Tea is the real deal.
[00:22:33.599 --> 00:22:38.082]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:22:38.523 --> 00:22:39.803]  And it will clean your body.
[00:22:39.964 --> 00:22:41.004]  Our middle name is Results.
[00:22:41.304 --> 00:22:43.526]  You can pay more and you can have a celebrity smile.
[00:22:43.666 --> 00:22:44.527]  Or you can get results.
[00:22:44.767 --> 00:22:45.187]  Your call.
[00:22:45.347 --> 00:22:47.349]  Or should I say, make the call.
[00:22:47.589 --> 00:22:48.229]  Get the tea at 928-308-0408.
[00:22:48.249 --> 00:22:48.569]  That's 928-308-0408.
[00:22:48.589 --> 00:22:50.611]  Or you can order online at GetTheTea.com.
[00:22:50.651 --> 00:22:51.551]  That's GetTheTea.com.
[00:23:01.578 --> 00:23:02.439]  We're good to go.
[00:23:17.060 --> 00:23:23.241]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:23.542 --> 00:23:25.382]  Well, Obama's already fudging.
[00:23:25.522 --> 00:23:27.902]  He's fudged since day one in this election.
[00:23:27.983 --> 00:23:38.865]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:23:41.169 --> 00:23:42.429]  It's not about left or right.
[00:23:42.829 --> 00:23:44.230]  It's about a one world government.
[00:23:44.690 --> 00:23:51.032]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:23:51.612 --> 00:23:59.374]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:59.854 --> 00:24:01.014]  The Obama Deception.
[00:24:01.435 --> 00:24:02.615]  The people strike back.
[00:24:04.435 --> 00:24:07.697]  Silver is mankind's oldest natural antibiotic.
[00:24:07.877 --> 00:24:11.940]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:24:12.120 --> 00:24:23.546]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:24:23.787 --> 00:24:29.610]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:24:29.890 --> 00:24:34.273]  And germs can't mutate to be resistant like they can to modern-day antibiotics.
[00:24:34.573 --> 00:24:42.578]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[00:24:42.758 --> 00:24:50.423]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of healthcare and freedom of speech.
[00:24:52.739 --> 00:24:54.180]  Man thinks, cause he rules the earth.
[00:24:54.200 --> 00:24:55.660]  He can do it as he please.
[00:24:55.680 --> 00:24:57.141]  And if things don't change soon.
[00:25:20.100 --> 00:25:21.601]  The Obama Deception is now out.
[00:25:21.621 --> 00:25:29.085]  You can watch it in super high quality at PrisonPlanet.tv or order the super high quality DVD now shipping out at InfoWars.com.
[00:25:29.105 --> 00:25:32.706]  I know people will go there.
[00:25:32.766 --> 00:25:36.568]  You can also call toll free 888-253-3139.
[00:25:38.569 --> 00:25:43.192]  The new film is titled New World Order, a Seethink film.
[00:25:43.852 --> 00:25:46.393]  And just before we forget the time we have together, because it'll fly,
[00:25:48.393 --> 00:25:55.097]  Luke Meyer and Andrew, tell us specifically when it's coming out, when it's going to air on the Independent Film Channel.
[00:25:55.897 --> 00:26:05.062]  It's going to be in mid-April, I think around... I think about a month from now it'll be on VOD on IFC and then later this summer it'll be in the regular broadcast rotation.
[00:26:05.182 --> 00:26:08.884]  Actually sometime in May, I think the broadcast rotation will start.
[00:26:10.745 --> 00:26:13.327]  And then the DVD will be out sometime this fall.
[00:26:15.055 --> 00:26:17.596]  Um, you guys just come in and run the camera.
[00:26:17.616 --> 00:26:18.276]  We're going to move around.
[00:26:18.376 --> 00:26:19.096]  Let's just do it that way.
[00:26:19.116 --> 00:26:20.377]  I'll direct right here on air right now.
[00:26:20.397 --> 00:26:21.497]  Okay, thanks.
[00:26:22.017 --> 00:26:22.697]  Just have to do that.
[00:26:23.478 --> 00:26:32.880]  We're just working out doing a live TV show in here and we're going to get more cameras in here, something mounted on the ceiling and other things for TV like a headpiece and things like that someday.
[00:26:33.721 --> 00:26:38.002]  Um, what about all this pre-promotion I've been seeing for the film?
[00:26:40.228 --> 00:26:51.340]  Well, this was the world premiere last Friday night, and so there's a lot of promotion that you were part of, where you drove around Austin on Friday, just for the world premiere of the film.
[00:26:53.022 --> 00:26:58.087]  There probably will be more promotion when it's going to come out on IFC, but that's kind of all I know about right now.
[00:26:59.815 --> 00:27:04.418]  Now, should folks just visit the New World Order, themovie.com, or is there a Seethink site they should check out?
[00:27:04.959 --> 00:27:13.745]  You can go to Seethink.com, and there's a small page for it there, and then you can link to the main New World Order, themovie.com from there, or you can go straight to the movie site, whichever's best.
[00:27:16.132 --> 00:27:17.953]  I specifically want to go over some reviews.
[00:27:18.113 --> 00:27:21.294]  I saw 50-50 positive reviews, negative reviews.
[00:27:21.314 --> 00:27:27.055]  I mean, even the negative reviews said they liked the film because they took away from it that we're delusional.
