[00:00:00.069 --> 00:00:00.709]  Corruption.
[00:05:43.762 --> 00:05:44.903]  This is real.
[00:05:45.223 --> 00:05:45.963]  Don't miss out.
[00:05:46.283 --> 00:05:53.148]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:05:53.388 --> 00:05:54.649]  And get your free handgun.
[00:05:54.830 --> 00:05:57.012]  Go to FrontSight.com today.
[00:05:57.192 --> 00:06:00.716]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:06:00.896 --> 00:06:03.879]  Go to FrontSight.com for your training and free gun.
[00:06:06.782 --> 00:06:12.808]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:13.409 --> 00:06:16.412]  It's Alex Jones and the GCN Radio Network.
[00:06:20.469 --> 00:06:24.693]  Thank you for joining us on this Sunday edition, the ninth day of August 2009.
[00:06:27.296 --> 00:06:44.112]  I don't have words to describe how dire the situation is in this country, how the social engineers, the big offshore corporate banks, and their sociologists and psychologists, just how manipulative they are, and how they're playing the public like a fiddle.
[00:06:47.168 --> 00:06:48.828]  George Bush was a puppet.
[00:06:49.409 --> 00:06:50.609]  Bill Clinton was a puppet.
[00:06:51.589 --> 00:06:52.990]  Barack Obama is a puppet.
[00:06:53.010 --> 00:06:56.390]  These guys are corporate front men that read off teleprompters.
[00:06:58.111 --> 00:07:02.952]  Barack Obama has gone back on every promise he said he would do.
[00:07:04.213 --> 00:07:13.375]  Secret arrests, secret torture, continuing Naphtengat, pushing to expand it, hiring nothing but lobbyists, expanding Wernels' wiretapping.
[00:07:15.996 --> 00:07:22.021]  Expanding the Patriot Act when he swore, swore he'd get rid of it, and then pledging he was different.
[00:07:22.361 --> 00:07:28.105]  And I talked to Obama supporters, I talked to one today at my mother's birthday party.
[00:07:28.125 --> 00:07:32.188]  A guy I've known for years, and he said, oh, all politicians lie.
[00:07:33.489 --> 00:07:41.255]  And I said, you know, all over the country, Republicans and Democrats are being booed off stage, and they want us to fight with each other as Republicans and Democrats.
[00:07:41.776 --> 00:07:43.577]  I'm not even a Republican, I told the guy.
[00:07:43.797 --> 00:07:44.438]  His name's Harvey.
[00:07:46.072 --> 00:07:47.533]  I said, and you know that.
[00:07:47.633 --> 00:07:48.794]  You know I was against Bush.
[00:07:49.734 --> 00:07:51.595]  I said, it's like a Don King fight, Harvey.
[00:07:51.615 --> 00:07:55.558]  Because this fella's been a boxing promoter.
[00:07:56.018 --> 00:07:56.879]  That's what Harvey is.
[00:07:56.959 --> 00:08:02.162]  I said, both people, he's even promoted fights with Don King.
[00:08:02.622 --> 00:08:04.483]  The point is, I'm sitting there having this argument.
[00:08:04.503 --> 00:08:06.745]  I said, it's like a Don King fight where he owns both fighters.
[00:08:07.847 --> 00:08:14.312]  And he finally kind of went, oh, I get what you're saying, yeah, I guess it's true, but that's just the way all politicians are, they just lie to us.
[00:08:14.953 --> 00:08:26.663]  And I said, Harvey, the government was so corrupt and so bad and hurt your 401k so bad under Bush that they had this solution, Barack Obama, he was going to save you.
[00:08:28.117 --> 00:08:32.322]  Just like Dr. Paul Craig Roberts, father of Reaganomics, former Wall Street Journal editor.
[00:08:32.342 --> 00:08:35.667]  You know, he came out for Obama and said, I'm going to vote for him.
[00:08:35.707 --> 00:08:41.014]  And the last three or four months of the election, I was saying, I'm not voting for McCain, I'm not voting for Obama either.
[00:08:42.398 --> 00:08:44.619]  But I said to Dr. Paul Greg Roberts, I said, you watch.
[00:08:45.359 --> 00:08:51.241]  He's backed up by Zbigniew Brzezinski and by David Rockefeller and by all these top globalists.
[00:08:52.141 --> 00:08:53.502]  He's backed up by Henry Kissinger.
[00:08:53.762 --> 00:08:57.963]  He got four times the money McCain got from Wall Street and Goldman Sachs, the ones doing this.
[00:08:58.243 --> 00:09:03.385]  He's bringing in Summers, Larry Summers, that changed the laws to let the banks carry out the derivatives.
[00:09:04.304 --> 00:09:10.449]  And Robert Rubin, and he said, I know, I know, but you've just got to repudiate Bush.
[00:09:10.530 --> 00:09:12.591]  Well now, he's a man of conscience.
[00:09:13.132 --> 00:09:18.076]  He's now come out and said, I was wrong, Obama's worse than Bush, it's hard to believe, but it's actually true.
[00:09:18.376 --> 00:09:27.444]  Because as a conservative, for him, Dr. Paul Craig Roberts, to watch Bush triple the size of government, use the Patriot Act against U.S.
[00:09:27.464 --> 00:09:27.945]  citizens,
[00:09:29.264 --> 00:09:36.388]  To see all that happen, the million-plus dead Iraqis, he was a moral person, so you morally almost had to vote for Obama.
[00:09:37.789 --> 00:09:46.935]  But I knew it was a bait-and-switch, because I knew Obama was handled and controlled by Bush's controllers, even more so.
[00:09:47.996 --> 00:09:49.316]  And plus, he was slick.
[00:09:49.617 --> 00:09:53.019]  He had charisma, something Bush didn't have.
[00:09:53.379 --> 00:09:56.161]  And so, he was much more dangerous.
[00:09:58.001 --> 00:10:01.604]  He is a puppet, but he's there to make you feel like you've invested in him.
[00:10:02.104 --> 00:10:09.589]  He's there to make you feel like you are part of his power structure, and that you're winning, and that you've defeated the evil Bush.
[00:10:09.949 --> 00:10:17.935]  When meanwhile, the whole agenda that Bush was carrying the baton for in this relay race, now the anchor of the race is Obama.
[00:10:17.975 --> 00:10:22.798]  He's the closer, and Bush perfectly passed that baton off, and Obama's just BOOM!
[00:10:23.359 --> 00:10:25.040]  I mean, he is just smoking
[00:10:26.184 --> 00:10:27.285]  Our liberties and freedoms.
[00:10:27.745 --> 00:10:29.266]  He is burning down our liberty.
[00:10:30.847 --> 00:10:49.117]  Now, that said, Harvey, who I've known for probably 10 years, because his daughter went to school with my sister, and his sister's like 14 years younger than me, this was the first time he looked shook up, he looked upset, and he looked even aggressive at first with me.
[00:10:50.967 --> 00:10:52.768]  And I said, that's fine, you want to be a sucker, go ahead.
[00:10:52.788 --> 00:10:55.128]  And I started breaking his condition right there.
[00:10:55.428 --> 00:10:58.309]  I go, you know you've been suckered in your gut, and you don't want to admit it.
[00:10:58.329 --> 00:10:59.410]  And that started breaking him.
[00:10:59.710 --> 00:11:04.011]  Because he's not stupid, but people put themselves under mind control.
[00:11:04.411 --> 00:11:05.872]  They want to believe the con.
[00:11:06.112 --> 00:11:08.133]  It's like with con artists and Ponzi schemes.
[00:11:08.513 --> 00:11:13.134]  Even after you've lost a bunch of money, people will then invest even more, thinking they're going to get it back.
[00:11:13.794 --> 00:11:15.415]  Stop being suckered.
[00:11:19.224 --> 00:11:29.636]  But, I was talking to another friend this weekend who was over at the house, and I said, you know, we're getting all these Obama posters out everywhere, and she actually looked upset and said, look, let's just not talk about Obama.
[00:11:31.078 --> 00:11:32.840]  Alex, I like you, but let's not talk about it.
[00:11:32.860 --> 00:11:34.182]  And she was looking at me like, kind of...
[00:11:36.704 --> 00:11:44.209]  I mean, these people, just like Bush supporters, when I was out exposing him as a puppet in New World Order and bad, they didn't care.
[00:11:44.269 --> 00:11:45.990]  They still believed WMDs were found.
[00:11:46.330 --> 00:11:50.272]  They still believe all of this because they're caught in this left-right paradigm.
[00:11:50.412 --> 00:11:51.613]  Everything is a left-right paradigm.
[00:11:52.834 --> 00:11:55.195]  Now, we've got a lot of death threats from Obama supporters.
[00:11:55.776 --> 00:11:57.717]  We've got a lot of threatening things have gone on.
[00:11:58.925 --> 00:12:07.433]  Obama supporters bragged on websites that we've linked to that they shut down the Alex Jones Channel on YouTube with 30 plus million views and I had to file in federal court and block it.
[00:12:08.814 --> 00:12:09.935]  Well now it's gotten worse.
[00:12:11.337 --> 00:12:15.941]  Several top videos are on the front page of YouTube getting tens of thousands of views an hour.
[00:12:16.301 --> 00:12:17.943]  Hundreds of thousands of views yesterday.
[00:12:18.483 --> 00:12:19.804]  On their way to tens of millions.
[00:12:20.004 --> 00:12:22.227]  And I've had videos that have been seen tens of millions of times.
[00:12:22.627 --> 00:12:23.868]  I know when it hits the zeitgeist.
[00:12:25.902 --> 00:12:28.064]  That million watts of power.
[00:12:28.524 --> 00:12:30.506]  It was going supernova, these videos.
[00:12:30.846 --> 00:12:31.607]  They erased them!
[00:12:32.708 --> 00:12:33.909]  And YouTube emailed us.
[00:12:34.610 --> 00:12:46.580]  You can read their email in the story that has the headline up on infowars.com about Obama speech police.
[00:12:47.788 --> 00:12:51.271]  Obama's speech police shut down top YouTube videos.
[00:12:51.731 --> 00:12:56.434]  And there it is on screen as we simulcast the radio show at PrisonPlanet.tv.
[00:12:58.676 --> 00:13:00.697]  And the guideline was a community guideline.
[00:13:01.198 --> 00:13:04.560]  They said they got complaints that my videos were racist.
[00:13:05.120 --> 00:13:08.323]  And we looked in the comments of that video and other videos
[00:13:09.724 --> 00:13:17.826]  We actually have those quoted in the article saying Alex Jones is a racist, everybody do your patriotic duty, complain and get him shut down.
[00:13:19.307 --> 00:13:27.109]  Now, even if what I was saying was supposedly racist, you have to defend that free speech or everybody loses all their speech.
[00:13:28.569 --> 00:13:30.830]  But there's nothing about him being 6.5% black
[00:13:33.117 --> 00:13:34.298]  We're good to go.
[00:13:43.680 --> 00:13:47.781]  You know, he's as much African as I am Native American.
[00:13:47.801 --> 00:13:48.962]  That's about how much Native American I am.
[00:13:49.262 --> 00:13:49.522]  Fine.
[00:13:49.742 --> 00:13:55.624]  You know, again, in the name of race, they inject it constantly and they create the racism.
[00:13:55.944 --> 00:13:57.785]  It's tribal division is all it is.
[00:13:58.005 --> 00:14:04.947]  That's how the British would control different countries they dominated, was in India, everybody was an Indian, but they were different religions and different tribes.
[00:14:05.267 --> 00:14:06.828]  They would play all these Indians.
[00:14:07.068 --> 00:14:12.710]  There'd be one British person for every thousand Indians, but they could control the subcontinent through divide and conquer.
[00:14:16.141 --> 00:14:17.522]  And that's all the media is doing.
[00:14:17.802 --> 00:14:23.946]  When they constantly talk about race, I mean, when you say you don't want cap and trade, they write mainstream news articles saying you're racist.
[00:14:24.426 --> 00:14:26.428]  CNN, MSNBC, they all say it.
[00:14:26.988 --> 00:14:31.131]  If you're against giving up control of your life to government-run health care, they call you a racist.
[00:14:31.151 --> 00:14:33.072]  I've got stacks of the news in front of me.
[00:14:33.092 --> 00:14:33.773]  You've all seen it.
[00:14:34.213 --> 00:14:35.114]  Think about how
[00:14:36.241 --> 00:14:37.442]  Over the top, that is.
[00:14:38.202 --> 00:14:42.165]  But see, they know that you know you're not racist and that you're shocked by it.
[00:14:42.565 --> 00:14:43.546]  It's not meant for you.
[00:14:43.966 --> 00:14:52.432]  It's meant for insecure people out there that feel like everybody's out to get them to then freak out and cuddle up next to government like it's their savior.
[00:14:53.673 --> 00:14:55.934]  It's meant to get everybody fearing each other.
[00:14:55.974 --> 00:14:59.256]  It's meant for everybody to see their racial and religious differences.
[00:15:00.057 --> 00:15:04.680]  But all camouflaged in the name of fighting racism, which is really a made-up term.
[00:15:04.700 --> 00:15:05.561]  It's tribalism.
[00:15:06.377 --> 00:15:10.699]  You know, you take a bunch of white people up in Scotland, you know, 800 years ago.
[00:15:11.279 --> 00:15:14.360]  Every clan was killing the other clan, even though they all look just alike.
[00:15:14.840 --> 00:15:15.881]  People will find reasons.
[00:15:15.901 --> 00:15:20.743]  You ever seen the Star Trek episode where one guy's black on one side of his face and the other guy's black on the other side?
[00:15:20.763 --> 00:15:24.624]  You know, it's a race of aliens where one side of their face is white, the other side is black.
[00:15:24.944 --> 00:15:29.726]  But the oppressive group oppresses the other group because they got the white side on one side instead of the other.
[00:15:30.427 --> 00:15:31.447]  I mean, that's the way it is.
[00:15:31.907 --> 00:15:35.529]  In Scotland, they would kill each other over just what color their kilts were.
[00:15:36.400 --> 00:15:37.600]  They look just alike.
[00:15:38.101 --> 00:15:40.982]  But see, because that's a human nature thing that's being manipulated.
[00:15:41.082 --> 00:15:49.384]  So, now, the media, the government, and they've got bills introduced about the pass, where you're arrested if somebody doesn't like what you say.
[00:15:49.764 --> 00:15:56.187]  The cyberbullying and hate crime bills say, if someone doesn't like what you say, you're arrested.
[00:15:56.907 --> 00:15:58.787]  I mean, this is the total end of America.
[00:15:59.127 --> 00:16:03.489]  We'll tell you about this censorship and the Obama people beating folks up across the country.
[00:16:06.189 --> 00:16:08.791]  Hello, this is Alex Jones with some important questions.
[00:16:09.192 --> 00:16:14.176]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:16:14.537 --> 00:16:16.258]  My answer would be all I can get.
[00:16:16.579 --> 00:16:21.403]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:16:21.583 --> 00:16:22.544]  How much do you want?
[00:16:22.764 --> 00:16:23.525]  When do you want it?
[00:16:23.905 --> 00:16:25.487]  Now or after the battle starts?
[00:16:25.787 --> 00:16:26.608]  When will you need it?
[00:16:26.848 --> 00:16:28.870]  Can you buy it without proper identification?
[00:16:29.070 --> 00:16:30.151]  Will there be any food?
[00:16:30.371 --> 00:16:31.712]  Will it make your children sick?
[00:16:31.912 --> 00:16:36.975]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:16:37.175 --> 00:16:40.357]  You wipe out all these problems if you have a good food supply.
[00:16:40.758 --> 00:16:44.220]  Food is your ammunition to fight for your freedom and your life.
[00:16:44.580 --> 00:16:45.561]  How much will you need?
[00:16:45.801 --> 00:16:46.421]  We don't know.
[00:16:46.702 --> 00:16:47.602]  How much do you want?
[00:16:47.802 --> 00:16:48.543]  All you can get.
[00:16:48.743 --> 00:16:49.584]  I'm Alex Jones.
[00:16:49.844 --> 00:16:52.586]  I want all of you good guys to live to fight another day.
[00:16:52.886 --> 00:16:54.648]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:16:54.668 --> 00:16:55.568]  Again, that number 1-800-409-5633.
[00:17:05.188 --> 00:17:10.355]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:17:10.495 --> 00:17:14.861]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:17:15.021 --> 00:17:16.884]  Go to the doctor and buy their drugs?
[00:17:17.304 --> 00:17:18.666]  You don't have to cooperate.
[00:17:18.926 --> 00:17:19.968]  There is a solution.
[00:17:20.188 --> 00:17:28.213]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:17:28.613 --> 00:17:35.697]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:17:36.077 --> 00:17:41.680]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health manager.
[00:17:42.121 --> 00:17:47.684]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:17:48.124 --> 00:17:51.949]  Try all of their truly honest products that will keep you alive and healthy.
[00:17:52.270 --> 00:17:56.635]  Go to enerfood.com or give them a call right now.
[00:17:56.655 --> 00:17:58.478]  866-762-9238.
[00:17:59.739 --> 00:18:03.044]  Click on their banner at infowars.com to see all the available discounts.
[00:18:05.179 --> 00:18:09.160]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:18:09.421 --> 00:18:11.201]  Do you really know what's in your tap water?
[00:18:11.421 --> 00:18:19.704]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:18:19.944 --> 00:18:25.166]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:18:25.486 --> 00:18:27.107]  Now what are you going to do about it?
[00:18:27.347 --> 00:18:33.692]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:18:33.872 --> 00:18:44.621]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[00:18:44.921 --> 00:18:45.442]  That's right.
[00:18:45.702 --> 00:18:48.004]  Clean water, right from the air you breathe.
[00:18:48.264 --> 00:18:49.846]  Order today by calling 1-800-691-8255.
[00:18:51.767 --> 00:18:55.769]  6043.
[00:18:51.787 --> 00:18:55.769]  That's 1-800-691-6043 or visit A Cola Blue on the web at www.ecoloble.com today.
[00:18:55.809 --> 00:18:57.310]  That's acolablue.com.
[00:19:05.148 --> 00:19:06.249]  This is Alex Jones.
[00:19:06.530 --> 00:19:08.312]  Have you heard of the Millionaire Patriot?
[00:19:08.532 --> 00:19:09.133]  Well, you should.
[00:19:09.153 --> 00:19:13.758]  He has a free handgun and five days of firearms training waiting for you.
[00:19:13.998 --> 00:19:14.479]  That's right.
[00:19:14.799 --> 00:19:23.269]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:19:23.469 --> 00:19:24.710]  All for pennies on the dollar.
[00:19:24.830 --> 00:19:25.972]  Plus, if you act fast.
[00:19:26.172 --> 00:19:31.794]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:19:32.155 --> 00:19:38.677]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:19:39.038 --> 00:19:44.220]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:19:44.560 --> 00:19:45.721]  This is real.
[00:19:46.021 --> 00:19:46.762]  Don't miss out.
[00:19:47.062 --> 00:19:55.448]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:19:55.628 --> 00:19:57.810]  Go to FrontSight.com today.
[00:19:57.990 --> 00:20:01.513]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:20:01.693 --> 00:20:04.615]  Go to FrontSight.com for your training and free gun.
[00:20:18.018 --> 00:20:27.483]  I have studied what happened in Nazi Germany, what happened in 49 through 68 or so in the Great Leap Forward and the Cultural Revolution in Maoist China.
[00:20:27.503 --> 00:20:30.665]  I've studied what happened in Cuba.
[00:20:30.845 --> 00:20:32.966]  I've studied what happened in Russia under the Soviets.
[00:20:34.327 --> 00:20:38.729]  What happened in East Germany after the fall of the Nazi system in the East.
[00:20:40.530 --> 00:20:46.153]  And what is happening is a carbon copy interwoven with a high-tech overlay.
[00:20:47.639 --> 00:20:56.234]  I mean, I have the New York Times right here in my stack called Hot Button.
[00:20:59.529 --> 00:21:19.695]  And I have all these other news articles here where it's saying, if the right-wing protesters are going to show up and yell at their elected officials during town hall meetings, then left-wing activists need to start coordinating with those representatives to provide them with cover, says a four-page memo distributed by Healthcare for America Now, a coalition group supporting President Obama's recommended plans.
[00:21:19.715 --> 00:21:20.335]  Now, look.
[00:21:21.315 --> 00:21:26.437]  You notice for two weeks I've been talking about this, and now, in the last seven days, it became a big national story.
[00:21:26.717 --> 00:21:27.917]  Because I see trends.
[00:21:30.242 --> 00:21:38.572]  Remember months ago at Tea Parties, Senator Cornyn and Governor Perry would be booed off the stage by Republicans, Democrats and Libertarians.
[00:21:39.193 --> 00:21:40.214]  It was bipartisan.
[00:21:41.376 --> 00:21:43.098]  I had camera guys at some of these events.
[00:21:43.618 --> 00:21:44.740]  These were not staged.
[00:21:46.283 --> 00:21:55.247]  Anybody who was for the NAFTA highway or North American Union or any of this global stuff, the people knew their votes, they're informed, the voters are finally getting informed.
[00:21:55.467 --> 00:21:56.508]  They would boo them off the stage.
[00:21:56.548 --> 00:22:04.312]  Now, every day, no exaggeration, I mean my inbox is probably filled with 200, 300, I can't read it all.
[00:22:04.652 --> 00:22:10.755]  I was up until 3 in the morning last night just reading mainstream news where Republicans are being booed off the stage.
[00:22:11.355 --> 00:22:13.156]  But it's never national.
[00:22:15.509 --> 00:22:24.916]  The only national stories you're seeing out of Fox and CNN, both the left and the right, are about Republicans going out and booing Democrats off the stage.
[00:22:26.912 --> 00:22:28.953]  My point is, is I'm just reporting the facts.
[00:22:29.774 --> 00:22:33.356]  Government itself is literally collapsing right now.
[00:22:33.697 --> 00:22:36.178]  The people know that both parties are controlled.
[00:22:36.218 --> 00:22:42.983]  They know that no matter who they elect into high office, the corporate looting, the tens of trillions being stolen continues.
[00:22:43.003 --> 00:22:44.344]  People know it's bipartisan.
[00:22:44.384 --> 00:22:45.945]  They know the wars are bipartisan.
[00:22:46.145 --> 00:22:47.946]  They know the Patriot Act is bipartisan.
[00:22:48.266 --> 00:22:52.830]  All the liberals I know have been out buying guns the last five years, getting shooting training.
[00:22:53.590 --> 00:22:54.770]  People are really waking up.
[00:22:55.230 --> 00:22:57.951]  They're not calling themselves liberal, they're not calling themselves conservative.
[00:22:58.251 --> 00:23:06.253]  So what the establishment wanted with Obama was to at first have all this reconciliation and feel good and vote for Obama and prove you're not racist.
[00:23:06.733 --> 00:23:17.856]  And then once he got in, he's a proven liar about everything, just like all these other puppets, and then it becomes, oh, you just don't like him because he's black, and they cold-bloodedly know that that isn't true.
[00:23:20.450 --> 00:23:31.895]  And so what they do is they show the few racist groups or whatever that don't like him and then say, anybody else that doesn't want to give in their guns, give in open borders, give in NAFTA and GATT expansion, anybody that doesn't want to give in to all this, you're a racist.
[00:23:33.416 --> 00:23:34.777]  But now they've gone one further.
[00:23:35.737 --> 00:23:37.878]  People are shooting these unedited YouTube videos.
[00:23:37.898 --> 00:23:38.638]  There's hundreds.
[00:23:38.719 --> 00:23:39.759]  I can't even watch them all.
[00:23:40.299 --> 00:23:41.320]  We'll play a few coming up.
[00:23:42.170 --> 00:23:48.697]  The audio for radio, the video for PrisonPlanet.tv viewers, where you'll have just peaceful, mainly my listeners.
[00:23:48.717 --> 00:23:58.548]  That's why we keep, even before Cavuto and other shows, had these guys on that we're about to have on, the lawyer and this African American gentleman that got beat up by thugs.
[00:24:00.031 --> 00:24:01.372]  Because they contacted us first.
[00:24:01.512 --> 00:24:03.472]  It's really not liberal or conservative.
[00:24:03.492 --> 00:24:04.173]  It's patriots.
[00:24:04.233 --> 00:24:05.453]  It's Ron Paul supporters.
[00:24:05.513 --> 00:24:07.254]  It's anti-New World Order people.
[00:24:07.334 --> 00:24:08.614]  People that know what's going on.
[00:24:08.894 --> 00:24:10.155]  That have shouted the left-right paradigm.
