[00:00:00.009 --> 00:00:02.670]  That's at SuperiorLifeWater.com.
[00:01:33.826 --> 00:01:54.399]  I mean, in the very beginning of this article, you not only talk about Paulson and the bailout there, but you also talk about how Congress was strong-armed into initially passing this, because the initial bailout did fail, and then it was re-proposed, and after a few members, including Inhofe and Sherman, were threatened with martial law, it magically passed, didn't it, Peter?
[00:01:55.220 --> 00:02:00.043]  Yes, well, there was an atmosphere of threat used on Congress.
[00:02:01.101 --> 00:02:06.702]  I think that the bailout was ill-advised, certainly in the form that it was.
[00:02:07.482 --> 00:02:11.583]  And, of course, the excuse that was used was that they had to act immediately.
[00:02:12.123 --> 00:02:30.186]  But I think a test of what is really bad about this bailout law is that it's a means for taking public funds and giving them to enrich the rich after they had made very disastrous investments, which went sour.
[00:02:30.998 --> 00:02:36.801]  Instead of moral hazard applying and they're having to pay for it, we are stepping in to pay.
[00:02:37.141 --> 00:02:39.843]  And it may be that something like this has to be done.
[00:02:40.343 --> 00:02:53.230]  But it should have been done with restraints, for example, to tell them that they can't go on paying these outrageous bonuses for their misdeeds, that they cannot continue to distribute dividends.
[00:02:53.250 --> 00:02:58.773]  You know, 85% of the stock in this country is owned by the richest 10% in the country.
[00:03:01.127 --> 00:03:13.557]  If you pass a public law to guarantee the continuation of dividends to banks, which in fact are losing money badly, you're using the public treasury to enrich the rich.
[00:03:13.658 --> 00:03:20.763]  And that's a symptom of what's really wrong in this country, I think, that wealth has taken control of both parties.
[00:03:21.484 --> 00:03:26.148]  And it was the influence of wealth that drove that legislation through.
[00:03:26.664 --> 00:03:47.744]  And it's, of course, just happening again right now, and it's not quite over because, once again, it will go into conference committee, and I think this time they're intending to cut off bonuses and intending to cut off dividends, but I think we should watch very closely to see if this actually happens when the final bill is signed.
[00:03:48.305 --> 00:03:52.886]  Well, there's definitely some political grandstanding now going on as the administrations are about to switch.
[00:03:52.926 --> 00:03:58.587]  I mean, now for the first time I'm seeing the media report, conservatives ask if bailout is unconstitutional.
[00:03:58.627 --> 00:04:01.268]  And I would say, yes, it's absolutely unconstitutional.
[00:04:01.708 --> 00:04:11.170]  But now the mainstream is going to make this into a right-left argument, especially with the House Democrats now proposing a $825 billion stimulus bill.
[00:04:11.390 --> 00:04:15.691]  I mean, is there any end in sight to these bailout packages, to these stimulus bills?
[00:04:15.711 --> 00:04:17.772]  I mean, what do you see happening in the next six months?
[00:04:18.288 --> 00:04:24.854]  Well, I think I've always been uninclined to predict the future.
[00:04:25.414 --> 00:04:43.751]  I think it's an easy way to make big mistakes, but particularly right now, we really are going into, you know, people point back to the depression of the 1930s as an example of where we've been before.
[00:04:44.358 --> 00:05:00.786]  But I think we're possibly in an even worse crisis than we were then, and one thing for sure is that America's profile in the world is greater than it was, so that the world will suffer more acutely.
[00:05:01.987 --> 00:05:10.952]  Yes, the short answer to your question is, absolutely, there's going to be more and more bailing out, trillions of dollars, people have estimated up to $8.5 trillion.
[00:05:12.455 --> 00:05:17.539]  Some of it will be done through Congress, and a lot of it already has been done.
[00:05:17.659 --> 00:05:29.909]  A trillion or more has been done through the Federal Reserve, and people should understand that what the Federal Reserve does is using our money, but they don't go to Congress.
[00:05:29.949 --> 00:05:38.496]  They're using the powers that were granted them decades ago, and it's completely secret.
[00:05:38.536 --> 00:05:39.977]  There's no accountability.
[00:05:40.467 --> 00:05:53.796]  And you get the irony that Bloomberg, who's a billionaire, his company is suing the Federal Reserve to force them to say what they've been doing with our money.
[00:05:53.836 --> 00:06:03.463]  And you really have reached a point where it's no longer democracy, it's taxation without representation going on through the Federal Reserve.
[00:06:03.923 --> 00:06:07.586]  So they're left, right, and center in every direction.
[00:06:08.345 --> 00:06:11.968]  Treatment of the banks, treatment of the big multinational corporations.
[00:06:13.709 --> 00:06:17.712]  We're going to see huge bailouts with a minimum of control.
[00:06:18.212 --> 00:06:24.337]  And I think all we can do from outside is to insist that here are the things that we should insist on.
[00:06:24.577 --> 00:06:27.259]  One, as much transparency as possible.
[00:06:27.299 --> 00:06:31.342]  There was really no transparency in the first bailout, Paulson's bailout.
[00:06:32.182 --> 00:06:35.725]  And what I think is a vital criterion is
[00:06:36.297 --> 00:06:49.228]  Democracy is suffering right now because we're getting, for about 30 years now, we've been getting rapidly increasing disparity between wealth and poverty in this country.
[00:06:49.288 --> 00:07:03.401]  The rich, there are ways of measuring this, and America has become, of all the Western countries, probably the leading example of extreme disparity between wealth and poverty.
[00:07:03.835 --> 00:07:16.460]  And the criterion that should be applied to every law that's passed and all these bailouts is, will it diminish the disparity of wealth and income in this country, or will it increase it?
[00:07:16.560 --> 00:07:18.941]  And if it increases it, it's a bad law.
[00:07:19.742 --> 00:07:29.866]  And that, I think, is something, it's a sign of the problem that this obvious criterion has hardly been invoked.
[00:07:30.882 --> 00:07:34.284]  It has come up, I think, with the auto industry.
[00:07:34.784 --> 00:07:52.511]  I think it's perfectly obvious that if you're going to ask the workers to accept less in their paycheck, then you should ask the people who probably are being overpaid at the top to accept less too, particularly because it was their failure of leadership that led into this crisis.
[00:07:52.632 --> 00:07:53.632]  Does that not make sense?
[00:07:54.187 --> 00:08:18.733]  I absolutely agree with you, and it's just disgusting how, you know, like you said, the upper echelon continue to rake in the bonuses, still have these massive salaries and the hundreds of thousands and millions of dollars in most cases, and like you said, it's going to be the common worker who loses his pension, who loses his 401k, who loses his benefits, and may not even have a job, because I really don't see the auto industry surviving another year in this country.
[00:08:19.133 --> 00:08:20.253]  We don't make anything left.
[00:08:20.573 --> 00:08:21.774]  There's nothing we make in this country.
[00:08:21.794 --> 00:08:22.774]  The last thing was cars.
[00:08:23.114 --> 00:08:24.095]  And that's about to end.
[00:08:24.415 --> 00:08:26.516]  And going back to what you said... How great is that?
[00:08:26.556 --> 00:08:28.116]  I think we're pretty good in high-tech.
[00:08:28.576 --> 00:08:29.117]  Well, that's true.
[00:08:29.157 --> 00:08:35.940]  We've outsourced a lot of it, but the central leadership of that industry is... Yeah, but most of it's still built in India or China.
[00:08:36.580 --> 00:08:36.820]  Yes.
[00:08:37.460 --> 00:08:48.365]  A lot of the jobs have gone, but the... America is... You know, now we're talking about something that's been happening over 50 years, and that is that
[00:08:49.352 --> 00:09:02.001]  We've put so much emphasis on maintaining our military that we've allowed civilian industry and the civilian economy to migrate to other countries.
[00:09:05.384 --> 00:09:12.889]  One of the things we have to say about this bailout is that the crisis it faced should have been faced much earlier.
[00:09:13.507 --> 00:09:38.989]  And worse than that, the states addressed the problem of predatory lending, which is at the heart of it, because here were very unscrupulous companies going out and hard-selling mortgages to people who they knew couldn't sustain them, particularly because these were variable mortgages that would start with a very reasonable rate, which they intended
[00:09:39.574 --> 00:09:43.878]  To jack up to 11, 12, 15% usurious rates.
[00:09:44.258 --> 00:09:59.751]  They knew that this was all a phony operation and that this is where the big banks are culpable because they, uh, the, uh, first of all, they lobbied for Congress to make it easier to do this sort of thing for them to invest in it.
[00:10:00.211 --> 00:10:05.616]  And then they packaged all these mortgages into securities, which they sold all over the world.
[00:10:06.206 --> 00:10:15.194]  So that's why we have a world crisis now based on the failure and the downturn in the American housing market.
[00:10:15.854 --> 00:10:32.228]  Little innocent countries like Iceland, who have done no wrong to anybody, are suffering terribly because the banking system of the world has supported this bubble and now is having to pay for it everywhere, every part of the world.
[00:10:34.364 --> 00:10:35.364]  There's one other thing.
[00:10:35.684 --> 00:10:46.188]  You could easily, in legislation, establish a principle of some kind of ratio between the richest return and the poorest in any business.
[00:10:46.708 --> 00:10:58.972]  If a worker in an industry is getting, I don't know, shall we say 30,000 a year, you establish a limit, maybe 20 times that, which would be the maximum
[00:10:59.505 --> 00:11:01.966]  That anybody in that industry can make.
[00:11:02.026 --> 00:11:08.888]  And this has been kicked around for some years as a solution to the problem of disparity of income.
[00:11:09.368 --> 00:11:19.292]  But I'm not sure that our two parties that are so heavily subsidized by the wealthy are going to put that into legislation.
[00:11:19.352 --> 00:11:19.992]  But they should.
[00:11:20.252 --> 00:11:27.495]  So just say 20 times as much as the basic pay is the most that anybody can make in any industry.
[00:11:27.515 --> 00:11:28.435]  Is that not reasonable?
[00:11:28.846 --> 00:11:35.368]  It seems reasonable to guys like you and me, but to the global elite, that's going to cut into their profit margin quite a bit.
[00:11:35.388 --> 00:11:37.028]  Yeah, it scares them, exactly.
[00:11:37.349 --> 00:11:49.172]  And that's what we learned in the bailout last fall, is how vigorously they fought to maintain their bonuses and maintain their dividends.
[00:11:49.793 --> 00:11:52.678]  Even though they're lucky not to be in jail, some of those people.
[00:11:52.838 --> 00:11:56.865]  And some of them actually still, not just Madoff, but a number of other people.
[00:11:56.925 --> 00:11:57.947]  I think they're super lucky.
[00:11:57.967 --> 00:11:58.869]  It's the Alex Jones Show.
[00:11:58.889 --> 00:12:01.192]  We'll be back with Peter Dale Scott, Infowars.com.
[00:12:09.540 --> 00:12:13.262]  Gentlemen, I know you need no reminder that Valentine's Day is right around the corner.
[00:12:13.623 --> 00:12:15.684]  Obviously, you have the perfect gift in mind.
[00:12:16.024 --> 00:12:22.368]  Well, just in case you might, ahem, know someone that may need some gift ideas, tell them about EnduringRose.com.
[00:12:22.608 --> 00:12:25.090]  We all know that flowers are a woman's favorite gift.
[00:12:25.450 --> 00:12:26.951]  But they only last a short time.
[00:12:27.312 --> 00:12:32.196]  EnduringRose.com has taken this gift and made it into one that will endure and last forever.
[00:12:32.476 --> 00:12:39.181]  Dipped in 24 karat gold, these real roses, single rose, or bouquets preserve your message of love for a lifetime.
[00:12:39.401 --> 00:12:44.766]  You can also shop for other ridiculously romantic gifts like jewelry and adorable stuffed animals.
[00:12:45.306 --> 00:12:47.448]  You can't go wrong at EnduringRose.com.
[00:12:48.008 --> 00:12:52.292]  Oh, and tell them there's a military discount and they can get free shipping on qualified orders.
[00:12:52.847 --> 00:12:55.108]  That website again is EnduringRose.com.
[00:12:55.588 --> 00:12:58.269]  E-N-D-U-R-I-N-G Rose.com.
[00:12:58.709 --> 00:13:01.050]  Or call 702-453-7455.
[00:13:01.350 --> 00:13:04.591]  That's 702-453-7455.
[00:13:05.152 --> 00:13:14.055]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:13:14.415 --> 00:13:16.196]  The enemy struck America on September 11th.
[00:13:17.051 --> 00:13:18.112]  But who is the enemy?
[00:13:18.593 --> 00:13:19.113]  Bin Laden.
[00:13:19.393 --> 00:13:20.374]  This is his M.O.
[00:13:20.395 --> 00:13:21.696]  We have to look to the Middle East.
[00:13:21.776 --> 00:13:23.398]  We have to look to Osama Bin Laden.
[00:13:23.758 --> 00:13:30.505]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:13:30.905 --> 00:13:31.346]  Some U.S.
[00:13:31.386 --> 00:13:37.032]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:13:37.732 --> 00:13:41.233]  I'm aware that some Israeli citizens have been detained.
[00:13:41.253 --> 00:13:44.034]  Either you are with us, or you are with the terrorists.
[00:14:07.734 --> 00:14:09.175]  Jim Newcomer from Midas Resources.
[00:14:09.376 --> 00:14:09.756]  January 16, 2009.
[00:14:09.836 --> 00:14:10.897]  Gold opened this morning at $832.90.
[00:14:10.937 --> 00:14:14.040]  A one-ounce gold coin can be purchased for $857.72, $428.86 for the half-ounce, and $214.43 for a quarter-ounce.
[00:14:14.080 --> 00:14:14.440]  That's $857.72, $428.86, and $214.43.
[00:14:25.245 --> 00:14:37.647]  On June 4th, 1963, an unknown presidential decree, Executive Order 11,110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[00:14:37.747 --> 00:14:40.848]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:14:40.948 --> 00:14:44.228]  The November assassination quieted the production of the new currency.
[00:14:44.288 --> 00:14:47.149]  However, the Executive Order still stands unrepealed.
[00:14:47.369 --> 00:14:50.129]  Midas has the Kennedy vs. Fed document.
[00:14:50.169 --> 00:14:50.429]  Call 800-686-2237.
[00:14:50.449 --> 00:14:50.949]  Unlike your liberty,
[00:14:54.250 --> 00:14:55.252]  The paper is free.
[00:14:55.372 --> 00:14:58.057]  Call 800-686-2237.
[00:14:58.277 --> 00:15:01.964]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:15:01.984 --> 00:15:02.184]  That's 800-686-2237.
[00:15:07.856 --> 00:15:09.717]  Heart disease is on the rise.
[00:15:09.837 --> 00:15:15.019]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:15:15.200 --> 00:15:16.540]  But the symptoms are there.
[00:15:16.800 --> 00:15:24.984]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:15:25.204 --> 00:15:30.927]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:15:31.107 --> 00:15:32.889]  My blood pressure has normalized.
[00:15:32.949 --> 00:15:35.111]  My diabetes has totally improved.
[00:15:35.131 --> 00:15:39.496]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:15:39.676 --> 00:15:41.818]  I recommend Heart and Body Extract to everyone.
[00:15:41.898 --> 00:15:48.845]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:15:49.065 --> 00:15:49.546]  Thank you.
[00:16:15.760 --> 00:16:17.024]  All right, folks, we are back.
[00:16:17.826 --> 00:16:18.789]  It's the Alex Jones Show.
[00:16:18.829 --> 00:16:19.652]  I am Jason Bermas.
[00:16:19.672 --> 00:16:21.016]  I've been sitting in all week.
[00:16:21.256 --> 00:16:21.858]  I'm a filmmaker.
[00:16:23.629 --> 00:16:26.291]  Put together Loose Change, Final Cut, and of course Fabled Enemies.
[00:16:26.311 --> 00:16:31.534]  You can get both of those as well as all of Alex Jones' titles over at Infowars.com.
[00:16:31.614 --> 00:16:34.316]  And we're talking bailout with Peter Dale Scott.
[00:16:34.336 --> 00:16:35.677]  We're also talking the Federal Reserve.
[00:16:35.697 --> 00:16:39.900]  And I want to remind people that the Federal Reserve is an independent organization.
[00:16:39.940 --> 00:16:50.007]  I mean, you can watch Alan Greenspan on PBS actually tout that, oh, we're independent of the federal government and actually we have no oversight and we're really above the president in many respects.
[00:16:50.387 --> 00:16:52.969]  And if you see how the Federal Reserve works, the board,
[00:16:53.849 --> 00:17:10.539]  And correct me if I'm wrong, Peter, but I believe that you vote for your, you're a constituent, you vote for your congressmen, your senators, and things like that, but those people are the ones who actually decide who's going to be on the board of the Federal Reserve, and they serve, I want to say, what is it, 13?
[00:17:11.080 --> 00:17:13.942]  No, it's 13 members, and what do they serve, eight-year terms?
[00:17:14.982 --> 00:17:19.325]  Yes, it's a considered way
[00:17:20.186 --> 00:17:23.648]  of preventing people, people just printing money.
[00:17:23.668 --> 00:17:42.676]  The idea of it is, and by the way, you do get something like this in England and in France, because they're frightened of democracy cheapening money, because obviously, I don't know what the right solution here is.
[00:17:43.097 --> 00:17:45.778]  I'm not as frightened
[00:17:47.579 --> 00:17:52.082]  My real fear is not the particular individuals who are in the Federal Reserve.
[00:17:52.162 --> 00:18:07.594]  My fear is of the influence of the wealthy in this country, which works through the Fed, it works through the Treasury Department, it works very much through the CIA, and that's actually been my specialty over these years.
[00:18:07.694 --> 00:18:11.677]  You know, at the beginning, the CIA was sort of planned on Wall Street,
[00:18:12.393 --> 00:18:24.903]  And all the first directors, or practically all the first directors and deputy directors, were taken en masse from Wall Street law firms and Wall Street investment companies.
[00:18:26.124 --> 00:18:33.630]  And that bias, in terms of preserving wealth, has affected our foreign policy since the war.
[00:18:34.431 --> 00:18:38.114]  It wasn't totally evil at the beginning, but
[00:18:39.248 --> 00:18:52.058]  Ever since America started having to tighten its belt, which is roughly at the end of the Vietnam War, it's been done in such a way as to protect the rich and let somebody else pay.
[00:18:52.218 --> 00:19:05.929]  And what we've seen from this is declining income in the third world, which of course leads to increased violence in the third world, and declining income, real income, not just what
[00:19:06.668 --> 00:19:14.971]  The numbers on a paycheck, but real income has been declining for the working class in this country, and increasingly now for the middle class as well.
[00:19:15.571 --> 00:19:35.439]  And that's why I say, you know, you've had this bubble, this financial bubble, that is being, in a sense, extracting wealth out of the body politic, depositing it in the bank accounts of the rich, and now the bailouts are still, in a sense, trying to preserve that particular relationship.
[00:19:36.886 --> 00:19:44.243]  We've got to talk about martial law and war in this program, but I really am, of course, very wound up about this influence as well.
[00:19:44.597 --> 00:19:46.579]  Yeah, that's exactly what I wanted to move into.
[00:19:46.599 --> 00:19:49.001]  You know, martial law, the financial bailout, and more.
[00:19:49.401 --> 00:19:51.322]  Where does martial law fit into all this?
[00:19:51.402 --> 00:19:58.948]  Not only were they threatened with martial law, but we have an Obama administration that says that they're going to redistribute troops into Afghanistan.
[00:19:59.048 --> 00:20:06.414]  Obviously there's tensions not only in Gaza and Israel, but Pakistan is now more and more, you know, showing up on the media as the enemy.
[00:20:06.795 --> 00:20:10.858]  I mean, is martial law here at home something that we should really be worried about?
[00:20:11.976 --> 00:20:18.821]  Preparations for martial law have been increasing constantly for the last 30 years.
[00:20:19.341 --> 00:20:27.847]  It really goes back to the troubles back in the 1960s and 1970s when there was a case, actually.
[00:20:28.508 --> 00:20:40.656]  I think I approved of calling out the troops in places like Detroit because the federal troops were not as racist as the local police and were more efficient in restoring order.
[00:20:41.294 --> 00:20:49.361]  But, traditionally in this country, as I'm sure most of the audience know, you only use federal troops in an extreme emergency.
[00:20:49.401 --> 00:21:02.472]  We have Posse Comitatus Acts dating back to Reconstruction after the Civil War, which forbid the use of troops in a normal way in police activities.
[00:21:03.313 --> 00:21:07.076]  And that's been undermined now since the early 1980s by secret planning
[00:21:09.611 --> 00:21:31.217]  By a committee that was set up under the Reagan administration, and for twenty years it kept on going, and two of the chief people in the planning, not the only ones, were Dick Cheney and Donald Rumsfeld, and they were planning for what was in effect called the suspension of the American Constitution.
[00:21:31.677 --> 00:21:34.558]  First of all, in an atomic attack.
[00:21:35.174 --> 00:21:42.719]  But what the extraordinary thing was, they took planning against an atomic attack and applied it to normal police activity.
[00:21:43.140 --> 00:21:44.681]  And that's what we're getting today.
[00:21:45.141 --> 00:21:49.404]  We'll be back with Peter Dale Scott, martial law, the financial bailout, and more.
[00:21:49.424 --> 00:21:50.485]  It's the Alex Jones Show.
[00:21:50.525 --> 00:21:56.709]  Infowars.com, PrisonPlanet.tv.
[00:21:57.850 --> 00:21:58.731]  We're on the march.
[00:21:59.231 --> 00:22:00.832]  The Empire's on the run.
[00:22:01.753 --> 00:22:04.475]  Alex Jones and the GCN Radio Network.
[00:22:07.637 --> 00:22:10.360]  Are you one of the millions of sinus and allergy sufferers?
[00:22:10.560 --> 00:22:11.681]  Is your nose stuffed up?
[00:22:11.701 --> 00:22:15.864]  Do you experience sinus headaches, allergy symptoms, infections, or post-nasal drip?
[00:22:15.884 --> 00:22:20.469]  Does your treatment improve your body's disease-fighting function, or are you simply treating the symptoms?
[00:22:20.709 --> 00:22:30.938]  The Sinuplus Elite Advanced Sinus Irrigation System effectively cleanses your sinuses and upper airways of all fungi, bacteria, and pathogens, and clears your sinuses gently and pleasantly.
[00:22:30.998 --> 00:22:31.518]  We're good to go.
[00:23:02.019 --> 00:23:13.464]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:23:13.704 --> 00:23:15.045]  And we knew what to do.
[00:23:15.065 --> 00:23:16.806]  Or at least we thought we did.
[00:23:17.046 --> 00:23:23.469]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:23:24.070 --> 00:23:30.793]  Whitman, EPA director on the 18th, made a statement that the air
[00:23:31.493 --> 00:23:32.634]  We're safe to breathe.
[00:23:32.954 --> 00:23:39.779]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:23:40.079 --> 00:23:43.141]  He had his hand over the radio while he was getting a countdown.
[00:23:43.242 --> 00:23:48.465]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:23:49.006 --> 00:23:51.648]  This is an emergency transmission worldwide.
[00:23:52.088 --> 00:23:58.873]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:24:01.909 --> 00:24:09.333]  Hi, this is Steve Shank.
[00:24:09.633 --> 00:24:10.773]  eFoods does it again.
[00:24:11.013 --> 00:24:15.776]  The 3-Day Responder provides one adult with three days worth of healthy, delicious, easy-fix food.
[00:24:16.116 --> 00:24:20.418]  The price of the 3-Day Responder is almost ridiculous at $21.95 for actually 12 meals plus snacks.
[00:24:32.193 --> 00:24:32.555]  I think so.
[00:24:38.626 --> 00:24:40.167]  It's easy to fix and ready to go.
[00:24:40.647 --> 00:24:42.648]  Food is an everyday need.
[00:24:42.688 --> 00:24:47.792]  The 3-Day Responder is for the time when food should be the last thing you have to worry about.
[00:24:48.272 --> 00:24:49.333]  The 3-Day Responder, $21.95.
[00:24:49.513 --> 00:24:51.894]  Sometimes the best things do come in the smallest packages.
[00:24:51.914 --> 00:24:53.095]  Call 800-409-5633 on the web efoodsdirect.com.
[00:24:53.115 --> 00:24:54.696]  That's 800-409-5633 on the web efoodsdirect.com.
[00:25:17.998 --> 00:25:18.859]  All right, we're back.
[00:25:18.919 --> 00:25:20.140]  It's the Alex Jones Show.
[00:25:20.360 --> 00:25:28.708]  We're live right now, streaming video over at PrisonPlanet.tv, and we're talking to Peter Dale Scott, author of The War Conspiracy and many other books.
[00:25:28.728 --> 00:25:32.172]  I think that was actually a banned book for quite some time.
[00:25:32.192 --> 00:25:34.014]  He coined the term parapolitics.
[00:25:34.614 --> 00:25:40.415]  And we were just talking about the continuity of government program often referred to as the shadow government.
[00:25:40.455 --> 00:25:47.337]  You were talking about how it was revamped in the 80s, or I'm sorry, in the 80s under Reagan.
[00:25:47.637 --> 00:25:56.699]  And what I found in my research, and I have a little part of it in Fabled Enemies, is in the late 80s, early 90s, the National Programs Office took over the COG.
[00:25:57.919 --> 00:26:05.725]  So, to carry it on, at the end of the G. H. W. Bush administration, the New York Times ran an article and said that there was no more atomic, you know, with the
[00:26:25.393 --> 00:26:31.619]  Disappearance of the Soviet Union, they were no longer so frightened of an atomic attack, so they were winding up these programs.
[00:26:31.699 --> 00:26:49.776]  It was a very misleading article, because what had happened was that they had shifted the planning from an atomic focus to just any emergency, and one of the last acts of the Reagan administration was to pass an executive order that
[00:26:50.635 --> 00:26:51.555]  I don't think so.
[00:27:15.568 --> 00:27:20.891]  Neither Cheney nor Rumsfeld had anything to do with the government.
[00:27:20.971 --> 00:27:24.353]  Each of them was a CEO of a major corporation.
[00:27:24.954 --> 00:27:38.583]  But the planning continued and the Army has... One of the last troops of the Clinton administration was a new directive for the Army which legitimized the
[00:27:39.236 --> 00:27:48.478]  idea that the army would permanently have what they call a co-op, a continuity of operations program in the army.
[00:27:49.278 --> 00:28:00.681]  For the first time, instead, the people who had worried about an attack from abroad would now worry from an attack at home from violence of any form.
[00:28:01.501 --> 00:28:06.983]  And right after 9-11, we got a whole series of things, which I'm sure were
[00:28:08.575 --> 00:28:09.275]  We're good to go.
[00:28:33.220 --> 00:28:35.602]  Ready for combat in the United States.
[00:28:35.682 --> 00:28:39.005]  This is entirely, entirely unprecedented.
[00:28:39.646 --> 00:28:47.453]  And it's been announced that this is probably, you know, they announced it in connection with the inauguration.
[00:28:47.633 --> 00:28:53.939]  And we've seen since then, the troops are now in Washington, controlling Washington.
[00:28:54.380 --> 00:28:56.642]  But this is not an ad hoc thing.
[00:28:56.702 --> 00:28:58.944]  This is a permanent thing under this new order.
[00:28:59.571 --> 00:29:00.573]  Absolutely, and you know what?
[00:29:00.593 --> 00:29:12.008]  Let's play the clip of Obama before he's elected, talking about a civilian security force, and he's openly said that he's going to bring 20,000 troops into the United States for domestic operations.
[00:29:12.228 --> 00:29:13.009]  Let's play that clip.
[00:29:15.512 --> 00:29:22.655]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:29:23.476 --> 00:29:30.519]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:29:32.492 --> 00:29:46.351]  Alright, so, you know, it really does seem like, again, these are continuations that you see, whether it's Republican or Democrat, just like you said, began with Reagan, into the Bush 1 administration, continuity of government plans were then
[00:29:47.332 --> 00:29:47.992]  You're right.
[00:30:13.402 --> 00:30:19.326]  Yeah, yeah, and most people scoff at the idea of this shadow government, and it was on the cover of the Washington Times.
[00:30:19.766 --> 00:30:24.269]  So I see only more expansion on this COG-type program.
[00:30:25.049 --> 00:30:34.835]  I don't think it's a coincidence that this week is when we saw the 9-11 Commission release over 1,200 transcripts of interviews at the end of the Bush administration, so they couldn't be ridiculed.
[00:30:35.195 --> 00:30:40.619]  I'm sure that researchers... Well, if you looked at that schedule, almost half of them are still withheld.
[00:30:40.959 --> 00:30:41.259]  Yes.
[00:30:41.499 --> 00:30:43.781]  They're releasing them, but not really releasing them.
[00:30:44.141 --> 00:30:46.042]  Yes, someone still has clearances on them.
[00:30:46.082 --> 00:30:47.663]  They say, oh, well, national security clearance.
[00:30:47.723 --> 00:30:54.888]  It's going to take legislation to get all of that stuff cleared, and I don't have much confidence that this Congress will do it.
[00:30:54.968 --> 00:31:09.857]  But I would certainly, I think it's, you know, if we're revamping the whole of our constitutional arrangement in this country because of this largest murder, certainly in the history of the United States,
[00:31:10.370 --> 00:31:25.538]  At least investigated, and we still don't know, and we can't even see... You know, after the Kennedy assassination, you had the Warren Commission, which essentially covered things up, but at least it had the decency to publish its evidence.
[00:31:26.198 --> 00:31:35.503]  And we're going to need legislation to force the evidence, whatever it was, from the 9-11 Commission released.
[00:31:37.250 --> 00:31:40.452]  Let me tell you the thing that worries me most about Obama.
[00:31:40.492 --> 00:31:43.653]  We had an election where we had a choice.
[00:31:44.994 --> 00:31:57.400]  The parties gave us a choice between a candidate, McCain, who wanted to fight two wars, and a candidate, Obama, who, by the way, I mean, I could say good things about Obama on this program.
