[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[00:08:07.673 --> 00:08:08.954]  Terrorism is a tactic.
[00:08:09.014 --> 00:08:12.556]  It has nothing to do with an enemy.
[00:08:13.157 --> 00:08:19.461]  And when you try to put your finger on who the enemy is, you run into the fact that Al-Qaeda itself
[00:08:20.191 --> 00:08:25.853]  It's a mythological organization, and to the extent there is an Al-Qaeda, it was created by the CIA.
[00:08:26.874 --> 00:08:33.916]  So, I mean, there are so many subterfuges within subterfuges within subterfuges, and you're right.
[00:08:34.436 --> 00:08:41.999]  The American people are being hoodwinked, they're being led around like sheep, and for what purpose?
[00:08:42.059 --> 00:08:46.341]  Well, it seems like the purpose is the same as it ever was, which is to rob
[00:08:47.140 --> 00:08:50.101]  Uh, the great majority of us, in order to feed the rich.
[00:08:50.682 --> 00:08:57.945]  And that's what our economic system has been about for many, many decades, if not a couple of centuries.
[00:08:59.806 --> 00:09:07.169]  And until people understand that, you know, I don't see anything really positive happening for the United States of America.
[00:09:07.890 --> 00:09:19.033]  Except we're going to kind of, while we go down the road to hell, they're kind of giving us laughing gas to feel euphoric about Obama and he says he cares about us and he says he wants us to, you know, work with him.
[00:09:19.713 --> 00:09:24.095]  Going back to an editorial you wrote, I guess about a year and a half ago, about Bush and how
[00:09:24.935 --> 00:09:32.802]  The whole apparatus of the police state and the FEMA camps and PDD 51 and John Warner Defense Authorization Act, it was all aimed at us.
[00:09:33.282 --> 00:09:41.690]  Now we're seeing it in the news that they're arresting people for marijuana, they're arresting people for talking back on airplanes, they're charging them under the Patriot Act, and it's all continuing
[00:09:42.511 --> 00:09:45.995]  Well, it's sort of like what Bill Clinton pulled when he came into office.
[00:10:01.281 --> 00:10:07.384]  And was able to get all this legislation passed, and everybody said, geez, the Republicans never could have ended welfare.
[00:10:07.684 --> 00:10:09.866]  The Republicans never could have gotten NAFTA passed.
[00:10:09.926 --> 00:10:12.167]  The Republicans never could have gotten that crime bill through.
[00:10:12.947 --> 00:10:20.151]  So the Democrats, you know, come in and actualize the Republicans' fondest dreams.
[00:10:22.512 --> 00:10:28.876]  Obama, as you said, is a very slick character, and it's like having Will Smith as president.
[00:10:30.000 --> 00:10:35.083]  People just can't help but love him, and the wife, and the babies, and it's such a pretty picture.
[00:10:35.103 --> 00:10:41.748]  It's going to suck people along for a while, but the piper will be paid.
[00:10:42.648 --> 00:10:51.054]  If a year from now this economy is even more cratered than it is now, all of a sudden it's going to be blaming on the black man.
[00:10:54.537 --> 00:11:08.596]  You know, I can see some very ugly scenarios down the road, and I think the only way you combat it is to wake up America and get people to entertain the idea that they're being fooled.
[00:11:10.114 --> 00:11:12.696]  Well, Congressman, finish up after the break.
[00:11:12.716 --> 00:11:14.196]  We're about to go to break, but I agree with you.
[00:11:14.537 --> 00:11:23.162]  And that's what, you know, when I talk to people like KRS-One, or I talk to other, you know, well-known hip-hop, rap icons, that's what they're concerned about, because they know what's going on.
[00:11:23.402 --> 00:11:26.344]  They know he's the front man, and they know in the end this is a trap.
[00:11:26.724 --> 00:11:29.566]  And that's why, in a way, I'm doing Barack Obama a favor.
[00:11:29.826 --> 00:11:32.628]  The public needs to know, this guy, love him or hate him.
[00:11:33.728 --> 00:11:35.430]  You think he's the messiah or you think he's the devil?
[00:11:35.730 --> 00:11:36.771]  You need to understand something.
[00:11:37.051 --> 00:11:38.112]  He is a front man.
[00:11:38.733 --> 00:11:43.957]  And two weeks into his administration, we know it's business as usual with just a little bit of pat-on-the-head rhetoric.
[00:11:44.958 --> 00:11:48.741]  So I want to get your take on that and talk about solutions and where you see this going.
[00:11:49.201 --> 00:11:56.127]  And then the FEMA camp legislation openly introduced and they say these FEMA camps are basically going to take over local government.
[00:11:56.528 --> 00:11:57.108]  Stay with us.
[00:11:57.448 --> 00:11:59.070]  Former Congressman Dan Hamburg is our guest.
[00:11:59.290 --> 00:12:00.431]  We'll give you his website when we come back.
[00:12:02.441 --> 00:12:03.482]  Hi, this is Ted Anderson.
[00:12:03.883 --> 00:12:09.368]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:12:09.949 --> 00:12:10.449]  That's right.
[00:12:10.750 --> 00:12:13.653]  Gold has been available to be placed in IRAs since 1986.
[00:12:14.454 --> 00:12:20.520]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:12:21.089 --> 00:12:28.772]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:12:29.212 --> 00:12:34.074]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:12:34.694 --> 00:12:39.716]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:12:40.496 --> 00:12:44.618]  Don't get left behind by rising inflation and low return on your paper investments.
[00:12:45.018 --> 00:12:45.278]  Call 800-686-2237.
[00:12:47.867 --> 00:12:50.048]  Make sure that you secure your future.
[00:12:50.348 --> 00:12:50.628]  Call 800-686-2237.
[00:12:50.648 --> 00:12:50.848]  That's 1-800-686-2237.
[00:13:09.949 --> 00:13:10.970]  But who is the enemy?
[00:13:11.511 --> 00:13:11.991]  Bin Laden.
[00:13:12.291 --> 00:13:13.292]  This is his M.O.
[00:13:13.313 --> 00:13:14.654]  We have to look to the Middle East.
[00:13:14.674 --> 00:13:16.276]  We have to look to Osama Bin Laden.
[00:13:16.656 --> 00:13:23.423]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:13:23.823 --> 00:13:24.244]  Some U.S.
[00:13:24.304 --> 00:13:29.970]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:13:30.630 --> 00:13:34.153]  I'm aware that some Israeli citizens have been detained.
[00:13:34.513 --> 00:13:44.381]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:13:44.622 --> 00:13:45.362]  Fabled enemies.
[00:13:45.843 --> 00:13:53.129]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:13:53.569 --> 00:13:56.952]  Either you are with us or you are with the terrorists.
[00:14:00.834 --> 00:14:04.475]  When times get tough, we must all decide what's most important in life.
[00:14:04.795 --> 00:14:09.816]  At EnduringRose.com, we believe that lasting relationships are what make life most meaningful.
[00:14:10.256 --> 00:14:14.537]  Showing our loved ones that we care is what helps us find happiness in an uncertain world.
[00:14:15.077 --> 00:14:16.378]  Enduring Rose can help.
[00:14:16.738 --> 00:14:22.879]  We have taken real roses, the universal symbols of love, and coated them in eternal and precious 24 karat gold.
[00:14:23.319 --> 00:14:26.820]  These roses, forever preserved in either white or yellow gold, will never
[00:14:29.292 --> 00:14:29.552]  I think so.
[00:14:48.251 --> 00:14:53.158]  That's E-N-D-U-R-I-N-G Rose and duringrose.com or call 702-453-7455.
[00:14:53.179 --> 00:14:53.559]  That's 702-453-7455.
[00:15:00.157 --> 00:15:04.760]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:15:05.080 --> 00:15:12.285]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:15:12.525 --> 00:15:13.906]  But we've only seen the beginning.
[00:15:14.146 --> 00:15:18.029]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:15:18.309 --> 00:15:21.872]  Shortages and empty shelves will spread fear and panic across the land.
[00:15:22.132 --> 00:15:26.234]  The Insiders have discovered that they must control two things to seize total power.
[00:15:26.615 --> 00:15:30.077]  Phase One is a One World Currency which we are currently being prepared to
[00:15:30.097 --> 00:15:31.498]  We're good to go.
[00:16:06.803 --> 00:16:07.763]  We're back live.
[00:16:07.823 --> 00:16:10.525]  Congressman Dan Hemberg is our guest.
[00:16:10.625 --> 00:16:12.345]  Keeping with us for about 40 after.
[00:16:12.365 --> 00:16:14.907]  Then I'm going directly to all of you that have been patiently holding.
[00:16:15.207 --> 00:16:16.207]  Call for your number to join us.
[00:16:16.227 --> 00:16:17.488]  1-800-259-9231 and we'll get you up and on the air.
[00:16:23.170 --> 00:16:28.753]  Make no mistake, this is the globalists making their move against free society right now.
[00:16:29.453 --> 00:16:33.615]  Using the crises they have orchestrated to bring in even greater control.
[00:16:33.735 --> 00:16:44.681]  Foreign offshore banks are openly not just heisting, not just robbing the treasuries of the world, not just the United States, not just the West, but they're making their moves on third world countries.
[00:16:45.612 --> 00:16:47.473]  That's what they did to third world countries over and over again.
[00:16:47.493 --> 00:16:48.454]  They're now doing to us.
[00:16:48.894 --> 00:16:50.475]  It is an inside job.
[00:16:51.376 --> 00:16:53.337]  Congressman Hamburg.
[00:16:55.535 --> 00:17:07.666]  Getting into the FEMA camps, getting into the situation there, getting into Obama's youth corps and forced civilian service, Rahm Emanuel's brainchild.
[00:17:08.727 --> 00:17:11.569]  They're now announcing a civilian military.
[00:17:12.029 --> 00:17:13.391]  The bill has been introduced.
[00:17:13.451 --> 00:17:16.333]  That's in my stack of news as well.
[00:17:17.554 --> 00:17:19.356]  Break down any concerns you've got about that.
[00:17:20.134 --> 00:17:25.357]  Well, um, I have to tell you, Alex, that, um, I caught the Corbett Report last week.
[00:17:27.278 --> 00:17:30.120]  And, uh, they had, uh, quite a segment with you.
[00:17:30.140 --> 00:17:32.401]  Were you aware of that?
[00:17:33.121 --> 00:17:33.322]  No.
[00:17:34.142 --> 00:17:49.851]  Well, the Corbett Report, you know, you wear the Corbett Report, comes out of Japan, and, um, they had a segment of, you know, of you on the air, and they were talking about precisely this issue, which is this cult of Obama.
[00:17:50.586 --> 00:18:07.857]  And this idea that we're all pledging, you know, not to our communities, but to Obama as the, you know, sort of the new, the new, I don't want to say Führer, but sort of like that, you know, it's a cult of personality.
[00:18:09.058 --> 00:18:13.001]  And I find it, I think everybody should find it very alarming.
[00:18:13.741 --> 00:18:17.304]  You know, this country is not about individual heroes.
[00:18:17.404 --> 00:18:19.385]  This country is about, you know,
[00:18:20.017 --> 00:18:22.939]  Wasn't there something in our Constitution about we the people?
[00:18:23.839 --> 00:18:41.870]  But, you know, we're getting away from that because things are at such a state that, and the people are so enamored of Brethren Circuses that, you know, they need this symbolic presence of, you know, the great leader that we're now all going to pay homage to.
[00:18:42.571 --> 00:18:48.014]  And I find it disgusting, but more than that, I find it very dangerous.
[00:18:49.146 --> 00:18:51.507]  I also find this new H.R.
[00:18:51.527 --> 00:18:53.808]  645 alarming.
[00:18:53.828 --> 00:18:59.631]  It's the National Emergency Center's Establishment Act, introduced in the House as H.R.
[00:18:59.971 --> 00:19:03.593]  645 by a man named Alfie Hastings of Florida.
[00:19:04.353 --> 00:19:17.880]  And, you know, I served with Alfie Hastings, very nice gentleman, but there's one interesting thing about him, which was that when he was a federal judge in Florida, he barely escaped
[00:19:19.158 --> 00:19:29.486]  In fact, I think he did lose his judgeship on corruption charges, and shortly thereafter was able to win a seat in the House.
[00:19:29.626 --> 00:19:34.410]  But, you know, I was wondering, well, why is Alfie Hastings the one who's introducing this resolution?
[00:19:35.130 --> 00:19:44.337]  And a colleague of mine, Peter Dale Scott, who you may have heard of, he's written, you know, extensively... Interviewed him many times, interviewed him last week.
[00:19:44.637 --> 00:19:48.020]  Anyway, Peter Dale Scott's take on this is, well, of course it would be Alfie Hastings.
[00:19:48.530 --> 00:19:50.331]  You know, they've got so much crap on L.C.
[00:19:50.351 --> 00:19:59.873]  Hastings that he's, you know, they can tell him to introduce a bill to, you know, to do anything, and he'll do it, because they've got plenty on him.
[00:20:00.613 --> 00:20:05.275]  But if you read through this bill, it's very alarming.
[00:20:05.335 --> 00:20:17.018]  It's establishing six FEMA camps around the United States on military bases, and to me, the best commentary I've read on this so far
[00:20:17.594 --> 00:20:28.023]  Was the commentary made by Congressman Ron Paul, who pointed out that the fact that they're doing this on a military basis... Well, let me just read something off his blog.
[00:20:28.724 --> 00:20:44.377]  He says, even though we know that detention facilities are already in place, they now want to legalize the construction of FEMA camps on military installations, using the ever-popular excuse that the facilities are for the purpose of national emergency.
[00:20:45.086 --> 00:20:54.991]  National emergency centers will be used in a national emergency, but only if the emergency requires large groups of people to be rounded up and detained.
[00:20:55.592 --> 00:21:04.376]  If that isn't the case, asks Paul, then why have these national emergency facilities, why are they being built in military installations?
[00:21:04.857 --> 00:21:08.118]  And it's a very, it's a very interesting point.
[00:21:09.979 --> 00:21:12.801]  And it should really make people worried.
[00:21:13.288 --> 00:21:23.941]  They're taking these bases and turning them into centers that they can move people to, where they can be effectively contained.
[00:21:25.276 --> 00:21:29.299]  For long periods of time, if you read through the legislation... Congressman, stay there!
[00:21:29.599 --> 00:21:29.879]  Stay there.
[00:21:29.899 --> 00:21:30.860]  I don't want you to be cut off.
[00:21:30.900 --> 00:21:32.861]  Come back and start over on that point.
[00:21:32.961 --> 00:21:36.644]  And I particularly have been studying similar legislation for a long time.
[00:21:37.364 --> 00:21:44.149]  I want to connect a few dots when we come back with you and get your take on that because you were in Congress and you know what type of chance it has of passing.
[00:21:44.590 --> 00:21:46.171]  We'll be right back, ladies and gentlemen.
[00:21:46.591 --> 00:21:49.673]  They've also got a bunch of bills that effectively ban most guns in the country.
[00:21:49.973 --> 00:21:50.434]  Introduced.
[00:21:50.714 --> 00:21:51.594]  We're on the march.
[00:21:52.095 --> 00:21:53.596]  The empire's on the run.
[00:21:54.608 --> 00:21:57.389]  Alex Jones and the GCN Radio Network.
[00:22:00.750 --> 00:22:04.051]  The United States is bankrupt and the bankers want you bankrupt also.
[00:22:04.291 --> 00:22:06.652]  How would you like to be debt-free in 90 days?
[00:22:06.772 --> 00:22:07.432]  Guaranteed!
[00:22:07.812 --> 00:22:14.454]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:22:14.754 --> 00:22:22.437]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:22:22.697 --> 00:22:23.137]  We're good to go.
[00:22:46.516 --> 00:22:47.017]  We're good to go.
[00:23:00.589 --> 00:23:02.611]  May I have everybody's attention, please?
[00:23:02.731 --> 00:23:05.134]  I've come with a message of information.
[00:23:05.154 --> 00:23:07.376]  9-11 was an inside job.
[00:23:07.416 --> 00:23:08.958]  Do you like being a puppet, sir?
[00:23:08.978 --> 00:23:10.579]  Do you like being a puppet for the New World Order?
[00:23:10.680 --> 00:23:13.502]  How do the American people know that 9-11 was a state?
[00:23:13.522 --> 00:23:17.226]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR.
[00:23:26.873 --> 00:23:31.658]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:23:31.738 --> 00:23:32.819]  An inside job.
[00:23:35.513 --> 00:23:36.874]  How dare you?
[00:23:37.954 --> 00:23:43.036]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:23:43.196 --> 00:23:45.837]  All hell is breaking loose on 6th Avenue.
[00:23:45.937 --> 00:23:52.360]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[00:23:52.400 --> 00:23:54.981]  Download the film at PrisonPlanet.tv right now.
[00:23:55.241 --> 00:23:57.242]  Or get the DVD at Infowars.com.
[00:23:57.502 --> 00:23:59.963]  It's now time to take the revolution to the next level.
[00:24:00.618 --> 00:24:03.560]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:24:03.720 --> 00:24:08.944]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:24:09.244 --> 00:24:14.588]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:24:14.948 --> 00:24:16.089]  Hi, this is Alex Jones.
[00:24:16.429 --> 00:24:25.315]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membrane.
[00:24:25.755 --> 00:24:27.376]  Now, compare a Calbin Pure Soap.
[00:24:27.576 --> 00:24:31.757]  All natural, earth-friendly, no harsh chemicals, no animal testing.
[00:24:31.797 --> 00:24:36.419]  They're safe, and you save 85% of the money you're spending on cleaning products now.
[00:24:36.819 --> 00:24:38.899]  Start saving over $1,000 a year for your family of four.
[00:24:40.660 --> 00:24:41.400]  Keep it natural.
[00:24:41.740 --> 00:24:49.903]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:24:50.123 --> 00:24:54.264]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:24:54.284 --> 00:24:55.365]  Call 1-800-340-7091 for all your cleaning needs.
[00:25:25.026 --> 00:25:26.447]  I'll take my chances on you.
[00:25:29.829 --> 00:25:30.710]  Again and again.
[00:25:34.052 --> 00:25:37.694]  We're coming straight on for the New World Order.
[00:25:37.714 --> 00:25:42.417]  I don't know if we're going to win this thing, but I know this.
[00:25:42.457 --> 00:25:43.077]  We're in the fight.
[00:25:43.618 --> 00:25:44.358]  We're in the arena.
[00:25:45.259 --> 00:25:46.660]  And we are not giving in.
[00:25:46.680 --> 00:25:47.520]  We're not giving up.
[00:25:47.600 --> 00:25:49.582]  We're not giving in to fear, intimidation, none of it.
[00:25:50.742 --> 00:25:51.543]  We're going straight on.
[00:25:53.655 --> 00:25:57.357]  Alright, former congressman is our guest, Dan Hamburg.
[00:25:57.377 --> 00:26:01.120]  And we're going to let him go here in about 12 minutes or so.
[00:26:01.140 --> 00:26:04.962]  I'll go back to your phone calls and then go through a bunch of the news I haven't even gotten into yet.
[00:26:05.783 --> 00:26:12.907]  We were talking about, and you were reading a quote from Ron Paul, about how serious this is.
[00:26:12.927 --> 00:26:15.789]  If you read the bill,
[00:26:17.685 --> 00:26:21.628]  The FEMA camp bill, it states they'll have clergy in their local communities.
[00:26:22.429 --> 00:26:24.690]  And I've been studying the building of these FEMA camps.
[00:26:24.750 --> 00:26:26.111]  There's scores of them around the nation.
[00:26:26.211 --> 00:26:27.612]  It's been in the Houston Chronicle.
[00:26:27.993 --> 00:26:29.834]  So it's kind of like the warrantless spying.
[00:26:30.274 --> 00:26:36.959]  They warrantlessly spy on you and then when they get caught, then they try to pass bills to legalize it.
[00:26:37.920 --> 00:26:39.081]  And so what they've done is
[00:26:40.345 --> 00:26:43.946]  Reverse engineering, it's everything I covered in my police state films, articles we've written.
[00:26:44.306 --> 00:26:48.508]  The clergy response teams we first discovered with the secret FEMA documents the pastors got to us.
[00:26:48.948 --> 00:26:49.768]  Nobody believed us.
[00:26:50.168 --> 00:26:51.469]  We were attacked in national news.
[00:26:51.489 --> 00:26:53.649]  A year and a half later it came out in the news, it was true.
[00:26:54.370 --> 00:26:56.350]  It mentions the clergy on the camps.
[00:26:56.410 --> 00:27:04.833]  Now they're trained to tell their local flocks to go to the camps, to turn in their guns, to take force inoculations, to let them take their children away, to other facilities for their safety.
[00:27:06.007 --> 00:27:08.389]  So you see these innocuous lines in there, you know what it means.
