[00:00:00.149 --> 00:00:00.930]  We're good to go.
[00:04:55.515 --> 00:04:59.818]  And we'll have it by next week and have the orders packed up and ready to ship June 3rd.
[00:04:59.838 --> 00:05:01.340]  So get your orders in for that today.
[00:05:01.940 --> 00:05:04.703]  Again, reflections and warnings and interview with Aaron Russo.
[00:05:05.084 --> 00:05:08.187]  Also, we have a new DVD arsenal every month.
[00:05:08.227 --> 00:05:17.777]  We take the best in-studio and other interviews and other extras and things we've done, like we're working on one right now that has all the Tent City interviews and things in it.
[00:05:19.139 --> 00:05:20.561]  We sent Cruz out to cover that.
[00:05:22.014 --> 00:05:22.874]  That's boiled down.
[00:05:22.914 --> 00:05:31.957]  The first in those monthly DVD Arsenal videos has been released and that can also be ordered at the secure shopping cart at InfoWars.com or by calling toll-free 888-253-3139.
[00:05:31.977 --> 00:05:32.077]  888-253-3139.
[00:05:32.117 --> 00:05:33.897]  Then we have our big productions.
[00:05:33.917 --> 00:05:35.658]  We have our big productions that we do.
[00:05:49.365 --> 00:05:55.307]  Like Endgame, Terror Storm, Fabled Enemies, Truth Rising, and the newest one, The Obama Deception.
[00:05:55.627 --> 00:06:00.769]  The Obama Deception needs to be seen on high quality DVD and with the extras and things that are on it.
[00:06:00.809 --> 00:06:03.590]  So please order that at InfoWars.com.
[00:06:04.010 --> 00:06:06.211]  And that's how you support this radio show and everything we do.
[00:06:06.231 --> 00:06:09.112]  Plus, you get a tool that will wake up conservatives and liberals.
[00:06:09.412 --> 00:06:12.153]  Liberals will watch it because they want to see how Obama's being criticized.
[00:06:12.493 --> 00:06:15.354]  Conservatives will watch it because they hate Obama and they'll see that it's really
[00:06:16.641 --> 00:06:23.465]  An attack on neocons and on fake liberals, controlled by the offshore power structure, and it covers the Bilderberg Group and what's really happening.
[00:06:23.505 --> 00:06:25.546]  So, such an essential film.
[00:06:26.106 --> 00:06:26.907]  The Obama Deception.
[00:06:26.987 --> 00:06:39.994]  Okay, that said, let's go to Paul Dornanew, who again, did work for us on the film Endgame, and he has pretty good English, better English than I have Romanian.
[00:06:40.874 --> 00:06:46.075]  And he again, this is his second Bilderberg that he's traveled to, and we really appreciate his courage.
[00:06:46.596 --> 00:06:50.136]  This year, it was reported by Jim Tucker, the worst security ever.
[00:06:50.417 --> 00:06:53.177]  Two and a half miles away, they were arresting people, detaining people.
[00:06:55.898 --> 00:06:57.478]  Secret police following everybody.
[00:06:57.518 --> 00:06:58.799]  Tucker said it was the worst he ever saw.
[00:06:59.818 --> 00:07:06.841]  Also, Charlie Skelton of The Guardian got arrested twice, detained another time, got roughed up by security.
[00:07:07.042 --> 00:07:08.822]  That's now headlines, The London Guardian.
[00:07:09.323 --> 00:07:11.063]  And he went there like this was all a big joke.
[00:07:11.083 --> 00:07:12.564]  But it's not a big joke now.
[00:07:12.624 --> 00:07:13.605]  He kind of had an awakening.
[00:07:14.385 --> 00:07:16.586]  And then, so we'll be going over that.
[00:07:17.066 --> 00:07:18.827]  Mr. Dornanoo, thank you for joining us.
[00:07:19.928 --> 00:07:20.428]  Hello, Alec.
[00:07:21.228 --> 00:07:21.889]  Good to have you on.
[00:07:21.929 --> 00:07:24.450]  Where are you now on the road?
[00:07:25.929 --> 00:07:27.050]  Actually, I'm at my home.
[00:07:27.550 --> 00:07:29.151]  I arrived this morning.
[00:07:29.511 --> 00:07:32.693]  It was a straight drive.
[00:07:32.713 --> 00:07:34.134]  So you're not that far from Greece.
[00:07:34.154 --> 00:07:37.756]  How long did it take you to get back to where you're from in Romania?
[00:07:38.536 --> 00:07:39.797]  About 15 hours.
[00:07:40.638 --> 00:07:40.978]  Okay.
[00:07:42.879 --> 00:07:44.520]  Okay, we'll start at the beginning.
[00:07:44.580 --> 00:07:46.921]  I'm going to try to just sit back and have you break it down.
[00:07:47.221 --> 00:07:48.582]  What did you see?
[00:07:48.622 --> 00:07:49.423]  When did you arrive?
[00:07:49.483 --> 00:07:50.223]  What did you witness?
[00:07:50.543 --> 00:07:51.264]  What happened to you?
[00:07:52.625 --> 00:08:00.829]  Well, I arrived there for the evening with a friend of mine to help me with the footage.
[00:08:01.209 --> 00:08:02.149]  His name is Florian.
[00:08:02.969 --> 00:08:03.910]  Last name is Serbu.
[00:08:04.570 --> 00:08:15.155]  And basically what we noticed there from the beginning, and I have to agree completely with Jim Tucker, is that the security was
[00:08:16.658 --> 00:08:24.762]  Worse than I've seen in 2007 in Istanbul and what I've seen other times from other reports.
[00:08:25.283 --> 00:08:34.808]  Basically the police, I think the police took the job to secure the place and the army, the Greek army.
[00:08:35.668 --> 00:08:43.653]  I don't, haven't seen very much of special forces like I've seen before from maybe US military or something like that.
[00:08:44.181 --> 00:09:04.878]  But, uh, from the pictures I took, uh, I took, um, people to observe, um, for example, military on, uh, fast boats, uh, with guns, heavy guns, uh, uh, great, uh, military navy on the sea that was patrolling around the hotel, uh, police helicopter surveilling the area.
[00:09:05.279 --> 00:09:12.445]  When we arrived, uh, basically it was, uh, very animated, uh, and, uh, police, uh,
[00:09:13.453 --> 00:09:18.475]  Cars, police, bikes were coming and going everywhere.
[00:09:19.095 --> 00:09:22.397]  The traffic was restricted.
[00:09:22.517 --> 00:09:29.420]  So we basically went ahead and tried to see what's going on.
[00:09:30.260 --> 00:09:34.622]  And that's when we observed the pictures of the helicopter.
[00:09:35.462 --> 00:09:41.705]  That was the first day and we didn't... We later have seen a few limos.
[00:09:43.386 --> 00:09:49.830]  Black cars with black windows that were escorted by police.
[00:09:49.850 --> 00:09:51.051]  Was this last Wednesday?
[00:09:51.071 --> 00:09:53.813]  Thursday, actually.
[00:09:54.533 --> 00:09:55.214]  Okay, Thursday.
[00:09:55.234 --> 00:09:56.835]  So the first real day it kicks off.
[00:09:57.495 --> 00:09:59.997]  When did you start seeing them detain people?
[00:10:00.037 --> 00:10:05.160]  And then we heard there were some demonstrations that look staged by the communists and the nationalists.
[00:10:05.180 --> 00:10:05.781]  Please continue.
[00:10:06.803 --> 00:10:31.345]  Well, my second day there, which is Friday the 15th, I was walking on the road, walking towards the Esquire Palace Hotel, and I met this guy, this Greek guy, I called his name, and he told us, guys, you know, that they are arresting people with cameras.
[00:10:31.877 --> 00:10:36.141]  And I said, well, I haven't heard that before.
[00:10:36.161 --> 00:10:43.827]  So we took a walk and we managed to take a picture of the hotel where two people were sitting in the balcony.
[00:10:44.628 --> 00:10:53.115]  And I went to change the lenses and get a bigger lens, a zoom lens, to get a closer picture with them.
[00:10:53.575 --> 00:10:55.077]  And as soon as I put my
[00:10:56.215 --> 00:11:05.420]  Now they advertise, Paul, and then we'll continue with the story, they advertise Greece as if it's part of the European Union, it's supposedly free,
[00:11:25.407 --> 00:11:35.814]  But clearly Bilderberg gave the order to stop any photos because they're tired of us showing the Queen of the Netherlands and David Rockefeller and British royalty and others being there.
[00:11:36.595 --> 00:11:40.298]  So, I mean, clearly this sounds like Soviet Russia during the 1980s.
[00:11:40.618 --> 00:11:41.218]  Please continue.
[00:11:42.239 --> 00:11:42.679]  Exactly.
[00:11:43.300 --> 00:11:51.686]  Well, I think even personally to some of the cops in civilian or regular cops,
[00:11:52.250 --> 00:12:00.534]  And basically, what they told us is that, first of all, they were very friendly to us.
[00:12:00.754 --> 00:12:06.777]  Only some security people there were very, very angry, and they were giving orders.
[00:12:07.237 --> 00:12:09.998]  They had stations, radio stations, all of them.
[00:12:14.483 --> 00:12:25.599]  Oh, so you saw private security people, or what looked like plain clothes, private security men telling the police to be rougher with you?
[00:12:26.892 --> 00:12:27.852]  Exactly, exactly.
[00:12:28.453 --> 00:12:44.578]  Even when Richard Trabin from Ireland was arrested, basically he took a picture of such a man, and then that man ordered the police to get him.
[00:12:45.239 --> 00:12:48.240]  Okay, so clearly the Vildenberg security then
[00:12:48.920 --> 00:13:00.765]  Was giving orders to the police, and that's what we've heard from everybody, that the police didn't really like violating the press' rights, but were clearly under orders from higher up to do this.
[00:13:01.345 --> 00:13:09.709]  And so, go back over to the gentleman from Ireland, because we're going to be doing a story on this, Mr. Dornan, as you know, for PrisonPlanet.com, which has been the global leader.
[00:13:09.729 --> 00:13:14.531]  If you click under Google News, we're getting more hits right now on The Guardian and The New York Times.
[00:13:15.111 --> 00:13:18.372]  And others that have been in the Wall Street Journal that have been reporting on this.
[00:13:18.692 --> 00:13:19.892]  So it's important to get all the facts.
[00:13:20.932 --> 00:13:30.614]  So specifically, you're confirming Bilderberg was ordering people have their videotapes, their photos stolen.
[00:13:31.035 --> 00:13:40.217]  That allows civil action now against the private Bilderberg group based out of a private corporate office in the Netherlands.
[00:13:40.577 --> 00:13:41.457]  So please continue.
[00:13:42.483 --> 00:13:42.943]  Exactly.
[00:13:43.443 --> 00:13:47.004]  Well, I myself was detained two times.
[00:13:47.664 --> 00:13:50.365]  Actually, the second time was worse than the first time.
[00:13:50.625 --> 00:13:58.006]  The first time we got detained, me and my friend and that Greek guy, we were detained for about an hour.
[00:13:58.867 --> 00:14:05.088]  During that time, they probably launched some checks on us at the police station and then let us free.
[00:14:05.388 --> 00:14:09.889]  They didn't check our cameras or whatever we recorded.
[00:14:10.501 --> 00:14:36.477]  Now the second time was worse because it was yesterday when Bilderbergers started to leave and my friends started taking pictures with limos and basically they were all together in that park near the police barricade and they were friendly with us and
[00:14:38.208 --> 00:14:47.344]  Suddenly, it seems that this police guy dressed like normal people.
[00:14:49.110 --> 00:14:55.275]  He got radioed and got very angry because he was told to basically take us.
[00:14:55.655 --> 00:14:57.196]  And he came to us.
[00:14:57.336 --> 00:14:59.598]  He asked for our IDs and pulled out.
[00:14:59.678 --> 00:15:04.722]  He had to go to the police station and run some checks again on you.
[00:15:05.342 --> 00:15:06.103]  Let me stop you.
[00:15:06.804 --> 00:15:09.185]  Let's be specific, Mr. Dornan, because I want to get this right.
[00:15:09.866 --> 00:15:14.770]  You're saying the officers were being friendly to you and that he got irritated when he got the radio call.
[00:15:14.790 --> 00:15:18.573]  Was he irritated with you or irritated that they were ordering him to arrest you?
[00:15:19.153 --> 00:15:23.155]  The reason is that they get the warrant to arrest us.
[00:15:23.355 --> 00:15:24.735]  So they didn't want to arrest you?
[00:15:25.735 --> 00:15:26.136]  Exactly.
[00:15:26.456 --> 00:15:27.136]  Now let's be clear.
[00:15:27.196 --> 00:15:30.457]  The cops, when they falsely arrest you, always call it detaining.
[00:15:30.697 --> 00:15:35.419]  When you're stuck in a police car and taken, you were arrested without charge.
[00:15:35.879 --> 00:15:39.260]  You were arrested, falsely arrested, and then released without charge.
[00:15:39.941 --> 00:15:43.042]  So that's why they keep telling you, you were detained.
[00:15:43.502 --> 00:15:45.443]  Because they know what they've done is unlawful.
[00:15:46.323 --> 00:15:47.544]  And you have a claim against them.
[00:15:47.824 --> 00:15:52.266]  And even if the cops don't like it, there were lots of Germans who didn't like blowing people's heads off, but they still did it.
[00:15:52.286 --> 00:15:58.588]  You know, there were lots of folks who didn't like, you know, having, you know, to hang black runaway slaves, but they still hung them.
[00:15:59.008 --> 00:16:09.033]  And just because you don't like, you know, oh, I had to rob a bank, I was real sad about it, I don't like it, but I have to rob it, those police officers are not above the law.
[00:16:09.113 --> 00:16:09.273]  Now,
[00:16:10.908 --> 00:16:26.919]  More importantly, you and others that were arrested, including the Irishman and the Brent reporter for The Guardian, they need to file suit against the Bilderberg Group for soliciting your arrest.
[00:16:28.260 --> 00:16:30.061]  And then that will open all this up in court.
[00:16:30.342 --> 00:16:32.043]  We need to go after these bastards.
[00:16:32.083 --> 00:16:33.944]  Now, Mr. Dornan, please continue.
[00:16:34.645 --> 00:16:39.168]  Yes, I was considering doing such an action for us to talk with the
[00:16:40.123 --> 00:16:48.424]  The foreign minister in my country to ask them why I was detained or arrested at the time.
[00:16:49.125 --> 00:16:53.705]  Because the second time, well, I got released and I think that's what they wanted.
[00:16:53.725 --> 00:16:55.706]  Yeah, you were kidnapped, sir.
[00:16:55.746 --> 00:16:57.246]  You were in Shanghai.
[00:16:57.266 --> 00:16:58.166]  Four hours there.
[00:16:58.186 --> 00:16:59.306]  Four hours?
[00:17:00.167 --> 00:17:01.027]  Four hours there.
[00:17:01.327 --> 00:17:05.808]  Actually, we were in total of six people there.
[00:17:08.701 --> 00:17:11.565]  One guy, uh, hadn't had anything to do with us.
[00:17:11.986 --> 00:17:13.668]  He was an American from Colorado.
[00:17:14.310 --> 00:17:19.273]  And he was just sitting on the bank near us, and he was taken as well, even.
[00:17:19.394 --> 00:17:21.535]  Yeah, let's be clear, this is in the middle of a... Yeah, no camera.
[00:17:21.855 --> 00:17:23.676]  Yeah, exactly, this is a no camera.
[00:17:23.896 --> 00:17:37.065]  This is in the middle of just a gorgeous tourist area, and they shut down the entire palace with three huge hotels, and then there's a huge bay with boats and ships and people on the beach with volleyballs, and they were just grabbing people.
[00:17:38.606 --> 00:17:39.567]  Explain that to people.
[00:17:41.343 --> 00:17:41.723]  Exactly.
[00:17:41.783 --> 00:17:50.005]  So, well, basically, we're just standing there trying to take a picture with the cars that were passing by the limousines of Billaburger.
[00:17:50.526 --> 00:17:54.467]  And they came to us and told us that we need to go to the police.
[00:17:54.847 --> 00:17:55.707]  All right, stay there.
[00:17:55.747 --> 00:17:59.328]  But you're saying they also arrested just an American tourist who didn't have a camera?
[00:18:00.308 --> 00:18:00.728]  Exactly.
[00:18:00.928 --> 00:18:01.208]  Exactly.
[00:18:01.228 --> 00:18:03.669]  He was just guilty by association.
[00:18:03.689 --> 00:18:07.330]  He was just standing there without... Paul Dornanews, stay there.
[00:18:07.350 --> 00:18:08.110]  Paul, stay there.
[00:18:08.130 --> 00:18:09.031]  We'll be right back to you.
[00:18:09.351 --> 00:18:10.491]  Key information straight ahead.
[00:18:11.280 --> 00:18:13.322]  Americans, do you know where your food comes from?
[00:18:13.743 --> 00:18:15.224]  Is it safe, secure, and healthy?
[00:18:15.664 --> 00:18:19.568]  Did you know most of our food is now contaminated with genetically modified ingredients?
[00:18:20.129 --> 00:18:28.517]  We at Baker Creek Heirloom Seed Company have been helping people get pure garden seed for 12 years and carry over 1,200 varieties of GMO-free heirloom seed.
[00:18:29.158 --> 00:18:32.501]  Go to www.rareseeds.com for more information.
[00:18:32.962 --> 00:18:34.203]  That's rareseeds.com.
[00:18:35.037 --> 00:18:39.639]  Baker Creek Heirloom Seed Company was started in 1998 by a 17-year-old as a hobby.
[00:18:40.080 --> 00:18:43.041]  It was developed out of a passion for preserving our vegetable heritage.
[00:18:43.701 --> 00:18:49.785]  The company now offers the largest selection of pure heirloom seeds strived every year to bring back varieties like our forefathers grew.
[00:18:50.485 --> 00:18:53.967]  In times like these, we can't trust the government to keep our seeds safe.
[00:18:54.647 --> 00:18:58.449]  Every year at Baker Creek, we work to preserve the best of the oldest for future gardeners.
[00:18:59.181 --> 00:19:02.422]  We also offer affordable seed collections for long-term storage.
[00:19:02.843 --> 00:19:07.785]  Go to www.rareseeds.com and get your seeds from America's pure seed source.
[00:19:08.265 --> 00:19:09.806]  That's rareseeds.com.
[00:19:11.246 --> 00:19:16.569]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:19:17.069 --> 00:19:24.052]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:19:24.637 --> 00:19:30.818]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:19:31.219 --> 00:19:33.059]  Well, Obama's already fudging.
[00:19:33.199 --> 00:19:35.600]  He's fudged since day one in this election.
[00:19:35.700 --> 00:19:46.642]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:19:47.262 --> 00:19:48.543]  It's not about left or right.
[00:19:48.943 --> 00:19:50.303]  It's about a one-world government.
[00:19:50.794 --> 00:19:57.160]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:19:57.700 --> 00:20:05.487]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:20:05.967 --> 00:20:07.128]  The Obama Deception.
[00:20:07.549 --> 00:20:08.750]  The people strike back.
[00:20:10.788 --> 00:20:12.049]  Hi, this is Alex Jones.
[00:20:12.089 --> 00:20:17.451]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:20:17.671 --> 00:20:22.313]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:20:22.693 --> 00:20:27.755]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:20:28.275 --> 00:20:32.977]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:20:33.497 --> 00:20:35.358]  They call it a survival seed bank.
[00:20:35.802 --> 00:20:40.406]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:20:40.606 --> 00:20:41.507]  And here's the best part.
[00:20:41.727 --> 00:20:44.469]  These seeds have not been genetically modified in any way.
[00:20:44.489 --> 00:20:48.092]  And you actually get enough seeds to plant a full acre crisis garden.
[00:20:48.412 --> 00:20:51.254]  So visit them today at survivalseedbank.com.
[00:20:51.595 --> 00:20:53.496]  That's survivalseedbank.com.
[00:20:53.816 --> 00:20:54.757]  Or give them a call at 877-327-0365.
[00:20:54.777 --> 00:20:54.977]  That's 877-327-0365.
[00:20:55.017 --> 00:20:56.078]  Remember, in a real crisis,
[00:21:04.915 --> 00:21:07.136]  Non-hybrid seeds are the ultimate barter item.
[00:21:07.457 --> 00:21:09.898]  This is Alex Jones for survivalseedbank.com.
[00:21:17.283 --> 00:21:20.705]  We have a big announcement concerning YouTube censorship.
[00:21:22.266 --> 00:21:25.728]  And I'll say this, it looks very, very positive, but I don't want to declare victory yet.
[00:21:26.469 --> 00:21:27.990]  So that'll probably be in the next few days.
[00:21:40.303 --> 00:21:41.944]  Up on screen, it's coming up next hour.
[00:21:41.964 --> 00:21:44.305]  We're going to play this video.
[00:21:45.046 --> 00:21:46.166]  That is AmeriCorps.
[00:21:46.226 --> 00:21:47.867]  That is one of the uniforms.
[00:21:48.808 --> 00:21:54.751]  They've got ten different divisions of this, but that's the main political officer you're going to be seeing on the streets.
[00:21:54.771 --> 00:21:55.732]  In fact, they're on the streets.
[00:21:56.929 --> 00:22:02.454]  And they're chanting and doing military marches, and she looks at the camera and says, this is what I wear, this is my uniform.
[00:22:03.134 --> 00:22:04.055]  Very chilling.
[00:22:05.556 --> 00:22:06.978]  And they mean business, folks.
[00:22:07.058 --> 00:22:07.858]  They mean business.
[00:22:07.958 --> 00:22:08.859]  It's really sick.
[00:22:09.239 --> 00:22:12.242]  People can laugh at it, but they can call in the police on you, you name it.
[00:22:13.043 --> 00:22:15.124]  This is the new America, ladies and gentlemen.
[00:22:15.945 --> 00:22:17.326]  Arm patches and everything.
[00:22:18.447 --> 00:22:23.892]  I can't believe our republic's fallen this hard this fast, but we really are just a third world country.
[00:22:25.134 --> 00:22:28.636]  With some vestiges of freedom and liberty left, but that's all going to be overrun soon.
[00:22:29.657 --> 00:22:30.298]  God help us.
[00:22:30.378 --> 00:22:31.919]  And the yuppies are just going to roll over to it.
[00:22:32.579 --> 00:22:33.800]  They've had their fight sucked out.
[00:22:34.300 --> 00:22:35.321]  A lot of folks, though, aren't.
[00:22:35.862 --> 00:22:37.483]  And that's why it's going to be very nasty.
[00:22:38.343 --> 00:22:39.924]  Going back to Paul Dornanoob.
[00:22:40.945 --> 00:22:52.630]  Infocon.ro, I-N-F-O-C-O-N-DOT-R-O, done a lot of great work, and you can see his footage in Endgame, Blueprint for Global Enslavement being followed by cars and police waiting out front in plainclothes, smoking cigarettes in alleys.
[00:22:53.010 --> 00:23:03.835]  Looks like something out of Indiana Jones or the Temple of, or Raiders of the Lost Dark, going through bazaars and trying to hide while guys follow him so Tucker can meet some guy in an alley to tell him what's going on from Bilderberg.
[00:23:04.830 --> 00:23:07.751]  And a lot of that went on this year, too, and Tucker's going to be back soon.
[00:23:07.771 --> 00:23:09.451]  He's getting back tonight.
[00:23:09.471 --> 00:23:12.672]  We'll have him on the next few days for a full debriefing here on air.
[00:23:12.712 --> 00:23:23.295]  But Mr. Dornan, the British reporter, Mr. Skelton, really got freaked out when they were at his hotel, in his room, following him, grabbing on him in alleyways.
[00:23:23.835 --> 00:23:29.197]  The London Guardian, he certainly had a conversion from laughing at us to taking this pretty serious.
[00:23:30.728 --> 00:23:42.100]  Yes, I've managed to meet Charles Shelton and talk to him a bit and he indeed was looking very frightened because of what was happening.
[00:23:42.160 --> 00:23:49.427]  I don't think he was expecting for this to be happening and was taken by surprise.
[00:23:50.468 --> 00:23:54.192]  But let me tell you what happened the second arrest of us.
[00:23:54.887 --> 00:24:06.853]  Uh, when we got, uh, second time arrested with us, uh, there were, uh, two guys from American Free Press, uh, Bernard and Peter, I don't know their last names, and, uh... By the way, this is an exclusive.
[00:24:06.873 --> 00:24:08.194]  This is an exclusive.
[00:24:08.394 --> 00:24:10.795]  Nobody else is reporting right now on this.
[00:24:10.815 --> 00:24:12.736]  We need Paul Watson or Curt Nemo to get this up.
[00:24:13.017 --> 00:24:14.397]  A bunch of people were arrested.
[00:24:14.417 --> 00:24:14.757]  Go ahead.
[00:24:14.777 --> 00:24:15.438]  Go ahead.
[00:24:16.078 --> 00:24:21.341]  Okay, so, uh, uh, basically, uh, when they, uh, started to, uh,
[00:24:22.099 --> 00:24:24.440]  That's for our IDs.
[00:24:24.560 --> 00:24:28.041]  We were in that park near the police bar gate.
[00:24:28.681 --> 00:24:34.402]  I started recording with my phone, just only audio, because I put the phone in my pocket.
[00:24:34.422 --> 00:24:40.184]  So I make sure I have some proof, something to give them if I have to.
[00:24:40.684 --> 00:24:42.524]  And they made you erase that, didn't they?
[00:24:42.564 --> 00:24:49.586]  Because you reported that to us in an email that I gave to Watson yesterday, that they erased a bunch of your tape and stuff.
[00:24:50.963 --> 00:24:56.644]  That one is still on my phone because I managed to remove the card from my phone.
[00:24:56.744 --> 00:24:58.665]  But they did erase some of your stuff, correct?
[00:24:59.045 --> 00:24:59.765]  Yes.
[00:24:59.865 --> 00:25:10.327]  When we got to the police station, the first thing, there was a captain which I managed to take his pictures at a demonstration a day earlier.
[00:25:10.347 --> 00:25:12.608]  He asked for our
[00:25:14.841 --> 00:25:15.742]  Oh, stay there!
[00:25:15.782 --> 00:25:16.062]  Stay there.
[00:25:35.543 --> 00:25:36.543]  You are listening to GCN.
[00:25:36.563 --> 00:25:37.344]  Visit GCNlive.com today.
[00:26:01.161 --> 00:26:06.454]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:26:06.997 --> 00:26:15.381]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:26:15.581 --> 00:26:22.365]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:26:22.705 --> 00:26:28.208]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:26:28.468 --> 00:26:34.391]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:26:34.751 --> 00:26:41.017]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:26:41.417 --> 00:26:45.801]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:26:46.061 --> 00:26:49.084]  Check out the patented new silver solution today.
[00:26:49.444 --> 00:26:52.747]  Click on the link and check out the uses for new silver solution.
[00:26:53.128 --> 00:26:57.812]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:26:57.952 --> 00:27:00.054]  That's SupernaturalSilver.com today.
[00:27:03.743 --> 00:27:05.643]  Waging war on corruption.
