[00:00:00.197 --> 00:00:01.318]  The GCN Radio Network.
[00:02:13.666 --> 00:02:14.467]  Let's get serious.
[00:02:18.429 --> 00:02:22.771]  There's a lot of denial going on about the nature of the Internet and the direction it's going in.
[00:02:23.531 --> 00:02:32.195]  Internet2, a consortium of private industry, universities and government, has openly announced at Internet2 conferences across the world
[00:02:34.747 --> 00:02:40.209]  In Austin, Texas, in Tokyo, Japan, in London, England, you can go read the minutes of their meetings.
[00:02:40.429 --> 00:02:41.570]  They have big conventions.
[00:02:42.050 --> 00:02:45.451]  They always announce, their slogan is, the internet is dead.
[00:02:46.072 --> 00:02:55.816]  And they say they're not going to upgrade the old hubs, they're going to have under the name of cyber security, the feds come in and take over all the telecommunications switching hubs, the peer-to-peer.
[00:02:56.966 --> 00:03:09.054]  and that they're going to end the internet as you know it in the next decade and that's going back five six years ago so we're now into the time period when these big changes they say are going to take place
[00:03:12.498 --> 00:03:19.783]  And we've written detailed articles about how they're killing the internet that have been picked up by the San Francisco Chronicle and other major publications.
[00:03:20.604 --> 00:03:25.987]  So our opinion has been seconded by major publications.
[00:03:26.027 --> 00:03:27.829]  I mean, we're not just shooting our mouths off here.
[00:03:28.269 --> 00:03:31.691]  We've done the research and we're giving people the big picture.
[00:03:32.112 --> 00:03:35.314]  You know, there's other people in denial about all of this.
[00:03:37.119 --> 00:03:50.108]  That are posting in this story that's up on Infowars.com and PrisonPlanet.com and they're saying in this article, oh Alex don't fear monger, the government couldn't shut the internet down if they wanted to.
[00:03:53.350 --> 00:03:54.631]  Well there's a problem with that.
[00:03:54.932 --> 00:03:58.034]  Here's Mother Jones, should Obama control the internet?
[00:03:59.895 --> 00:04:03.938]  And it says Obama wants the power to shut the internet down to save it.
[00:04:05.492 --> 00:04:06.152]  To protect it.
[00:04:06.612 --> 00:04:07.373]  That's the whole spin.
[00:04:07.393 --> 00:04:14.394]  But the head of cyber security, put in for months by Obama, met with the Pentagon and he came out and said, I'm quitting.
[00:04:14.414 --> 00:04:15.335]  This is undemocratic.
[00:04:15.635 --> 00:04:18.195]  The Pentagon's taking over the Internet and is going to surveil everybody.
[00:04:18.215 --> 00:04:22.537]  In fact, Google that for folks that are watching this live on TV right now.
[00:04:23.477 --> 00:04:25.817]  Google, uh, head of cyber security quits.
[00:04:26.118 --> 00:04:27.298]  Show him an AP headline.
[00:04:28.478 --> 00:04:30.899]  He quit saying they're taking over three months ago.
[00:04:31.604 --> 00:04:34.306]  So, people say there'd be a whistleblower if they were doing this.
[00:04:34.606 --> 00:04:35.066]  There is!
[00:04:35.106 --> 00:04:36.047]  The head of it quit!
[00:04:37.648 --> 00:04:40.911]  Here's another one out of Info Science Institute.
[00:04:41.891 --> 00:04:44.653]  Obama could shut off the internet to the entire U.S.
[00:04:44.753 --> 00:04:45.334]  if he wanted.
[00:04:46.328 --> 00:04:50.530]  Should President Obama have the power to shut down domestic Internet traffic during a state of emergency?
[00:04:50.570 --> 00:04:53.872]  Senators Jay Rockefeller and Olympia Snowe think so.
[00:04:54.292 --> 00:04:55.613]  And then it's got their testimony.
[00:04:55.873 --> 00:04:56.873]  That's Mother Jones.
[00:04:57.474 --> 00:04:59.355]  Stop being in denial.
[00:04:59.555 --> 00:05:01.816]  The goal of Internet 2 is to shut it down.
[00:05:03.527 --> 00:05:08.529]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:05:08.729 --> 00:05:12.530]  Number one, new climate legislation could easily double or triple your electric bill.
[00:05:12.770 --> 00:05:18.353]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:05:18.653 --> 00:05:23.514]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:05:23.735 --> 00:05:27.756]  Number three, in some areas of the country the power grid is dangerously overloaded.
[00:05:27.996 --> 00:05:30.058]  Especially with the high demand summer months ahead.
[00:05:30.078 --> 00:05:32.921]  Folks, I really believe in the solar power generators offered by Solutions From Science.
[00:05:46.294 --> 00:05:46.574]  We're good.
[00:06:04.144 --> 00:06:05.706]  Hello friends, this is Alex Jones.
[00:06:05.826 --> 00:06:10.492]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:06:10.572 --> 00:06:13.336]  We need to be independent, and food and water is the key.
[00:06:13.536 --> 00:06:16.400]  You'll never have to stand in a bread line if you have your own bread.
[00:06:16.580 --> 00:06:22.428]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:06:22.648 --> 00:06:25.630]  No one is going to take care of your family in the final equation with me.
[00:06:25.890 --> 00:06:32.815]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:06:32.895 --> 00:06:36.017]  And they do it at almost half the cost of last year's grocery prices.
[00:06:36.157 --> 00:06:36.357]  Call 1-800-409-5633.
[00:06:36.417 --> 00:06:38.038]  Or on the web, go to efoodsdirect.com.
[00:06:41.300 --> 00:06:45.641]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:07:10.802 --> 00:07:19.185]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:07:19.365 --> 00:07:26.168]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:07:26.488 --> 00:07:32.010]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:07:32.251 --> 00:07:37.813]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[00:07:38.553 --> 00:07:44.818]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:07:45.198 --> 00:07:49.601]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:07:49.861 --> 00:07:52.883]  Check out the patented new silver solution today.
[00:07:53.243 --> 00:07:56.546]  Click on the link and check out the uses for new silver solution.
[00:07:56.926 --> 00:08:01.589]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:08:01.729 --> 00:08:03.871]  That's SupernaturalSilver.com today.
[00:08:06.600 --> 00:08:11.141]  The Alex Jones Show, because there's a war on for your mind.
[00:08:33.926 --> 00:08:36.488]  Okay, ladies and gentlemen, we are live.
[00:08:36.548 --> 00:08:38.830]  Thank you so much for joining us.
[00:08:39.630 --> 00:08:46.556]  I'm going over, for stations that just tuned in, and listeners that just tuned in, I'm going over this article that is so important.
[00:08:47.156 --> 00:08:58.645]  It's up on PrisonPlanet.com, and it's also on Infowars.com, and it's titled, Cybersecurity as Framework for Total
[00:09:00.407 --> 00:09:14.679]  Government regulation and control of our lives and I want to start this analysis here by pointing out people are in denial about this There are people commenting on the story saying we're fear-mongering.
[00:09:15.059 --> 00:09:27.169]  This is not the beginning of the end of the internet well, I just covered in the last segment Mother Jones headline should Obama control the internet and the headline is
[00:09:28.817 --> 00:09:33.120]  Should President Obama have the power to shut down domestic internet traffic during a state of emergency?
[00:09:33.560 --> 00:09:37.803]  Senators John Rockefeller, Democrat West Virginia, and Olympia Snowe, Republican Maine, think so.
[00:09:39.304 --> 00:09:51.533]  On Wednesday they introduced a bill to establish the Office of National Cyber Security Advisor, an arm of the executive branch that would have vast power to monitor and control internet traffic to protect against threats of critical cyber infrastructure.
[00:09:52.673 --> 00:09:56.196]  The broad power is rattling some civil libertarians.
[00:09:56.616 --> 00:09:57.817]  And then you can go read the bill!
[00:10:00.578 --> 00:10:11.822]  You see, when Level 2 and Cogent, just two medium-sized peer-to-peer internet providers had a fight with each other four or five years ago, about a third of the web was inaccessible.
[00:10:12.844 --> 00:10:31.967]  Well, by design, under federal law, they want to put snooping hubs and federal machinery, federal pieces of equipment, in even smaller ISPs, where the entire web can be turned on, shut down, parts of it turned on, shut down, anytime the establishment wants to, and that is on record.
[00:10:35.248 --> 00:10:36.448]  So, this is what they're doing.
[00:10:43.126 --> 00:10:49.136]  After Jesse Ventura leaves us later, I'm going to properly go through all of this, because I just can't do it in the...
[00:10:50.307 --> 00:10:58.773]  In the time we have, but at the end of the show, the last 30 minutes, I'm going to devote it exclusively, the more I think about it, to just breaking down the whole history of this, how the grid works and what's happening.
[00:10:59.134 --> 00:11:05.839]  But I told you GM was going to go bankrupt two and a half years ago, by design, and that they would use the bailout money to ship it to China and Brazil.
[00:11:05.859 --> 00:11:06.399]  We're on record.
[00:11:06.879 --> 00:11:13.564]  We told you that they were going to stage a 9-11 attack on the World Trade Towers in Lebanon and Bin Laden, months before it happened.
[00:11:14.245 --> 00:11:15.526]  We tell you all of this stuff.
[00:11:15.566 --> 00:11:17.307]  We know the enemy's game plan.
[00:11:17.607 --> 00:11:18.648]  We know what they're doing.
[00:11:21.297 --> 00:11:23.958]  It's as clear as the nose on my face.
[00:11:23.998 --> 00:11:28.799]  Right now, let's go ahead and go to Jeff in Hawaii, who says he disagrees.
[00:11:28.839 --> 00:11:29.459]  Go ahead, Jeff.
[00:11:30.659 --> 00:11:31.040]  Hello?
[00:11:31.660 --> 00:11:32.140]  Yes, Jeff.
[00:11:32.180 --> 00:11:36.821]  Yes, yes, yes, I really do disagree, but I do think you should change your rule.
[00:11:38.301 --> 00:11:42.943]  You know, because you do get a lot of callers who just say they're going to disagree, and then they get put front, right?
[00:11:43.203 --> 00:11:47.624]  And then they pump some show, or some internet space, or whatever.
[00:11:49.085 --> 00:11:55.328]  So I find you extremely difficult to believe most of what you say at this point.
[00:11:55.368 --> 00:12:00.311]  This bird flu thing, you blew completely out of proportion.
[00:12:00.811 --> 00:12:06.154]  You said you were losing touch with your ability to think a couple of weeks ago.
[00:12:06.174 --> 00:12:12.257]  I think you should admit you're a right winger for one and quit saying you're trying to break the left-right paradigm.
[00:12:13.547 --> 00:12:13.867]  Hello?
[00:12:14.808 --> 00:12:15.468]  I'm listening to you.
[00:12:16.108 --> 00:12:20.951]  Okay, and this guy called in Friday to your show.
[00:12:21.371 --> 00:12:25.153]  Jason was the host, but Jason was real trite with the guy.
[00:12:25.193 --> 00:12:32.576]  The guy was going to disagree, and he was going to say that you guys are picking on Obama a whole lot more than Bush, which I totally agree with that.
[00:12:33.357 --> 00:12:38.199]  And I want to back that guy up, but Jason really wouldn't listen to the guy.
[00:12:38.219 --> 00:12:41.561]  He just got really trite, really smart-alecky with him.
[00:12:42.020 --> 00:12:45.624]  And the guy ended up just kind of hanging up during the break and never got any points out.
[00:12:45.664 --> 00:12:49.828]  But I would say that we're being bombarded with Obama being the tip of the spear.
[00:12:49.848 --> 00:12:52.230]  I mean, Bush wasn't the tip of the spear.
[00:12:52.270 --> 00:12:55.593]  He was kind of like a good old boy who you kind of liked underneath.
[00:12:55.633 --> 00:12:57.075]  You know, you're kind of like him.
[00:12:57.095 --> 00:13:04.022]  I want to say that mining mercury, mining gold, causes mercury poisoning.
[00:13:04.082 --> 00:13:05.123]  Are you familiar with this?
[00:13:05.842 --> 00:13:09.865]  I know there's a lot of mining that has bad byproducts.
[00:13:37.066 --> 00:13:47.362]  And because I'm against high taxes and regulations and control, so that politicians can feather the nest to themselves and big corporations of special interest, then yes, I'm a right-winger.
[00:13:50.854 --> 00:13:52.475]  I don't believe in this whole left-right thing.
[00:13:52.515 --> 00:13:58.916]  And I got somebody on the line with us for the next hour to take calls and cover the news and talk about his view on the world.
[00:13:58.956 --> 00:13:59.857]  We really appreciate.
[00:14:01.037 --> 00:14:09.700]  Movie star, former top professional wrestler, Little League volunteer coach, I guess, Navy SEAL.
[00:14:09.760 --> 00:14:11.200]  Football coach.
[00:14:11.280 --> 00:14:12.120]  A football coach.
[00:14:12.821 --> 00:14:15.081]  And you also called national football too, didn't you?
[00:14:15.561 --> 00:14:20.363]  Yeah, I worked two years for the Tampa Bay Buccaneers with Gene Becker off on the radio.
[00:14:21.249 --> 00:14:23.111]  Yeah, that one year with the Minnesota Vikings.
[00:14:24.612 --> 00:14:27.194]  Alright, well, Governor Ventura, it's good to have you back with us.
[00:14:27.254 --> 00:14:28.655]  I appreciate you spending time with us.
[00:14:29.756 --> 00:14:32.758]  What is most important on your mind right now happening in the world?
[00:14:32.818 --> 00:14:37.662]  What is angering Jesse Ventura and what is exciting Jesse Ventura?
[00:14:37.742 --> 00:14:39.023]  What's negative and what's positive?
[00:14:39.043 --> 00:14:41.545]  Well, Jesse's never angry, Alex, you know that.
[00:14:43.406 --> 00:14:45.368]  I'm just enthusiastic, that's all.
[00:14:45.408 --> 00:14:46.749]  I don't get bad, I get even.
[00:14:47.978 --> 00:14:56.968]  No, I guess what perturbs me is the feeling that I guess I'm not mainstream anymore by some of the things that I believe.
[00:14:58.290 --> 00:15:07.721]  When I talk to people and do the press junket on the book tour, I find so often that people are just poo-pooing this torture issue.
[00:15:09.092 --> 00:15:18.196]  They're making it seem like, well, these people deserve to be tortured if anyone on the planet does, and therefore it's okay to do it.
[00:15:19.197 --> 00:15:29.441]  And I'm appalled over that, because we have to be a country that goes by the rule of law, even when the rule of law is inconvenient.
[00:15:30.382 --> 00:15:32.783]  Or not maybe in our favor, we still.
[00:15:33.423 --> 00:15:38.025]  Otherwise, what do we stand for, Alex, if we just do it when it works for us?
[00:15:39.165 --> 00:15:47.867]  And I just am really pushed today as to why I have to defend my country from torturing people.
[00:15:49.008 --> 00:15:50.828]  I never believed I'd have to do that.
[00:15:51.728 --> 00:15:52.528]  Well, I agree with you.
[00:15:52.588 --> 00:15:59.350]  I mean, it's fundamental that the Nazis and the Soviets and the rest of them tortured people, and so they were the bad guys.
[00:15:59.370 --> 00:16:01.651]  The North Vietnamese tortured people, so they were the bad guys.
[00:16:01.711 --> 00:16:04.371]  And Pol Pot did it, so they were the bad guys.
[00:16:04.852 --> 00:16:06.092]  Now they have the nerve
[00:16:06.980 --> 00:16:31.770]  to make Jack Bauer the hero on TV and he tortures people to get answers and then now we've got big Republicans coming out on Fox News we have the clip saying go ahead and just kill everybody at Guantanamo Bay without a trial and then we have this army colonel coming out saying in the New York Post and USA Today Ralph Peters saying kill US media in future wars that criticize the government.
[00:16:31.790 --> 00:16:32.450]  Have you heard of this?
[00:16:32.850 --> 00:16:33.711]  No, I haven't.
[00:16:33.731 --> 00:16:38.253]  You know, I'm not as well read on the topics always as you are, Alex.
[00:16:38.333 --> 00:16:40.735]  Many of the stuff I hear from you for the first time.
[00:16:43.196 --> 00:16:57.385]  You know, people need to understand the large picture here that there's an old saying that one of my best friends that I grew up with, his father, he passed away a couple years ago in his 90s, who was a good friend of my father.
[00:16:57.485 --> 00:17:01.808]  We were young boys together and our fathers actually grew up together.
[00:17:02.785 --> 00:17:09.234]  And he used to always make the saying that you never let the camel get its nose under the tent.
[00:17:10.797 --> 00:17:18.648]  And of course what he meant by that is if a camel gets its nose under the tent, rest assured eventually the whole body is going to get in the tent.
[00:17:19.429 --> 00:17:20.150]  It's inevitable.
[00:17:20.629 --> 00:17:22.050]  Give them an inch, they'll take you a mile.
[00:17:22.310 --> 00:17:22.931]  Exactly.
[00:17:23.031 --> 00:17:24.252]  The same philosophy.
[00:17:24.892 --> 00:17:36.041]  And so, when we take an attitude on this torturing that, well, it's okay under certain instances, we'll get ready because we're not going to end it there.
[00:17:36.301 --> 00:17:49.851]  It's man's natural aggression and power that it's going to expand and pretty soon, you know, when people like I had, I had someone defend it by saying that, well, our Constitution says that
[00:17:50.527 --> 00:17:57.012]  It only protects American citizens, so if you're not an American citizen, you're not protected by our Constitution.
[00:17:58.213 --> 00:18:09.942]  Well, to that I say hogwash, because that would be the equivalent, then, if a tourist came to America and was arrested for something, that we could take that tourist in and waterboard them.
[00:18:10.504 --> 00:18:11.024]  Exactly.
[00:18:11.044 --> 00:18:12.605]  To find out what they know.
[00:18:13.045 --> 00:18:21.970]  Well, the Declaration of Independence states that all men are created equal, and that this was a document for the whole world, and that it was only pointing out basic rights that were already there.
[00:18:22.030 --> 00:18:31.195]  Plus, the military admits the intelligence they get from tortures, A, no good, and B, how are we going to say other countries are bad when they torture our people?
[00:18:31.615 --> 00:18:32.696]  Yeah, exactly.
[00:18:33.356 --> 00:18:36.398]  And I'm left today, Alex, hanging my head
[00:18:37.213 --> 00:18:41.195]  Feeling now, how do I defend America when I'm abroad?
[00:18:41.275 --> 00:18:44.376]  Because you know I live in a foreign country after a year now.
[00:18:44.996 --> 00:18:48.798]  How can I defend America when we've tortured people now?
[00:18:49.138 --> 00:18:50.999]  And it's not just Guantanamo.
[00:18:51.519 --> 00:18:53.099]  We tortured them in Iraq.
[00:18:53.580 --> 00:18:54.980]  And think of this for a moment.
[00:18:55.060 --> 00:18:56.341]  We're the invaders.
[00:18:57.721 --> 00:18:59.162]  We invaded Iraq.
[00:18:59.662 --> 00:19:02.063]  And then we torture people after we invade?
[00:19:04.833 --> 00:19:10.992]  I will never forgive George Bush and Dick Cheney for what they've done to my country.
[00:19:12.691 --> 00:19:17.473]  Well, I certainly share those views, Governor Ventura.
[00:19:17.893 --> 00:19:20.255]  Well, you asked me what the negatives were.
[00:19:20.295 --> 00:19:20.955]  There you got it.
[00:19:20.995 --> 00:19:22.376]  Now, do you want the positives?
[00:19:22.796 --> 00:19:33.561]  Yes, we're about to break, but I do want to hear the positives when we get back because I really want to get your perspective on things and talk about your book, Don't Start the Revolution Without Me, now in paperback.
[00:19:33.981 --> 00:19:35.342]  I was reading that's doing quite well.
[00:19:35.882 --> 00:19:37.002]  Yeah, it's doing very good.
[00:19:37.062 --> 00:19:38.203]  I'm very happy with it.
[00:19:38.303 --> 00:19:40.064]  I look forward to it being out there.
[00:19:41.323 --> 00:19:41.944]  Absolutely.
[00:19:42.364 --> 00:19:45.488]  Former Minnesota governor, best-selling author, many times over.
[00:19:45.889 --> 00:19:51.896]  Jesse Ventura and, of course, you all know him from The Running Man and Predator and many other great films.
[00:19:51.936 --> 00:19:58.224]  Two of my favorite films there, with Ventura going, I've been killing guys for years with all this crap.
[00:19:58.764 --> 00:19:59.565]  We'll be right back.
[00:19:59.605 --> 00:20:00.727]  Stay with us, ladies and gentlemen.
[00:20:03.940 --> 00:20:09.405]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:20:09.445 --> 00:20:09.986]  and the world.
[00:20:10.246 --> 00:20:13.690]  And for the first time in their lives, they are feeling the need for preparedness.
[00:20:14.110 --> 00:20:20.336]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:20:20.616 --> 00:20:22.358]  Ready Reserve is the manufacturer.
[00:20:22.618 --> 00:20:23.158]  We're good to go.
[00:20:46.130 --> 00:20:46.931]  Free of charge.
[00:20:47.231 --> 00:20:47.531]  Dial 1-800-453-2202.
[00:20:47.551 --> 00:20:47.611]  1-800-453-2202.
[00:20:47.631 --> 00:20:49.933]  Or visit our website at readyreservefoods.com.
[00:20:49.953 --> 00:20:50.494]  Factory direct.
[00:20:50.514 --> 00:20:51.995]  Wholesale pricing from Ready Reserve Foods.
[00:20:52.015 --> 00:20:52.555]  Call us at 1-800-453-2202.
[00:20:52.575 --> 00:20:53.256]  It is a big idea.
[00:20:53.276 --> 00:20:53.856]  A new world order.
[00:20:53.936 --> 00:20:56.418]  In the near future, Earth is dominated by a powerful world government.
[00:21:12.347 --> 00:21:14.089]  It's known as the Bilderberg.
[00:21:15.170 --> 00:21:17.412]  Put their objective be world domination.
[00:21:17.953 --> 00:21:20.436]  For thousands of years, their dark order grew.
[00:21:21.136 --> 00:21:28.464]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:31.479 --> 00:21:36.444]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:36.944 --> 00:21:40.427]  You will learn the secret that drives the entire New World Order agenda.
[00:21:40.807 --> 00:21:43.289]  Bill Burgess is making great progress toward a world government.
[00:21:43.369 --> 00:21:44.350]  Most people have no idea.
[00:21:44.370 --> 00:21:45.311]  They're not after money.
[00:21:45.331 --> 00:21:46.392]  They have all the money they need.
[00:21:46.612 --> 00:21:47.313]  They're after power.
[00:21:47.593 --> 00:21:48.433]  That's their afternoon tea.
[00:21:48.734 --> 00:21:53.277]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:53.478 --> 00:21:56.960]  Or watch it online right now at PrisonPlanet.tv.
[00:21:57.241 --> 00:21:59.783]  In Game, blueprint for global enslaving.
[00:22:00.243 --> 00:22:01.424]  You have been warned.
[00:22:01.444 --> 00:22:05.187]  Hi, this is Ted Anderson.
[00:22:05.587 --> 00:22:11.072]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:22:11.652 --> 00:22:12.153]  That's right.
[00:22:12.453 --> 00:22:15.355]  Gold has been available to be placed in IRAs since 1986.
[00:22:16.156 --> 00:22:22.281]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:22:22.801 --> 00:22:28.466]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs.
[00:22:28.865 --> 00:22:29.065]  Not yet.
[00:22:29.105 --> 00:22:30.466]  No word about IRAs.
[00:22:30.906 --> 00:22:35.767]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:22:36.388 --> 00:22:41.409]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:22:42.210 --> 00:22:46.331]  Don't get left behind by rising inflation and low return on your paper investments.
[00:22:46.711 --> 00:22:46.971]  Call 800-686-2237.
[00:22:46.991 --> 00:22:48.892]  Make sure that you secure your future.
[00:22:48.912 --> 00:22:49.272]  Call 800-686-2237.
[00:22:49.572 --> 00:22:49.852]  That's 1-800-686-2237.
[00:22:58.542 --> 00:22:58.983]  We're good.
[00:23:21.843 --> 00:23:22.263]  I think so.
[00:23:45.265 --> 00:23:45.585]  I think so.
[00:24:13.752 --> 00:24:32.596]  Coming up in the next segment, I'm going to open the phones up for Jesse Ventura, 1-800-259-9231, because listeners can always bring up questions and angles and ideas that I would have never thought to ask a great guest like Mr. Ventura, former governor of Minnesota, new book out in paperback, Don't Start a Revolution Without Me.
[00:24:33.436 --> 00:24:37.377]  But Jesse, what's positive that you see in the world going on right now?
[00:24:37.397 --> 00:24:41.038]  I see us communicating.
[00:24:42.649 --> 00:24:45.731]  And I give kudos to President Obama for that.
[00:24:46.412 --> 00:24:51.055]  Because we should always talk with anyone before going to war with them.
[00:24:51.876 --> 00:24:55.719]  You know, people don't realize that war should be the last option.
[00:24:56.979 --> 00:24:59.681]  War is the result of failed diplomacy.
[00:24:59.741 --> 00:25:01.903]  It's a result of failed politics.
[00:25:02.864 --> 00:25:05.666]  And it should be always left as the last resort.
[00:25:06.146 --> 00:25:10.269]  And it seems we've gotten into a mode now that it's become the first resort.
[00:25:11.337 --> 00:25:14.439]  And I'm not saying we shouldn't defend ourselves, of course we should.
[00:25:15.160 --> 00:25:18.142]  But we should always be available to talk and communicate.
[00:25:18.723 --> 00:25:26.389]  I love the fact that there's a realm of communication going on now as rough as it is between Washington and Cuba.
[00:25:27.229 --> 00:25:37.637]  If you didn't hear Alex, I came out and said that I would love to be named the ambassador to Cuba, the first one, if we get to the point where we can get to that level of communication.
[00:25:38.478 --> 00:25:39.519]  I've been to Cuba.
[00:25:39.539 --> 00:25:40.860]  It's a beautiful place.
[00:25:41.636 --> 00:25:43.097]  And we boycott it.
[00:25:43.137 --> 00:25:44.097]  We embargo it.
[00:25:44.677 --> 00:25:47.239]  And all we're doing is hurting the Cuban people.
[00:25:47.979 --> 00:25:52.101]  You know, we're sitting here waiting for Castro to be overthrown by his country.
[00:25:52.161 --> 00:25:53.201]  It's not going to happen.
[00:25:53.241 --> 00:25:54.302]  I got news for you.
[00:25:54.942 --> 00:25:56.883]  Castro's going to die an old man.
[00:25:56.903 --> 00:26:01.785]  And we're wasting all this time.
[00:26:01.805 --> 00:26:04.367]  Let me put it into connotation like this, Alex.
[00:26:04.927 --> 00:26:07.388]  That policy in Cuba is like a football game.
[00:26:08.021 --> 00:26:09.462]  You come in with a game plan.
[00:26:09.502 --> 00:26:15.764]  If you get to the fourth quarter and you haven't scored yet, don't you think it's time you re-evaluate your game plan?
[00:26:15.944 --> 00:26:16.564]  Absolutely.
[00:26:16.624 --> 00:26:20.105]  It's been almost 50 years since the embargo, hasn't it?
[00:26:20.286 --> 00:26:22.046]  Yes, and it's ridiculous.
[00:26:22.786 --> 00:26:23.647]  I was down there.
[00:26:23.907 --> 00:26:26.828]  Cuban people have to import milk from New Zealand.
[00:26:27.651 --> 00:26:29.672]  Now, we got milk right here in Minnesota.
[00:26:29.712 --> 00:26:33.253]  We could send right down the river to them in the Mississippi and right across the Gulf.
[00:26:33.693 --> 00:26:35.414]  It's a win-win situation.
[00:26:35.834 --> 00:26:38.775]  Why do they stand in the way of a win-win situation?
[00:26:39.315 --> 00:26:43.917]  Well, I'm no fan of the corrupt government they had before Fidel, but it certainly was very corrupt after.
[00:26:43.937 --> 00:26:48.279]  The issue is, and most sociologists and historians agree, the embargo
[00:26:49.019 --> 00:26:52.923]  Well, and the point of the matter is, the Cuban people, I've met them, they're a very proud people.
[00:26:52.983 --> 00:26:54.844]  And they're not going to be dictated to by us.
[00:27:15.783 --> 00:27:19.007]  If they want Castro gone, they will do it.
