[00:00:00.009 --> 00:00:00.409]  Congruent.
[00:12:18.823 --> 00:12:21.545]  There'll be a lot in the paper on that very subject.
[00:12:22.246 --> 00:12:25.908]  AmericanFreePress.net, when are we going to see some of your first reports on this?
[00:12:27.269 --> 00:12:31.773]  Well, the paper that was being mailed today, Thursday, will have the report I filed.
[00:12:34.315 --> 00:12:35.476]  Well, this morning your time.
[00:12:38.478 --> 00:12:45.283]  It'll have about a 500 word story on what little we've learned in advance of the meeting and some photographs.
[00:12:46.098 --> 00:12:52.060]  And then the full report will be in the paper that goes to press a week from today.
[00:12:52.080 --> 00:12:53.940]  I'll put it up back in Washington.
[00:12:53.960 --> 00:12:54.080]  Good.
[00:12:54.120 --> 00:12:56.021]  And we're going to have you on next week as soon as you get back.
[00:12:56.061 --> 00:12:56.821]  You're always gracious.
[00:12:56.901 --> 00:12:58.902]  And tomorrow at 12 noon, our time.
[00:12:59.462 --> 00:13:00.422]  What time is it in Greece?
[00:13:00.462 --> 00:13:00.943]  Eight o'clock?
[00:13:02.043 --> 00:13:02.743]  Eight o'clock, yeah.
[00:13:03.123 --> 00:13:06.124]  Okay, now two final questions, Jim, and this is key.
[00:13:06.564 --> 00:13:07.765]  So you've identified the hotel.
[00:13:07.805 --> 00:13:10.145]  They've shut down a whole complex, though, blocks and blocks.
[00:13:10.926 --> 00:13:11.866]  We're getting reports
[00:13:12.506 --> 00:13:26.057]  That Tim Geithner is going to be in attendance, and even the Times of London and others are saying that his schedule is suspiciously empty, and that this is the final meeting setting up the new banking infrastructure.
[00:13:27.138 --> 00:13:29.060]  Yeah, well, Geithner was there last year.
[00:13:29.080 --> 00:13:41.370]  Secretaries of defense, state, and treasury always attend, as you know, as do high officials of the White House and other government figures.
[00:13:42.054 --> 00:13:58.201]  So he's definitely here, and Carl Bildt is going to make a speech about how to exploit the economic downturn to boost the long lead of the U.N.'
[00:13:58.141 --> 00:14:00.101]  's World Department of Treasury.
[00:14:01.442 --> 00:14:07.904]  Now, that's illegal, isn't it, to have sitting government officials at a private meeting in secret discussing and setting policy?
[00:14:08.125 --> 00:14:09.345]  That's a violation of the Logan Act.
[00:14:12.950 --> 00:14:19.793]  And a lot of cute little liberals say, well, the Logan Act was passed in 1787, or 1889, something like that.
[00:14:20.393 --> 00:14:22.074]  Well, sure, it's still there.
[00:14:22.154 --> 00:14:23.895]  It's been amended many times over the years.
[00:14:23.915 --> 00:14:32.718]  That shows that Congress still favors the Logan Act, with the amendment to tighten it up.
[00:14:33.379 --> 00:14:35.259]  But it's not been amended.
[00:14:35.279 --> 00:14:36.580]  It's still the law until it's repealed.
[00:14:37.051 --> 00:14:42.175]  All right, one last question because London Guardian reporter Charlie Skelton was supposed to be on the show.
[00:14:42.716 --> 00:14:44.137]  He's now in a police station.
[00:14:44.157 --> 00:14:45.058]  This is breaking news.
[00:14:45.078 --> 00:14:52.484]  I know you're going to hear this, Jim Tucker, but I've got to get this final question in unless your phone line gets lost or something.
[00:14:53.144 --> 00:14:58.065]  Any other key information from your Bilderberg sources about what is on the agenda?
[00:14:58.085 --> 00:15:04.147]  We know they're pressuring Obama to pass this gun ban treaty, and Obama's given speeches saying he does want to do that.
[00:15:04.387 --> 00:15:05.367]  Is that on the agenda?
[00:15:05.407 --> 00:15:10.769]  The global currency tax, the greenhouse taxes, the carbon taxes?
[00:15:10.809 --> 00:15:11.809]  I mean, what's on the agenda?
[00:15:13.049 --> 00:15:19.211]  All of that's on the agenda under the program that we do, the United World Action.
[00:15:20.055 --> 00:15:24.199]  Global action on a global basis by a global government.
[00:15:24.900 --> 00:15:26.742]  That's all of it, and it's being pushed very hard.
[00:15:27.461 --> 00:15:30.663]  And this must be an important meeting if it's the greatest security you've ever seen.
[00:15:31.284 --> 00:15:33.625]  Jim Tucker, stay there one moment.
[00:15:33.645 --> 00:15:42.311]  I know you've got to go to that press conference, but Charlie Skelton, who was already picked up by police, and that's the London Guardian, and I thought got out of it, is back in the police station.
[00:15:42.671 --> 00:15:44.272]  Is he there reporting or has he been arrested?
[00:15:44.292 --> 00:15:46.214]  I know you want to hear this, Jim, so stay there for a moment.
[00:15:47.995 --> 00:15:51.017]  Charlie Skelton, the London Guardian, have you been arrested again?
[00:15:52.612 --> 00:15:53.593]  Well, I wouldn't say arrested.
[00:15:53.673 --> 00:15:54.133]  Detained.
[00:15:54.493 --> 00:15:54.793]  Again.
[00:15:56.134 --> 00:15:57.595]  Yes, I seem to be making a habit of this.
[00:15:57.635 --> 00:16:00.037]  That's twice now in two days.
[00:16:02.078 --> 00:16:06.080]  Jim Tucker's on the line with us and can get this out to the press conference he's about to go back to.
[00:16:06.400 --> 00:16:07.661]  Jim, do you have any questions for one another?
[00:16:07.681 --> 00:16:09.062]  I'll tell the guys we'll get downstairs.
[00:16:10.483 --> 00:16:12.224]  You're going to survive, Charlie.
[00:16:14.545 --> 00:16:15.146]  I can't quite hear.
[00:16:15.526 --> 00:16:17.767]  It was Jim Tucker who got me out of jail.
[00:16:17.927 --> 00:16:21.950]  Okay, tell us what's happening right now, Mr. Skelton.
[00:16:23.708 --> 00:16:26.310]  I'm being intervented into the logbook again.
[00:16:26.330 --> 00:16:28.372]  Let me just say bye to Jim then.
[00:16:28.633 --> 00:16:30.815]  Jim, we'll talk to you tomorrow at noon, okay?
[00:16:31.633 --> 00:16:32.073]  Very good.
[00:16:32.193 --> 00:16:32.914]  Good luck, Charlie.
[00:16:33.334 --> 00:16:34.775]  Talk to you at 8 o'clock your time.
[00:16:34.815 --> 00:16:35.396]  Sorry about that.
[00:16:35.436 --> 00:16:36.056]  Jim had to go.
[00:16:36.456 --> 00:16:37.657]  OK, I'm going to shut up.
[00:16:37.697 --> 00:16:45.562]  London Guardian reporter there and under international law, let me just tell you, Mr. Skelton, in case you don't know, when they turn their lights on, you're detained.
[00:16:45.923 --> 00:16:49.245]  When they put handcuffs on you or make you go somewhere, you're under arrest.
[00:16:49.645 --> 00:16:55.169]  So they don't ever want to tell you that, though, because when it turns out it was wrongfully done, it would be false arrest.
[00:16:55.569 --> 00:17:01.472]  So they play a mind game, a Jedi mind trick, of telling you, we may have forcibly taken you here, but you're not under arrest.
[00:17:01.532 --> 00:17:02.553]  You are under arrest.
[00:17:02.593 --> 00:17:04.154]  Now, you've been falsely arrested.
[00:17:04.174 --> 00:17:04.894]  Tell us what happened.
[00:17:06.395 --> 00:17:14.699]  Well, um, it's sort of embarrassing, because I've been with the same police here again today, who were telling me, you know, I can't believe we're seeing you back here.
[00:17:15.620 --> 00:17:21.703]  And I was saying, look, I was just trying to photograph the delegates as they arrived at Bilderberg, which I was doing.
[00:17:21.723 --> 00:17:23.364]  I was trying to get a couple of nice arty shots.
[00:17:23.857 --> 00:17:25.800]  You know, to illustrate my piece.
[00:17:25.840 --> 00:17:27.703]  I'm doing a series of pieces for the Guardian website.
[00:17:28.064 --> 00:17:29.566]  I'm not, you know, I'm not a paparazzi.
[00:17:29.586 --> 00:17:30.748]  I don't have a long lens photo.
[00:17:30.808 --> 00:17:33.713]  They're detaining me because I'm standing at the side of the road with a...
[00:17:34.204 --> 00:17:35.925]  You know, a little 50-pound digital camera.
[00:17:36.325 --> 00:17:42.890]  Yeah, world leaders, 150, it's now 150 world leaders meeting publicly to set world policy.
[00:17:42.910 --> 00:17:43.930]  They now brag about it.
[00:17:43.970 --> 00:17:44.951]  We've gotten their documents.
[00:17:45.471 --> 00:17:48.193]  And you're evil with one of the biggest newspapers in the world.
[00:17:48.233 --> 00:17:48.413]  What?
[00:17:48.473 --> 00:17:49.494]  Top ten newspapers?
[00:17:49.514 --> 00:17:50.114]  London Guardian?
[00:17:50.334 --> 00:17:51.015]  In the world.
[00:17:51.355 --> 00:17:55.057]  You're there and this is the freedom of the EU.
[00:17:55.117 --> 00:17:55.778]  Please continue.
[00:17:57.406 --> 00:17:58.467]  Well, it's a little bit.
[00:17:58.507 --> 00:17:59.547]  I keep telling them.
[00:17:59.607 --> 00:18:03.129]  In fact, one of the policemen has been quite sympathetic and he said, look, I appreciate that.
[00:18:03.169 --> 00:18:03.989]  I'm just doing my job.
[00:18:04.230 --> 00:18:05.970]  We're in a difficult situation here.
[00:18:06.331 --> 00:18:09.612]  And, you know, he said, I said, I hope there's a protest tomorrow.
[00:18:09.632 --> 00:18:13.374]  And he said, you know, it'd be good if there was a different voice being heard.
[00:18:13.394 --> 00:18:26.561]  This is one of the policemen here because, you know, I do appreciate that I'm just being held by local, basically local policemen, you know, who have been put in a very difficult situation, I think, by the sudden dissent of all these people.
[00:18:27.177 --> 00:18:32.218]  Uh, on this tiny, you know, relatively small little Riviera town, uh, just outside Athens.
[00:18:32.498 --> 00:18:42.800]  And, um, so I feel a little bit sorry for them, but I don't feel sorry for the fact that they keep telling me just nonsense about how I can't take photographs of things, and then they keep withdrawing what they're saying, and they don't really have anything to say to me.
[00:18:43.180 --> 00:18:44.460]  They're just going through the motions.
[00:18:44.620 --> 00:18:51.961]  And, uh, you know, the very idea that... I'm standing at the side of the road... Sorry, I'm just gonna step to one side, sorry.
[00:18:52.641 --> 00:18:53.261]  I'm not going anywhere.
[00:18:53.642 --> 00:18:55.162]  I'm just telling the policemen I'm not leaving.
[00:18:56.813 --> 00:18:58.094]  I don't know.
[00:19:17.085 --> 00:19:18.405]  I don't think they know what they're doing.
[00:19:19.206 --> 00:19:20.646]  Genuinely, I don't think they know what they're doing.
[00:19:20.666 --> 00:19:22.267]  I don't think they know what's happening here.
[00:19:44.113 --> 00:19:45.855]  I don't think anyone does.
[00:19:46.175 --> 00:19:49.558]  I don't think the people in the street know what's going on.
[00:19:49.578 --> 00:19:51.439]  I don't think they know what's going on.
[00:19:51.459 --> 00:19:55.182]  All they know is that they've got someone... Charlie Skelton running for the reporter.
[00:19:55.643 --> 00:19:55.983]  No, no, no.
[00:19:56.003 --> 00:19:59.646]  I just want to make clear here to you because I've been in the position you're in for 16 hours before.
[00:20:00.763 --> 00:20:03.387]  Sir, obviously they're compartmentalized.
[00:20:03.407 --> 00:20:15.101]  They've been told arrest, harass, track, trace, tail anybody that gets anywhere around the world leader setting for the global government conference where they adjust their world government program every year.
[00:20:16.603 --> 00:20:19.184]  Did you know Jim Tucker's been shot at in Portugal?
[00:20:19.584 --> 00:20:21.144]  Did you know I've been death-threatened?
[00:20:21.344 --> 00:20:24.725]  Did you know my wife's been called up and threatened when I'm at Bilderberg by them?
[00:20:25.125 --> 00:20:35.068]  Did you know that I've been detained for 16 hours and they told me in Canada that if they found a pin-up girl, a Betty Page, that that would be illegal transfer of pornography?
[00:20:35.328 --> 00:20:42.829]  They searched all three of our laptops and thank God none of my staff or I had even accidentally visited a topless, you know, site or something.
[00:20:43.250 --> 00:20:43.830]  I don't know what you've done.
[00:20:43.850 --> 00:20:45.010]  Well, I hope they don't check my laptop.
[00:20:45.310 --> 00:20:46.411]  No, but don't give them the idea!
[00:20:46.491 --> 00:20:47.311]  Don't give them the idea!
[00:20:47.551 --> 00:20:52.214]  My point is, is that these are terrorists, and they were told to do that by Bilderberg.
[00:20:52.254 --> 00:21:00.159]  They told me they took me off the plane when I got there and took me into customs for 16 hours because, or 15 hours, because Bilderberg had called them.
[00:21:00.179 --> 00:21:09.585]  So I'm telling you, this is a big news story, that you're a journalist, I'm a journalist, we're trying to cover this, and you're now in a police station.
[00:21:10.105 --> 00:21:11.246]  So, so, and, and, and...
[00:21:12.066 --> 00:21:22.209]  They're trying to remove me from just being an interested concerned citizen, which is basically what I'm being.
[00:21:22.529 --> 00:21:29.091]  I'm an interested concerned citizen, and I'm taking a couple of photographs on a little camera, and they're removing me from the scene.
[00:21:29.131 --> 00:21:40.835]  And it is just, obviously, this blanket policy of getting everyone away from it, keeping the lid on it, and all these massive limousines come in with the tinted windows.
[00:21:42.242 --> 00:21:42.844]  It's crazy.
[00:21:42.904 --> 00:21:45.069]  It's one of the most surreal experiences of my life.
[00:21:45.089 --> 00:21:46.914]  This is the first Bilderberg I've ever been to.
[00:21:48.563 --> 00:21:49.583]  It's genuinely surreal.
[00:21:50.063 --> 00:21:54.504]  Well, Charlie Skelton, we're going to skip this break in case they come over and turn your phone off.
[00:21:54.824 --> 00:21:56.225]  We're skipping a network break.
[00:21:56.265 --> 00:21:58.585]  Stations, this is not your break anyway, so it won't matter.
[00:21:58.845 --> 00:22:03.766]  We will take the bottom of the hour local break for everybody, but we are skipping this break.
[00:22:03.786 --> 00:22:05.406]  We're live at PrisonPlanet.tv.
[00:22:05.646 --> 00:22:08.827]  Forgive me if I get excited, sir, but, you know, I'm one of these hot-blooded Texans.
[00:22:09.347 --> 00:22:10.687]  You're there for the second time.
[00:22:10.767 --> 00:22:13.688]  Tell us how this arrest happened today.
[00:22:15.419 --> 00:22:19.402]  The one today, I was, you know, it's getting towards the end of the afternoon here.
[00:22:20.123 --> 00:22:23.165]  I walked up the hill towards the hotel entrance.
[00:22:23.205 --> 00:22:25.888]  I was actually staying away from the hotel entrance because I didn't want to be arrested.
[00:22:26.388 --> 00:22:29.050]  You know, I thought, you know, I'm going to play it nice and safe today.
[00:22:29.090 --> 00:22:30.431]  I don't want to end up in the police station.
[00:22:30.751 --> 00:22:43.001]  So I was just sitting by the side of the road, a full view of some policemen, by the way, just taking some low shots of the Mercedes wheels going by in case I happened to get something looking pretty that I could put on the website to accompany the stories that I'm writing.
[00:22:44.549 --> 00:22:45.770]  I don't think so.
[00:23:01.516 --> 00:23:08.837]  You know, and suddenly I'm surrounded and, uh, you know, and the pressure comes on and, you know, it's everyone swaggering their shoulders at me.
[00:23:09.197 --> 00:23:16.279]  And it wasn't as bad as yesterday when, you know, they were, they were shouting at me and they were prodding me in the shoulder and, you know, and I really, it was quite, it got quite nasty.
[00:23:16.339 --> 00:23:18.779]  And pointing machine guns at you, you said?
[00:23:20.199 --> 00:23:21.520]  No, they weren't pointing machine guns at me.
[00:23:21.540 --> 00:23:22.640]  They had some machine guns there.
[00:23:22.660 --> 00:23:28.401]  I mean, you know, when you're being, you know, when you're being detained and you see someone with a, walking towards you with a machine gun, you kind of notice the gun.
[00:23:29.039 --> 00:23:35.904]  And uh, it's not nice, and you know, uh, look, there go the policemen now, the two plainclothes, off to harass someone else.
[00:23:36.485 --> 00:23:43.270]  Um, and uh, it's just, it's not a very nice feeling, and you know, and I didn't feel as threatened this time, uh, because we had another shadow.
[00:23:43.290 --> 00:23:44.791]  So they took you and stuck you?
[00:23:45.392 --> 00:23:46.773]  Sir, so they took you and put you in a car?
[00:23:48.810 --> 00:23:50.713]  So they took you then and put you in the police car?
[00:23:51.474 --> 00:23:53.736]  They pressured me into the police car.
[00:23:53.797 --> 00:23:54.998]  I don't really know my rights.
[00:23:55.018 --> 00:23:56.620]  I have no idea about this kind of thing.
[00:23:56.660 --> 00:23:57.341]  I really don't.
[00:23:57.381 --> 00:24:02.268]  Yes, when armed men of the government... Are these local police or federal police?
[00:24:04.714 --> 00:24:06.656]  I think by and large they're local.
