[00:00:00.429 --> 00:00:00.970]  Impossible.
[00:02:37.869 --> 00:02:38.950]  So, you know, they don't care.
[00:02:38.970 --> 00:02:41.632]  I mean, they should be screaming bloody murder right now, Ned.
[00:02:42.307 --> 00:02:49.051]  Well, Ron Paul, I mean, you know, we've got him in there, and there's a couple others, Sanders and... I forgot the other guy's name.
[00:02:49.531 --> 00:02:55.775]  Yeah, because Sanders and Ron Paul are about the only ones out there currently in the Congress that are saying anything.
[00:02:56.915 --> 00:02:58.556]  And Sanders is a senator, by the way.
[00:02:58.616 --> 00:02:59.837]  I shouldn't say he's in the Congress.
[00:02:59.877 --> 00:03:00.217]  He's not.
[00:03:00.517 --> 00:03:01.078]  But yeah, I mean...
[00:03:01.838 --> 00:03:04.121]  Yeah, we just need to step up and mobilize, man.
[00:03:04.822 --> 00:03:09.948]  First of all, we have to say that even if they tell us to do something, we're not going to do it.
[00:03:09.988 --> 00:03:15.836]  I think there's going to be a big test on 9-11 this year now that GiveX passed, and it's officially a holiday.
[00:03:16.096 --> 00:03:18.098]  It's a National Day of Service and Remembrance.
[00:03:19.440 --> 00:03:44.142]  going to be his youth brigade coming out party basically this national service corps is going to have memorials around the country for nine eleven you know for further politicizing this program and they're also going to be going undoing knocking talks and trying to recruit people people have to say no and we have to have counter demonstrations exposing people to the truth about nine eleven and the truth of what they're taking part of in this national uh... service corps which is just
[00:03:44.882 --> 00:03:45.662]  It's scary, man.
[00:03:45.963 --> 00:03:47.083]  All right, thank you for the call, Ned.
[00:03:47.323 --> 00:03:48.424]  Let's jump to the next caller.
[00:03:48.464 --> 00:03:50.144]  Let's go to Michael in Texas.
[00:03:50.184 --> 00:03:50.724]  Michael, you're up.
[00:03:52.065 --> 00:03:52.625]  Hello, Jason.
[00:03:52.645 --> 00:03:53.586]  Thanks for taking my call.
[00:03:53.866 --> 00:03:54.206]  You got it.
[00:03:54.226 --> 00:03:56.027]  I want to follow up on your last caller.
[00:04:00.849 --> 00:04:03.890]  I think the front lines are at the individual state capitals.
[00:04:04.550 --> 00:04:06.371]  I've been to many states here, 50 states.
[00:04:07.851 --> 00:04:12.153]  The Tenth Amendment resolutions that have been addressed are submitted in many states.
[00:04:12.193 --> 00:04:14.354]  People need to go to the capitol.
[00:04:15.425 --> 00:04:17.046]  And thank the sponsors of the bills.
[00:04:17.406 --> 00:04:18.127]  Talk to the people.
[00:04:19.167 --> 00:04:29.352]  Suggest that the representatives reach out to the county sheriffs in their district and get them involved in this.
[00:04:30.433 --> 00:04:33.995]  And just stay on that.
[00:04:34.035 --> 00:04:35.355]  We need to keep this up front.
[00:04:35.936 --> 00:04:37.857]  The many info warriors need to do that.
[00:04:38.057 --> 00:04:38.757]  Go to the capitals.
[00:04:38.797 --> 00:04:43.960]  The people that live in the state capitals of their state should go to their capital and
[00:04:44.830 --> 00:04:45.791]  Don't be afraid to approach
[00:05:00.222 --> 00:05:00.442]  I agree.
[00:05:00.502 --> 00:05:06.424]  Here in Austin, at the Rotunda, on the floor of the Capitol, right there in the center of the Rotunda, it says, the Republic of Texas.
[00:05:29.102 --> 00:05:30.603]  I mean, it's already there in stone.
[00:05:31.463 --> 00:05:45.569]  And, uh, you know, I think if we stay on these people and go to the co-sponsors also of the bill, you know, here in Texas, I think there's like 30, 30 or 35 co-sponsors and just go and thank them and have them reach out to their sheriffs and their districts.
[00:05:45.629 --> 00:05:50.872]  And the more, I mean, the county sheriffs is, is, you know, in the individual counties is where we're going to get the power at.
[00:05:51.492 --> 00:05:55.594]  And if we can get the sheriffs involved in this, I think that we can, can, uh,
[00:05:56.676 --> 00:05:59.839]  Well, Sheriff is usually an electable office.
[00:05:59.879 --> 00:06:03.561]  This is another example of how you can take back your government for and by the people.
[00:06:03.621 --> 00:06:07.504]  It's not just about running for Congress or state senator or city council member.
[00:06:07.564 --> 00:06:08.325]  Run for Sheriff!
[00:06:09.045 --> 00:06:09.966]  They're sovereign.
[00:06:10.386 --> 00:06:11.647]  They have power over the feds.
[00:06:12.268 --> 00:06:15.930]  They can kick them out of the county and not let them in.
[00:06:21.343 --> 00:06:31.670]  I just think we really, you know, we just can't sit, now that these bills, these resolutions have been introduced in these many states, we just can't sit back and let them, you know, let them sit there and pass through.
[00:06:31.710 --> 00:06:36.373]  We've got to get in there and show those representatives that they have a lot of people behind them.
[00:06:36.393 --> 00:06:38.915]  Michael, we definitely have to be more proactive in Show Initiative.
[00:06:38.955 --> 00:06:39.835]  I thank you for the call.
[00:06:40.436 --> 00:06:42.757]  Let's jump to Martin in California.
[00:06:42.777 --> 00:06:43.317]  Martin, you're up.
[00:06:43.718 --> 00:06:44.358]  Hey, Jason.
[00:06:44.738 --> 00:06:45.239]  How are you doing?
[00:06:46.059 --> 00:06:46.299]  Good.
[00:06:46.720 --> 00:06:50.122]  Hey, I was listening a couple days ago about
[00:06:50.620 --> 00:06:52.002]  Everything going on in Sacramento.
[00:06:53.925 --> 00:07:00.274]  I'm really interested in journalism and things like that.
[00:07:00.294 --> 00:07:02.897]  I was wondering if you guys need an extra guy on the ground over there.
[00:07:02.917 --> 00:07:04.600]  I mean, I work for free.
[00:07:05.792 --> 00:07:12.555]  I mean, I'm the wrong guy to be talking to you about it because I'm not the one that coordinates, you know, where you would send the videos and whatnot.
[00:07:12.855 --> 00:07:23.540]  But if you're close to Sacramento and you want to do some reconnaissance work over on, you know, the tent cities and what's going on down there, I would contact Rob D. at InfoWars.com.
[00:07:23.780 --> 00:07:24.921]  Just go shoot it anyway.
[00:07:25.021 --> 00:07:26.282]  I mean, if it's good, we'll use it.
[00:07:26.322 --> 00:07:27.762]  That's basically what we do.
[00:07:27.782 --> 00:07:31.304]  And not only do we comb over YouTube and whatnot to see what's out there,
[00:07:31.784 --> 00:07:34.146]  But some people will have already done it and sent us.
[00:07:34.186 --> 00:07:35.447]  I mean, we can't report on everything.
[00:07:35.467 --> 00:07:36.408]  We can't take everything.
[00:07:36.768 --> 00:07:41.452]  But we do encourage people to become their own info warriors and, you know, do real journalism.
[00:07:42.093 --> 00:07:50.480]  By taking a camera, going and documenting the event, and then getting the people that it's affecting's opinions, you know, the people that are actually in there.
[00:07:50.720 --> 00:07:54.622]  That's more journalism than 90% of the mainstream media is going to do anyway.
[00:07:54.682 --> 00:08:00.305]  So, you know, we encourage that type of behavior whether or not, you know, we'll definitely use it or I can coordinate it.
[00:08:00.365 --> 00:08:00.685]  I can't.
[00:08:00.986 --> 00:08:02.446]  RobD at Infowars.com.
[00:08:02.466 --> 00:08:03.607]  Martin, I thank you for the call.
[00:08:04.027 --> 00:08:05.648]  All right, let's jump to our next caller.
[00:08:05.668 --> 00:08:07.869]  Let's go to Denise in Illinois.
[00:08:07.889 --> 00:08:10.211]  You're up.
[00:08:10.231 --> 00:08:10.651]  Hey, Jason.
[00:08:10.671 --> 00:08:11.271]  How's it going?
[00:08:11.571 --> 00:08:11.791]  Good.
[00:08:13.072 --> 00:08:14.293]  So here's what I'm calling about.
[00:08:14.313 --> 00:08:18.375]  As an info warrior myself, I've been using Facebook
[00:08:18.993 --> 00:08:24.136]  To post as many things as I can possibly get my hands on from YouTube, from everywhere.
[00:08:24.156 --> 00:08:26.578]  I've taken some things from Alex.
[00:08:28.699 --> 00:08:30.460]  I put, you know, as much as I could.
[00:08:30.500 --> 00:08:32.462]  I have about 130 friends on my page.
[00:08:33.362 --> 00:08:41.467]  Do you know that about two of them have anything, no, any idea at all about what I'm talking about?
[00:08:42.028 --> 00:08:46.851]  They don't believe in the 9-11 conspiracies, which is actually not a conspiracy.
[00:08:46.891 --> 00:08:47.451]  It's the truth.
[00:08:48.140 --> 00:08:56.067]  They don't have any clue about so much, because I think music has gotten in people's minds so much.
[00:08:56.267 --> 00:08:58.108]  The television, music, the internet.
[00:08:58.569 --> 00:09:06.035]  They're keeping themselves so preoccupied with absolutely everything but the truth, because the truth, it's scary.
[00:09:06.115 --> 00:09:07.396]  Yeah, it is scary, you know?
[00:09:07.996 --> 00:09:17.044]  But I've been doing this for, I don't know, 10, 11, 12 years, looking up stuff, because when I was little,
[00:09:17.941 --> 00:09:21.544]  I remember some very odd things, you know, from my childhood.
[00:09:22.404 --> 00:09:30.630]  So I asked a man in my later years what the scars on my arms were and what all these different marks on my body are.
[00:09:30.650 --> 00:09:34.493]  And he gave me a book called The Biggest Conspiracy Theory Reader.
[00:09:35.413 --> 00:09:43.319]  Well, just yesterday, or the day before, on my Facebook page, I posted an MKUltra CIA video post
[00:09:44.048 --> 00:09:50.870]  And today, Facebook has sent me a message saying that if I continue to post, my page will be cancelled.
[00:09:51.510 --> 00:09:52.811]  Well, that is just terrible.
[00:09:52.891 --> 00:09:57.373]  I mean, that just illustrates the fact that, you know, they're trying to censor the Internet.
[00:09:57.653 --> 00:10:00.635]  And for those that don't know what MKUltra is, I thank you for the call, Denise.
[00:10:00.895 --> 00:10:07.199]  This is the Mind Control Ultra program that was semi-declassified during the 70s.
[00:10:07.219 --> 00:10:09.140]  You can read a lot of them on PDF files.
[00:10:09.160 --> 00:10:13.822]  A lot of those files were destroyed, but I mean, it goes over everything from LSD to
[00:10:15.043 --> 00:10:16.745]  I mean, I don't even know how to describe it.
[00:10:16.845 --> 00:10:20.189]  Some people knew that they were going to be subjected to experiments, some people didn't.
[00:10:20.830 --> 00:10:29.320]  It's not only about LST, it's really about controlling the masses, it's about psychological warfare, it's about one of those nexus points that we talked about earlier.
[00:10:29.340 --> 00:10:32.124]  Remember, if I were doing a class on New World Order 101,
[00:10:33.365 --> 00:10:39.027]  You know, the three main subjects would be, you know, the monetary system, perpetual debt, the Federal Reserve, things that are going on there.
[00:10:39.628 --> 00:10:43.709]  The eugenics programs, what's in the vaccinations, the foods, how they're dumbing us down.
[00:10:44.009 --> 00:10:45.790]  The third, of course, would be false flag terror.
[00:10:46.230 --> 00:10:51.572]  And, you know, the Hegelian dialectic, problem, reaction, solution, and how they motivate populations.
[00:10:51.652 --> 00:11:00.116]  And their three main modus operandi are, you know, think tanks, lobbyist groups, foundations, things like the CFR, the Bilderberg Group, those types of things.
[00:11:00.536 --> 00:11:10.386]  And then you have your government organizations, the NSA, the CIA, the FBI, you know, Continuative Government, the shadow government that's out there, and then of course the PSYOPs, Psychological Warfare.
[00:11:10.546 --> 00:11:16.172]  It's not a mistake that they found members of the CIA in the newsrooms of CNN.
[00:11:17.413 --> 00:11:22.736]  Most of your news is intelligence run by design.
[00:11:23.056 --> 00:11:28.720]  It is total and complete propaganda to keep you in the dark.
[00:11:29.320 --> 00:11:30.401]  Do you understand?
[00:11:31.421 --> 00:11:32.202]  The talking point
[00:11:33.300 --> 00:11:38.065]  of a new world order in Bloomberg, in C-SPAN, in CNN.
[00:11:38.646 --> 00:11:39.667]  This is all by design.
[00:11:39.687 --> 00:11:40.908]  They're getting you used to the idea.
[00:11:40.948 --> 00:11:42.510]  Global government's here to stay, folks.
[00:11:42.991 --> 00:11:44.252]  And they just announced it at the G20.
[00:11:44.312 --> 00:11:46.094]  We're going to go to the rest of your calls.
[00:11:46.154 --> 00:11:48.256]  Danny, Michael, David, and more on the other side.
[00:11:48.297 --> 00:11:49.418]  It's the Alex Jones Show.
[00:11:49.678 --> 00:11:51.540]  Infowars.com, PrisonPlanet.tv.
[00:12:04.206 --> 00:12:05.067]  We're good to go.
[00:12:27.185 --> 00:12:32.971]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:12:33.171 --> 00:12:35.613]  From big to small, we have it all.
[00:12:35.874 --> 00:12:39.657]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:12:39.897 --> 00:12:46.264]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:12:46.624 --> 00:12:51.209]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:12:51.509 --> 00:12:52.911]  So what are you waiting for?
[00:12:53.171 --> 00:12:54.913]  Go to Pepperspray.com.
[00:12:55.133 --> 00:12:57.095]  That's Pepperspray.com.
[00:12:57.275 --> 00:12:58.156]  Or call 1-800-908-9988 today!
[00:13:02.805 --> 00:13:05.528]  Are you tired of losing your hard-earned savings in retirement?
[00:13:05.908 --> 00:13:12.474]  Does the continued loss of purchasing power through the hidden tax of inflation brought on by trillions of dollars in government bailouts bother you?
[00:13:12.494 --> 00:13:17.158]  Then please let me, Duane Daly, with Midas Resources, help you to protect what you have left.
[00:13:17.754 --> 00:13:27.338]  Call me at 800-686-2237 extension 115 and I will explain to you how to retain your wealth and purchasing power now and in the future with gold and silver.
[00:13:27.738 --> 00:13:37.463]  Gold and silver have been a form of currency for 6,000 years compared to our present fiat currency which has only been in existence for 38 years and failing fast.
[00:13:37.803 --> 00:13:41.424]  Call me, Duane Daly, at 800-686-2237 extension 115 to start your protection of wealth today.
[00:13:45.706 --> 00:13:48.629]  I will custom fit the protection package to your personal needs.
[00:13:49.129 --> 00:13:51.411]  No amount is too small, so start today.
[00:13:51.891 --> 00:14:00.639]  Call Duane Daly with Midas Resources at 800-686-2237 extension 115 for your gold and silver protection portfolio.
[00:14:02.781 --> 00:14:05.363]  In the New World Order's war against humanity,
[00:14:05.971 --> 00:14:08.095]  Barack Obama is the tip of the spear.
[00:14:08.576 --> 00:14:15.608]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:14:16.152 --> 00:14:22.337]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:14:22.357 --> 00:14:24.579]  Well, Obama's already fudging.
[00:14:24.719 --> 00:14:27.141]  He's fudged since day one in this election.
[00:14:27.221 --> 00:14:38.170]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:14:38.803 --> 00:14:40.083]  It's not about left or right.
[00:14:40.463 --> 00:14:41.844]  It's about a one world government.
[00:14:42.324 --> 00:14:48.686]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:14:49.226 --> 00:14:57.028]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:57.488 --> 00:14:58.648]  The Obama Deception.
[00:14:59.069 --> 00:15:00.249]  The people strike back.
[00:15:02.834 --> 00:15:08.315]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:15:08.335 --> 00:15:08.876]  and the world.
[00:15:09.136 --> 00:15:12.597]  And for the first time in their lives, they are feeling the need for preparedness.
[00:15:12.997 --> 00:15:19.218]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:15:19.498 --> 00:15:21.279]  Ready Reserve is the manufacturer.
[00:15:21.519 --> 00:15:29.461]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:15:29.741 --> 00:15:34.182]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:15:34.442 --> 00:15:39.984]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:15:40.264 --> 00:15:42.264]  Many companies do not even offer a catalog.
[00:15:42.445 --> 00:15:45.805]  We will be more than happy to send a catalog to you, free of charge.
[00:15:46.126 --> 00:15:48.226]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at ReadyReserveFoods.com.
[00:15:55.128 --> 00:15:55.449]  Call us at 1-800-453-2202.
[00:16:32.057 --> 00:16:33.178]  Alright, folks, we are back.
[00:16:33.218 --> 00:16:34.259]  It's the Alex Jones Show.
[00:16:34.279 --> 00:16:35.720]  We're going to continue to take your calls.
[00:16:35.900 --> 00:16:40.584]  But before we go to the next caller, I want to thank one of our great sponsors.
[00:16:41.104 --> 00:16:42.766]  It's HomeGain.com.
[00:16:42.806 --> 00:16:44.307]  That's HomeGain.com.
[00:16:44.347 --> 00:16:46.429]  Gain is in G-A-I-N.
[00:16:46.489 --> 00:16:50.552]  Here is the Home Gain monkey for all the PrisonPlanet.TV viewers.
[00:16:50.612 --> 00:16:51.773]  Very lovable monkey.
[00:16:52.053 --> 00:16:52.393]  So what is
[00:16:53.314 --> 00:16:53.954]  HomeGain.
[00:16:53.974 --> 00:17:01.076]  This is a place where you can get started buying or selling a home, finding a realtor, or getting any real estate questions answered.
[00:17:01.376 --> 00:17:07.317]  All you need to do is type in your home address and you will get a free instant estimate of your home's value online.
[00:17:07.578 --> 00:17:11.418]  It's a great way to be able to value the monitor of your home, and again, it's free.
[00:17:11.519 --> 00:17:13.499]  It's HomeGain.com.
[00:17:13.819 --> 00:17:17.700]  That's HomeGain.com, and here is the Home Gain monkey.
[00:17:17.760 --> 00:17:21.181]  We thank them so much for their support of this great program.
[00:17:22.901 --> 00:17:24.362]  All right, let's continue to go to your calls.
[00:17:24.622 --> 00:17:26.923]  I believe we are on Danny in Texas.
[00:17:27.023 --> 00:17:27.664]  Danny, you're up.
[00:17:29.745 --> 00:17:29.985]  Hello?
[00:17:30.385 --> 00:17:30.785]  Yes, sir.
[00:17:30.805 --> 00:17:33.086]  How you doing, Jason?
[00:17:33.407 --> 00:17:33.627]  Good.
[00:17:34.447 --> 00:17:34.687]  Good.
[00:17:35.228 --> 00:17:42.011]  Listen, I have an idea that was sparked this morning by an article that I read in Forbes Magazine.
[00:17:42.572 --> 00:17:43.252]  Okay.
[00:17:44.252 --> 00:17:50.536]  About some corporations who were watching a couple of cases
[00:17:51.309 --> 00:17:54.270]  That has to do with the RICO law.
[00:18:14.807 --> 00:18:17.468]  And I apologize, because I get so tongue-tied when I get on here.
[00:18:17.488 --> 00:18:20.770]  It seems like I can't think fast enough about what I need to say.
[00:18:20.810 --> 00:18:32.855]  But anyway, long story short, cut to the chase, what it hit me was that, I mean, we're desperate for a place to start to stop these people.
[00:18:33.855 --> 00:18:34.295]  Desperate.
[00:18:34.616 --> 00:18:42.499]  And what hit me was, well, you know, I happen to think that, why couldn't we go in with a
[00:18:43.840 --> 00:18:44.661]  I don't think so.
[00:18:58.988 --> 00:19:00.889]  Well, let's just look at that on it's face though.
[00:19:01.209 --> 00:19:06.012]  All class action lawsuits of any kind of like real financial stability take years and years and years.
[00:19:06.232 --> 00:19:07.653]  Man, we don't got years and years and years.
[00:19:07.893 --> 00:19:10.914]  They literally announced the new world order yesterday.
[00:19:11.255 --> 00:19:15.237]  They announced that they're no longer going to have these trade barriers.
[00:19:15.777 --> 00:19:19.799]  They announced they were going to go after third world countries that weren't in on the game.
[00:19:20.059 --> 00:19:21.019]  I mean, this is it, man.
[00:19:21.219 --> 00:19:26.161]  I mean, they announced three weeks ago that they were going to print up a global super currency for quantitative easing.
[00:19:26.401 --> 00:19:28.622]  And this is the establishment of it right here.
[00:19:28.842 --> 00:19:34.424]  So even if we sue these guys, first of all, it looks like they're putting us under an international court system.
[00:19:34.684 --> 00:19:39.766]  What we need to do is we need to say we need to put in instead of a civil court.
[00:19:40.666 --> 00:19:43.027]  We need to file legislation that we're not going to take part in this.
[00:19:43.307 --> 00:19:50.449]  For instance, there's a woman out of Minnesota, a congresswoman, who has filed a bill that says that the U.S.
[00:19:50.489 --> 00:19:53.030]  cannot drop the dollar as the world currency.
[00:19:53.350 --> 00:19:54.771]  She's against the global currency.
[00:19:54.831 --> 00:19:57.832]  It's basically a bill ensuring that the global currency doesn't come here.
[00:19:58.152 --> 00:19:59.473]  Or at least to the state of Minnesota.
[00:19:59.493 --> 00:20:00.153]  Will it get passed?
[00:20:00.193 --> 00:20:00.714]  Probably not.
[00:20:00.914 --> 00:20:02.314]  Has it gotten any immediate attention?
[00:20:02.375 --> 00:20:02.575]  No.
[00:20:02.855 --> 00:20:03.735]  But it's a step forward.
[00:20:03.755 --> 00:20:07.097]  I just think that civil cases probably aren't the way to go.
[00:20:07.137 --> 00:20:12.821]  I'm not discouraging people from trying something like that, but I feel like legislation is the better way.
[00:20:12.881 --> 00:20:13.941]  I thank you for the call, Danny.
[00:20:14.301 --> 00:20:16.563]  All right, let's go to Michael in Toronto.
[00:20:16.643 --> 00:20:17.483]  Michael, you're on the air.
[00:20:18.784 --> 00:20:19.044]  Hello.
[00:20:19.504 --> 00:20:19.865]  Yes, sir.
[00:20:20.885 --> 00:20:21.085]  Hey.
[00:20:21.365 --> 00:20:25.008]  First of all, I'm a big fan of the Alex Jones Show.
[00:20:25.108 --> 00:20:26.949]  I've seen all of the videos.
[00:20:27.910 --> 00:20:31.253]  You know, we're very, very, very much interested in everything you have to say.
[00:20:32.114 --> 00:20:37.218]  I'm a Canadian, and there are some substantial differences between the U.S.
[00:20:37.238 --> 00:20:48.467]  system and the Canadian system, and we've been largely socialist up here for a long period of time, and have national health care, and have, you know, been supported by our government.
[00:20:48.828 --> 00:20:54.993]  And I just have a couple questions about the differences, and hope that Canadians aren't getting a bad rap here.
[00:20:57.586 --> 00:21:00.989]  Our economy is great in comparison to the U.S.
[00:21:01.029 --> 00:21:08.214]  I mean, we've got a fairly stable real estate market, you know, a banking market.
[00:21:08.274 --> 00:21:09.495]  None of our banks have gone south.
[00:21:11.176 --> 00:21:12.417]  And I'm just curious.
[00:21:12.437 --> 00:21:19.022]  Part of the reason is that I've spent a good portion of my life supporting globalism in my job.
[00:21:19.883 --> 00:21:25.087]  I'm one of those guys who, when you call your bank and somebody in India answers, it's probably my fault.
[00:21:25.859 --> 00:21:26.760]  Well, hold on.
[00:21:27.080 --> 00:21:30.302]  I'm going to hold you over, Michael.
[00:21:30.322 --> 00:21:33.484]  I want to get your perspective on why you were pro-globalism.
[00:21:33.764 --> 00:21:34.965]  I used to be pro-globalism.
[00:21:35.025 --> 00:21:35.806]  I'm thinking, great!
[00:21:36.226 --> 00:21:37.427]  We're going to harmonize the world.
[00:21:37.547 --> 00:21:38.367]  One world government.
[00:21:38.387 --> 00:21:39.168]  We're all going to be happy.
[00:21:39.188 --> 00:21:40.229]  It's going to be democracy.
[00:21:40.249 --> 00:21:41.209]  We're going to feed everybody.
[00:21:41.229 --> 00:21:42.030]  We're going to clothe everybody.
[00:21:42.050 --> 00:21:42.990]  Everybody's going to have a home.
[00:21:43.571 --> 00:21:46.073]  It's going to be democracy worldwide, but that's not their plan.
[00:21:46.413 --> 00:21:49.155]  When you look at what it really is, it's about eugenics and control.
[00:21:49.315 --> 00:21:50.295]  It's the Alex Jones Show.
[00:21:50.315 --> 00:21:51.296]  We'll be back after this.
[00:21:51.536 --> 00:21:52.417]  Infowars.com.
[00:21:56.472 --> 00:21:59.144]  Alex Jones and the GCN Radio Network.
[00:22:02.276 --> 00:22:03.677]  So you want to stop smoking.
[00:22:03.737 --> 00:22:04.857]  Well, here's what I want you to do.
[00:22:05.017 --> 00:22:07.778]  Go to a drugstore and take a stop smoking product off the shelf.
[00:22:07.898 --> 00:22:11.720]  Go to the cashier, tell him you don't want to pay for the product, you just want to take it home and try it.
[00:22:11.880 --> 00:22:15.422]  And if and only if you stop smoking, will you then come back and pay for it?
[00:22:15.662 --> 00:22:17.603]  Most likely, if you try this, you'd be arrested.
[00:22:17.663 --> 00:22:21.604]  But as silly as this sounds, this is exactly what the Smokefree free trial offer is.
[00:22:21.985 --> 00:22:24.766]  Smokefree is a complete all-natural stop smoking system.
[00:22:24.886 --> 00:22:27.567]  And when you call today, they'll send you a 30-day supply of the program.
[00:22:27.867 --> 00:22:28.728]  Absolutely free!
[00:22:29.028 --> 00:22:42.500]  This program eliminates withdrawals and cravings and includes a 30 day supply of the smoke-free capsules, a guide to living smoke-free book, an audio support program, capsule holder, and a bottle of weight loss capsules just in case you're worried about gaining weight while you're trying to quit.
[00:22:42.700 --> 00:22:44.962]  To find out if you qualify for this free trial offer,
[00:22:45.282 --> 00:22:48.204]  Join the tens of thousands who have quit for life with Smokefree.
[00:22:48.384 --> 00:22:48.904]  Call 1-800-426-6186 today.
[00:22:48.924 --> 00:22:49.184]  That's 1-800-426-6186.
[00:22:49.204 --> 00:22:51.105]  This is a limited time offer, so call 1-800-426-6186 now.
[00:22:51.125 --> 00:22:52.886]  In the New World Order's war against humanity,
[00:23:05.746 --> 00:23:07.887]  Barack Obama is the tip of the spear.
[00:23:08.588 --> 00:23:13.931]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
