[00:00:00.349 --> 00:00:01.710]  War on Corruption.
[00:08:59.349 --> 00:09:02.910]  And I was aware of a lot of his work on the Bill of Rights and Constitution previously.
[00:09:02.930 --> 00:09:06.672]  He was also a Deputy Attorney General of a major state.
[00:09:07.332 --> 00:09:09.433]  He's just done a lot of important work.
[00:09:10.174 --> 00:09:17.057]  And so I first saw him early in the campaign start looking at Obama and the birth certificate.
[00:09:17.777 --> 00:09:19.498]  And we've had him on many times and we've covered it.
[00:09:21.224 --> 00:09:34.050]  I didn't put it in the Obama deception, the big premiere film about Obama, because I knew so many others were covering the birth certificate, and that so many Democrats had closed their minds to the birth certificate.
[00:09:34.070 --> 00:09:43.335]  It was seen as partisan, even though Mr. Berg is a registered Democrat and involved, you know, with the ACLU and everything else, a lifelong Democrat, that it wasn't partisan.
[00:09:43.355 --> 00:09:49.438]  It was a constitutional crisis issue, and how he could be blackmailed with this info, which is clearly going on now.
[00:09:52.566 --> 00:10:15.245]  So in the Obama deception, we cover his carbon tax, his anti-gun stance, his wanting to start all these new wars, lying and hiring nothing but lobbyists, his handlers, the Federal Reserve, people like Geithner who were telling Bush what to do with the bailout, literally his bosses on the financial takeover being Obama's handlers.
[00:10:16.550 --> 00:10:18.613]  That's why the Obama deception didn't get into it.
[00:10:18.633 --> 00:10:29.587]  It gets into everything that wasn't being covered, everything that wasn't being looked at, while at the same time we've been covering the birther issue, as it's called, here on air.
[00:10:30.891 --> 00:10:32.612]  Now, why do I have Phil Berg here?
[00:10:32.652 --> 00:10:34.012]  Why is he going to be on a lot more?
[00:10:34.313 --> 00:10:43.437]  Why are we going to get Colonel Hollister, who's one of his clients, one of the high-level military officers, coming out and saying, I want to see the birth certificate?
[00:10:43.977 --> 00:10:47.018]  Because it's now reached mega-crest level.
[00:10:48.019 --> 00:10:50.300]  Obama lies and says, I'm not going to hire any lobbyists.
[00:10:50.360 --> 00:10:51.340]  All he hires is lobbyists.
[00:10:51.360 --> 00:10:54.502]  He says he's fighting banker bailout money to Goldman Sachs.
[00:10:54.902 --> 00:10:59.564]  It turns out in AIG that he wrote a special piece to the bill to do it.
[00:11:01.087 --> 00:11:02.909]  People know Obama's a liar now.
[00:11:02.949 --> 00:11:09.657]  His approval rating's gone from 84 in the highest for Rasmussen to 49 in six months.
[00:11:09.757 --> 00:11:12.720]  I mean, he is dropping like a rock right now.
[00:11:13.681 --> 00:11:14.322]  In a big way.
[00:11:15.643 --> 00:11:21.029]  And people know that when the media, when the media
[00:11:22.717 --> 00:11:24.058]  Just says there's no truth.
[00:11:24.358 --> 00:11:25.039]  You're kooks.
[00:11:25.339 --> 00:11:27.461]  How dare you ask to look at the birth certificate?
[00:11:27.961 --> 00:11:32.804]  Everybody's seen the birth certificate when they put out a receipt of birth certificate.
[00:11:33.085 --> 00:11:39.409]  Itself, according to many mainline experts and people matching them with their receipts for birth certificate, is a forgery.
[00:11:40.450 --> 00:11:48.276]  So, people see all this and they're really starting to ask very serious questions.
[00:11:48.436 --> 00:11:48.836]  Then, the
[00:11:53.444 --> 00:12:00.871]  Washington Post comes out and makes fun, and number one, of Phil Berg, of anybody and everybody that asks questions.
[00:12:01.691 --> 00:12:03.753]  The birther, brouhaha.
[00:12:04.494 --> 00:12:05.274]  Washington Post.
[00:12:08.237 --> 00:12:15.884]  And it says, speculation about the true citizenship of President Barack Obama has resurfaced in recent days, in part thanks to a viral video.
[00:12:16.544 --> 00:12:20.448]  Despite a widely circulated copy of his certificate of live birth,
[00:12:21.607 --> 00:12:25.730]  Notices in two Honolulu newspapers and other evidence, some won't let the issue die.
[00:12:27.011 --> 00:12:42.983]  Fanning the flames are commentators Lou Dobbs and Rush Limbaugh, who have suggested the question remains unsolved, and ten House Republicans who have co-sponsored bills that will require presidential candidates to provide a copy of their original birth certificate.
[00:12:44.483 --> 00:12:46.685]  And then they ask this stupid poll question.
[00:12:47.346 --> 00:12:49.968]  What for you would clear up the question of Obama's citizenship?
[00:12:50.369 --> 00:12:53.172]  An official certificate and birth notices from two newspapers?
[00:12:55.794 --> 00:13:00.078]  A time machine visit to the hospital on the day of the alleged birth?
[00:13:01.007 --> 00:13:02.508]  Tie him up, throw him in the water.
[00:13:02.608 --> 00:13:05.370]  If he floats, he's an American, saying it's a witch hunt.
[00:13:05.971 --> 00:13:06.711]  Nothing ever.
[00:13:07.212 --> 00:13:11.295]  So see, this poll is meant to ridicule anybody asking questions.
[00:13:11.695 --> 00:13:18.660]  Even the semi-serious first question, first option, an official certificate, and birth notices from two newspapers.
[00:13:19.060 --> 00:13:21.322]  See, an official birth certificate would have done it.
[00:13:21.963 --> 00:13:23.244]  But they won't do it.
[00:13:23.504 --> 00:13:23.824]  Why?
[00:13:24.284 --> 00:13:27.707]  Why has he signed an executive order blocking the release of that document?
[00:13:28.107 --> 00:13:28.507]  Oh yes!
[00:13:29.588 --> 00:13:29.949]  So see,
[00:13:30.908 --> 00:13:33.629]  Now we have his grandmother reportedly saying he was born there.
[00:13:33.649 --> 00:13:37.950]  Now we have the government saying they put a plaque up at his birthplace.
[00:13:40.310 --> 00:13:41.651]  I mean, all of this evidence.
[00:13:41.691 --> 00:13:45.011]  And now we have the expert, the guy who was there day one on all of this.
[00:13:45.412 --> 00:13:51.093]  And my whole issue is, I didn't know one way or the other, but the way they act suspicious, the way they act scared.
[00:13:51.313 --> 00:13:52.973]  Then I saw Bill Maher this weekend.
[00:13:53.373 --> 00:13:58.075]  I watched politically, you know, his little propaganda real time with Bill Maher.
[00:14:00.740 --> 00:14:03.081]  He acted scared.
[00:14:03.641 --> 00:14:05.502]  Mrs. Eisenhower on the show acted scared.
[00:14:05.522 --> 00:14:07.683]  They're freaked out, and now I know why.
[00:14:08.103 --> 00:14:18.268]  Everywhere congressmen go, they're shouted down by this issue under the surface because when the mainstream media just pats somebody on the head and says, you've seen the birth certificate, when we haven't,
[00:14:19.068 --> 00:14:29.651]  And when there's all these cover-ups going on, and his mother not being living in the United States long enough when she had him, because you've got to have one parent who's lived here a certain amount of time for him to be present.
[00:14:29.691 --> 00:14:31.151]  He's not eligible that way either.
[00:14:31.692 --> 00:14:33.572]  Any way you cut it, this is crazy.
[00:14:33.612 --> 00:14:36.813]  We now go to Phil Berg, and I appreciate him joining us.
[00:14:36.833 --> 00:14:38.754]  I just wanted to recap the basics.
[00:14:39.054 --> 00:14:40.514]  Obamacrimes.com.
[00:14:40.854 --> 00:14:43.315]  Bottom line, Mr. Berg, what's really going on here?
[00:14:44.073 --> 00:14:45.534]  Well, it's a massive cover-up.
[00:14:45.634 --> 00:14:55.383]  I believe it's the biggest hoax ever put forth to the citizens of this country in over 230 years in the history of our country, and one person's responsible for it.
[00:14:55.783 --> 00:15:00.127]  And that's actually his real name, we believe, is not Barack Hussein Obama.
[00:15:00.167 --> 00:15:05.872]  We believe his legal name today is Barry Sotoro when he was adopted in Indonesia.
[00:15:06.272 --> 00:15:08.995]  And when all is said and done, and the truth will come out,
[00:15:09.435 --> 00:15:32.618]  I think Obama, or Sotoro, whatever you want to call him, his wife Michelle Obama, Howard Dean, the former head of the Democratic National Committee, other officials of the Democratic National Committee, senior campaign officials, and now senior administration officials who know the truth about this, should all be subjected to the criminal justice system and tried, and those that are convicted should go to jail, and Obama should go to jail and then be deported.
[00:15:33.058 --> 00:15:35.900]  This is outrageous, what is going on here.
[00:15:35.940 --> 00:15:41.623]  When Arnold Schwarzenegger, people have talked to him, the governor of California, about running for president, what has he said?
[00:15:41.683 --> 00:15:42.844]  Amend the Constitution.
[00:15:43.404 --> 00:15:48.627]  And Barack Obama, basically, without saying it is, he's saying, I'm walking all over the Constitution.
[00:15:49.027 --> 00:15:50.588]  I don't care about the Constitution.
[00:15:51.049 --> 00:15:55.591]  Why would all of his records, every record of Obama is sealed.
[00:15:55.871 --> 00:15:56.532]  Every record.
[00:15:56.972 --> 00:16:00.413]  And I'm the first one to give a response on why his college records are being sealed.
[00:16:00.793 --> 00:16:08.956]  I believe his records from Occidental, Columbia University, and Harvard Law School are sealed, because I believe they will show that he applied for and received foreign aid.
[00:16:09.476 --> 00:16:10.936]  This is outrageous!
[00:16:11.356 --> 00:16:24.220]  The national media should be the, uh, I don't know if you saw it on Saturday's New York Times, they actually quoted one of my quotes, the interview I made, because of the upswing with the media, and I said, I wish the national media, including the New York Times, I wish I could sue them.
[00:16:24.660 --> 00:16:25.220]  We're good to go.
[00:16:42.580 --> 00:16:50.626]  And he stated, I'm now in my, I arrived in Oregon, this is my 57th state, and they wouldn't let me go to Alaska or Hawaii.
[00:16:50.906 --> 00:16:54.749]  I didn't know we had 59 states in this country, in this great country of ours.
[00:16:55.149 --> 00:16:55.670]  And you know what?
[00:16:56.030 --> 00:16:59.873]  If anybody else had said that, it would have been front page news for weeks.
[00:17:00.433 --> 00:17:07.422]  Because remember, going back to Dan Quayle, Dan Quayle just misspelled the word potato and they didn't let him live it down.
[00:17:07.862 --> 00:17:10.565]  But Obama gets a free ride no matter what's going on.
[00:17:10.826 --> 00:17:16.092]  I think he just stepped too far when he was commenting on this incident with the police officer the other day.
[00:17:17.894 --> 00:17:27.320]  With everything else, and as you said, Alex, all his promises are turning into fiction at this point because he talks out of both sides of his mouth, but that's not why I'm there.
[00:17:27.480 --> 00:17:30.081]  I'm there to enforce the US Constitution.
[00:17:30.582 --> 00:17:35.024]  I'm there for the 305 million people in this country who deserve to know the truth.
[00:17:35.465 --> 00:17:38.486]  I'm there for our forefathers, and I'm there for the 1.5 million
[00:17:39.767 --> 00:17:40.428]  You know, Mr. Berg,
[00:17:58.806 --> 00:18:08.776]  I don't want to get into conspiracy theories, but were they planning this so they can then have to have an amendment to make a foreign-born president for Schwarzenegger?
[00:18:09.417 --> 00:18:18.426]  I mean, they knew he was born in Kenya, and this was so unbelievable for me that I had trouble, even though I know you're a credible person,
[00:18:19.347 --> 00:18:31.315]  In really getting my mind around this and then as the cover-up expanded and now they won't release any of his college records and his foundation records and his mother's records and his father's records and they guard them.
[00:18:32.242 --> 00:18:35.683]  Like, it's the Kennedy assassination, you know, records or something.
[00:18:36.164 --> 00:18:56.711]  I mean, they're certainly acting suspicious, and now they're on TV going, we're scared, you know, these crazies won't listen to us, we've given them the records, when they haven't given us the records, and they would have just released the stinking birth certificate and this cover-up of saying they have released all his records, when it's not true.
[00:18:56.771 --> 00:18:58.192]  I gotta tell you, Mr. Berg,
[00:18:58.692 --> 00:19:01.854]  You know, I will take my time making a decision about something.
[00:19:02.134 --> 00:19:03.515]  And if I'm not sure, I'll hold back.
[00:19:03.555 --> 00:19:12.682]  But in time, in the fullness of time, hindsight's 20-20, as they say, I gotta tell you, my gut and all the intellectual evidence tells me he was born in Kenya.
[00:19:13.022 --> 00:19:20.027]  It fits in with his dad, the Madrasas, growing up in Indonesia, his real name's Barry Sotero.
[00:19:20.507 --> 00:19:22.329]  Everything about this guy is fake.
[00:19:22.689 --> 00:19:28.253]  How could the CIA, how could the Justice Department, how could the government let him become president
[00:19:28.655 --> 00:19:29.828]  Knowing this would come out!
[00:19:30.725 --> 00:19:40.330]  Well, first off, I've been advised by some high people over in Britain that our FBI and CIA know the truth about him, but there's no reporting.
[00:19:41.051 --> 00:19:47.114]  When you run for president, there's nobody you have to check in and show that you are who you are.
[00:19:47.694 --> 00:19:56.559]  But think about it, he's committed fraud in every one of the states, unless he can show us documentation that he has legally changed his name after being adopted into Indonesia.
[00:19:56.879 --> 00:20:00.121]  By signing his name as Barack Hussein Obama, that would be fraud.
[00:20:00.561 --> 00:20:00.982]  Stay there.
[00:20:01.042 --> 00:20:02.884]  Yeah, and you're a great legal mind.
[00:20:02.924 --> 00:20:04.185]  He's done hundreds of things.
[00:20:04.385 --> 00:20:05.847]  We'll cover him when we come back.
[00:20:07.188 --> 00:20:07.728]  You worry.
[00:20:07.869 --> 00:20:09.951]  If you don't, you don't understand the situation.
[00:20:10.231 --> 00:20:10.511]  Hi.
[00:20:10.772 --> 00:20:13.254]  Summer's coming and now's the time to learn self-sufficiency.
[00:20:13.574 --> 00:20:17.819]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:20:18.119 --> 00:20:20.301]  Experience is the best teacher, but that means time.
[00:20:20.582 --> 00:20:23.605]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:20:23.925 --> 00:20:24.545]  We're good to go.
[00:20:53.865 --> 00:20:57.268]  Hi, this is John Swenson again at Midas Resources and let me ask just one question.
[00:21:12.657 --> 00:21:15.718]  What would you list as the things that the federal government does really well?
[00:21:16.359 --> 00:21:18.700]  The armed forces and printing bogus money doesn't count.
[00:21:19.260 --> 00:21:25.222]  Now take that blank page of yours and list the ways that you have to protect your assets and escape the paper markets.
[00:21:25.823 --> 00:21:27.643]  The only real option is precious metals.
[00:21:28.183 --> 00:21:33.866]  For your retirement, your kid's education, or just plain survival when the whole Obama mess comes crashing down.
[00:21:34.841 --> 00:21:37.462]  You are the only one you can count on for a stimulus package.
[00:21:37.963 --> 00:21:41.925]  And I'd like to discuss a proven strategy to create that safety net for you and your family.
[00:21:42.485 --> 00:21:46.667]  Please give me a call at 800-686-2237, extension 128.
[00:21:46.907 --> 00:21:51.450]  That's 800-686-2237, extension 128.
[00:21:52.530 --> 00:21:55.792]  And together we can develop a Make Sense program before the clock runs out.
[00:21:56.432 --> 00:21:58.173]  Once more, John Swenson at 800-686-2237, extension 128.
[00:21:58.333 --> 00:21:59.734]  And take charge of your future and thank you.
[00:22:07.705 --> 00:22:13.008]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:22:13.509 --> 00:22:20.493]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:22:21.093 --> 00:22:27.257]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:22:27.677 --> 00:22:29.517]  Well, Obama's already fudging.
[00:22:29.657 --> 00:22:32.058]  He's fudged since day one in this election.
[00:22:32.138 --> 00:22:43.081]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:22:43.721 --> 00:22:45.021]  It's not about left or right.
[00:22:45.401 --> 00:22:46.801]  It's about a one-world government.
[00:22:47.242 --> 00:22:53.483]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:22:54.156 --> 00:23:01.931]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:02.432 --> 00:23:03.574]  The Obama Deception.
[00:23:04.015 --> 00:23:05.197]  The people strike back!
[00:23:07.666 --> 00:23:13.131]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:23:13.171 --> 00:23:13.691]  and the world.
[00:23:13.971 --> 00:23:17.414]  And for the first time in their lives, they are feeling the need for preparedness.
[00:23:17.834 --> 00:23:24.060]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:23:24.320 --> 00:23:26.121]  Ready Reserve is the manufacturer.
[00:23:26.361 --> 00:23:34.308]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:23:34.568 --> 00:23:39.013]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:23:39.273 --> 00:23:44.819]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:23:45.099 --> 00:23:47.101]  Many companies do not even offer a catalog.
[00:23:47.261 --> 00:23:50.605]  We will be more than happy to send a catalog to you, free of charge.
[00:23:50.945 --> 00:23:51.245]  Dial 1-800-453-2202.
[00:23:51.265 --> 00:23:51.326]  1-800-453-2202.
[00:23:51.346 --> 00:23:53.668]  Or visit our website at readyreservefoods.com.
[00:23:53.688 --> 00:23:55.709]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:23:55.729 --> 00:23:56.410]  Call us at 1-800-453-2202.
[00:24:20.249 --> 00:24:27.997]  Alright, as usual folks, I'm just ranting because for a year or more I've been looking and studying the birther issue.
[00:24:28.137 --> 00:24:29.198]  And you have scales.
[00:24:30.599 --> 00:24:35.444]  And early on there was more evidence that he was born in Kenya than that he was born in Hawaii.
[00:24:36.801 --> 00:24:42.527]  Having a fake name and covering up his history and saying he doesn't have Muslim roots.
[00:24:42.587 --> 00:24:53.278]  I'm not saying that's bad, but lying about it and now saying he does have Muslim roots and saying he's a Muslim on TV and speech after speech and saying it was an accident later, probably done on purpose.
[00:24:56.025 --> 00:24:59.208]  And just all his deception and covering up the college records.
[00:24:59.589 --> 00:25:05.835]  But Attorney Phil Berg has gone over the Constitution, Bill of Rights, him lying, lying on entrance forms.
[00:25:05.855 --> 00:25:10.439]  You were getting to that, Mr. Berg, the first lawyer to speak up, the first guy to file suits.
[00:25:11.961 --> 00:25:17.406]  You were getting into all the lies we know he's told, how you were saying he should be prosecuted for fraud.
[00:25:17.726 --> 00:25:18.247]  Get into that.
[00:25:19.753 --> 00:25:21.675]  Well, I think, first off, let me say this.
[00:25:21.995 --> 00:25:26.379]  Significant is the fact that this has been around on the internet for over two years.
[00:25:27.060 --> 00:25:34.987]  Significant is the fact that in June 2008, two months before I got involved in this, on the Obama campaign website,
[00:25:35.507 --> 00:25:38.929]  They put this document, which they keep trying to say is a birth certificate.
[00:25:39.369 --> 00:25:39.810]  It's not.
[00:25:39.850 --> 00:25:47.875]  It's a certification of live birth, and our expert has determined, and it's on our website, Obamacrime.com, that the document is a phony.
[00:25:48.295 --> 00:25:48.895]  It's a fraud.
[00:25:48.955 --> 00:25:49.756]  It's been altered.
