[00:00:04.195 --> 00:00:09.617]  The web, efoodsdirect.com, 800-409-5633.
[00:02:13.785 --> 00:02:18.129]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[00:02:18.289 --> 00:02:20.151]  And it's not something you have to take for the rest of your life.
[00:02:20.412 --> 00:02:22.133]  Call now to receive a very special offer.
[00:02:22.293 --> 00:02:22.554]  Call 800-567-5598.
[00:02:22.574 --> 00:02:23.294]  Ask about a free supply.
[00:02:23.314 --> 00:02:23.395]  800-567-5598.
[00:02:23.415 --> 00:02:23.655]  That's 800-567-5598.
[00:02:33.385 --> 00:02:40.187]  The president's chief economic advisor says the bonus payments given out at American International Group are outrageous.
[00:02:40.407 --> 00:02:50.709]  This whole area is something we're going to have to look at as we think about regulation in the future because no one can be satisfied with what's happened.
[00:02:50.809 --> 00:02:56.151]  Lawrence Summers told ABC that the troubled insurance giant got more than $170 billion in bailout money.
[00:02:58.624 --> 00:03:02.906]  And the weather is looking good for tonight's rescheduled launch of the Space Shuttle Discovery.
[00:03:03.366 --> 00:03:07.967]  Repairs have been made after a hydrogen gas leak scrapped liftoff plans Wednesday.
[00:03:08.587 --> 00:03:12.989]  The delay has shortened the mission by at least a day, increasing pressure for today's departure.
[00:03:13.509 --> 00:03:14.950]  This is NASA's George Stiller.
[00:03:15.130 --> 00:03:21.632]  Right now we are well past the point where our leakage problem developed on our first launch attempt.
[00:03:22.658 --> 00:03:26.580]  And we are not seeing any indications of leakage at all.
[00:03:26.760 --> 00:03:31.322]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:32.963 --> 00:03:37.305]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[00:03:37.805 --> 00:03:40.587]  If you could only visit one country...
[00:03:41.631 --> 00:03:45.617]  One nation on the face of this earth, it should be Israel.
[00:03:46.058 --> 00:03:48.701]  Because then, you'll never be the same.
[00:03:49.082 --> 00:03:52.546]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[00:04:05.331 --> 00:04:12.275]  Sounds from Sunday services that resumed today at an Illinois church, one week after the senior pastor was gunned down.
[00:04:12.936 --> 00:04:17.159]  A minister from Texas talked to the congregation and spoke from his own experience.
[00:04:17.819 --> 00:04:23.442]  A decade ago, a gunman entered his Fort Worth church and killed seven people before committing suicide.
[00:04:24.383 --> 00:04:30.627]  OPEC oil ministers say they'll continue current output levels, but try to end overproduction by some cartel members.
[00:04:31.309 --> 00:04:35.030]  Today's decision means there'll be no cutbacks from December production levels.
[00:04:35.810 --> 00:04:39.151]  Abdallah Saleem al-Badri is the OPEC Secretary General.
[00:04:39.271 --> 00:04:47.533]  Taking into consideration what's going on in the world economy, everything we try to talk about, everything is negative, you know.
[00:04:47.633 --> 00:04:49.653]  Every day we receive negative information.
[00:04:50.113 --> 00:04:53.214]  So we just try to balance the situation out.
[00:04:53.474 --> 00:04:58.355]  And Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[00:04:59.053 --> 00:04:59.993]  Here's Mark Levy.
[00:05:00.173 --> 00:05:07.095]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years by Hamas-linked militants in Gaza.
[00:05:07.535 --> 00:05:09.736]  Israel has set a special cabinet meeting for tomorrow.
[00:05:10.096 --> 00:05:13.977]  If there's no deal today, the prisoner issue will be turned over to the next government.
[00:05:13.997 --> 00:05:19.739]  The current government appears willing to free most of the prisoners Hamas is demanding, including convicted terrorists.
[00:05:20.199 --> 00:05:26.341]  But Benjamin Netanyahu, the incoming Israeli Prime Minister, takes a harder line against Hamas and Arabs in general.
[00:05:26.969 --> 00:05:28.029]  Mark Levy, Jerusalem.
[00:05:28.169 --> 00:05:31.450]  And I'm Jody Jordan for IRN USA Radio News.
[00:05:32.771 --> 00:05:37.492]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:05:37.852 --> 00:05:44.154]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[00:05:44.929 --> 00:05:53.295]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:05:53.955 --> 00:06:01.381]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:06:01.901 --> 00:06:07.445]  Call 908-691-2608 or visit hempusa.org today.
[00:06:08.106 --> 00:06:12.869]  Hempusa.org believes that now is the time to plan for the future
[00:06:13.269 --> 00:06:15.369]  And food will be your greatest asset.
[00:06:15.969 --> 00:06:18.250]  People spend money on all kinds of things.
[00:06:18.730 --> 00:06:22.791]  But our warning is prepare now for food shortages in the future.
[00:06:23.591 --> 00:06:24.611]  So don't delay.
[00:06:24.971 --> 00:06:25.611]  Call today.
[00:06:25.631 --> 00:06:32.272]  908-691-2608 and see what our powder, seeds, and oil can do for you.
[00:06:32.292 --> 00:06:40.634]  Prepare yourself for a talk radio experience like no other.
[00:06:40.654 --> 00:06:41.714]  Strap yourselves in.
[00:06:41.754 --> 00:06:42.274]  Hold on.
[00:06:43.379 --> 00:06:44.739]  He stands for truth.
[00:06:46.120 --> 00:06:48.000]  He stands for justice.
[00:06:49.341 --> 00:06:51.681]  He stands for what's right.
[00:06:51.781 --> 00:06:54.502]  This is the Alex Jones Show.
[00:06:55.082 --> 00:06:57.943]  Call Alex now, toll free at 877-590-5525.
[00:06:57.963 --> 00:07:01.664]  Now live from Austin, Texas, here's Alex Jones.
[00:07:12.361 --> 00:07:13.522]  Hello ladies and gentlemen.
[00:07:13.562 --> 00:07:15.624]  Hello and thank you for joining us.
[00:07:15.724 --> 00:07:20.628]  Glad that you have decided to tune in on this Sunday edition from 4 to 6 p.m.
[00:07:21.249 --> 00:07:22.790]  Central Standard Time.
[00:07:23.851 --> 00:07:26.433]  Here is the important news today that we'll be covering.
[00:07:26.573 --> 00:07:31.457]  It's particularly shocking and revealing.
[00:07:32.658 --> 00:07:34.840]  Cheney assassination units.
[00:07:34.900 --> 00:07:37.382]  That's been reported by Cy Hirsch, New Yorker Magazine.
[00:07:38.123 --> 00:07:40.265]  He's also doing a piece for New Yorker Magazine.
[00:07:41.867 --> 00:07:48.010]  On government-sponsored terror that's coming up in the next few months, and Vanity Fair, and also writing a book.
[00:07:48.030 --> 00:07:54.094]  You know, Cy Hirsch is a Pulitzer Prize winner, and he's never been proven wrong in the past.
[00:07:54.614 --> 00:07:55.995]  Very, very accurate.
[00:07:56.135 --> 00:07:58.336]  One of our best-living journalists out there.
[00:08:00.577 --> 00:08:07.741]  Well, he's been reporting on Cheney assassination unit, but then we decided to write an article because of our knowledge of this.
[00:08:08.496 --> 00:08:18.861]  So the story up on PrisonPlanet.com right now is Cheney assassination unit active under Obama, including domestically inside the United States.
[00:08:20.662 --> 00:08:25.144]  Because the name of the assassination unit is the Joint Special Operations Command.
[00:08:26.084 --> 00:08:28.625]  And its nickname is the Delta Force.
[00:08:30.046 --> 00:08:36.669]  And in Congressional testimony, it was declassified that Delta Force was there, quote, pulling triggers
[00:08:37.825 --> 00:08:53.128]  And they're the folks that went in with infantry maneuvers in the church records vault at Waco, where the 30-something women and children were huddling, and placed a plastic shape charge on the top of the building, killing all inside.
[00:08:53.148 --> 00:08:56.008]  And of course, machine-gunning men as they tried to run out the back.
[00:08:56.028 --> 00:08:57.248]  We have the flare footage of this.
[00:08:58.088 --> 00:09:06.930]  And it's public knowledge, but you won't see it on the nightly news, though they do have documentaries that are on places like HBO, Waco, The Rules of Engagement, and others.
[00:09:08.427 --> 00:09:09.768]  The Flair Project and others.
[00:09:10.468 --> 00:09:12.270]  One of them nominated for an Academy Award.
[00:09:13.150 --> 00:09:27.160]  But the issue here is that Cheney certainly expanded their role and did operate outside the purview of the Congress and the military itself.
[00:09:28.381 --> 00:09:35.886]  But Obama's actually now expanded the use over and above what Cheney was engaged in.
[00:09:35.966 --> 00:09:37.687]  So we'll talk about that.
[00:09:39.056 --> 00:10:05.412]  Also, we've written articles over the years at Infowars.com and PrisonPlanet.com from Pentagon press releases and leaked Pentagon documents, but much of it is just completely public, about the fact that every major city has a high-altitude blimp over it that can stay up for as much as a decade
[00:10:06.661 --> 00:10:10.102]  And it is powered off of solar energy.
[00:10:11.002 --> 00:10:12.902]  And they have ground-penetrating radar on them.
[00:10:12.922 --> 00:10:14.103]  They look right through your walls.
[00:10:14.703 --> 00:10:16.203]  It's like x-ray vision, basically.
[00:10:16.803 --> 00:10:19.704]  They have face-scanning cameras on them.
[00:10:20.284 --> 00:10:22.364]  And everyone is being tracked in real time.
[00:10:22.404 --> 00:10:24.545]  I mean, that's a... Pentagon brags about that.
[00:10:25.385 --> 00:10:27.065]  It's totally evil, totally wicked.
[00:10:28.286 --> 00:10:29.746]  But this is the slave grid.
[00:10:31.086 --> 00:10:34.407]  They use blimps because they're much more inexpensive than satellites.
[00:10:36.217 --> 00:10:39.359]  They can carry much larger payloads and satellites.
[00:10:39.379 --> 00:10:40.600]  They can stay up much longer.
[00:10:42.301 --> 00:10:45.543]  And this weekend, there was another article on this.
[00:10:46.023 --> 00:10:51.206]  And when I go on national radio shows, they make fun of me and they say, are the blimps going to get us?
[00:10:51.286 --> 00:10:58.350]  And I just say, well, if you go to Infowars.com or PrisonPlanet.com or if you see my film, Martial Law, where we cover some of the blimps,
[00:10:59.603 --> 00:11:26.641]  We just show you official government documents saying they're doing this and even like the Army Times and Air Force Times and things like that but now since they're operational and over the entire country they're now declaring them classified again and so Larry King Live and Fox News not just CNN I've actually done radio shows on this last month when we simulcast at PrisonPlanet.tv
[00:11:28.402 --> 00:11:29.763]  So I can, you know, show the video.
[00:11:30.303 --> 00:11:32.685]  They show it and say it's a giant flying saucer.
[00:11:34.686 --> 00:11:42.111]  And all it is is a blimp with the Ford fins on the back, with the blisters of surveillance equipment, and with the solar panels.
[00:11:43.792 --> 00:11:47.414]  And then I'm the weirdo, because I'm saying it's not aliens, it's blimps.
[00:11:47.434 --> 00:11:51.817]  I mean, it's like asking a five-year-old, what's that?
[00:11:51.917 --> 00:11:52.798]  Oh, it's a school bus.
[00:11:53.271 --> 00:11:54.532]  And I go, yeah, it's a school bus.
[00:11:54.552 --> 00:11:57.053]  And the government says, no, it's a giant banana.
[00:11:57.433 --> 00:12:02.736]  And then I'm the weirdo for saying it's a school bus, and they're normal for saying a school bus is a banana.
[00:12:03.497 --> 00:12:04.978]  See, I'm the conspiracy theorist.
[00:12:06.539 --> 00:12:08.099]  This is just one of thousands of things.
[00:12:08.139 --> 00:12:18.205]  It's very painful, folks, that I will list this right now, and I will list this latest mainstream news article, and people will just say, nope, doesn't exist, you're a liar.
[00:12:18.225 --> 00:12:21.527]  And they will write mainstream news articles saying I'm insane.
[00:12:21.767 --> 00:12:23.028]  In fact, I googled my name.
[00:12:23.692 --> 00:12:30.996]  Last night and I found about 30 plus mainstream news articles just suddenly attacking me and they say I'm insane.
[00:12:31.036 --> 00:12:32.236]  There's no North American Union.
[00:12:32.276 --> 00:12:33.457]  There's no new world order.
[00:12:35.138 --> 00:12:36.798]  Just well, I mean, here's the L.A.
[00:12:36.838 --> 00:12:37.119]  Times.
[00:12:37.279 --> 00:12:39.320]  OK, here it is right here.
[00:12:39.700 --> 00:12:40.920]  You can just Google this right now.
[00:12:40.980 --> 00:12:42.321]  It's it's a major paper.
[00:12:42.361 --> 00:12:43.742]  It's a city called Los Angeles.
[00:12:43.822 --> 00:12:44.662]  It does exist.
[00:12:45.122 --> 00:12:46.163]  It's on the West Coast.
[00:12:47.586 --> 00:12:49.907]  It was a Spanish mission before the United States got it.
[00:12:50.007 --> 00:12:50.968]  I assure you L.A.
[00:12:51.028 --> 00:12:51.468]  exists.
[00:12:52.008 --> 00:12:53.089]  I assure you the L.A.
[00:12:53.129 --> 00:12:53.889]  Times exists.
[00:12:54.269 --> 00:12:56.010]  I assure you this article is real.
[00:12:56.150 --> 00:13:01.932]  I know you're going to say it doesn't exist because then you'd have to wake up to what's happening, but nevertheless I'm going to try again.
[00:13:03.733 --> 00:13:06.154]  Pentagon plans blimp the spy from New Heights.
[00:13:06.594 --> 00:13:14.618]  The only reason this story is a bunch of baloney is these have been up for experimentally for about 15 years in declassified government documents.
[00:13:15.679 --> 00:13:17.600]  And for seven years all over the country.
[00:13:20.061 --> 00:13:21.022]  Now again, this is the headline.
[00:13:21.062 --> 00:13:23.043]  Pentagon planes blimp to spy from new heights.
[00:13:23.503 --> 00:13:26.484]  Reporting from Washington, this is by Julia E. Barnes.
[00:13:26.524 --> 00:13:27.805]  I assure you she exists.
[00:13:32.387 --> 00:13:33.767]  He exists, Julia E. Barnes.
[00:13:34.208 --> 00:13:41.531]  The Pentagon said Thursday that it intends to send $400 million to develop a giant dirigible that will float 65,000 feet.
[00:13:41.571 --> 00:13:41.911]  It's actually 95,100.
[00:13:44.674 --> 00:13:52.278]  Above the Earth for 10 years providing unblinking and intricate radar surveillance of the vehicles, planes, and even people below.
[00:13:52.298 --> 00:13:59.982]  Now if you want to learn more about this, just Google Homeland Security, but you'll see MSNBC, AP, Reuters.
[00:14:00.383 --> 00:14:07.046]  If you click News, if you click Web, you'll see Infowars.com, PrisonPlanet.com, but then we have Senate testimony clips.
[00:14:07.427 --> 00:14:10.388]  I assure you there is a Senate in the District of Columbia.
[00:14:10.428 --> 00:14:11.569]  There is a place called DC.
[00:14:12.273 --> 00:14:14.054]  I assure you there's a thing called C-SPAN.
[00:14:14.114 --> 00:14:19.076]  I assure you there are these videos of Congress seven years ago admitting it's face scanning you.
[00:14:20.057 --> 00:14:22.798]  I will assure you Washington, D.C.
[00:14:22.938 --> 00:14:23.358]  exists.
[00:14:23.418 --> 00:14:28.021]  I know it's radical, but just Google Homeland Security blimps.
[00:14:30.502 --> 00:14:32.083]  I'm not even being sarcastic, guys.
[00:14:32.103 --> 00:14:33.323]  You know, the guys in control room are laughing.
[00:14:33.363 --> 00:14:33.963]  I'm serious.
[00:14:34.224 --> 00:14:36.805]  I mean, if they told the public the planet didn't exist, they'd believe it.
[00:14:36.845 --> 00:14:39.266]  If they told them the sun was a light bulb, they'd believe it.
[00:14:40.140 --> 00:14:42.221]  Because they want to feel like they're part of the establishment.
[00:14:42.581 --> 00:14:44.742]  They love being robbed by the Madoffs that run America.
[00:14:46.062 --> 00:14:47.443]  They'll say Madoff doesn't exist.
[00:14:47.703 --> 00:14:48.543]  Maybe that's a conspiracy.
[00:14:51.084 --> 00:14:51.765]  It goes on.
[00:14:52.045 --> 00:14:53.705]  It's absolutely revolutionary.
[00:14:53.905 --> 00:14:57.647]  Chief Scientist for the Air Force said of the proposed unmanned airship, oh really?
[00:14:58.387 --> 00:15:04.750]  Alexander Haig actually owned the company that sold the project 18 years ago to the Pentagon.
[00:15:05.150 --> 00:15:07.971]  Just Google Alexander Haig proposes
[00:15:09.597 --> 00:15:10.638]  Surveillance blimps.
[00:15:12.799 --> 00:15:13.979]  General Alexander Haig.
[00:15:14.460 --> 00:15:16.421]  I know, he doesn't exist either, I understand.
[00:15:16.441 --> 00:15:20.623]  You know, the thing is, I'm informed, so I'm weird.
[00:15:21.563 --> 00:15:21.784]  See?
[00:15:22.284 --> 00:15:27.287]  I'm not a thumb-sucking, knuckle-dragging, cowardly, stupid person going along with the New World Order.
[00:15:27.307 --> 00:15:30.428]  That's why we predict and lay out everything as it happens, years before.
[00:15:32.729 --> 00:15:35.191]  But again, it will, it says, attract you on the ground.
[00:15:38.447 --> 00:15:42.751]  It's an absolutely revolutionary, Werner A.J.
[00:15:43.711 --> 00:15:52.258]  Dam, Chief Scientist of the Air Force, said of the proposed unmanned airship, describing it as a cross between a satellite and a spy plane.
[00:15:53.199 --> 00:15:58.023]  For you, the slaves, the 450-foot-long craft would give the U.S.
[00:15:58.063 --> 00:16:04.869]  military a better understanding of an adversary's movements, habits, and tactics, officials said, and the ability to constantly monitor small movements
[00:16:05.219 --> 00:16:05.999]  In a wide area.
[00:16:06.480 --> 00:16:09.981]  The Afghanistan border, for example, would dramatically improve military intelligence.
[00:16:10.001 --> 00:16:12.562]  So, they're just now introducing this to the slaves.
[00:16:14.043 --> 00:16:18.965]  The issue here is... Well, I'll tell you more about the blimp when we get back, but I've got all this other stuff.
[00:16:19.225 --> 00:16:27.708]  I'll tell you about the Delta Force, the federal government's hit squads who murder whoever they want, whenever they want, and I've caught them trying to pay off and paying off local officials in Texas.
[00:16:28.369 --> 00:16:28.929]  Stay with us.
[00:16:33.214 --> 00:16:35.075]  Heart disease is on the rise.
[00:16:35.215 --> 00:16:41.897]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:16:42.177 --> 00:16:50.340]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:16:50.580 --> 00:16:56.282]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:16:56.462 --> 00:16:58.244]  My blood pressure has normalized.
[00:16:58.304 --> 00:17:00.466]  My diabetes has totally improved.
[00:17:00.586 --> 00:17:04.850]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:05.030 --> 00:17:07.132]  I recommend Heart and Body Extract to everyone.
[00:17:07.232 --> 00:17:15.020]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:15.180 --> 00:17:17.722]  Order your two month supply today by calling 866-295-5305.
[00:17:17.762 --> 00:17:18.263]  That's 866-295-5305.
[00:17:18.483 --> 00:17:19.884]  Or order online at hbextract.com.
[00:17:19.924 --> 00:17:22.607]  Heart and Body Extract 866-295-5305 or hbextract.com.
[00:17:33.180 --> 00:17:37.444]  Hello, this is Peter Kronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[00:17:37.764 --> 00:17:49.674]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[00:17:50.115 --> 00:17:55.139]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[00:17:55.700 --> 00:17:57.161]  It's purchase of gold and silver.
[00:17:57.681 --> 00:18:03.668]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[00:18:04.346 --> 00:18:08.128]  It's up to you to design your survival plan, one based on gold and silver.
[00:18:08.668 --> 00:18:09.388]  Give me a call.
[00:18:09.448 --> 00:18:13.810]  I'm Peter Kronschnabel at 800-686-2237, extension 108.
[00:18:13.910 --> 00:18:17.572]  And allow me to outline an easy answer to your questions.
[00:18:18.212 --> 00:18:19.813]  That's Peter Kronschnabel at 1-800-686-2237, extension 108.
[00:18:19.853 --> 00:18:22.674]  Call Peter at 1-800-686-2237, extension 108, where you can still purchase gold with paper.
[00:18:32.685 --> 00:18:36.650]  Do you suffer from aches and pains in your knees, arms, wrists or elbows?
[00:18:36.991 --> 00:18:40.295]  Is it difficult to get out of bed in the morning because of joint stiffness?
[00:18:40.636 --> 00:18:44.020]  Have you been looking for a safe, natural alternative to help ease your pain?
[00:18:44.461 --> 00:18:46.744]  If so, you need to visit solartherm.ca
[00:18:47.685 --> 00:18:56.958]  Solar Therm, the pain care you wear, is a patented ceramic fiber support technology that holds in and reflects your own body heat, soothing those sore areas.
[00:18:57.259 --> 00:19:03.788]  Solar Therm is extremely light and comfortable to wear and increases blood flow to the affected areas without the use of toxic chemicals.
[00:19:04.128 --> 00:19:09.772]  Imagine being able to finally relieve the aches and pains in your elbows, knees, wrist, back, and more.
[00:19:09.952 --> 00:19:12.594]  So forget about messy creams that have an unpleasant smell.
[00:19:12.874 --> 00:19:15.075]  Try Solar Therm, the pain care you wear.
[00:19:15.296 --> 00:19:16.276]  Call them today at 1-877-747-6664.
[00:19:16.316 --> 00:19:16.637]  That's 1-877-747-6664.
[00:19:16.717 --> 00:19:18.718]  Or visit them online at solartherm.ca.
[00:19:18.738 --> 00:19:20.419]  That's solar, T-H-E-R-M, solartherm.ca.
[00:19:32.547 --> 00:19:34.889]  What will you do when the economy collapses?
[00:19:35.070 --> 00:19:37.852]  Store shelves are empty and your stored food is gone.
[00:19:38.032 --> 00:19:39.714]  How will you feed your family?
[00:19:39.874 --> 00:19:47.020]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:19:47.200 --> 00:19:53.186]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:19:54.667 --> 00:19:57.011]  You get over 14,000 seeds for only $49.
[00:19:58.213 --> 00:20:09.891]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more.
[00:20:10.031 --> 00:20:14.154]  This is one of the finest, most affordable seed offers that is on the market today.
[00:20:14.274 --> 00:20:18.898]  Variety in your garden means a diverse and healthy diet for your family year-round.
[00:20:19.018 --> 00:20:21.220]  So go to GetSeeds.net or call 1-877-394-6657.
[00:20:21.240 --> 00:20:22.341]  Supplies are limited, so order today.
[00:20:22.401 --> 00:20:23.361]  That's GetSeeds.net or 1-877-394-6657.
[00:20:34.989 --> 00:20:43.492]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:20:44.192 --> 00:20:49.554]  Mama told me when I was young, who sat beside me, my only son.
[00:20:58.158 --> 00:21:11.589]  It is the 15th day of March 2009, the official release date of my new film, The Obama Deception, the obamadeception.net, or infowars.com, and I'll tell you some new developments on that front, very important information coming up.
[00:21:11.629 --> 00:21:17.353]  Look, I'm not going to spend all day on this LA Times article, Pentagon Plans to Build Spy Blimp from New Heights.
[00:21:17.814 --> 00:21:26.240]  If you want to prove to yourself this article is a spin story, just Google Homeland Security blimps, and you can pull up all the mainstream articles from 7 years ago, 10 years ago,
[00:21:28.857 --> 00:21:33.919]  Even back before that, where they're already in place over the United States, tracking everything you do.
[00:21:36.500 --> 00:21:37.760]  So I'm done talking about that.
[00:21:37.820 --> 00:21:39.240]  Here's some of the other news I've got.
[00:21:40.401 --> 00:21:47.303]  The Treaty of the Sea, they've been trying to pass it for two decades.
[00:21:47.383 --> 00:21:53.145]  It basically hands over control of the world's oceans to the United Nations and the private banks that use it as their governmental front.
[00:21:54.082 --> 00:22:01.444]  And Fox News, of course, is telling us in this article how great it is, titled, uh, Senate Moves Towards Ratification of the U.N.'
[00:22:01.424 --> 00:22:02.604]  's Law of the Sea Treaty.
[00:22:03.364 --> 00:22:04.984]  And it just goes on to break all that down.
[00:22:05.305 --> 00:22:07.565]  Here's another one from Wired Magazine.
[00:22:08.505 --> 00:22:09.866]  Now treaties are secret.
[00:22:10.326 --> 00:22:16.507]  Obama administration declares proposed IP treaty a national security secret.
[00:22:17.307 --> 00:22:30.174]  President Barack Obama came into office in January promising a new era of openness, but now, like Bush before him, Obama is playing the national security card to hide details of the controversial anti-counterfeiting trade agreement being negotiated across the globe.
[00:22:30.654 --> 00:22:44.661]  The White House this week declared, and there's a link to the PDF, the text of the proposed treaty, a classified national security secret and rejecting a Freedom of Information Act request by Knowledge Ecology International.
[00:22:45.276 --> 00:22:55.944]  Please be advised, the document you seek are being withheld in full, wrote Cameron Brudini, Chief Foyer Officer of the White House Office of U.S.
[00:22:55.964 --> 00:22:56.724]  Trade Representatives.
[00:22:57.385 --> 00:23:05.651]  If ratified, leaked documents posted on WikiLeaks and other comments suggesting a proposed trade accord would criminalize peer-to-peer file sharing, period.
[00:23:06.311 --> 00:23:06.792]  Period.
[00:23:06.812 --> 00:23:08.413]  Doesn't matter if it's legal.
[00:23:09.031 --> 00:23:16.896]  Subjects iPods to broader searches and allows internet service providers to monitor their customers' communications without warrants.
[00:23:19.098 --> 00:23:22.140]  Just off the charts, that story right there.
[00:23:22.180 --> 00:23:25.802]  Just legalizing the complete end of the Fourth Amendment through global government treaties.
[00:23:27.443 --> 00:23:28.824]  Here's another one from CNN.
[00:23:29.345 --> 00:23:34.308]  Obama regime considering making veterans pay for treatment of service-related injuries
[00:23:34.969 --> 00:23:36.230]  With private insurers.
[00:23:36.410 --> 00:23:38.411]  Yes, they're not going to treat the troops.
[00:23:39.552 --> 00:23:40.652]  This is so sick!
[00:23:42.333 --> 00:23:45.235]  They'll still come confiscate our guns of order too anyways, I don't care.
[00:23:45.695 --> 00:23:58.142]  Veterans Affairs Secretary Eric Shinseki confirmed to CNN that the Obama administration is considering a controversial plan to make veterans pay for treatment of service-related injuries with private insurance.
[00:24:00.263 --> 00:24:01.464]  Boy, that's really sick.
[00:24:02.096 --> 00:24:06.880]  And they're saying they're setting that up for the 2010 Veterans Affairs budget being debated now.
[00:24:06.940 --> 00:24:12.004]  You know, they vote for the budget eight, nine months before the new year starts.
[00:24:12.685 --> 00:24:15.367]  So I thought I'd cover that story for you.
[00:24:16.167 --> 00:24:16.808]  Here's another one.
[00:24:16.848 --> 00:24:20.751]  Justice Department investigates Arizona Sheriff for enforcing immigration law.
[00:24:20.851 --> 00:24:21.692]  CNS News.
[00:24:23.379 --> 00:24:24.280]  Cyber News Service.
