[00:00:00.089 --> 00:00:01.010]  Punch it!
[00:01:45.052 --> 00:01:46.632]  All right, I promise to take your phone calls.
[00:01:46.672 --> 00:01:47.393]  Cal just hung up.
[00:01:47.753 --> 00:01:51.135]  Derek, Fred, Dave, John, Leo, David, many others.
[00:01:51.175 --> 00:01:52.436]  In fact, should I go to David first?
[00:01:52.456 --> 00:01:57.759]  He's in Singapore getting reports of what could shape up to be World War III.
[00:01:58.119 --> 00:01:59.319]  By the way, I forgot to get to this.
[00:01:59.339 --> 00:02:03.001]  The Supreme Court ruled yesterday that there is no right to a lawyer.
[00:02:03.022 --> 00:02:04.382]  You can be interrogated without a lawyer.
[00:02:04.983 --> 00:02:07.124]  That's just end of the Bill of Rights.
[00:02:07.504 --> 00:02:10.506]  That's out of Reuters, by the way, and they report it like it's no big deal.
[00:02:11.306 --> 00:02:13.046]  So see, all of this is happening.
[00:02:13.086 --> 00:02:14.647]  We're going into tyranny right now.
[00:02:15.247 --> 00:02:16.807]  Jason Burmess will join us in 30 minutes.
[00:02:17.367 --> 00:02:20.288]  Let's go to David in Singapore.
[00:02:20.328 --> 00:02:21.408]  David, go ahead, you're on the air.
[00:02:23.788 --> 00:02:24.828]  Hey Alex, how you doing?
[00:02:25.208 --> 00:02:25.548]  Good, sir.
[00:02:28.489 --> 00:02:32.290]  I don't really have any insight on anything from this part of the world I'm just passing through right now.
[00:02:32.330 --> 00:02:40.711]  I wanted to talk about conditioning and predictive programming and the revelation of the method
[00:02:47.134 --> 00:03:09.683]  Actually, first off, I've heard you say, I think I heard you say that although you say that you definitely were not aware of it, but do you think it's possible that they might have allowed you to somehow
[00:03:11.267 --> 00:03:23.821]  uh... get not be kicked out of bohemian grove so that you could expose that or something yes i mean i mean i mean it's possible that leprechauns are real
[00:03:24.838 --> 00:03:33.945]  You know, maybe ten thousand years ago somebody saw somebody walk up a little flying saucer that was dressed like a leprechaun and that's where the legends of leprechauns began.
[00:03:34.665 --> 00:03:43.212]  I don't speculate on space aliens and leprechauns because I can't prove one way or the other whether space aliens or leprechauns are real.
[00:03:44.293 --> 00:03:48.956]  All I know is everybody else that's gone into Bohemian Grove has been caught and been arrested.
[00:03:49.496 --> 00:03:50.897]  But of the
[00:03:52.116 --> 00:03:53.637]  It's got to be more than ten reporters.
[00:03:54.117 --> 00:03:59.239]  People Magazine, Vanity Fair, the list goes on and on, local reporters.
[00:04:00.119 --> 00:04:03.761]  They've all been arrested because they try to go into the meeting halls.
[00:04:04.081 --> 00:04:06.082]  It's over a hundred sub-camps.
[00:04:06.442 --> 00:04:07.662]  They're in that gorge.
[00:04:07.703 --> 00:04:09.003]  It's 2,700 acres.
[00:04:09.343 --> 00:04:11.724]  People say, well, why didn't you show the Buddha statue?
[00:04:11.924 --> 00:04:13.365]  You're covering up for the Buddhist.
[00:04:13.765 --> 00:04:15.866]  Or why didn't you show some Catholic statue?
[00:04:16.126 --> 00:04:16.646]  Because it is 2,000
[00:04:18.727 --> 00:04:27.373]  Seven hundred acres of hills and rugged hills were electric, I mean gas-powered golf carts with attendants take them up the hills.
[00:04:27.853 --> 00:04:36.539]  I was only in the gorge and then went up one hill to hide in the woods because I'd been questioned by Secret Service, questioned by Sonoma County Sheriff's deputies.
[00:04:36.559 --> 00:04:39.841]  They're the ones that arrested the Vanity Fair guy last year.
[00:04:39.861 --> 00:04:45.125]  And you know, if you read his description of what's inside, what happened to him, it's the same thing happened to me.
[00:04:45.285 --> 00:04:46.686]  I was just amazingly calm.
[00:04:47.226 --> 00:04:48.307]  So was Mike Hanson.
[00:04:48.887 --> 00:04:52.390]  You know, we kind of put on the Texas charm with them and like, yeah, we're just hillbillies.
[00:04:52.730 --> 00:04:54.531]  You know, we're here with that club from Texas.
[00:04:54.551 --> 00:04:55.132]  How you doing?
[00:04:55.952 --> 00:04:59.114]  And by the grace of God, it was all about the mission.
[00:04:59.134 --> 00:05:03.898]  You know, you get past your fear of being caught and your anxiety by the mission, by the mission.
[00:05:05.316 --> 00:05:07.518]  And we snuck in, we got out.
[00:05:07.758 --> 00:05:09.459]  I believe they didn't know we were in there.
[00:05:09.479 --> 00:05:15.884]  And I've been honest about why I believe that we were left alone.
[00:05:15.904 --> 00:05:27.972]  Because I saw employees laughing at me, and some of the sheriff's deputies were off laughing when the, who I later learned was the sheriff, came up to me and said, I saw you with a spyglass up here.
[00:05:27.992 --> 00:05:30.034]  And I said, yeah, it's in my bag, binoculars.
[00:05:30.754 --> 00:05:31.635]  It was really a camera.
[00:05:31.915 --> 00:05:33.096]  You see when you get shots of the river.
[00:05:33.116 --> 00:05:36.540]  I was dumb and pulled it out because they have hidden cameras.
[00:05:36.560 --> 00:05:39.163]  I saw a guard shack down there with TV screens when I walked past it.
[00:05:39.423 --> 00:05:41.064]  So we were being calm.
[00:05:42.386 --> 00:05:44.488]  But later I learned more about the Grove.
[00:05:44.568 --> 00:05:46.450]  They have a lot of male prostitutes coming there.
[00:05:46.590 --> 00:05:49.273]  And I was 50 pounds lighter then and pretty good looking.
[00:05:51.149 --> 00:05:53.572]  Well I guess I was about 40 pounds lighter than him because I lost a lot of weight.
[00:05:53.592 --> 00:05:59.417]  But the point is that, and Mike's not a bad looking guy, and so the big joke was they thought we were the male prostitutes.
[00:05:59.977 --> 00:06:05.462]  So it's kind of an inglorious reason that we were able to infiltrate.
[00:06:06.023 --> 00:06:08.325]  We were younger and good looking.
[00:06:09.265 --> 00:06:14.589]  Most of these reporters I've seen getting arrested are older or aren't handsome.
[00:06:15.050 --> 00:06:16.251]  And so that was the big joke.
[00:06:16.311 --> 00:06:18.572]  I was being laughed at every time I was seen.
[00:06:18.612 --> 00:06:19.773]  It was a big joke I had.
[00:06:21.294 --> 00:06:27.159]  We went into one camp and had guys come up to us and ask us who we were with and it was kind of getting obvious and they were getting a little paranoid.
[00:06:27.499 --> 00:06:35.585]  So we left and going back in hindsight, the way these men were approaching us and talking to us, these rich CEOs, is they wanted to have a little, you know, roll in the hay.
[00:06:36.426 --> 00:06:37.446]  But that, you know, that
[00:06:38.467 --> 00:06:44.914]  You know, as they say in Spartacus, I like oysters, not snails.
[00:06:45.535 --> 00:06:46.496]  I'm not a snail eater.
[00:06:46.536 --> 00:06:47.938]  I'm not in their camp.
[00:06:48.438 --> 00:06:53.704]  So if you really want to know what was going on there, that is probably what happened.
[00:06:53.724 --> 00:06:55.286]  That's my inglorious reason.
[00:06:55.887 --> 00:06:57.428]  And plus, God is with us.
[00:06:58.329 --> 00:07:02.172]  You know, people like to joke around and say, the force is with us, but when God is with you, who can be against you?
[00:07:02.453 --> 00:07:06.616]  I believe in providence, and I did say a prayer, God, let me get in here, let me find out the truth.
[00:07:06.936 --> 00:07:10.379]  If there isn't a ritual going on, or if it isn't serious, I'll come out and report it.
[00:07:10.760 --> 00:07:12.061]  And I went in and reported it.
[00:07:12.761 --> 00:07:23.210]  And so I agree with what our guest was saying yesterday about the elites rationalize to themselves that so what, it's revelation of the method, this stuff's going to come out anyway, so so what if I'm exposing it?
[00:07:23.670 --> 00:07:29.374]  But I've gotten death threats and been beat up and other things, and so I know they don't like it, you know, that much.
[00:07:29.874 --> 00:07:37.459]  But I've had more problems, say, when I'm exposing a federal judge, like Walter E. Smith, pointing out he was having a fraudulent civil trial.
[00:07:37.939 --> 00:07:43.643]  He was being basically sued for the criminal trial, and then there he was, the head of the civil trial.
[00:07:43.723 --> 00:07:44.784]  I said, what a fraud!
[00:07:44.804 --> 00:07:52.689]  You know, the Davidians were found not guilty of murder, but then they were found guilty of using weapons in the commission of a murder.
[00:07:53.772 --> 00:07:55.634]  And that was a mandatory federal sentencing.
[00:07:55.654 --> 00:07:57.255]  He put him there for 47 years apiece.
[00:07:58.636 --> 00:08:00.157]  And so I was bullhorning the judge.
[00:08:00.217 --> 00:08:01.498]  I was making a big deal in the news.
[00:08:02.319 --> 00:08:04.000]  And I got beat up for it pretty bad.
[00:08:05.041 --> 00:08:06.262]  And my dad told me that growing up.
[00:08:06.282 --> 00:08:07.823]  He said, you've got to watch the little thugs.
[00:08:07.843 --> 00:08:10.105]  You've got to watch the little local boss hogs.
[00:08:10.886 --> 00:08:11.606]  And that's true.
[00:08:11.646 --> 00:08:12.927]  They're the ones that are scared of you.
[00:08:13.428 --> 00:08:17.191]  See, because I can take on Hays County and probably get a lot of them in jail.
[00:08:17.491 --> 00:08:18.232]  So they're dangerous.
[00:08:18.732 --> 00:08:20.615]  I can take on Travis County and Austin.
[00:08:20.855 --> 00:08:24.039]  That's why in my own backyard I don't mess with the locals too much.
[00:08:24.339 --> 00:08:30.627]  I still expose them and things but I'm not out charging in to mess with the locals because they're the type that will give you cement shoes.
[00:08:31.328 --> 00:08:32.029]  Does that make sense?
[00:08:33.551 --> 00:08:33.751]  Right.
[00:08:34.213 --> 00:08:52.026]  Let me ask you, I heard you mention it back during the flu thing, that there was an episode of Alec Baldwin's show that came out in January entitled Flu Shot that was all about flu shots and you know, making you think you needed to get one and all this stuff.
[00:08:52.427 --> 00:09:03.495]  You recently had posted the old Archie Bunker from 72 talking about gun control and all this conditioning and predictive programming coming out in shows and movies.
[00:09:04.409 --> 00:09:08.379]  How do you think they insert so many things like that into shows?
[00:09:14.423 --> 00:09:16.264]  Without it, you know, people know.
[00:09:16.284 --> 00:09:22.889]  Well, I mean, especially back in the 70s and 80s, there might have been a hundred major or less TV producers.
[00:09:22.949 --> 00:09:28.012]  I mean, each producer would, you know, have like 20, 30 shows in their 20, 30 years in the business.
[00:09:28.493 --> 00:09:32.235]  And they had a handful of writers they use, and they have a worldview.
[00:09:32.255 --> 00:09:37.659]  And the CIA admits, going back to the 30s, when they were OSS, they were there planning stories.
[00:09:37.699 --> 00:09:42.603]  And I've had the Lone Gunman star, Dean Hagelin on, saying the CIA planted stories on them.
[00:09:43.547 --> 00:09:47.150]  Planted the fly hijack jets in the World Trade Center.
[00:09:47.230 --> 00:09:49.372]  Use a government drill to make NORAD stand down.
[00:09:49.612 --> 00:09:50.573]  The government's going to do it.
[00:09:50.593 --> 00:09:52.335]  They're going to use an anti-terror drill as the cover.
[00:09:52.575 --> 00:09:53.996]  That's how they really launch attacks.
[00:09:54.016 --> 00:09:55.958]  7-7, 9-11, 1993 World Trade Center bombing.
[00:10:00.182 --> 00:10:02.363]  But they don't have total control or total dominance.
[00:10:02.563 --> 00:10:03.524]  I know I'm good.
[00:10:04.104 --> 00:10:05.225]  I know I'm for real.
[00:10:05.585 --> 00:10:06.986]  I know I'm affecting change.
[00:10:07.346 --> 00:10:09.367]  And you know, as a lone wolf, you're good.
[00:10:09.667 --> 00:10:11.688]  And so you need to become a leader and take action.
[00:10:11.989 --> 00:10:14.970]  And in that, you know that you're having an effect.
[00:10:15.010 --> 00:10:24.036]  And then, as we wake up the elite, and as we wake up the middle class, as we wake up, and as we become the dominant force in society, we have to be ready for victory as well.
[00:10:25.056 --> 00:10:26.237]  People think we can't have victory.
[00:10:26.257 --> 00:10:28.819]  They think if we ever have success, it must be staged.
[00:10:29.259 --> 00:10:34.763]  The truth is the elite want to make you think everything's staged and we have no power, because they know how much power we really got.
[00:10:35.483 --> 00:10:37.124]  I mean, I appreciate your call, sir.
[00:10:37.144 --> 00:10:39.806]  I'm not exactly sure where you're going, but it brought up some interesting points.
[00:10:40.666 --> 00:10:41.707]  Let's go to another caller here.
[00:10:41.747 --> 00:10:43.608]  Let's talk to Derek in Texas.
[00:10:43.648 --> 00:10:44.409]  Derek, you're on the air.
[00:10:44.449 --> 00:10:44.769]  Welcome.
[00:10:45.570 --> 00:10:46.110]  Hey, Alex.
[00:10:46.150 --> 00:10:46.530]  Thank you.
[00:10:46.570 --> 00:10:47.391]  Thanks for taking my call.
[00:10:48.425 --> 00:10:56.871]  I'm obligated to plug northtexas911truth.com because they're having a great event and they've invited me to speak.
[00:10:56.891 --> 00:11:03.636]  I know one of the members, he knows that I'm a registered engineer and he wants me to come talk to the press.
[00:11:04.531 --> 00:11:12.157]  And answer some questions and give a presentation on what I think would be a reasonable solution to getting to the bottom of 9-11.
[00:11:12.237 --> 00:11:16.500]  Good, so you know you're a good person, so you're taking action, getting on the road.
[00:11:16.520 --> 00:11:20.083]  You know, the road to victory against tyranny isn't open forever.
[00:11:20.463 --> 00:11:27.388]  Everybody's got to take that road, get off the road of slavery we're on, off the road of apathy, and get on the road of liberty and freedom.
[00:11:28.931 --> 00:11:38.455]  Yeah, exactly, and I've had other engineers call me a nutjob in the whole nine yards, and then they'll come back a year later and say, doggone it, you know, you were right, this is just too much.
[00:11:38.795 --> 00:11:41.876]  Exactly, tell me more about it on the other side, then I'm going to go to everybody else here.
[00:11:41.896 --> 00:11:44.277]  And then about 40 after, Burmese is going to pop in.
[00:11:44.577 --> 00:11:47.798]  He walked in and said, did you see the Supreme Court said no more lawyers?
[00:11:47.818 --> 00:11:52.180]  And I said, yeah, I saw that last night, it's in my stack.
[00:11:53.479 --> 00:11:54.420]  I mean, that's my point.
[00:11:54.460 --> 00:11:55.500]  I've got stacks of news here.
[00:11:55.520 --> 00:11:56.301]  I've got to go over it all.
[00:11:56.861 --> 00:11:58.262]  It's all just coming in too fast.
[00:11:58.822 --> 00:11:59.442]  We'll be right back.
[00:11:59.502 --> 00:12:00.183]  I'm Alex Jones.
[00:12:00.203 --> 00:12:02.484]  This is the one and the only DCN Radio Network.
[00:12:03.585 --> 00:12:05.546]  Are you wondering about your retirement portfolio?
[00:12:05.926 --> 00:12:11.889]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:12:12.170 --> 00:12:16.072]  Stop guessing and go to the expert, Robert Chapman of the International Forecaster.
[00:12:16.292 --> 00:12:23.136]  When you subscribe to the International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:12:23.456 --> 00:12:28.998]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:12:29.358 --> 00:12:35.960]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at theinternationalforecaster.com or call 877-479-8178.
[00:12:40.265 --> 00:12:43.986]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:13:08.542 --> 00:13:13.906]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:13:14.427 --> 00:13:20.631]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:20.951 --> 00:13:22.753]  Well, Obama's already fudging.
[00:13:22.913 --> 00:13:25.295]  He's fudged since day one of this election.
[00:13:25.375 --> 00:13:36.243]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:13:38.547 --> 00:13:39.808]  It's not about left or right.
[00:13:40.209 --> 00:13:41.610]  It's about a one world government.
[00:13:42.071 --> 00:13:48.418]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:48.978 --> 00:13:56.766]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:57.247 --> 00:13:58.408]  The Obama Deception.
[00:13:58.829 --> 00:14:00.010]  The people strike back.
[00:14:01.752 --> 00:14:04.135]  Are you concerned for the safety of your loved ones?
[00:14:04.435 --> 00:14:07.599]  Listen closely to this message from Pepperspray.com.
[00:14:08.059 --> 00:14:15.328]  Every 22 seconds a violent crime is committed, America has changed, and your personal safety is your first priority.
[00:14:15.648 --> 00:14:16.269]  Be smart.
[00:14:16.449 --> 00:14:17.050]  Be safe.
[00:14:17.409 --> 00:14:19.751]  Trust Pepper Spray instead of your luck.
[00:14:20.011 --> 00:14:26.276]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:14:26.576 --> 00:14:32.361]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:14:32.581 --> 00:14:35.023]  From big to small, we have it all.
[00:14:35.263 --> 00:14:39.026]  Pepper Spray, mace, animal repellents, stun guns, and tasers.
[00:14:39.286 --> 00:14:45.691]  Pepperspray.com also carries a large assortment of products for personal, home, child and pet safety.
[00:14:46.011 --> 00:14:50.615]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:14:50.915 --> 00:14:52.316]  So what are you waiting for?
[00:14:52.576 --> 00:14:54.338]  Go to Pepperspray.com.
[00:14:54.518 --> 00:14:57.520]  That's Pepperspray.com or call 1-800-908-9988 today!
[00:15:01.563 --> 00:15:03.744]  This is Alex Jones for American Tax Settlement.
[00:15:03.904 --> 00:15:13.030]  We have received news that the IRS is currently accepting reduced settlements on back taxes and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:15:13.410 --> 00:15:21.254]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:15:21.434 --> 00:15:27.358]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:15:28.238 --> 00:15:28.798]  We're good to go.
[00:15:49.806 --> 00:15:53.952]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:15:53.972 --> 00:15:54.233]  That's 1-800-506-5904.
[00:15:54.253 --> 00:15:54.513]  Call today!
[00:16:38.280 --> 00:16:39.720]  John, who was it I was just talking to?
[00:16:39.740 --> 00:16:42.881]  That's what I thought.
[00:16:42.921 --> 00:16:50.843]  Okay, Derek in Texas, you're going up to, as an architect or an engineer, you're going up to give a presentation.
[00:16:50.863 --> 00:16:51.763]  What else were you going to add?
[00:16:53.143 --> 00:16:59.065]  Well, just the central part of my presentation is to demand for the plans, especially WTC7.
[00:16:59.205 --> 00:17:05.466]  I know there were some early plans for WTC1 and 2 that were released, but those weren't final plans.
[00:17:05.970 --> 00:17:07.470]  Signed and stamped by an engineer.
[00:17:07.550 --> 00:17:12.892]  Those were preliminary plans which left a lot of critical dimensions unspecific at that time.
[00:17:13.152 --> 00:17:19.693]  Also, they're being very secretive about building 7's plans after FEMA took it over and built the command bunker within it.
[00:17:19.913 --> 00:17:22.014]  That was a spook house they blew up that day.
[00:17:23.354 --> 00:17:23.974]  Oh yeah, yeah.
[00:17:24.034 --> 00:17:25.915]  It was loaded with all kinds of stuff.
[00:17:25.955 --> 00:17:27.475]  Laundry list of stuff.
[00:17:27.695 --> 00:17:31.856]  Department of Defense, NSA, FBI, CIA, IRS.
[00:17:32.176 --> 00:17:32.957]  The whole thing.
[00:17:33.057 --> 00:17:34.657]  Giant spook command base.
[00:17:35.905 --> 00:17:36.626]  Yeah, that's right.
[00:17:36.646 --> 00:17:38.167]  Well, let me get to this event.
[00:17:38.267 --> 00:17:39.929]  It is going to be in Plano, Texas.
[00:17:40.209 --> 00:17:45.393]  It's Saturday, July 11th, and it's going to be at a campus.
[00:17:45.413 --> 00:17:48.636]  You can get more information at northtexas911truth.com.
[00:17:48.956 --> 00:17:51.939]  I'm going to open up the point of finite element analysis.
[00:17:53.856 --> 00:18:11.406]  With the plans or without the plans, we can still recreate the situation and kind of highlight the unviability of a free-fall collapse, symmetrical, gravity-driven collapse that pulverized up and let molten metal sit for six weeks or so.
[00:18:11.426 --> 00:18:11.806]  It's ridiculous.
[00:18:11.866 --> 00:18:12.427]  Absolutely.
[00:18:12.467 --> 00:18:13.367]  I've got to jump, man.
[00:18:13.387 --> 00:18:14.448]  Good to hear from you, Derek.
[00:18:14.928 --> 00:18:16.709]  Fred in Philly, you're on the air.
[00:18:16.769 --> 00:18:17.109]  Welcome.
[00:18:17.830 --> 00:18:17.970]  Hi.
[00:18:17.990 --> 00:18:21.612]  I wanted to talk about the economic cartel.
[00:18:22.855 --> 00:18:37.527]  You have, as Kevin was mentioning, you have the agricultural cartel, you have all the other ones he mentioned, but there's a monetary cartel that has to do with the gold.
[00:18:40.249 --> 00:18:49.077]  We know that the markets are manipulated by the use of planted stories on the sentiment of the traders.
[00:18:51.018 --> 00:18:51.839]  People are told
[00:18:52.304 --> 00:19:00.347]  That there is no reason for panic in a particular event and therefore the price of gold may drift downward.
[00:19:04.008 --> 00:19:19.053]  If no one is participating in these markets except a few powerful people, then that allows for the social psychology to come in and that, in addition to the selling of gold, suppresses the price of gold.
[00:19:19.813 --> 00:19:21.594]  So we have an economic cartel.
[00:19:22.824 --> 00:19:29.306]  And you have a long-term phasing out of the dollar.
[00:19:29.326 --> 00:19:51.051]  My question to you, Alex, is what do you think the reaction of the American people will be when they're told that they're going to have to get out of the dollar, they're going to be phasing in a new currency, and as a result, they're going to be basically governed from abroad?
[00:19:52.403 --> 00:19:58.165]  Well, they're already telling them that in Time Magazine and Newsweek and everywhere else, so that's the process.
[00:19:58.205 --> 00:20:06.368]  But they frame it as this is the solution to the economic crisis, is to accept these international bankers that engineered the crisis, but they're the experts that know how to fix it.
[00:20:06.408 --> 00:20:09.529]  Give them unlimited power over your nation state and they'll fix it.
[00:20:10.049 --> 00:20:12.890]  And then there's several different plans they're debating and pushing.
[00:20:12.930 --> 00:20:18.172]  They always give you a few false choices, but it all comes from the same group, so either way they win.
[00:20:20.061 --> 00:20:22.536]  And, you know, we cover this actually in the Obama deception.
[00:20:23.823 --> 00:20:27.044]  But how they're laying it out is really simple.
[00:20:27.944 --> 00:20:36.586]  They're saying they're going to have a world authority that sets currency rates, sets currency values, that sets interest rates with complete control by this private group.
[00:20:36.606 --> 00:20:45.268]  They're already steering things and bending the world to their will, but they've got to keep control of counties, cities, the feds, the states, the Association of Governors.
[00:20:45.288 --> 00:20:49.649]  I mean, it's quite a balancing act, a juggling act they're doing.
[00:20:49.969 --> 00:20:51.650]  That's why with this new global authority,
[00:20:52.310 --> 00:21:02.540]  For their, quote, administrative convenience, as David Rockefeller has said, a global government for their administrative convenience, this will allow them a lot more control.
[00:21:03.440 --> 00:21:12.409]  And so, at first they're just going to be dictating the regional currencies, so you'll already have a global currency because they're going to be in control of it.
[00:21:12.689 --> 00:21:16.933]  They're going to be in a centralized global level, planning it and setting it all up.
[00:21:18.134 --> 00:21:41.275]  But then they are debating whether to phase it in with different regional currencies, like the Amero, the Euro, the Asian Phoenix and others, and that's even in Money Magazine, or bypass all that completely, and even if you have cash, it'll be digitally marked to your face scan and your thumbprint, and the new global cashless society is the biometric identifier.
[00:21:41.935 --> 00:21:44.097]  And so everybody's kind of worried about global currencies,
[00:21:44.838 --> 00:21:46.679]  That's really a red herring.
[00:21:46.839 --> 00:21:52.081]  They're planning to leapfrog past that to a new global standardized cashless society.
[00:21:52.622 --> 00:21:53.522]  We're on the march.
[00:21:54.022 --> 00:21:55.623]  The empire's on the run.
[00:21:56.544 --> 00:21:59.225]  Alex Jones and the GCN Radio Network.
[00:22:01.943 --> 00:22:03.525]  Hello friends, this is Alex Jones.
[00:22:03.625 --> 00:22:08.312]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:22:08.372 --> 00:22:11.135]  We need to be independent, and food and water is the key.
[00:22:11.336 --> 00:22:14.219]  You'll never have to stand in a bread line if you have your own bread.
[00:22:14.380 --> 00:22:19.106]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:22:19.326 --> 00:22:20.247]  If you simply prepare.
[00:22:20.447 --> 00:22:23.430]  No one is going to take care of your family in the final equation with you.
[00:22:23.690 --> 00:22:30.597]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. Coli, Salmonella, genetic alteration, or Chinese imports.
[00:22:30.717 --> 00:22:33.820]  And they do it at almost half the cost of last year's grocery prices.
[00:22:33.960 --> 00:22:35.842]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:22:39.165 --> 00:22:40.907]  In the New World Order's war against humanity,
[00:23:05.160 --> 00:23:07.281]  Barack Obama is the tip of the spear.
[00:23:07.782 --> 00:23:14.806]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:23:15.370 --> 00:23:21.576]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:21.956 --> 00:23:23.798]  Well, Obama's already fudging.
[00:23:23.938 --> 00:23:26.340]  He's fudged since day one in this election.
[00:23:26.440 --> 00:23:37.390]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:23:38.011 --> 00:23:39.292]  It's not about left or right.
[00:23:39.693 --> 00:23:41.054]  It's about a one-world government.
[00:23:41.528 --> 00:23:47.856]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:23:48.436 --> 00:23:56.246]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:56.706 --> 00:23:57.848]  The Obama Deception.
[00:23:58.288 --> 00:23:59.470]  The people strike back.
[00:24:01.374 --> 00:24:08.339]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:24:08.579 --> 00:24:12.882]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:24:13.122 --> 00:24:18.245]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:24:18.746 --> 00:24:25.850]  Using Plasma pH Drops is one of the best ways to make your water alkaline to help you get rid of acid and regain your health and energy.
[00:24:26.291 --> 00:24:31.174]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[00:24:31.654 --> 00:24:37.098]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[00:24:37.498 --> 00:24:43.002]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[00:24:43.282 --> 00:24:49.026]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:24:49.246 --> 00:24:51.748]  That's A-L-K-A Vision dot com.
[00:24:52.028 --> 00:24:52.749]  Or by calling 269-216-9767.
