[00:00:06.000 --> 00:00:06.441]  Watch me!
[00:02:42.949 --> 00:02:45.709]  I got that thing that tells me what it's all about.
[00:02:46.770 --> 00:02:47.830]  I got soul!
[00:02:49.290 --> 00:02:50.690]  I'm super bad!
[00:02:50.770 --> 00:02:53.431]  That's how it is to be a nation of
[00:02:54.662 --> 00:02:58.484]  Crack whore, drug addict, brain damaged prostitutes.
[00:02:58.504 --> 00:02:59.525]  That's basically what we are.
[00:02:59.545 --> 00:03:17.696]  We're just totally drugged out, cigarette burns all over us, mindlessly gibbering, watching Saturday morning cartoons, laying in a flea bag hotel with stains all over the carpet, and just the lowest of the low Johns of the world lined up for five dollars to have their way with us.
[00:03:18.416 --> 00:03:22.698]  We're just covered with slime and we just watch the TV gibbering and drooling.
[00:03:22.718 --> 00:03:23.838]  We don't have any front teeth.
[00:03:24.479 --> 00:03:28.961]  And the Federal Reserve just comes in with a nightstick if we ever argue and just beats us in the head.
[00:03:29.341 --> 00:03:30.061]  That's who we are.
[00:03:30.741 --> 00:03:38.185]  We're a drugged out prostitute who weighs about 90 pounds with cigarette burns all over with clumps of hair falling out.
[00:03:39.241 --> 00:03:39.902]  A crack whore.
[00:03:39.962 --> 00:03:40.703]  Right on the end.
[00:03:40.743 --> 00:03:41.464]  Right on the edge.
[00:03:41.544 --> 00:03:42.265]  Be dead soon.
[00:03:42.726 --> 00:03:43.987]  Be taken out and thrown in a river.
[00:03:44.007 --> 00:03:45.670]  And nobody in the world will care.
[00:03:45.690 --> 00:03:47.592]  Because after all, we were that crack whore.
[00:03:47.612 --> 00:03:49.094]  We were that arrogant, evil country.
[00:03:50.176 --> 00:03:50.836]  Sucked dry.
[00:03:50.917 --> 00:03:51.718]  Totally imploded.
[00:03:51.738 --> 00:03:55.082]  And I'm sorry to use analogies like that, but that's what we are.
[00:03:55.122 --> 00:03:55.723]  A toothless,
[00:03:56.849 --> 00:03:58.910]  Crack whore with crust all over our eyes.
[00:03:59.450 --> 00:04:08.214]  We were once a beautiful 18-year-old woman who ran away from home, ran away from the church, ran away from goodness.
[00:04:08.934 --> 00:04:10.075]  We were gonna live on the streets.
[00:04:10.095 --> 00:04:11.516]  We were gonna make it big in Hollywood.
[00:04:12.096 --> 00:04:15.057]  And now we're a crack whore with our hair falling out.
[00:04:16.178 --> 00:04:18.679]  We still love the pimp and the drugs he gives us.
[00:04:20.220 --> 00:04:21.160]  We worship the pimp.
[00:04:21.200 --> 00:04:21.820]  We love him.
[00:04:22.240 --> 00:04:23.101]  We kiss his boots.
[00:04:24.431 --> 00:04:25.051]  That's who we are!
[00:04:25.412 --> 00:04:32.136]  We worship the police, we worship the prisons, we worship the sodium fluoride in the water, we worship our kids dying of cancer being injected.
[00:04:33.097 --> 00:04:33.818]  That's who we are.
[00:04:34.578 --> 00:04:35.559]  Can we crawl out?
[00:04:35.979 --> 00:04:37.140]  Can we make it to a hospital?
[00:04:37.180 --> 00:04:38.521]  Could we ever get our soul back?
[00:04:39.682 --> 00:04:40.402]  Probably not.
[00:04:40.462 --> 00:04:41.443]  The brain's too fried.
[00:04:42.784 --> 00:04:44.745]  But see, we're not just one person.
[00:04:44.765 --> 00:04:46.006]  We're not just one crack whore.
[00:04:47.187 --> 00:04:53.792]  This crack whore symbolizes the body politic which those of us that aren't crack whores and slaves still live in.
[00:04:55.043 --> 00:04:58.324]  Then you find out the whole world is a cigarette burn crackhoard!
[00:05:00.384 --> 00:05:04.365]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:05:04.625 --> 00:05:06.405]  Do you really know what's in your tap water?
[00:05:06.626 --> 00:05:14.907]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:05:15.147 --> 00:05:20.349]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:05:20.689 --> 00:05:22.309]  Now what are you going to do about it?
[00:05:22.549 --> 00:05:28.870]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:05:29.070 --> 00:05:39.813]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[00:05:40.113 --> 00:05:40.633]  That's right.
[00:05:40.893 --> 00:05:43.193]  Clean water, right from the air you breathe.
[00:05:43.453 --> 00:05:45.014]  Order today by calling 1-800-691.
[00:05:46.974 --> 00:05:47.435]  Big Brother.
[00:05:47.475 --> 00:05:48.175]  Mainstream Media.
[00:06:10.570 --> 00:06:11.651]  Government cover-ups.
[00:06:12.332 --> 00:06:13.132]  You want answers?
[00:06:13.913 --> 00:06:14.774]  Well, so does he.
[00:06:14.794 --> 00:06:19.198]  He's Alex Jones on the GCN Radio Network.
[00:06:19.658 --> 00:06:23.682]  And now, live from Austin, Texas, Alex Jones.
[00:06:25.133 --> 00:06:26.795]  We are live, my friends.
[00:06:26.815 --> 00:06:28.716]  It is the 15th day on this Monday.
[00:06:29.037 --> 00:06:31.399]  It is Monday, June 15th, 2009.
[00:06:31.499 --> 00:06:42.868]  We've got two hours left spanning out like a vista before us as we go in through and beyond as we talk to one of the most prolific researchers
[00:06:43.889 --> 00:06:50.379]  One of the most prolific minds out there in challenging the established false reality.
[00:06:50.920 --> 00:06:57.630]  He is a great dispenser of hundreds of millions of red pills to humanity.
[00:06:58.616 --> 00:07:05.386]  And he has taken a lot of people very, very deep down the rabbit hole indeed to where we're not in Kansas anymore.
[00:07:05.406 --> 00:07:12.617]  And you can question and debate the perceptions through the rose-colored darkly that David Icke looks through.
[00:07:12.657 --> 00:07:13.438]  But be careful.
[00:07:14.039 --> 00:07:18.101]  That when you're getting the speck out of his eye, you don't get the giant beam out of yours.
[00:07:18.161 --> 00:07:19.342]  It's important to get that beam out.
[00:07:19.562 --> 00:07:28.566]  We all see through different perceptions, but certainly the perception of David Icke has proven to be much more clear than the average man or woman out there.
[00:07:28.586 --> 00:07:29.847]  So it's always great to have David with us.
[00:07:29.867 --> 00:07:32.348]  I have a host of issues I want to talk to him about.
[00:07:32.688 --> 00:07:33.749]  Where are the new world orders going?
[00:07:33.769 --> 00:07:34.489]  What they're doing currently?
[00:07:34.509 --> 00:07:36.930]  Trying to start World War III with Iran.
[00:07:37.230 --> 00:07:38.591]  Trying to start things up over there.
[00:07:39.331 --> 00:07:42.373]  Trying to start things up with North Korea, knowing they're in the middle of a power sharing.
[00:07:43.253 --> 00:07:47.514]  And a power transfer, saying they're going to board their ships, a new Cuban missile crisis.
[00:07:48.254 --> 00:07:50.075]  Again, we're not defending North Korea or Iran.
[00:07:50.115 --> 00:07:54.836]  The point is, it's the bigger globalist evil using a smaller evil to bring in a global distraction.
[00:07:55.476 --> 00:08:07.819]  And the South Ossetia conflict, NATO encircling Russia, Pakistan, all of this today as the world launches into economic collapse, launches into worldwide warfare, as the Rand Corporation has called for.
[00:08:08.459 --> 00:08:15.951]  So, joining us, DavidIke.com is the website, our websites are InfoWars.com and PrisonPlanet.com is the great David Ike.
[00:08:16.252 --> 00:08:17.594]  David Ike, thank you for joining us.
[00:08:17.915 --> 00:08:18.616]  It's a pleasure, Alex.
[00:08:18.816 --> 00:08:19.117]  How are you?
[00:08:20.174 --> 00:08:20.434]  Good.
[00:08:21.075 --> 00:08:25.019]  You heard me run down some of the ideas of things that I think are important right now.
[00:08:25.319 --> 00:08:30.404]  Let's start with suddenly somebody flips a switch and there's world crises.
[00:08:30.444 --> 00:08:31.946]  We're on the edge of nuclear war.
[00:08:32.346 --> 00:08:34.849]  They're saying North Korea is going to nuke.
[00:08:35.009 --> 00:08:36.390]  They're saying they're going to nuke people.
[00:08:36.951 --> 00:08:41.415]  Months ago, you were on the show, three or four months ago, and you said you thought they were gearing up for a world war.
[00:08:43.135 --> 00:08:48.818]  Yeah, well that's where they want to go, because the World Wars have served them very well.
[00:08:49.798 --> 00:08:55.781]  Nothing changes society quicker and more fundamentally and irreversibly than a war.
[00:08:56.401 --> 00:09:06.246]  And so, when you look at the world after World War I, it was a world that was controlled by far fewer people and much more centralization of power than before.
[00:09:07.046 --> 00:09:26.984]  World War II came along, that process took a giant leap forward and we had all these global institutions and the United Nations, the Bretton Woods Agreement, the European Union was justified to a large extent to stopping war in Europe, and so to complete the job, to move into this final global society that they want,
[00:09:28.145 --> 00:09:57.245]  A third world war is what is on the agenda and I don't know if I've mentioned this before but I had a letter from a traffic warden, a guy here in Britain that's supposed to just dispense tickets for people who have broken the parking laws and he contacted me, must be a year or so ago now, and said that he'd been called in and given new cards that he was told to take home and put away till further notice.
[00:09:57.925 --> 00:10:02.829]  One of them was a card that gave him the right to be a traffic warden, that you show for identity, that's fair enough.
[00:10:03.550 --> 00:10:09.274]  The second one was what they call a PACE card, which is the words that a police officer reads when he's arresting someone.
[00:10:10.015 --> 00:10:16.079]  And the third one was a card giving him, a traffic warden, the right to enter property without permission.
[00:10:16.580 --> 00:10:20.062]  And of course he's questioning, what the heck do I need these for?
[00:10:20.102 --> 00:10:22.004]  Well, just go leave them until further notice.
[00:10:22.644 --> 00:10:24.386]  He then meets a friend of his a few days later.
[00:10:25.046 --> 00:10:39.623]  Who's a police officer and he said that this police officer said that he was a man designated in his county and there was someone like him in every county and they were there to prepare for a coming war and that...
[00:10:40.463 --> 00:10:57.252]  The military and the regular police were going to be used to meet what they knew was coming in terms of civil unrest in the streets when that war started and the build-up to that war.
[00:10:57.752 --> 00:11:06.437]  And he said, you people, traffic wardens and private security guards and other such people, are going to be given powers
[00:11:07.197 --> 00:11:13.843]  Uh, that the police normally do, uh, so that you can do those things while we're dealing with the civil unrest as a result of this war.
[00:11:14.503 --> 00:11:28.775]  And very, very shortly after, um, the, uh, traffic warden contacted me, the government changed the name of traffic wardens from traffic wardens to civil enforcement officers, um, uh, and, uh, gave them more powers.
[00:11:28.855 --> 00:11:31.898]  Not all the powers, but more powers that the police normally do.
[00:11:32.518 --> 00:11:34.299]  And then, uh, about six months later,
[00:11:35.120 --> 00:11:51.903]  The government announced a new type of person called accredited persons and these were, wait for it, private security guards and all the kind of people that the policeman had listed who were going to be given the right to stop and question people
[00:11:51.903 --> 00:11:52.563]  All right.
[00:12:09.568 --> 00:12:11.989]  There's not enough of you physically to do it.
[00:12:12.329 --> 00:12:19.131]  So you have to get your target population, or many of the people within it, to police the target population.
[00:12:19.171 --> 00:12:29.635]  You have to get the sheep herd to police each other, so they don't need so many sheepdogs externally, and shepherds externally, that the sheep are doing it for themselves.
[00:12:30.035 --> 00:12:52.505]  And this is what's being built all over the world and this third world war is definitely in the agenda because it's a massive problem which will be in need of a global, because of the global nature of the conflict, a global solution which will be the final move to this structure we've been talking about all these years of world government, world army and all the rest of it.
[00:12:52.525 --> 00:12:53.486]  And of course the world army
[00:12:54.466 --> 00:12:56.548]  Okay, David, I just want to back you up.
[00:12:56.608 --> 00:13:00.890]  Everything David just said, every term he used, I have hundreds of mainstream articles, government documents.
[00:13:00.911 --> 00:13:03.052]  Let me just go over a few of them.
[00:13:03.072 --> 00:13:04.633]  The British Ministry of Defence 10-year report
[00:13:21.775 --> 00:13:45.031]  London Guardian reported on it, but it was declassified, 120 pages, was put out in September of 2007, and said in the coming next few years, the public would rebel against the corrupt government, but that their job was to suppress the public, to bring us into this new world order, and it said they will, even if the British people, they say, try to march on London,
[00:13:45.791 --> 00:13:45.891]  They
[00:14:02.403 --> 00:14:07.725]  The spooks, the paramilitary, the police, the traffic wardens, auxiliary tattletales.
[00:14:08.025 --> 00:14:11.927]  There's now the Trusted Traveler North American Hemispheric card.
[00:14:12.207 --> 00:14:17.829]  And if you have that flying internally, say from Austin to New York, you show that and go through the head of the line.
[00:14:17.849 --> 00:14:23.531]  So they're already making it that if you waive all your rights and take the special card, you get to the head of the line.
[00:14:23.551 --> 00:14:26.012]  Then they're just going to make it mandatory for everybody.
[00:14:26.052 --> 00:14:26.452]  David Icke.
[00:14:27.028 --> 00:14:27.768]  Well, that's what they do.
[00:14:27.928 --> 00:14:36.250]  I mean, they say, oh, this will be voluntary for the people to decide if they want to have it, like identity cards and stuff like that.
[00:14:36.610 --> 00:14:41.131]  But what they then do is make it so difficult to operate in a society without one of them.
[00:14:41.611 --> 00:14:47.952]  And eventually they say, well, look, there's so few people that don't have them now, everyone might as well have them by law and all the rest of it.
[00:14:47.972 --> 00:14:49.112]  These are the techniques they use.
[00:14:49.472 --> 00:14:51.633]  And of course, as we've talked about before on the show,
[00:14:52.413 --> 00:15:07.706]  Bush was the problem part of this presidential handover and Obama's been brought in as the person offering the solutions and of course the solutions are going to be the unfolding agenda and one of his solutions of course is this
[00:15:08.366 --> 00:15:08.647]  I don't
[00:15:23.640 --> 00:15:42.030]  What tyrannies always do and, you know, people have got to decide how long we're going to talk about this before we draw a line in the sand and say, hey, instead of sitting here and watching our prison being built and discussing it and debating it, what the heck are we going to do about it?
[00:15:42.070 --> 00:15:45.811]  Because there's going to come a point where we're going to cross a line where this
[00:15:47.092 --> 00:15:49.715]  The momentum is going to be very difficult to turn back.
[00:15:49.795 --> 00:15:59.626]  It needs a lot of people with a lot of focus and a lot of disconnection of backsides from sofas now before this gets completely and utterly out of hand.
[00:16:01.493 --> 00:16:02.593]  This is Alex Jones.
[00:16:02.873 --> 00:16:04.654]  Have you heard of the Millionaire Patriot?
[00:16:04.874 --> 00:16:05.514]  Well, you should.
[00:16:05.854 --> 00:16:10.096]  He has a free handgun and five days of firearms training waiting for you.
[00:16:10.336 --> 00:16:10.836]  That's right.
[00:16:11.156 --> 00:16:19.599]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:16:19.799 --> 00:16:21.100]  All for pennies on the dollar.
[00:16:21.160 --> 00:16:22.300]  Plus, if you act fast.
[00:16:22.520 --> 00:16:28.144]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:16:28.504 --> 00:16:35.028]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:16:35.388 --> 00:16:40.612]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:16:40.932 --> 00:16:42.053]  This is real.
[00:16:42.373 --> 00:16:43.113]  Don't miss out.
[00:16:43.433 --> 00:16:50.298]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:16:50.478 --> 00:16:55.082]  This is Alex Jones with 5 Good Reasons You Should Consider Buying a Solar Power Generator this Summer!
[00:17:07.794 --> 00:17:10.797]  New climate legislation could easily double or triple your electric bill.
[00:17:11.717 --> 00:17:16.621]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:17:16.922 --> 00:17:17.382]  It's true.
[00:17:17.562 --> 00:17:22.526]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:22.927 --> 00:17:28.371]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:17:29.212 --> 00:17:31.834]  The hurricane and dangerous summer storm season is here again.
[00:17:32.094 --> 00:17:39.838]  Every year, thousands of families lose their power from weather-related outages.
[00:17:40.458 --> 00:17:45.961]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:17:46.181 --> 00:17:50.763]  You can get more information at www.mysolarbackup.com.
[00:17:50.903 --> 00:17:52.444]  That's mysolarbackup.com.
[00:17:52.684 --> 00:17:55.005]  Remember, the government doesn't own the sun yet.
[00:17:55.245 --> 00:17:57.887]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[00:18:01.715 --> 00:18:03.276]  Hello friends, this is Alex Jones.
[00:18:03.416 --> 00:18:08.039]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:18:08.139 --> 00:18:10.901]  We need to be independent, and food and water is the key.
[00:18:11.121 --> 00:18:13.982]  You'll never have to stand in a bread line if you have your own bread.
[00:18:14.163 --> 00:18:20.046]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:18:20.246 --> 00:18:23.228]  No one is going to take care of your family in the final equation but you.
[00:18:23.488 --> 00:18:26.510]  You know efoodsdirect.com is still able to ship storable food that
[00:18:26.510 --> 00:18:30.372]  It's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:18:30.392 --> 00:18:33.594]  And they do it at almost half the cost of last year's grocery prices.
[00:18:33.734 --> 00:18:34.234]  Call 1-800-409-5633.
[00:18:34.654 --> 00:18:38.676]  Or on the web, go to efoodsdirect.com.
[00:18:38.896 --> 00:18:44.959]  Visit efoodsdirect.com and look over the fine list of high quality, pre-strided, and dehydrated foods they have to offer.
[00:18:45.159 --> 00:18:49.001]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:18:49.021 --> 00:18:49.401]  Again, 1-800-409-5633.
[00:18:49.542 --> 00:18:50.882]  Or on the web at efoodsdirect.com.
[00:18:56.505 --> 00:18:57.466]  Take action today.
[00:18:57.626 --> 00:18:59.447]  The first step is getting storable food.
[00:19:01.329 --> 00:19:05.312]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:19:05.572 --> 00:19:07.354]  Do you really know what's in your tap water?
[00:19:07.574 --> 00:19:15.861]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:19:16.101 --> 00:19:21.325]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:19:21.646 --> 00:19:23.267]  Now what are you going to do about it?
[00:19:23.507 --> 00:19:29.852]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:19:30.012 --> 00:19:40.781]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:19:41.081 --> 00:19:41.602]  That's right.
[00:19:41.842 --> 00:19:44.144]  Clean water, right from the air you breathe.
[00:19:44.404 --> 00:19:45.986]  Order today by calling 1-800-691.
[00:19:47.807 --> 00:19:48.267]  I was a highway man.
[00:20:16.677 --> 00:20:26.263]  Got David Icke with us for another hour and 35 minutes.
[00:20:27.864 --> 00:20:29.806]  And what David here is talking about is so important.
[00:20:32.031 --> 00:20:48.188]  When you're in a view kind of above yourself, outside the world, realizing that this is a biological earth suit and that the system knows how to program it with hormones and drugs and war and feedback and sex.
[00:20:48.689 --> 00:20:51.251]  When they use sex to sell Calvin Klein jeans,
[00:20:52.529 --> 00:20:56.851]  They are going at your primitive sexual centers in your lower brain.
[00:20:57.471 --> 00:21:01.373]  And just to get the public to realize they're being bombarded, they're being programmed.
[00:21:02.174 --> 00:21:04.835]  If you can get them to do that, they kind of wake up out of the trance.
[00:21:05.195 --> 00:21:06.676]  Realize you're being bombarded.
[00:21:06.976 --> 00:21:08.177]  Realize there's a game.
[00:21:08.197 --> 00:21:17.021]  I mean, I don't know how to quantify this, David, but I mean, to me, the term I would use is just realize that you are being bombarded with data.
[00:21:17.041 --> 00:21:21.123]  Realize that there is a manipulation going on, knowing it's half the battle.
[00:21:21.769 --> 00:21:22.830]  Well, see, this is so important.
[00:21:22.870 --> 00:21:23.890]  I'll give you an example.
[00:21:24.391 --> 00:21:28.973]  In my talks, I put some pictures on the screen which are subliminal advertisements.
[00:21:30.234 --> 00:21:36.337]  And most people, the vast majority of people, can't see them because that's what subliminal is, below threshold.
[00:21:37.218 --> 00:21:42.941]  The conscious mind doesn't see them, which the conscious mind actually sees very little compared with what actually is in front of it.
[00:21:43.481 --> 00:21:46.103]  The subconscious mind, however, picks it all up and
[00:21:46.643 --> 00:21:46.783]  That's
[00:22:03.510 --> 00:22:04.571]  I think we're good.
[00:22:32.189 --> 00:22:32.309]  Yes.
[00:22:45.642 --> 00:22:46.683]  David, let me stop you.
[00:22:46.763 --> 00:22:49.244]  This is not debatable about the reptilian brain.
[00:22:49.264 --> 00:22:50.825]  This is a scientific name.
[00:22:51.246 --> 00:22:52.106]  Put it up on the screen.
[00:22:52.146 --> 00:22:55.708]  Google reptilian brain and show them like a textbook area.
[00:22:55.748 --> 00:23:00.931]  That's the lower brain that's breathing, sex, eating, wanting to kill people.
[00:23:00.951 --> 00:23:08.356]  I mean, that's your... I'm just interrupting you because some may think, oh, this is David Icke and his, you know, his other issues with that.
[00:23:09.656 --> 00:23:19.382]  No, no, the scientists call it the R-complex or the reptilian brain because the way it functions and the way it reacts is almost exactly like the brain of a reptile or a lizard.
[00:23:19.743 --> 00:23:20.383]  But it is!
[00:23:20.563 --> 00:23:30.349]  I mean, in fact, students, gives my dad went to medical school, students shown a salt crocodile brain can't tell the difference with a human lower brain.
[00:23:31.150 --> 00:23:33.832]  We basically do have a salt crocodile brain.
[00:23:33.852 --> 00:23:34.092]  Go ahead.
[00:23:34.372 --> 00:23:53.165]  Yeah, and what happens is that those behind the dark suits, those in the shadows, who understand all this stuff and have worked constantly for centuries to take it out of circulation among the people, so they're in ignorance of the very means through which they're being manipulated.
[00:23:53.986 --> 00:23:57.568]  They understand this and they target the reptilian brain.
[00:23:57.789 --> 00:23:59.750]  The reptilian brain is basically stupid.
[00:23:59.790 --> 00:24:00.991]  It's a reaction system.
[00:24:01.271 --> 00:24:04.272]  He's so computer-like, it's incredible.
[00:24:04.612 --> 00:24:12.693]  At that level, the brain does just react like a computer on a desktop, and it doesn't learn from experience.
[00:24:12.733 --> 00:24:15.954]  Other parts of the brain learn from experience.
[00:24:15.974 --> 00:24:17.875]  The reptilian brain doesn't.
[00:24:18.455 --> 00:24:20.235]  Its survival instincts are total.
[00:24:20.275 --> 00:24:26.797]  It's constantly scanning the environment, looking for possible dangers as it perceives them.
[00:24:26.937 --> 00:24:28.537]  The idea of the manipulation
[00:24:29.543 --> 00:24:44.749]  is to give the reptilian brain more and more and more reasons to see things in terms of a threat or a danger, because then all rational thinking disappears, all calm reflection, and let's look at this calmly, disappears.
[00:24:44.769 --> 00:24:49.451]  Because the reptilian brain is basically just reacting in a panic.
[00:24:49.591 --> 00:24:52.792]  You know, save me, save me, I want me mum, that's what it's doing.
[00:24:53.412 --> 00:24:57.954]  And the reptilian brain, interestingly, if we get into this way that people are programmed,
[00:24:58.991 --> 00:25:04.573]  Well, David Icke, I heartily agree with you and we're going to talk about a host of issues today.
[00:25:23.917 --> 00:25:29.661]  And later in the next hour, let's get into some of your ideas for solutions and breaking free of this matrix.
[00:25:30.462 --> 00:25:33.324]  In fact, let's go ahead and start talking about some of that now.
[00:25:34.685 --> 00:25:44.333]  Coming up in the next segment, I'm going to play a video clip from a satire movie about sitcoms, but when you watch it,
[00:25:45.589 --> 00:25:54.612]  It actually has the same messages that really are in the children's programming and the sitcoms and they're dumbing the language down and they're reducing the language.
[00:25:54.652 --> 00:26:03.574]  People are being inserted into the matrix as the eyes tie into the television and the computers and people are texting to their friends who are five feet away.
[00:26:03.974 --> 00:26:06.935]  Instead of talking to them, we are beginning to merge
[00:26:07.455 --> 00:26:08.256]  into the machines.
[00:26:08.336 --> 00:26:09.636]  We're not programming them.
[00:26:09.656 --> 00:26:30.869]  We're being programmed through the machines that have been programmed to program us and the consciousness is closing down with large swaths of the public while at the same time another large group is exploding their awakening and how you see this battle unfolding as we rush towards what the establishment calls the singularity.
[00:26:31.468 --> 00:26:43.653]  You know, this is my area, really, in so many ways, because particularly since about 2002, 2003, I've really gone very, very deeply into the nature of reality, which not many people tend to do.
[00:26:44.153 --> 00:26:51.396]  And when you start to realize what reality is, my goodness, does society as it's structured and the way it's structured start to make perfect sense.
[00:26:52.216 --> 00:26:57.578]  First of all, it's so important to realize the difference between the body and consciousness.
[00:26:58.868 --> 00:26:59.629]  Not the same thing.
[00:27:00.009 --> 00:27:17.825]  Now, you know, we may have differing religions, different people listen to this show, but one thing is kind of common to them is that some kind of consciousness, soul, whatever you want to call it, is apart from the body and leaves the body at what we call death.
[00:27:18.345 --> 00:27:24.251]  Therefore, the body and the soul, the consciousness, whatever you want to call it, are not the same thing.
[00:27:25.590 --> 00:27:30.139]  The idea of the conspiracy, the very bottom line of the conspiracy, is to
[00:27:35.523 --> 00:27:35.943]  We're good to go!
[00:28:06.613 --> 00:28:07.174]  Thank you.
[00:28:22.520 --> 00:28:23.040]  We're good to go.
[00:28:51.030 --> 00:29:00.004]  More and more, I mean, I've always known this concept to be true, you know, the scientists and mind warfare experts say it themselves, but now I'm consciously really realizing it.
[00:29:00.024 --> 00:29:00.424]  Stay with us.
[00:29:01.769 --> 00:29:07.331]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:29:07.632 --> 00:29:08.792]  Inner Health Botanicals.
[00:29:08.932 --> 00:29:12.894]  This company produces the highest quality superfood around, called Inner Food.
[00:29:13.194 --> 00:29:14.755]  My wife just loves the stuff.
[00:29:15.055 --> 00:29:21.358]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:29:22.498 --> 00:29:25.059]  Inner Food is loaded with 20 great organic ingredients.
[00:29:25.379 --> 00:29:26.859]  No fillers, no sweeteners.
[00:29:27.120 --> 00:29:29.880]  It would be impossible to blend this up for a better price.
[00:29:30.120 --> 00:29:31.561]  And their formula really works.
[00:29:31.821 --> 00:29:34.382]  This is the real thing for the great health you need.
[00:29:34.642 --> 00:29:35.922]  Try the Nutra Cafe.
[00:29:36.142 --> 00:29:40.544]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:29:40.904 --> 00:29:43.105]  A truly healthy coffee that tastes great.
