[00:00:00.069 --> 00:00:02.871]  Alex Jones on the GCN Radio Network.
[00:01:42.498 --> 00:01:54.573]  Depending on which poll you look at, he has a 47 at the top to a 42 at the bottom with Gallup and Rasmussen and all these other polls.
[00:01:54.693 --> 00:01:58.497]  We've got them linked up on InfoWars.com and PrisonPlanet.com.
[00:01:59.460 --> 00:02:15.540]  But I wanted to feed into Tarpley's political brain data I've noticed as well and get his take on that after we talk about the second front and his idea of getting Cindy Sheehan while Obama's on vacation for a month.
[00:02:16.141 --> 00:02:17.883]  They're always planning something when that happens.
[00:02:18.484 --> 00:02:28.415]  To go out and confront him or go out and stand in front of the White House to try to reignite that attention and show people that she just wasn't this leftist figure.
[00:02:28.856 --> 00:02:32.059]  And that she was discarded as soon as she actually really tried to end the war.
[00:02:32.600 --> 00:02:50.737]  But Webster, I understand you talk about what you've researched and what you know, but clearly you see them saying militias are about to attack, gun owners are about to attack, all gun owners are basically white supremacists that hate black people, and the DHS reports demonizing gun owners, returning veterans.
[00:02:51.585 --> 00:03:20.452]  Now they're saying that, let me just finish this, now they're saying that they're planning to stage terror attacks, they're hyping all this, and I see the Obama counter, I'm just going to tell you right now, not just being flu pandemic being their cover, unless we expose it, but staging Oklahoma-style attacks domestically to shore up support for a foreign operation, or maybe finally completing the Clinton-era stage terror,
[00:03:21.492 --> 00:03:34.456]  Of finally saying the homegrown terrorists are working with Al-Qaeda, a plan, a script, they planned to go with in 95, but backed off of, and just went with the homegrown.
[00:03:34.856 --> 00:03:45.539]  So, I see this in the cards, I see this in the tea leaves, as I stand over the cauldron here, I'm asking you with that data, are you not seeing this chatter, or do you have a comment?
[00:03:46.394 --> 00:03:56.126]  Well, I would certainly say that if you go back to the 1990s, the militias were heavily infiltrated and to some degree a project.
[00:03:56.146 --> 00:04:02.675]  Some of them were founded by the FBI and by the domestic counterintelligence and counterinsurgency.
[00:04:03.479 --> 00:04:04.059]  Apparatus.
[00:04:04.140 --> 00:04:11.524]  And if you look in my book, 9-11 Synthetic Terror, I've got a whole thing in there about, in particular, activities of British intelligence.
[00:04:11.604 --> 00:04:16.947]  Because this was the playground, in particular, of British intelligence inside the U.S.
[00:04:17.628 --> 00:04:22.331]  And the advantage of using the British is that they're not susceptible to U.S.
[00:04:23.191 --> 00:04:24.732]  congressional investigations.
[00:04:24.792 --> 00:04:27.734]  In other words, you can do operations at arm's length.
[00:04:27.814 --> 00:04:29.715]  Often, the British invite the U.S.
[00:04:29.755 --> 00:04:32.237]  to come into the United Kingdom and do things for them.
[00:04:32.877 --> 00:04:37.320]  And the US, the CIA and so forth will invite the British to come over here and do things.
[00:04:37.340 --> 00:04:37.480]  Exactly!
[00:04:37.780 --> 00:04:42.142]  They also use Andreas Strassmayer, whose father was a top SS general.
[00:04:42.903 --> 00:04:44.164]  It later turned out he was.
[00:04:45.384 --> 00:04:49.046]  Secret police anti-terror squad from Germany.
[00:04:49.427 --> 00:04:55.130]  They brought him to honcho the white supremacist and McVeigh and others out of Elohim City.
[00:04:55.150 --> 00:04:55.950]  That came out in FBI.
[00:04:57.151 --> 00:04:57.612]  Documents.
[00:04:57.652 --> 00:04:59.314]  So, I knew you'd be up on this.
[00:04:59.374 --> 00:05:01.156]  I know Synthetic Terror covers it.
[00:05:01.196 --> 00:05:04.339]  It's now coming out that Hal Turner was an FBI informant.
[00:05:04.399 --> 00:05:05.641]  The FBI admits that in court.
[00:05:06.522 --> 00:05:15.852]  It's now turning out that almost all these major white supremacist groups are not infiltrated, but run by the Feds, by the British, by the Germans, and by Israel.
[00:05:15.932 --> 00:05:16.213]  Israel
[00:05:16.953 --> 00:05:25.279]  Uh, is, uh, is, uh, also, uh, you know, you have these white supremacist commanders with classic, you know, Jewish archetypal Ashkenazi features.
[00:05:25.339 --> 00:05:29.182]  I've been to some of these events to protest them, and it's like, my God, there's the ADL on stage.
[00:05:29.442 --> 00:05:39.489]  Like, Adam Gadon, the Al-Qaeda leader, you know, ADL grandson, you know, the grandson of the ADL head, uh, arrested for beating up Muslims, and then suddenly he joins, and he's the guy fighting Al-Qaeda.
[00:05:39.509 --> 00:05:40.550]  So, great points.
[00:05:40.950 --> 00:05:44.993]  Elaborate on that, because I see them rolling that out now.
[00:05:45.714 --> 00:05:55.764]  Well, the Ku Klux Klan, just to focus on them, the Ku Klux Klan is, as far as I can see, a wholly owned subsidiary of the FBI and nothing but.
[00:05:56.425 --> 00:06:08.878]  So this is an apparatus of domestic provocateurs, and you're very right to say now the way that the ideological conflict is going, right, the ideological fronts are turning once again.
[00:06:09.671 --> 00:06:12.494]  And there obviously is a temptation to begin this demonization.
[00:06:12.534 --> 00:06:18.959]  And when you see that Southern Poverty Law Center getting into the act, that is a group of shills, basically.
[00:06:18.999 --> 00:06:21.922]  They are paid apologists.
[00:06:21.962 --> 00:06:31.110]  They are there to provide some kind of a halfway plausible academic sounding explanation for whatever the
[00:06:31.810 --> 00:06:35.631]  Counterinsurgency line inside the United States may happen to be.
[00:06:35.711 --> 00:06:48.013]  So the fact that they point to this, we also have the Secretary of Homeland Security, Napolitano, otherwise known as Totalitariano, and her idea that, right, the veterans and the right-wingers and all this.
[00:06:48.353 --> 00:06:52.974]  So that's the atmospheric, and then you get a certain number of patsies, right?
[00:06:52.994 --> 00:06:55.635]  Look out for patsies, because that's always how it's done.
[00:06:56.435 --> 00:07:04.701]  And, you know, the attempt to try to mesh, you know, Al-Qaeda shows up somewhere in North Carolina or whatever this is, right?
[00:07:04.761 --> 00:07:06.061]  And they're all from the FBI.
[00:07:07.002 --> 00:07:10.224]  I think that indicates a possible direction.
[00:07:10.244 --> 00:07:11.465]  I don't think it's conclusive.
[00:07:11.765 --> 00:07:13.866]  But the more you talk about it, the better it is, right?
[00:07:13.906 --> 00:07:17.769]  The more this is ventilated and aired and people are inoculated.
[00:07:18.529 --> 00:07:31.922]  Tell people that if this happens, this is 99.99% guaranteed to be a top-down false flag operation using patsies, using moles inside the government, and then using those technicians, right?
[00:07:31.962 --> 00:07:40.030]  If any big heavy operations have to be done, they're going to have to use government resources, so that will require the presence of technicians and moles.
[00:07:40.550 --> 00:07:41.551]  Let me stop you there.
[00:07:41.571 --> 00:07:44.073]  I want to look at the geopolitical operations outside North America.
[00:08:02.817 --> 00:08:05.018]  And I agree, they're going to hit us all.
[00:08:05.038 --> 00:08:07.739]  They're going to have stage terror overseas, stage terror domestically.
[00:08:07.759 --> 00:08:15.863]  They're going to have other economic crises, hyped up environmental crises, biological, medical.
[00:08:15.883 --> 00:08:16.844]  I agree, Webster.
[00:08:17.064 --> 00:08:18.525]  That's why I wanted to get your take on this.
[00:08:19.585 --> 00:08:23.487]  When I interrupted you earlier, the British really are the masters of divide and conquer.
[00:08:23.507 --> 00:08:24.067]  Great game.
[00:08:24.468 --> 00:08:34.033]  That was even Orwell's job as a member of the Imperial Police, as you know, when he grew up in India, before he had his first awakening to one level of the control paradigm.
[00:08:34.693 --> 00:08:35.634]  But expanding
[00:08:36.594 --> 00:08:37.635]  Uh, on that Webster.
[00:08:37.876 --> 00:08:47.566]  It was the British, now declassified and admitted, as you know but the listeners may not, that staged over 90% of the terror attacks in Northern Ireland and in England.
[00:08:48.007 --> 00:08:52.491]  And it turned out that you would have the top three guys in the military IRA were all British intel.
[00:08:53.092 --> 00:09:00.280]  And they were actually killing lower members of IRA if they wouldn't go out and kill British policemen as a pretext to stay in Northern Ireland.
[00:09:00.641 --> 00:09:07.649]  So it's very, very elementary to keep occupation imperial forces in the country, to occupy the United States with federal troops.
[00:09:08.029 --> 00:09:14.431]  They're going to need to stage terror to have the pretext that there's some type of hidden phantom menace that they're fighting.
[00:09:14.891 --> 00:09:15.511]  And you're right.
[00:09:15.951 --> 00:09:17.411]  We have tracked British intel.
[00:09:17.871 --> 00:09:23.713]  I've actually had to deal years ago with attempted British intel insertion into our operation.
[00:09:24.193 --> 00:09:25.953]  And I want the British to know we were aware of that.
[00:09:26.193 --> 00:09:27.534]  I'm now revealing this for the first time.
[00:09:27.574 --> 00:09:27.894]  Go ahead.
[00:09:28.786 --> 00:09:33.688]  Well, in my book, again, 9-11 Synthetic Terror, I tell the story of Agent Steakknife.
[00:09:34.088 --> 00:09:50.394]  He was codenamed Steakknife, and this was somebody that the MI5, MI6 had put into the top levels of the IRA, and his job was to kill people, and they also had agents in this other side, right?
[00:09:50.434 --> 00:09:53.315]  The Protestant counter-gang to the IRA counter-gang.
[00:09:54.795 --> 00:09:59.118]  Well, the Orange, in this case, it's the Protestant extremist group.
[00:09:59.138 --> 00:10:04.961]  So they were orchestrating a series of homicides, and this went right up to Thatcher.
[00:10:05.462 --> 00:10:08.203]  Thatcher was absolutely informed of everything.
[00:10:08.443 --> 00:10:17.729]  Wonderful Maggie Thatcher, the goddess of the neocons and so many others, and the goddess of the free marketeers, too, because they think she was the embodiment of their policies.
[00:10:17.789 --> 00:10:19.190]  I guess she was.
[00:10:19.290 --> 00:10:22.872]  She was actively running these kinds of operations.
[00:10:25.256 --> 00:10:38.922]  I just wanted to point out to listeners this is a fact that governments do this and it's a historical fact so we need people to realize this is an official army field manuals that we showed people last week we're just talking about
[00:10:40.080 --> 00:10:46.661]  Something as a matter of fact as hammers and saws and lawnmowers being available at Home Depot.
[00:10:47.041 --> 00:10:52.562]  We're stating that ducks swim around in ponds or that fish swim around in lakes.
[00:10:53.903 --> 00:10:57.643]  I hope listeners understand what you're stating is a historical fact, Webster.
[00:10:58.383 --> 00:11:04.085]  Yeah, this is probably the most documented historical fact that we can bring to bear.
[00:11:04.145 --> 00:11:05.905]  I mean, it's been confirmed, you know.
[00:11:06.898 --> 00:11:08.819]  Hundreds of times, maybe thousands of times.
[00:11:08.839 --> 00:11:11.220]  Like going back, my God, to the ancient world.
[00:11:11.701 --> 00:11:14.842]  So, uh, I don't think there's any doubt about it.
[00:11:14.962 --> 00:11:22.526]  And the implication of Thatcher in this stuff, and you know, we can go back to the cases now in the United States, right?
[00:11:22.546 --> 00:11:24.608]  The various stunts that have been done.
[00:11:24.628 --> 00:11:27.749]  And as time goes on, you get more and more background.
[00:11:27.809 --> 00:11:34.493]  So, certainly, if there's terrorism, look to the intelligence agencies, because that's the matrix.
[00:11:36.832 --> 00:11:38.294]  Our guest is Webster Griffin Tarpley.
[00:11:38.314 --> 00:11:42.700]  We'll look at the geopolitical front, then we're gonna get a little bit more into eugenics, and then some solutions.
[00:11:43.121 --> 00:11:47.166]  And I promise, next week, Webster Tarpley, full hour, on nothing but solutions.
[00:11:47.526 --> 00:11:51.792]  But things are moving so fast, they could stage a terror attack before the next time he's on.
[00:11:52.052 --> 00:11:52.853]  We gotta cover this.
[00:11:54.284 --> 00:11:57.308]  When you hear the words water purification, what comes to mind?
[00:11:57.668 --> 00:12:01.273]  If it's Berkey Water Purification Systems, this message is for you.
[00:12:01.573 --> 00:12:05.038]  Did you know that over 60% of municipal water contains fluoride?
[00:12:05.298 --> 00:12:13.148]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water, remove dangerous chlorine, fluoride, and contaminants
[00:12:13.148 --> 00:12:13.308]  I think.
[00:12:31.747 --> 00:12:41.193]  BigBerkeyWaterFilters.com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over $50 free of charge.
[00:12:41.493 --> 00:12:43.814]  Visit BigBerkeyWaterFilters.com.
[00:12:44.034 --> 00:12:46.796]  That's BigBerkeyWaterFilters.com or call 1-877-99-BERKEY.
[00:12:46.856 --> 00:12:47.436]  That's 1-877-99-BERKEY today!
[00:12:54.671 --> 00:12:59.995]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:13:00.475 --> 00:13:07.560]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[00:13:08.081 --> 00:13:14.225]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:14.665 --> 00:13:16.487]  Well, Obama's already fudging.
[00:13:16.627 --> 00:13:19.029]  He's fudged since day one of this election.
[00:13:19.129 --> 00:13:30.079]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:13:30.699 --> 00:13:32.000]  It's not about left or right.
[00:13:32.381 --> 00:13:33.742]  It's about a one-world government.
[00:13:34.242 --> 00:13:40.488]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:41.138 --> 00:13:48.905]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:49.405 --> 00:13:50.546]  The Obama Deception.
[00:13:50.987 --> 00:13:52.168]  The people strike back!
[00:13:55.439 --> 00:13:57.420]  Are you wondering about your retirement portfolio?
[00:13:57.781 --> 00:14:03.765]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:14:04.025 --> 00:14:07.948]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:14:08.168 --> 00:14:14.993]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:14:15.333 --> 00:14:20.875]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:14:21.236 --> 00:14:27.858]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:14:32.140 --> 00:14:33.240]  Experience the difference.
[00:14:33.581 --> 00:14:38.542]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:14:38.842 --> 00:14:39.803]  Don't wait another minute.
[00:14:40.063 --> 00:14:43.604]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:14:43.624 --> 00:14:43.864]  That's 877-479-8178.
[00:14:43.904 --> 00:14:48.525]  Studies have shown that many people do not get the proper vitamins and minerals necessary to maintain good health.
[00:15:01.084 --> 00:15:01.524]  We're good to go!
[00:15:25.029 --> 00:15:25.429]  We're good.
[00:16:09.853 --> 00:16:15.536]  In the last 30 minutes of the show, I'm also going to break down the incredible success of the Obama poster campaign.
[00:16:15.596 --> 00:16:16.356]  Hey, I'm flattered!
[00:16:16.416 --> 00:16:22.419]  Cindy Sheehan was listening to the show when I was talking about Webster.
[00:16:23.359 --> 00:16:24.880]  I don't know if Webster's really involved.
[00:16:24.960 --> 00:16:25.800]  I talked to him the other day.
[00:16:25.820 --> 00:16:27.001]  I talked to him Sunday.
[00:16:27.021 --> 00:16:30.963]  I talked to him yesterday, and he said, I'm trying to get Cindy Sheehan to go confront Obama.
[00:16:30.983 --> 00:16:32.123]  We need to fund her.
[00:16:32.163 --> 00:16:33.344]  We need to get behind her.
[00:16:34.244 --> 00:16:36.985]  And here I am doing Tarpley invitations while he's on with us.
[00:16:37.005 --> 00:16:37.986]  We love Tarpley around here.
[00:16:38.746 --> 00:16:40.007]  Because I see him so much.
[00:16:40.047 --> 00:16:41.268]  He's in the last Obama film.
[00:16:41.288 --> 00:16:42.048]  I've known him for years.
[00:16:42.429 --> 00:16:43.729]  He's in the new Obama film.
[00:16:44.010 --> 00:16:45.531]  So I look at Tarpley every day.
[00:16:45.891 --> 00:16:47.052]  We interview him all the time.
[00:16:47.632 --> 00:16:48.953]  He's kind of like a little mascot.
[00:16:49.013 --> 00:16:51.615]  A little Leonardo da Vinci of the liberty movement.
[00:16:52.695 --> 00:16:53.736]  Here at the office.
[00:16:54.337 --> 00:16:55.577]  I have another nickname for Tarpley.
[00:16:57.120 --> 00:17:00.124]  Anyways, Tarbly, I'm- Alex, if I may, just one thing.
[00:17:00.445 --> 00:17:01.266]  Just a correction.
[00:17:01.987 --> 00:17:04.210]  Cindy Sheehan is going because she decided to go.
[00:17:04.230 --> 00:17:12.561]  I simply had gotten an email saying that she wanted to go and that she wanted to assemble the prerequisite.
[00:17:12.601 --> 00:17:14.083]  So I was simply reporting that.
[00:17:14.163 --> 00:17:15.425]  So this is all coming from her.
[00:17:15.865 --> 00:17:16.405]  Okay, great.
[00:17:16.445 --> 00:17:31.133]  Yeah, because, I mean, I talked to you during a one-minute part of a break when you were on with Burma, so I just heard you saying, get Sheehan, support her, get her to go to wherever Obama's vacationing, and I was like, okay, so, but, pointless to argue about that.
[00:17:31.153 --> 00:17:34.635]  The point is, she's coming on in ten minutes for five minutes with you, Webster.
[00:17:35.936 --> 00:17:37.937]  The issue is, she's listening right now.
[00:17:38.703 --> 00:17:43.027]  Wonderful, and again, let me say this, the credit all goes to her, nothing to do with me.
[00:17:43.047 --> 00:17:45.449]  Okay, well nobody cares Webster, that's fine, Webster.
[00:17:45.489 --> 00:17:50.473]  Although I welcome it, I think everybody, let me call now, everybody should support this, everybody should go, supporter.
[00:17:51.274 --> 00:18:00.963]  This is a wonderful thing, and this is now the, if you want to somehow break into this right-wing polarization that you're talking about in the earlier part, right, the idea of using
[00:18:01.543 --> 00:18:19.116]  The demonization of conservatives or whoever they are, right, people that are considered right-wingers, then the obvious way to do that is the rebirth of the peace movement and people that would generally be considered leftist, because this is harder to demonize.
[00:18:19.216 --> 00:18:27.142]  And that's what I've always said, is that attacks against Obama coming from his left are much more effective than the kind of stuff you've seen.
[00:18:27.382 --> 00:18:34.225]  Well, that's why the Obama deception, that's why the Obama deception, Webster, is so important, is because it doesn't attack from the left or right.
[00:18:34.605 --> 00:18:41.568]  It attacks from common sense, populist, constitutionalist, and shows how both parties are controlled by these corrupt banks.
[00:18:41.988 --> 00:18:46.670]  And then the partisanship all ends, and people instantly break their conditioning.
[00:18:46.710 --> 00:18:54.913]  But look, she's coming up next segment in about 15 minutes, so I want to get into the second front opening up against Hare Obama then.
[00:18:55.313 --> 00:18:57.475]  Right now, we were talking about false flag.
[00:18:57.975 --> 00:19:01.297]  The ace in the hole that the establishment has to play on us.
[00:19:01.697 --> 00:19:04.039]  You were talking about outside the country.
[00:19:04.579 --> 00:19:06.200]  What geopolitical regions?
[00:19:06.581 --> 00:19:09.603]  Are we looking at Central Asia, Middle East, Europe?
[00:19:10.603 --> 00:19:12.945]  Where will the establishment stage terror next?
[00:19:13.825 --> 00:19:23.072]  Well, that's obviously anybody's guess, but if we look at Afghanistan, the big operation by Obama right now is the massive escalation of the war in Afghanistan.
[00:19:24.139 --> 00:19:34.188]  He's put a guy in there, General McChrystal, who is someone who is certified to have created a network of torture chambers across Iraq.
[00:19:34.648 --> 00:19:40.233]  When you think of Obama's rhetoric in running for president, it makes this whole thing extremely laughable.
[00:19:41.494 --> 00:19:43.396]  Really a bitter, macabre irony.
[00:19:43.756 --> 00:19:49.902]  So, Obama's hand-picked commander to go into Afghanistan, replacing the previous general,
[00:19:50.482 --> 00:19:58.025]  Who was simply, uh, McKiernan, who was simply thrown out, right, very brusquely, and, uh, a lot of people in the Pentagon very angry about that, the way it was done.
[00:19:58.645 --> 00:20:08.268]  This guy's a special forces utopian, so that means that he's into doing things like working with the Taliban, working with Al-Qaeda, working with various warlords and so forth.
[00:20:09.128 --> 00:20:16.171]  Uh, the danger there, of course, is that, uh, with the ten-year war perspective and, uh, and the losses that are now escalating,
[00:20:16.753 --> 00:20:18.234]  Some countries may want to drop out.
[00:20:18.274 --> 00:20:19.914]  How could you stop them from dropping out?
[00:20:19.994 --> 00:20:30.039]  Well, you could, for example, if the British are about to drop out, then maybe some staged event regarding Britain could... A replay of 7-7.
[00:20:30.059 --> 00:20:32.780]  The British are about to pull out of the Glen Eagles.
[00:20:33.240 --> 00:20:33.560]  Boom.
[00:20:33.640 --> 00:20:34.200]  Go ahead.
[00:20:34.280 --> 00:20:35.841]  And continental Europe also.
[00:20:36.501 --> 00:20:37.942]  So that would be one opportunity.
[00:20:37.982 --> 00:20:43.084]  The other thing would be if the breakup of Pakistan is taking too long,
[00:20:43.604 --> 00:20:49.527]  Then, something involving a group that advertises itself as coming from inside Pakistan.
[00:20:49.567 --> 00:20:50.607]  And they have them, right?
[00:20:50.647 --> 00:20:53.748]  The Taliban are basically Pashtunistan.
[00:20:53.788 --> 00:20:56.149]  That's one of the components of Pakistan.
[00:20:56.610 --> 00:20:58.210]  And then you have Balochistan, right?
[00:20:58.250 --> 00:21:00.211]  In Balochistan, they have this Jundala.
[00:21:00.551 --> 00:21:02.032]  So, Jundala comes on the scene.
[00:21:02.412 --> 00:21:08.255]  That's a U.S.-British-run operation, and therefore you can go into Pakistan based on that.
[00:21:09.535 --> 00:21:10.516]  How about Sudan?
[00:21:10.756 --> 00:21:13.799]  There's a lot of bad blood.
[00:21:14.119 --> 00:21:18.703]  Bashir, General Bashir, the head of state, has been indicted by the International Criminal Court.
[00:21:18.944 --> 00:21:24.849]  But the entire African Union has rejected the International Criminal Court as a bunch of racists and colonialists.
[00:21:24.989 --> 00:21:30.394]  So, if you want to get something started there, maybe a Sudanese terrorist would suit the bill.
[00:21:32.014 --> 00:21:33.295]  Webster Tarpley, stay there.
[00:21:33.315 --> 00:21:42.325]  We'll come back, get into Obama's plunging approval ratings, then we'll talk about the peace activist, second front, Obama's left flank.
[00:21:44.347 --> 00:21:47.350]  We're on the march, the empire's on the run.
[00:21:48.251 --> 00:21:50.954]  Alex Jones and the GCN Radio Network.
[00:21:53.732 --> 00:21:57.696]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:21:57.976 --> 00:21:59.758]  Do you really know what's in your tap water?
[00:21:59.958 --> 00:22:08.246]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:22:08.487 --> 00:22:13.732]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:22:14.052 --> 00:22:15.674]  Now what are you going to do about it?
[00:22:15.894 --> 00:22:22.235]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:22:22.415 --> 00:22:33.158]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:22:33.458 --> 00:22:33.978]  That's right.
[00:22:34.218 --> 00:22:36.538]  Clean water, right from the air you breathe.
[00:22:36.778 --> 00:22:38.359]  Order today by calling 1-800-691.
[00:22:40.319 --> 00:22:40.940]  We're good to go.
[00:22:53.612 --> 00:22:54.713]  This is Alex Jones.
[00:22:54.993 --> 00:22:56.795]  Have you heard of the Millionaire Patriot?
[00:22:56.995 --> 00:22:57.656]  Well, you should.
[00:22:57.976 --> 00:23:02.221]  He has a free handgun and five days of firearms training waiting for you.
[00:23:02.481 --> 00:23:02.961]  That's right.
[00:23:03.262 --> 00:23:13.212]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:23:13.312 --> 00:23:14.453]  Plus, if you act fast,
[00:23:14.633 --> 00:23:20.276]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:23:20.617 --> 00:23:27.141]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:23:27.521 --> 00:23:32.704]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:23:33.044 --> 00:23:34.185]  This is real.
[00:23:34.505 --> 00:23:35.245]  Don't miss out.
[00:23:35.545 --> 00:23:43.929]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:23:44.109 --> 00:23:46.290]  Go to FrontSight.com today.
[00:23:46.470 --> 00:23:49.992]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:23:50.172 --> 00:23:53.074]  Go to FrontSight.com for your training and free gun.
[00:23:53.934 --> 00:23:58.897]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:24:23.814 --> 00:24:24.014]  We're good.
[00:25:17.619 --> 00:25:20.020]  Well, Mr. Griffin Tarper is our guest.
[00:25:20.100 --> 00:25:21.961]  A special guest coming up in the next hour.
[00:25:22.001 --> 00:25:25.182]  Cindy Sheehan is going to be popping in in about 10 minutes.
[00:25:25.202 --> 00:25:27.743]  She just put out a new press release today.
[00:25:28.464 --> 00:25:33.626]  Cindy Sheehan to lead protests against wars near Obama's vacation spot on Martha's Vineyard.
[00:25:34.326 --> 00:25:38.628]  So a replay of what we saw with her out at Crawford.
[00:25:39.696 --> 00:25:42.178]  And as long as she was useful to the Democrats, she was great.
[00:25:42.198 --> 00:25:47.341]  But as soon as they got into power, or were getting ready to, and wanted to continue the wars, well now, no.
[00:25:48.542 --> 00:25:49.402]  So that's coming up.
[00:25:49.422 --> 00:25:56.247]  Before we go back to Webster Griffin Tarpley, I've never had a t-shirt this popular.
[00:25:56.307 --> 00:26:01.290]  The Obama Socialist, Obama Fascist, ObamaInfoWars.com, Obama New World Order.
[00:26:02.383 --> 00:26:14.650]  We have four different variants on the front, four different messages on the back, like, end the Fed, stop the criminal, wake up before it's too late, with Infowars.com under it on the back, with Obama on the front.
[00:26:15.031 --> 00:26:16.451]  This upsets the establishment.
[00:26:16.471 --> 00:26:18.353]  They know the power of archetypal images.
[00:26:18.753 --> 00:26:22.535]  They want this loving, Leninesque image of him, hope and change.
[00:26:22.995 --> 00:26:25.557]  They do not want this image of him as a master criminal.
[00:26:26.057 --> 00:26:29.539]  Our contest went more viral than I could ever imagine.
[00:26:30.380 --> 00:26:31.941]  AP, Fox News,
[00:26:34.102 --> 00:26:37.485]  All over international Spanish television out of Mexico.
[00:26:39.206 --> 00:26:46.272]  The posters printed off Infowars.com were put up in Tokyo, San Francisco, Rio de Janeiro.
[00:26:46.932 --> 00:26:48.454]  They were put up in Moscow.
[00:26:48.494 --> 00:26:51.816]  They were just wild and it's still going on.
[00:26:52.457 --> 00:27:00.223]  They have the State Attorney General in Florida investigating and calling it a hate crime and all this unbelievable bull.
[00:27:00.683 --> 00:27:02.025]  But you read the articles
[00:27:02.950 --> 00:27:11.399]  The comments in the articles in the newspapers that with a straight face talk about the scared community, the victims of seeing the Obama poster on street corners.
