[00:00:00.009 --> 00:00:00.129]  It's
[00:16:54.400 --> 00:16:55.860]  Well, I'll tell you something about Australia.
[00:16:56.541 --> 00:16:59.121]  It's not that it's happening now, it's that it's already happened.
[00:16:59.562 --> 00:17:03.503]  I mean, the gun culture is all but gone in Australia, as far as from what I can tell.
[00:17:03.523 --> 00:17:08.024]  I've been there ten years now, and there's no real debate anymore about whether people ought to own guns.
[00:17:08.084 --> 00:17:10.585]  I mean, to get an assault rifle is virtually impossible.
[00:17:11.445 --> 00:17:18.927]  You might find the occasional person who has a special permit for a handgun or a hunting rifle, but that's pretty rare and that's definitely not in the cities.
[00:17:19.327 --> 00:17:20.468]  So, there's no real debate.
[00:17:20.488 --> 00:17:21.748]  The debate's over in Australia.
[00:17:22.844 --> 00:17:25.846]  And the reason we're making the show that we're making is to deal with apathy.
[00:17:26.427 --> 00:17:35.995]  And we're really worried when we speak to young people in particular and they're just not that interested in politics, they're not that interested in the future, it's all about the here and now, and we really want to respond to apathy.
[00:17:36.015 --> 00:17:44.441]  You know, question your government, question what's going on, question every time the Australian government sends soldiers into every US war, as they always have.
[00:17:45.342 --> 00:17:49.926]  People just don't seem to really care anymore, and that's why we're here making the show that we're making at the moment.
[00:17:50.168 --> 00:17:52.609]  You might even say that Australia is kind of a picture of where the U.S.
[00:17:52.669 --> 00:17:53.669]  is going to be in a few years.
[00:17:54.189 --> 00:17:57.250]  Now, Sean, are both of you college teachers?
[00:17:57.850 --> 00:17:58.871]  We teach occasionally, both.
[00:17:58.891 --> 00:18:02.212]  We both work in film and television industry, and so sometimes we teach at a university.
[00:18:02.692 --> 00:18:03.972]  You've shown Terror Storm, right?
[00:18:04.212 --> 00:18:05.953]  I've shown Terror Storm in a public setting, about 500 people.
[00:18:07.888 --> 00:18:08.949]  I'll tell you something.
[00:18:10.089 --> 00:18:13.991]  You've never seen a group divided so quickly as when you show something like Terror Storm.
[00:18:14.471 --> 00:18:16.932]  And quite frankly, I think it's all about worldview.
[00:18:16.992 --> 00:18:20.754]  Some people just decide in advance these things can't be true, so you must be wrong.
[00:18:21.274 --> 00:18:25.736]  And the other half have already been suspicious for some time, and now it's reinforcing their view.
[00:18:25.916 --> 00:18:40.097]  But I mean in the film we have like mainstream times of London where it's admitted that British Special Forces SAS were caught dressed up like Arabs running around shooting and killing people to blame it on the people in Basra.
[00:18:40.477 --> 00:18:40.698]  I mean...
[00:18:42.116 --> 00:18:42.736]  It's admitted.
[00:18:42.756 --> 00:18:45.679]  I don't understand the... It's not a conspiracy theory.
[00:18:45.979 --> 00:18:48.441]  Well, let me tell you what I run into because we're talking about students now.
[00:18:48.461 --> 00:18:50.702]  You're talking about your average 18 to 25 year old.
[00:18:50.922 --> 00:18:52.183]  And it's classic double think.
[00:18:52.643 --> 00:18:54.425]  I see the facts being presented to me.
[00:18:54.485 --> 00:18:55.385]  I see what you're saying.
[00:18:55.425 --> 00:18:56.726]  Yes, the cop did say that.
[00:18:56.766 --> 00:18:57.787]  The lady did say that.
[00:18:58.247 --> 00:19:00.129]  We see the information being laid out in front of me.
[00:19:00.469 --> 00:19:03.011]  But, you know, isn't that just your interpretation?
[00:19:03.351 --> 00:19:06.912]  I mean, this is a really common, post-modern way of seeing things now.
[00:19:07.193 --> 00:19:09.313]  Isn't that just your interpretation of the facts?
[00:19:09.614 --> 00:19:12.375]  And, you know, can't I have another interpretation of the facts?
[00:19:12.395 --> 00:19:14.396]  I have these endless debates like that with students.
[00:19:14.436 --> 00:19:15.176]  It's delusional!
[00:19:15.536 --> 00:19:18.477]  Yeah, because in reality what happens is there's no objective truth anymore.
[00:19:18.817 --> 00:19:20.138]  It's simply a whole lot of opinions.
[00:19:21.383 --> 00:19:22.144]  We are changing.
[00:19:22.224 --> 00:19:26.647]  Other 9-11 groups are really expanding in Australia though, so people are starting to wake up at least.
[00:19:26.707 --> 00:19:27.087]  Some of them.
[00:19:27.507 --> 00:19:33.231]  They took a little while to crop up, but there was the first 9-11 Truth Conference that we both went to in March last year.
[00:19:33.631 --> 00:19:39.675]  It was pretty poorly attended to be quite honest, although we had some incredible guests like Dr. Bob Bowman and G. Edward Griffin.
[00:19:40.196 --> 00:19:41.737]  And I know they are having another conference.
[00:19:41.797 --> 00:19:43.358]  It's run by Truth Action Australia.
[00:19:43.378 --> 00:19:45.299]  It's run by a terrific bloke called John Birstall.
[00:19:45.799 --> 00:19:49.382]  And this year I think they have Stephen Jones and possibly even Luke Rudowsky.
[00:19:49.482 --> 00:19:49.902]  I love it!
[00:19:49.962 --> 00:19:50.322]  Bloke!
[00:19:53.164 --> 00:19:57.687]  Alright, we're going to come right back after this quick break with our guest in studio from the land down under.
[00:19:57.707 --> 00:19:59.568]  And we're going to take your phone calls.
[00:19:59.588 --> 00:20:04.350]  The new multipolar inline and portable water system, new from hempusa.org.
[00:20:04.550 --> 00:20:12.915]  Now you can restructure and degas your water supply from any source, rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:20:13.175 --> 00:20:17.859]  Imagine a softer, smoother water with increased oxygen that helps the nervous system and brain.
[00:20:18.079 --> 00:20:24.965]  There are no filters to buy and it can be taken anywhere making it our number one new product from hempusa.org.
[00:20:25.145 --> 00:20:31.330]  This water system will descale all piping, hot water heaters and appliances due to heavy buildup of hard minerals.
[00:20:31.530 --> 00:20:47.342]  Detoxification may result with restructured water by easily entering the fine capillaries of the human body by dissolving stones and toxins, with extreme positive effects on plants, vegetables, and fruits, improve taste, color, size, and yield with approximately 30% less water usage.
[00:20:47.462 --> 00:20:51.024]  There are multiple sizes also available for farms and commercial use.
[00:20:51.245 --> 00:20:53.266]  Visit hempusa.org or call 908-691-2608.
[00:20:53.286 --> 00:20:53.686]  That's 908-691-2608.
[00:20:53.787 --> 00:20:54.747]  It is a big idea.
[00:21:02.003 --> 00:21:03.084]  A New World Order.
[00:21:03.785 --> 00:21:08.368]  In the near future, Earth is dominated by a powerful new government.
[00:21:08.688 --> 00:21:11.471]  It's known as the Bilderberg Group.
[00:21:11.511 --> 00:21:13.753]  Put their objective being world domination.
[00:21:14.293 --> 00:21:16.755]  For thousands of years, their dark order grew.
[00:21:17.476 --> 00:21:24.801]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:27.831 --> 00:21:32.795]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:33.275 --> 00:21:36.758]  You will learn the secret that drives the entire New World Order agenda.
[00:21:37.138 --> 00:21:39.620]  Dillberg is making great progress toward a world government.
[00:21:39.700 --> 00:21:40.841]  Most people have no idea.
[00:21:40.861 --> 00:21:41.642]  They're not after money.
[00:21:41.662 --> 00:21:42.723]  They have all the money they need.
[00:21:42.923 --> 00:21:43.644]  They're after power.
[00:21:43.904 --> 00:21:45.165]  That's what they're after these years.
[00:21:45.225 --> 00:21:49.608]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:49.829 --> 00:21:53.311]  Or watch it online right now at PrisonPlanet.tv.
[00:21:53.772 --> 00:21:54.172]  In Game.
[00:21:54.593 --> 00:21:56.094]  Blueprint for global enslavement.
[00:21:56.574 --> 00:21:57.775]  You have been warned.
[00:21:58.556 --> 00:22:00.057]  Alex Jones here with a question.
[00:22:00.237 --> 00:22:01.698]  What does humidity mean to you?
[00:22:01.998 --> 00:22:04.240]  Most people think of hot and sticky summer days.
[00:22:04.681 --> 00:22:09.424]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:22:09.805 --> 00:22:12.667]  That's why I'd like you to visit acolablue.com.
[00:22:13.007 --> 00:22:16.510]  Acolablue is a state-of-the-art atmospheric water generator.
[00:22:16.900 --> 00:22:28.883]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:22:29.443 --> 00:22:31.463]  Finally, drinking water that you control.
[00:22:31.763 --> 00:22:32.743]  I use one every day.
[00:22:33.183 --> 00:22:38.645]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[00:22:38.865 --> 00:22:41.165]  The Ecola Blue 28 is shipped right to your home.
[00:22:41.445 --> 00:22:44.626]  Ready to make close to seven gallons a day right out of the box.
[00:22:45.246 --> 00:22:47.027]  They have a 30-day money-back guarantee.
[00:22:47.367 --> 00:22:50.529]  Call Acola Blue right now at 866-585-4044.
[00:22:50.689 --> 00:22:52.610]  That's 866-585-4044.
[00:22:52.730 --> 00:22:57.632]  Or visit Acola Blue at E-C-O-L-O-B-L-U-E.com today.
[00:22:59.453 --> 00:23:04.535]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:23:04.875 --> 00:23:07.156]  Because there's a war on for your mind.
[00:23:13.869 --> 00:23:19.151]  Alright, I've got a lot of callers here dealing with this situation.
