[00:00:04.699 --> 00:00:06.180]  Thank you, Mr. Chairman.
[00:04:06.014 --> 00:04:11.476]  It seems like every time I go on vacation, Murphy's Law, huge news develops.
[00:04:12.897 --> 00:04:14.618]  But obviously,
[00:04:15.342 --> 00:04:17.163]  The outrage has occurred.
[00:04:18.083 --> 00:04:20.764]  Barack Obama has been given a Nobel Prize.
[00:04:20.824 --> 00:04:23.344]  Not just a Nobel Prize, a Nobel Peace Prize.
[00:04:24.285 --> 00:04:27.786]  This is the guy going back on all his promises, expanding the wars.
[00:04:29.006 --> 00:04:32.947]  This is the individual deploying Brigade Homeland here in the U.S.
[00:04:33.347 --> 00:04:37.829]  We're going to be covering it all today.
[00:04:38.709 --> 00:04:41.670]  And the latest with what's happening with the economy as well.
[00:04:42.759 --> 00:04:46.061]  This is like giving Hitler the Peace Prize, or Stalin.
[00:04:46.542 --> 00:04:48.423]  But, it's all a big joke to them.
[00:04:48.623 --> 00:04:50.765]  It's all part of the funniness.
[00:04:51.486 --> 00:04:53.227]  And there's a big attack piece out against me.
[00:04:53.367 --> 00:04:56.769]  In a major publication, The New Republic.
[00:04:56.809 --> 00:04:58.551]  We'll cover that today as well.
[00:05:00.322 --> 00:05:05.509]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:05:05.649 --> 00:05:07.572]  Will you continue to be their profit center?
[00:05:07.712 --> 00:05:09.995]  Buying their processed food that makes you sick?
[00:05:10.175 --> 00:05:12.018]  Go to the doctor and buy their drugs?
[00:05:12.438 --> 00:05:13.800]  You don't have to cooperate.
[00:05:14.080 --> 00:05:15.102]  There is a solution.
[00:05:15.322 --> 00:05:23.345]  Interhealth Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:05:23.745 --> 00:05:30.828]  Try their Interfood with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:05:31.208 --> 00:05:36.870]  It even won the award for best superfood of 2009 from our friend Mike Adams, the health major.
[00:05:37.250 --> 00:05:42.833]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:05:43.273 --> 00:05:47.075]  Try all of their truly honest products that will keep you alive and healthy.
[00:05:47.415 --> 00:05:53.618]  Go to enerfood.com or give them a call right now, 866-762-9238.
[00:05:54.879 --> 00:05:58.181]  Click on their banner at infowars.com to see all the available discounts.
[00:06:00.954 --> 00:06:06.398]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:06:06.658 --> 00:06:07.979]  And we knew what to do.
[00:06:07.999 --> 00:06:09.801]  Or at least we thought we did.
[00:06:09.981 --> 00:06:16.425]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:06:17.006 --> 00:06:25.532]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:06:25.922 --> 00:06:32.731]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:06:33.031 --> 00:06:36.075]  He had his hand over the radio while he was getting the countdown.
[00:06:36.196 --> 00:06:41.262]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom!
[00:06:41.963 --> 00:06:44.526]  This is an emergency transmission worldwide.
[00:06:45.026 --> 00:06:50.872]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:06:51.073 --> 00:06:53.615]  Or order the DVD at Infowars.com.
[00:06:54.016 --> 00:06:58.941]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:07:00.546 --> 00:07:03.727]  Before you throw away your used batteries, you need to listen to this.
[00:07:04.067 --> 00:07:05.808]  Now, going green can save money.
[00:07:06.088 --> 00:07:11.429]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:07:11.649 --> 00:07:19.372]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:07:19.672 --> 00:07:26.374]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical
[00:07:26.414 --> 00:07:26.834]  I think so.
[00:07:54.056 --> 00:07:56.739]  That's 208-772-4514.
[00:07:57.580 --> 00:07:59.422]  Be a part of the revolution today.
[00:08:00.423 --> 00:08:05.348]  Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:05.688 --> 00:08:07.971]  Because there's a war on for your mind.
[00:08:10.575 --> 00:08:15.359]  I'm looking at the latest headlines at PrisonPlanet.com and the featured news section.
[00:08:15.399 --> 00:08:20.224]  Swine flu document lists sports arena and mass vaccination centers.
[00:08:20.664 --> 00:08:23.006]  We told you that was in all the previous documents.
[00:08:23.047 --> 00:08:24.107]  Now it's being openly announced.
[00:08:24.688 --> 00:08:28.772]  Also, Obama will bypass Congress and detain suspects indefinitely.
[00:08:31.014 --> 00:08:32.916]  Poll, only 14% of Americans.
[00:08:34.688 --> 00:08:38.771]  Believe Bush allowed 9-1-1 to happen, 8% unsure.
[00:08:39.091 --> 00:08:46.877]  That is the complete opposite of all of the other polls that have showed 84% believing they allowed it to happen.
[00:08:47.318 --> 00:08:50.420]  I mean, this poll is just an absolute fraud.
[00:08:50.440 --> 00:08:55.144]  We need to point that out if we post an article, some of the older polls.
[00:08:57.225 --> 00:08:59.767]  That is just the public policy polling.
[00:08:59.787 --> 00:09:03.310]  I mean, that poll flies at the opposite of all other polls.
[00:09:03.530 --> 00:09:04.291]  Absolute fraud.
[00:09:05.400 --> 00:09:08.983]  Unbelievable how they're now putting out fake polls to counter all the hundreds of other real polls.
[00:09:10.384 --> 00:09:12.866]  Ladies and gentlemen, we had Congressman Ron Paul on.
[00:09:12.906 --> 00:09:14.747]  We had Congressman Alan Grayson on.
[00:09:15.168 --> 00:09:21.733]  That was the best interview that I have ever done today with Ron Paul.
[00:09:21.773 --> 00:09:22.353]  I will tell you that.
[00:09:22.373 --> 00:09:24.375]  I'm very, very proud of the information that was covered there.
[00:09:25.336 --> 00:09:28.558]  And that rebroadcast is coming up in an hour and 50 minutes.
[00:09:28.578 --> 00:09:34.863]  We'll have Ron Paul and the Congressman Alan Grayson interview coming
[00:09:35.626 --> 00:09:36.886]  Back up as well.
[00:09:37.347 --> 00:09:46.370]  For the rest of this hour and the next hour, we're getting reports live from the G20, the open announcement of world government, and they're planning on the deal to start shutting down the dollar.
[00:09:46.650 --> 00:09:48.991]  All we have left is the dollar in our economy.
[00:09:50.131 --> 00:09:51.952]  That's all we produce is the fiat currency.
[00:09:51.992 --> 00:09:52.932]  This is curtains.
[00:09:53.012 --> 00:09:55.793]  As Ron Paul said, it's going to be the worst thing we've ever seen financially.
[00:09:55.813 --> 00:10:02.515]  This is... They staged the implosion last year to get everybody to go along with a handover of power to them.
[00:10:04.396 --> 00:10:05.056]  It's unspeakable.
[00:10:05.842 --> 00:10:10.546]  Dr. Sherry Tenpenny is a member of the prestigious National Speakers Association.
[00:10:10.626 --> 00:10:14.388]  Dr. Tenpenny is an outspoken advocate for free choice in health care.
[00:10:14.869 --> 00:10:20.833]  Dr. Tenpenny is a board-certified emergency medicine and osteopathic manipulative medicine.
[00:10:21.174 --> 00:10:30.481]  Prior to her career in alternative medicine, Dr. Tenpenny served as director of the emergency department of Blanchard Valley Regional Hospital Center in Findlay, Ohio in 1996.
[00:10:30.881 --> 00:10:33.123]  Dr. Tenpenny founded
[00:10:35.865 --> 00:10:41.593]  The Osteomed 2, expanding her practice and her vision of combining the best of conventional and alternative medicine.
[00:10:41.994 --> 00:10:46.240]  DrTinPenny.com is her website and her book is a bestseller.
[00:10:46.681 --> 00:10:48.904]  Foul, bird flu, it's not what you think.
[00:10:49.545 --> 00:10:55.526]  Which is updated for the swine flu and explains the scam, what the shots do, what the adjuvants do, what the mercury does.
[00:10:56.007 --> 00:11:00.708]  We have it available and discounted at InfoWars.com, a secure online video bookstore shopping cart.
[00:11:01.008 --> 00:11:02.128]  You can call toll free to get it.
[00:11:02.148 --> 00:11:04.769]  I hope everybody gets it.
[00:11:04.789 --> 00:11:05.129]  888-253-3139.
[00:11:05.769 --> 00:11:07.810]  You can also go to DrTimPenney.com to get it.
[00:11:08.150 --> 00:11:11.010]  I want to put that out there for folks that want to actually be experts on this.
[00:11:11.811 --> 00:11:13.191]  This was compiled by the expert.
[00:11:13.211 --> 00:11:17.352]  She's seen by many as the expert on just the wide spectrum analysis
[00:11:18.432 --> 00:11:26.476]  Of what is... of the wide spectrum of what's happening.
[00:11:26.816 --> 00:11:29.458]  Let's go to Dr. Sherry J. Tenpenny.
[00:11:29.498 --> 00:11:30.738]  Doctor, great to have you here with us.
[00:11:30.898 --> 00:11:31.799]  Thanks so much, Alex.
[00:11:31.839 --> 00:11:32.699]  Thanks for having me on.
[00:11:33.220 --> 00:11:33.520]  You bet.
[00:11:33.540 --> 00:11:34.500]  It's good to have you here.
[00:11:34.520 --> 00:11:44.905]  You know, instead of me throwing out a bunch of questions about what do you think of the fear-mongering, what do you think of the adjuvants, what do you think of the announcements of sports stadiums, trying to force medical workers quietly to take it through color of law,
[00:11:47.219 --> 00:11:49.160]  Just what do you think is most important right now?
[00:11:49.180 --> 00:11:52.041]  And give us a report on what you think is key.
[00:11:53.281 --> 00:11:57.782]  What I think is key is to do whatever you have to do to keep yourself healthy.
[00:11:58.423 --> 00:12:04.584]  And I've always been a big proponent, you know Alex, you and I have talked about this before, in terms of health is from the inside out.
[00:12:04.604 --> 00:12:09.686]  And what's happening externally in terms of the bug, there's not a big reason to be afraid of that.
[00:12:10.086 --> 00:12:12.667]  But you have to keep yourself healthy from the inside out.
[00:12:13.442 --> 00:12:20.367]  One of the problems though is that the FDA is going to make it increasingly more difficult for you to keep yourself healthy.
[00:12:20.767 --> 00:12:31.334]  They've been sending out letters since May of this year for any sort of vitamin and supplement company that is putting out supplements that says that it can protect you and boost your immune system against the flu.
[00:12:31.795 --> 00:12:38.279]  And if they've mentioned the H1N1 flu virus in any of their products, the FDA is sending them warning letters
[00:12:38.735 --> 00:12:45.540]  That are actually, could potentially cause them to, and threatening criminal prosecution of these people.
[00:12:46.140 --> 00:12:53.926]  So it seems to me that they're trying to eliminate the competition and make it harder and harder for people to stay healthy and take care of themselves if they do get sick.
[00:12:56.068 --> 00:13:00.591]  There was a, in the, they had a final ruling that came out today also about colloidal silver.
[00:13:00.651 --> 00:13:04.114]  I mean, I know that, or it came out last week, I know that a lot of the
[00:13:04.844 --> 00:13:10.487]  People that I get a lot of emails from, and I'm sure you do too, they ask, you know, why don't I talk a lot about colloidal silver?
[00:13:10.867 --> 00:13:30.437]  Well, I've seen this coming down the road and that the FDA was going to say it's not generally recommended as safe and that they're taking regulatory action against the product that's marketed as a dietary supplement unless it's labeled in a very specific way and it's marketed in a very specific way.
[00:13:30.928 --> 00:13:36.994]  And that it cannot be protected by the DSHEA Supplement Act if it has a topical gel or anything that's used on the skin.
[00:13:37.955 --> 00:13:39.536]  They've had this out there for a while.
[00:13:39.597 --> 00:13:44.361]  It's been out there since 1997, but the final ruling on this just came down last week.
[00:13:45.002 --> 00:13:50.767]  On August... It's just last Thursday, as a matter of fact, and it was listed in the Federal Register.
[00:13:52.220 --> 00:14:02.622]  That all over-the-counter drug products containing colloidal silver ingredients or silver salts are used for external use, are not generally recognized as safe and effective, and are misbranded.
[00:14:03.142 --> 00:14:18.845]  So, it makes me nervous that it seems as though all of the products that we in the natural health community have used safely for years and have seen great results with it, whether it be vitamins, supplements, herbs, colloidal silver, it seems as though those products may be taken away from us.
[00:14:19.952 --> 00:14:29.799]  Well, you know, I've got colloidal silver generator, and I've got some I've bought, but I need to remind my wife to buy a whole bunch of the better products that are out there as they shut down this tool.
[00:14:30.040 --> 00:14:43.770]  You're a medical doctor, and I've had medical doctor after medical doctor after medical doctor on, in many cases, who aren't even involved in promoting it, and they say, no, it's a very strong antiviral and antibacterial, and in a lot of studies, and I'm going to ask you if this is correct,
[00:14:44.290 --> 00:14:54.016]  It shows it's a lot better than Tamiflu or other things they're making all this money off of, but I guess they're saying as a doctor you're not allowed to practice medicine and say that... I mean, what do we know from the studies?
[00:14:54.056 --> 00:14:55.837]  I mean, what does Cloyl Silver do?
[00:14:55.897 --> 00:15:10.525]  I mean... Well, what they're saying in this FDA ruling, and this really comes right off of the FDA website, and the ruling went into effect September 16th, so this is really kind of hot off the presses, and what it says is that anything that people have seen, that there's no information about
[00:15:10.925 --> 00:15:13.026]  Strength, quality, purity, and potency.
[00:15:13.427 --> 00:15:18.470]  And there was a lot of people who sent in and gave testimonials about different types of things.
[00:15:18.950 --> 00:15:26.715]  And they said that it was all anecdotal evidence, that nobody had submitted anything that proved anything to any kind of a drug quality standard.
[00:15:27.095 --> 00:15:30.097]  But they've known for thousands of years that silver is a strong antibiotic.
[00:15:30.377 --> 00:15:33.039]  Right, and they're not allowing it to be grandfathered in.
[00:15:33.059 --> 00:15:34.140]  They are very clear in that.
[00:15:36.297 --> 00:15:50.169]  That without evidence, and I'm reading right from the report, Alex, where it says, without evidence that the composition and labeling has not changed since 1938 or 1962, the products cannot qualify for either grandfather exemption.
[00:15:51.770 --> 00:15:53.772]  So that means specifically as a doctor?
[00:15:54.488 --> 00:15:56.029]  Oh no, we use it in our practice, we've used it for years.
[00:15:56.049 --> 00:15:56.949]  I mean, what does it do?
[00:15:57.029 --> 00:16:18.460]  Explain to people why micro-silver kills bacteria and viruses, when antibiotics only kill bacteria, antivirals only weaken viruses, and then it looks obvious to me that right as everybody's realizing this is something that the evidence has shown in the past has some good effects against flu and things, that they're now saying, you better not use this, you better not have it.
[00:16:19.184 --> 00:16:28.310]  And you better not use certain vitamins and you better not use certain herbals like medicinal mushrooms and things like that that boost up your own resistance to external microbes.
[00:16:28.951 --> 00:16:41.520]  Back to your question, I mean, the way that it's understood that how the silver particles work is that they go in and they cause the metabolism of the bug to stop working and they stop the replication of viruses and it lysis the cell membrane of bacteria and fungus.
[00:16:42.168 --> 00:16:55.120]  And I'm not an expert on the physiology of that, Alex, and I think there might be some loopholes for some of the manufacturers, but I have seen FDA warning letters that went out a while ago for people who are manufacturers of this.
[00:16:55.760 --> 00:17:08.412]  And I guess my point, when you asked me what did I think was important, is that we have a lot of tools in the natural health community to not only get us well after we've been sick so that we can avoid things like Tamiflu,
[00:17:08.837 --> 00:17:14.359]  But that we can build up our own resistance and build up our own internal strength against these microbes.
[00:17:15.059 --> 00:17:27.244]  And it looks as though at every turn, not only are they promoting this vaccine and everybody has to be vaccinated, and I know you've talked about this a lot, and a lot of the writings and the radio I've been on, too, has been a lot about the vaccine.
[00:17:27.304 --> 00:17:30.205]  But it's like, what else can we do to keep ourselves healthy?
[00:17:30.766 --> 00:17:36.768]  It's concerning to me that it looks like a lot of these tools are being shut down by the FDA and FDA also.
[00:17:38.126 --> 00:17:39.347]  Well, it's outrageous.
[00:17:40.828 --> 00:17:42.570]  I mean, I've read the reports.
[00:17:42.590 --> 00:17:55.280]  We've had medical doctor after medical doctor on, and I have gone back and seen studies over the last hundred years about tiny silver particles just shredding viruses and bacteria.
[00:17:56.421 --> 00:17:59.724]  It's like holy water to a vampire.
[00:18:00.805 --> 00:18:03.127]  I mean, I've got it for my family.
[00:18:06.334 --> 00:18:13.979]  I've seen the studies that elderberry might be bad because it could actually cause a hemorrhagic immune response and jack up your immune system and trigger something.
[00:18:13.999 --> 00:18:17.201]  I don't understand all the properties of that, so we're not going to use that.
[00:18:18.182 --> 00:18:20.264]  And then I guess in America, they could come after you.
[00:18:20.284 --> 00:18:22.045]  I'm not even allowed to ask you a medical doctor.
[00:18:22.065 --> 00:18:29.150]  I mean, I guess get sun, because vitamin D helps, especially the type that the skin produces.
[00:18:30.030 --> 00:18:31.771]  I guess I'm not allowed to ask you if that's good.
[00:18:31.811 --> 00:18:34.954]  I guess I'm not allowed to ask if getting a lot of sleep is good and being healthy.
[00:18:36.194 --> 00:18:36.994]  I guess I'm not allowed.
[00:18:37.014 --> 00:18:38.715]  I mean, what are you doing for yourself?
[00:18:39.775 --> 00:18:50.219]  Well, we're doing things like alcohol and water, and lots of vitamin C, lots of vitamin D, vitamin A, trying to get fresh air.
[00:18:50.239 --> 00:18:51.619]  You know, all the things that I talk about.
[00:18:51.719 --> 00:19:02.783]  Exercise, sleep, fresh air, fresh water, good food, try to eat organic as much as we can, try to get some little bit of exercise, get out of the chair and away from the computer and do some exercise.
[00:19:04.179 --> 00:19:06.680]  And I think that that's what's really, really important.
[00:19:06.700 --> 00:19:12.002]  And the other thing is a lot of, you know, our emotions play a big role in what happens to our bodies also.
[00:19:12.022 --> 00:19:22.545]  And if you live in that state of fear, that big fear factor, what that does is it suppresses your cortisol levels and it makes, or it increases your cortisol levels and makes you more susceptible to illness and disease.
[00:19:23.413 --> 00:19:27.515]  So, my husband and I, we just don't live in a fear-based place about all this stuff.
[00:19:27.575 --> 00:19:37.920]  We sort of look at it and say, I'm not going to get the vaccine, I'm not going to do it, and whatever happens is going to happen, and if I have to self-quarantine and pull up in my house with food and vitamins and water, that's what I'm going to do.
[00:19:38.640 --> 00:19:40.361]  While you can still get vitamins.
[00:19:40.401 --> 00:19:41.341]  While you can still get it.
[00:19:42.502 --> 00:19:43.862]  Dr. Sherry Tinpenny, stay there.
[00:19:43.882 --> 00:19:44.703]  I want to get into
[00:19:45.706 --> 00:19:52.155]  The fact that Dr. Monteith has a flu report from the CDC saying it's going to peak the middle of next month, right when all the vaccine injections get going.
[00:19:52.795 --> 00:19:57.441]  I want to get into adverse reactions in Europe from the vaccine and other vaccines.
[00:19:58.283 --> 00:19:59.444]  The forced inoculation.
[00:19:59.504 --> 00:19:59.925]  Stay with us.
[00:20:00.973 --> 00:20:04.734]  Berkey water systems are the most trusted name in water filtration available on the market.
[00:20:04.854 --> 00:20:21.839]  The revolutionary Berkey Light self-sterilizing and recleanable purification elements purify water by removing pathogenic bacteria, cysts, and parasites to non-detectable levels and by extracting harmful chemicals such as herbicides, pesticides, VOCs, organic solvents, radon-222, and trihalomethanes.
[00:20:22.159 --> 00:20:26.842]  They also reduce nitrates, nitrites, sediment, and unhealthy minerals such as lead and mercury.
[00:20:27.242 --> 00:20:33.986]  As an authorized dealer for over four years serving thousands of satisfied customers, we offer amazing specials for Berkey Light water systems.
[00:20:34.406 --> 00:20:42.311]  Order the Berkey Light system today and we'll include two black Berkey elements and three sport Berkey water bottles for only $209 with free shipping.
[00:20:42.611 --> 00:20:48.455]  That's right, free shipping and three sport Berkey water bottles at $89 value, free for a limited time.
[00:20:48.815 --> 00:20:53.437]  Just call the Berkey guy at 877-886-3653 now to order.
[00:20:53.497 --> 00:21:00.159]  That's the Berkey guy at 877-886-3653 or visit our website at Directed21.com.
[00:21:00.679 --> 00:21:02.700]  Why are you letting that search engine spy on you?
[00:21:02.860 --> 00:21:03.581]  Spy on me?
[00:21:03.701 --> 00:21:03.981]  Yeah.
[00:21:04.021 --> 00:21:08.942]  Don't you know Google, Yahoo, and other search engines record all your searches and store them in a giant database?
[00:21:09.083 --> 00:21:10.563]  You should use Startpage instead.
[00:21:10.703 --> 00:21:11.383]  Startpage?
[00:21:11.443 --> 00:21:12.864]  Yeah, Startpage.com.
[00:21:12.964 --> 00:21:15.725]  The new name for Ixquik, the world's most private search engine.
[00:21:15.905 --> 00:21:19.650]  They don't record your searches or your IP address, and the search results are great.
[00:21:19.791 --> 00:21:22.715]  Plus, StartPage is third-party certified, and it's totally free.
[00:21:22.915 --> 00:21:25.278]  I don't want Big Brother watching what I do on the internet.
[00:21:25.538 --> 00:21:27.040]  I'm adding StartPage to my browser.
[00:21:27.141 --> 00:21:27.381]  Right!
[00:21:27.441 --> 00:21:30.445]  Go to StartPage.com and start searching with privacy.
[00:21:30.766 --> 00:21:32.268]  Hello folks, this is Alex Jones.
[00:21:32.668 --> 00:21:36.189]  There are some habits you need to break if you want to hold on to your privacy.
[00:21:36.529 --> 00:21:40.150]  That's why I'm inviting you to take the one-week StartPage Challenge.
[00:21:40.310 --> 00:21:45.271]  The next time you're about to look something up on Google, Yahoo, or Bing, go to StartPage.com instead.
[00:21:45.451 --> 00:21:48.431]  Try seven days of StartPage and break the big brother habit.
[00:21:48.851 --> 00:21:50.412]  Do yourself and your privacy a favor.
[00:21:50.612 --> 00:21:54.533]  Try StartPage.com for seven days and start protecting your privacy.
[00:21:54.893 --> 00:21:56.473]  That's StartPage.com.
[00:22:00.467 --> 00:22:06.673]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:22:07.134 --> 00:22:14.921]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:22:15.261 --> 00:22:20.847]  Is this a flaw for the enterprise or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:22:21.167 --> 00:22:23.108]  Ensuring inflation and higher taxes.
[00:22:23.408 --> 00:22:28.170]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:22:28.510 --> 00:22:33.232]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:22:33.732 --> 00:22:37.594]  A gripping adventure into the secret world of international banking cartel.
[00:22:38.074 --> 00:22:39.094]  Hi, this is Ted Anderson.
[00:22:39.174 --> 00:22:43.196]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:22:43.656 --> 00:22:48.043]  Call 1-800-686-2237 and order a copy today.
[00:22:48.584 --> 00:22:51.128]  It's critical that the public be made aware of the system.
[00:22:51.568 --> 00:22:53.251]  Call and order your copy today at 1-800-686-2237.
[00:22:53.351 --> 00:22:53.571]  That's 1-800-686-2237.
[00:23:00.302 --> 00:23:01.563]  Do you have trouble getting through the day?
[00:23:01.723 --> 00:23:03.064]  Do you feel tired and worn out?
[00:23:03.424 --> 00:23:04.885]  Pounding expensive energy drinks?
[00:23:05.246 --> 00:23:09.849]  It's a proven fact many people do not get the proper daily intake of essential vitamins and nutrients.
[00:23:10.149 --> 00:23:14.813]  With the lifestyles we lead, eating fruits and vegetables is sometimes easier said than done.
[00:23:15.173 --> 00:23:16.874]  Introducing Choose4Health.
[00:23:17.134 --> 00:23:23.219]  Choose4Health brings you 16 powerful ingredients in one delicious chewable for around 75 cents per day.
[00:23:23.459 --> 00:23:27.581]  Each Chewable contains a full day's worth of the necessary fruit and vegetable intake you need.
[00:23:27.801 --> 00:23:36.184]  Chews for Health also contains antioxidants and vitamin B12 to give you that extra boost to curb midday cravings for snacks, energy drinks, and coffee.
[00:23:36.384 --> 00:23:43.586]  Call 1-800-210-1922 right now and you will receive a one-week supply of Chews for Health absolutely free.
[00:23:43.887 --> 00:23:45.067]  Just pay shipping and handling.
[00:23:45.407 --> 00:23:47.508]  Call 1-800-210-1922.
[00:23:47.828 --> 00:23:50.890]  That's 1-800-210-1922.
[00:23:51.050 --> 00:23:53.411]  Or visit orderchoose.com.
[00:23:53.671 --> 00:23:56.572]  That's order, C-H-E-W-S, dot com.
[00:23:56.972 --> 00:23:58.773]  Start your healthy lifestyle now.
[00:24:03.175 --> 00:24:05.156]  Come, you masters of war.
[00:24:07.677 --> 00:24:09.558]  It'll build a big guns.
[00:24:12.019 --> 00:24:12.980]  It'll build a death plan.
[00:24:16.184 --> 00:24:17.785]  Dr. Sherry Tenpenny is our guest.
[00:24:18.165 --> 00:24:26.249]  Sherry, I want to get into the open announcements trying to force police, firefighters, military, medical workers to take the shots, threatening to fire them.
