[00:00:00.009 --> 00:00:00.069]  Wow.
[00:03:25.761 --> 00:03:30.263]  They're diagnosed as being hyper because they ask questions or they're not happy with the answers they get.
[00:03:31.022 --> 00:03:31.482]  We're good to go.
[00:03:47.794 --> 00:03:48.174]  We're good.
[00:04:03.118 --> 00:04:06.521]  And they say there'll be a drastic reduction after the year 2050.
[00:04:06.921 --> 00:04:09.683]  The world they'll bring in too will also be a vegetarian world.
[00:04:09.823 --> 00:04:10.844]  That's on the cards.
[00:04:11.284 --> 00:04:17.448]  They say that the raising of livestock is just too labor intensive and cost intensive with carbon, etc.
[00:04:17.468 --> 00:04:22.452]  So they're going to eliminate meat for the masses and be left with the GMO foods.
[00:04:23.072 --> 00:04:25.694]  But population reduction is a big, big part of this.
[00:04:26.255 --> 00:04:29.217]  And eventually they hope to bring themselves through at the top.
[00:04:30.164 --> 00:04:43.499]  These wise ones, ones that think that they're superior and believe it so, with a technocratic and scientific elite coming through with them and just a few servants to basically supply their needs at the bottom.
[00:04:44.019 --> 00:04:46.982]  So this is their big agenda for their brave new world.
[00:04:47.543 --> 00:04:48.364]  And unfortunately,
[00:04:48.993 --> 00:04:49.894]  Thank you very much.
[00:05:05.034 --> 00:05:13.719]  They've had total indoctrination through the international educational system along the same path of sit back and enjoy yourself and don't complain about anything.
[00:05:14.359 --> 00:05:18.441]  We're talking about neo-feudalism in the Globalist's own words.
[00:05:18.681 --> 00:05:22.003]  Speak about the final revolution, the scientific elite.
[00:05:22.523 --> 00:05:26.566]  Integrated with the central banks, as David Rockefeller said in the quote I read earlier.
[00:05:53.443 --> 00:05:55.984]  Yes, it's even more insidious.
[00:05:56.524 --> 00:05:57.744]  They have done experiments.
[00:05:58.224 --> 00:06:19.889]  Arthur Kessler, who worked for MI5 and MI6 during the war, was also attached to think tanks in New York and experimental scientific laboratories for the United Nations, and he said that they'd already done experiments on lobotomizing that part of your brain which makes you you, uniquely you.
[00:06:20.309 --> 00:06:21.689]  He called it the ghost in the machine.
[00:06:22.623 --> 00:06:24.406]  And he said there's different techniques.
[00:06:24.486 --> 00:06:28.471]  One of them was delivery of chemicals to the brain via inoculation.
[00:06:28.491 --> 00:06:30.133]  It was very successful.
[00:06:30.979 --> 00:06:37.542]  And he also said, too, you won't need your survival capabilities because, again, the state will be making all your decisions for you.
[00:06:37.782 --> 00:06:39.583]  And Bertrand Russell said the same thing.
[00:06:39.623 --> 00:06:58.032]  He said, through diet, education, and other forms of brainwashing, and through injecting people, that humanity being able to rebel against their extermination would be as futile as sheep forming a rebellion against the practice of eating mutton.
[00:06:58.692 --> 00:06:59.173]  That's right.
[00:06:59.253 --> 00:07:00.013]  So Russell
[00:07:00.863 --> 00:07:06.124]  And Kessler, all of these guys, and Russell Kessler, by the way, both worked for MI5.
[00:07:06.484 --> 00:07:07.684]  That's in the open now.
[00:07:07.844 --> 00:07:08.744]  It's now declassified.
[00:07:09.224 --> 00:07:10.285]  It's declassified.
[00:07:11.345 --> 00:07:15.305]  And again, you have the Huxleys as well, who wrote about this in the 30s.
[00:07:15.966 --> 00:07:29.788]  Julian Huxley ended up running UNESCO, and he was quite open about the agenda of international education, which would, in reality, be an incredible scientific indoctrination, which would dumb the people down until they would accept anything.
[00:07:30.348 --> 00:07:34.833]  And they all were on track with the vast reduction of the population.
[00:07:35.314 --> 00:07:38.737]  And again, this brave new world where only the fittest would come through.
[00:07:38.757 --> 00:07:41.220]  They're all Darwinists, basically.
[00:07:41.580 --> 00:07:44.504]  And they do believe they're more evolved than the rest of the general public.
[00:07:46.548 --> 00:07:47.168]  Absolutely.
[00:07:47.188 --> 00:07:53.951]  You know, when I've talked to globalists and people in the elite and their fellow travelers, they say, Alex, you're aware of all this.
[00:07:53.991 --> 00:07:55.372]  That means you should be one of us.
[00:07:55.772 --> 00:07:57.293]  Look, the slaves don't care.
[00:07:57.393 --> 00:08:00.774]  Notice how you tell them and they, you know, they don't care if we're putting fluoride in the water.
[00:08:00.794 --> 00:08:02.315]  They don't care if we're injecting them with mercury.
[00:08:02.815 --> 00:08:04.756]  They don't deserve to go into the future.
[00:08:05.336 --> 00:08:09.759]  And it's a very sick mindset, because they take the general public and dumb it down even further.
[00:08:11.060 --> 00:08:20.105]  They advertise eugenics as positive eugenics, advancing the elite, and negative eugenics, calling out the inferiors.
[00:08:20.165 --> 00:08:29.151]  But in reality, when you read deeper into eugenics, it's really about, as you said, suppressing the best in humanity that isn't evil.
[00:08:29.411 --> 00:08:34.354]  You know, they want the best of humanity that is evil, you know, that has their cold-blooded worldview.
[00:08:34.595 --> 00:08:41.520]  They're threatened by those on the light side who are intelligent and can go through and defeat all this propaganda mentally and make it through.
[00:08:42.280 --> 00:08:45.242]  They want to neutralize and actually dumb down the mass.
[00:08:45.582 --> 00:08:46.623]  It is the ultimate crime.
[00:08:47.564 --> 00:08:52.587]  It's a crime, but see, they also run on these odd theories that become their realities.
[00:08:52.687 --> 00:08:54.769]  They force these realities upon the public.
[00:08:55.652 --> 00:09:10.815]  And we find out that in the US and in Britain, for instance, and most countries in the West, they implemented a policy from a philosopher, Isaiah Berlin, in Oxford University, who talked about negative freedom and positive freedom.
[00:09:11.415 --> 00:09:17.396]  And he said, we're running the world right now on negative freedom, where the people are basically kept dumb, stupid and happy.
[00:09:18.036 --> 00:09:20.457]  But there's very little interference from the state.
[00:09:21.383 --> 00:09:31.886]  And when Tony Blair was in, he wrote to this mentor and he asked, is it possible to combine that type of freedom with positive freedom?
[00:09:31.946 --> 00:09:37.948]  Positive freedom is where you get the whole world or all of society working like the Soviets towards some great new dawn.
[00:09:38.966 --> 00:09:45.470]  Working together, and he wanted to combine the two of them, and he asked this mentor if it was possible to do so.
[00:09:46.030 --> 00:09:50.552]  So, it's astonishing to realize they dumb us all down.
[00:09:50.672 --> 00:09:52.413]  They keep us dumb and stupid.
[00:09:52.693 --> 00:10:03.019]  They give us the worst education in a long, long time, and until we have no reasoning abilities for ourselves, they give us all the inoculations which do affect the brain.
[00:10:03.039 --> 00:10:04.519]  I have no doubt about that whatsoever.
[00:10:04.559 --> 00:10:05.480]  They target the brain.
[00:10:06.474 --> 00:10:09.277]  And then they blame us for being dumb and stupid.
[00:10:10.018 --> 00:10:14.523]  This is again a psychopathic outlook on the world.
[00:10:14.783 --> 00:10:16.525]  That's how a psychopathic would see it.
[00:10:16.565 --> 00:10:19.228]  He blames his victim for the state they're in.
[00:10:21.070 --> 00:10:21.830]  Absolutely.
[00:10:22.090 --> 00:10:37.036]  So you have this tiny, maybe 1 out of 500 people that's an actual psychopath, about 1 out of 100 that's a sociopath in the studies, and they create these guilds and then have their own pseudo-humanist religion that rationalizes the horrible things they do.
[00:10:37.076 --> 00:10:44.819]  And then for the general public, they tell them they're doing this for their own good, but in private and in their own white papers, they chortle with glee.
[00:10:45.539 --> 00:10:47.940]  It's the ultimate control freak's power trip.
[00:10:48.647 --> 00:10:48.907]  It is.
[00:10:48.927 --> 00:10:57.234]  I always liken it to a farmer breaking the legs on his cow and then kicking the cow because it can't get up.
[00:10:58.254 --> 00:10:59.716]  Because that's what they've done to society.
[00:10:59.756 --> 00:11:05.340]  They've crippled the reasoning abilities of the general public and they blame society for it happening.
[00:11:07.148 --> 00:11:08.009]  Very, very sick people.
[00:11:08.049 --> 00:11:09.830]  But that's a replay of feudalism.
[00:11:09.890 --> 00:11:16.373]  I've read 500, 600-year-old communiques between French and British royalty who were cousins.
[00:11:17.034 --> 00:11:18.574]  And we've got to have a new war.
[00:11:19.295 --> 00:11:20.556]  Our people are getting uppity.
[00:11:20.956 --> 00:11:22.677]  Oh, we need to keep them down this way.
[00:11:23.577 --> 00:11:27.680]  You need to rape their women so they don't have any family lines, because that psychologically breaks them.
[00:11:28.000 --> 00:11:30.321]  You need to keep them at starvation level to control them.
[00:11:30.641 --> 00:11:31.822]  And that's what feudalism was.
[00:11:32.182 --> 00:11:36.665]  Not allowing to hunt, not allowing to have firewood, having to give most of what they produce to the elites.
[00:11:36.705 --> 00:11:39.667]  The elites would be a foot and a half taller.
[00:11:39.947 --> 00:11:41.708]  They called the slaves the little people.
[00:11:42.068 --> 00:11:48.172]  And they enjoyed the fact that they were starving and had snot running down their faces as they rode by in their finery.
[00:11:48.792 --> 00:11:50.753]  And in Japan they had the same system.
[00:11:51.094 --> 00:11:53.235]  This is what slave masters do.
[00:11:53.815 --> 00:11:55.098]  They hate us doing well.
[00:11:55.158 --> 00:11:56.420]  They hate us being beautiful.
[00:11:56.700 --> 00:11:57.842]  They hate our ideas.
[00:11:58.083 --> 00:12:05.996]  They hate the fact that it's the hybrid individual system that is actually more dynamic than them and that rises from the general mass.
[00:12:08.177 --> 00:12:16.263]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:12:16.423 --> 00:12:20.826]  In these troubled times, one of the most important things your family can have is good health.
[00:12:20.986 --> 00:12:25.509]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:12:25.649 --> 00:12:27.070]  It's a documented fact.
[00:12:27.930 --> 00:12:34.533]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:12:34.694 --> 00:12:46.539]  Now, you can fight internal parasites, heavy metals and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP with your favorite beverage, once a day.
[00:12:46.799 --> 00:12:50.461]  FPP is now available to you from FreshwaterOrganics.com.
[00:12:51.061 --> 00:12:53.463]  A two-month supply starts at just $17.
[00:12:54.203 --> 00:12:57.885]  FPP is so affordable you can't afford to do without.
[00:12:57.945 --> 00:13:01.408]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:13:01.428 --> 00:13:02.028]  That's 888-949-3570.
[00:13:08.312 --> 00:13:21.027]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:13:21.468 --> 00:13:28.216]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions.
[00:13:28.556 --> 00:13:32.117]  And the true perpetrators of this horrendous crime are brought to justice.
[00:13:32.497 --> 00:13:35.698]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:13:35.918 --> 00:13:43.419]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:13:43.799 --> 00:13:49.000]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:13:49.220 --> 00:13:52.121]  While you're visiting the online video store, be sure to check out the
[00:13:52.281 --> 00:13:52.882]  I'm good.
[00:14:09.448 --> 00:14:10.550]  Ted Anderson for Midas.
[00:14:10.590 --> 00:14:10.950]  February 19, 2009.
[00:14:11.010 --> 00:14:12.012]  Gold opened at $981.40.
[00:14:12.052 --> 00:14:14.755]  One ounce gold coins can be purchased for $1,919.00, $504.59 for half, $252.30 for quarter.
[00:14:14.815 --> 00:14:15.256]  That's $1,919.00, $504.59, and $252.30.
[00:14:27.088 --> 00:14:28.148]  We all want liberty.
[00:14:28.389 --> 00:14:29.589]  Some give their lives for it.
[00:14:29.749 --> 00:14:31.610]  A price that cannot be taken for granted.
[00:14:31.730 --> 00:14:33.891]  We forfeit bites and pieces of our freedom.
[00:14:34.011 --> 00:14:34.511]  For what?
[00:14:34.731 --> 00:14:46.075]  February 28th, Minnesota Campaign for Liberty will host Tom Woods, best-selling author of The Meltdown, Professor Butler, author of Trade on the Great Depression, and Bill Butler to cover monetary policy.
[00:14:46.295 --> 00:14:46.836]  We're good to go.
[00:15:08.752 --> 00:15:12.333]  Do you have trouble sleeping due to sensations in your legs?
[00:15:24.738 --> 00:15:25.278]  I don't know.
[00:15:44.844 --> 00:15:53.867]  Restulex will help ease and comfort your restless legs within 24 hours and will allow you to go back to your regular routine without discomfort or embarrassment.
[00:15:54.027 --> 00:15:55.888]  Call 888-4-FIT-LEGS.
[00:15:56.148 --> 00:15:58.009]  That's 888-434-8534.
[00:15:59.009 --> 00:16:01.390]  Or visit 4FitLegs.com.
[00:16:01.550 --> 00:16:03.851]  That's the number 4FitLegs.com.
[00:16:04.091 --> 00:16:06.952]  And ask how you can get Restulex for free today.
[00:16:08.453 --> 00:16:10.554]  Ease the T-Rex of political talk.
[00:16:11.114 --> 00:16:13.895]  Alex Jones on the GCN Radio Network.
[00:16:16.477 --> 00:16:26.125]  Alan, I'd like you to specifically get into who Barack Obama is, the betrayals we've already witnessed, and how he was perfectly packaged, you know, from your own perspective.
[00:16:26.886 --> 00:16:31.490]  Because, you know, they build up all this hatred of Bush, who certainly deserved it, but he's still just a front for the globalists.
[00:16:31.990 --> 00:16:35.834]  All of our energies are put into, you know, him instead of what the elites are actually doing behind the scenes.
[00:16:36.909 --> 00:16:38.030]  Yeah, it's just they're all puppets.
[00:16:38.470 --> 00:16:38.811]  It's a new puppet.
[00:17:05.174 --> 00:17:11.280]  And a new puppet show for the public because the last puppet show was becoming disgusting.
[00:17:11.300 --> 00:17:13.702]  We always get disgusted with politicians.
[00:17:13.742 --> 00:17:15.004]  That's what they say about democracy.
[00:17:15.024 --> 00:17:18.187]  You don't vote new people in, you vote the last bunch out.
[00:17:18.747 --> 00:17:19.588]  You're so sick of them.
[00:17:20.409 --> 00:17:22.371]  And they're putting in this man because
[00:17:23.089 --> 00:17:25.150]  We've seen so much corruption over the years.
[00:17:25.170 --> 00:17:29.971]  The politics and politicians were losing their favor in the eyes of the public.
[00:17:29.991 --> 00:17:31.212]  We're losing all respect for them.
[00:17:31.712 --> 00:17:34.233]  In fact, that's why they came in with the idea of terrorism.
[00:17:34.253 --> 00:17:36.633]  They gave government a new command over the public.
[00:17:36.673 --> 00:17:38.954]  That was the main idea behind it.
[00:17:39.634 --> 00:17:41.475]  A new myth for the age of terrorism.
[00:17:42.170 --> 00:17:45.512]  But Barack Obama is just another one of their boys.
[00:17:45.572 --> 00:17:47.893]  You can see all of his connections, the CFR and so on.
[00:17:48.193 --> 00:17:49.494]  He's committed to their agenda.
[00:17:49.514 --> 00:17:51.995]  He's given many speeches at the CFR.
[00:17:52.035 --> 00:17:53.576]  You can actually find them on the web.
[00:17:54.436 --> 00:17:57.477]  And he's all gung-ho for this whole New World Order idea.
[00:17:57.918 --> 00:18:03.580]  Now he's just sent off another 75,000 troops to Afghanistan or something.
[00:18:04.001 --> 00:18:05.681]  I mean, he's going right along with it.
[00:18:06.022 --> 00:18:08.843]  And he's got Brzezinski backing him up as well with his policies.
[00:18:09.143 --> 00:18:10.344]  The very man who helped
[00:18:12.205 --> 00:18:30.676]  And that's what's so arrogant about it is that Obama, even more than Bush, will go on Stephanopoulos' show, other shows, on every issue, on NAFTA, on GATT, on torture, on secret arrest, on expanding the war, and he'll just say, oh that was just campaign rhetoric.
[00:18:30.976 --> 00:18:35.039]  And they go, oh yeah, I lied to you, it's no big deal.
[00:18:35.768 --> 00:18:36.569]  That's right.
[00:18:37.010 --> 00:18:37.911]  It's the same old stuff.
[00:18:37.951 --> 00:18:43.777]  And I think those of us who get a bit older have seen so much of this our whole lives long, we take no interest in them at all.
[00:18:43.797 --> 00:18:44.618]  They're born liars.
[00:18:44.659 --> 00:18:46.320]  That's why they're picked there and put there.
[00:18:47.562 --> 00:18:50.485]  I don't think you find ordinary people trying to get into politics.
[00:18:50.505 --> 00:18:53.289]  You certainly won't find them getting up there in politics.
[00:18:53.860 --> 00:18:57.441]  Because the psychopathic types gravitate towards politics.
[00:18:57.461 --> 00:18:58.321]  They like the power.
[00:18:58.761 --> 00:18:59.842]  They're natural liars.
[00:18:59.922 --> 00:19:02.163]  They're at home amongst other psychopaths.
[00:19:02.763 --> 00:19:05.604]  And so that's the only type, unfortunately, that seems to get in there.
[00:19:05.964 --> 00:19:07.424]  But they're not the bosses, as we know.
[00:19:08.084 --> 00:19:13.986]  We know that it's the big foundations with their advising think tanks that are the policy makers.
[00:19:14.406 --> 00:19:16.967]  The politicians really are just, are nothing more than front men.
[00:19:18.766 --> 00:19:19.446]  Absolutely.
[00:19:19.547 --> 00:19:21.328]  Let's get into the next ten years.
[00:19:22.608 --> 00:19:23.629]  Is the program behind?
[00:19:23.709 --> 00:19:24.669]  Is it on schedule?
[00:19:24.709 --> 00:19:33.254]  What will we see unfold in the next year, the next two years, the next five, the next seven, you know, on into ten, if they're continuing with their program successfully?
[00:19:34.135 --> 00:19:39.498]  Well, I know that Brzezinski and Kissinger both said the same things, that the United States now must take the back seat.
[00:19:40.422 --> 00:19:40.622]  I think?
[00:20:04.520 --> 00:20:05.160]  We'll take Finland!
[00:20:31.713 --> 00:20:32.394]  Take Finland.
[00:20:32.434 --> 00:20:36.817]  I mean, as you know, over a decade ago, all your bank accounts are controlled by the government.
[00:20:37.097 --> 00:20:39.599]  When you get a ticket or a fine, they just take it out of your account.
[00:20:40.039 --> 00:20:44.423]  It's taken out of your account according to how much money you have, so it's class warfare society.
[00:20:44.703 --> 00:20:47.025]  The government admits they listen to all cell phone calls.
[00:20:47.365 --> 00:20:49.086]  The Finns have been conditioned to accept that.
[00:20:49.207 --> 00:20:50.007]  Everything's tracked.
[00:20:50.387 --> 00:20:51.308]  Everything's controlled.
[00:20:51.628 --> 00:20:52.909]  They euthanize the old.
[00:20:55.391 --> 00:21:01.035]  Abortion on demand, one-child policy basically being brought in, and now we're hearing them hype that here as well.
[00:21:01.075 --> 00:21:03.857]  So this is a hellish society of micromanagement.
[00:21:04.338 --> 00:21:05.279]  Yes, and it is global.
[00:21:05.479 --> 00:21:08.701]  Again, the UN was set up as the front for this organization.
[00:21:09.842 --> 00:21:18.068]  Once again, the same foundations and Rockefellers and so on, Ford, Carnegie, were the ones who started, set up the United Nations and funded it into existence.
[00:21:18.984 --> 00:21:26.023]  Uh, they're the real bosses here and what's astonishing is to find old Rockefeller in 94 still going around the world
[00:21:26.756 --> 00:21:34.698]  Giving talks to globalist societies and meetings about the depopulation of the planet being of utmost urgency.
[00:21:35.038 --> 00:21:36.999]  He's never changed his tune his whole life.
[00:21:37.039 --> 00:21:39.479]  He's as adamant now as he was when he was 18.
[00:21:39.739 --> 00:21:46.821]  And that's official State Department policy under State Department Memorandum 200 by Henry Kissinger and the classified CIA version of that.
[00:21:47.281 --> 00:21:50.002]  The extermination of the world population is the goal.
[00:21:50.422 --> 00:21:52.483]  World government is only the means to the end.
[00:21:52.803 --> 00:21:53.463]  We'll be right back.
[00:21:58.228 --> 00:21:59.110]  We're on the march.
[00:21:59.632 --> 00:22:01.195]  The Empire's on the run.
[00:22:01.215 --> 00:22:04.844]  Alex Jones and the GCN Radio Network.
[00:22:08.211 --> 00:22:11.253]  Have you ever wanted to generate your own supply of electrical power?
[00:22:11.693 --> 00:22:14.995]  If so, this is going to be the most important message you will ever hear.
[00:22:15.475 --> 00:22:21.419]  Solar-powered generators are now available from Solutions from Science, one of GCN's oldest and most trusted sponsors.
[00:22:21.779 --> 00:22:25.922]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:22:26.422 --> 00:22:32.145]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:22:32.446 --> 00:22:35.447]  It's like having an electric power plant running quietly in your own home.
[00:22:40.623 --> 00:22:40.783]  I think?
[00:22:58.829 --> 00:23:03.412]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:23:03.432 --> 00:23:05.333]  The enemy struck America on September 11th.
[00:23:17.614 --> 00:23:18.635]  But who is the enemy?
[00:23:19.155 --> 00:23:19.656]  Bin Laden.
[00:23:19.956 --> 00:23:20.957]  This is his M.O.
[00:23:20.977 --> 00:23:22.277]  We have to look to the Middle East.
[00:23:22.318 --> 00:23:23.959]  We have to look to Osama Bin Laden.
[00:23:24.319 --> 00:23:31.064]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:23:31.464 --> 00:23:31.905]  Some U.S.
[00:23:31.945 --> 00:23:37.629]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:23:38.289 --> 00:23:41.791]  I'm aware that some Israeli citizens have been detained.
[00:23:42.171 --> 00:23:52.037]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:23:52.277 --> 00:23:53.018]  Fabled enemies.
[00:23:53.498 --> 00:24:00.782]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:24:01.263 --> 00:24:04.625]  Either you are with us or you are with the terrorists.
[00:24:08.129 --> 00:24:17.876]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, K-Bar, Boker, Leatherman, and more.
[00:24:18.056 --> 00:24:22.019]  South Summit has one of the largest selections of self-defense products on the web.
[00:24:22.139 --> 00:24:31.967]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[00:24:32.047 --> 00:24:35.970]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty,
[00:24:36.630 --> 00:24:37.090]  I think so.
[00:24:51.798 --> 00:24:53.599]  Visit SouthSummit.com.
[00:24:53.679 --> 00:24:54.900]  That's SouthSummit.
[00:24:55.181 --> 00:24:57.182]  S-U-M-M-I-T.
[00:24:57.402 --> 00:24:59.063]  SouthSummit.com.
[00:24:59.244 --> 00:25:00.745]  Or call toll free 1-800-234-8654.
[00:25:00.785 --> 00:25:00.985]  That's 1-800-234-8654.
[00:25:19.818 --> 00:25:24.402]  Don't call my name out your window when I'm leaving.
[00:25:25.843 --> 00:25:28.266]  I won't even turn my head.
[00:25:28.326 --> 00:25:29.747]  Alright, we're back live folks.
[00:25:29.787 --> 00:25:31.008]  Thank you for joining us.
[00:25:31.048 --> 00:25:32.589]  Let's go right back to Alan Watt.
[00:25:37.296 --> 00:25:40.118]  Alan, I want to go to some phone calls.
[00:25:40.158 --> 00:25:41.559]  They'll be all over the map.
[00:25:42.059 --> 00:25:42.539]  That's fine.
[00:25:42.579 --> 00:25:44.661]  You can speak to all major issues.
[00:25:45.341 --> 00:25:46.762]  The toll-free number to join us is 1-800-259-9231.
[00:25:46.782 --> 00:25:46.842]  1-800-259-9231.
[00:25:46.862 --> 00:25:48.043]  And we will get you up and on the air.
[00:25:58.510 --> 00:26:01.692]  In fact, just give me a new fresh list, John, because I know folks have been holding a while.
[00:26:02.653 --> 00:26:11.739]  Continuing with how they're going to phase this in, I want listeners and viewers out there, we are simulcasting right now at PrisonPlanet.tv, to understand something.
[00:26:11.820 --> 00:26:13.641]  We're not joking about any of this.
[00:26:14.421 --> 00:26:19.985]  Remember, I've been on air more than 13 years now, just going off government documents and their own statements.
[00:26:20.706 --> 00:26:21.787]  Just two years ago,
[00:26:23.191 --> 00:26:32.016]  I would have globalists on this show like Mr. Rothschild and he would say, there's no plan for a global tax and laugh when I have the congressional hearings with his own group pushing for it.
[00:26:35.538 --> 00:26:37.180]  You know, they said they weren't building a world government.
[00:26:37.240 --> 00:26:38.401]  We had all their own documents.
[00:26:38.961 --> 00:26:48.891]  Judicial watch would sue and get the SPP documents and they'd say, we gotta keep it secret from the public, it's a new world order, we're gonna take their liberties through phony environmentalism and the threat of phony terrorism.
[00:26:49.432 --> 00:26:50.293]  It's declassified.
[00:26:50.313 --> 00:26:54.177]  The US, the British and others have staged hundreds of terror attacks on record.
[00:26:55.978 --> 00:26:57.460]  So of course we look at 9-11 and then
[00:26:58.789 --> 00:27:00.490]  Go to the evidence that it was an inside job.
[00:27:01.230 --> 00:27:02.911]  It's time to stop being childlike.
[00:27:02.951 --> 00:27:11.755]  And I know this stuff is so scary that a lot of people want to rationalize or make excuses and say it isn't real because it's just too painful for them to imagine.
[00:27:12.735 --> 00:27:23.200]  But when the official army training manual for all army captains in special operations teaches them how to stage terror attacks and false flags, I mean, we have to live in the real world here.
[00:27:24.201 --> 00:27:26.542]  We have to face the evidence.
[00:27:27.734 --> 00:27:30.015]  And they are engaging in eugenics.
[00:27:30.036 --> 00:27:35.359]  They are pushing one-child policies now in the West, saying that they're going to tax your carbon footprint having more than one child.
