[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[00:04:37.316 --> 00:04:40.278]  Check out the patented new silver solution today.
[00:04:40.678 --> 00:04:43.940]  Click on the link and check out the uses for New Silver Solution.
[00:04:44.361 --> 00:04:49.024]  Order this extra line of defense today by going to supernaturalsilver.com.
[00:04:49.164 --> 00:04:51.285]  That's supernaturalsilver.com today.
[00:05:10.618 --> 00:05:13.542]  No one is going to take care of your family in the final equation but you.
[00:05:13.863 --> 00:05:20.753]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:05:20.853 --> 00:05:23.977]  And they do it at almost half the cost of last year's grocery prices.
[00:05:24.137 --> 00:05:24.398]  Call 1-800-409-5633.
[00:05:26.801 --> 00:05:29.063]  Or, on the web, go to eFoodsDirect.com.
[00:05:29.264 --> 00:05:35.350]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, dehydrated foods they have to offer.
[00:05:35.530 --> 00:05:39.294]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:05:39.314 --> 00:05:40.635]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:05:40.655 --> 00:05:41.256]  Take action today.
[00:05:41.276 --> 00:05:43.098]  The first step is getting storable food.
[00:05:51.906 --> 00:05:57.450]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[00:05:57.770 --> 00:05:58.911]  Inner Health Botanicals.
[00:05:59.071 --> 00:06:03.034]  This company produces the highest quality superfood around, called Inner Food.
[00:06:03.334 --> 00:06:04.895]  My wife just loves the stuff.
[00:06:05.195 --> 00:06:11.499]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:06:12.640 --> 00:06:15.181]  InnerFood is loaded with 20 great organic ingredients.
[00:06:15.501 --> 00:06:16.981]  No fillers, no sweeteners.
[00:06:17.242 --> 00:06:20.022]  It would be impossible to blend this up for a better price.
[00:06:20.262 --> 00:06:21.683]  And their formula really works.
[00:06:21.963 --> 00:06:24.524]  This is the real thing for the great health you need.
[00:06:24.784 --> 00:06:26.024]  Try the NutriCafe.
[00:06:26.284 --> 00:06:30.666]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:06:31.046 --> 00:06:33.247]  A truly healthy coffee that tastes great.
[00:06:33.447 --> 00:06:35.707]  And take it from me folks, it really does taste great.
[00:06:35.908 --> 00:06:37.668]  Don't forget to try their other great products.
[00:06:38.008 --> 00:06:40.309]  Go to www.innerfood.com
[00:06:41.030 --> 00:06:43.355]  We're good to go.
[00:06:57.071 --> 00:07:01.273]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:07:01.913 --> 00:07:02.734]  You want answers?
[00:07:03.474 --> 00:07:04.334]  Well, so does he.
[00:07:05.035 --> 00:07:08.636]  He's Alex Jones on the GCN Radio Network.
[00:07:09.217 --> 00:07:13.339]  And now, live from Austin, Texas, Alex Jones.
[00:07:16.460 --> 00:07:20.262]  He's got a new documentary out.
[00:07:20.282 --> 00:07:24.144]  Global Warming, Emerging Science and Understanding.
[00:07:25.239 --> 00:07:29.182]  We also have another film we carry, Global Warming or Global Government.
[00:07:29.202 --> 00:07:31.845]  You need to show these to your friends and family and neighbors.
[00:07:31.905 --> 00:07:36.349]  First it gets you all hyped up that humans are bad, it's for the earth, we're going to save it.
[00:07:36.929 --> 00:07:40.893]  This is social workers, bureaucracy, feudalism, serfdom.
[00:07:40.913 --> 00:07:46.978]  They want to go to a post-industrial system of total bondage and slavery under environmental crimes.
[00:07:48.366 --> 00:07:55.869]  And it's not toxic waste dumping they're worried about, or open-air planting of cross-species genetic-engineered organisms that could cause a problem.
[00:07:57.510 --> 00:07:59.911]  It's not about real environmentalism or conservation.
[00:07:59.971 --> 00:08:01.352]  It's about control.
[00:08:02.012 --> 00:08:05.133]  And you can get his new documentary at InfoWars.com.
[00:08:05.394 --> 00:08:09.555]  Dr. Michael Kaufman, so much has happened since we had you on six months ago.
[00:08:09.615 --> 00:08:10.976]  Time just flies.
[00:08:11.016 --> 00:08:13.177]  They passed the total carbon tax takeover.
[00:08:13.617 --> 00:08:14.838]  It was worse than we feared.
[00:08:14.858 --> 00:08:17.099]  They kept the bill secret until after it passed.
[00:08:17.859 --> 00:08:23.242]  Total federalization, home inspections, shutting down selectively, whatever they want.
[00:08:23.982 --> 00:08:29.705]  Every federal agency and sub-agencies with the power to levy carbon taxes arbitrarily.
[00:08:30.405 --> 00:08:34.067]  It seems the new direction in government is just to give dictatorial power to the agency.
[00:08:34.367 --> 00:08:38.189]  They've got gun bills introduced to let the Attorney General ban any guns he wants.
[00:08:39.580 --> 00:08:47.586]  At his stroke of a pen, if he just states it, that allow him to put anybody on a no-fly list or no-gun-by list, no judge, no jury, no conviction.
[00:08:47.766 --> 00:08:50.048]  It's the same thing with this global carbon system.
[00:08:50.368 --> 00:08:53.991]  They just set up offshore authorities, and then we're ruled by them.
[00:08:54.051 --> 00:08:54.652]  Dr. Kaufman.
[00:08:57.384 --> 00:09:05.908]  Absolutely, because we have no way of actually addressing somebody that's offshore that does not have any accountability to us whatsoever.
[00:09:05.968 --> 00:09:10.070]  And that's why they're doing it, because they want to basically control the U.S.
[00:09:10.130 --> 00:09:10.530]  economy.
[00:09:10.730 --> 00:09:12.891]  Remember, we've talked about this on your program before.
[00:09:13.551 --> 00:09:19.655]  For every bit of carbon dioxide that's emitted, it has a corresponding impact on our economy.
[00:09:19.715 --> 00:09:21.276]  It's almost a one-to-one ratio.
[00:09:21.336 --> 00:09:28.641]  So if we reduce our carbon emissions by 20%, we reduce our economy about by 20%.
[00:09:28.921 --> 00:09:31.983]  It's a terrible, terrible thing.
[00:09:32.023 --> 00:09:34.685]  They're trying to get renewable energy to take its place.
[00:09:35.405 --> 00:09:41.112]  But Spain has shown that for every green job created with renewable energy, they lose two and a half jobs.
[00:09:41.572 --> 00:09:45.096]  It costs hundreds and hundreds of billions of dollars in Spain.
[00:09:45.516 --> 00:09:47.238]  They have 18% unemployment.
[00:09:47.258 --> 00:09:48.520]  They've been doing this for 10 years.
[00:09:50.782 --> 00:09:58.767]  But see, the government then directs the switchover in the economy and the profits only go to a select few, so it vertically integrates.
[00:09:58.807 --> 00:10:01.169]  But they know carbon's not bad, Dr. Kaufman.
[00:10:01.449 --> 00:10:02.870]  They know it's what plants breathe.
[00:10:03.530 --> 00:10:10.135]  That's why they diabolically chose carbon to tax, knowing it's a carbon cycle and we're carbon-based lifeforms.
[00:10:10.746 --> 00:10:11.286]  Absolutely.
[00:10:11.326 --> 00:10:23.273]  And this new DVD that you mentioned, Global Warming and Emerging Science, has new footage in it from the old DVD that clearly, I mean absolutely and positively shows that man cannot be causing global warming.
[00:10:23.293 --> 00:10:34.779]  In fact, a new study was just released yesterday that basically says that all of the carbon dioxide in the last, you know, 600,000 years couldn't be responsible for the warming and the cooling.
[00:10:35.299 --> 00:10:36.860]  There is no correlation whatsoever.
[00:10:36.900 --> 00:10:38.301]  It calls into serious doubt.
[00:10:38.341 --> 00:10:40.002]  This is peer-reviewed in Nature Science.
[00:10:40.562 --> 00:10:51.467]  Pure reviewed science that shows that there is really highly questionable evidence now, or strong evidence that questions now the man-caused global warming theory based on carbon dioxide.
[00:10:51.527 --> 00:10:57.790]  So everything is against these people, yet you see in Congress them, major, major push.
[00:10:58.291 --> 00:11:02.553]  How they got it, they introduced the bill on May 15th, it was passed on June 26th,
[00:11:04.511 --> 00:11:07.113]  It's over 1,000, almost 1,500 pages long.
[00:11:07.533 --> 00:11:08.994]  Nobody had a chance to read it.
[00:11:09.014 --> 00:11:13.177]  It's the most expensive bill this country has ever passed.
[00:11:13.697 --> 00:11:14.578]  Nobody ever read it.
[00:11:14.878 --> 00:11:20.362]  It was rammed through Congress, and what it contains will blow your mind.
[00:11:21.143 --> 00:11:27.787]  Basically, everything that you said in introducing this whole subject, Alex, is true, plus a lot.
[00:11:27.947 --> 00:11:30.329]  I mean, you're only touching the surface areas.
[00:11:30.994 --> 00:11:33.738]  It will destroy this nation as we know it now.
[00:11:34.019 --> 00:11:35.981]  There is absolutely no doubt in my mind about it.
[00:11:47.412 --> 00:11:48.072]  Academia.
[00:11:48.373 --> 00:11:50.794]  I mean, you have worked around these phony environmentalists.
[00:11:50.814 --> 00:11:51.614]  You've been around them.
[00:11:52.135 --> 00:11:57.838]  In my experience, the majority, the vast majority of them do believe in neo-eugenics.
[00:11:58.198 --> 00:11:59.959]  They do believe in sterilization.
[00:12:00.339 --> 00:12:02.301]  They do believe in one-child policies.
[00:12:02.661 --> 00:12:07.263]  And now they're openly pushing it, saying babies are bad, they have a bad carbon footprint.
[00:12:07.283 --> 00:12:09.705]  I'm going to show some headlines to people here in a moment.
[00:12:10.425 --> 00:12:17.228]  And really, these are just control freaks who want a managed, collectivist economy, and they're making their move right now.
[00:12:17.248 --> 00:12:28.772]  And now we have the President's Technology Advisor's textbook, 1100 pages, saying forcibly drug the water, have CPS take all the children, have a managed economy.
[00:12:29.052 --> 00:12:31.593]  We wonder why the government seems so out of control and nuts.
[00:12:31.633 --> 00:12:32.353]  They're not nuts.
[00:12:32.753 --> 00:12:34.154]  They know what they're doing.
[00:12:35.154 --> 00:12:36.055]  Well, they're nuts.
[00:12:36.135 --> 00:12:37.256]  They're absolutely insane.
[00:12:37.296 --> 00:12:38.437]  There's no question about that.
[00:12:38.737 --> 00:12:40.238]  But they are doing it deliberately, yes.
[00:12:40.338 --> 00:12:43.241]  There's no question about it for exactly the reasons you're discussing.
[00:12:45.182 --> 00:13:01.976]  In fact, I am literally astonished that anybody in their right mind would even consider doing what is being done right now because there is no justification for it whatsoever other than the political justification of destroying us and rebuilding it in their image under their control.
[00:13:01.996 --> 00:13:02.997]  That's the whole purpose.
[00:13:03.277 --> 00:13:03.998]  They're communists.
[00:13:04.098 --> 00:13:05.980]  I mean, they are scum.
[00:13:06.461 --> 00:13:09.804]  I'm sorry to interrupt, but yes, destroying us, rebuilding us in their image.
[00:13:09.905 --> 00:13:11.326]  It's really happening.
[00:13:11.346 --> 00:13:15.571]  They're taking over healthcare, industries, they're seizing everything.
[00:13:15.631 --> 00:13:22.359]  I mean, they are going to destroy the economy, and the only jobs you're going to get is from them on welfare or through a government contract, doctor.
[00:13:23.155 --> 00:13:24.496]  Absolutely, absolutely.
[00:13:25.477 --> 00:13:40.530]  The only way we can stop this is to inundate your congressmen and senators, depending on where the bill is at the present time, and tell them to vote no on health care, vote no on cap and trade, vote no on whatever it is, the second stimulus package, whatever it is.
[00:13:41.131 --> 00:13:45.134]  And then back it up by saying, I'm not going to vote for you if you vote yes for these things.
[00:13:45.274 --> 00:13:49.338]  And then start writing letters to the editor with their name in it.
[00:13:50.138 --> 00:13:52.279]  Saying that they are trying to destroy this nation.
[00:13:52.299 --> 00:13:56.640]  Now you've got to be diplomatic because otherwise the paper won't print it.
[00:13:57.080 --> 00:13:59.101]  But hell, look at NAFTA, look at GATT.
[00:13:59.141 --> 00:14:00.462]  They knew that was going to destroy us.
[00:14:00.722 --> 00:14:04.503]  The UN, the IMF, World Bank said they want a post-industrial.
[00:14:04.783 --> 00:14:15.727]  They've done everything they can to destroy us and now their solution to the crises they created is to throw a wet blanket over an economy that's almost already gone out.
[00:14:16.340 --> 00:14:16.900]  Absolutely.
[00:14:17.260 --> 00:14:18.620]  I totally agree.
[00:14:19.080 --> 00:14:24.761]  They're just fast-tracking it to the destruction of this nation so that they can start rebuilding it.
[00:14:24.962 --> 00:14:28.022]  And we know already they're talking about a single global currency.
[00:14:28.082 --> 00:14:31.843]  You know, you and I have been talking about that for, what, five years now on your program.
[00:14:32.343 --> 00:14:35.563]  And you have probably talked about it many more times than when I was on.
[00:14:36.143 --> 00:14:44.885]  All of these things that we used to talk about, that we were kind of on the superficial fringe of extremism back, as you said, at the beginning of the program five, ten years ago.
[00:14:45.705 --> 00:14:55.931]  Uh, now it's in the daily newspapers and it's always written up in a very positive way, of course, but it's impossible to ignore and not see unless you are so brainwashed.
[00:14:55.971 --> 00:14:59.012]  And that's what our public education system, unfortunately, has done to us.
[00:14:59.653 --> 00:15:04.195]  It's so brainwashed us that we look at this and think, that's a fantastic idea.
[00:15:04.335 --> 00:15:07.777]  And unfortunately, almost half of the nation is in that category.
[00:15:07.917 --> 00:15:09.538]  At least, it certainly seems to be.
[00:15:09.998 --> 00:15:23.772]  Doctor, I don't know if you've looked at this data, but I'm actually working on a new film right now on having a section on this, but mainstream, even AP studies, where they test the major water supplies of the cities, they're finding high levels of
[00:15:25.745 --> 00:15:30.129]  Female hormones that block pregnancy, birth control.
[00:15:30.549 --> 00:15:34.813]  They're finding high levels of Prozac type drugs.
[00:15:35.573 --> 00:15:40.237]  And they're noticing that it's kind of a generic mass molecule.
[00:15:40.737 --> 00:15:43.600]  It's not even the type that people are taking.
[00:15:44.340 --> 00:15:47.163]  And they're finding even aquifers that are treated water
[00:15:48.615 --> 00:15:51.736]  Where they take aquifer water and then treat it is having this added.
[00:15:52.517 --> 00:15:54.318]  And they've done British studies as well.
[00:15:54.438 --> 00:15:56.038]  Clearly somebody's adding it.
[00:15:56.138 --> 00:15:57.299]  I've been saying this for years.
[00:15:58.119 --> 00:15:59.440]  And the scientists are saying this.
[00:16:00.100 --> 00:16:10.345]  Now, and it's so strong, it's sterilizing fish, whales, amphibians, you name it, birds, or they're being unisex, hermaphrodites.
[00:16:11.607 --> 00:16:21.916]  So you study watersheds and forests and all of this, but then we have all these government reports with the Japanese government proposing it and Obama's head of science proposing it.
[00:16:21.936 --> 00:16:29.703]  I mean, do you think there's evidence that they're already testing this out and doing this in some areas?
[00:16:29.743 --> 00:16:38.310]  No, you can't help but believe that they are, at least on a selected basis, if not more uniform across the country, because what we're seeing here is
[00:16:39.595 --> 00:16:57.285]  The eugenics issue, even though I'm not an expert in eugenics, that whole issue of population control, trying to breed for the best person and that type of thing, is literally at the heart of what we're talking about in trying to create the new super person
[00:16:57.765 --> 00:16:58.185]  We're good to go.
[00:17:17.392 --> 00:17:18.193]  Well, that's the thing.
[00:17:39.633 --> 00:17:42.515]  You come to this just coldly looking at the facts.
[00:17:43.256 --> 00:17:44.937]  I don't have any preconceived notions.
[00:17:45.438 --> 00:17:53.584]  But every time I run into these environmental leaders, not their useful idiots on the ground who mean well, when you always talk to them you find out they're into the occult.
[00:17:54.325 --> 00:18:01.851]  Like Dr. Pianca is on the UT website dressed up as a druid talking about Lucifer when he's not talking about how he wants to kill 90% of us.
[00:18:03.032 --> 00:18:04.513]  And I know that sounds crazy.
[00:18:04.573 --> 00:18:05.874]  We're not the ones that are crazy.
[00:18:05.934 --> 00:18:06.595]  They're the ones.
[00:18:06.895 --> 00:18:14.600]  But when you really study the UN, that biological diversity assessment talks about bringing back wars and famine and human sacrifice.
[00:18:15.160 --> 00:18:16.922]  I mean, you can't make this up.
[00:18:17.342 --> 00:18:24.067]  And then you have the State Department Memorandum 200 saying we'll use wars and pestilence and starvation to do it.
[00:18:24.107 --> 00:18:24.427]  Go ahead.
[00:18:25.439 --> 00:18:26.020]  Absolutely.
[00:18:26.080 --> 00:18:32.545]  I mean, this whole thing with these epidemics and all the rest, you know, some of these things are natural.
[00:18:32.685 --> 00:18:33.906]  I mean, they do happen.
[00:18:34.587 --> 00:18:41.072]  But when you start seeing them on a regular basis, intercoordinated with a lot of other things going on, it's not a coincidence.
[00:18:41.653 --> 00:18:44.695]  They're deliberately doing it for some unknown reason.
[00:18:44.715 --> 00:18:45.876]  Well, we know what the reason is.
[00:18:46.657 --> 00:18:50.640]  They want to gain control, basically reduce the human population to control everything.
[00:18:50.660 --> 00:18:51.201]  Stay there, Doctor.
[00:18:52.247 --> 00:18:58.736]  This is Alex Jones and I want to tell you about Graf Undersafes.com, the makers of the highest quality vault doors and safes available.
[00:18:59.236 --> 00:19:01.900]  Graf Undersafes are known as the Rolls-Royce of safes.
[00:19:02.260 --> 00:19:07.067]  Since 1968, they have operated based on their original principle, quality above all else.
[00:19:07.427 --> 00:19:12.609]  Whether it's a custom-fitted vault door or safe, you can rest assured that your valuables will be protected.
[00:19:12.869 --> 00:19:16.451]  Do not buy into the illusion of security at GraphUndersafes.com.
[00:19:16.491 --> 00:19:19.352]  The security of your valuables is their sole purpose.
[00:19:19.652 --> 00:19:24.294]  Go to GraphUndersafes.com today to see the entire line of amazing products available.
[00:19:24.654 --> 00:19:29.876]  Graph Undersafes use only the highest quality heavy metals and cold steel locking bolts.
[00:19:30.356 --> 00:19:34.398]  Graph Undersafes are fire and burglar resistant and they even come with a lifetime warranty.
[00:19:34.918 --> 00:19:36.279]  Protect the things you care about.
[00:19:36.299 --> 00:19:38.039]  Go to graphundersafes.com.
[00:19:38.319 --> 00:19:41.860]  That's G-R-A-F-F-U-N-D-E-R, safes.com.
[00:19:42.201 --> 00:19:43.781]  Or give them a call at 866-457-1801.
[00:19:43.961 --> 00:19:48.863]  Or click on their banner at infowars.com today.
[00:19:52.464 --> 00:19:53.865]  It is a big idea.
[00:19:53.885 --> 00:19:55.985]  A new world order.
[00:19:56.706 --> 00:20:01.027]  In the near future, Earth is dominated by a powerful world government.
[00:20:04.951 --> 00:20:09.656]  For thousands of years, their dark order grew.
[00:20:10.397 --> 00:20:17.706]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:20:20.731 --> 00:20:25.694]  For the first time in history, the elite's plan for world government is blown wide open.
[00:20:26.175 --> 00:20:29.637]  You will learn the secret that drives the entire New World Order agenda.
[00:20:30.057 --> 00:20:32.519]  Bill Burgess makes great progress toward a world government.
[00:20:32.619 --> 00:20:33.760]  Most people have no idea.
[00:20:33.780 --> 00:20:34.540]  They're not after money.
[00:20:34.560 --> 00:20:35.641]  They have all the money they need.
[00:20:35.841 --> 00:20:36.562]  They're after power.
[00:20:36.822 --> 00:20:37.682]  That's what happens here.
[00:20:37.963 --> 00:20:42.526]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:20:42.726 --> 00:20:46.248]  Or watch it online right now at PrisonPlanet.tv.
[00:20:46.688 --> 00:20:49.450]  In Game, blueprint for global enslavement.
[00:20:49.490 --> 00:20:50.571]  You have been warned.
[00:20:51.412 --> 00:20:51.872]  Gold.
[00:20:52.233 --> 00:20:53.494]  It's like nothing else on Earth.
[00:20:53.734 --> 00:20:59.860]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:21:00.020 --> 00:21:03.844]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:21:04.205 --> 00:21:06.086]  According to the World Gold Council and the U.S.
[00:21:06.147 --> 00:21:08.389]  Mint, demand is at an all-time high.
[00:21:08.609 --> 00:21:09.249]  We're good to go.
[00:21:32.517 --> 00:21:32.837]  We're good.
[00:21:51.149 --> 00:21:57.974]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[00:21:58.274 --> 00:22:14.186]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[00:22:14.486 --> 00:22:19.630]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[00:22:19.850 --> 00:22:26.135]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[00:22:26.375 --> 00:22:29.998]  If so, this will be the most important information you have ever heard.
[00:22:30.258 --> 00:22:32.860]  Solar-powered generators are finally available.
[00:22:32.960 --> 00:22:38.324]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[00:22:38.624 --> 00:22:41.226]  Remember, the government doesn't own the sun.
[00:22:41.307 --> 00:22:43.489]  So go to MySolarBackup.com.
[00:22:43.529 --> 00:22:45.971]  That's MySolarBackup.com.
[00:22:46.031 --> 00:22:50.315]  Check out MySolarBackup.com before you lose your power.
[00:23:10.784 --> 00:23:17.687]  Ladies and gentlemen, if you study history and other civilizations, the elites, just to exercise power, would routinely say, kill all the firstborn.
[00:23:18.968 --> 00:23:21.049]  Or they'd say, go kill half the slaves.
[00:23:21.629 --> 00:23:23.090]  Gotta keep the slave numbers down.
[00:23:23.110 --> 00:23:24.170]  Gotta keep them dumbed down.
[00:23:24.190 --> 00:23:26.251]  Gotta keep them on the verge of starvation.
[00:23:26.511 --> 00:23:29.673]  So they're so busy worrying about getting enough to eat, they won't resist you.
[00:23:30.053 --> 00:23:32.154]  This is how elites manage people.
[00:23:33.353 --> 00:23:38.895]  In fact, in the next segment, will you cue up Holdren with that AP clip of him talking about weather control?
[00:23:39.375 --> 00:23:46.657]  That's another issue is, in some of these eugenics reports, they say they'll use wars, famine, and weather.
[00:23:47.237 --> 00:23:52.699]  And then we have Secretary of Defense Cohen, at the time in 97, saying they'd use weather weapons for this.
[00:23:52.719 --> 00:23:55.460]  I can show folks, army.mil, the text.
[00:23:57.694 --> 00:24:02.399]  But now Bill Gates is in the news, in the Associated Press today.
[00:24:03.180 --> 00:24:07.124]  Bill Gates envisions fighting hurricanes by manipulating the sea.
[00:24:07.865 --> 00:24:11.409]  Well that's exactly what Stanford Research Institute certified a long time ago.
[00:24:11.449 --> 00:24:15.934]  My point is, they're using the shadow government and all these high-tech systems
[00:24:16.574 --> 00:24:34.543]  I believe, Dr. Kaufman, that they're going to create weather calamities as a pretext for creating the Society of Control, because they've studied chicanery and scams of old, and the old witch doctors 6,000 years ago, they would tell the tribe, give me the best food, give me the best hut,
[00:24:35.003 --> 00:24:35.343]  That's right.
[00:24:35.363 --> 00:24:36.564]  I totally agree with you.
[00:24:36.584 --> 00:24:40.247]  There is no question that climate modification and control is very much part of this agenda.
[00:24:59.682 --> 00:25:05.164]  There's been major experiments done on that in Alaska, and we have seen some evidence of that.
[00:25:05.704 --> 00:25:10.146]  You know, it's hard to say for sure exactly how they do it and when they do it.
[00:25:10.566 --> 00:25:17.788]  I'm not a physicist, but I do know that they actually interrupt the ionosphere, and the ionosphere is where our weather is born.
[00:25:17.888 --> 00:25:23.870]  So if they can control what happens there, they basically control our climate to a greater or lesser degree.
[00:25:24.010 --> 00:25:25.491]  It's just one of those things that
[00:25:26.091 --> 00:25:26.511]  Well, every day.
[00:25:42.857 --> 00:25:43.998]  Uh, no exaggeration.
[00:25:44.018 --> 00:25:48.321]  I think today I printed off five or six or so mainstream articles.
[00:25:48.341 --> 00:25:50.763]  Oh, Bill Gates is going to save us from hurricanes.
[00:25:50.803 --> 00:25:53.505]  He just got an idea of cloud seeding.
[00:25:53.565 --> 00:25:54.305]  He invented it.
[00:25:54.425 --> 00:25:55.306]  Oh, he's a genius.
[00:25:55.706 --> 00:26:00.250]  Meanwhile, four years ago, I had the father of weather weapons on the show.
[00:26:01.070 --> 00:26:01.390]  Yeah, right.
[00:26:26.278 --> 00:26:27.319]  I mean, there's no end to it.
[00:26:27.379 --> 00:26:34.644]  And then all these newspapers and magazines I have say, oh, the global warming is so bad they've got to save us.
[00:26:35.065 --> 00:26:41.229]  And they're going to now smoke screen their weather manipulation, creating the crisis in the name of fixing it.
[00:26:41.509 --> 00:26:47.254]  So while they're creating a crisis, droughts, hurricanes, all this stuff, floods,
