[00:00:00.009 --> 00:00:01.530]  Federal Agents!
[00:05:38.628 --> 00:05:39.148]  I mean, it's here.
[00:05:39.168 --> 00:05:41.250]  It's one way to put it.
[00:05:41.270 --> 00:05:46.834]  I'm sorry to be gross, but the New World Order hind end just popped out above us and, you know, they're going, here comes your freedom!
[00:05:47.294 --> 00:05:48.035]  Kurt, stay there.
[00:05:48.055 --> 00:05:48.455]  Okay.
[00:05:48.595 --> 00:05:49.956]  We're gonna come back in a long segment.
[00:05:50.177 --> 00:05:51.478]  By the way, I like that hat you're wearing.
[00:05:55.561 --> 00:05:56.481]  We're on the march.
[00:05:56.962 --> 00:05:58.483]  The Empire's on the run.
[00:05:59.492 --> 00:06:02.236]  Alex Jones and the GCN Radio Network.
[00:06:05.982 --> 00:06:12.031]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the US and the world.
[00:06:12.291 --> 00:06:14.715]  And for the first time in their lives, they are feeling the
[00:06:16.154 --> 00:06:22.358]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:06:22.638 --> 00:06:24.419]  Ready Reserve is the manufacturer.
[00:06:24.659 --> 00:06:32.664]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:06:32.905 --> 00:06:37.327]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:06:37.608 --> 00:06:43.091]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:06:43.271 --> 00:06:43.731]  I think so.
[00:07:05.624 --> 00:07:11.571]  Do you like being a puppet, sir?
[00:07:11.711 --> 00:07:14.915]  Do you like being a puppet for the New World Order?
[00:07:14.995 --> 00:07:17.818]  How do the American people know that 9-11 was a stage?
[00:07:17.878 --> 00:07:21.542]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:07:31.163 --> 00:07:36.022]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:07:39.830 --> 00:07:40.871]  How dare you?
[00:07:41.312 --> 00:07:47.337]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:07:47.357 --> 00:07:50.140]  All hell is breaking loose on 6th Avenue.
[00:07:50.240 --> 00:07:56.667]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[00:07:56.707 --> 00:07:59.289]  Download the film at prisonplanet.tv right now.
[00:07:59.549 --> 00:08:01.551]  Or get the DVD at infowars.com.
[00:08:01.811 --> 00:08:04.294]  It's now time to take the revolution to the next level.
[00:08:04.835 --> 00:08:10.480]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:08:10.680 --> 00:08:15.824]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:08:16.104 --> 00:08:21.188]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:08:21.488 --> 00:08:24.991]  People who alkalize the water they drink experience normalized blood sugar.
[00:08:24.991 --> 00:08:25.651]  We're good to go!
[00:08:52.308 --> 00:08:54.711]  Up to the pH of 10 with only 10 drops.
[00:08:55.071 --> 00:09:01.278]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:09:01.538 --> 00:09:02.959]  Again, that's alkavision.com.
[00:09:17.333 --> 00:09:20.255]  Kurt Nimmo, live and in the flesh.
[00:09:21.015 --> 00:09:24.657]  His second visit to the InfoWars Command Center.
[00:09:24.697 --> 00:09:30.339]  You know, I am freaked out by all the massive attacks on the Second Amendment.
[00:09:30.640 --> 00:09:32.040]  The FEMA camps are all being announced.
[00:09:32.060 --> 00:09:36.523]  The slaves, meaning they're getting ready to potentially use it if they can sell the slaves on it.
[00:09:37.403 --> 00:09:38.704]  Will the people not be slaves?
[00:09:38.784 --> 00:09:39.744]  Will they say no?
[00:09:40.765 --> 00:09:43.246]  Will they fight back against it in the InfoWars?
[00:09:46.158 --> 00:09:49.619]  Kurt, what do you think of the new digs here in the new office?
[00:09:50.019 --> 00:09:50.279]  Wonderful.
[00:09:51.360 --> 00:09:52.120]  Excellent.
[00:09:52.140 --> 00:09:54.220]  Still have a lot more going on.
[00:09:54.260 --> 00:09:54.881]  We're turning the heat up.
[00:09:54.921 --> 00:09:56.541]  You see us doing interviews, bringing folks in.
[00:09:57.181 --> 00:09:58.342]  We're beefing it up right now.
[00:09:58.362 --> 00:10:00.202]  The heat's not up in here, though.
[00:10:00.942 --> 00:10:01.163]  No.
[00:10:01.543 --> 00:10:02.623]  Do you like how I keep the studio?
[00:10:02.663 --> 00:10:03.683]  I have a freezer in here.
[00:10:04.664 --> 00:10:05.624]  Well, I like it cold.
[00:10:05.844 --> 00:10:08.185]  And I used to have to boil in the other office because the A.C.
[00:10:08.205 --> 00:10:11.366]  didn't really work well in that little studio, so now it's the opposite.
[00:10:12.266 --> 00:10:13.946]  I like a haunted house in this office.
[00:10:13.966 --> 00:10:15.367]  It's hot in one room and cold in another.
[00:10:16.760 --> 00:10:21.063]  Kurt, there's a lot to talk about with you.
[00:10:21.103 --> 00:10:29.049]  We've got Jordan Maxwell coming up, but of all the things going on, what's most important to you right now that's happening?
[00:10:29.069 --> 00:10:37.335]  I mean, I have a positive view, even though things are negative, because now that they're openly announcing world government, saying it's the only thing that will save you, because they are actually announcing it in a lot of publications.
[00:10:38.116 --> 00:10:39.557]  Oh, it did exist, but it's for your own good.
[00:10:40.836 --> 00:10:45.519]  I don't know if the establishment realizes how many people we warned, who then laughed at us, who are now going, whoa, you were right.
[00:10:46.339 --> 00:10:48.020]  Or maybe they do, they're just so arrogant.
[00:10:48.700 --> 00:10:55.284]  Yeah, the most important thing for me is the economy, the engineered implosion of the economy is what's really front and center for me.
[00:10:55.304 --> 00:11:01.788]  I mean, everything else is secondary to facilitate this destruction of the American economy, the global economy.
[00:11:03.134 --> 00:11:06.076]  Yeah, that's going to be their organized, controlled crises.
[00:11:06.156 --> 00:11:08.977]  They use terror, they use wars, they use controlled implosions.
[00:11:09.297 --> 00:11:10.158]  Right, right.
[00:11:10.578 --> 00:11:21.284]  And they're trying to sell this, you know, this camp situation as, you know, like they did with Rex 84, you know, illegal aliens and whatnot, but it's for the American people, it's not for...
[00:11:22.867 --> 00:11:25.048]  An influx of Mexicans coming across the border.
[00:11:25.068 --> 00:11:26.488]  Well, again, the Army admits that.
[00:11:27.009 --> 00:11:30.770]  They're over here in the Army War College saying we're preparing to engage the American people and put them in detention centers.
[00:11:31.030 --> 00:11:34.051]  And all the Urban Warfare footage I've taped, they're admitting it's for America.
[00:11:34.071 --> 00:11:35.672]  They're practicing putting Americans in camps.
[00:11:36.252 --> 00:11:38.893]  They're not billing it as camps for detention, though.
[00:11:38.913 --> 00:11:43.535]  They're billing it as a humanitarian response to some kind of crisis, which will probably be the economy.
[00:11:45.947 --> 00:11:48.469]  You know, I've never played this on TV.
[00:11:48.529 --> 00:11:53.312]  I've played the audio, but now that we're at TV, guys, go to YouTube and type in Marshall Law.
[00:11:53.332 --> 00:11:57.874]  And you'll see a bunch of my videos, but you'll also see a bunch of local newscasts.
[00:11:58.255 --> 00:11:59.575]  Punch it up and I'll show you which one it is.
[00:12:01.737 --> 00:12:02.197]  Scroll down.
[00:12:04.759 --> 00:12:05.459]  Keep scrolling down.
[00:12:05.479 --> 00:12:09.562]  I'm trying to find the one.
[00:12:11.143 --> 00:12:11.523]  Here it is.
[00:12:13.137 --> 00:12:16.620]  No, no, that's a town where they have martial law 24 hours a day.
[00:12:16.640 --> 00:12:20.503]  No, it doesn't matter.
[00:12:20.543 --> 00:12:21.504]  I'll find it during a break.
[00:12:21.524 --> 00:12:25.687]  The point is, I have these newscasts where locally they admit they're preparing to engage the American people.
[00:12:26.368 --> 00:12:28.870]  And there's one I particularly want to play.
[00:12:28.930 --> 00:12:32.132]  But again, you don't hear this on corporate news.
[00:12:32.172 --> 00:12:35.335]  You don't hear that this is for detention per se.
[00:12:38.254 --> 00:12:39.895]  Well, keep fleshing this out, Curt Nemo.
[00:12:39.935 --> 00:12:42.296]  How do you see things unfolding?
[00:12:43.137 --> 00:12:44.658]  I mean, on the good side, how could this go?
[00:12:44.678 --> 00:12:46.139]  Or on the bad side, how do you see it going?
[00:12:46.739 --> 00:12:48.800]  Well, I don't really see any difference from the Bush administration.
[00:12:48.820 --> 00:12:51.482]  This is a continuous, continual thing that's going to go on.
[00:12:52.403 --> 00:12:54.364]  It's the same globalist agenda.
[00:12:54.404 --> 00:12:55.204]  It's not going to change.
[00:12:55.645 --> 00:13:02.709]  The only difference is we've got a new front guy, you know, and he's much more savvy and can read the teleprompters better.
[00:13:02.729 --> 00:13:04.430]  It's the same agenda.
[00:13:05.734 --> 00:13:06.815]  Same agenda under Clinton.
[00:13:07.416 --> 00:13:08.757]  Same agenda under Bush Senior.
[00:13:09.177 --> 00:13:12.360]  So it's just a continuation of the same agenda.
[00:13:14.922 --> 00:13:15.223]  I agree.
[00:13:15.243 --> 00:13:15.643]  Continue.
[00:13:18.024 --> 00:13:33.913]  I think that Obama is probably going to have to, you know what is really interesting is this, when you had Wayne Manson on, and he was talking about Rahm Emanuel, who's apparently the real president, cracking his knuckles in Obama's ear.
[00:13:34.633 --> 00:13:39.776]  So you take a look at this guy, and you see the real face of the global elite.
[00:13:39.936 --> 00:13:43.358]  Because he's a front man, he's a former investor, Wall Street investor.
[00:13:46.894 --> 00:14:01.826]  I think that Obama's, you know, his sheen that he has, the urbane sheen of him will start to slip away when we see these other faces appearing, and that's what Rahm Emanuel is.
[00:14:01.906 --> 00:14:03.708]  He's the real voice back there.
[00:14:07.030 --> 00:14:11.994]  Yeah, in front of the congressional delegation, getting a crack in his knuckles, and Obama says, please stop that, it bothers me.
[00:14:12.015 --> 00:14:14.777]  And he gets up in front of everybody, in front of the congressional leadership, and goes,
[00:14:17.017 --> 00:14:18.938]  Right in his ears, oh yeah, I rule you.
[00:14:19.538 --> 00:14:20.298]  I'm in control.
[00:14:20.358 --> 00:14:21.019]  He's a pit bull.
[00:14:21.939 --> 00:14:22.739]  He's a sociopath.
[00:14:22.759 --> 00:14:31.283]  Well this is the guy again in 96 when Clinton won at the victory dinner in front of everybody with a knife going, our enemies need to say their name for like five minutes and die, die, die!
[00:14:31.923 --> 00:14:33.203]  You can't make this stuff up, Kurt.
[00:14:33.524 --> 00:14:34.584]  Well look who's father was.
[00:14:34.604 --> 00:14:36.005]  His father was a terrorist in Israel.
[00:14:36.725 --> 00:14:39.126]  You know, an air gun terrorist, so.
[00:14:41.627 --> 00:14:44.048]  I guess the acorn doesn't fall too far from the tree.
[00:14:44.929 --> 00:14:51.973]  Yeah, for those that don't know, the new Chief of Staff of the White House father was one of the leaders in the Mossad and the Irgun terrorists.
[00:14:52.013 --> 00:14:52.793]  Explain what they did.
[00:14:53.394 --> 00:15:00.017]  Irgun terrorists were supposedly an Israeli defense force prior to the establishment of the State of Israel.
[00:15:00.458 --> 00:15:09.883]  Basically what they did is they attacked the British, they attacked their Arab enemies, and they engaged in terrorism, classic terrorism, blowing up hotels, killing people.
[00:15:10.743 --> 00:15:13.284]  And, uh, that's basically where his father came from.
[00:15:13.344 --> 00:15:19.268]  His father made the comment about, you know, uh, his, what was it about the Arabs cleaning the floor in the White House?
[00:15:19.328 --> 00:15:22.850]  I forget what the exact quote was, but, uh, this is the mentality.
[00:15:22.890 --> 00:15:24.290]  This is the mentality his son has.
[00:15:25.651 --> 00:15:31.634]  We have enemies, you know, and so we stabbed a knife in the table and it's just an attitude.
[00:15:32.274 --> 00:15:34.155]  That's the attitude that's behind Barack Obama.
[00:15:34.175 --> 00:15:34.976]  He's just the front man.
[00:15:36.118 --> 00:15:37.778]  You know, this is driving me crazy.
[00:15:38.419 --> 00:15:43.880]  There's this particular video out of Georgia with the police playing the part of Americans and the armies there putting them in a camp.
[00:15:44.700 --> 00:15:46.221]  And I play the audio many times on there.
[00:15:46.241 --> 00:15:48.602]  I'm trying to find it on YouTube and can't.
[00:15:48.622 --> 00:15:52.663]  I can't remember the exact headline.
[00:15:52.683 --> 00:15:53.223]  It doesn't matter.
[00:15:53.923 --> 00:15:58.944]  What I do want to play though is, guys, because I said I'd do it, pull up some of those local activist videos.
[00:16:01.144 --> 00:16:05.907]  And put them on screen where FEMA took over one part of the old shopping mall.
[00:16:06.808 --> 00:16:11.271]  And said it was for Hurricane that was coming, but at the same time it's still there.
[00:16:11.632 --> 00:16:20.738]  And they move in for something like that, and then they admit there's going to be all these federal centers everywhere, nexusing in with the police and then with the clergy response teams.
[00:16:21.299 --> 00:16:26.923]  And then we have the newscast there where they admit the clergy response teams are training for people to stand down under martial law.
[00:16:27.683 --> 00:16:28.544]  Remember those clubs yesterday?
[00:16:28.564 --> 00:16:29.645]  We never actually played, guys?
[00:16:31.202 --> 00:16:35.224]  One was the Clergy Response Teams, Marshall Law, and the other was here in Austin.
[00:16:37.885 --> 00:16:43.087]  Okay, play the Highland Mall one, and then pull up the one you had yesterday that we didn't get to.
[00:16:43.427 --> 00:16:45.748]  So the clergy will be there to take care of people, correct?
[00:16:45.928 --> 00:16:49.090]  We've got a FEMA RV thing right over here.
[00:16:49.110 --> 00:16:51.511]  I don't think that's a paid vehicle.
[00:16:51.531 --> 00:16:52.491]  It's a security car.
[00:16:53.192 --> 00:16:57.553]  Yeah, but why is a FEMA RV parked in front of the mall?
[00:16:57.834 --> 00:16:58.634]  In front of the mall?
[00:16:59.714 --> 00:17:01.454]  In front of the closed part of the mall.
[00:17:02.575 --> 00:17:03.735]  That's real weird.
[00:17:03.755 --> 00:17:06.476]  Dude, look, it says Department of Homeland Security.
[00:17:06.536 --> 00:17:09.856]  It's the Department of Homeland Security parked in front of the mall?
[00:17:10.897 --> 00:17:12.717]  In front of that closed part, though.
[00:17:13.357 --> 00:17:14.837]  Okay, that's the first video.
[00:17:15.498 --> 00:17:18.818]  Go to the next video, and show me the title of these so I can plug them.
[00:17:19.098 --> 00:17:21.979]  FEMA Homeland Security Secret Ops in Highland Mall, Austin, Texas.
[00:17:22.679 --> 00:17:24.560]  Okay, now this is them talking to the police.
[00:17:27.674 --> 00:17:28.475]  I mean, it's right here, guys.
[00:17:28.495 --> 00:17:29.436]  You guys are typing it in.
[00:17:29.476 --> 00:17:31.238]  It's the video to the right of it, right there.
[00:17:32.479 --> 00:17:32.700]  See?
[00:17:32.820 --> 00:17:33.400]  Right there to the right?
[00:17:34.141 --> 00:17:35.002]  That's the video right there.
[00:17:35.643 --> 00:17:38.846]  Yeah, there you go.
[00:17:39.007 --> 00:17:41.609]  I just want to know what y'all are doing here.
[00:17:42.030 --> 00:17:42.911]  Please, tell me what's going on.
[00:17:43.091 --> 00:17:45.033]  I will be more than happy as soon as you step outside.
[00:17:45.073 --> 00:17:45.294]  Sure.
[00:17:50.431 --> 00:17:51.592]  Is there a reason you're doing that?
[00:17:51.652 --> 00:17:56.955]  We just saw the FEMA cam and I thought y'all were part of the... Is there some sort of emergency or what's going on?
[00:17:56.975 --> 00:17:58.095]  The mall had already been shut down.
[00:17:58.275 --> 00:18:00.416]  Not the mall, the store had already been shut down.
[00:18:01.237 --> 00:18:04.418]  But... Is there some reason why FEMA's here right now?
[00:18:04.478 --> 00:18:05.839]  In case Ike hits.
[00:18:06.540 --> 00:18:07.780]  In case what?
[00:18:07.900 --> 00:18:10.041]  Dude, you're just a security guard.
[00:18:10.061 --> 00:18:11.502]  I'm a security guard.
[00:18:11.842 --> 00:18:13.163]  Don't say that.
[00:18:13.223 --> 00:18:17.125]  I'm sorry, we're part of an organization that is just making sure everybody under
[00:18:17.505 --> 00:18:19.546]  So what was this like a beta test for?
[00:18:41.277 --> 00:18:42.619]  I don't understand what they were doing.
[00:18:42.700 --> 00:18:45.485]  They just use any excuse they can to come over and take over spaces.
[00:18:45.765 --> 00:18:48.891]  And they're putting little mini FEMA centers just all over the nation.
[00:18:48.911 --> 00:18:50.874]  They're building little FEMA camps for emergencies everywhere.
[00:18:50.894 --> 00:18:52.196]  And they have little stockades.
[00:18:52.216 --> 00:18:53.398]  You've seen my police tape films.
[00:18:53.439 --> 00:18:53.619]  Right.
[00:18:56.704 --> 00:18:59.145]  Yeah, here's the local newscast piece.
[00:19:00.326 --> 00:19:02.327]  Pastors for Martial Law, Continental Government.
[00:19:03.087 --> 00:19:06.149]  Now, the original video of this probably has a couple hundred thousand views.
[00:19:06.209 --> 00:19:06.689]  I've seen it.
[00:19:08.270 --> 00:19:09.431]  We're playing some new posting.
[00:19:09.471 --> 00:19:12.633]  I don't know how good the audio is on this piece.
[00:19:13.834 --> 00:19:19.038]  You always want to find one that has a higher hit view, that means it's older, so that it has a... but so what?
[00:19:19.098 --> 00:19:19.999]  Just go ahead and play it.
[00:19:20.519 --> 00:19:22.180]  Become a reality in America?
[00:19:22.581 --> 00:19:26.624]  Some fear any nuclear, biological, or chemical attack on U.S.
[00:19:26.664 --> 00:19:27.044]  territory.
[00:19:27.084 --> 00:19:27.404]  Hit pause.
[00:19:27.465 --> 00:19:28.125]  It cut her off.
[00:19:28.145 --> 00:19:29.406]  You've got to find the other older versions.
[00:19:29.426 --> 00:19:30.847]  It has her fully say martial law.
[00:19:30.867 --> 00:19:31.027]  See?
[00:19:31.368 --> 00:19:33.909]  That's the problem with a 50th generation video.
[00:19:35.471 --> 00:19:38.833]  Just type clergy response teams in, and then I'll control it from here.
[00:19:38.853 --> 00:19:41.936]  I just want to show people how to do this and go how to find this stuff.
[00:19:42.236 --> 00:19:43.337]  Clergy response teams, play it.
[00:19:45.371 --> 00:19:48.993]  Okay, Feds, Train, Clergy, Recons, Teams, Zequel, Dissent.
[00:19:50.113 --> 00:19:53.095]  And that's this video mixed with my videos.
[00:19:53.115 --> 00:19:55.236]  Let me find the newscast here.
[00:19:55.256 --> 00:19:59.898]  I need to look at it for hit counts.
[00:19:59.938 --> 00:20:00.958]  This doesn't make any sense.
[00:20:02.379 --> 00:20:06.901]  And of course this mouse doesn't work properly in here in my office.
[00:20:06.921 --> 00:20:09.242]  I need a new mouse or something.
[00:20:09.622 --> 00:20:10.303]  It's wireless.
[00:20:12.004 --> 00:20:12.704]  Into the other room.
[00:20:17.472 --> 00:20:20.055]  There I am on San Antonio TV talking about it.
[00:20:24.041 --> 00:20:25.122]  Clergy Response Teams.
[00:20:25.142 --> 00:20:27.926]  We'll go ahead and play this one.
[00:20:30.270 --> 00:20:32.212]  For folks that are out there listening, this is the audience.
[00:20:32.232 --> 00:20:34.673]  Will law ever become a reality in America?
[00:20:35.094 --> 00:20:39.397]  Some fear any nuclear, biological, or chemical attack on U.S.
[00:20:39.457 --> 00:20:41.519]  territory might trigger just that.
[00:20:41.979 --> 00:20:49.005]  And as KSLA News 12's Jeff Ferrell discovered, the clergy would help the government with potentially their biggest problem, us.
[00:20:49.025 --> 00:20:53.268]  From my cold, dead hand, Charlton Heston.
[00:20:53.668 --> 00:20:54.329]  Did you hear that?
[00:20:55.890 --> 00:20:57.191]  Their biggest problem, us.
[00:20:57.231 --> 00:20:59.473]  That's what the Army says, engaging the American people.
[00:21:01.032 --> 00:21:03.274]  And they say it's of the Lord, Romans 13, we're prepared.
[00:21:03.315 --> 00:21:07.199]  And you read the actual FEMA documents, forced inoculations, gun confiscation, it's all in there.
[00:21:07.719 --> 00:21:14.267]  This famous declaration captures a truly American value, the overarching desire to protect our freedoms.
[00:21:14.947 --> 00:21:21.154]  But gun confiscation is exactly what happened during the state of emergency following Hurricane Katrina in New Orleans.
[00:21:21.875 --> 00:21:22.175]  U.S.
[00:21:22.195 --> 00:21:23.356]  troops also arrived.
[00:21:23.716 --> 00:21:30.458]  Something far easier to do even now, thanks to last year's elimination of the 1878 Posse Comitatus Act.
[00:21:30.939 --> 00:21:32.039]  That forbid U.S.
[00:21:32.099 --> 00:21:34.120]  troops from policing on American soil.
[00:21:36.354 --> 00:21:43.496]  If martial law were enacted here at home, like depicted in the movie The Siege, easing public fears and quelling dissent would be critical.
