[00:00:00.069 --> 00:00:00.430]  Brother.
[00:12:29.635 --> 00:12:36.500]  So it's really a national ID card tied into a world ID database, but the public thinks it's a driver's license when it's really the real ID.
[00:12:36.540 --> 00:12:37.641]  But there is Newsweek
[00:12:38.021 --> 00:12:51.910]  For anyone that doubts this, and I could sit here showing people hundreds of these where they are saying not just that they're setting up a World Central Bank, but that you will pay your taxes on every activity you are involved in on your carbon footprint to them.
[00:12:53.123 --> 00:13:13.455]  Yeah, and the idea is to eventually get rid of all currencies for a simple reason, that at the moment if you go into a store or you want to buy something anywhere and you give them electronic money and the computer says no to your credit card, then at least still, just, just, you have the opportunity to say, well I'll pay cash then.
[00:13:14.015 --> 00:13:14.615]  And that's starting.
[00:13:30.362 --> 00:13:31.643]  And that's already happening.
[00:13:32.924 --> 00:13:39.711]  We never shop at Walmart here at this office, but I said, hurry up and get me a TiVo so I can record things off TV here at the new office.
[00:13:39.751 --> 00:13:42.233]  And the guys went to Walmart without asking me.
[00:13:42.273 --> 00:13:43.274]  I don't micromanage them.
[00:13:43.734 --> 00:13:50.601]  And my guy called, and because he had a debt, not an unpaid check, but because he had a debt,
[00:13:51.181 --> 00:13:52.041]  That he hadn't paid.
[00:13:52.121 --> 00:13:54.842]  Now the credit scores tied in with Wal-Mart and other big stores.
[00:13:55.222 --> 00:14:00.023]  They wouldn't let him use that company check because he had bad credit.
[00:14:00.043 --> 00:14:20.649]  So we're already going into that system where, I mean, I see him carding 75-year-old men buying cigarettes or beer at the store now, and the corporations admit they're getting us ready to have to show ID to buy and sell, and they're going to have a new world and local sales tax that will also have a database of everything you buy, sell, and do in the name of administering the sales tax.
[00:14:21.820 --> 00:14:23.341]  Yeah, and this is happening everywhere.
[00:14:23.401 --> 00:14:28.863]  I mean, in Britain, the Big Brother state is hurtling forward.
[00:14:29.124 --> 00:14:37.908]  And in terms of the economic situation here, I mean, it's not really reached the point that it's going to reach as we were talking about earlier.
[00:14:37.948 --> 00:14:50.514]  But when I go around the shops, which I occasionally do, not very often, or you go into a pub or a restaurant or something, places are empty where I go, where they never were before.
[00:14:51.084 --> 00:15:01.452]  And so, you know, we're on the brink of a massive economic situation here globally, and it's been deliberately engineered for the ends that we're talking about.
[00:15:03.674 --> 00:15:07.697]  David, how do we get the word out to the people?
[00:15:07.857 --> 00:15:11.880]  And as you said, our credibility is sore because everything we predicted is now unfolding, unfortunately.
[00:15:11.920 --> 00:15:12.641]  I wish we were wrong.
[00:15:13.241 --> 00:15:19.666]  How do, what are the most, because you're very effective at unlocking minds, in your educated opinion, your informed opinion,
[00:15:20.647 --> 00:15:21.347]  From experience.
[00:15:21.908 --> 00:15:24.629]  How do we reach out to them and say, look, it's now here.
[00:15:24.689 --> 00:15:32.573]  We're not warning you about something coming and all the preparatory phase that was bad enough setting up this tyrannical, dehumanizing, soul-stealing grid.
[00:15:32.893 --> 00:15:41.958]  We're now entering in to the long slide into the depths of global mass extermination, population reduction, because we're not making even predictions.
[00:15:41.998 --> 00:15:43.359]  We're following their own documents.
[00:15:43.659 --> 00:15:44.799]  We know where it goes.
[00:15:45.199 --> 00:15:50.042]  Can the public face the horror of what's going to happen if they keep living in la-la land?
[00:15:51.263 --> 00:15:59.010]  Well, what I say to people is, you know, if you think you don't like the situation now, then think what you're going to face a little way down the road.
[00:15:59.150 --> 00:16:02.293]  And more than anything, think of what your children are going to have to face.
[00:16:02.633 --> 00:16:04.915]  Because you think we live in a controlled society now.
[00:16:04.975 --> 00:16:07.678]  This is nothing compared with what they are going to have to live in.
[00:16:08.198 --> 00:16:13.623]  So in terms of parents who are listening to this information, I would say this.
[00:16:14.364 --> 00:16:16.546]  Go and look your children in the eyes and tell them
[00:16:17.014 --> 00:16:19.977]  That you can't be bothered, or you're too frightened to do anything about it.
[00:16:20.277 --> 00:16:21.738]  You're too frightened to get involved.
[00:16:21.878 --> 00:16:30.826]  Too frightened to get involved in being another conduit for getting this information further and further expanded into the public mind.
[00:16:31.226 --> 00:16:36.751]  That you're too frightened to get together with others to stop cooperating with this system.
[00:16:37.251 --> 00:16:44.738]  And to not be intimidated into coming into line, which is a bit like coming into line in a concentration camp,
[00:16:45.331 --> 00:16:45.792]  I don't
[00:17:03.002 --> 00:17:04.864]  Let us see where the real power is here.
[00:17:05.104 --> 00:17:11.768]  There are billions of people, six billion, nearly getting on for seven billion on this planet, who are being manipulated.
[00:17:12.149 --> 00:17:21.075]  There are, in full knowledge of what they're doing, a relative handful of those who are doing the manipulating to the end that we're talking about.
[00:17:21.155 --> 00:17:30.121]  Because of the compartmentalized pyramids that they've constructed within all these institutions of government and finance and corporations,
[00:17:30.834 --> 00:17:46.772]  The vast majority of people who are daily making contributions to push the world towards this Orwellian global state have no idea that they're doing that because they don't know how their contributions fit in with everyone else's, only the few at the top do.
[00:17:47.232 --> 00:17:52.138]  And what we need to start doing is realizing that we've reached the fork in the road.
[00:17:52.631 --> 00:17:52.931]  I don't know.
[00:18:15.520 --> 00:18:16.141]  I don't think so.
[00:18:39.858 --> 00:18:40.478]  Well, absolutely.
[00:18:40.498 --> 00:18:43.479]  We're going to get a break and come back and get more into this mass awakening.
[00:18:43.519 --> 00:18:46.199]  And I want to get your take on this after the break, David.
[00:18:47.040 --> 00:19:01.303]  People love to say, oh, look at those stupid Jews, or those stupid gypsies, or those stupid Anglicans who didn't like Hitler, and they just went on trains, and they went to camps, and they stripped down naked, and they got run into pits and gunned down.
[00:19:01.363 --> 00:19:02.403]  Why didn't they fight back?
[00:19:02.423 --> 00:19:05.284]  And we see those Nazi film footage of that.
[00:19:06.064 --> 00:19:10.547]  When that was done incrementally, we're going to come back and get your analysis on this, that was done incrementally.
[00:19:10.587 --> 00:19:17.951]  They were slowly trained to live in ghettos and then to wear yellow stars or pink triangles or whatever the case was.
[00:19:18.331 --> 00:19:29.338]  They were slowly trained by incremental steps to put up with more and more until, well now we're taking you here to a camp to be safe because the public's beating you up and smashing your store windows.
[00:19:30.078 --> 00:19:33.780]  And, you know, now just take your clothes off over here.
[00:19:33.800 --> 00:19:34.761]  We're going to take care of you.
[00:19:34.981 --> 00:19:40.964]  And then they would line up and see the people being shot in front of them, but they would still just run into the pit obediently to their deaths.
[00:19:41.644 --> 00:19:42.785]  That is mind control.
[00:19:42.825 --> 00:19:44.206]  That is incremental conditioning.
[00:19:44.226 --> 00:19:48.208]  And we're going into the same thing as the ambient tyranny is turned up.
[00:19:48.348 --> 00:19:52.330]  We have to learn to recognize that, to stop it now, and break our conditioning.
[00:19:52.390 --> 00:19:53.511]  Stay with us with David Icke.
[00:19:56.275 --> 00:20:07.994]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods in an effort to get as many Americans prepared for the promised changes of the new administration and to help you and your family survive the global economic crash.
[00:20:10.776 --> 00:20:11.076]  I think so.
[00:20:40.525 --> 00:20:44.828]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:20:44.848 --> 00:20:46.349]  The enemy struck America on September 11.
[00:21:04.594 --> 00:21:05.614]  But who is the enemy?
[00:21:06.135 --> 00:21:06.635]  Bin Laden.
[00:21:06.935 --> 00:21:07.936]  This is his ammo.
[00:21:07.956 --> 00:21:09.276]  We have to look to the Middle East.
[00:21:09.296 --> 00:21:10.937]  We have to look to Osama Bin Laden.
[00:21:11.297 --> 00:21:18.040]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:21:18.440 --> 00:21:18.880]  Some U.S.
[00:21:18.940 --> 00:21:24.583]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:21:25.283 --> 00:21:28.785]  I'm aware that some Israeli citizens have been detained.
[00:21:29.165 --> 00:21:31.807]  Either you are with us, or you are with the terrorists.
[00:21:55.717 --> 00:21:57.678]  Hi, John Huebner from Midas Resources.
[00:21:57.938 --> 00:22:00.579]  Are you tired of watching your hard-earned assets dwindle away?
[00:22:00.879 --> 00:22:09.182]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:22:09.482 --> 00:22:12.303]  Is this market a setup for a crash greater than 1987?
[00:22:13.143 --> 00:22:16.364]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:22:17.684 --> 00:22:19.265]  How much are you willing to lose?
[00:22:19.665 --> 00:22:20.586]  Take action now!
[00:22:20.726 --> 00:22:24.369]  Call me at 1-800-686-2237, extension 129.
[00:22:25.531 --> 00:22:29.294]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:22:29.534 --> 00:22:32.737]  Over recent decades, numerous economic systems have failed.
[00:22:32.857 --> 00:22:39.283]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:22:39.583 --> 00:22:45.105]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:22:45.545 --> 00:22:47.626]  Do this while paper can still buy gold.
[00:22:47.866 --> 00:22:53.088]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:22:56.870 --> 00:23:02.172]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:23:02.632 --> 00:23:04.373]  Are you safe when you walk to your car?
[00:23:04.913 --> 00:23:06.393]  Are your kids safe when they go out?
[00:23:07.034 --> 00:23:08.114]  Everyone needs something
[00:23:15.015 --> 00:23:19.343]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds
[00:23:25.296 --> 00:23:27.418]  Great way to surprise a potential attacker.
[00:23:27.898 --> 00:23:36.025]  Mr. Defense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival spy and tactical gear.
[00:23:36.566 --> 00:23:39.108]  Mention this ad and receive 10% off your order.
[00:23:39.488 --> 00:23:41.170]  Visit MrDefense.com.
[00:23:41.490 --> 00:23:43.592]  That's MrDefense.com or call 1-800-313-6400.
[00:23:43.612 --> 00:23:43.672]  1-800-313-6400.
[00:23:43.692 --> 00:23:44.052]  That's 1-800-313-6400.
[00:24:02.375 --> 00:24:20.520]  If you don't think the global architects running the western world and the planet won't kill you, won't enslave you, won't rob your pension funds blind, it's happening.
[00:24:22.360 --> 00:24:29.242]  Just yesterday I saw several mainstream news articles admitting that British SAS trained Pol Pot's people to kill between three and four million.
[00:24:31.889 --> 00:24:32.569]  Why did they do this?
[00:24:32.609 --> 00:24:33.890]  We'll talk more about that with David Icke.
[00:24:33.930 --> 00:24:42.553]  David, I went into the mass mind control of people in Nazi Germany, the Soviet Union, over and over again, who will just march in and be mowed down and killed.
[00:24:43.033 --> 00:24:46.394]  Why did the founders of this country, why would they not go along with that?
[00:24:46.434 --> 00:24:47.274]  Why did they fight back?
[00:24:47.574 --> 00:24:48.335]  What's the difference?
[00:24:48.395 --> 00:24:57.478]  How do we get people to psychologically realize how they're being trained to have this learned helplessness, where they just lay down to the men in black uniforms?
[00:24:59.058 --> 00:25:00.699]  Well, when you're talking about mass mind control,
[00:25:02.267 --> 00:25:05.714]  We can't go any further than Barack Obama, because America has just had...
[00:25:07.043 --> 00:25:20.052]  visited upon it, a massive mass mind control operation to get him to power and to build his ludicrous, ludicrous myth of a personality and an image that so many people have bought.
[00:25:20.092 --> 00:25:34.382]  And I don't know about you, Alex, but I tell you, I've shaken my head a few times in the last few months when I've seen people who I thought had got it to an extent, who had bought the Obama myth as if somehow here out of nowhere is a change to the
[00:25:37.304 --> 00:25:46.708]  Well, to answer your question, I mean, what I think of it, they know things are bad and they want to believe a fairy tale.
[00:25:46.748 --> 00:25:48.489]  They want to think the nightmare is over.
[00:25:48.789 --> 00:25:51.270]  It's exactly because they are somewhat awake.
[00:25:51.670 --> 00:25:59.633]  That they're so afraid now at the reality that they are grasping at straws, you know, seeing things, mirages in the desert.
[00:25:59.653 --> 00:26:08.837]  A man dying of thirst will, you know, see huge lakes of cool, clean water to go drink and will even go crazy and think he's drinking water when he's throwing sand into his mouth.
[00:26:09.177 --> 00:26:15.720]  And you've written a great analysis breaking down the mass mind control, the real programs of Barack Obama.
[00:26:15.800 --> 00:26:18.321]  We link to it at InfoWars.com, DavidIke.com.
[00:26:18.341 --> 00:26:19.001]  What's the article?
[00:26:19.381 --> 00:26:20.522]  The Emperor with No Clothes?
[00:26:21.062 --> 00:26:22.843]  It's Barack Obama, the Naked Emperor.
[00:26:23.143 --> 00:26:27.806]  You've introduced a very, very important point, Alex, in terms of mass mind control.
[00:26:28.227 --> 00:26:31.769]  It's the principle of the target wanting it to be true.
[00:26:32.509 --> 00:26:41.415]  And in many ways, the worse it gets, the more people can be enticed into following someone who's telling them what they want to be true.
[00:26:41.495 --> 00:26:47.479]  I mean, if you take what happened in Nazi Germany and those other examples you gave, at each point,
[00:26:48.550 --> 00:26:52.833]  People don't want to face the fact of the situation they're in.
[00:26:53.374 --> 00:26:57.036]  So they will believe when someone tells them, no, no, it's not that.
[00:26:57.096 --> 00:26:58.517]  Just do it for this reason.
[00:26:58.577 --> 00:26:59.878]  They want that to be true.
[00:26:59.958 --> 00:27:03.281]  And that's the most powerful form of control.
[00:27:03.401 --> 00:27:04.302]  And you're absolutely right.
[00:27:04.342 --> 00:27:05.723]  What's happened with Barack Obama?
[00:27:06.763 --> 00:27:10.346]  This whole technique of problem reaction solution we're now seeing in America.
[00:27:11.230 --> 00:27:13.791]  And indeed, globally, because of Obama's global influence.
[00:27:13.831 --> 00:27:16.151]  I mean, I was in Africa recently, a few weeks ago.
[00:27:16.211 --> 00:27:17.551]  I mean, crikey, he's a god there.
[00:27:18.432 --> 00:27:27.033]  I guess you can understand why, but if they knew the agenda they have for Africa, the people behind Obama, then he would be anything but a god.
[00:27:27.414 --> 00:27:33.895]  But the point is that we're seeing a problem-reaction-solution presidential game here.
[00:27:34.395 --> 00:27:38.816]  They brought Bush in, the people that control Bush, the neocons, and what they've done for eight years
[00:27:39.585 --> 00:27:46.173]  Is create massive problems, financial problems, overseas war problems, military problems, problems of every kind.
[00:27:46.253 --> 00:28:00.249]  And he was also arrogant and didn't care and lied and said, I don't read the newspaper, exactly a perfect psy-op what the Romans would do with a governor, give them an abusive governor, but then bring in a slicker governor who could engage in even more abuse and the people would accept him as a savior.
[00:28:00.942 --> 00:28:01.242]  Exactly.
[00:28:01.282 --> 00:28:09.850]  One of the interesting things between the mid-90s and about 2002, I did enormous amounts of research into mind control, individual and mass mind control.
[00:28:10.531 --> 00:28:23.003]  One of the staggering things you came across when you talked to some of these individual victims of mind control was that they had a, I wouldn't say a love, but they had this enormous affection
[00:28:23.942 --> 00:28:24.202]  I think?
[00:28:37.592 --> 00:28:37.932]  I don't
[00:28:59.108 --> 00:29:02.691]  A change in president has a change in direction.
[00:29:03.091 --> 00:29:11.196]  And all it is, in truth, is a new phase in the same direction towards this global or well-interior.
[00:29:11.216 --> 00:29:12.937]  They're just putting a new quarterback in.
[00:29:13.418 --> 00:29:13.938]  Exactly.
[00:29:13.998 --> 00:29:20.903]  And what Obama's been brought in to do, the salesman, well he's a salesman as long as he's reading someone else's words on autocue.
[00:29:21.363 --> 00:29:22.344]  We're on the march.
[00:29:22.544 --> 00:29:23.924]  The empire's on the run.
[00:29:49.830 --> 00:29:52.651]  Alex Jones and the GCN Radio Network.
[00:29:55.792 --> 00:29:58.793]  Every 22 seconds, a violent crime is committed.
[00:29:59.033 --> 00:30:01.053]  Are you concerned about your personal safety?
[00:30:01.373 --> 00:30:04.694]  Why wait for something bad to happen when you can take action now?
[00:30:04.994 --> 00:30:05.674]  Be smart.
[00:30:05.935 --> 00:30:06.635]  Be safe.
[00:30:06.895 --> 00:30:08.875]  Trust Pepper Spray instead of your luck.
[00:30:09.095 --> 00:30:14.657]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[00:30:14.897 --> 00:30:18.318]  Pepperspray.com carries one of the largest assortments of pepper spray.
[00:30:18.618 --> 00:30:24.620]  And personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[00:30:24.820 --> 00:30:30.762]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:30:30.982 --> 00:30:35.264]  Pepperspray.com is proud to feature Saber brand pink ribbon pepper spray.
[00:30:35.444 --> 00:30:41.006]  For every Saber pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[00:30:41.286 --> 00:30:45.468]  Enter the word Pepper in the coupon box, and you'll receive 10% off your order.
[00:30:45.688 --> 00:30:46.809]  So what are you waiting for?
[00:30:46.989 --> 00:30:48.409]  Go to Pepperspray.com.
