[00:00:00.134 --> 00:00:02.339]  In Texas, Alex Jones.
[00:03:01.627 --> 00:03:06.750]  Or no, that'd be... I don't know, it was 200 pages, now it's over 1,300.
[00:03:07.430 --> 00:03:10.212]  So yeah, basically... basically, uh...
[00:03:12.048 --> 00:03:15.071]  A tiny fraction, and it was bad enough, and now it's just unbelievable.
[00:03:15.371 --> 00:03:16.612]  Let's talk to Mark in Oregon.
[00:03:16.632 --> 00:03:17.413]  Mark, you're on the air.
[00:03:18.473 --> 00:03:19.474]  Well, good morning, Alex.
[00:03:20.135 --> 00:03:20.475]  Hey, buddy.
[00:03:21.156 --> 00:03:39.191]  Alex, you know, toward hitting these bastards where it really hurts, a movie totally exposing and ripping the cover off of pedophilia in the United States, as is practiced by much or most of these higher echelons of the New World Order, as well as throughout the world, this is a practice.
[00:03:39.850 --> 00:03:48.794]  It only gives power and more power to evil, and evil grows through it, and that's kind of an involved process, but that's the way that it turns out.
[00:03:48.874 --> 00:03:53.096]  Now, hurting the innocents better you tie a millstone around your neck than hurt one of these little ones.
[00:03:53.617 --> 00:03:57.919]  Yeah, I think it would be a multi- I volunteer to tie the millstones around their neck all day long.
[00:03:59.439 --> 00:04:05.602]  I really think it would be a multi-megaton blast of truth and exposure upon this highly evil practice, which
[00:04:07.714 --> 00:04:11.275]  You know, like I say, it just is one of their main energizers.
[00:04:11.375 --> 00:04:16.856]  It's what really gives them that demonic ability of having no conscience.
[00:04:16.876 --> 00:04:17.636]  It's their treat!
[00:04:18.336 --> 00:04:18.956]  It's their treat.
[00:04:19.716 --> 00:04:20.676]  Yeah, it's their treat.
[00:04:20.736 --> 00:04:21.476]  It's their dessert.
[00:04:21.536 --> 00:04:22.417]  It's their sacrament.
[00:04:23.037 --> 00:04:23.297]  That's right.
[00:04:23.317 --> 00:04:25.517]  I'd like to give them a sacrament of a bullet between the eyes.
[00:04:26.737 --> 00:04:28.678]  After we hear they have a jury of their peers, of course.
[00:04:30.058 --> 00:04:30.778]  We can just hang them.
[00:04:32.838 --> 00:04:33.538]  We'll be right back.
[00:04:33.579 --> 00:04:34.279]  Thank you, Mark.
[00:04:34.339 --> 00:04:35.859]  I'm going to hurry through your calls when we get back.
[00:04:35.879 --> 00:04:36.239]  Stay with us.
[00:04:41.479 --> 00:04:46.463]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:04:46.683 --> 00:04:50.487]  Number one, new climate legislation could easily double or triple your electric bill.
[00:04:50.707 --> 00:04:56.312]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:04:56.612 --> 00:05:01.456]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:05:01.676 --> 00:05:02.176]  Number 3.
[00:05:02.596 --> 00:05:08.039]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:05:08.199 --> 00:05:08.419]  Number 4.
[00:05:08.879 --> 00:05:11.540]  The hurricane and dangerous summer storm season is here again.
[00:05:11.780 --> 00:05:15.182]  Every year, thousands of families lose their power from weather-related outages.
[00:05:15.442 --> 00:05:15.662]  Number 5.
[00:05:16.302 --> 00:05:19.924]  A solar power generator provides powerful backup insurance and peace of mind.
[00:05:20.144 --> 00:05:25.647]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:05:25.887 --> 00:05:28.948]  You can get more information at www.solutionsfromscience.com.
[00:05:29.048 --> 00:05:30.430]  MySolarBackup.com.
[00:05:30.570 --> 00:05:32.111]  That's MySolarBackup.com.
[00:05:32.352 --> 00:05:34.674]  Remember, the government doesn't own the sun yet.
[00:05:34.915 --> 00:05:38.358]  So go to MySolarBackup.com or call toll-free 877-327-0365.
[00:05:38.699 --> 00:05:42.143]  This is Alex Jones.
[00:05:42.423 --> 00:05:44.205]  Have you heard of the Millionaire Patriot?
[00:05:44.425 --> 00:05:45.106]  Well, you should.
[00:05:45.406 --> 00:05:49.651]  He has a free handgun and five days of firearms training waiting for you.
[00:05:49.891 --> 00:05:50.332]  That's right.
[00:05:50.672 --> 00:06:00.584]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:06:00.704 --> 00:06:06.111]  Plus, if you act fast, the Millionaire Patriot will give you a free Springfield Armory XD pistol.
[00:06:06.331 --> 00:06:14.553]  In the caliber of your choice, I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:06:14.913 --> 00:06:20.134]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:06:20.434 --> 00:06:21.574]  This is real.
[00:06:21.894 --> 00:06:22.635]  Don't miss out.
[00:06:22.955 --> 00:06:31.316]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:06:31.517 --> 00:06:33.617]  Go to FrontSight.com today.
[00:06:33.877 --> 00:06:37.400]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:06:37.580 --> 00:06:40.543]  Go to FrontSite.com for your training and free gun.
[00:06:41.263 --> 00:06:42.825]  Hello friends, this is Alex Jones.
[00:06:42.965 --> 00:06:47.569]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:06:47.709 --> 00:06:50.451]  We need to be independent, and food and water is the key.
[00:06:50.671 --> 00:06:53.534]  You'll never have to stand in a bread line if you have your own bread.
[00:06:53.714 --> 00:06:58.438]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:06:58.638 --> 00:06:59.579]  If you simply prepare.
[00:06:59.780 --> 00:07:02.684]  No one is going to take care of your family in the final equation but you.
[00:07:03.024 --> 00:07:09.914]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. Coli, Salmonella, genetic alteration, or Chinese imports.
[00:07:10.014 --> 00:07:13.138]  And they do it at almost half the cost of last year's grocery prices.
[00:07:13.298 --> 00:07:13.559]  Call 1-800-409-5633.
[00:07:15.962 --> 00:07:18.203]  Or on the web, go to eFoodsDirect.com.
[00:07:18.423 --> 00:07:24.507]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:07:24.687 --> 00:07:28.449]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:07:28.469 --> 00:07:29.810]  Again, 1-800-409-5633, or on the web at eFoodsDirect.com.
[00:07:29.830 --> 00:07:30.330]  Take action today.
[00:07:30.350 --> 00:07:31.591]  The first step is getting storable food.
[00:07:42.586 --> 00:07:48.231]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:07:58.099 --> 00:08:03.022]  Waging war on corruption, crashing with lies and disinformation.
[00:08:04.504 --> 00:08:05.605]  I'm Alex Jones, your host.
[00:08:06.365 --> 00:08:09.087]  We have got to defeat the New World Order.
[00:08:09.728 --> 00:08:10.769]  We've got to get angry,
[00:08:13.899 --> 00:08:25.328]  We've got to get focused, we've got to decide that it's good and wholesome to hate tyranny and corruption and people telling you how to live and what to do.
[00:08:25.349 --> 00:08:27.730]  They've got all these excuses, all these reasons.
[00:08:27.931 --> 00:08:31.554]  They're a pack of criminal, degenerate liars!
[00:08:33.891 --> 00:08:37.793]  And man, folks, you can't be decadent and slack-jawed and giggle and snicker anymore.
[00:08:38.034 --> 00:08:43.817]  You're already losing your jobs and everything's going to hell in a handbasket, and they got carbon taxes to shut down everything further!
[00:08:44.878 --> 00:08:48.800]  And Federal Reserve takeovers, and federal takeovers of all water in all the states!
[00:08:49.340 --> 00:08:50.521]  I mean, this is happening!
[00:08:51.682 --> 00:08:54.223]  A tax on the Fourth Amendment, the second, the first!
[00:08:56.125 --> 00:08:59.907]  Let's blitz through calls, I'm getting into the other outrages and back into the climate bill.
[00:09:01.124 --> 00:09:01.724]  Being debated.
[00:09:01.904 --> 00:09:03.345]  Debate closes down in the next hour.
[00:09:03.365 --> 00:09:06.046]  Gonna vote on it then in the next three hours after that.
[00:09:07.707 --> 00:09:09.728]  Sometime, they said, between 6 and 7 Eastern.
[00:09:09.788 --> 00:09:12.209]  So, I guess 5 and 6 Central.
[00:09:13.589 --> 00:09:15.910]  To be technical, but you never know with their chicanery.
[00:09:15.930 --> 00:09:17.151]  They've been changing bill numbers.
[00:09:17.411 --> 00:09:18.652]  Nobody's read the bill.
[00:09:19.352 --> 00:09:21.133]  It was 200 pages a week ago.
[00:09:21.553 --> 00:09:23.274]  It's 1,300 yesterday.
[00:09:23.454 --> 00:09:25.374]  They said they added 300 more last night.
[00:09:25.575 --> 00:09:27.015]  Nobody can see the thing.
[00:09:27.876 --> 00:09:28.276]  That is...
[00:09:29.773 --> 00:09:31.094]  But there's been miracles before.
[00:09:31.154 --> 00:09:31.635]  It's set.
[00:09:31.995 --> 00:09:33.797]  They say it's very close, but probably going to pass.
[00:09:33.817 --> 00:09:35.439]  But there's such liars, who knows what that means.
[00:09:36.920 --> 00:09:38.722]  It's just like three years ago.
[00:09:40.816 --> 00:09:47.682]  They started trying to pass amnesty bills for the next year and a half, and the third time they said, it's not an amnesty bill, but the bill's secret, you can't see it.
[00:09:48.222 --> 00:10:05.456]  And God bless him, Senator Sessions, he's not perfect, but he did release the bill, he got in trouble for it under Senate rules, supposed to keep that secret from the slaves, and it wasn't just amnesty, it was legalizing all illegal alien felons, they could bring in limited members of their family, just total amnesty pardons.
[00:10:08.544 --> 00:10:10.005]  Clemency, whatever you want to call it.
[00:10:10.525 --> 00:10:12.727]  Worse than amnesty.
[00:10:13.508 --> 00:10:14.828]  And then we barely beat that.
[00:10:15.249 --> 00:10:22.454]  So see, they wanted to get the border broken, so before the economy imploded, because they knew once it imploded, it'd be harder to go ahead and get rid of the border.
[00:10:22.754 --> 00:10:23.955]  Now that's in trouble for them.
[00:10:25.606 --> 00:10:28.187]  They got their gun bills and they got it controlled by the Democrats.
[00:10:29.008 --> 00:10:33.010]  And they're trying to pass bills to let the Attorney General ban any guns he wants, whatever he wants.
[00:10:33.691 --> 00:10:38.794]  And bills to shut down gun manufacturers and gun stores and private transfer to your friends.
[00:10:40.500 --> 00:10:44.261]  To put you on a no-fly list, no-gun-buy list, no-judge, no-jury, no-record.
[00:10:44.621 --> 00:10:47.442]  I mean, cyber-bullying bills, openly banned free speech.
[00:10:47.782 --> 00:10:49.163]  I mean, we're just getting hit here.
[00:10:49.403 --> 00:10:50.743]  They're making their move, man.
[00:10:51.063 --> 00:10:54.505]  We're at the LMO, the enemy's coming up over the walls.
[00:10:54.945 --> 00:10:58.246]  It's time to be swinging your rifle, folks.
[00:10:59.690 --> 00:11:02.032]  It's time to be swinging that Kentucky Long Rifle.
[00:11:02.312 --> 00:11:03.112]  I mean, this is it.
[00:11:03.372 --> 00:11:05.054]  We're not even in gunshot range anymore.
[00:11:05.074 --> 00:11:05.894]  It's bayonets.
[00:11:06.294 --> 00:11:07.055]  It's swords.
[00:11:07.115 --> 00:11:08.536]  It's ahhh!
[00:11:08.836 --> 00:11:10.197]  I mean, they're in Among Us.
[00:11:10.277 --> 00:11:10.617]  It's it.
[00:11:10.637 --> 00:11:16.481]  I mean, they're saying, secret police, foreign troops, North Com openly to use troops on the U.S.
[00:11:16.501 --> 00:11:16.962]  citizens.
[00:11:17.282 --> 00:11:18.663]  They're coming in at every angle.
[00:11:18.683 --> 00:11:19.243]  This is it.
[00:11:19.523 --> 00:11:20.504]  And this is just beginning.
[00:11:21.044 --> 00:11:29.370]  You think the battle's heated up now with their ships up against us, with their cannons blasting full range at us, and we're sitting here and half our people don't even know we're in a fight of our lives.
[00:11:33.168 --> 00:11:37.672]  They want to know about Michael Jackson, some freak, some drug addict freak.
[00:11:37.872 --> 00:11:39.674]  It's been obvious that guy's been in a daze.
[00:11:39.874 --> 00:11:46.360]  Like Jaron Neihardt said, it's like the last 20 years he's been on heroin or opium on his Ferris wheel.
[00:11:51.084 --> 00:11:52.806]  He's a sad, pathetic person.
[00:11:53.447 --> 00:11:54.468]  It doesn't matter.
[00:11:55.188 --> 00:11:56.870]  It's a perfect distraction right now.
[00:12:00.435 --> 00:12:02.076]  He was shooting up a variant of opium.
[00:12:02.876 --> 00:12:03.937]  A variant of morphine.
[00:12:07.198 --> 00:12:08.799]  I mean, you can tell that guy's on TV.
[00:12:09.740 --> 00:12:16.123]  Hi, uh, oh, yes, oh, I, oh, oh, oh, oh.
[00:12:16.743 --> 00:12:20.965]  And you'd see him on TV with his nose with, like, plastic on it, like, flapping in the wind.
[00:12:20.985 --> 00:12:22.766]  I mean, that's power.
[00:12:22.826 --> 00:12:23.726]  That's the world.
[00:12:23.786 --> 00:12:27.308]  That's being so insecure you have your face chopped up a hundred times.
[00:12:28.249 --> 00:12:28.909]  Probably more.
[00:12:30.310 --> 00:12:42.382]  All you women, all you men that feel inadequate and buy all the media hype, all of it, it's all lies, it's all bills, it's all soul-killing garbage to neutralize you so you don't have a desire to control your own destiny.
[00:12:42.622 --> 00:12:45.285]  You think I care, I got sunspots or my hair's falling out?
[00:12:45.705 --> 00:12:48.388]  I'm tempted to just cut my hair off and walk around in sackcloth.
[00:12:48.869 --> 00:12:50.770]  I never knew what that meant when I was reading out the Old Testament.
[00:12:50.871 --> 00:12:54.234]  It's about getting humble and stop caring about the crap!
[00:12:58.251 --> 00:13:02.623]  Because I don't want to turn into Michael Jackson and all cultures turning into him!
[00:13:12.793 --> 00:13:15.855]  You know, all these decadent Hollywood people that aren't centered?
[00:13:16.675 --> 00:13:18.056]  It's a blessing that they rot.
[00:13:18.116 --> 00:13:19.257]  It's a blessing they die.
[00:13:19.277 --> 00:13:21.618]  Because their decadence and evil is finally brought to an end.
[00:13:21.899 --> 00:13:23.139]  Death's the great equalizer.
[00:13:23.339 --> 00:13:26.621]  Those of us that love God and honor and decency, we're not afraid of death!
[00:13:26.641 --> 00:13:28.983]  Because we're beyond all your worldly crap!
[00:13:31.049 --> 00:13:36.353]  The only reason I don't want to die is because I don't want to continue fighting you as long as I can stay here, whatever the cost!
[00:13:36.613 --> 00:13:38.815]  I'm committed, and God knows I'm committed.
[00:13:39.376 --> 00:13:41.237]  That's why I'm protected to some extent.
[00:13:41.497 --> 00:13:44.740]  But it may become God's will at some time that I water the tree of liberty.
[00:13:45.020 --> 00:13:47.262]  And if that is the will of God, it will happen.
[00:13:47.442 --> 00:13:54.828]  And the New World Order hates it that we're committed, and they hate it that we don't believe in their God of destruction, and tyranny, and disease, and pain.
[00:13:55.828 --> 00:13:59.892]  We believe in the God of strength, and will, and honor, and wholesomeness, and goodness.
[00:14:01.058 --> 00:14:05.000]  Green fields and the stars in the night, evidence of his handiwork.
[00:14:06.041 --> 00:14:11.064]  The God of creation and of living water, not your God of weakness.
[00:14:12.144 --> 00:14:14.325]  We're not afraid of death because we're so alive.
[00:14:14.565 --> 00:14:17.227]  We realize that it's all part of God's plan and we go on.
[00:14:17.547 --> 00:14:20.389]  And you fear death and you should, because for you,
[00:14:21.653 --> 00:14:22.573]  There is eternity.
[00:14:22.674 --> 00:14:25.795]  Your soul, your spirit, your essence will be with yourself.
[00:14:26.115 --> 00:14:26.956]  And that is hell.
[00:14:27.796 --> 00:14:31.058]  Hell is what you love, and it's what you get.
[00:14:31.078 --> 00:14:35.840]  All right, I said I'd take calls.
[00:14:35.900 --> 00:14:36.841]  I'm out of control today.
[00:14:36.941 --> 00:14:38.522]  Stuart and Mass, you're on the air.
[00:14:39.762 --> 00:14:40.182]  Hey, Alex.
[00:14:40.222 --> 00:14:40.863]  How's it going?
[00:14:41.423 --> 00:14:41.803]  Hey, buddy.
[00:14:42.484 --> 00:14:44.305]  The absurdity is a killer, isn't it?
[00:14:46.065 --> 00:14:47.566]  Everything is so absurd, man.
[00:14:47.646 --> 00:14:48.867]  It's crazy.
[00:14:50.266 --> 00:15:04.085]  I was going to say, you hide the fact that you are a Zionistic, Jew-hating, Vatican assassin, bigoted, CIA MI5 reptile assassin pretty well.
[00:15:08.299 --> 00:15:15.842]  No, no, and I'm also from Planet Pop-Tart, but the issue is, the issue is, that's all a worldly diversion.
[00:15:15.902 --> 00:15:17.463]  Let's say I'm the worst person in the world.
[00:15:17.523 --> 00:15:17.943]  I'm not.
[00:15:18.343 --> 00:15:19.583]  I'm for real, and people know that.
[00:15:19.604 --> 00:15:20.704]  That's why we've been successful.
[00:15:21.184 --> 00:15:29.448]  Some of those that are deceived can't see it, and they get actually upset by me because they've got their own issues that they need to rectify, and I actually feel sorry for my enemies more and more.
[00:15:30.307 --> 00:15:38.092]  But the issue is, is that none of us are perfect, but having guts is good, and guts is enough, as they say, and I agree with that in Full Metal Jacket.
[00:15:38.692 --> 00:15:48.278]  Taking action, getting out of the lukewarm into the hot or cold, choosing a side, but regardless, my fruits are good, and I'm here awakening people to the false reality.
[00:15:48.298 --> 00:15:53.901]  Now, what they find, or what they see, you know, after they've been awakened
[00:15:56.682 --> 00:15:57.342]  Is another thing.
[00:15:57.682 --> 00:16:06.785]  And people lead down rabbit trails, they wake up, but only for a time, and then die, you know, in their awakening.
[00:16:10.026 --> 00:16:15.768]  Other people, you know, wake up, but then get seduced and decide to join evil.
[00:16:15.828 --> 00:16:19.429]  And some people wake up and then just get more and more knowledge, more and more understanding.
[00:16:19.669 --> 00:16:20.289]  But go ahead.
[00:16:22.486 --> 00:16:24.547]  You use parables a lot.
[00:16:25.708 --> 00:16:28.349]  What I was doing was... I got a bit of a parable.
[00:16:28.409 --> 00:16:30.951]  This is for the police.
[00:16:30.971 --> 00:16:49.320]  I'm sick of the whole, some of the police are good, and maybe some of them are, but... What if I were to say, I'm going to join the mafia, and the mafia's bad, but I'm going to take some of that money, I'm going to take that money that I get from robbing and stealing and killing, and I'm going to give it to the poor and help some old ladies out.
[00:16:50.083 --> 00:16:50.764]  You know what I'm saying?
[00:16:51.064 --> 00:16:52.926]  That's almost what it's like to me.
[00:16:53.607 --> 00:16:58.652]  And, uh, you know, all these police out there, you know, and even the congressmen that are now waking up.
[00:16:59.253 --> 00:17:01.415]  I mean, you know, like you said, we're at the brink now.
[00:17:01.435 --> 00:17:03.017]  So all these
[00:17:03.542 --> 00:17:03.882]  I don't know.
[00:17:22.501 --> 00:17:43.767]  And the thing that kills me is when I calculate in my brain everything that you talk about, all these issues, so much damage has been done that even if the people stand up right now, today, this very second, which we're not going to, and turn things around, the damage that has been done to this country is so bad that I believe
[00:17:44.440 --> 00:17:47.783]  That it's going to be a long time before things get better.
[00:17:47.803 --> 00:17:54.168]  You know, with 1 in 150 kids, you said it's probably closer to 1 in 75 being autistic now.
[00:17:54.528 --> 00:17:59.952]  What kind of a future do we have with a generation like that that's going to go up and take over?
[00:17:59.992 --> 00:18:04.596]  When I was in high school, I knew when my generation took over, we were going to be in big trouble.
[00:18:04.656 --> 00:18:11.422]  I can't even imagine when the kids growing up now take over, but I guess that's all I have to say, and have a good day Alex.
[00:18:12.418 --> 00:18:13.499]  God bless you, my friend.
[00:18:13.559 --> 00:18:14.740]  I appreciate your call.
[00:18:16.982 --> 00:18:21.345]  Yeah, we have to learn to recognize evil and be able to deal with it and face it down.
[00:18:24.208 --> 00:18:25.189]  We have to be able to do that.
[00:18:25.249 --> 00:18:28.191]  I'm going to come back and take more calls and then I've got that Federal Reserve News.
[00:18:28.732 --> 00:18:32.695]  The video we're going to be playing for PrisonPlanet.tv viewers coming up here in just a few minutes.
[00:18:35.526 --> 00:18:41.351]  You know, and every time I have success reaching out to people, that's then proof that I'm bad.
[00:18:41.411 --> 00:18:43.773]  Well, the fact is what matters is my fruits.
[00:18:44.313 --> 00:18:48.156]  The fact is I'm here not compromising, telling the truth, fighting the New World Order.
[00:18:50.098 --> 00:18:56.183]  And I believe what I'm saying and I do the best job I can to fight these forms of tyranny over the minds and souls of men and women.
[00:18:57.103 --> 00:19:01.467]  But every time I mention that we're on XM, three hours on
[00:19:03.254 --> 00:19:05.295]  Saturdays, people go, oh my God, you're evil.
[00:19:05.696 --> 00:19:06.716]  Oh my God, that means you're bad.
[00:19:06.796 --> 00:19:19.264]  No, that means that they know I have a giant audience, so they're kind of putting their toe in the water, putting me on, because even a lot of the people that are in that company, though it's owned by Globalist, I'm sure, realize what's going on, because I've talked to some of them.
[00:19:19.784 --> 00:19:27.030]  So they're taking a risk to put me on, and then even me talking about it may even get us kicked off, and then that'll please people out there, of course, who don't want to beat the New World Order.
[00:19:27.330 --> 00:19:31.093]  But we're on XM Channel 165, Saturdays, 5 to 8 p.m.
[00:19:31.133 --> 00:19:31.513]  Central.
[00:19:32.034 --> 00:19:34.816]  XM Channel 165, Saturdays, 5 to 8 p.m.
[00:19:34.856 --> 00:19:35.196]  Central.
[00:19:35.616 --> 00:19:38.459]  And they might be putting us on five days a week in the near future.
[00:19:38.979 --> 00:19:41.201]  So that's another little victory right there.
[00:19:44.011 --> 00:19:44.791]  We're good to go.
[00:20:06.596 --> 00:20:12.379]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:20:12.599 --> 00:20:15.040]  From big to small, we have it all.
[00:20:15.281 --> 00:20:19.082]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:20:19.323 --> 00:20:25.726]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:20:26.046 --> 00:20:27.787]  Enter SAFE in the coupon box.
[00:20:27.967 --> 00:20:28.227]  We're good.
[00:20:43.465 --> 00:20:44.507]  Hi, this is Ted Anderson.
[00:20:44.907 --> 00:20:50.394]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:20:50.974 --> 00:20:51.455]  That's right.
[00:20:51.775 --> 00:20:54.078]  Gold has been available to be placed in IRAs since 1986.
[00:20:54.619 --> 00:21:01.567]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:21:02.108 --> 00:21:09.795]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:21:10.235 --> 00:21:15.099]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:21:15.720 --> 00:21:20.724]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:21:21.544 --> 00:21:25.648]  Don't get left behind by rising inflation and low return on your paper investments.
[00:21:26.028 --> 00:21:26.288]  Call 800-686-2237.
[00:21:26.308 --> 00:21:28.230]  Make sure that you secure your future.
[00:21:28.290 --> 00:21:28.610]  Call 800-686-2237.
[00:21:28.910 --> 00:21:29.430]  That's 1-800-686-2237.
[00:21:29.450 --> 00:21:34.113]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:21:48.167 --> 00:21:53.530]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:21:54.051 --> 00:22:00.254]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:22:00.535 --> 00:22:02.376]  Well, Obama's already fudging.
[00:22:02.536 --> 00:22:04.917]  He's fudged since day one in this election.
[00:22:04.977 --> 00:22:15.864]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:22:18.169 --> 00:22:19.410]  It's not about left or right.
[00:22:19.830 --> 00:22:21.252]  It's about a one world government.
[00:22:21.692 --> 00:22:28.017]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:22:28.597 --> 00:22:36.383]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:22:36.864 --> 00:22:38.005]  The Obama Deception.
[00:22:38.445 --> 00:22:39.626]  The people strike back.
[00:22:41.331 --> 00:22:44.355]  When you hear the words water purification, what comes to mind?
[00:22:44.695 --> 00:22:48.320]  If it's Berkey Water Purification Systems, this message is for you.
[00:22:48.600 --> 00:22:52.064]  Did you know that over 60% of municipal water contains fluoride?
