[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:02:20.539 --> 00:02:20.719]  That's 800-604-8525.
[00:02:20.759 --> 00:02:21.199]  Don't wait.
[00:02:21.219 --> 00:02:21.399]  Call 800-604-8525.
[00:02:21.419 --> 00:02:21.619]  That's 800-604-8525.
[00:02:34.218 --> 00:02:42.784]  An interagency team is being assembled by the White House to coordinate efforts with other countries to sanction North Korea for a recent nuclear test.
[00:02:43.224 --> 00:02:48.788]  The Washington Post reports former Ambassador to Bolivia, Philip Goldberg, will head the team.
[00:02:49.208 --> 00:02:56.713]  An official says the consensus is that a focused effort is needed to see that sanctions are implemented and that information is being shared.
[00:02:57.053 --> 00:03:04.138]  The group will include representatives from the State Department, the White House, the National Security Agency, and the Treasury Department.
[00:03:04.638 --> 00:03:13.625]  The Brazilian military has called off the somber search for bodies of the people on board an Air France jumbo jet that plunged into the Atlantic Ocean earlier this month.
[00:03:13.985 --> 00:03:21.731]  All 228 people on board died when the Airbus A330 apparently broke apart in midair and plunged into the ocean.
[00:03:22.151 --> 00:03:26.955]  Only 51 of the victims have been found and the flight data recorders have yet to be recovered.
[00:03:27.115 --> 00:03:31.058]  For the latest news and analysis log on to IRNUSANews.com
[00:03:33.339 --> 00:03:37.642]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[00:03:38.182 --> 00:03:46.008]  If you could only visit one country, one nation, on the face of this earth, it should be Israel.
[00:03:46.448 --> 00:03:49.070]  Because then, you'll never be the same.
[00:03:49.470 --> 00:03:52.932]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[00:04:03.897 --> 00:04:10.622]  Nine people are dead after a multi-car crash involving a semi on the Will Rogers Turnpike near Miami, Oklahoma.
[00:04:10.942 --> 00:04:18.907]  According to the Oklahoma Highway Patrol, traffic was stopped because of an earlier accident when the semi slammed into at least three cars.
[00:04:19.448 --> 00:04:25.572]  That caused a chain reaction that involved seven vehicles with the semi ending up on top of three of the cars.
[00:04:25.652 --> 00:04:30.335]  Michael Jackson's doctor has been questioned by Los Angeles police for a second time.
[00:04:30.755 --> 00:04:38.320]  Accompanied by his lawyer, Texas cardiologist Dr. Conrad Murray was questioned by detectives for several hours Saturday.
[00:04:38.820 --> 00:04:51.969]  The attorney, identified as Matt Alford by TMZ.com, issued a statement through his law firm that said, Dr. Murray is considered to be a witness to the events surrounding Michael Jackson's death and he is not a suspect.
[00:04:52.489 --> 00:05:01.680]  Police are thought to be investigating reports that Murray injected Jackson with the potent painkiller Demerol before he collapsed and died Thursday.
[00:05:02.081 --> 00:05:09.490]  Third-seeded American Venus Williams and top-seeded Dinara Safina were the Round 3 winners on Day 6 at Wimbledon.
[00:05:09.830 --> 00:05:15.853]  Williams cruised past Spaniard Carla Suarez Navarro while Safina ousted unseeded Kristen Flipkins.
[00:05:16.193 --> 00:05:24.277]  On the men's side, two-time runner-up Andy Roddick posted a third straight four-set victory as he reached the fourth round at Wimbledon's for a fifth time.
[00:05:24.617 --> 00:05:28.219]  Former champion Leighton Hewitt also booked a spot in the round of 16.
[00:05:28.259 --> 00:05:29.440]  This is IRN USA Radio News.
[00:05:33.923 --> 00:05:39.910]  We are surrounded by harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[00:05:40.170 --> 00:05:41.011]  Take a deep breath.
[00:05:41.952 --> 00:05:48.238]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[00:05:48.458 --> 00:05:49.520]  Have a glass of water.
[00:05:50.020 --> 00:05:55.346]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[00:05:55.686 --> 00:05:56.467]  Of course you can't.
[00:05:56.727 --> 00:06:01.551]  The air that you breathe and the water you drink should help maintain good health, not take away from it.
[00:06:01.871 --> 00:06:10.118]  AirAndAqua.com knows exactly what doesn't belong in our air and water, and they know exactly how to help you rid your home or office of these toxins.
[00:06:10.438 --> 00:06:17.784]  AirAndAqua.com carries whole house air and water purification systems, air conditioners, shower head filters, water testing kits,
[00:06:18.064 --> 00:06:22.207]  Atmospheric water generators, humidifiers, dehumidifiers, and much more.
[00:06:22.387 --> 00:06:29.191]  To learn more and see the products that will change the way you look at our air and water, please visit airandaqua.com.
[00:06:29.311 --> 00:06:31.392]  That's airandaqua.com.
[00:06:31.512 --> 00:06:33.033]  Purify your life today!
[00:06:33.053 --> 00:06:41.098]  Prepare yourself for a talk radio experience like no other.
[00:06:41.178 --> 00:06:42.859]  He stands for truth.
[00:06:47.168 --> 00:06:49.048]  He stands for justice.
[00:06:50.389 --> 00:06:52.809]  He stands for what's right.
[00:06:52.849 --> 00:06:55.570]  This is the Alex Jones Show.
[00:06:56.130 --> 00:06:59.131]  Call Alex now, toll free at 877-590-5525.
[00:06:59.231 --> 00:07:03.432]  Now live from Austin, Texas, here's Alex Jones.
[00:07:19.734 --> 00:07:30.502]  Welcome, welcome my friends, and thank you so much for joining us on this live June 28, 2009 Sunday edition.
[00:07:30.522 --> 00:07:35.866]  Of course, I have the syndicated transmission Monday through Friday.
[00:07:37.707 --> 00:07:47.394]  Blasting out on the AM and FM dial, Global Shortwave Satellite, number one radio show on the internet, according to Shoutcast, Flycast, and many other gauges, and of course also Simulcast
[00:07:48.709 --> 00:07:51.410]  Re-aired on XM Radio.
[00:07:52.051 --> 00:07:55.573]  And here we are on the abbreviated Sunday transmission, 4 to 6 p.m.
[00:07:57.013 --> 00:08:00.055]  Each and every Sunday, come rain or shine, I am here.
[00:08:00.535 --> 00:08:01.776]  Talk about rain or shine.
[00:08:02.076 --> 00:08:09.520]  In my car, there's a thermometer on the dash, I guess from the windshield, said it was 115 driving over here.
[00:08:09.580 --> 00:08:16.564]  Now, remember that that's obviously driving on the highway and it's much hotter with the heat coming off the asphalt and the concrete.
[00:08:17.356 --> 00:08:20.058]  They were saying it was like 105 the other day here in Austin.
[00:08:20.098 --> 00:08:20.359]  It's only 102.
[00:08:20.639 --> 00:08:24.622]  It's always nice though in these particular studios.
[00:08:24.642 --> 00:08:28.125]  These are nice studios, but the ACs always freeze up when it gets over 100.
[00:08:28.905 --> 00:08:36.532]  So everybody's eventually got their shirts off here at the EMIS offices that we're syndicating out of and the studios of NewsRadio 590 KLBJ.
[00:08:36.892 --> 00:08:40.535]  I mean, Jaron Neihard literally earlier has his shirt up.
[00:08:40.575 --> 00:08:41.816]  He's standing over by the fan.
[00:08:43.415 --> 00:08:46.958]  Uh, he's, uh, it's the opposite of a turtle sunning itself out on a log.
[00:08:46.998 --> 00:08:48.539]  He's, like, trying to cool off with the fan.
[00:08:48.579 --> 00:08:57.246]  He has his shirt literally hanging it over the fan, hanging over the board, because they have those old-fashioned tube boards and all these computers, and heat's just rising off of them.
[00:08:57.266 --> 00:08:59.207]  You could almost fry eggs on them.
[00:08:59.588 --> 00:09:03.591]  Right now, I've got sweat just pouring down my, my sides of my shirt.
[00:09:04.321 --> 00:09:07.843]  I look like I'm a Russian bus driver or something in Moscow in the middle of summer.
[00:09:08.664 --> 00:09:11.085]  But, you know why I say that?
[00:09:11.105 --> 00:09:15.107]  Because still in Eastern Europe and places in Western Europe, a lot of them don't have A.C.
[00:09:15.127 --> 00:09:16.328]  because it hardly ever gets hot there.
[00:09:16.348 --> 00:09:18.749]  But when it does get hot, look out everybody.
[00:09:19.350 --> 00:09:24.573]  Like up in Chicago, every time it gets this hot in Chicago or Milwaukee, you hear about dozens of deaths a week.
[00:09:24.593 --> 00:09:25.853]  They're up there dying right now.
[00:09:27.734 --> 00:09:30.216]  I made a mistake of going for a jog at noon today.
[00:09:30.776 --> 00:09:32.357]  By the time I woke up and
[00:09:33.812 --> 00:09:35.614]  Hung out with the kids and did some business.
[00:09:36.535 --> 00:09:38.436]  I looked up and I said, I gotta do my daily run.
[00:09:38.497 --> 00:09:42.140]  I gotta go work tonight, even after the show, so I'm gonna have time to jog.
[00:09:42.160 --> 00:09:43.621]  I better go do it right now.
[00:09:43.762 --> 00:09:44.802]  Big mistake.
[00:09:45.683 --> 00:09:54.492]  I got about a mile on this stuff, and let me tell ya, so I feel a little bit of sun-kissed, as they say, so look out today.
[00:09:55.072 --> 00:09:55.693]  But I am
[00:09:56.647 --> 00:10:09.230]  Dispensing with the pleasantries, ladies and gentlemen, to get into the very serious, grave news and information we're going to be covering throughout the next, well now, hour and 52 minutes today.
[00:10:09.630 --> 00:10:11.070]  First off, take a lot of calls.
[00:10:11.110 --> 00:10:12.050]  The toll-free number is 877-590-5525.
[00:10:12.070 --> 00:10:12.110]  877-590-5525.
[00:10:12.130 --> 00:10:16.371]  Or locally in Central Texas, if you're listening to us in Central Texas, 836-0590.
[00:10:16.391 --> 00:10:16.471]  Okay.
[00:10:26.249 --> 00:10:27.070]  Here's what's happening.
[00:10:30.513 --> 00:10:45.086]  Foreign offshore corporations that are bigger than most governments independently, but together they're bigger than any one government combined, of the 100 biggest economies, 50 plus are now corporations, not governments.
[00:10:46.167 --> 00:10:46.868]  They have teamed up
[00:10:47.558 --> 00:11:14.965]  lobbied governments worldwide to create international law that gives them unlimited power and the people absolutely no rights and they're in the final phase right now of bankrupting the planet according to their own IMF World Bank documents by design so that everyone will be bankrupt and owe their allegiance to the new bank of the world whose fiat currency and credit is protected and backed up by the US military, British military, European military, NATO.
[00:11:16.235 --> 00:11:16.675]  And that's it.
[00:11:16.755 --> 00:11:17.516]  Very, very simple.
[00:11:18.036 --> 00:11:22.459]  They are now making their move, completely breaking the back of the U.S.
[00:11:22.519 --> 00:11:22.999]  Republic.
[00:11:24.340 --> 00:11:27.342]  The fall of the Republic is now happening.
[00:11:27.382 --> 00:11:28.703]  The death of the Republic.
[00:11:28.743 --> 00:11:29.684]  Republic's end.
[00:11:29.724 --> 00:11:30.805]  Republic's fall.
[00:11:31.325 --> 00:11:33.506]  The gallows for the United States is here.
[00:11:34.287 --> 00:11:38.930]  In fact, I can officially say that if they pass all the bills they've got introduced,
[00:11:39.949 --> 00:11:41.531]  And then are able to implement them.
[00:11:41.951 --> 00:11:54.044]  Officially, the Republic will be 100% dead and we will be an official dictatorship of the bureaucracy and then the private corporations that own and control it.
[00:11:55.074 --> 00:12:00.357]  There is a total and complete carbon credit, carbon tax takeover happening.
[00:12:00.377 --> 00:12:01.538]  We'll break that down coming up.
[00:12:01.978 --> 00:12:08.682]  There is a complete, absolute banking dictatorship over it all, openly being announced, about to be passed in Congress.
[00:12:08.942 --> 00:12:13.244]  There is a complete, total takeover of every square inch of the United States.
[00:12:13.304 --> 00:12:16.686]  Same laws have already been passed in the rest of the world, because the bankers run everything.
[00:12:17.746 --> 00:12:23.868]  Where all land is owned by the federal government and thus given to private offshore corporate interest for collateral on the debt.
[00:12:24.468 --> 00:12:28.089]  Any below ground water, all land has below ground.
[00:12:28.149 --> 00:12:31.830]  Feds can take your land, come on it without warrants, tax you, fine you, fee you.
[00:12:32.090 --> 00:12:39.652]  They've stolen most people's ranches and farms outside Austin in the mid-90s under SOS and then they give it to themselves and it's a crime syndicate.
[00:12:39.912 --> 00:12:42.013]  It's this on a national setting.
[00:12:43.849 --> 00:12:47.292]  So water takeover is happening right now with the Clean Water Restoration Act.
[00:12:48.032 --> 00:12:53.176]  Openly mainstream news is announcing just absolute total federalism, every square inch everywhere, just hellish.
[00:12:54.637 --> 00:13:10.508]  Police state takeover is happening with expanded Patriot Acts, body scanners at all the airports scanning your naked body, TSA checkpoints popping up at train stations, bus stations, highways, total control, warrantless wiretapping everywhere, openly federalizing all the state police, mainstream news.
[00:13:11.258 --> 00:13:15.224]  Gun-grabbing, more than 15 bills introduced to completely ban all guns.
[00:13:15.645 --> 00:13:17.888]  It allows the Attorney General to ban all guns at will.
[00:13:18.248 --> 00:13:19.410]  It's just dictatorial power.
[00:13:19.430 --> 00:13:20.392]  That's what all these bills do.
[00:13:20.412 --> 00:13:22.595]  The water bill, the banking bill, the carbon bill.
[00:13:22.615 --> 00:13:25.078]  It just says our bureaucracies can do whatever they want.
[00:13:25.559 --> 00:13:26.120]  Blank check.
[00:13:26.733 --> 00:13:30.535]  See, they've decided to just violate the whole Bill of Rights and Constitution.
[00:13:30.796 --> 00:13:34.278]  You put up with warrantless wiretapping, and so now you put up with torture.
[00:13:34.598 --> 00:13:35.618]  That was the trial balloon.
[00:13:36.759 --> 00:13:39.061]  And so they said, look, these idiots will buy anything we do.
[00:13:39.381 --> 00:13:41.622]  We can torture kids in front of their parents and they say it's good.
[00:13:41.662 --> 00:13:42.483]  They like Jack Bauer.
[00:13:42.683 --> 00:13:44.544]  And they said, alright, drop the hammer on them.
[00:13:44.824 --> 00:13:45.725]  Take everything they got.
[00:13:45.805 --> 00:13:46.625]  Blow the country out.
[00:13:46.865 --> 00:13:49.667]  And they said, zeig heil and launch the operation.
[00:13:49.687 --> 00:13:54.550]  You're getting conquered militarily and economically in a blitzkrieg of destruction right now.
[00:13:56.227 --> 00:14:01.992]  The next three months is the most important phase in this country's entire history since independence was won.
[00:14:02.412 --> 00:14:02.853]  233 years ago.
[00:14:04.074 --> 00:14:05.915]  So the gun grab takeover is happening now.
[00:14:06.376 --> 00:14:12.541]  The total complete open border takeover is happening right now.
[00:14:12.641 --> 00:14:14.863]  Complete absolute total amnesty has been introduced.
[00:14:16.953 --> 00:14:23.180]  The health care total complete takeover with the government can have eugenics to control everything you do, all the treatment you get.
[00:14:24.221 --> 00:14:27.744]  Dashiell wrote in his book and the bills say they're going to ration care.
[00:14:28.045 --> 00:14:34.011]  They said the British model where you wait 18 months for a brain tumor to be removed and it's a fatal in almost every case.
[00:14:34.071 --> 00:14:38.455]  I've got Tony Blair on video in the House of Commons saying yes, no brain tumor surgery for you.
[00:14:38.756 --> 00:14:39.817]  So total state control.
[00:14:42.378 --> 00:14:44.502]  We're going to break down the complete takeover.
[00:14:44.582 --> 00:14:45.804]  This is your heads up.
[00:14:45.884 --> 00:14:48.669]  This is the alarm being given.
[00:14:49.310 --> 00:14:54.099]  This is raising the alarm that we are being completely taken over.
[00:14:54.159 --> 00:14:54.780]  And as you know,
[00:14:55.416 --> 00:14:58.898]  People kept saying, Alex, they're not going to pass the global warming takeover bill.
[00:14:59.159 --> 00:15:00.620]  They're not going to pass the carbon tax.
[00:15:01.240 --> 00:15:07.704]  I had idiots, when I made Endgame two and a half years ago, emailing me and calling me and saying there's no plan for a carbon tax.
[00:15:07.944 --> 00:15:09.265]  Is there a carbon tax now?
[00:15:09.285 --> 00:15:10.546]  After you saw it pass?
[00:15:10.746 --> 00:15:13.128]  You people need to stop living in denial!
[00:15:13.148 --> 00:15:23.475]  You know, I was watching this morning a little bit of Downfall, which is from the diary of Hitler's secretary.
[00:15:24.665 --> 00:15:25.966]  Very accurate film.
[00:15:26.206 --> 00:15:26.787]  It's in German.
[00:15:28.749 --> 00:15:42.560]  And the denial in his bunker, even as the Russians were 200 yards away, pounding it with giant artillery, Eva Braun, his wife, was stumbling around saying that they were going to defeat the Russians in the U.S.
[00:15:44.222 --> 00:15:45.563]  That's what the American people are like.
[00:15:46.571 --> 00:15:48.832]  Just you won't admit you're losing everything.
[00:15:48.872 --> 00:15:50.153]  You won't admit you're being raped.
[00:15:50.173 --> 00:15:52.634]  You won't get angry because you don't believe in yourselves.
[00:15:52.654 --> 00:15:57.096]  Well, you better believe in yourselves because we're under assault and we don't deserve to be slaves.
[00:15:57.136 --> 00:15:57.916]  We're not Hitler.
[00:15:58.816 --> 00:16:03.458]  But it's the same kind of moronic denial or it's not your place to stand up.
[00:16:03.518 --> 00:16:05.139]  It's not your place to speak out.
[00:16:06.753 --> 00:16:08.894]  Yes, it is your place to speak out, and you better.
[00:16:09.014 --> 00:16:15.438]  And listen, if you want to hear about Michael Jackson, the scumbag, I'll talk about him briefly when we get back, and then I'm done talking about it.
[00:16:15.719 --> 00:16:29.867]  The only reason I'm going to talk about that freak, that ne'er-do-well drug addict, is because it's an example of modern mind control, and I'll tell you what I think of Michael Jackson when we get back, then I'll get into real news, not the distractions.
[00:16:29.908 --> 00:16:30.368]  Stay with us!
[00:16:33.899 --> 00:16:36.941]  Would you give someone $100 for a $10 bill?
[00:16:37.301 --> 00:16:41.544]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:16:41.744 --> 00:16:43.946]  Hello, my name is Dr. David Friedman.
[00:16:44.266 --> 00:16:50.230]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:16:50.530 --> 00:16:56.614]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:16:58.095 --> 00:17:00.116]  Start absorbing the nutrients you swallow.
[00:17:00.357 --> 00:17:07.461]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, seed vegetables and antioxidants.
[00:17:07.721 --> 00:17:09.623]  You know, you work hard for your money.
[00:17:09.883 --> 00:17:12.124]  Isn't it time to start getting what you pay for?
[00:17:12.464 --> 00:17:13.105]  Order today!
[00:17:13.285 --> 00:17:13.505]  1-800-210-1922.
[00:17:13.525 --> 00:17:20.110]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:17:20.330 --> 00:17:26.774]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:17:26.794 --> 00:17:26.854]  1-800-210-1922.
[00:17:26.874 --> 00:17:27.795]  Or go to orderchoose.com.
[00:17:34.462 --> 00:17:36.443]  Hi, I'm John Swenson at Midas Resources.
[00:17:36.463 --> 00:17:39.884]  800-686-2237, extension 128.
[00:17:40.604 --> 00:17:42.245]  And let's take in a brief mind movie.
[00:17:42.725 --> 00:17:48.207]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[00:17:48.407 --> 00:17:54.009]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[00:17:54.209 --> 00:17:55.910]  The stimulus package is working.
[00:17:56.210 --> 00:17:57.770]  A bailout is coming your way.
[00:17:58.110 --> 00:18:02.012]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[00:18:02.292 --> 00:18:02.612]  Pardon me?
[00:18:03.436 --> 00:18:04.417]  Back to the real world.
[00:18:04.677 --> 00:18:08.640]  We know that we can rely on no one but ourselves to generate financial security.
[00:18:08.940 --> 00:18:10.962]  Protecting your assets is solely up to you.
[00:18:11.503 --> 00:18:12.984]  No one else is coming to the rescue.
[00:18:13.224 --> 00:18:23.973]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[00:18:23.993 --> 00:18:31.679]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[00:18:34.622 --> 00:18:40.085]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:18:40.126 --> 00:18:40.646]  and the world.
[00:18:40.926 --> 00:18:44.368]  And for the first time in their lives, they are feeling the need for preparedness.
[00:18:44.768 --> 00:18:51.012]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:18:51.272 --> 00:18:53.074]  Ready Reserve is the manufacturer.
[00:18:53.314 --> 00:18:58.537]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[00:18:58.737 --> 00:19:01.300]  With double enameled cans and nitrogen packaging.
[00:19:01.540 --> 00:19:05.965]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:19:06.225 --> 00:19:11.771]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:19:12.051 --> 00:19:13.953]  Many companies do not even offer a catalog.
[00:19:14.213 --> 00:19:17.594]  We will be more than happy to send a catalog to you, free of charge.
[00:19:17.894 --> 00:19:18.195]  Dial 1-800-453-2202.
[00:19:18.215 --> 00:19:18.295]  1-800-453-2202.
[00:19:18.315 --> 00:19:19.835]  Or visit our website at readyreservefoods.com.
[00:19:19.855 --> 00:19:21.976]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:19:21.996 --> 00:19:22.356]  Call us at 1-800-453-2202.
[00:19:33.735 --> 00:19:36.376]  Most Americans know the significance of July 4th, 1776.
[00:19:37.917 --> 00:19:45.701]  However, few know the importance of September 17th, 1787, the day the Constitution was written and adopted by our founders.
[00:19:46.041 --> 00:19:52.504]  Unfortunately, over 200 years later, this sacred document is under attack, along with our beloved Republic.
[00:19:52.704 --> 00:19:59.347]  Throughout the span of history, brave men and women have rallied behind banners which have served as symbols of liberty against the forces of tyranny.
[00:19:59.827 --> 00:20:10.731]  Today, we have the Constitution Pride Flag to show our support for the Constitution, the Bill of Rights, freedom, liberty, and justice for we the people of the United States.
[00:20:11.191 --> 00:20:15.232]  Now available at www.1787flags.com.
[00:20:15.452 --> 00:20:21.354]  Get your very own Constitution Pride Flag today and receive a free pocket constitution with your order.
[00:20:21.995 --> 00:20:28.477]  www.1787flags.com, the official website of the Constitution Pride Flag.
[00:20:28.717 --> 00:20:31.880]  That's www.1787flags.com.
[00:20:31.960 --> 00:20:37.166]  You're listening to GCN.
[00:20:38.827 --> 00:20:41.310]  Genesis Communication Radio Network.
[00:20:45.474 --> 00:20:48.477]  Yeah, that's where old Michael Jackson is right now.
[00:21:00.271 --> 00:21:00.832]  Going down!
[00:21:01.072 --> 00:21:03.433]  Party time!
[00:21:03.594 --> 00:21:06.256]  Shooting up those opiates!
[00:21:28.720 --> 00:21:30.340]  All right, that's enough for Mr. Jackson.
[00:21:32.541 --> 00:21:34.703]  Look, I don't usually talk about celebrity deaths.
[00:21:34.763 --> 00:21:36.564]  I'm real sad Ferris Fawcett died.
[00:21:36.604 --> 00:21:37.104]  I liked her.
[00:21:37.144 --> 00:21:38.204]  I liked Ed McMahon.
[00:21:38.244 --> 00:21:39.085]  Classy guy.
[00:21:41.106 --> 00:21:43.107]  Bob Chetton was telling me off here how he knew Ed McMahon.
[00:21:43.147 --> 00:21:44.087]  That was a pretty interesting story.
[00:21:44.127 --> 00:21:47.829]  But the point is, we've got to tell him to tell that story next time he's on air with us.
[00:21:48.730 --> 00:21:51.131]  The point is, I'm not going to spend any more time on this than need be.
[00:21:51.527 --> 00:22:08.295]  I'm gonna move into the serious issues in just a moment, but this is the same Michael Jackson everybody's defending and they have him on the cover of every newspaper and magazine saying the king of rock and roll, the king of pop, oh we love you and people crying and candlelight vigils.
[00:22:08.315 --> 00:22:09.256]  This is disgusting.
[00:22:10.556 --> 00:22:15.739]  This is a freak who would hang babies off of buildings threatening to basically drop them.
[00:22:16.829 --> 00:22:28.025]  This is a guy that had a Neverland Ranch to lure kids and then had high security motion sensors and locks on his bedroom door and he would give the children the Jesus juice.
[00:22:28.706 --> 00:22:31.811]  All those recordings of him getting them all drunk and making them pass out.
[00:22:32.856 --> 00:22:47.759]  Now, ladies and gentlemen, he may have been able to pay off people $10 million here, $5 million there, to shut up, but I am tired of Michael Jackson assaulting my psyche and having to look at the bat creature, the vampire, on television.
[00:22:48.159 --> 00:22:49.199]  I am sick of it!
[00:22:52.259 --> 00:23:02.161]  And I'm even more sick of a bunch of emails I got, people angry at me, that I was talking about how the guy was a piece of garbage, and how I don't want to hear about him.
[00:23:04.275 --> 00:23:05.776]  What is wrong with you people?
[00:23:05.796 --> 00:23:08.918]  Do you forget how disgraced this freakazoid is?
[00:23:10.459 --> 00:23:11.960]  And now they're comparing him to Elvis?
[00:23:13.321 --> 00:23:16.283]  No comparison, though both of them did die after taking injections.
[00:23:17.303 --> 00:23:21.066]  He was taking a synthetic form of opium, of morphine.
[00:23:23.187 --> 00:23:27.050]  And now they're saying newspapers are reporting a bunch of other drugs in his system.
[00:23:27.110 --> 00:23:31.993]  I mean, obviously, you could look at the guy, so stoned out of his mind most of the time he had to be in a wheelchair.
[00:23:33.490 --> 00:23:35.192]  I mean, just a complete zombie.
[00:23:35.292 --> 00:23:37.954]  And look, I actually at a certain level feel sorry for Michael Jackson.
[00:23:40.236 --> 00:23:44.499]  Because you'd see photos of him with his nose kind of flapping in the wind, literally.
[00:23:45.660 --> 00:23:54.628]  And having to have like little stints on it just to hold it on because he didn't like his natural good looks.
[00:23:54.708 --> 00:23:56.650]  He didn't like his black skin.
[00:23:57.310 --> 00:24:01.654]  He didn't like who he was, so he took all these skin bleachers and all these surgeries.
[00:24:04.355 --> 00:24:14.420]  And it's what our culture is sick with is Madison Avenue makes you feel inadequate so they can sell you all their products, sell you their political ideologies, sell you their ideas.
[00:24:17.401 --> 00:24:28.166]  And so Michael Jackson is another example of what fame and fortune does to most people when you're buying in to bling and money just for the sake of it.
[00:24:30.927 --> 00:24:33.088]  I know a lot of high-powered Hollywood people
[00:24:34.500 --> 00:24:43.465]  And they are happy and empowered and well-centered and hate fame and don't like the money and just use their money and fortune and fame to be left alone.
[00:24:44.765 --> 00:24:51.289]  But they talk about those in Hollywood that do like the fame and fortune and how they are always destroyed.
[00:24:52.449 --> 00:24:53.470]  It is not fun.
