[00:00:52.809 --> 00:00:53.669]  Look at this article.
[00:04:23.208 --> 00:04:24.189]  Yeah, I'll keep the money.
[00:04:24.849 --> 00:04:25.069]  Yeah.
[00:04:25.916 --> 00:04:27.258]  We don't have to find drugs on you.
[00:04:27.799 --> 00:04:32.087]  I mean, this is the craziness that's going on.
[00:04:33.650 --> 00:04:34.972]  So let's go ahead with audio.
[00:04:35.012 --> 00:04:38.518]  Show them the video of them beating someone in a wheelchair.
[00:04:39.787 --> 00:04:40.267]  One of many!
[00:04:40.648 --> 00:04:45.871]  They sit in the one where they tell them to get up, and the person's quadriplegic and can't, so they throw them out, break their bones, and then laugh at them.
[00:04:46.091 --> 00:04:46.411]  Here it is.
[00:05:10.548 --> 00:05:20.434]  No one deserves what took place on that video unless there was some sort of force or harm that was threatened.
[00:05:20.514 --> 00:05:22.635]  Okay, that's a no.
[00:05:22.755 --> 00:05:32.241]  Now, according to that, in fact, YouTube, another one, cripple thrown out of wheelchair, I think should bring it up.
[00:05:34.033 --> 00:05:49.945]  Jail guard throws person on a wheelchair, and this person's paralyzed chest down, and they say, get up, and they say, I can't, I'm paralyzed, and they dump them out, breaking the person's legs, because when you've been paralyzed a long time, your legs turn into like chalk, your muscles turn into like jello, and then it's just funny.
[00:05:49.965 --> 00:05:55.549]  You know, the person in their urine and feces on the ground, and they kind of have a devilish celebration.
[00:05:56.539 --> 00:06:03.641]  The police, by the way, defended that case and said, yeah, no, person didn't get up, doesn't matter if you're paralyzed, you don't follow an order, we break your legs.
[00:06:04.021 --> 00:06:05.062]  See, it's a mental illness.
[00:06:05.542 --> 00:06:08.323]  The code says he didn't follow an order, but he couldn't.
[00:06:08.983 --> 00:06:09.783]  Doesn't matter.
[00:06:11.183 --> 00:06:12.164]  Your legs get broken.
[00:06:14.084 --> 00:06:18.806]  Now, the reason I wanted to go over that is this is the mental illness that we're talking about.
[00:06:18.906 --> 00:06:21.246]  I mean, this has reached craziness potential.
[00:06:22.627 --> 00:06:23.247]  Fox News.
[00:06:23.547 --> 00:06:25.908]  Trooper claims dashboard cam upholds his actions.
[00:06:27.227 --> 00:06:33.089]  For more than three weeks, an infamous cell phone video showing an Oklahoma highway patrolman and a paramedic getting into a scuffle.
[00:06:33.770 --> 00:06:34.970]  The black guy doesn't touch him.
[00:06:34.990 --> 00:06:36.030]  The paramedic doesn't touch him.
[00:06:37.131 --> 00:06:38.651]  They're grabbing, pushing, hitting on him.
[00:06:38.872 --> 00:06:41.232]  He pulls an arm away, they call that attacking him.
[00:06:41.753 --> 00:06:46.134]  In fact, they now charge you if you raise your hand when you're being beaten, that's assault on a god.
[00:06:46.154 --> 00:06:47.735]  I mean, this is god-level.
[00:06:47.755 --> 00:06:50.676]  He'll be wearing gold crowns and we'll have to bow when we see them.
[00:06:51.156 --> 00:06:52.777]  I mean, it's really mentally ill.
[00:06:54.167 --> 00:06:57.870]  As they take the mental patients that have been in Iraq over there doing all that evil, and they take them here.
[00:06:58.870 --> 00:07:00.051]  This is called tyranny, folks.
[00:07:01.952 --> 00:07:07.956]  Now its counterpart video from the troopers' dashboard cam has been released, and some are saying it vindicates a decorated war hero.
[00:07:08.817 --> 00:07:10.918]  So see, this is ultimate spin.
[00:07:11.299 --> 00:07:16.142]  The video clearly shows the cop out of control, but they've got such arrogance, they'll say it defends him.
[00:07:16.382 --> 00:07:20.505]  We're going to show you that video, unedited, other than some cuss words cut out.
[00:07:22.967 --> 00:07:28.310]  That's coming up, but don't go to it yet, because I want to go through this whole video and leave his audio up while I'm talking.
[00:07:28.330 --> 00:07:30.391]  I want to pause it as we go through it and break down.
[00:07:31.191 --> 00:07:39.296]  I'm going to read this account of them telling people what it says and only showing short clips on Fox, and then I'm going to show you the unedited video and you decide what's the truth.
[00:07:41.477 --> 00:07:41.737]  Okay.
[00:07:44.266 --> 00:07:45.967]  He is not this org.
[00:07:46.527 --> 00:07:47.367]  Yes, that means a goblin.
[00:07:47.667 --> 00:07:51.289]  This constitutional depriver of people's rights.
[00:07:51.309 --> 00:07:52.049]  He's a good man.
[00:07:52.509 --> 00:07:56.731]  This is a man that has been in law enforcement, no longer peace officer, for 15 years.
[00:07:57.551 --> 00:08:02.293]  He just got back from Iraq, got back in April this year, after a tour of duty for the U.S.
[00:08:02.333 --> 00:08:02.613]  Navy.
[00:08:02.893 --> 00:08:08.815]  Said Attorney Mark James, who came to the defense of his client, Trooper Daniel Martin, at a press conference Monday afternoon.
[00:08:10.526 --> 00:08:18.570]  James claims the dashboard camera upholds his client's story, showing that he acted appropriately in subduing paramedic Maurice White.
[00:08:18.690 --> 00:08:19.371]  Subduing!
[00:08:19.711 --> 00:08:26.094]  White's going, sir, let us just get to the hospital and you can arrest us or ticket us.
[00:08:26.114 --> 00:08:28.575]  This woman is having a heart attack right here.
[00:08:29.276 --> 00:08:31.857]  And he said, wasn't you piece of trash bleeping?
[00:08:32.217 --> 00:08:33.518]  I said get in the car!
[00:08:33.538 --> 00:08:35.579]  And he's going, you can arrest us there.
[00:08:37.125 --> 00:08:40.067]  But this isn't, and he starts saying, I'm going to arrest you now!
[00:08:40.107 --> 00:08:42.169]  And goes into whole freak out and starts choking people.
[00:08:43.770 --> 00:08:46.612]  But the officer subdued the deadly paramedics.
[00:08:47.332 --> 00:08:52.736]  Oh, he's doing something, he was fighting Iraqis and now he's fighting deadly ambulance people.
[00:08:53.437 --> 00:08:56.119]  It was scary, that ambulance, it was dangerous.
[00:08:56.994 --> 00:08:57.896]  That's what they go on to say.
[00:08:57.916 --> 00:09:00.200]  They say, this ambulance is dangerous people.
[00:09:00.822 --> 00:09:02.004]  Dangerous to the public.
[00:09:02.585 --> 00:09:03.326]  Get ready, actually.
[00:09:03.607 --> 00:09:05.831]  I mean, they're like Al-Qaeda or something.
[00:09:06.573 --> 00:09:08.436]  There's nothing scarier than an ambulance.
[00:09:10.131 --> 00:09:11.733]  Turns out he harasses other ambulances.
[00:09:11.773 --> 00:09:17.940]  He's got like this dominant, crazy power trip where he's God and, that ambulance didn't yield, get out of the car, fool!
[00:09:18.180 --> 00:09:19.662]  With a woman having a baby last time.
[00:09:19.962 --> 00:09:22.405]  They're like, sir, can she have the baby?
[00:09:22.445 --> 00:09:24.928]  No, we need to have the... No, she's gonna have the baby right here!
[00:09:24.988 --> 00:09:25.489]  Shut up!
[00:09:25.789 --> 00:09:26.510]  I run things!
[00:09:26.610 --> 00:09:27.411]  I sit and wait!
[00:09:28.011 --> 00:09:29.173]  Oh God, I got a lot of power.
[00:09:29.213 --> 00:09:30.114]  It's all about his power.
[00:09:30.314 --> 00:09:30.975]  It's a power trip.
[00:09:34.454 --> 00:09:40.636]  James claims the dashboard camera upholds his client's story, showing that he acted appropriately in subduing paramedic Maurice White.
[00:09:41.256 --> 00:09:47.898]  He said that White came out of the ambulance trying to control the situation and was told repeatedly to return to the back of the rig.
[00:09:48.138 --> 00:09:50.378]  See, you don't control, we're in control!
[00:09:50.398 --> 00:09:54.119]  It's all about a threat continuum and how they've got to maintain control.
[00:09:54.199 --> 00:09:56.240]  It's like this mentally ill cult.
[00:09:57.460 --> 00:09:58.741]  Long way from Matt Dillon.
[00:10:00.021 --> 00:10:01.681]  Matt Dillon out pulling over ambulances.
[00:10:02.162 --> 00:10:03.862]  This is mental illness.
[00:10:07.472 --> 00:10:13.216]  He was asked before there was a curse word, that's defending that, before there was yelling to get back in the ambulance three times.
[00:10:13.676 --> 00:10:15.417]  He did not comply with a lawful order.
[00:10:15.937 --> 00:10:19.539]  James said, no, you were breaking the law, pulling that ambulance over and driving recklessly.
[00:10:20.060 --> 00:10:20.920]  You need to be charged.
[00:10:21.601 --> 00:10:32.227]  Mr. White committed, by the way, there's a lot of state laws, I don't know about Oklahoma, but a lot of states have it, there's cops killing people, that if you weren't going to an emergency call, you shouldn't have been driving 100 miles an hour, and it's clear you're doing that.
[00:10:32.907 --> 00:10:34.969]  And then running up in the neighborhood, he's going 80.
[00:10:37.093 --> 00:10:41.191]  But if that cop had killed a little kid, there'd have been, he was still chasing a deadly person!
[00:10:41.231 --> 00:10:42.095]  Wait, I'm getting to that part.
[00:10:43.052 --> 00:10:49.317]  Mr. White committed obstruction of justice, and he was told in that video, sir, you're going to be arrested for obstruction.
[00:10:49.637 --> 00:10:50.838]  And he was told that twice.
[00:10:50.858 --> 00:10:52.800]  And the guy said, arrest me at the hospital.
[00:10:53.080 --> 00:10:54.922]  Let me get the lady who's having a heart attack there.
[00:10:55.602 --> 00:10:58.224]  He does not comply at that point in time.
[00:10:58.264 --> 00:10:59.706]  Yeah, doesn't comply in five seconds.
[00:10:59.886 --> 00:11:01.347]  Get in the freaking car!
[00:11:01.367 --> 00:11:02.408]  Get in the bleeping car!
[00:11:02.428 --> 00:11:03.589]  Get in the car!
[00:11:03.609 --> 00:11:06.531]  You know what I mean?
[00:11:06.551 --> 00:11:07.812]  Just totally mentally ill.
[00:11:07.852 --> 00:11:10.775]  Shouldn't be cleaning toilets, much less running around with a badge and gun.
[00:11:12.898 --> 00:11:16.439]  He is not compliant at that point in time when the trooper tries to make an arrest.
[00:11:18.159 --> 00:11:24.740]  White claimed the trooper was out of control as simply unfounded, and reading White's contradictory statement proves it, James said.
[00:11:24.980 --> 00:11:26.621]  The guy's completely out of control, screaming.
[00:11:26.881 --> 00:11:33.562]  Then he comes around the side, gets the EMT back out, and starts choking him.
[00:11:35.162 --> 00:11:36.302]  And the other cop's choking him.
[00:11:36.882 --> 00:11:37.903]  That's out of control.
[00:11:37.923 --> 00:11:39.683]  We're going to show both these videos coming up.
[00:11:42.813 --> 00:11:44.774]  The officers, he got out of the vehicles in a state of rage.
[00:11:44.794 --> 00:11:47.796]  He approached my partner and said, get your ass back in there.
[00:11:47.816 --> 00:11:48.936]  Well, that's in a rage.
[00:11:48.996 --> 00:11:50.597]  I'm giving you a ticket for failure to yield.
[00:11:50.897 --> 00:11:53.479]  What do you, what do you mean flipping me off, which they said they didn't do?
[00:11:55.043 --> 00:11:56.864]  I challenge you to go out there and find that.
[00:11:56.884 --> 00:11:57.985]  It didn't happen, James said.
[00:11:58.445 --> 00:12:07.650]  Since the ambulance was not running its lights or siren, James said that Martin had every right to pull over the Creek Nation EMS ambulance on May 24th.
[00:12:07.770 --> 00:12:13.033]  Oklahoma Highway Patrolman, under all circumstances, has the right, I guess they're God, to make a traffic stop.
[00:12:13.293 --> 00:12:18.876]  He has the right to make a traffic stop on an ambulance that is not running code before it has nothing more than any other vehicle, he said.
[00:12:20.177 --> 00:12:24.299]  Martin's attorney also said, because most ambulances only turn their lights on when they need to go through traffic.
[00:12:25.339 --> 00:12:33.345]  Martin's attorney also said if someone thought there was a trooper acted inappropriately, there are a number of things that run through the officer's mind.
[00:12:33.385 --> 00:12:34.446]  Yeah, yeah, yeah, yeah.
[00:12:34.466 --> 00:12:35.547]  Go talk to the state police.
[00:12:35.587 --> 00:12:42.512]  Go talk to the... And he goes on to say, one thing that police officers are taught is that a person who will fight a police officer
[00:12:44.002 --> 00:12:48.465]  Who will fight, I guess talking to him was fighting, is an extreme danger to the public.
[00:12:48.505 --> 00:12:56.310]  And they go on to say how dangerous the guy was for... Now we're going to... I mean, the EMT gets out and is like, what is going on here?
[00:12:56.330 --> 00:12:57.691]  We got a person in the car.
[00:12:58.091 --> 00:13:00.032]  He's like, get in the car, I said, boy!
[00:13:00.913 --> 00:13:03.034]  And the guy's like, don't talk to us like that.
[00:13:03.654 --> 00:13:04.595]  What's wrong with you?
[00:13:07.317 --> 00:13:08.497]  Somebody stand it up to me.
[00:13:08.557 --> 00:13:09.438]  I'm going crazy.
[00:13:12.369 --> 00:13:13.211]  Totally insane.
[00:13:13.872 --> 00:13:17.157]  And the state police and the governor, everybody, are saying, hey, this is good.
[00:13:17.638 --> 00:13:19.501]  And that's why you're discredited and disliked.
[00:13:19.902 --> 00:13:24.009]  And you make all the other good state police officers who aren't lunatics on power trips look bad.
[00:13:24.735 --> 00:13:26.396]  And it turns out this guy's done this repeatedly.
[00:13:26.836 --> 00:13:30.878]  So, I guess in Iraq, the troops do just sit off the road shooting families up in their cars.
[00:13:30.918 --> 00:13:32.058]  It's on YouTube.
[00:13:32.078 --> 00:13:33.599]  We could show you just killing families for fun.
[00:13:33.619 --> 00:13:35.239]  I mean, I don't... Look, we're humans!
[00:13:35.280 --> 00:13:37.200]  We don't... You're not God!
[00:13:37.641 --> 00:13:39.241]  You didn't rise after three days!
[00:13:39.301 --> 00:13:39.901]  I mean, I got news!
[00:13:39.921 --> 00:13:40.742]  This is America!
[00:13:41.082 --> 00:13:42.142]  Land of the free, home of the brave.
[00:13:42.182 --> 00:13:43.543]  Now, land of the cowards, home of the slaves.
[00:13:44.003 --> 00:13:46.204]  Now, let's go ahead and go to the DASH video.
[00:13:46.804 --> 00:13:48.045]  Let's go ahead and start it.
[00:13:48.145 --> 00:13:48.545]  Here it is.
[00:13:49.306 --> 00:13:50.226]  He's driving down the road.
[00:13:50.246 --> 00:13:52.567]  Go ahead and crank the audio up behind me.
[00:13:55.435 --> 00:14:01.599]  So he's driving along at what appears to be about 85 miles an hour.
[00:14:02.940 --> 00:14:03.240]  85 to 90.
[00:14:03.300 --> 00:14:06.002]  Now, here he comes up on an ambulance.
[00:14:07.483 --> 00:14:14.868]  It's at about 600 yards, 300 yards, 200 yards, 100 yards.
[00:14:14.928 --> 00:14:16.209]  I mean, you know, he slows down to about 80.
[00:14:16.249 --> 00:14:18.430]  Now he's about 60.
[00:14:18.751 --> 00:14:20.112]  There's a car.
[00:14:20.132 --> 00:14:20.732]  Stop right there.
[00:14:20.792 --> 00:14:21.192]  Back it up.
[00:14:22.950 --> 00:14:30.973]  The police car has now, at least 90 miles an hour, closed on the back of this ambulance on a two-road, windy, hilly road.
[00:14:31.894 --> 00:14:33.434]  They should be going about 45 on.
[00:14:33.715 --> 00:14:36.836]  He closes in seconds on the ambulance.
[00:14:37.196 --> 00:14:48.801]  The ambulance looks like it's about to get over, but then swerves out, because as they go over the hill, there's a car in the two-foot shoulder, hanging out in the one-lane road, one direction, two lanes total.
[00:14:49.730 --> 00:14:52.431]  So for those listening on the radio, go to Infowars.com and watch this video.
[00:14:53.071 --> 00:14:56.773]  This is the life-and-death situation that we are witnessing right now.
[00:14:57.133 --> 00:14:59.274]  The ambulance is going the speed limit.
[00:14:59.574 --> 00:15:03.756]  Here comes a bad-out-of-hell cop car on a windy two-lane road.
[00:15:04.136 --> 00:15:07.897]  He's up on his butt, and he's got his lights on.
[00:15:08.037 --> 00:15:12.619]  There's no way, going up over the top of a hill, that the ambulance can go into incoming traffic.
[00:15:12.959 --> 00:15:17.301]  He's stuck between incoming traffic and a car broke down in the road.
[00:15:18.612 --> 00:15:19.673]  Well, the cop doesn't like that.
[00:15:19.713 --> 00:15:22.276]  That ambulance should have just slammed into the back of that car.
[00:15:22.796 --> 00:15:24.998]  The ribcages should have gone through the steering column.
[00:15:25.018 --> 00:15:28.562]  They should have died and then praised the cop as they died.
[00:15:28.862 --> 00:15:31.024]  And because they didn't do that, they're going to pay.
[00:15:31.365 --> 00:15:32.306]  Back it up and show them.
[00:15:32.326 --> 00:15:32.706]  Here he comes.
[00:15:32.746 --> 00:15:33.407]  Bad out of hell.
[00:15:33.607 --> 00:15:34.328]  Back it up even more.
[00:15:34.628 --> 00:15:35.789]  Back it up even more.
[00:15:36.130 --> 00:15:37.030]  Bad out of hell.
[00:15:38.237 --> 00:15:41.459]  Up on the back of this, and then look at that rotten shoulder right there.
[00:15:41.479 --> 00:15:42.680]  See how the shoulder's all rotten?
[00:15:42.860 --> 00:15:45.862]  It's only a two-foot shoulder, but it's rotten like it is in rural areas.
[00:15:46.203 --> 00:15:47.604]  Just rotten shoulder.
[00:15:48.044 --> 00:15:49.565]  Here comes Speed Racer.
[00:15:50.686 --> 00:15:51.346]  90 miles an hour.
[00:15:51.366 --> 00:15:52.547]  90 miles an hour.
[00:15:52.587 --> 00:15:52.867]  Closing.
[00:15:52.887 --> 00:15:53.308]  80 miles an hour.
[00:15:53.328 --> 00:15:53.848]  He slows to 70.
[00:16:04.178 --> 00:16:04.938]  Two-lane road.
[00:16:05.559 --> 00:16:08.480]  Ambulance has to go out in front of the God because of a car in the lane.
[00:16:08.500 --> 00:16:12.342]  The ambulance drivers should have killed themselves ramming into the car.
[00:16:13.082 --> 00:16:17.785]  He speeds around them up over the crest of a hill dangerously and accelerates.
[00:16:19.366 --> 00:16:20.806]  He's going 90 miles an hour.
[00:16:20.826 --> 00:16:23.208]  That looks about like a 95 right there.
[00:16:23.248 --> 00:16:24.408]  He slows down around a turn.
[00:16:25.148 --> 00:16:25.789]  80 miles an hour.
[00:16:29.161 --> 00:16:31.763]  He's going through now a residential area.
[00:16:32.183 --> 00:16:34.565]  Appears to be going about a hundred miles an hour right now.
[00:16:36.747 --> 00:16:38.548]  And he speeds into a gas station.
[00:16:39.028 --> 00:16:40.769]  They said they got a report of a stolen car.
[00:16:42.030 --> 00:16:44.872]  He's doing about a hundred right there.
[00:16:44.973 --> 00:16:45.853]  Through neighborhoods.
[00:16:47.294 --> 00:16:51.577]  And now he pulls in to the gas station.
[00:16:51.597 --> 00:16:53.198]  There's a whole bunch of police cars there.
[00:16:54.900 --> 00:16:56.181]  And now he decides to leave.
[00:16:57.475 --> 00:16:59.096]  Now he's going to go after the ambulance.
[00:16:59.116 --> 00:17:08.002]  Now he's going to speed through the neighborhood towards the hospital at speeds of 70 to 80 miles an hour in an area that guaranteed was no more than 20 mile an hour zone.
[00:17:09.023 --> 00:17:12.225]  Now here he goes into the 20 mile an hour zone recklessly.
[00:17:12.245 --> 00:17:16.348]  When we come back we'll play the confrontation and then the up-close video of them choking him.
[00:17:17.228 --> 00:17:18.469]  So that is coming up.
[00:17:19.430 --> 00:17:23.152]  Now you've already seen the reckless driving, the lunacy, almost driving the
[00:17:25.077 --> 00:17:26.978]  Ambulance into a stalled car.
[00:17:28.238 --> 00:17:32.039]  Risking the god's own life, but I guess gods can't die, so he's immortal.
[00:17:32.599 --> 00:17:34.140]  Risking Hercules, he's half god.
[00:17:34.840 --> 00:17:39.702]  Hercules, the war hero, risked his own life, goes out into the oncoming to go around.
[00:17:41.088 --> 00:17:42.889]  Lord knows he's bored all day out there in the country.
[00:17:43.350 --> 00:17:44.931]  Must be the first big call he's had in a month.
[00:17:45.631 --> 00:17:47.912]  He's got some Iraqis to fight, I mean American people.
[00:17:48.333 --> 00:17:51.675]  So he accelerates on down the road towards the ambulance.
[00:17:52.455 --> 00:17:54.736]  The ambulance thinks they woke up in the Twilight Zone.
[00:17:55.497 --> 00:17:56.558]  It is the Twilight Zone.
[00:17:56.618 --> 00:17:58.859]  Next stop, the Twilight Zone.
[00:18:00.549 --> 00:18:01.089]  You worry.
[00:18:01.230 --> 00:18:03.311]  If you don't, you don't understand the situation.
[00:18:03.591 --> 00:18:03.851]  Hi.
[00:18:04.131 --> 00:18:06.633]  Summer's coming, and now's the time to learn self-sufficiency.
[00:18:06.913 --> 00:18:11.156]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:18:11.456 --> 00:18:13.638]  Experience is the best teacher, but that means time.
[00:18:13.918 --> 00:18:16.980]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:18:17.280 --> 00:18:19.002]  Author Linda Runyon is that teacher.
[00:18:19.222 --> 00:18:21.743]  Her Wild Food Knowledge Package is the crash course.
[00:18:22.004 --> 00:18:25.426]  The DVD gives you a three-hour overview of her world directly from her.
[00:18:25.726 --> 00:18:29.769]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[00:18:30.109 --> 00:18:33.912]  And her wild cards are your portable summary and cheat sheet for your fieldwork.
[00:18:34.212 --> 00:18:40.216]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[00:18:40.556 --> 00:18:42.698]  Folks, I can vouch that Linda's the real deal.
[00:18:42.898 --> 00:18:44.579]  She's my mom, and I watched her do it.
[00:18:45.020 --> 00:18:49.222]  So go to ofthefield.com or call 888-51-EAT-FREE.
[00:18:49.683 --> 00:18:50.323]  Start now.
[00:18:50.583 --> 00:18:51.544]  Knowledge is power.
[00:18:52.305 --> 00:18:53.105]  Better take action.
[00:18:53.305 --> 00:18:54.266]  I think a storm's coming.
[00:19:01.184 --> 00:19:06.490]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:19:07.210 --> 00:19:12.536]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:19:13.097 --> 00:19:16.080]  The Obama deception completely destroys the myth
[00:19:16.360 --> 00:19:19.282]  That Obama is working for the best interest of the American people.
[00:19:19.602 --> 00:19:21.423]  Well, Obama's already fudging.
[00:19:21.564 --> 00:19:23.945]  He's fudged since day one in this election.
[00:19:24.025 --> 00:19:34.972]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:19:37.214 --> 00:19:38.495]  It's not about left or right.
[00:19:38.875 --> 00:19:40.276]  It's about a one-world government.
[00:19:40.736 --> 00:19:45.079]  This film documents who Obama works for, the lies he is told,
[00:19:45.726 --> 00:19:47.028]  And his real agenda.
[00:19:47.629 --> 00:19:55.422]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:19:55.903 --> 00:19:57.065]  The Obama Deception.
[00:19:57.486 --> 00:19:58.688]  The people strike back.
[00:20:00.285 --> 00:20:06.208]  How would you like to cook any meal using no electricity or gas and cook your meals off the grid?
[00:20:06.508 --> 00:20:08.930]  Well, now you can, thanks to the Survival Oven.
[00:20:09.150 --> 00:20:16.634]  The Survival Oven is the most amazing off-grid solar oven that can cook anything that a conventional oven can without the energy bills.
[00:20:16.894 --> 00:20:28.981]  By condensing sunlight, the Survival Oven can produce temps up to 350 degrees, cook delicious and nutritious meals, sterilize water, dehydrate food, and so much more, all at zero operating costs.
[00:20:29.241 --> 00:20:36.968]  The Survival Oven can be used year-round even in the coldest sub-zero temperatures and is a must for emergency preparedness and even everyday use.
[00:20:37.388 --> 00:20:41.111]  Visit survivaloven.com to get your very own Survival Oven.
[00:20:41.411 --> 00:20:47.076]  Order the Survival Oven now and we'll get you started with two cooking pots and a recipe booklet absolutely free.
[00:20:47.436 --> 00:20:51.704]  Add less than 10 pounds, you can take Survival Solar Oven with you anywhere.
[00:20:51.904 --> 00:20:53.006]  Call 877-642-1553 or go to survivaloven.com.
[00:20:53.207 --> 00:20:53.968]  That's survivaloven.com.
[00:21:21.212 --> 00:21:26.316]  I've got three different sources, one of them a trusted source in Washington, D.C.
[00:21:28.918 --> 00:21:30.899]  that Von Bruin was being federally handled.
[00:21:31.500 --> 00:21:34.882]  That's going to be breaking here in the next few days, sooner rather than later.
[00:21:35.963 --> 00:21:37.104]  Dangerous info to have.
[00:21:37.144 --> 00:21:42.468]  In fact, I may just have to get one of the witnesses on before the show ends.
[00:21:42.508 --> 00:21:44.529]  I don't like holding on to this type of info.
[00:21:45.050 --> 00:21:48.332]  We have little rules around here that keep us a little bit safe so we can finish our mission.
[00:21:51.804 --> 00:21:54.786]  I've just been so busy with other stuff, I haven't been spending all the time on this.
[00:21:54.846 --> 00:21:56.327]  I should have the last few days working on it.
[00:21:56.347 --> 00:21:58.428]  All right, let's finish up.
[00:21:59.869 --> 00:22:03.591]  Go back to the video, and then we'll back our next guest up to like 15 after.
[00:22:04.031 --> 00:22:05.232]  Go ahead and call him and let him know that.
[00:22:06.492 --> 00:22:06.813]  Thank you.
[00:22:10.155 --> 00:22:15.678]  Jaron in there, Jaron Neihart, running things, pointed out something that I noticed last night and forgotten to make the point.
[00:22:17.399 --> 00:22:19.240]  The ambulance has seconds.
[00:22:19.340 --> 00:22:21.061]  I mean, this police car comes flying up
[00:22:22.210 --> 00:22:24.091]  on him so fast, he has no way to get out of the way.
