[00:00:00.908 --> 00:00:10.052]  Prepare yourself for a talk radio experience like no other.
[00:06:46.997 --> 00:06:50.898]  Meanwhile, on the economy, gold soars above $900 on safe haven demand.
[00:06:50.918 --> 00:06:52.638]  This out of Market Watch.
[00:06:52.698 --> 00:06:56.099]  Also, Citigroup raises $12 billion in FDIC-backed bond sale.
[00:06:56.459 --> 00:06:59.479]  They're having to dip into the Federal Depositors Insurance Corporation.
[00:07:00.740 --> 00:07:08.641]  And it goes on to say that they have a shortfall alone in payments on investments coming up to investors of $42.2 billion.
[00:07:09.381 --> 00:07:12.342]  And that's only one of these big banking behemoths.
[00:07:13.457 --> 00:07:17.080]  Continuing, California's first centennial bank shut down by regulator.
[00:07:17.700 --> 00:07:23.044]  Bloomberg reports the first centennial bank of Redlands, California was seized by a state regulator.
[00:07:23.345 --> 00:07:23.865]  The third U.S.
[00:07:23.905 --> 00:07:29.889]  bank to fall this year as the recession deepens and the slump in the housing industry sends home foreclosures to record highs.
[00:07:32.011 --> 00:07:37.295]  So on the backdrop of this, Obama is saying we need an even bigger banking bailout.
[00:07:39.264 --> 00:07:44.326]  This is the only way to unfreeze credit markets and subprime mortgages and the credit card markets and all of it.
[00:07:45.226 --> 00:07:47.327]  And bank, interbank lending, institutional lending.
[00:07:47.747 --> 00:07:50.128]  It's not just in the service banking sector.
[00:07:51.468 --> 00:07:53.789]  The real problem is in the derivatives at the institutional level.
[00:07:54.429 --> 00:08:02.152]  They're saying, you know, we have to have a new Bank of the United States.
[00:08:03.252 --> 00:08:07.394]  Now, they claim the private Federal Reserve is governmental and that it's the Bank of the United States.
[00:08:09.225 --> 00:08:12.006]  But all this is, is the Federal Reserve is creating a new entity.
[00:08:12.506 --> 00:08:35.711]  The New York Times reported a month and a half ago that they're issuing to institutions Federal Reserve bonds, quietly, they won't give details, it's all basically secret, to governments and large institutional investors and groups, conglomerates, and that now they're going to transfer the remaining power out of Congress and out of the Treasury
[00:08:36.297 --> 00:08:41.360]  to this new body that will be part of an international body and that you will then pay your taxes.
[00:08:41.380 --> 00:08:46.944]  You already write your paycheck, your tax check to the Federal Reserve Bank.
[00:08:47.444 --> 00:08:52.487]  Notice that, those of you that don't just do withholding and who actually have employees or self-employed and pay taxes.
[00:08:52.847 --> 00:08:57.550]  You already write that to the private Federal Reserve that's predominantly owned by foreign shareholders.
[00:08:58.611 --> 00:09:00.552]  Now, just like
[00:09:34.691 --> 00:09:41.076]  Congress signed over in the mid-90s their authority over trade to the private World Trade Organization to create the taxing mechanism.
[00:09:42.137 --> 00:09:44.279]  Not one red cent of your income tax goes to run the country.
[00:09:45.239 --> 00:09:48.282]  Well, as they're creating the new open world bank,
[00:09:49.028 --> 00:09:51.850]  They have to create the tax system so that you can be taxed by them.
[00:09:52.151 --> 00:09:56.754]  We'll come back, take your... Do you have aches and pains or suffer from indigestion or inflammation?
[00:09:57.135 --> 00:09:59.817]  Are you tired of feeling restless from insomnia?
[00:10:00.117 --> 00:10:02.659]  These symptoms are produced by harmful toxins.
[00:10:02.959 --> 00:10:07.643]  But with the correct information, understanding and care, you can cleanse them from your body.
[00:10:07.903 --> 00:10:12.887]  Allomaster.com would like to help you begin the road to recovery with aloe vera.
[00:10:13.007 --> 00:10:17.471]  For over 4,000 years, aloe vera has been known for its therapeutic and healing properties.
[00:10:17.791 --> 00:10:18.132]  I think so.
[00:10:38.311 --> 00:10:42.015]  Turn over a new leaf and visit us today at alomaster.com.
[00:10:42.115 --> 00:10:44.957]  That's A-L-O-E, master.com.
[00:10:45.057 --> 00:10:48.921]  Or call us at 1-800-934-A-L-O-E.
[00:10:49.061 --> 00:10:52.585]  That's 1-800-934-2563 today.
[00:10:52.965 --> 00:10:55.307]  What will you do when the economy collapses?
[00:10:55.487 --> 00:10:58.270]  Store shelves are empty and your stored food is gone.
[00:10:58.450 --> 00:11:00.132]  How will you feed your family?
[00:11:00.292 --> 00:11:01.613]  True self-sufficiency
[00:11:01.613 --> 00:11:01.893]  I think so.
[00:11:24.619 --> 00:11:24.939]  I think so.
[00:11:53.173 --> 00:11:54.594]  Jim Newcomer from Midas Resources.
[00:11:54.734 --> 00:11:55.255]  January 23rd, 2009.
[00:11:55.295 --> 00:11:56.015]  Gold opened at $875.
[00:11:56.055 --> 00:11:58.817]  A one ounce gold coin can be purchased for $900.66, $450.33 for the half ounce, and $225.17 for the quarter ounce.
[00:11:58.837 --> 00:11:59.357]  That's $900.66, $450.33, and $225.17.
[00:12:10.876 --> 00:12:14.619]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:12:14.759 --> 00:12:18.723]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:12:18.883 --> 00:12:23.307]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:12:23.447 --> 00:12:28.691]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:12:28.892 --> 00:12:31.994]  Fiat currency's value is based on trust, fiscal responsibility.
[00:12:32.054 --> 00:12:35.577]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[00:12:35.737 --> 00:12:37.519]  Or is it time to ensure your hard-earned wealth?
[00:12:37.679 --> 00:12:42.801]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:12:42.901 --> 00:12:45.423]  Do you believe that more bailout will solve our economic problems?
[00:12:45.483 --> 00:12:47.223]  Or would you like to call Midas Resources at 1-800-686-2237?
[00:12:47.283 --> 00:12:48.144]  That's Midas Resources at 1-800-686-2237.
[00:12:53.446 --> 00:12:55.307]  Heart disease is on the rise.
[00:12:55.428 --> 00:13:02.112]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:13:02.392 --> 00:13:10.557]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:13:10.797 --> 00:13:16.521]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:13:16.701 --> 00:13:18.463]  My blood pressure has normalized.
[00:13:18.543 --> 00:13:20.705]  My diabetes has totally improved.
[00:13:20.825 --> 00:13:25.069]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:13:25.249 --> 00:13:27.351]  I recommend Heart and Body Extract to everyone.
[00:13:27.471 --> 00:13:35.239]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:13:35.399 --> 00:13:39.280]  Order your two-month supply today by calling 866-295-5305.
[00:13:39.600 --> 00:13:43.321]  That's 866-295-5305.
[00:13:43.501 --> 00:13:46.321]  Or order online at HBextract.com.
[00:13:46.521 --> 00:13:48.382]  Heart and Body Extract, 866-295-5305.
[00:13:48.782 --> 00:13:52.502]  Or HBextract.com.
[00:13:54.723 --> 00:13:56.583]  You are listening to GCN.
[00:13:58.203 --> 00:14:00.424]  Visit GCNlive.com today.
[00:14:08.715 --> 00:14:09.755]  We are back live.
[00:14:09.835 --> 00:14:12.616]  It is the 25th day of January, 2009.
[00:14:12.676 --> 00:14:13.357]  Hard to believe it's 2009.
[00:14:13.577 --> 00:14:13.897]  I keep saying 2008.
[00:14:14.017 --> 00:14:15.077]  Almost a month into it.
[00:14:15.097 --> 00:14:19.939]  Okay, we're going to your phone calls here in a moment at 877-590-5525.
[00:14:19.979 --> 00:14:27.021]  Joseph, Dan, Steele, Steve, many others that are patiently holding.
[00:14:40.322 --> 00:14:41.323]  You know what?
[00:14:41.803 --> 00:14:47.948]  Last night, just a side note, KRS-One, about two weeks ago, called my office.
[00:14:47.968 --> 00:14:48.909]  They were coming through Austin.
[00:14:48.929 --> 00:14:50.390]  They wanted to come and be on my radio show.
[00:14:50.430 --> 00:14:51.571]  They were huge fans.
[00:14:52.712 --> 00:14:55.995]  And then they got here to town late, so they just wanted me to go to the show last night.
[00:14:56.015 --> 00:15:00.778]  Invited me there, so we went and interviewed KRS-One after he played at Mohawks.
[00:15:02.119 --> 00:15:03.561]  And literally, it blew me away.
[00:15:03.641 --> 00:15:05.102]  Because I don't go down to 6th Street a lot.
[00:15:05.945 --> 00:15:12.367]  And just as not bragging about, oh all these people know me, it's a gauge of how big the show's getting.
[00:15:13.168 --> 00:15:19.390]  And I could go down to 6th Street ten years ago and have maybe one out of six, seven people that walk past me say, hey Alex Jones.
[00:15:20.831 --> 00:15:29.734]  But we had to park probably five, six blocks north of there, because 6th Street was really full last night, to go down to Mohawks.
[00:15:30.538 --> 00:15:36.342]  Myself and my camera crew, and the whole way to Mohawks was probably every other person was, Hey Alex Jones!
[00:15:36.362 --> 00:15:37.082]  Hey, give me an autograph!
[00:15:37.102 --> 00:15:37.823]  Hey, let me take a picture!
[00:15:38.103 --> 00:15:39.083]  So I could barely get there.
[00:15:39.624 --> 00:15:49.630]  And then once we got there, here's this huge hip-hop crowd, a mixed crowd of black folks, white folks, Hispanics, Asians, just really well represented.
[00:15:50.604 --> 00:16:05.625]  And uh of everybody and it was more than half of them were Alex Jones and all these other hip-hop people and other well-known hip-hop folks and I was backstage and I was in the VIP area and it was like literally and then KRS-One gets up on stage
[00:16:06.643 --> 00:16:10.186]  After the other groups had played and was like, I'm down with Alex Jones.
[00:16:10.226 --> 00:16:11.728]  I'm not down with Barack Obama.
[00:16:12.108 --> 00:16:13.869]  Barack Obama's a New World Order puppet.
[00:16:13.909 --> 00:16:14.450]  You watch.
[00:16:14.470 --> 00:16:18.573]  And then he started going into all these raps and putting me in them and everything.
[00:16:18.633 --> 00:16:31.524]  It was just... Yeah, he's not down with the... And then I interviewed him over the phone last Friday because he couldn't make it to town until Saturday.
[00:16:32.685 --> 00:16:34.646]  On the radio, and he said a lot of that.
[00:16:34.686 --> 00:16:36.047]  He said, hip-hop is behind you.
[00:16:36.447 --> 00:16:48.252]  But then after the show, I got to interview him for about 30 minutes, and he was telling me just how many people, I mean, the icons of hip-hop are huge fans of this radio show and the films and what we do.
[00:16:50.093 --> 00:17:01.498]  And expanding from there, you know, I talked to my buddy who does a major TV show in Hollywood, not Charlie Sheen, somebody else, and he told me, you know, the whole cast of the show basically
[00:17:02.093 --> 00:17:06.958]  You know, in their dressing rooms, listening to the radio show, because they'll sit there for hours having their makeup put on or reading scripts.
[00:17:07.819 --> 00:17:10.442]  And then I talked to Joe Rogan, who was in town.
[00:17:10.462 --> 00:17:15.627]  I had dinner with him last night before I went to meet with KRS-One, because he was here for his comedy routine.
[00:17:16.968 --> 00:17:21.613]  And he was telling me, he goes, oh yeah, a whole bunch of people, a whole bunch of the biggest names he was listing.
[00:17:21.633 --> 00:17:23.515]  I'm not really up on Ultimate Fighting.
[00:17:24.458 --> 00:17:50.375]  uh... but he was telling me like all the be like the big guys in it were like huge fans of us in the show i mean it is getting exponential so i'm not just one guy fight the new rule or there's a lot of other prominent people so think about that just everywhere i go every genre every group and i could be in the streets of canada the streets of england i can be on the streets of uh... honduras i was uh... down in uh... honduras last week uh...
[00:17:50.994 --> 00:17:52.695]  And people are coming up to me.
[00:17:53.115 --> 00:17:58.339]  So it is just incredible to know that we are reaching this many people and it's very exciting.
[00:17:59.819 --> 00:18:03.201]  That shows that the establishment media propaganda is not working.
[00:18:03.242 --> 00:18:08.385]  When quote someone as radical as myself is, as I would say, going supernova.
[00:18:08.985 --> 00:18:13.928]  And that's what all of our numbers show on radio, on internet, on everything.
[00:18:13.988 --> 00:18:15.329]  It's just exponential.
[00:18:15.769 --> 00:18:20.212]  The number of people checking out what we're doing and resonating with it is
[00:18:20.953 --> 00:18:21.733]  Just massive.
[00:18:22.734 --> 00:18:23.914]  And it's really kind of scary.
[00:18:24.674 --> 00:18:26.955]  And then, at 2 in the morning, I tried to leave Mohawks.
[00:18:27.075 --> 00:18:31.636]  And it was a gauntlet of just everyone stopping, because the bars were letting out about 2.15.
[00:18:31.696 --> 00:18:34.177]  And there were people just pouring out.
[00:18:34.577 --> 00:18:37.538]  Didn't matter if it was a punk bar, or a rock bar, or a country bar.
[00:18:37.898 --> 00:18:47.600]  And it was a gauntlet, those 5, 6, 7 blocks, trying to get back, you know, in the freezing cold night, with just people pouring out, shaking our hands, and taking pictures.
[00:18:48.101 --> 00:18:49.581]  I mean, it's amazing.
[00:18:50.256 --> 00:18:52.298]  Yeah, we should have just had our cameras and shown all that.
[00:18:52.918 --> 00:19:10.051]  I mean, we did catch it at the KRS-One event, but again, I just spent five minutes on this only because it's an indicator of how many people we're touching, and it also is daunting in a way because everybody's paying attention to every word I say.
[00:19:10.591 --> 00:19:15.715]  I mean, everything I do is being gone over with a fine-tooth comb, so I better do a good job.
[00:19:16.195 --> 00:19:17.116]  We better do a good job.
[00:19:18.213 --> 00:19:25.415]  Because as things get tougher, as the New World Order closes in around us, as everything I've talked about comes true, and that's why this is happening.
[00:19:25.955 --> 00:19:32.736]  For 13 years I've been hammering and hammering and hammering and laying out what would happen when and how it would happen, and it's all happening.
[00:19:33.176 --> 00:19:40.298]  Now people heard me three years ago say they were going to pop the subprime mortgage by design and bring in a huge banking crisis and then openly set up a World Bank.
[00:19:41.559 --> 00:19:46.841]  And roll the private federal reserve into it and set up carbon taxes and it's all being announced.
[00:19:46.861 --> 00:19:52.143]  Everybody heard me say there'd be youth brigades and 18 to 24 serving domestically in a domestic army.
[00:19:53.023 --> 00:19:54.463]  Not overseas, it's now being announced.
[00:19:55.064 --> 00:19:59.165]  Everybody heard us lay out all this stuff about how there'd be troops on the streets, how they'd build FEMA camps.
[00:19:59.505 --> 00:20:01.666]  Now they're announcing it on the news but saying it's a good thing.
[00:20:02.406 --> 00:20:05.067]  And really, we don't deserve much credit.
[00:20:05.147 --> 00:20:05.787]  At least I don't.
[00:20:06.428 --> 00:20:10.209]  I'm just somebody who found out about this agenda, could read government documents, could interview experts.
[00:20:10.888 --> 00:20:13.089]  And who found out about this and decided I was going to fight it.
[00:20:13.909 --> 00:20:21.932]  And because we've gotten the word out, and listeners have spread the word, and other people in alternative media have spread the word, the mainstream media is losing all credibility.
[00:20:23.412 --> 00:20:31.875]  Now for a brief time, the system's going to be able to fool some of the public, a large sector of the public, a large cross-section, that Obama's different, he's going to change things, his rhetoric's different.
[00:20:32.295 --> 00:20:38.717]  But as soon as they figure out it was a betrayal, the rebellion against tyranny is just going to explode that much faster.
[00:20:39.594 --> 00:20:41.415]  And so that's the basic news I wanted to bring up as well.
[00:20:41.816 --> 00:20:43.957]  So we're going to go to break here in a moment.
[00:20:43.977 --> 00:20:47.660]  Then we're going to come right back to after the news to all of your calls.
[00:20:48.041 --> 00:20:50.342]  Also, some of the other news coming up later.
[00:20:50.362 --> 00:20:53.205]  Ebola may have passed from a pig to a human.
[00:20:53.805 --> 00:20:56.107]  International Herald-Tribune, why is this so important?
[00:20:57.188 --> 00:21:01.611]  Because it's a new strain of Ebola and well, Ebola kills what?
[00:21:02.252 --> 00:21:03.913]  Close to 90% of the people that get it.
[00:21:03.953 --> 00:21:04.994]  So that's a serious issue.
[00:21:05.878 --> 00:21:09.840]  Unrented, unreturned library book leads to woman's arrest.
[00:21:10.941 --> 00:21:14.182]  Oh yeah, if you forget to bring a library book back in Williamson County, they take you to jail.
[00:21:14.642 --> 00:21:17.304]  This is Independence, Iowa though.
[00:21:17.844 --> 00:21:18.945]  A $13.95 value book.
[00:21:20.265 --> 00:21:22.426]  FDA says no to GMO labels.
[00:21:23.707 --> 00:21:34.052]  GMO, of course, has been proven with rats and other things that have been tested on genetically modified organism food to really cause reproductive problems and cancers and things and all the major studies.
[00:21:35.053 --> 00:21:38.115]  But they could argue and say, oh no, we say it's good for you.
[00:21:38.575 --> 00:21:41.877]  But why not let us know if a product's got GMO in it?
[00:21:42.618 --> 00:21:45.800]  Well, the FDA says, no, you're not allowed to know that information.
[00:21:47.200 --> 00:21:57.607]  And that dovetails in with the fact that a few years ago, they tried to stop organic milk companies from just saying on the label, there was no bovine growth hormone in there.
[00:21:57.647 --> 00:22:03.310]  That's the reason your five-year-old girls are going into puberty and your boys are eight feet tall and you're only six foot tall.
[00:22:03.848 --> 00:22:05.249]  I mean, this stuff is screwing people up.
[00:22:05.889 --> 00:22:10.132]  Oh, and another big story that is out of England, but similar things are happening here in the U.S.
[00:22:11.492 --> 00:22:20.237]  This goes in the same category as most public schools have banned first dodgeball, then running at recess, and then jungle gyms and swings.
[00:22:20.978 --> 00:22:22.659]  This is all part of enslaving the public.
[00:22:24.600 --> 00:22:28.862]  Coast Guard can't start a rescue until they fill out a health and safety assessment.
[00:22:29.178 --> 00:22:34.880]  So they have to wait like 30 minutes when somebody's fallen off a boat and freezing to death or there's been a wreck out on the high seas.
[00:22:35.460 --> 00:22:41.242]  They have to wait and fill out a weather report, a risk assessment, where it is, if it's safe for them to go.
[00:22:41.262 --> 00:22:46.383]  So we're going to go over that as well today.
[00:22:46.403 --> 00:22:50.524]  But first, some of your phone calls and I'll break down this bank nationalization.
[00:22:50.824 --> 00:22:51.645]  It's not really that.
[00:22:51.685 --> 00:22:52.085]  Stay with us.
[00:22:53.084 --> 00:22:56.247]  Before you throw away your used batteries, you need to listen to this.
[00:22:56.588 --> 00:22:58.349]  Now, going green can save money.
[00:22:58.510 --> 00:23:03.855]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:23:04.075 --> 00:23:11.783]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:23:12.083 --> 00:23:24.746]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:23:24.886 --> 00:23:29.788]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:23:30.088 --> 00:23:35.289]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:23:35.609 --> 00:23:36.350]  Save your money.
[00:23:36.730 --> 00:23:37.650]  Save the environment.
[00:23:38.030 --> 00:23:40.873]  Visit us online at r-charge.com.
[00:23:41.054 --> 00:23:43.136]  That's r-charge.com.
[00:23:43.276 --> 00:23:43.957]  Or call us at 989-637-4179.
[00:23:44.057 --> 00:23:44.498]  That's 989-637-4179.
[00:23:44.538 --> 00:23:45.839]  Be a part of the revolution today!
[00:23:54.460 --> 00:23:57.482]  Stop wasting your time struggling with everything you're trying to learn.
[00:23:57.902 --> 00:23:59.683]  Learning should be a pleasure, not torture.
[00:24:00.063 --> 00:24:06.367]  The School of Phenomenal Memory gives you the training and tools you need to memorize any type of information quickly and efficiently.
[00:24:06.727 --> 00:24:09.069]  Just as you need to exercise to get your body into shape,
[00:24:13.271 --> 00:24:13.751]  We're good to go!
[00:24:42.000 --> 00:24:45.261]  Lead a superior life by drinking Superior Life brand ionized water.
[00:24:45.341 --> 00:24:48.322]  A couple of soft drinks each day, a few slices of pizza.
[00:25:00.846 --> 00:25:02.047]  Last night's cheeseburgers.
[00:25:02.347 --> 00:25:08.210]  These acidic foods will make you tired, overweight, and cause numerous negative health problems in the short and long term.
[00:25:08.610 --> 00:25:14.853]  An acidic environment is created in the body, causing fuzzy memory and that all-day low energy feeling.
[00:25:15.133 --> 00:25:19.015]  These are the early signs of your body telling you that it's not getting the proper care it needs.
[00:25:19.315 --> 00:25:21.136]  We are truly a junk food nation.
[00:25:21.596 --> 00:25:30.162]  Drinking ionized water will help you drop the weight, feel better, actually become hydrated, and can improve the quality of your life.
[00:25:30.442 --> 00:25:31.903]  It's all about the pH.
[00:25:32.363 --> 00:25:34.545]  Disease cannot thrive in an alkaline body.
[00:25:34.845 --> 00:25:37.187]  What can a Life Brand Water Ionizer do for you?
[00:25:37.647 --> 00:25:37.927]  Call 800-276-9601.
[00:25:37.967 --> 00:25:38.147]  That's 800-276-9601.
[00:25:43.311 --> 00:25:48.172]  9-6-0-1 or visit us at SuperiorLifeWater.com.
[00:25:48.373 --> 00:25:50.693]  That's SuperiorLifeWater.com.
[00:25:51.033 --> 00:25:52.174]  What's in your water?
[00:25:52.934 --> 00:25:54.674]  The headlines are clear.
[00:25:54.734 --> 00:25:57.195]  The worldwide economic collapse is here.
[00:25:57.635 --> 00:26:00.156]  The military is being positioned for martial law.
[00:26:00.856 --> 00:26:02.497]  The mark of the beast is at hand.
[00:26:02.617 --> 00:26:05.818]  Governments are calling for a new world cashless economic system.
[00:26:05.918 --> 00:26:09.559]  Having a long-term food solution is your only hope to stay free.
[00:26:10.579 --> 00:26:14.004]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[00:26:14.244 --> 00:26:17.568]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[00:26:17.628 --> 00:26:20.332]  For true patrons and homesteaders wanting food insurance.
[00:26:20.492 --> 00:26:24.137]  That's over 5 pounds of rare historic seeds for a penny per seed.
[00:26:24.157 --> 00:26:27.541]  15,000 seeds that will feed a family healthy food for 7 years.
[00:26:28.442 --> 00:26:38.870]  John Lipscomb, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him, restaurants and small delis.
[00:26:38.910 --> 00:26:40.151]  Don't buy from copycats.
[00:26:40.311 --> 00:26:42.173]  Their fancy packaging is not free.
[00:26:42.433 --> 00:26:44.334]  Order today before it's too late.
[00:26:44.395 --> 00:26:46.216]  SurvivalistSeeds.com.
[00:26:46.276 --> 00:26:48.418]  That's SurvivalistSeeds.com.
[00:26:48.618 --> 00:26:50.519]  A long-term food solution.
[00:26:57.028 --> 00:27:07.933]  You're listening to GCN, the Genesis Communications Radio Network.
[00:27:07.953 --> 00:27:11.654]  Openly, private offshore banks have taken control of the government, both parties.
[00:27:12.535 --> 00:27:19.177]  Obama is their man, four times the Wall Street campaign donations than any other candidate in history.
[00:27:20.658 --> 00:27:22.219]  Five times the Goldman Sachs money.
[00:27:25.300 --> 00:27:25.420]  And
[00:27:26.328 --> 00:27:31.010]  Their operations are all secret, but they're saying that... Well, they'll tell Congress it's secret.
[00:27:31.050 --> 00:27:39.753]  I have those articles this week when Geithner, now approved to be Treasury Secretary by the Senate Committee, said, well, it's all secret what we're doing, but it's international in scope.
[00:27:39.793 --> 00:27:45.496]  But separately, in the Bretton Woods II agreement, they said it will be a private world bank that you pay taxes to.
