[00:00:01.191 --> 00:00:01.611]  Michigan.
[00:10:21.871 --> 00:10:22.211]  Right.
[00:10:22.331 --> 00:10:31.997]  That's what our whole, um, this whole uproar is, is because, you know, as a parent, they know me, they know my morals, they know how I bring up my children.
[00:10:32.377 --> 00:10:34.459]  They know that their children are going to be safe.
[00:10:35.519 --> 00:10:38.761]  Did you hear about California saying parents can't homeschool?
[00:10:39.382 --> 00:10:39.942]  No, I haven't.
[00:10:40.606 --> 00:10:41.466]  What do you think about that?
[00:10:41.486 --> 00:10:42.547]  That's retarded.
[00:10:43.547 --> 00:10:45.567]  I mean, the government is saying they own us.
[00:10:46.228 --> 00:10:47.508]  Let me say bye to you during the break.
[00:10:47.548 --> 00:10:50.189]  We really appreciate you joining us.
[00:10:50.249 --> 00:10:52.169]  An amazing lady standing up to Big Brother.
[00:10:52.469 --> 00:10:53.830]  Most people submit.
[00:10:54.270 --> 00:10:57.030]  They're telling people here in Austin they can't have neighbors over.
[00:10:57.351 --> 00:10:57.831]  That's right.
[00:10:57.951 --> 00:10:58.671]  We're all prisoners.
[00:11:01.596 --> 00:11:07.802]  If you're looking for a company that will meet and exceed your water purification needs, you need to visit PureWaterFreedom.com.
[00:11:08.102 --> 00:11:18.992]  If you're concerned about contaminants in your water, such as fluoride, chlorine, pharmaceutical drugs, arsenic, and even iron or rust, PureWaterFreedom.com has a water purification system perfect for your home or office.
[00:11:19.232 --> 00:11:24.497]  PureWaterFreedom.com carries state-of-the-art water filters for every application, including countertop,
[00:11:24.677 --> 00:11:33.707]  Under sink, shower and bath, whole house, ultraviolet sterilizers, fluoride filters and reverse osmosis systems that remove fluoride and pharmaceutical drugs and much more.
[00:11:34.028 --> 00:11:38.873]  Installation takes moments so you'll be enjoying crisp, clean, satisfying water in no time.
[00:11:39.093 --> 00:11:42.237]  Not sure which water purification system will work best for you?
[00:11:42.517 --> 00:11:45.781]  Log on or call today to speak with a water purification specialist.
[00:11:46.061 --> 00:11:48.624]  Call 1-866-757-7644.
[00:11:49.705 --> 00:11:50.265]  That's 1-866-757-7644.
[00:11:54.029 --> 00:11:56.131]  Or visit PureWaterFreedom.com.
[00:11:56.312 --> 00:11:58.013]  PureWaterFreedom.com.
[00:11:58.194 --> 00:12:00.496]  The best filtered water in the world.
[00:12:01.857 --> 00:12:07.083]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:12:07.857 --> 00:12:13.199]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:12:13.739 --> 00:12:19.942]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:12:20.222 --> 00:12:22.043]  Well, Obama's already fudging.
[00:12:22.203 --> 00:12:24.604]  He's fudged since day one of this election.
[00:12:24.664 --> 00:12:35.568]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:12:37.845 --> 00:12:39.125]  It's not about left or right.
[00:12:39.525 --> 00:12:40.946]  It's about a one-world government.
[00:12:41.386 --> 00:12:47.727]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:12:48.287 --> 00:12:56.069]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:12:56.549 --> 00:12:57.690]  The Obama Deception.
[00:12:58.130 --> 00:12:59.310]  The people strike back.
[00:13:01.781 --> 00:13:02.621]  Gold isn't for you?
[00:13:02.802 --> 00:13:08.144]  Ted Anderson, President of Midas Resources, one of the world's premier gold and precious metal investing firms.
[00:13:08.324 --> 00:13:08.744]  I get it.
[00:13:08.885 --> 00:13:18.249]  You wouldn't buy gold if you believed that the government is doing a great job, that the Fed will stop handing out trillions of dollars like bailout candy, that Social Security would be there for you.
[00:13:18.489 --> 00:13:19.690]  That's not what's happening.
[00:13:19.910 --> 00:13:24.252]  You might even pass on gold if the stimulus package wouldn't fuel inflation.
[00:13:24.492 --> 00:13:26.172]  Or that the dollar wouldn't lose value?
[00:13:26.332 --> 00:13:28.153]  Or that your retirement would be secure?
[00:13:28.373 --> 00:13:31.634]  If all looks rosy to you, then now is not the time to buy gold.
[00:13:31.774 --> 00:13:35.855]  For the realists, there have never been more sobering reasons to diversify with gold.
[00:13:36.035 --> 00:13:37.595]  Since 2001, the U.S.
[00:13:37.635 --> 00:13:40.856]  dollar index has tanked 30% while gold has risen 300%.
[00:13:41.036 --> 00:13:45.217]  Right now, savvy investors are adding gold to their portfolios.
[00:13:45.397 --> 00:13:46.117]  You should, too.
[00:13:46.317 --> 00:13:47.277]  Find out what they know.
[00:13:47.457 --> 00:13:50.698]  Call us and I'll send you 10 reasons why gold will do very well, free.
[00:13:50.998 --> 00:13:51.058]  800-686-2237.
[00:13:51.078 --> 00:13:51.118]  800-686-2237.
[00:13:51.138 --> 00:13:51.339]  That's 800-686-2237.
[00:14:01.332 --> 00:14:10.160]  For years, doctors and researchers have known that one of the major pathways to better health is an alkaline diet rich in minerals and antioxidants to keep the body in proper pH balance.
[00:14:10.400 --> 00:14:20.008]  For 15 years, people have trusted AlkaZone, the simplest way of keeping the body in pH balance, getting rid of acidic waste buildup, and boosting the immune system through antioxidant support.
[00:14:20.329 --> 00:14:28.776]  AlkaZone's unique formula contains potassium, magnesium, calcium, zinc, and the antioxidant selenium, along with 79 trace minerals from ancient marine deposits.
[00:14:29.036 --> 00:14:34.640]  Unlike other products, AlkaZone is odorless and tasteless and can be added to any beverage to offset its acidity.
[00:14:34.900 --> 00:14:41.946]  AlkaZone also manufactures antioxidant water fountains that will both filter and raise the pH of the tap water in your home to a pH of 10.
[00:14:42.146 --> 00:14:47.890]  To learn more and to place your order for a 45-day supply for only $25, visit AlkaZone.com.
[00:14:47.990 --> 00:14:50.212]  That's A-L-K-A Zone dot com.
[00:14:50.492 --> 00:14:53.134]  Use coupon code RADIO and receive a limited time discount.
[00:14:53.354 --> 00:14:54.415]  Call AlkaZone today at 1-800-810-1888.
[00:14:54.435 --> 00:14:54.656]  That's 1-800-810-1888.
[00:14:54.676 --> 00:14:57.299]  The entire United States and Western world are being converted to a giant prison grid.
[00:15:09.690 --> 00:15:12.213]  I'm going to do a few more minutes here with Lisa Schneider.
[00:15:12.613 --> 00:15:13.574]  I talked to her during the break.
[00:15:13.594 --> 00:15:15.116]  She pretty much knows the neighbor who did it.
[00:15:15.557 --> 00:15:17.298]  She doesn't want to get in a fracas with him.
[00:15:17.759 --> 00:15:22.124]  I warned her that this neighbor is going to now be watching.
[00:15:22.524 --> 00:15:26.288]  If one of her little kids is in the backyard for five minutes alone, they're going to claim it's abuse.
[00:15:27.361 --> 00:15:30.002]  I think you've got to run this person to ground.
[00:15:30.042 --> 00:15:32.804]  You've got to maybe countersue them for false reports or something.
[00:15:33.104 --> 00:15:35.786]  Or they're going to be hunting you with the CPS.
[00:15:35.826 --> 00:15:39.107]  Because for these little Stasi types, they're never wrong.
[00:15:39.167 --> 00:15:40.348]  They love the big state.
[00:15:40.388 --> 00:15:41.769]  They love what's happening.
[00:15:41.789 --> 00:15:44.750]  But comment on that and then where all this is going.
[00:15:45.131 --> 00:15:53.255]  As you're being told, it's illegal in the freezing Michigan Blue Northerns to let any neighbor kids come in and wait for the bus.
[00:15:54.219 --> 00:16:08.045]  Um, as an American, that we are supposed to be living in a land of the free, I believe, truthfully, and all the other mothers do that are involved in this, is that the government should not be able to tell us who we can have watch our children.
[00:16:08.085 --> 00:16:13.087]  If we know our children are in a safe place, that's, I mean, the parents, it's the parents' right.
[00:16:14.867 --> 00:16:19.230]  Having these children, as a mother of these children, they know, they know they're in a safe place.
[00:16:19.931 --> 00:16:28.477]  Second, as far as the neighbor, yeah, I just, we're, my husband and I are not, we just want this all to go away.
[00:16:29.138 --> 00:16:34.302]  And just, hopefully they'll leave us alone and hopefully this will all come to an end.
[00:16:34.402 --> 00:16:42.408]  And I hope that the law does get changed because it's a terrible law and I hope no other mother has to go through what I've had to go through.
[00:16:43.637 --> 00:16:53.787]  I do thank everyone for the support that they have given all of us, and I don't take that for granted for one minute, but this was a very sad situation.
[00:16:53.867 --> 00:17:08.941]  It has hurt my children along with all the other children that are involved, and that's the most upsetting thing is whoever did this, if they were coming after any of us adults, that's one thing, but to hurt our children, that's horrid, horrid, horrid.
[00:17:09.241 --> 00:17:15.645]  Well, they started this in the last 20 years using a few bad examples of bad daycares.
[00:17:15.665 --> 00:17:22.189]  But there's nobody regulating the CPS who, again, is five times more likely to abuse children than any other group or even government itself.
[00:17:22.870 --> 00:17:24.311]  So they have no business.
[00:17:24.331 --> 00:17:27.353]  That's the pot calling the kettle black here.
[00:17:27.893 --> 00:17:31.055]  But notice, mothers and fathers know what a good daycare is.
[00:17:31.455 --> 00:17:36.999]  The CPS use the daycares as tattletale grounds to hunt for kids to CPS and take.
[00:17:37.759 --> 00:17:43.423]  And so when we let the CPS get into regulating daycares, they now have taken that over.
[00:17:43.843 --> 00:17:50.027]  And then now they're trying to say we can't even have our own homes, or can't have neighbors over for church, for a Bible study.
[00:17:50.087 --> 00:17:52.729]  They're destroying the right of free association.
[00:17:52.769 --> 00:17:54.130]  They're muscling in.
[00:17:54.550 --> 00:17:55.350]  And the same thing.
[00:17:55.411 --> 00:17:57.072]  Parents know what a good daycare is.
[00:17:57.452 --> 00:17:58.352]  We don't need the state.
[00:17:58.613 --> 00:18:00.394]  And parents know if their kid's allowed to
[00:18:00.874 --> 00:18:03.637]  Go stay for 20 minutes in the foyer of a neighbor's house.
[00:18:03.937 --> 00:18:06.059]  That happened when I was a little kid.
[00:18:06.399 --> 00:18:07.240]  That's normal.
[00:18:07.300 --> 00:18:08.742]  My mom had neighbor kids over.
[00:18:09.142 --> 00:18:10.163]  Neighbors had me over.
[00:18:10.503 --> 00:18:11.685]  That is freedom.
[00:18:11.985 --> 00:18:12.505]  Right.
[00:18:12.585 --> 00:18:13.727]  And this is serious tyranny.
[00:18:13.767 --> 00:18:14.107]  Go ahead.
[00:18:14.167 --> 00:18:21.915]  Well, and also I'd like to say, all because the daycare is licensed does not mean that you know who is actually working.
[00:18:21.995 --> 00:18:24.177]  You don't know nothing about their background.
[00:18:26.129 --> 00:18:27.870]  You don't have dinner with them every night.
[00:18:27.910 --> 00:18:30.091]  You don't socialize with those people.
[00:18:30.591 --> 00:18:35.934]  Usually, you just send your kid to this licensed daycare that's licensed by the state.
[00:18:36.634 --> 00:18:39.915]  But, who is actually really watching your children?
[00:18:39.935 --> 00:18:40.376]  That's right.
[00:18:40.416 --> 00:18:42.717]  That means you've just paid protection money to the government.
[00:18:42.737 --> 00:18:43.237]  That's right!
[00:18:43.597 --> 00:18:47.779]  A neighbor who you know and trust is a lot better than some nameless school.
[00:18:48.139 --> 00:18:48.399]  Right.
[00:18:49.160 --> 00:18:49.660]  Exactly.
[00:18:51.007 --> 00:18:53.088]  And that was our other point that we are trying to make.
[00:18:53.168 --> 00:18:58.811]  At least they know, I mean, we have dinner together, we're with these people practically every day of the week.
[00:18:59.231 --> 00:19:00.832]  They know us, we know them.
[00:19:01.512 --> 00:19:03.954]  You put your kid in a daycare, you don't know them.
[00:19:04.034 --> 00:19:05.374]  You just hope that you know them.
[00:19:05.814 --> 00:19:09.676]  Well, this lets us know the mindset of the government bureaucrats.
[00:19:10.037 --> 00:19:15.579]  They believe you can't have neighbor kids over before they catch the school bus, even if the neighbor parents want them there.
[00:19:16.000 --> 00:19:20.542]  They believe that someone owning their own property can't have ten cars parked
[00:19:21.042 --> 00:19:24.486]  On their rural property to have Sunday dinner and prayer.
[00:19:24.867 --> 00:19:30.714]  They believe rabbis in Denver can't have 14 of their members over.
[00:19:31.014 --> 00:19:33.998]  They believe Buddhists can't have five of their friends over.
[00:19:34.358 --> 00:19:37.903]  They believe Amish can't sell watermelons without a license.
[00:19:38.363 --> 00:19:39.183]  On the side of the road.
[00:19:39.523 --> 00:19:43.224]  They believe they're God and they're here to milk us and run our lives.
[00:19:43.264 --> 00:19:49.926]  And under this new greenhouse gas tax bill, it says unlimited power, home inspections, everything.
[00:19:50.426 --> 00:19:56.828]  And the colleges are churning out armies of control freaks who love ruling over people.
[00:19:57.088 --> 00:20:00.969]  We better get control of our country and we better stand up and say no like you did.
[00:20:00.989 --> 00:20:02.149]  I salute your courage.
[00:20:02.309 --> 00:20:02.729]  Thank you.
[00:20:02.769 --> 00:20:06.870]  And any other mother that's in our situation, stand up for your rights because you're teaching your kids.
[00:20:07.390 --> 00:20:11.371]  My children came to me and said, I thank you mom for standing up for us.
[00:20:11.491 --> 00:20:20.514]  And I believe that if my child, my children were ever put in the situation that I was, I'm hoping that I have taught them that you stand up for the right because you are an American and you do have the right.
[00:20:20.534 --> 00:20:24.875]  Well, I mean, in the Soviet Union, they let neighbor kids stay at neighbor's houses.
[00:20:24.935 --> 00:20:29.157]  This is worse than malice China, worse than Soviet Russia.
[00:20:29.917 --> 00:20:31.517]  Lisa Snyder, God bless you.
[00:20:31.537 --> 00:20:32.538]  We appreciate your courage.
[00:20:32.578 --> 00:20:34.578]  We'll watch this case as it develops.
[00:20:34.698 --> 00:20:35.199]  Godspeed.
[00:20:35.499 --> 00:20:35.959]  Thank you.
[00:20:36.803 --> 00:20:37.884]  What an amazing lady.
[00:20:38.104 --> 00:20:39.384]  Most people just roll over.
[00:20:39.404 --> 00:20:41.225]  The bureaucrats say, good!
[00:20:41.785 --> 00:20:42.546]  We own you now.
[00:20:42.946 --> 00:20:43.806]  You're our slaves.
[00:20:44.166 --> 00:20:48.829]  But come back, take your phone calls, get into the flu, the war, the new stimulus package.
[00:20:49.069 --> 00:20:49.869]  It's all coming up.
[00:20:51.470 --> 00:20:52.370]  We're on the march.
[00:20:52.850 --> 00:20:54.471]  The empire's on the run.
[00:20:55.392 --> 00:20:58.073]  Alex Jones and the GCN Radio Network.
[00:21:01.564 --> 00:21:04.165]  Hello, this is Alex Jones with some important questions.
[00:21:04.585 --> 00:21:09.546]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:21:09.907 --> 00:21:11.627]  My answer would be all I can get.
[00:21:11.947 --> 00:21:16.769]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:21:16.949 --> 00:21:17.909]  How much do you want?
[00:21:18.129 --> 00:21:18.889]  When do you want it?
[00:21:19.270 --> 00:21:20.850]  Now or after the battle starts?
[00:21:21.150 --> 00:21:21.970]  When will you need it?
[00:21:22.210 --> 00:21:24.271]  Can you buy it without proper identification?
[00:21:24.411 --> 00:21:25.511]  Will there be any food?
[00:21:25.752 --> 00:21:27.072]  Will it make your children sick?
[00:21:27.312 --> 00:21:32.356]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:21:32.536 --> 00:21:35.759]  You wipe out all these problems if you have a good food supply.
[00:21:36.139 --> 00:21:39.642]  Food is your ammunition to fight for your freedom and your life.
