[00:00:10.435 --> 00:00:10.695]  R-Charge.com.
[00:04:26.439 --> 00:04:31.643]  In the Netherlands and the United States both plan to boycott this week's UN conference on racism.
[00:04:32.210 --> 00:04:33.091]  Here's Mike Horder.
[00:04:33.111 --> 00:04:36.033]  Some fear it'll wind up being a heated debate on Israel.
[00:04:36.073 --> 00:04:38.434]  Pope Benedict today praised the conference.
[00:04:38.454 --> 00:04:43.317]  Today marks the 14th anniversary of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.
[00:04:58.303 --> 00:05:06.987]  The Community's National Memorial and Museum brought together survivors, family members, and rescuers for a program called First Person Stories of Hope.
[00:05:07.928 --> 00:05:11.109]  One of the bombing survivors reflects on her experience.
[00:05:11.870 --> 00:05:12.930]  Here's Sophia Manos.
[00:05:13.270 --> 00:05:19.494]  The woman suffered a punctured jugular vein that required 1,000 stitches and staples to close.
[00:05:19.674 --> 00:05:21.314]  Her response 14 years later?
[00:05:21.334 --> 00:05:22.175]  Her words.
[00:05:22.921 --> 00:05:25.503]  When you get kicked in the teeth, you just don't lie there.
[00:05:25.944 --> 00:05:28.526]  You get up and make the most of what you have.
[00:05:28.886 --> 00:05:32.549]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.810 --> 00:05:40.356]  Did you know that the new energy czar wants to control how much power your electrical company allows you to have?
[00:05:40.676 --> 00:05:41.296]  It's true.
[00:05:41.617 --> 00:05:46.821]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:47.201 --> 00:05:48.582]  Not if, but when.
[00:05:51.186 --> 00:05:54.528]  Don't you folks know that I got my solar backup generator hooked up and running?
[00:05:54.728 --> 00:05:56.349]  To tell you the truth, it's awesome!
[00:05:56.529 --> 00:06:01.772]  Not only was it easy to install, but it's powering my fridge, lights, TV, and shortwave radio.
[00:06:02.532 --> 00:06:05.073]  I now know that I'm one step closer to getting off the grid.
[00:06:05.373 --> 00:06:06.174]  Thanks for all your help!
[00:06:06.534 --> 00:06:13.820]  This generator is solar powered, complete with battery backup, has no moving parts to wear out or break, and requires no gas.
[00:06:13.980 --> 00:06:17.703]  Don't wait for the Energy Czar to cut your power or raise your rates.
[00:06:17.963 --> 00:06:20.185]  Produce your own electricity for free.
[00:06:20.425 --> 00:06:22.467]  Go to MySolarBackup.com.
[00:06:22.687 --> 00:06:24.989]  That's MySolarBackup.com.
[00:06:25.249 --> 00:06:25.730]  Or call 877-327-0365.
[00:06:25.750 --> 00:06:25.790]  877-327-0365.
[00:06:34.037 --> 00:06:40.086]  Prepare yourself for a talk radio experience like no other.
[00:06:40.326 --> 00:06:42.249]  Strap yourselves in and hold on.
[00:06:43.354 --> 00:06:45.555]  He stands for truth.
[00:06:46.156 --> 00:06:48.437]  He stands for justice.
[00:06:48.537 --> 00:06:51.418]  He stands for what's right.
[00:06:51.438 --> 00:06:54.780]  This is the Alex Jones Show.
[00:06:55.100 --> 00:06:58.082]  Call Alex now, toll free at 877-590-5525.
[00:06:58.362 --> 00:07:05.766]  Now live from Austin, Texas, here's Alex Jones.
[00:07:14.743 --> 00:07:16.891]  It is Patriots Day 2009, April 19th.
[00:07:22.450 --> 00:07:33.400]  It was 16 years ago, hard to believe, 16 years ago that the Feds, the Delta Force, this is congressional testimony, went in and machine-gunned all the Davidians as they tried to enter out the back of the building.
[00:07:34.081 --> 00:07:38.164]  After the Feds set the place on fire, they were going to show them who was boss.
[00:07:38.385 --> 00:07:43.789]  The BATF, 51 days earlier, had pulled up, opened fire on the wooden church, killed a bunch of people.
[00:07:44.290 --> 00:07:45.411]  The Davidians fought back.
[00:07:45.431 --> 00:07:48.574]  The BATF cowardly held their hands up and
[00:07:49.571 --> 00:07:56.474]  Begged for mercy, the Davidians let them leave, and of course, then the children, women and men, were all slaughtered with extreme pleasure.
[00:07:57.134 --> 00:07:59.195]  And that's how the New World Order rolls.
[00:08:01.415 --> 00:08:18.762]  And then two years later, the WACO had ignited such an anti-New World Order movement that the feds bombed their own federal building, and I've interviewed the police, the investigators, it's come out in declassified FBI documents, it's been in major news that that was a government black op.
[00:08:19.699 --> 00:08:25.561]  You can go to Infowars.com and Google search Oklahoma City FBI documents if you'd like to read it.
[00:08:25.861 --> 00:08:38.004]  It's been in the Associated Press, been in major newspapers where it broke in Salt Lake City when the judge in a case by a lawyer investigating it ordered the documents released.
[00:08:38.725 --> 00:08:40.945]  It's all right there for you.
[00:08:40.985 --> 00:08:46.307]  McVeigh, a black op officer, set up by his own people and then drugged
[00:08:47.014 --> 00:08:51.918]  Throughout the trial in Denver and then executed quietly in Terre Haute, Indiana.
[00:08:52.618 --> 00:08:55.020]  But I'm not going to digress and get into that today.
[00:08:57.022 --> 00:09:03.907]  What we are going to cover, ladies and gentlemen, is the cold hard facts of what's happening to our society and the predatory elite that is taking over.
[00:09:05.248 --> 00:09:13.395]  Now, for the last 11 years, I've been in possession of secret federal training documents for federal police.
[00:09:15.248 --> 00:09:17.670]  State police now being federalized near local police.
[00:09:18.691 --> 00:09:30.640]  And about a month ago, five weeks ago, we broke the MIAC report, federally written, in Missouri, saying Ron Paul supporters, Libertarians, Bob Barr supporters, gun owners, are basically terrorists.
[00:09:31.940 --> 00:09:40.207]  And then we also broke the major news two weeks ago, that is now national news everywhere, about a week and a half ago to be technical.
[00:09:40.827 --> 00:09:44.610]  It's now major news everywhere, one of the biggest stories of the year so far,
[00:09:46.225 --> 00:09:52.529]  The federal report itself, one of many, actually written by George Bush's people, and then reissued by Barack Obama.
[00:09:53.949 --> 00:10:00.553]  We pointed that out in our articles, but when the national fake conservative media picked it up, they didn't want to tell you that.
[00:10:00.573 --> 00:10:01.954]  They wanted to make it a left-right issue.
[00:10:02.014 --> 00:10:04.195]  Now, it's not a left-right issue.
[00:10:04.395 --> 00:10:08.997]  They list people that are for bike lanes as terrorists in training manuals.
[00:10:09.017 --> 00:10:11.179]  You can read at InfoWars.com.
[00:10:11.239 --> 00:10:13.480]  Anti-death penalty groups, peace groups,
[00:10:14.488 --> 00:10:27.172]  Environmental groups, anyone who basically can spell their name, anyone who can basically talk, hasn't had all their mercury injections and doesn't drink enough fluoride, anyone who can rub two brain cells together is listed as a threat to the government.
[00:10:27.613 --> 00:10:39.837]  But this newest one does say that the number one threat to homeland security and its main job is to deal with returning veterans, period, gun owners, people buying guns and ammo are terrorists.
[00:10:42.580 --> 00:10:43.761]  And so just remember that.
[00:10:44.441 --> 00:10:46.002]  That's how the establishment always acts.
[00:10:46.022 --> 00:10:53.247]  They pick a weird group, a kooky group, a group that they can get most of society to say, yeah, go ahead and burn down that church.
[00:10:53.887 --> 00:10:55.008]  They're a bunch of weirdos.
[00:10:55.688 --> 00:10:58.430]  And they were pretty weird, but most of the really bad stuff was lies.
[00:10:58.991 --> 00:11:02.733]  I've investigated it in depth up in Waco 16 years ago.
[00:11:02.753 --> 00:11:05.975]  And they torch those people.
[00:11:07.096 --> 00:11:08.397]  And they use it to set a precedent.
[00:11:08.597 --> 00:11:11.859]  You know, first, Hitler didn't start with the gypsies or the Jews or
[00:11:13.018 --> 00:11:14.239]  The 7th day Adventist.
[00:11:14.419 --> 00:11:16.441]  Hitler started with retarded children.
[00:11:17.462 --> 00:11:19.003]  Then mildly retarded children.
[00:11:19.023 --> 00:11:19.944]  They would euthanize them.
[00:11:20.725 --> 00:11:21.566]  Race hygiene.
[00:11:22.126 --> 00:11:23.347]  They used the psychiatric system.
[00:11:24.008 --> 00:11:27.711]  Then it was unpopular minorities like Jews and others.
[00:11:28.191 --> 00:11:33.036]  Just like they set up Homeland Security to quote deal with Muslim terrorists hiding under your bed.
[00:11:34.821 --> 00:11:38.562]  Now they admit the entire time it was being set up for the American people.
[00:11:38.802 --> 00:11:42.603]  Those that don't like 80% tax rates that the UN is calling for.
[00:11:43.163 --> 00:11:44.583]  Those that don't like open borders.
[00:11:44.623 --> 00:11:45.783]  Those that don't like police states.
[00:11:45.843 --> 00:11:52.965]  And now the Army Times, Northcom, the Army War College have announced their number one enemy is the American people.
[00:11:53.985 --> 00:11:59.766]  And they're going to use the military on the American people for gun confiscation and that's in all the government documents.
[00:12:01.311 --> 00:12:02.031]  And we list those.
[00:12:02.091 --> 00:12:04.632]  I've made films about those going back for 12 years.
[00:12:05.632 --> 00:12:06.773]  I don't know, 99, I guess.
[00:12:07.073 --> 00:12:08.313]  No, 97, 12 years.
[00:12:08.333 --> 00:12:09.073]  That's my first film.
[00:12:09.694 --> 00:12:10.394]  Made 12 years ago, 97.
[00:12:10.494 --> 00:12:12.254]  It's now 2009.
[00:12:14.035 --> 00:12:15.715]  So this is the facts.
[00:12:17.176 --> 00:12:20.297]  Now, I make this point quite often because it's so important.
[00:12:20.817 --> 00:12:26.799]  Throughout history, throughout time immemorial, tyranny is the norm.
[00:12:26.879 --> 00:12:28.639]  It is the ether in which humanity swims.
[00:12:29.120 --> 00:12:30.460]  Oppression, disarmament,
[00:12:30.842 --> 00:12:31.622]  Enslavement.
[00:12:32.583 --> 00:12:37.525]  Having economies that are totally imploded, because the elites do that by design.
[00:12:39.546 --> 00:12:43.488]  And that's how we've known what was going to happen in the future, because we're reading the UN documents.
[00:12:43.908 --> 00:12:45.689]  The Council on Foreign Relations documents.
[00:12:46.049 --> 00:12:47.650]  The Trilateral Commission documents.
[00:12:48.050 --> 00:12:49.430]  The books written by these people.
[00:12:50.311 --> 00:12:59.275]  And I've written countless articles, and had my writers write countless articles, and linked to countless editorials written by these people, where they tell you exactly what they're going to do.
[00:13:01.405 --> 00:13:18.129]  The head of the Council on Foreign Relations, the true government of the United States, in 2007 republished an article in the Council on Foreign Relations, Richard N. Haas did, that he had written in the early 1990s for the Club of Rome.
[00:13:19.850 --> 00:13:27.772]  And in that document he states that the environmental movement is completely phony, it's a new religion,
[00:13:28.467 --> 00:13:31.488]  He's very atheistic and makes fun of people and says they need a new religion.
[00:13:31.828 --> 00:13:32.649]  We'll give them one.
[00:13:33.209 --> 00:13:34.849]  Now, there are certainly real environmental problems.
[00:13:34.889 --> 00:13:36.430]  Don't get that confused.
[00:13:36.750 --> 00:13:55.057]  They're saying they'll hijack the movement, create a carbon tax on the entire carbon cycle between plants and animals on Terra Firma, this planet, and that they would then regulate and control every facet of Western society and shut down every factory and business.
[00:13:55.837 --> 00:13:56.077]  Why?
[00:13:56.932 --> 00:13:58.653]  Because they don't like you owning guns.
[00:13:58.673 --> 00:14:00.133]  They don't like your pension funds.
[00:14:00.714 --> 00:14:01.914]  They see you as spoiled.
[00:14:02.374 --> 00:14:06.756]  Their job is to bankrupt you so you live like they do in Mexico or North Korea.
[00:14:06.796 --> 00:14:07.777]  This is all stated.
[00:14:10.438 --> 00:14:15.520]  And so, China, India, all these other nations, they have to make zero carbon cuts.
[00:14:15.580 --> 00:14:16.741]  The United States does.
[00:14:17.421 --> 00:14:18.001]  England does.
[00:14:18.081 --> 00:14:21.022]  Germany, France, Belgium, Holland, the Netherlands.
[00:14:24.084 --> 00:14:24.484]  Japan.
[00:14:26.047 --> 00:14:30.451]  This will leverage all production to third-world police states the global authority control.
[00:14:32.112 --> 00:14:42.560]  China signed IMF World Bank agreements for one-child policies under State Department memorandum 200, which you'd like to read, State Department memorandum 200, declassified in 1992, written in 1973.
[00:14:42.720 --> 00:14:55.050]  Now they're setting up a worldwide control grid to restrict your access to energy, to jobs, to make you feudal serfs so they can force a one-child policy on you.
[00:14:56.405 --> 00:14:59.166]  So you're totally at the will of the government?
[00:14:59.946 --> 00:15:02.767]  Why don't you read State Department Random 200?
[00:15:04.688 --> 00:15:09.649]  Why don't you Google it now instead of sucking your thumb and watching sports this evening?
[00:15:10.689 --> 00:15:11.910]  Do you like being conned?
[00:15:12.150 --> 00:15:13.250]  Do you like being lied to?
[00:15:13.270 --> 00:15:15.571]  Do you like losing your entire future?
[00:15:18.032 --> 00:15:23.453]  If you want any future for yourself, and we always said in the past, for your children, you're not going to have to wait.
[00:15:23.513 --> 00:15:24.794]  Maybe you don't care about your children.
[00:15:25.074 --> 00:15:26.294]  Do you care about yourself?
[00:15:28.054 --> 00:15:28.774]  They have done it.
[00:15:28.974 --> 00:15:31.555]  EPA takes first step towards climate change.
[00:15:31.595 --> 00:15:32.795]  That's the AP headline.
[00:15:32.835 --> 00:15:36.016]  And then you read, it will be hundreds of new taxes, bare minimum.
[00:15:36.596 --> 00:15:41.777]  Already in Oregon, New York, California, they're banning fireplaces and permits for new homes.
[00:15:42.237 --> 00:15:44.718]  They're banning space heaters and fireplaces in Europe.
[00:15:45.586 --> 00:15:48.347]  Total control over every facet of your life.
[00:15:51.307 --> 00:15:52.347]  There's another headline.
[00:15:52.467 --> 00:15:58.728]  Waxman won't compromise on 20% carbon cap and climate measure.
[00:15:58.748 --> 00:16:04.409]  Do you know what a 20% cut in our greenhouse gas emissions will mean?
[00:16:04.429 --> 00:16:08.010]  Do you have any idea the level of that tax?
[00:16:08.710 --> 00:16:13.051]  House Energy and Commerce Committee Chairman Henry Waxman said he won't compromise
[00:16:15.163 --> 00:16:22.955]  On his proposed 20% reduction in greenhouse gases over the next decade, in the face of criticism from lawmakers who say the economy could suffer.
[00:16:23.436 --> 00:16:26.581]  Have another article where they're going to put a carbon tax on all your cars.
[00:16:27.102 --> 00:16:29.906]  And they're going to fund all of their other programs.
[00:16:30.717 --> 00:16:31.957]  The death camps are built.
[00:16:32.077 --> 00:16:32.798]  We'll be right back.
[00:16:33.278 --> 00:16:34.738]  Jim Newcomer from Midas Resources.
[00:16:34.998 --> 00:16:35.178]  April 17, 2009.
[00:16:35.238 --> 00:16:36.279]  Gold opened this morning at $8.7230.
[00:16:36.319 --> 00:16:39.200]  A one ounce gold coin can be purchased for $8.9791, $4.4895 for a half ounce, and $2.2448 for the quarter ounce.
[00:16:39.240 --> 00:16:39.360]  That's $8.9791.
[00:16:48.263 --> 00:16:48.824]  448.95 and 224.48.
[00:16:51.087 --> 00:16:56.816]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:16:56.896 --> 00:17:00.561]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:17:00.641 --> 00:17:01.563]  Bad news for U.S.
[00:17:01.623 --> 00:17:02.084]  currency.
[00:17:02.244 --> 00:17:03.646]  Trading equals permanent loss.
[00:17:03.926 --> 00:17:05.547]  Call 800-686-2237 for Corsi's report today!
[00:17:33.872 --> 00:17:39.359]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:17:39.399 --> 00:17:39.920]  and the world.
[00:17:40.180 --> 00:17:43.665]  And for the first time in their lives, they are feeling the need for preparedness.
[00:17:44.045 --> 00:17:49.812]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:17:50.213 --> 00:17:50.793]  We're good to go.
[00:18:11.306 --> 00:18:13.307]  Many companies do not even offer a catalog.
[00:18:13.467 --> 00:18:16.849]  We will be more than happy to send a catalog to you, free of charge.
[00:18:17.169 --> 00:18:17.469]  Dial 1-800-453-2202.
[00:18:17.489 --> 00:18:17.549]  1-800-453-2202.
[00:18:17.569 --> 00:18:18.850]  Or visit our website at readyreservefoods.com.
[00:18:18.870 --> 00:18:21.231]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:18:21.271 --> 00:18:21.631]  Call us at 1-800-453-2202.
[00:18:33.817 --> 00:18:36.200]  Are you concerned for the safety of your loved ones?
[00:18:36.480 --> 00:18:39.664]  Listen closely to this message from Pepperspray.com.
[00:18:40.125 --> 00:18:42.969]  Every 22 seconds a violent crime is committed.
[00:18:43.269 --> 00:18:47.395]  America has changed and your personal safety is your first priority.
[00:18:47.695 --> 00:18:48.256]  Be smart.
[00:18:48.496 --> 00:18:49.117]  Be safe.
[00:18:49.457 --> 00:18:51.819]  Trust Pepper Spray instead of your luck.
[00:18:52.060 --> 00:18:58.346]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:18:58.646 --> 00:19:04.412]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:19:04.652 --> 00:19:07.075]  From big to small, we have it all.
[00:19:07.335 --> 00:19:09.377]  Pepper Spray, mace, animal repellent,
[00:19:09.377 --> 00:19:11.698]  I was drinking more than I should and I knew it.
[00:19:36.946 --> 00:19:41.447]  I just made excuses and wrote it off as stress from work or problems at home.
[00:19:42.087 --> 00:19:43.147]  I thought I was functional.
[00:19:43.607 --> 00:19:47.608]  But then I realized that just being functional wasn't any kind of life at all.
[00:19:48.148 --> 00:19:52.489]  That's when I heard about a free CD from the National Institute for Alcohol Recovery.
[00:19:53.009 --> 00:19:57.350]  Turns out it's different from anything else out there, including 12-step or hypnosis.
[00:19:57.890 --> 00:20:01.511]  It's based on the latest research and it really turned things around for me.
[00:20:02.271 --> 00:20:08.214]  This free alcohol recovery CD tells you about everything you need to succeed in the privacy of your own home.
[00:20:08.554 --> 00:20:09.434]  We guarantee it.
[00:20:09.834 --> 00:20:17.678]  We are so sure of your success with our alcohol recovery program that if you can find a better home recovery program anywhere, we'll pay for it.
[00:20:18.018 --> 00:20:19.980]  So you have absolutely nothing to lose.
[00:20:20.360 --> 00:20:21.721]  For a free CD, call 1-800-309-0958.
[00:20:21.741 --> 00:20:22.102]  That's 1-800-309-0958.
[00:20:22.122 --> 00:20:22.182]  1-800-309-0958.
[00:20:22.202 --> 00:20:22.922]  The GCN Radio Network.
[00:20:22.962 --> 00:20:25.485]  Providing the world with hard-hitting talk radio.
[00:20:25.645 --> 00:20:25.745]  GCN.
[00:20:25.805 --> 00:20:26.886]  Great talk radio starts here.
[00:20:54.651 --> 00:20:56.612]  Welcome back, ladies and gentlemen.
[00:20:57.033 --> 00:20:59.414]  By the way, I've got to get a better handle on all my affiliates.
[00:20:59.434 --> 00:21:02.176]  They told me earlier this week we had two new affiliates for the Sunday Show.
[00:21:02.957 --> 00:21:13.944]  One is in Miami, and the other in Washington State, and I just totally forgot to keep that piece of paper and plug them, but I'll be sure and do it next week.
[00:21:14.522 --> 00:21:16.323]  A lot of new stations picking up the weekday show.
[00:21:16.343 --> 00:21:18.964]  A lot of new stations picking up the Sunday broadcast.
[00:21:18.984 --> 00:21:20.185]  We're very, very thankful for that.
[00:21:20.685 --> 00:21:22.846]  Your calls are coming up at 877-590-5525.
[00:21:22.866 --> 00:21:29.949]  877-590-5525 will get you up and on the air.
[00:21:29.969 --> 00:21:32.650]  All right, here are my stacks of news.
[00:21:32.791 --> 00:21:35.832]  EPA takes first step towards climate change regs.
[00:21:36.692 --> 00:21:39.494]  Translate that into hundreds of taxes on every facet of your life.
[00:21:39.514 --> 00:21:40.834]  And they admit that deeper in the article.
[00:21:41.615 --> 00:21:41.995]  But still,
[00:21:43.046 --> 00:21:45.568]  You know, you tell the public, these are taxes, and they go, really?
[00:21:47.289 --> 00:21:49.930]  And then you find out it's all a complete and total fraud.
[00:21:49.950 --> 00:21:55.314]  You know, now that that's been proven, the Earth's just started cooling the last two years, since the sun cooled off.
[00:21:56.314 --> 00:21:57.455]  It goes through a 12-year cycle.
[00:21:57.475 --> 00:21:59.616]  So then they're saying, oh, climate change!
[00:22:00.097 --> 00:22:07.761]  Pretty soon they'll go, Mommy, Grandpa says that there used to be something called seasons, and it got hot and cold.
[00:22:08.702 --> 00:22:10.563]  No, honey, he's a conspiracy theorist.
[00:22:11.226 --> 00:22:12.567]  Grandpa's with Al-Qaeda.
[00:22:12.827 --> 00:22:14.968]  That's why they took him away for re-education.
[00:22:15.488 --> 00:22:16.408]  Good grandma!
[00:22:16.909 --> 00:22:20.050]  I heard people that claim that we used to have seasons were evil.
[00:22:22.251 --> 00:22:24.152]  By the way, they now admit they're chemtrailing us.
[00:22:24.172 --> 00:22:29.394]  The White House has come out and said, oh yeah, we're doing tests spraying the atmosphere to save you from global warming.
[00:22:29.594 --> 00:22:30.515]  Folks, they've been doing it since 1996.
[00:22:30.735 --> 00:22:33.936]  The guy won a Nobel Prize for it in 92.
[00:22:34.977 --> 00:22:39.399]  Said they'd mix chemicals with jet fuel, perfect compartmentalization, spray the atmosphere.
[00:22:40.339 --> 00:22:41.239]  And they're doing it now.
[00:22:41.259 --> 00:22:42.260]  AP last week.
[00:22:42.520 --> 00:22:44.381]  Oh yeah, we're gonna spray ya.
[00:22:45.041 --> 00:22:46.561]  We're gonna terraform the planet.
[00:22:47.422 --> 00:22:50.823]  Mommy, Grandpa says there used to be seasons on the planet.
[00:22:52.023 --> 00:22:53.324]  Honey, don't listen to Grandpa.
[00:22:53.784 --> 00:22:54.684]  He's a terrorist.
[00:22:55.125 --> 00:22:57.225]  That's why the men in black uniforms took him away.
[00:22:58.286 --> 00:23:00.907]  There really wasn't seasons once?
[00:23:01.807 --> 00:23:03.328]  Mommy, Grandpa's a liar?
[00:23:03.708 --> 00:23:04.808]  Yes, he's a liar.
[00:23:04.848 --> 00:23:06.309]  Now drink your mercury shake.
[00:23:08.109 --> 00:23:09.610]  Mommy, kids didn't used to
[00:23:10.842 --> 00:23:12.263]  Used to have to be in wheelchairs?
[00:23:12.303 --> 00:23:13.603]  They used to be able to walk?
[00:23:15.524 --> 00:23:21.566]  Because, Mommy, I'm 19, and... I... I have a... I can hardly talk.
[00:23:22.247 --> 00:23:22.567]  No.
[00:23:23.427 --> 00:23:26.828]  Geniuses like you have always had a 76 IQ.
[00:23:27.749 --> 00:23:29.289]  Mommy, could I have more mercury?
[00:23:29.790 --> 00:23:30.570]  Yes, honey.
[00:23:33.611 --> 00:23:35.532]  Oh, I can't handle it anymore, ladies and gentlemen.
[00:23:42.623 --> 00:23:45.005]  EPA takes first step towards climate change.
[00:23:45.506 --> 00:23:46.867]  Again, we've got another report here.
[00:23:48.108 --> 00:23:51.811]  New pollution limits seen for cars and big plants.
[00:23:52.452 --> 00:23:53.893]  They're going to make you have a hybrid.
[00:23:54.774 --> 00:24:00.799]  You know, they keep lying on the news going, this car goes 200 miles an hour on one gallon of gas.
[00:24:00.859 --> 00:24:04.142]  And then they try to do a test and the thing goes five miles and breaks down.
[00:24:04.162 --> 00:24:05.764]  It's a complete lie.
[00:24:08.428 --> 00:24:09.209]  Oh my goodness.
[00:24:09.249 --> 00:24:18.096]  But regardless, they keep mixing in their land grabbing agenda and their taxes on every form of carbon dioxide that plants breathe.
[00:24:19.657 --> 00:24:24.240]  They keep mixing that in with new energy and new technologies and all these good things.
[00:24:25.842 --> 00:24:26.802]  All it is is taxes.
