[00:00:00.109 --> 00:00:01.711]  You know, Ron Paul grills Ben Bernanke.
[00:04:25.277 --> 00:04:28.720]  Nobel laureates have come out and said they're putting HIV in different
[00:04:29.560 --> 00:04:38.263]  Hepatitis C vaccinations in Africa, they were caught doing that in New York, accidentally, you know, having it in the hepatitis shots for gay men, because they would have a lot of sexual partners.
[00:04:38.283 --> 00:04:41.404]  We have perfect vector to spread it in the late 70s, early 80s.
[00:04:42.004 --> 00:04:52.828]  And so here he is today, set up a week ago, right when this avian flu being mixed in with a regular vaccine, news is breaking, and they're trying to find out where it was shipped, what was done.
[00:04:52.848 --> 00:04:57.830]  A week ago, this internally broke, as companies were demanding to find out why this happened.
[00:04:58.610 --> 00:04:59.891]  The company was stonewalling.
[00:05:00.151 --> 00:05:01.912]  We're still trying to find out the tales right now.
[00:05:01.952 --> 00:05:03.772]  This is a very serious issue.
[00:05:03.792 --> 00:05:08.294]  We need to address this as serious, because we know what these globalists are all about in eugenics.
[00:05:08.354 --> 00:05:10.635]  So, Marcus Williams, good to have you on with us, sir.
[00:05:11.256 --> 00:05:12.296]  How you doing, Al?
[00:05:12.316 --> 00:05:12.876]  Good to be with you.
[00:05:13.357 --> 00:05:13.557]  Good.
[00:05:13.597 --> 00:05:15.758]  What do you think of this latest report?
[00:05:16.158 --> 00:05:26.202]  This is exactly what you brought up that you wanted to discuss a week ago on the show, was what you called meta-sin, as in a sin.
[00:05:26.422 --> 00:05:27.803]  Interesting timing to have you on today.
[00:05:28.649 --> 00:05:31.610]  Yeah, that's actually a book written by Dr. Scott Whittaker.
[00:05:32.070 --> 00:05:32.210]  Yes.
[00:05:32.230 --> 00:05:34.711]  So I hope that you have on your show real soon.
[00:05:35.451 --> 00:05:44.113]  And he's been speaking out of the things as far as the whole eugenics, vaccines, lots of that you cover on your show all the time.
[00:05:44.194 --> 00:05:52.596]  And I think it's going to be a real good interview to have on your show, hopefully real soon, to go more in detail with somebody who's a little bit more specialized into the whole
[00:05:53.191 --> 00:05:55.672]  vaccines, the whole medical field, versus myself.
[00:05:55.952 --> 00:06:01.195]  Yes, we're setting up, Dr. Scott Whitaker, we're also setting up, Professor Griff, thanks to you.
[00:06:01.255 --> 00:06:20.464]  Now, specifically though, I mean, you know, you have a bookstore, you've read these books, you've covered it, you've seen it, more and more it comes out, this has been done in Africa, some countries in Africa, 40% have HIV, they do medical tests, these women have never even had sex in many cases, even the BBC admits that somebody is basically giving them the HIV.
[00:06:21.556 --> 00:06:26.040]  Right, and even go back with the whole Tsitsigi syphilis experiment.
[00:06:27.021 --> 00:06:38.770]  I mean, it's been throughout long periods of time and years where we've seen the government and certain pharmaceutical companies doing experiments on the people through drugs, experimentation and stuff like that.
[00:06:38.790 --> 00:06:40.992]  It's been going on in Africa for a long period of time.
[00:06:41.693 --> 00:06:47.778]  So we've even seen Obama increase the funding for Planned Parenthood and other HIV
[00:06:49.876 --> 00:06:54.740]  Uh, treatment, uh, condoms and everything in Africa has been boosted up underneath his, uh, his administration.
[00:06:54.820 --> 00:07:01.464]  So, but the main reason why I wanted to come on your show was that, um, uh, you called because you saw my interview with a professor Griff.
[00:07:02.085 --> 00:07:11.631]  And I think that a lot of times the media, a lot of people are under the impression, like the vast majority of black people are just sold on Barack Obama, which is very far from the truth.
[00:07:12.712 --> 00:07:15.574]  There's a large number of people in the African American community.
[00:07:16.243 --> 00:07:19.484]  Who do not support Obama, even during the primaries.
[00:07:19.544 --> 00:07:22.105]  I mean, myself, I was a Ron Paul supporter.
[00:07:23.006 --> 00:07:29.348]  I was disappointed that he didn't go on the independent ticket or maybe go on the Constitution Party ticket.
[00:07:29.368 --> 00:07:33.210]  So since he didn't run, I voted for Stimpy McKinney.
[00:07:33.710 --> 00:07:34.451]  Yes.
[00:07:34.831 --> 00:07:42.534]  But I think that a lot of people, though, I think, just like when I heard you interview Paul Craig Roberts, I think when you said that he had voted, supported Obama,
[00:07:43.617 --> 00:07:52.903]  I just think that Obama's voting record and who financed his campaign was open to the public many, many months before the election.
[00:07:53.623 --> 00:08:00.287]  And I never, within the black community, let's say just outside of Illinois and Chicago, Barack Obama was a nobody.
[00:08:01.047 --> 00:08:07.271]  I never heard of Barack Obama until the 2004 Democratic Convention when he gave a speech and a lot of people know
[00:08:08.649 --> 00:08:12.492]  Talk about Obama giving this great speech, and then when I watched it, I really didn't see anything of substance.
[00:08:12.532 --> 00:08:16.074]  I saw a good act, but I didn't hear any substance.
[00:08:16.134 --> 00:08:27.021]  So, I checked the guy's voting record, and looked at who financed his campaign, and I'm thinking that this is not somebody I think that the people should be endorsing.
[00:08:27.962 --> 00:08:37.328]  And so, after digging into his record on the Patriot Act, funding the war, refusing to investigate Bush on any war crimes, FISA, NAFTA,
[00:08:37.782 --> 00:08:59.297]  We saw during the primaries, the Democratic primaries, uh, Barack Obama's economic advisor, one of them, uh, Alan Goosby, who's a member of Skull and Bones, said that, uh, I think it was the Canadian consulate that a lot of the rhetoric that Obama was saying about NAFTA during the Democratic Ohio primaries was just a bunch of talk and that he really didn't mean what he was saying.
[00:08:59.377 --> 00:09:06.302]  So, um, I just think that, you know, I think a lot of people that they really have to get over, get off of the whole,
[00:09:06.869 --> 00:09:07.590]  American Idol
[00:09:19.935 --> 00:09:23.197]  They don't really want to dig deep into the issues.
[00:09:23.277 --> 00:09:24.737]  They get on a bandwagon.
[00:09:24.797 --> 00:09:26.178]  Things were bad under Bush.
[00:09:26.198 --> 00:09:27.239]  The economy's imploding.
[00:09:27.279 --> 00:09:37.984]  We want to believe that this is really a good guy and he's going to fix things, but he's even gone on the show with Stephanopoulos, the Sunday show, and now said, yeah, that was campaign rhetoric on Naftali Gaddin.
[00:09:38.064 --> 00:09:40.826]  I mean, it's just an incredible betrayal.
[00:09:41.086 --> 00:09:49.430]  Do you think that the folks in Atlanta that you talk to, black or white, are they starting to break the spell, or are they still just as deep in that spell?
[00:09:50.293 --> 00:10:19.780]  I think a large portion of them are still deep in that spell, but I think over time it goes on that more and more of them are going to wake up and realize that Barack Obama was one of the biggest political frauds in recent memory, because with him adding more troops to Afghanistan, which was no secret, prior to him being elected, but we still saw a lot of people within the so-called anti-war movement, like Code Pink and others, you know, support Obama, but I think over time once they see that Obama really has no agenda to really fix the economy,
[00:10:20.775 --> 00:10:24.718]  Remove the troops from the war, really bring jobs into this country.
[00:10:25.098 --> 00:10:30.042]  I think a lot of the hype and stuff is going to... I think it's going to be fade away before the end of the year, easily.
[00:10:30.526 --> 00:10:39.492]  That's right, now he's going out to big black groups and others, but specifically going and speaking to big black conferences and saying, hey, you're going to lose your jobs, particularly black folks.
[00:10:39.512 --> 00:10:41.013]  This is going to be really tough now.
[00:10:41.394 --> 00:10:42.795]  That's basically the change.
[00:10:43.395 --> 00:10:44.456]  And they're saying, what?
[00:10:44.536 --> 00:10:47.978]  Because he promised us milk and honey and hope and change, everything was going to be all right.
[00:10:48.298 --> 00:10:55.984]  And then he just switched right into the fear of what Bush had done, saying, look, do what we say with the banks or a crisis will turn into a catastrophe.
[00:10:56.784 --> 00:11:03.247]  And he's now even cutting subsidies, and I'm not for socialism because it makes you dependent, but they're done making us dependent now.
[00:11:03.588 --> 00:11:07.570]  He's cutting a bunch of subsidies actually to the people, and it's all going to the banks.
[00:11:08.050 --> 00:11:10.311]  I mean, the bankers are just gorging everything.
[00:11:11.051 --> 00:11:11.992]  Right, you're absolutely right.
[00:11:12.032 --> 00:11:25.679]  With the bailout thing back in October, a large portion of the Congressional Black Caucus voted against the bailout during the first vote within the House of Representatives, and it was Barack Obama who got on the phone
[00:11:26.420 --> 00:11:32.746]  Well, and on top of it, it doesn't matter what color he is, whether he's from Africa, or from China, or from Russia,
[00:11:52.697 --> 00:11:59.381]  But it is really a lie to say that he's, you know, a black guy because his dad was mainly Arab and his mom was white.
[00:11:59.801 --> 00:12:01.823]  And so there's a lot of fraud, you know, there as well.
[00:12:01.843 --> 00:12:03.504]  It's just the guy is a complete phony.
[00:12:04.084 --> 00:12:05.585]  Stay with us, Mr. Williams.
[00:12:06.986 --> 00:12:13.370]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:12:13.750 --> 00:12:15.411]  The enemy struck America on September 11th.
[00:12:16.385 --> 00:12:17.405]  But who is the enemy?
[00:12:17.926 --> 00:12:18.426]  Bin Laden.
[00:12:18.726 --> 00:12:19.726]  This is his M.O.
[00:12:19.746 --> 00:12:21.067]  We have to look to the Middle East.
[00:12:21.087 --> 00:12:22.767]  We have to look to Osama Bin Laden.
[00:12:23.087 --> 00:12:29.830]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:12:30.230 --> 00:12:30.670]  Some U.S.
[00:12:30.710 --> 00:12:36.392]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:12:37.052 --> 00:12:40.555]  I'm aware that some Israeli citizens have been detained.
[00:12:40.575 --> 00:12:43.357]  Either you are with us, or you are with the terrorists.
[00:13:07.612 --> 00:13:11.775]  Hello, this is Peter Kronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[00:13:12.075 --> 00:13:24.022]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[00:13:24.423 --> 00:13:29.446]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[00:13:30.006 --> 00:13:31.467]  It's purchase of gold and silver.
[00:13:32.006 --> 00:13:38.033]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[00:13:38.673 --> 00:13:42.458]  It's up to you to design your survival plan, one based on gold and silver.
[00:13:42.998 --> 00:13:43.719]  Give me a call.
[00:13:43.779 --> 00:13:47.203]  I'm Peter Kronschnabel at 800-686-2237, extension 108, and allow me to outline an easy answer to your questions.
[00:13:52.526 --> 00:13:53.967]  That's Peter Kranschnabel at 1-800-686-2237 ext.
[00:13:53.987 --> 00:13:53.967]  108.
[00:13:54.007 --> 00:13:54.727]  Call Peter at 1-800-686-2237 ext.
[00:13:54.747 --> 00:13:56.408]  108, where you can still purchase gold with paper.
[00:14:06.929 --> 00:14:10.230]  The United States is bankrupt and the bankers want you bankrupt also.
[00:14:10.470 --> 00:14:12.830]  How would you like to be debt free in 90 days?
[00:14:12.950 --> 00:14:13.611]  Guaranteed!
[00:14:14.011 --> 00:14:20.652]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:14:20.932 --> 00:14:28.634]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:14:28.934 --> 00:14:29.335]  I think so.
[00:14:52.857 --> 00:14:53.438]  We're good to go.
[00:15:07.094 --> 00:15:08.956]  Heart disease is on the rise.
[00:15:09.076 --> 00:15:14.261]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:15:14.441 --> 00:15:15.762]  But the symptoms are there.
[00:15:16.043 --> 00:15:24.230]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:15:24.450 --> 00:15:30.176]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:15:30.336 --> 00:15:32.118]  My blood pressure has normalized.
[00:15:32.178 --> 00:15:34.340]  My diabetes has totally improved.
[00:15:34.360 --> 00:15:38.725]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:15:38.905 --> 00:15:41.027]  I recommend Heart and Body Extract to everyone.
[00:15:41.128 --> 00:15:48.996]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:15:49.076 --> 00:15:49.476]  We're good.
[00:16:16.016 --> 00:16:23.141]  You know, this Obama deception, this betrayal, is very sad to me because I want good relations between all human beings.
[00:16:24.422 --> 00:16:30.946]  I'm sick and tired of the elite playing people off against each other through tribalism, which is the modern term, racism.
[00:16:32.967 --> 00:16:34.749]  Divide and conquer, balkanization.
[00:16:35.649 --> 00:16:41.353]  But they plan, once people learn that Obama's betrayed people, they're already doing it.
[00:16:41.393 --> 00:16:43.494]  When people criticize Obama, they say it's racism.
[00:16:44.710 --> 00:16:49.394]  To actually drive a wedge through all of this, and now he is the face of imperialism.
[00:16:49.674 --> 00:16:59.421]  I like what Professor Griff said, and we put this in the Obama Deception, thanks to Marcus Williams, that he is the new black face of imperialism.
[00:16:59.441 --> 00:17:03.444]  We have that on the back cover, that tyranny gets a facelift.
[00:17:03.464 --> 00:17:07.287]  It's just a front, so that the people of the world feel like they're included in the new world order.
[00:17:07.307 --> 00:17:08.908]  That's what Webster Tarpley says in the film.
[00:17:10.710 --> 00:17:12.171]  Charis One says something similar.
[00:17:13.302 --> 00:17:16.464]  They said it here on the air, that they put a black face on the New World Order.
[00:17:17.104 --> 00:17:18.545]  Everybody was ready for revolution.
[00:17:18.805 --> 00:17:25.468]  They were standing up, they were angry, they were waking up to the globalists, and all of a sudden they put a black man up there, and now everybody's sitting back.
[00:17:25.869 --> 00:17:29.090]  Now everybody's going, okay, I'll stand down.
[00:17:29.951 --> 00:17:32.632]  Can you comment on those thoughts, Mr. Williams?
[00:17:33.773 --> 00:17:41.377]  Yeah, I think that in reference to... I mean, it's really been puzzling to me as far as
[00:17:42.233 --> 00:17:48.458]  Like, back in 2000, Barack Obama ran for Congress and lost to Bobby Rush by, I think, over, like, 25 to 30 points.
[00:17:49.459 --> 00:18:01.069]  And then to see this guy, within an eight-year period, raise just under a billion dollars in campaign finances, and then win the presidency, I mean, it's a movie script.
[00:18:01.950 --> 00:18:08.856]  I mean, it's just as funny as Nelson Mandela being locked up in jail for 27 years, and as soon as he gets out, he becomes president.
[00:18:09.608 --> 00:18:25.579]  I mean, it's the script behind the scenes that's going on, and I think that too many people, especially those within the African-American community, which I think are being brainwashed by a lot of, especially black media, who wouldn't even give Cynthia McKinney absolutely no play in the media.
[00:18:25.659 --> 00:18:37.448]  When you look at Cynthia McKinney's resume as far as calling for investigations on 9-11, investigating Bush impeachment, speaking out against NAFTA and other things, the war on drugs,
[00:18:38.163 --> 00:18:42.884]  She spoke out against the white slavery kidnapping going on by DynCorp and Halliburton.
[00:18:42.924 --> 00:18:48.125]  She spoke out on the trillions stolen by the Pentagon and they went after her because she is good.
[00:18:48.806 --> 00:19:07.610]  Right, and just to see how the media, I'm just talking about black media, black talk radio, commercial black talk radio like Steve Harvey, Michael Bayes and others give her absolutely no media play but they give Barack Obama basically free commercials, free play 24-7 brainwashing the people into
[00:19:08.328 --> 00:19:15.932]  Binding to somebody who has really absolutely no record, no history of really doing anything major within politics and within the black community.
[00:19:15.972 --> 00:19:26.417]  I mean, I always ask people all the time, those who support Obama during the election, name me one hot-button topic or issue where Barack Obama was on the right side.
[00:19:26.477 --> 00:19:33.381]  And a lot of people that look at me and they can't name that one issue where Barack Obama was standing on the right side of a hot-button issue.
[00:19:33.401 --> 00:19:35.762]  But we start with the bailout, FISA, the Patriot Act.
[00:19:38.233 --> 00:19:43.597]  Now he's backing Bush and continuing to not give detainees even Geneva Convention rights.
[00:19:43.958 --> 00:19:48.302]  He's keeping the secret camps open, talking about closing Guantanamo.
[00:19:48.462 --> 00:19:52.425]  And I go down the street and talk to Obama supporters, most people in Austin,
[00:19:53.186 --> 00:19:56.867]  And they even know who I am and know about the New World War, and they go, yeah, but we just got to get behind him.
[00:19:56.907 --> 00:19:58.448]  Come on, Alex, we got to give him a chance.
[00:19:58.748 --> 00:19:59.929]  He's not going to be perfect.
[00:20:00.389 --> 00:20:02.449]  And I'm like, look, it's a setup.
[00:20:02.550 --> 00:20:04.050]  He's a puppet just like Bush.
[00:20:04.130 --> 00:20:05.010]  Quit looking at the puppet.
[00:20:05.030 --> 00:20:06.291]  Look at the elites behind him.
[00:20:07.091 --> 00:20:08.252]  Things are only going to get worse.
[00:20:08.672 --> 00:20:10.472]  Why do you enjoy being suckers?
[00:20:10.933 --> 00:20:13.133]  Why do you love being suckers?
[00:20:13.494 --> 00:20:14.894]  Why do you love being conned?
[00:20:15.174 --> 00:20:16.975]  Why do you love being taken for a ride?
[00:20:18.262 --> 00:20:28.368]  I think the exact same thing where you see, I guess, within the white community as far as those people who know better but still, for whatever reason, choose to go with the Southerner, the two lesser, no, the lesser of two evils.
[00:20:28.888 --> 00:20:40.195]  Same thing within the black community, whereas a lot of people who know about the Trilateral Commission, the Council on Foreign Relations, everything, but yet they still would not support Symphony McKinney, but they would support Obama.
[00:20:40.215 --> 00:20:45.078]  I just heard, um, I think even in the primaries I heard, what's the guy's name, Mike Rivera from WhatReallyHappened.com.
[00:20:46.434 --> 00:20:47.014]  I don't think so.
[00:21:06.536 --> 00:21:06.996]  That's right.
[00:21:07.216 --> 00:21:08.477]  That's the best chance of winning.
[00:21:08.497 --> 00:21:10.537]  That's a real big problem across the board.
[00:21:10.877 --> 00:21:12.378]  People like to feel like they're the winner.
[00:21:12.778 --> 00:21:17.019]  And so as soon as it looks like a team's going to win the Super Bowl and the playoffs, they become fans.
[00:21:17.339 --> 00:21:19.259]  It's the bandwagon effect I talked about earlier.
[00:21:19.960 --> 00:21:21.000]  And it's like a horse race.
[00:21:21.280 --> 00:21:23.060]  That's the horse that's supposed to win.
[00:21:23.441 --> 00:21:24.521]  They want to bet on that horse.
[00:21:24.601 --> 00:21:26.001]  But who owns the track?
[00:21:26.521 --> 00:21:27.702]  Who owns the company?
[00:21:27.982 --> 00:21:29.362]  Who owns the whole racetrack?
[00:21:29.962 --> 00:21:30.162]  Right.
[00:21:30.723 --> 00:21:31.703]  Instead of just the horses.
[00:21:32.563 --> 00:21:36.024]  Yeah, my whole thing is that, you know, I can't compromise my values.
[00:21:41.503 --> 00:21:44.744]  I mean, I just can't compromise my values like that.
[00:21:45.204 --> 00:21:46.904]  Marcus Williams, stay there with us for the rest of the hour.
[00:21:46.924 --> 00:21:52.886]  I want to come back and take calls, get into a host of issues, and I want to plug your great bookstore for folks in the Georgia area and there in Atlanta.
[00:21:53.427 --> 00:21:53.887]  Stay with us.
[00:21:57.148 --> 00:21:58.048]  We're on the march.
[00:21:58.548 --> 00:22:00.149]  The Empire's on the run.
[00:22:01.089 --> 00:22:03.770]  Alex Jones and the GCN Radio Network.
[00:22:07.077 --> 00:22:12.761]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:22:13.021 --> 00:22:17.804]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:22:17.824 --> 00:22:23.027]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:22:23.247 --> 00:22:26.669]  This product is a one-of-a-kind in its strength and effectiveness.
[00:22:27.149 --> 00:22:35.336]  Using plasma pH drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[00:22:35.677 --> 00:22:41.061]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[00:22:41.482 --> 00:22:47.227]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[00:22:47.467 --> 00:22:49.789]  Disease organisms like bacteria and cancer
[00:22:50.349 --> 00:22:55.252]  On September 11th, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[00:22:55.292 --> 00:22:56.373]  And we knew what to do.
[00:22:56.413 --> 00:22:57.994]  Or at least we thought we did.
[00:22:58.014 --> 00:23:00.615]  Truth Rising is a breakthrough 9-11 film.
[00:23:19.022 --> 00:23:22.608]  That finally gives first responders a platform to tell their story.
[00:23:23.249 --> 00:23:31.763]  Whitman, EPA director on the 18th made a statement that the air was safe to breathe.
[00:23:32.150 --> 00:23:38.935]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:23:39.236 --> 00:23:42.298]  He had his hand over the radio while he was getting a countdown.
[00:23:42.398 --> 00:23:47.622]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:23:48.182 --> 00:23:50.825]  This is an emergency transmission worldwide.
[00:23:51.265 --> 00:23:57.830]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:24:00.947 --> 00:24:02.188]  That was the government-sponsored terror.
[00:24:02.588 --> 00:24:05.211]  They're going to commit more acts and bring in martial law.
[00:24:06.692 --> 00:24:16.780]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:24:17.261 --> 00:24:18.321]  Garden in a can.
[00:24:18.682 --> 00:24:22.245]  Garden in a can is your source for premium, long-term, storable seeds.
[00:24:22.825 --> 00:24:24.587]  Garden in a can is ready when you are.
[00:24:24.847 --> 00:24:27.129]  Plant them now or store them for when you really need them.
[00:24:27.589 --> 00:24:36.656]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:24:37.277 --> 00:24:38.278]  Garden in a can.
[00:24:38.698 --> 00:24:39.559]  It's that simple.
[00:24:39.899 --> 00:24:40.199]  Fresh.
[00:24:40.599 --> 00:24:40.980]  Healthy.
[00:24:41.460 --> 00:24:41.760]  Easy.
[00:24:42.301 --> 00:24:46.244]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:24:46.644 --> 00:24:47.525]  Ready when you are.
[00:24:48.189 --> 00:24:51.834]  Stop procrastinating and start preparing with Garden In A Can.
[00:24:52.275 --> 00:24:55.380]  For more details visit GardenInACan.com today.
[00:24:55.760 --> 00:24:58.284]  That's GardenInACan.com or call 866-598-7396.
[00:24:58.304 --> 00:24:58.344]  866-598-7396.
[00:25:37.569 --> 00:25:41.711]  We are going to go back to Mr. Williams here in a moment and take your phone calls.
[00:25:41.931 --> 00:25:44.412]  Then in the next hour I've got some banking clips.
[00:25:44.953 --> 00:25:47.094]  Finally Bernanke gets grilled like he should be.
[00:25:48.806 --> 00:25:50.847]  We'll be going over that.
[00:25:51.227 --> 00:26:03.230]  Before we go back to Marcus Williams, the Nubian Bookstore in Atlanta, Georgia, getting his perspective on Obama, the New World Order, the eugenics operations, and a lot more, I wanted to tell the listeners about some of the sponsors that make this radio show possible.
[00:26:03.550 --> 00:26:05.970]  Like a Cola Blue, and we've got one right here in the office.
[00:26:06.030 --> 00:26:09.471]  Speaking of the devil, my throat is parched.
[00:26:09.491 --> 00:26:10.952]  I forgot to get a glass of water during the break.
[00:26:10.992 --> 00:26:12.372]  They caught me out there with questions.
[00:26:12.952 --> 00:26:14.793]  Somebody give me a Cola Blue, delicious drink.
[00:26:15.213 --> 00:26:15.553]  Thank you.
[00:26:16.273 --> 00:26:17.674]  Atmospheric water generator for the home.
[00:26:17.714 --> 00:26:19.915]  Pays for itself in one year if you buy your water from the store.
[00:26:19.975 --> 00:26:21.276]  Pure, clean water without the fluoride.
[00:26:21.596 --> 00:26:23.517]  Goes through seven filters inside.
[00:26:23.537 --> 00:26:26.298]  7.5 gallons a day in the average humidity.
[00:26:26.338 --> 00:26:27.739]  No chemicals, pollutants, or toxins.
[00:26:28.099 --> 00:26:28.959]  Neutral pH.
[00:26:29.980 --> 00:26:31.941]  E-C-O-L-O blue dot com.
[00:26:32.321 --> 00:26:33.581]  Acola blue dot com.
[00:26:33.621 --> 00:26:35.582]  Banners up on Infowars dot com.
[00:26:35.622 --> 00:26:37.343]  Prisonplanet dot com if you forget the address.
[00:26:37.763 --> 00:26:37.883]  Or 800-691-6043.
[00:26:37.903 --> 00:26:37.944]  800-691-6043.
[00:26:43.426 --> 00:26:46.890]  Another one of our fine sponsors I want to tell you about is My Solar Backup.
