[00:00:09.119 --> 00:00:10.260]  Kissed a renegade.
[00:02:33.664 --> 00:02:36.147]  Devastating twisters in the Volunteer State.
[00:02:36.227 --> 00:02:40.132]  Tennessee authorities say two people are dead after a tornado slammed the city of Murfreesboro.
[00:02:40.172 --> 00:02:44.017]  The bodies of a mother and her nine-year-old baby were found outside their damaged home.
[00:02:44.357 --> 00:02:46.159]  This man says he lost everything.
[00:02:46.420 --> 00:02:47.040]  Completely gone.
[00:02:48.002 --> 00:02:48.642]  Everything gone.
[00:02:48.762 --> 00:02:50.525]  Everything we've worked for all of our life.
[00:02:51.207 --> 00:02:52.088]  I'm Dave Fusari.
[00:02:52.168 --> 00:02:57.952]  President Obama expressing his best wishes to those celebrating Easter during his weekly radio address.
[00:02:58.292 --> 00:03:10.502]  Then turning to the economy, Obama pointed out that his recent overseas trip to meet with G20 leaders was to ensure the world's largest economies launch strong and unified action to address financial hurdles.
[00:03:10.902 --> 00:03:19.729]  French agency claiming American cyclist Lance Armstrong violated anti-doping rules after a training session in France.
[00:03:20.189 --> 00:03:28.159]  The AFLD claims that he failed to quote meet the obligation to remain under direct observation of the person controlling the test.
[00:03:28.559 --> 00:03:31.503]  For the latest news analysis log on to IRNnews.com
[00:03:33.442 --> 00:03:37.085]  You could be financially independent and never have to worry about money again.
[00:03:37.105 --> 00:03:39.226]  Hi, how in the world are you anyway?
[00:03:39.286 --> 00:03:42.169]  This is Andy Willoughby speaking for the 3-Step Plan.
[00:03:42.469 --> 00:03:47.052]  The 3-Step Plan is a business system designed to help families start their own home-based business.
[00:03:47.232 --> 00:03:51.876]  If you like working with people with similar family values, you'll love the 3-Step Plan.
[00:03:52.016 --> 00:03:55.719]  For information, go to 3stepplan.com or call toll-free 800-393-6184 800-393-6184
[00:04:03.374 --> 00:04:08.799]  Some relief for sections of Oklahoma and Texas that have been ravaged by wildfires.
[00:04:09.160 --> 00:04:11.142]  Rain showers hitting the area Saturday.
[00:04:11.482 --> 00:04:15.266]  Fires destroying 200 structures over a 48-hour period.
[00:04:15.666 --> 00:04:19.950]  In addition, there have been more than 60 fire-related injuries and at least two people killed.
[00:04:20.371 --> 00:04:26.677]  Officials say at least one of the fires in Midwest City, Oklahoma appears to have been intentionally set.
[00:04:27.257 --> 00:04:36.982]  A new study says patients with severe heart failure can be bridged to a ventral transplant by a new smaller and lighter implantable heart pump.
[00:04:37.362 --> 00:04:44.146]  Washington University cardiologist Gregory Ewald explains what this device is and what it can do.
[00:04:44.906 --> 00:04:55.712]  The ventral assist LVAD is what we refer to as sort of a third generation assist device or pump that's attached to the failing heart.
[00:04:56.488 --> 00:05:01.971]  To really support someone until they can receive a heart transplant.
[00:05:02.131 --> 00:05:11.375]  Seems to be an adjustment in Arizona State University's decision not to confer an honorary degree on President Obama when he delivers the commencement address there May 13th.
[00:05:11.615 --> 00:05:15.477]  School causing a flap when it said it would not be giving Obama an honorary degree.
[00:05:15.937 --> 00:05:23.941]  University President Michael Crow has apologized for the quote confusion saying the entire community has been electrified with excitement.
[00:05:24.281 --> 00:05:26.787]  Since learning he would take parts in the ceremony.
[00:05:27.408 --> 00:05:31.297]  I'm Jason Walker, IRN USA Radio News.
[00:05:33.843 --> 00:05:39.064]  With our economy spiraling out of control, living in the soup kitchens may be right around the corner.
[00:05:39.364 --> 00:05:41.064]  No one saw the financial collapse of 1929.
[00:05:42.385 --> 00:05:47.926]  Many didn't make it, and millions ended up in soup lines, becoming vagrants, begging for food.
[00:05:48.606 --> 00:05:52.006]  Unlike 1929, we can see this collapse coming.
[00:05:52.247 --> 00:05:53.367]  We have been warned.
[00:05:53.547 --> 00:05:59.688]  And right now, we have a very small window of opportunity to get food storage into our homes before it's too late.
[00:06:00.568 --> 00:06:03.691]  Why is the Canadian government telling their citizens to stock up?
[00:06:03.751 --> 00:06:04.071]  Why?
[00:06:04.191 --> 00:06:07.994]  And why are soldiers calling home telling their families to get food storage?
[00:06:08.194 --> 00:06:09.555]  Supplies are running low.
[00:06:09.755 --> 00:06:16.079]  Having food storage today may be just as important to your family's survival as boarding the Ark was in the days of Noah.
[00:06:16.240 --> 00:06:16.800]  Order right now!
[00:06:16.820 --> 00:06:17.700]  He stands for truth.
[00:06:17.800 --> 00:06:19.101]  He stands for justice.
[00:06:46.397 --> 00:06:48.078]  He stands for what's right.
[00:06:48.838 --> 00:06:51.159]  This is the Alex Jones Show.
[00:06:52.120 --> 00:06:55.181]  Call Alex now, toll free at 877-590-5525.
[00:06:55.481 --> 00:06:59.143]  Now live from Austin, Texas, here's Alex Jones.
[00:07:10.303 --> 00:07:39.288]  We have, uh, someone who needs no introduction, hundreds of movies, international top TV shows and syndication, best-selling author, Chuck Norris is on with us, uh, from his ranch in Texas, gonna be simulcasting a national program today, trying to rediscover the Bill of Rights, the Constitution, and thousands of groups around the country will be meeting in solidarity over their concerns for our nation, uh, is the quote here.
[00:07:40.111 --> 00:07:41.392]  Well, first of all, you talk about Kickstart.
[00:07:41.412 --> 00:07:42.172]  Kickstart's a program.
[00:08:02.316 --> 00:08:02.816]  Well, I think
[00:08:18.388 --> 00:08:18.828]  I don't know.
[00:08:37.939 --> 00:08:45.567]  And that's why I started Kickstart, is to implement it into the public schools as part of their PE program.
[00:08:46.048 --> 00:08:47.209]  And so that's what I've done.
[00:08:47.249 --> 00:08:55.778]  I've got 43 schools in the state of Texas, middle schools, and 150 kids in each school, so we have about 6,000 kids in the program.
[00:08:56.539 --> 00:08:59.362]  60,000 kids have graduated from this program, Alex.
[00:08:59.742 --> 00:09:00.343]  I think so, yes.
[00:09:16.480 --> 00:09:17.641]  Well, the thing is, it turned my life around.
[00:09:40.436 --> 00:09:52.423]  I was pretty much an at-risk child growing up with just a mom and all the insecurities that I had because I didn't have a male role model to help me get on the right path of life.
[00:09:52.463 --> 00:09:56.466]  So I grew up very insecure and very shy and very non-athletic.
[00:09:56.486 --> 00:09:59.688]  A lot of people kind of laugh at that, but it's true.
[00:09:59.728 --> 00:10:01.549]  The martial arts really turned my whole life around.
[00:10:01.569 --> 00:10:03.270]  It gave me that inner strength.
[00:10:03.770 --> 00:10:04.290]  I don't know.
[00:10:21.511 --> 00:10:26.453]  And you condense a lot of what you've learned throughout life, health, patriotism, Bill of Rights, Constitution.
[00:10:26.473 --> 00:10:31.676]  You know, I published a book called Dissent and a Tyranny in 2002, and I ended it with the Bill of Rights and Constitution.
[00:10:32.836 --> 00:10:34.857]  And I just love seeing that that's how your book ended.
[00:10:35.638 --> 00:10:38.199]  Because I mean, I guess, you know, our brains think alike.
[00:10:38.299 --> 00:10:39.759]  That's what people need to get back to.
[00:10:39.779 --> 00:10:41.640]  That's true, Alex.
[00:10:41.680 --> 00:10:43.441]  You know, the thing is, that's why I put it in there.
[00:10:43.721 --> 00:10:44.882]  A lot of people don't know
[00:10:45.522 --> 00:10:55.109]  What's in the Constitution or the Bill of Rights or the Declaration of Independence and they really need to shore up on what is going on.
[00:10:55.490 --> 00:10:58.552]  And I'd like to get back to this fair tax concept just for a moment.
[00:10:58.772 --> 00:10:59.052]  Oh sure.
[00:10:59.092 --> 00:11:05.577]  Because what most people don't realize is that we have over 3 million manufacturing jobs being outsourced to other countries.
[00:11:05.897 --> 00:11:07.138]  And why are they being outsourced?
[00:11:07.379 --> 00:11:14.404]  Because the taxes are draining them and they can't make a go of it here in America with the taxation system we have.
[00:11:14.884 --> 00:11:23.066]  And there's over 17 trillion dollars being hidden in offshore accounts by the super rich, probably more now because of what's going on.
[00:11:23.506 --> 00:11:31.527]  But the thing is, if we had a fair tax, Alex, we get all that money could come back into our economy and give our economy a huge boost.
[00:11:31.687 --> 00:11:33.708]  What type of... And all the manufacturing jobs could come back.
[00:11:33.968 --> 00:11:36.188]  What type of fair tax do you like, Chuck Norris?
[00:11:36.208 --> 00:11:37.008]  A consumption tax.
[00:11:37.549 --> 00:11:40.749]  You know, I believe that, you know, if you can afford to buy something, you buy it.
[00:11:40.769 --> 00:11:43.350]  If you can't afford it, you wait till you have the money to buy it.
[00:11:43.950 --> 00:11:44.410]  A sales tax?
[00:11:45.454 --> 00:11:46.475]  Consumption tax, yeah.
[00:11:47.215 --> 00:11:49.856]  I would be for that, sir, but I saw U.N.
[00:11:49.896 --> 00:11:51.077]  documents a decade ago.
[00:11:51.097 --> 00:11:56.059]  The problem is, what they're going to do is, and I do support one, they're not going to really get rid of the income tax.
[00:11:56.079 --> 00:12:02.342]  They're going to try to call it your Social Security tax and claim it's only 10% and then jack it up and try to run them all at the same time.
[00:12:02.362 --> 00:12:07.844]  I mean, I do agree that that's a constitutional tax and the income tax is not constitutional.
[00:12:07.884 --> 00:12:09.705]  Can you speak to the income tax?
[00:12:10.365 --> 00:12:11.246]  Half a million pages.
[00:12:11.286 --> 00:12:12.146]  Nobody can follow it.
[00:12:12.166 --> 00:12:14.949]  Should that be abolished?
[00:12:15.289 --> 00:12:16.450]  66,298 pages, Alex.
[00:12:17.110 --> 00:12:18.952]  I mean, who in the world knows what's in that?
[00:12:18.992 --> 00:12:20.173]  Charlie Rangel doesn't know.
[00:12:21.554 --> 00:12:23.615]  And I mean, Tom Geithner.
[00:12:23.635 --> 00:12:28.960]  I mean, look at all, look at the people that are in government today who are basically tax evaders.
[00:12:29.320 --> 00:12:31.742]  They think the government says they made mistakes.
[00:12:32.222 --> 00:12:34.203]  But if we do it, we're tax evaders.
[00:12:34.343 --> 00:12:35.183]  You know, we go to jail.
[00:12:35.704 --> 00:12:41.766]  But the thing is, is that, uh, you know, uh, the IRS, well, it was only became constitutional in 1913.
[00:12:42.167 --> 00:12:46.989]  A lot of people don't realize this, that the IRS was unconstitutional.
[00:12:47.629 --> 00:12:57.053]  Until 1913, when the Congress made a constitutional amendment, the 16th Amendment, to make it constitutional.
[00:12:57.553 --> 00:13:00.635]  And we've been going downhill ever since that time.
[00:13:01.035 --> 00:13:03.216]  Well, yeah, the private Federal Reserve controls that.
[00:13:03.236 --> 00:13:06.657]  I'm sure you've noticed you write your tax checks to the private Federal Reserve.
[00:13:06.717 --> 00:13:07.658]  It's never been audited.
[00:13:07.998 --> 00:13:10.959]  Ron Paul's introduced a bill to audit the Federal Reserve.
[00:13:10.979 --> 00:13:11.659]  Do you agree with that?
[00:13:12.100 --> 00:13:12.800]  Oh, absolutely.
[00:13:13.400 --> 00:13:14.101]  Absolutely.
[00:13:14.401 --> 00:13:16.803]  You know, the IRS is a Gestapo.
[00:13:17.023 --> 00:13:18.864]  You know, you're guilty until proven innocent.
[00:13:18.884 --> 00:13:24.809]  That's only one where you're guilty until proven innocent rather than innocent until proven guilty.
[00:13:25.149 --> 00:13:26.350]  And that's not fair.
[00:13:26.390 --> 00:13:27.871]  That's not right.
[00:13:28.351 --> 00:13:34.256]  Here in our country, we're a country of freedom, and we need to do that.
[00:13:35.557 --> 00:13:40.761]  I'm so upset, that's why I'm such a supporter of Glenn Beck.
[00:13:40.801 --> 00:13:51.990]  I really consider him, like you Alex, I really consider you a crusader, and I consider Glenn Beck a crusader of what we need to do, because the whole thing is, we're going to lose our Constitution.
[00:13:52.450 --> 00:13:57.014]  As Patrick Henry said, the Constitution is not an instrument for the government to restrain the people.
[00:13:57.374 --> 00:14:03.299]  It's an instrument for the people to restrain the government, lest it come to dominate our lives, and I believe that's what's happening to us today.
[00:14:03.539 --> 00:14:08.243]  Yeah, it's meant to bind down the out-of-control behavior of dominant men.
[00:14:08.263 --> 00:14:14.308]  I've got a list of just quick questions here that I want to make sure I get out while we have Chuck Norris live with us.
[00:14:15.069 --> 00:14:17.191]  I mean, Ron Paul is such a champion of liberty.
[00:14:17.731 --> 00:14:19.372]  Well, you know, I have a saying.
[00:14:19.392 --> 00:14:20.232]  I don't know if I told you.
[00:14:20.573 --> 00:14:24.115]  Anyway, you know all these Chuck Norstachs that are floating around for the last few years.
[00:14:24.555 --> 00:14:28.057]  Anyway, one of them is that America is not a democracy.
[00:14:28.077 --> 00:14:30.198]  It's a Chuck Pater ship.
[00:14:30.979 --> 00:14:36.201]  And if that was true, I would go to Washington, to Congress.
[00:14:36.281 --> 00:14:38.002]  I'd line up all the members of Congress.
[00:14:38.543 --> 00:14:42.465]  And I'd have Ron Paul, who I believe is the most honest member of Congress,
[00:14:43.027 --> 00:14:47.929]  And I'd say, Ron, point out the honest and the dishonest politicians.
[00:14:48.310 --> 00:14:54.213]  And as we're walking down the row, Ron would say, well, he's honest, he's honest, he's dishonest.
[00:14:54.613 --> 00:14:57.434]  And I'd walk up to him and I'd say, you're fired.
[00:14:57.554 --> 00:15:01.976]  And if he didn't move immediately, I'd choke him unconscious and drag him over to the pile.
[00:15:02.337 --> 00:15:04.118]  The only ones I wouldn't do that to is the women.
[00:15:04.378 --> 00:15:07.319]  Nancy Pelosi, I'd walk up and say, Nancy, you're fired.
[00:15:07.559 --> 00:15:09.780]  You have all the time in the world to leave.
[00:15:12.102 --> 00:15:14.403]  Chuck Norris, it's just amazing to have you on air with us.
[00:15:14.623 --> 00:15:25.431]  Well, you know, not talking about secession, but the states created the first 13, and we have the right to revolt, Article 10 in New Hampshire and Texas, you know, treated in.
[00:15:25.451 --> 00:15:27.112]  Because we are a republic.
[00:15:27.392 --> 00:15:28.393]  Texas is a republic.
[00:15:29.073 --> 00:15:29.453]  Exactly.
[00:15:29.513 --> 00:15:34.436]  We created the federal government, the states did, and the media spun this as secession.
[00:15:34.696 --> 00:15:40.619]  These 30-plus states are moving to re-declare 9th and 10th Amendment with all these unfunded mandates and federal control.
[00:15:40.659 --> 00:15:41.359]  What do you say to that?
[00:15:41.379 --> 00:15:43.160]  I don't know.
[00:15:43.880 --> 00:15:48.623]  I'm not up on that, Alex, so I can't really give an honest opinion.
[00:15:48.683 --> 00:15:53.585]  States declaring their sovereignty, not seceding, just saying, we're not going to let the federal government boss us around.
[00:15:54.526 --> 00:15:55.847]  Well, I hope they do that.
[00:15:56.147 --> 00:15:58.249]  The thing is, that's what the states have got to do.
[00:15:58.589 --> 00:16:03.013]  They've got to get control back of their people of that particular state.
[00:16:03.394 --> 00:16:06.397]  And if that's what they're saying, I'm totally in support of all that.
[00:16:06.457 --> 00:16:10.040]  We've got to pull the power away from government.
[00:16:11.441 --> 00:16:18.807]  You know, because the thing is, you know, John Adams, our second president, stated that our Constitution was made only for religious and moral people.
[00:16:19.027 --> 00:16:23.571]  And I really believe that, Alex, and it's wholly inadequate for the government of any other.
[00:16:23.971 --> 00:16:32.638]  And the thing is, if we don't just maintain our faith and our moral values, then the Constitution is going to wind up dissolving.
[00:16:33.704 --> 00:16:36.865]  Before you throw away your used batteries, you need to listen to this.
[00:16:37.226 --> 00:16:38.966]  Now, going green can save money.
[00:16:39.146 --> 00:16:44.489]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:16:44.689 --> 00:16:52.412]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:16:52.712 --> 00:16:56.334]  Invented by legendary audio genius John Bedini, this unique and
[00:16:56.374 --> 00:17:05.378]  The patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:17:05.518 --> 00:17:10.420]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:17:10.700 --> 00:17:15.923]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:17:16.243 --> 00:17:16.963]  Save your money.
[00:17:17.363 --> 00:17:18.284]  Save the environment.
[00:17:18.664 --> 00:17:20.046]  Visit us online at r-charge.com.
[00:17:20.086 --> 00:17:21.047]  That's r-charge.com.
[00:17:21.067 --> 00:17:21.647]  Or call us at 989-637-4179.
[00:17:21.667 --> 00:17:22.188]  That's 989-637-4179.
[00:17:22.208 --> 00:17:24.551]  Be a part of the revolution today.
[00:17:24.571 --> 00:17:29.356]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:17:40.067 --> 00:17:47.852]  Unfortunately, with taxation, the rising cost of food, energy, housing and medical, many retirees are forced to live below the poverty line.
[00:17:48.193 --> 00:17:56.058]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:17:56.358 --> 00:18:01.121]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:18:01.462 --> 00:18:06.085]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[00:18:06.645 --> 00:18:10.507]  A gripping adventure into the secret world of International Banking Cartel.
[00:18:11.007 --> 00:18:12.007]  Hi, this is Ted Anderson.
[00:18:12.087 --> 00:18:16.169]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:18:16.589 --> 00:18:20.971]  Call 1-800-686-2237 and order a copy today.
[00:18:21.491 --> 00:18:24.052]  It's critical that the public be made aware of the system.
[00:18:24.492 --> 00:18:26.173]  Call and order your copy today at 1-800-686-2237.
[00:18:26.273 --> 00:18:26.493]  That's 1-800-686-2237.
[00:18:33.665 --> 00:18:38.467]  The new multipolar inline and portable water system new from hempusa.org.
[00:18:38.687 --> 00:18:47.090]  Now you can restructure and degas your water supply from any source rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:18:47.310 --> 00:18:51.991]  Imagine a softer smoother water with increased oxygen that helps the nervous system and brain.
[00:18:52.211 --> 00:18:53.692]  There are no filters to buy.
[00:18:53.712 --> 00:18:54.212]  I think so.
[00:19:15.862 --> 00:19:17.403]  Alex Jones here with a question.
[00:19:17.483 --> 00:19:18.664]  What does humidity mean to you?
[00:19:18.684 --> 00:19:20.405]  Most people think of hot and sticky summer days.
[00:19:20.425 --> 00:19:24.568]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:19:44.321 --> 00:19:47.184]  That's why I'd like you to visit acolablue.com.
[00:19:47.524 --> 00:20:03.439]  Acolablue is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:20:03.979 --> 00:20:06.001]  Finally, drinking water that you control.
[00:20:06.301 --> 00:20:07.302]  I use one every day.
[00:20:07.703 --> 00:20:10.185]  Say goodbye to expensive water delivery services.
[00:20:10.465 --> 00:20:11.946]  Call Ecolablue right now at 1-800-691-6043.
[00:20:11.966 --> 00:20:12.286]  That's 1-800-691-6043.
[00:20:12.306 --> 00:20:14.328]  Or visit Ecolablue at ecoloblue.com today.
[00:20:34.062 --> 00:20:37.144]  Are you tired of searching for great talk radio?
[00:20:37.744 --> 00:20:38.724]  Search no more.
[00:20:39.225 --> 00:20:42.266]  We are the GCN Radio Network.
[00:20:43.687 --> 00:20:58.013]  Well, Chuck Norris, I know you're a very focus-centered, gentlemanly person, but laying it out, reading your article in WorldNetDaily and others, and listening to you on other radio shows and things you've said, you're talking about, will the American people stand up or will there be a revolution?
[00:20:58.913 --> 00:21:14.924]  Uh, if this is an information revolution that's happening, but I have the government documents, I have the secret state police reports that the feds give them, where they say Bob Barr, Ron Paul, Chuck Baldwin, libertarians, people with these stickers are dangerous, they're bad, they want to kill... Who said that?
[00:21:15.104 --> 00:21:15.605]  Who said that?
[00:21:16.304 --> 00:21:21.909]  Uh, this is what the Feds, uh, this just went out this month, so clearly it's coming from the Obama people.
[00:21:22.570 --> 00:21:24.211]  Uh, it's up on InfoWars.com.
[00:21:24.251 --> 00:21:25.072]  I've talked to the state police.
[00:21:25.092 --> 00:21:30.576]  They admit this was given to them by the Feds to issue to their state police officers, saying people that own gold are bad.
[00:21:30.596 --> 00:21:31.617]  It's up on screen right now.
[00:21:32.979 --> 00:21:42.171]  And it's called the modern militia movement, but then it demonizes mainline libertarians and everybody and says watch out for them, they're dangerous.
[00:21:42.211 --> 00:21:48.941]  I mean, it seems like people in the federal government right now realize the threat to them is people that are talking like you, Chuck Norris.
[00:21:49.501 --> 00:21:49.981]  Yeah, I know.
[00:21:50.301 --> 00:22:00.765]  Well, the thing is, a lot of my friends are libertarians, and I've even considered it at times, you know, because, you know, the Republicans are getting so far out there, too.
[00:22:01.445 --> 00:22:05.106]  I mean, 40% of the Republicans voted for the stupid stimulus package, you know.
[00:22:05.586 --> 00:22:06.786]  That really frustrated me.
[00:22:07.066 --> 00:22:09.627]  The thing is, there's the corruption, there's the greed right there, Alex.
[00:22:09.847 --> 00:22:11.068]  Well, that was my next question.
[00:22:11.488 --> 00:22:12.108]  This is perfect.
[00:22:12.128 --> 00:22:13.969]  You keep bringing up the same point I was about to get to.
[00:22:13.989 --> 00:22:17.270]  Look, I cut my teeth as a conservative.
[00:22:17.330 --> 00:22:18.330]  I'm pro-Second Amendment.
[00:22:18.370 --> 00:22:21.691]  I'm a constitutionalist, paleo-conservative, the real deal.
[00:22:22.171 --> 00:22:24.332]  Bush tripled the size of government with the Democrats.
[00:22:24.692 --> 00:22:30.895]  Obama is set to quadruple it in the first four years and saying he's going to cut the budget in half, insulting people with lies.
[00:22:31.215 --> 00:22:33.076]  And you talk about this not being left or right.
[00:22:33.336 --> 00:22:36.358]  I mean, how do we get the corruption out of both parties?
[00:22:36.978 --> 00:22:39.859]  Voting, you know, the thing is that that's what we have to figure out.
[00:22:39.879 --> 00:22:41.840]  That's what we as the people have to figure out.
[00:22:42.160 --> 00:22:47.923]  And we have to put the fire on them saying, look, if you don't vote the way that we feel,
[00:22:48.968 --> 00:22:49.408]  Well, there is.
[00:23:07.120 --> 00:23:08.501]  There is a legal way of doing that.
[00:23:08.541 --> 00:23:15.485]  I think that's what we should do, is make them realize that we're going to impeach them if they don't start thinking of the best interest of the people.
[00:23:16.026 --> 00:23:27.252]  Chuck, you can't see this because you're not watching PrisonPlanet.tv right now, but for viewers, I have the federally written report, secret report, law enforcement sensitive for the state of Missouri, and we have these from all over the country.
[00:23:28.653 --> 00:23:28.993]  No, no, not at all.
[00:23:29.013 --> 00:23:29.774]  I really respect Ron Paul.
[00:23:54.504 --> 00:24:00.770]  I admire him, I admire his dedication, and I admire his staunchness on the Constitution.
[00:24:01.210 --> 00:24:07.036]  You know, it's a solid formula that we cannot deviate from.
[00:24:07.456 --> 00:24:09.798]  And so that's why I'm a big supporter of Ron Paul.
[00:24:10.359 --> 00:24:14.742]  And we just got to, you know, it's so frustrating.
[00:24:18.046 --> 00:24:19.708]  The thing is I don't know what to do personally.
[00:24:20.028 --> 00:24:26.396]  All I can do is write articles about it and state how I feel about it and it's up to the people.
[00:24:26.537 --> 00:24:28.159]  The people are the ones that are going to make the difference.
[00:24:28.499 --> 00:24:31.242]  Not Chuck Norris, not Alex Jones.
[00:24:31.583 --> 00:24:35.468]  It's going to be the people as a whole that's going to make the difference in our country.
[00:24:35.928 --> 00:24:36.168]  I agree.
[00:24:52.210 --> 00:24:55.611]  Well, in closing, Chuck Norris, that's what's happening, and you recognize it.
[00:24:55.671 --> 00:24:57.151]  Everybody's waking up on the left and right.
[00:24:57.511 --> 00:24:58.372]  Tyranny is here.
[00:24:58.432 --> 00:25:02.173]  I'm sure you've heard they want to use 20,000 regular Army troops to patrol America.
[00:25:02.193 --> 00:25:04.994]  They're putting Army liaisons in every major department.
[00:25:05.074 --> 00:25:13.616]  Obama's setting up youth brigades, a million-person group, and they've now launched it, that will go door-to-door, canvassing for him with federal funding.
[00:25:14.757 --> 00:25:22.081]  I mean, if it comes down to gun confiscation, which they're now proposing because of what's happening with the collapse of Mexico, they're blaming it on America.
[00:25:22.462 --> 00:25:25.543]  I mean, you know, do we just say no to gun confiscation?
[00:25:25.564 --> 00:25:26.964]  Do we turn them in and go to the FEMA camps?
[00:25:27.445 --> 00:25:29.286]  Well, the thing is, they're not getting my guns.
[00:25:30.647 --> 00:25:34.890]  You know, the thing is, is that I don't think they want to come to Texas and try that.
[00:25:35.770 --> 00:25:36.611]  No, I agree.
[00:25:36.811 --> 00:25:41.654]  If they come to Texas and try to confiscate our guns, they're going to be in a world of hurt.
[00:25:42.159 --> 00:25:49.265]  Well, the Declaration of Independence says it's our right and duty if the government becomes destructive of our form of government to remove it.
[00:25:49.305 --> 00:25:50.026]  So that's what I'm saying.
[00:25:50.066 --> 00:25:58.213]  The government, the criminal elements of it are gearing up to, and nobody's got a bigger supporter of the military or police than you, and the police are upset that they're telling me they don't like what's happening.
[00:25:58.233 --> 00:26:00.094]  Like you said, the troops don't like what's happening.
[00:26:00.595 --> 00:26:02.696]  I think Obama and the globalists need to back off.
[00:26:03.217 --> 00:26:04.418]  I don't think they will.
[00:26:05.319 --> 00:26:05.679]  They will.
[00:26:07.488 --> 00:26:09.710]  When it gets right down to the grassroots, they're cowards.
[00:26:10.211 --> 00:26:13.974]  And they're not going to do anything that's going to turn the people against them.
[00:26:14.514 --> 00:26:18.417]  And so the thing is that the people have got to stay strong.
[00:26:18.718 --> 00:26:25.904]  We've got to stand up, stay strong, and say this is the way we want you to regulate our country.
[00:26:26.264 --> 00:26:28.726]  And if you don't do it, we will get you out of office.
[00:26:28.766 --> 00:26:32.269]  We'll impeach you, or whatever it takes for us to get you out of office.
