[00:00:00.429 --> 00:00:01.670]  ...author many times over.
[00:01:58.654 --> 00:01:59.555]  It's the history.
[00:02:00.180 --> 00:02:05.142]  of countries that have had government-run health care is that health care is going to be rationed.
[00:02:06.023 --> 00:02:15.267]  And it's been pretty clearly stated, I think in the whole intention of this bill, that there's no way people can be provided with universal health care unless there is rationing.
[00:02:15.867 --> 00:02:16.607]  Obama said it.
[00:02:17.448 --> 00:02:25.571]  Now, to get back to the issue, what we're finding at World Dead Daily, and I'm continuing to get emails through the day, of various SEIU unions
[00:02:27.678 --> 00:02:38.244]  Employees attending these rallies, I guess a series of rallies last night were attended, and the SEIU attendees appeared to be the ones causing the disruption in the protests.
[00:02:38.844 --> 00:02:42.046]  They were the ones pushing and shouting and shouting and screaming.
[00:02:42.786 --> 00:02:54.493]  In fact, there's one video I've gotten that shows one of the SEIU anti-protesters being arrested by the police for disrupting, causing disruption on the scene.
[00:02:55.558 --> 00:02:58.339]  So there's pushback here from the White House.
[00:02:58.979 --> 00:03:12.005]  Also, Paul Krugman's article in the New York Times today, which I thought was particularly offensive to the protesters, saying that this was just white, angry racists.
[00:03:12.921 --> 00:03:14.181]  A redneck Republican.
[00:03:14.221 --> 00:03:16.002]  No, no, my listener is black!
[00:03:16.162 --> 00:03:17.422]  His lawyers contacted us.
[00:03:17.442 --> 00:03:18.122]  There's video.
[00:03:18.503 --> 00:03:24.904]  They run up and beat him and say, how can an N-word be at a meeting against Obama and punch him in the nose?
[00:03:25.104 --> 00:03:27.245]  In fact, I've seen that video on the Internet.
[00:03:27.285 --> 00:03:28.785]  That's now playing on the Internet.
[00:03:29.146 --> 00:03:30.386]  Yeah, we have it on Infowars.com.
[00:03:30.426 --> 00:03:30.966]  Go ahead.
[00:03:31.146 --> 00:03:39.648]  Okay, and so, you know, if the White House is taking the position that any... This is what I wrote on the Obama Nation.
[00:03:39.688 --> 00:03:41.589]  It's been going on since the campaign.
[00:03:42.327 --> 00:03:51.813]  Anyone who politically objects to a position taken by President Obama or candidate Obama is by definition called a racist by their supporter.
[00:03:52.634 --> 00:04:08.204]  So, and now with the White House putting up this fee, you know, this site to turn your neighbors in, report people who don't agree with President Obama, this flag at WhiteHouse.gov, and President Obama had a clear opportunity.
[00:04:08.244 --> 00:04:10.326]  He could have said to Nancy Pelosi,
[00:04:11.041 --> 00:04:26.653]  Quit demonizing the town hall protesters by saying people showing up with signs and swastikas and portraying them as if this is a right-wing organized effort to object to Obama by a small group.
[00:04:26.713 --> 00:04:27.453]  It's not the case.
[00:04:30.196 --> 00:04:34.639]  This is a very broad-based reaction.
[00:04:35.299 --> 00:04:39.943]  And if you take a look honestly at the numbers, the President's poll numbers are plummeting.
[00:04:40.529 --> 00:04:43.111]  He's now down to about 50 percent.
[00:04:43.652 --> 00:04:45.613]  And those are... Lower in some polls.
[00:04:45.753 --> 00:04:47.355]  I've seen him as low as 45 in some.
[00:04:47.395 --> 00:04:47.675]  You're right.
[00:04:47.695 --> 00:04:50.317]  Rasmussen and Gallup, he's at 50.
[00:04:50.658 --> 00:04:53.380]  The Quinnipiac University just came out.
[00:04:53.500 --> 00:04:55.522]  They are about 50 percent.
[00:04:55.562 --> 00:04:56.402]  That was this week.
[00:04:56.903 --> 00:04:58.924]  I think that was reported yesterday by Fox.
[00:05:00.065 --> 00:05:08.973]  And the dropping, which is dramatic, I mean, the approval rating was about 63 percent when President Obama was inaugurated in January.
[00:05:09.673 --> 00:05:13.094]  Now this is a more precipitous drop than even Jimmy Carter.
[00:05:13.915 --> 00:05:16.816]  Jimmy Carter was into August before he hit under 60.
[00:05:18.136 --> 00:05:23.538]  And now President Obama is risking hitting under 50 in August of his first year in office.
[00:05:24.278 --> 00:05:26.939]  So this is a dramatic polarizing.
[00:05:27.260 --> 00:05:36.423]  And President Obama is ending up being not the uniting president he came on saying he was going to be, but probably one of the most divisive presidents we've ever had.
[00:05:37.163 --> 00:05:38.984]  And I think the attempt by the White House
[00:05:39.574 --> 00:05:49.401]  To demonize those middle class Americans who show up at town hall meetings to express their grievances with a health care plan.
[00:05:49.921 --> 00:05:56.726]  If they're going to be demonized by the White House, I'm wondering why President Obama's numbers are as high as 50, because they're going to drop.
[00:05:59.653 --> 00:06:07.862]  By the way, at PrisonPlanet.tv I'm playing the video of a black man being attacked for being against the health care.
[00:06:08.162 --> 00:06:10.865]  This is the democracy of Obama.
[00:06:10.885 --> 00:06:11.886]  Now let's remember it was St.
[00:06:11.966 --> 00:06:17.812]  Louis where they had the prosecutors and the sheriff and the county announce on TV themselves.
[00:06:18.453 --> 00:06:22.315]  That they would arrest people that they deem were being dishonest about Obama.
[00:06:22.815 --> 00:06:24.156]  That, of course, would be a civil matter.
[00:06:24.176 --> 00:06:26.297]  If Obama thinks you're lying about him, he has to sue you.
[00:06:26.597 --> 00:06:29.179]  But no, the police said they'd be judge, jury, and executioner.
[00:06:30.019 --> 00:06:34.581]  And this is shocking video of the Union thugs attacking people.
[00:06:34.601 --> 00:06:43.366]  And what's even more shocking is, then the police arrest one of the reporters who is covering it, and it appears to then persecute
[00:06:44.460 --> 00:06:47.262]  Some of the people that are being attacked, Dr. Corsi?
[00:06:47.583 --> 00:06:56.890]  Well, the irony here is that, you know, President Obama is supposed to be, he portrays himself as the community organizer-in-chief.
[00:06:57.851 --> 00:07:06.558]  I mean, all the films about him that, you know, films maturing into office, all the stories about his community organizing efforts in Chicago.
[00:07:09.517 --> 00:07:16.682]  Obama was working in a Saul Lempke organization, which is about as radical to the left socialist organization as you could get.
[00:07:16.862 --> 00:07:21.846]  Yeah, his rules for radicals is dedicated to Lucifer.
[00:07:22.046 --> 00:07:22.366]  Correct.
[00:07:22.426 --> 00:07:26.009]  It's dedicated to Lucifer, who Saul Lempke calls the first radical.
[00:07:26.689 --> 00:07:34.935]  And among the rules, basically the advice from Saul Lempke is, cut your hair, put on a business suit, act like you're going to be a moderate, and get elected.
[00:07:35.675 --> 00:07:36.916]  And then when you get elected,
[00:07:37.711 --> 00:07:45.336]  Break all your campaign promises, because you only said those on a Machiavellian principle, that people believe what seems to be the case.
[00:07:46.117 --> 00:07:47.538]  Those seem to be moderate.
[00:07:47.598 --> 00:07:52.401]  Then when you get into office, redistribute wealth, and put central government control over the economy.
[00:07:52.962 --> 00:07:56.264]  And as I wrote in the Obama Nation, that's how Obama was trained.
[00:07:56.904 --> 00:08:06.091]  Now, that community organizing, or ACORN, or SEIU, of the Obama administration, which is extremely far left, that's all fine!
[00:08:06.690 --> 00:08:18.580]  But if middle Americans speak up at town hall meetings, then they've got to be demonized by the White House as if they were, you know, right-wing, organized, redneck, Nazi thug, which is ridiculous.
[00:08:20.121 --> 00:08:26.246]  Well, they also mix the term Nazi in with redneck and rural and white, as if being redneck or white's a bad thing.
[00:08:26.306 --> 00:08:27.647]  Exactly.
[00:08:27.687 --> 00:08:31.250]  They're mixing all these terms together to demonize.
[00:08:32.048 --> 00:08:34.149]  Middle Americans who are just... Gotta break, doctor.
[00:08:34.189 --> 00:08:34.669]  Stay with us.
[00:08:35.289 --> 00:08:42.292]  Did you know that there are tiny hidden radio transmitters, also known as RFID chips, in millions of passports, credit cards, and licenses?
[00:08:42.512 --> 00:08:46.173]  In the current state of the economy, it's no surprise that identity theft has increased.
[00:08:46.473 --> 00:08:54.516]  With current technology, thieves can purchase a simple device online that allows them to steal your credit card number and other personal information by scanning your wallet or purse.
[00:08:54.776 --> 00:08:57.478]  Think of this identity theft device as a garage door opener.
[00:08:57.678 --> 00:09:00.199]  You push a button and within a certain distance your door opens.
[00:09:00.460 --> 00:09:04.702]  Thieves get near you, push a button and these tiny radios give out personal information.
[00:09:04.902 --> 00:09:06.323]  Put a stop to identity theft.
[00:09:06.563 --> 00:09:08.444]  Visit IDStronghold.com.
[00:09:08.644 --> 00:09:10.926]  Here you will find radio blocking secure sleeves.
[00:09:11.386 --> 00:09:18.731]  Simply place your credit cards and passports into these slim, lightweight sleeves and you will put a stop to anyone trying to collect your private information.
[00:09:18.971 --> 00:09:22.693]  For around $5, you will be protected against RFID theft.
[00:09:22.913 --> 00:09:25.214]  Visit IDStronghold.com.
[00:09:25.355 --> 00:09:27.596]  That's IDStronghold.com.
[00:09:27.856 --> 00:09:28.276]  Or call 1-800-610-2770.
[00:09:28.296 --> 00:09:28.536]  1-800-610-2770 today!
[00:09:35.586 --> 00:09:40.907]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:09:41.628 --> 00:09:46.969]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:09:47.509 --> 00:09:53.651]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:09:53.931 --> 00:09:55.832]  Well, Obama's already fudging.
[00:09:55.972 --> 00:09:58.353]  He's fudged since day one in this election.
[00:09:58.433 --> 00:10:09.378]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:10:11.619 --> 00:10:12.880]  It's not about left or right.
[00:10:13.300 --> 00:10:14.681]  It's about a one-world government.
[00:10:15.161 --> 00:10:21.364]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:10:22.057 --> 00:10:29.822]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:10:30.322 --> 00:10:31.443]  The Obama Deception.
[00:10:31.903 --> 00:10:33.084]  The people strike back!
[00:10:34.687 --> 00:10:35.668]  Hello, Ted Anderson.
[00:10:35.748 --> 00:10:40.531]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:10:40.691 --> 00:10:48.496]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:10:48.756 --> 00:10:54.140]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:10:54.340 --> 00:11:01.325]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:11:01.605 --> 00:11:06.930]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:11:07.211 --> 00:11:11.935]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:11:12.275 --> 00:11:19.863]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:11:20.203 --> 00:11:20.824]  We're good to go.
[00:11:41.391 --> 00:11:42.011]  We're good to go!
[00:12:05.390 --> 00:12:05.750]  I think so.
[00:12:36.216 --> 00:12:41.360]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:12:42.041 --> 00:12:44.402]  Because there's a war on for your mind.
[00:12:44.423 --> 00:13:03.718]  In the last 30 minutes of the show today, we have the lawyer for the black man that got beat up and is now in the hospital, beat up by Obama supporters, calling him the N-word and beating him.
[00:13:04.855 --> 00:13:08.403]  Saying, how dare another n-word come to one of these events?
[00:13:10.488 --> 00:13:12.111]  It's just absolutely incredible.
[00:13:14.375 --> 00:13:17.637]  And this lawyer is a listener of the show, the man that got beat up is a listener.
[00:13:17.677 --> 00:13:19.278]  So that's great, they now contact us.
[00:13:19.599 --> 00:13:24.622]  He's going to be on Fox News right before he comes on with us, right before 2.30 Central, that's what he told us.
[00:13:24.662 --> 00:13:26.603]  So, this story is going mega viral.
[00:13:27.364 --> 00:13:32.488]  And I tell you, it doesn't matter if it's the castle being booed off the stage, that's our listener, sends us the video.
[00:13:32.908 --> 00:13:34.289]  Lloyd Doggett, our listeners.
[00:13:34.969 --> 00:13:37.151]  You know, you want to talk about stage, it's my listeners.
[00:13:38.083 --> 00:13:39.625]  And I'm not telling them to go out and do this.
[00:13:39.905 --> 00:13:41.507]  This is their First Amendment right to do it.
[00:13:42.168 --> 00:13:44.651]  But it's not just our listeners, it's everybody across the board.
[00:13:44.671 --> 00:13:49.116]  Dr. Corsi continuing, how is the establishment going to counter this?
[00:13:50.404 --> 00:13:52.644]  Do you think Obama will stage a crisis or something?
[00:13:52.744 --> 00:13:54.105]  I don't see any other way.
[00:13:54.445 --> 00:13:56.725]  He is falling faster than any other president.
[00:13:56.765 --> 00:14:00.246]  He's lower than Bush was at this time, lower than Jimmy Carter.
[00:14:00.966 --> 00:14:02.686]  The bigger they are, the harder they fall.
[00:14:02.746 --> 00:14:06.647]  The hoax that is Obama is deflating monstrously fast.
[00:14:07.187 --> 00:14:08.267]  What do you see them doing?
[00:14:08.507 --> 00:14:12.848]  Well, what he's going to do immediately is on Sunday, he's headed to Mexico.
[00:14:13.568 --> 00:14:18.509]  We've got another meeting, which should be the Security and Prosperity Partnership meeting.
[00:14:19.295 --> 00:14:26.437]  If they've renamed these meetings now, Alex, as you know, they're calling it the North American Leaders Summit.
[00:14:27.178 --> 00:14:48.725]  As I reported on WorldNetDaily and also my Red Alert newsletter, I've got articles saying that there's a plan that has been advanced by several of the think tanks saying the attention that we've brought, your show has brought, others have brought on the Security and Prosperity Partnership is, you know, the North American Union agenda.
[00:14:49.656 --> 00:14:53.817]  That the exposure has hurt the integration effort, so they've really changed the name.
[00:14:54.418 --> 00:14:55.698]  North American Leaders Summit.
[00:14:55.778 --> 00:14:57.619]  They've downgraded the meeting.
[00:14:57.679 --> 00:14:59.839]  It's no longer a Security and Prosperity Partnership.
[00:14:59.879 --> 00:15:08.262]  If you look at the website, SPP.gov, they've got a notice on the website that they're in the process of reformatting the site.
[00:15:09.022 --> 00:15:10.904]  We can do a public relations makeover.
[00:15:11.384 --> 00:15:17.089]  The Department of Commerce, the Security and Prosperity Partnership website.
[00:15:17.269 --> 00:15:18.170]  All under the radar.
[00:15:18.610 --> 00:15:19.351]  All under the radar.
[00:15:19.391 --> 00:15:20.452]  That's my point.
[00:15:20.532 --> 00:15:21.272]  All under the radar.
[00:15:22.173 --> 00:15:23.955]  This seems like to be one of their only tricks.
[00:15:23.975 --> 00:15:25.516]  They've got five or six tricks they do.
[00:15:25.536 --> 00:15:27.277]  I mean, you can count them on both hands.
[00:15:28.438 --> 00:15:34.741]  They always... I mean, take the North American Superhighways, the Trans-Texas Corridors, the Napa Superhighways.
[00:15:35.421 --> 00:15:37.802]  First, they announced it 10 years ago and said it was great.
[00:15:37.842 --> 00:15:38.883]  People said they didn't want it.
[00:15:39.163 --> 00:15:40.203]  They said it didn't exist.
[00:15:40.223 --> 00:15:41.424]  Then they changed the name again.
[00:15:41.444 --> 00:15:47.347]  Then, they said they canceled the program, but in the same article announced they were just renaming it.
[00:15:47.847 --> 00:15:51.348]  I mean, SPP is now going to change their name.
[00:15:52.289 --> 00:15:53.389]  This is just incredible.
[00:15:53.409 --> 00:15:54.930]  I mean, people are seeing through this.
[00:15:55.270 --> 00:16:03.757]  Well, and Reuters is running a press release now, because there's only things coming out about this meeting in the last hours before the meeting happens.
[00:16:03.817 --> 00:16:10.642]  I mean, I can't see anything on television or any announcements, really, from the White House that this is a big-deal meeting.
[00:16:10.702 --> 00:16:11.763]  It's very low-key.
[00:16:12.323 --> 00:16:16.446]  But on the agenda is that the Mexican trucks are going to come back into the United States.
[00:16:17.367 --> 00:16:20.209]  I've reported on this in Red Alert and at WorldNetDaily.
[00:16:20.790 --> 00:16:24.192]  No one seems to be... You're covering it, Alex, but very few are.
[00:16:25.868 --> 00:16:28.250]  There's going to be reintroduced legislation.
[00:16:28.750 --> 00:16:36.075]  Transportation Secretary Ray LaHood has now gotten it through all the internal Obama Administration Department.
[00:16:36.876 --> 00:16:42.040]  And as you recall, the money was taken out of the Department of Transportation to Democrats.
[00:16:42.060 --> 00:16:47.704]  It was North Dakota Senator Byron Dorgan and also Peter DeFazio.
[00:16:48.364 --> 00:16:53.848]  He was in the House leading the effort to take out the money.
[00:16:54.383 --> 00:17:00.707]  But the Department of Transportation budget to discontinue the Bush Administration Mexican Truck Demonstration Project.
[00:17:01.427 --> 00:17:08.651]  Now the legislation is going to say they have new rules and suddenly the Mexican trucks are going to be safe under the U.S.
[00:17:08.731 --> 00:17:12.373]  Commercial Vehicle Safety Alliance standards, which is a joke.
[00:17:13.154 --> 00:17:18.176]  Mexican trucks don't meet standards with brakes or with equipment in other capacities.
[00:17:18.236 --> 00:17:20.778]  They don't beat hours or time on the road.
[00:17:22.538 --> 00:17:28.181]  Well, regardless, Doctor, as you know, you've been to many of these events and covered them and written a best-selling book about it, The Late Great USA.
[00:17:29.642 --> 00:17:38.687]  Even if they did a great job, which they're not, it's unconstitutional, it's criminal to take our liberty, our freedom, our sovereignty, and give it to these unelected boards.
[00:17:39.067 --> 00:17:47.612]  Reuters is reporting on it, but they're acting like it's just an anti-drug summit, which is what Pasteur, your archenemy, our archenemy, your nemesis,
[00:17:48.472 --> 00:18:01.986]  As the Reuters has put the drug issue right at the top of their press release.
[00:18:02.426 --> 00:18:06.130]  Mexico's drug war, what this is evidently being billed as being about.
[00:18:07.131 --> 00:18:12.536]  But it's again, it should be the, I believe the fifth meeting of the Security and Prosperity Partnership Annual Summit.
[00:18:13.095 --> 00:18:13.495]  Amazing.
[00:18:13.535 --> 00:18:14.356]  Tell us more about it.
[00:18:14.396 --> 00:18:17.337]  You're the expert on this when we get back with Dr. Jerome Corsi.
[00:18:17.777 --> 00:18:19.718]  Then we'll get into the latest birther issue.
[00:18:20.058 --> 00:18:24.420]  Dr. Corsi's been doing in-depth research with the state of Hawaii.
[00:18:25.400 --> 00:18:26.300]  We're on the march.
[00:18:26.781 --> 00:18:28.381]  The empire's on the run.
[00:18:28.401 --> 00:18:31.983]  Alex Jones and the GCN Radio Network.
[00:18:34.994 --> 00:18:39.978]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:18:40.198 --> 00:18:44.002]  Number one, new climate legislation could easily double or triple your electric bill.
[00:18:44.222 --> 00:18:49.827]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:18:50.127 --> 00:18:54.991]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:18:55.191 --> 00:18:55.652]  Number three,
[00:18:56.112 --> 00:19:01.559]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:19:02.400 --> 00:19:05.064]  The hurricane and dangerous summer storm season is here again.
[00:19:05.304 --> 00:19:09.510]  Every year, thousands of families lose their power from weather-related outages.
[00:19:09.830 --> 00:19:13.435]  A solar power generator provides powerful backup insurance and peace of mind.
[00:19:13.675 --> 00:19:19.159]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:19:19.399 --> 00:19:23.963]  You can get more information at www.mysolarbackup.com.
[00:19:24.103 --> 00:19:25.644]  That's mysolarbackup.com.
[00:19:25.864 --> 00:19:28.206]  Remember, the government doesn't own the sun yet.
[00:19:28.446 --> 00:19:31.068]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:19:35.336 --> 00:19:37.938]  Hello, this is Alex Jones with some important questions.
[00:19:38.338 --> 00:19:43.322]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:19:43.683 --> 00:19:45.404]  My answer would be all I can get.
[00:19:45.724 --> 00:19:50.548]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:19:50.728 --> 00:19:51.649]  How much do you want?
[00:19:51.889 --> 00:19:52.649]  When do you want it?
[00:19:53.029 --> 00:19:54.630]  Now or after the battle starts?
[00:19:54.910 --> 00:19:55.730]  When will you need it?
[00:19:55.970 --> 00:19:58.051]  Can you buy it without proper identification?
[00:19:58.191 --> 00:19:59.291]  Will there be any food?
[00:19:59.512 --> 00:20:00.852]  Will it make your children sick?
[00:20:01.052 --> 00:20:06.114]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:20:06.314 --> 00:20:09.455]  You wipe out all these problems if you have a good food supply.
[00:20:09.895 --> 00:20:13.396]  Food is your ammunition to fight for your freedom and your life.
[00:20:13.716 --> 00:20:14.696]  How much will you need?
[00:20:14.936 --> 00:20:15.556]  We don't know.
[00:20:15.836 --> 00:20:16.756]  How much do you want?
[00:20:16.957 --> 00:20:17.677]  All you can get.
[00:20:17.877 --> 00:20:18.717]  I'm Alex Jones.
[00:20:18.977 --> 00:20:21.738]  I want all of you good guys to live to fight another day.
[00:20:22.018 --> 00:20:23.778]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:20:23.798 --> 00:20:24.718]  Again, that number 1-800-409-5633.
[00:20:34.838 --> 00:20:36.579]  This is Alex Jones with important news.
[00:20:36.859 --> 00:20:39.740]  I want to warn you about a deadly storm that's fast approaching.
[00:20:39.800 --> 00:20:41.741]  A storm that will affect you and everybody you know.
[00:20:42.041 --> 00:20:42.821]  Here's the story.
[00:20:43.021 --> 00:20:47.603]  The current administration is committed to nationalizing healthcare, giving 40 million new people free care.
[00:20:47.823 --> 00:20:48.843]  Now here's the bad news.
[00:20:49.063 --> 00:20:53.925]  The current system will almost be immediately overwhelmed by these new demands for free services and procedures.
[00:20:54.145 --> 00:20:56.006]  Medicare and Medicaid are already bankrupt.
[00:20:56.266 --> 00:21:00.491]  Many doctors are now leaving their practices frightened by the prospect of forced procedures.
[00:21:00.891 --> 00:21:06.077]  All this is creating a perfect storm which could create unimaginable shortages in the healthcare services.
[00:21:06.397 --> 00:21:08.239]  Folks, it's time to be prepared for the worst.
[00:21:08.579 --> 00:21:17.289]  Our friends at Solutions from Science have recently come up with an emergency preparedness course that reveals how you can make powerful herbal medicines in the privacy of your own home.
[00:21:17.589 --> 00:21:22.492]  It's called Herbal Preparations and Natural Therapies and it's flat out the best course of its kind.
[00:21:22.772 --> 00:21:26.674]  I recommend you visit this important new website at MakeHerbalMedicines.com.
[00:21:26.874 --> 00:21:29.656]  That's MakeHerbalMedicines.com or call toll free 877-327-0365.
[00:21:44.687 --> 00:21:48.148]  We don't need no thought control.
[00:21:48.208 --> 00:21:51.790]  No dark sarcasm in the classroom.
[00:21:51.810 --> 00:21:54.211]  Teacher leave them kids alone.
[00:22:16.263 --> 00:22:17.945]  Monday through Friday from 11 a.m.
[00:22:17.985 --> 00:22:18.686]  to 3 p.m.
[00:22:18.766 --> 00:22:19.807]  Central Standard Time.
[00:22:19.867 --> 00:22:24.492]  We are here live under an abbreviated Sunday transmission 4 to 6 p.m.
[00:22:24.972 --> 00:22:25.873]  Central Standard Time.
[00:22:25.893 --> 00:22:30.117]  Dr. Corsi, I want to continue with the SPP North American Union meeting going on.
[00:22:30.137 --> 00:22:33.121]  You know, for years they would deny that even existed.
[00:22:33.701 --> 00:22:43.643]  And then you and others, Judicial Watch sued, got their internal documents, there they were, saying it's North American Union, a global carbon tax, we gotta keep this secret from the public.
[00:22:44.123 --> 00:22:47.444]  I mean, very incriminating, especially the Banff Canada meeting.
[00:22:47.924 --> 00:22:50.505]  And again, your book, Late Great USA, latest edition out.
[00:22:50.885 --> 00:22:55.046]  We carry that, discounted, at InfoWars.com, the online video bookstore.
[00:22:55.746 --> 00:23:02.951]  You also are writing on the most up-to-date stuff at WorldNetDaily.com or WND.com and also in your newsletter.
[00:23:03.591 --> 00:23:06.193]  Tell us about some of those places we can check out your work.
[00:23:06.473 --> 00:23:08.454]  Well, the newsletter is the most recent.
[00:23:08.474 --> 00:23:11.616]  It's RedAlert.WND.com.
[00:23:11.696 --> 00:23:12.837]  RedAlert.WND.com.
[00:23:12.857 --> 00:23:16.179]  The subscription newsletter, I'm writing it every week.
[00:23:17.000 --> 00:23:19.461]  There's also a bar on the WorldNetDaily homepage.
[00:23:19.581 --> 00:23:20.762]  The gray bar is on the left.
[00:23:21.559 --> 00:23:23.860]  It's under $100 for the year, so it's about $2 a week.
[00:23:23.880 --> 00:23:25.820]  You can also subscribe weekly.
[00:23:26.940 --> 00:23:28.580]  And thank you for asking, Alex.
[00:23:28.600 --> 00:23:29.381]  I appreciate it.
[00:23:29.981 --> 00:23:30.681]  I'm telling you about it.
[00:23:30.701 --> 00:23:31.901]  I hope folks check it out.
[00:23:31.941 --> 00:23:33.542]  What new book are you working on right now?
[00:23:33.942 --> 00:23:35.202]  It'll be out in October.
[00:23:35.282 --> 00:23:37.042]  It's called America for Sale.
[00:23:37.222 --> 00:23:37.942]  I've written it.
[00:23:38.583 --> 00:23:39.323]  It'll be out.
[00:23:39.383 --> 00:23:41.563]  I'm covering Globalism and the New World Order.
[00:23:42.123 --> 00:23:44.204]  It's right on the themes you cover, Alex.
[00:23:44.284 --> 00:23:45.404]  I think you're going to find.
[00:23:45.504 --> 00:23:50.085]  I'll come on the show and be with you for a special interview when the book is out in October.
[00:23:51.181 --> 00:23:52.002]  America for sale.
[00:23:52.723 --> 00:23:53.444]  Alright, great.
[00:23:53.484 --> 00:23:54.785]  Okay, finishing up with the...
[00:23:56.021 --> 00:24:04.526]  Whole SPP, Security Prosperity Partnership, now called a Leadership Conference, spinning it, secret meeting, meeting behind closed doors.
[00:24:05.346 --> 00:24:11.370]  They've set up, you know, this multi-merger of the Parliaments and the Congresses of the three nations.
[00:24:12.250 --> 00:24:14.391]  Where is their program, as best we can tell?
[00:24:14.451 --> 00:24:15.892]  Are things going well for them?
