[00:00:19.507 --> 00:00:21.928]  43 days left.
[00:04:12.559 --> 00:04:12.940]  They know.
[00:04:13.020 --> 00:04:14.102]  That's why they want me destroyed.
[00:04:14.764 --> 00:04:16.287]  They know I have the will.
[00:04:17.648 --> 00:04:22.932]  To stand up and tell the truth, and I have the will to cover the things that have got to be done, even if it destroys me.
[00:04:23.012 --> 00:04:26.395]  Because in the long run, that will end up saving everybody else.
[00:04:26.775 --> 00:04:28.657]  I'll be destroyed anyways, if they win.
[00:04:29.497 --> 00:04:30.118]  So I'm doing that.
[00:04:30.158 --> 00:04:40.086]  That's why they have their disinfo operatives and mainstream media, and the corporate system, and the people posing as patriots, constantly lying about me, demonizing me, and then Google and YouTube promote all those lies.
[00:04:40.586 --> 00:04:49.217]  And then block all of our info because this is an exercise in shutting us down and then defaming us and destroying us to try to undermine the president.
[00:04:49.317 --> 00:04:50.718]  I mean, that's the reality.
[00:04:51.579 --> 00:04:52.641]  That's the reality of what's happening.
[00:04:56.935 --> 00:05:04.204]  Western Europe has already banned free speech, and an iron curtain of censorship is descending down over the UK.
[00:05:04.584 --> 00:05:12.153]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:05:12.514 --> 00:05:15.618]  We know we're only about a year or two behind what's happening in the UK.
[00:05:16.218 --> 00:05:20.482]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:05:20.863 --> 00:05:24.767]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:05:25.007 --> 00:05:27.730]  Brainwash young people against InfoWars.
[00:05:28.150 --> 00:05:32.454]  Psychologically inoculate them with lies so they don't actually hear what we have to say.
[00:05:32.915 --> 00:05:35.918]  We are the most hated news source in the world by globalists.
[00:05:36.358 --> 00:05:51.207]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:05:51.447 --> 00:05:52.748]  That is critical to this fight.
[00:05:52.968 --> 00:05:54.989]  We will prevail if you take action and I know
[00:05:59.165 --> 00:06:01.286]  Waging war on corruption.
[00:06:01.786 --> 00:06:06.989]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:24.498 --> 00:06:28.580]  Ladies and gentlemen, Barack Hussein Obama.
[00:06:30.759 --> 00:06:34.961]  Trump has been enjoying his third term in office, according to the Deep State.
[00:06:35.462 --> 00:06:48.729]  They've been ignoring everything Trump tries to do, but Trump has wrested control of much of the federal apparatus away from them, and so you see the country coming back from the dead, horrifying the globalists because they know they've been suppressing us by design.
[00:06:49.369 --> 00:06:51.350]  This just broke minutes ago.
[00:06:52.111 --> 00:06:59.095]  It's on Infowars.com and Newswars.com, and of course DrudgeReport.com as we speak.
[00:06:59.915 --> 00:07:05.999]  Rosenstein resigns and we have him walking towards the White House literally just two minutes ago.
[00:07:06.420 --> 00:07:08.541]  We'll roll some of that here in just a moment.
[00:07:09.041 --> 00:07:13.464]  Rosenstein resigns after reports he considered taping Trump.
[00:07:13.585 --> 00:07:25.513]  Sources say that from Bloomberg, Deputy Attorney General Rod Rosenstein, the official in charge of Special Counsel Robert Mueller's Russia investigation, has verbally resigned to White House Chief of Staff John Kelly, according to one person familiar with the matter.
[00:07:26.271 --> 00:07:27.171]  And why are they in trouble?
[00:07:27.692 --> 00:07:28.972]  Trump has the notes.
[00:07:29.752 --> 00:07:30.973]  He has the documents.
[00:07:31.533 --> 00:07:40.437]  He has the emails, the text messages between this cabal, before he got into office, when he was the nominee, when he was president-elect, right through.
[00:07:40.557 --> 00:07:43.978]  He now has the entire spy grid apparatchik.
[00:07:44.698 --> 00:07:48.500]  And he is able to now know all the things they did.
[00:07:48.540 --> 00:07:51.381]  So they have been hoisted on their own spear.
[00:07:51.921 --> 00:07:54.162]  They've fallen into the pit of their own making.
[00:07:55.936 --> 00:08:04.659]  The resignation was delivered to Kelly late last week, but it's unclear whether Rosenstein is planning to follow through with a formal resignation.
[00:08:05.019 --> 00:08:06.039]  Ah, very deceptive.
[00:08:06.059 --> 00:08:06.839]  See how they operate?
[00:08:07.479 --> 00:08:10.380]  The person said they wanted to trick Trump into saying, fine, you're gone.
[00:08:10.400 --> 00:08:12.141]  Ah, very skillful.
[00:08:12.401 --> 00:08:13.181]  Very snake-like.
[00:08:13.741 --> 00:08:18.002]  A second person said that Rosenstein isn't expected to be in the job after Monday.
[00:08:18.022 --> 00:08:23.124]  Ladies and gentlemen, the move comes after reports that Rosenstein suggested to colleagues this year
[00:08:23.724 --> 00:08:27.146]  That he would secretly record conversations with President Donald Trump.
[00:08:27.606 --> 00:08:32.208]  Rosenstein was heading to the White House late Monday morning amid media reports that he is expected to be fired.
[00:08:32.548 --> 00:08:39.311]  And let's roll some of Fox News just minutes ago as he was walking to the White House to resign.
[00:08:39.351 --> 00:08:39.711]  Here it is.
[00:08:42.978 --> 00:08:44.939]  So again, ladies and gentlemen, what have I been saying since January 20th?
[00:09:15.190 --> 00:09:18.213]  2017, when the President was sworn in.
[00:09:19.094 --> 00:09:23.217]  And why did they get rid of our YouTube channel with billions of views, and millions of views that day?
[00:09:23.277 --> 00:09:36.930]  Because I laid out in a speech, surrounded by people after the inauguration, in the middle of the street, that the President must declassify the illegal spying on him and his campaign, and the RNC.
[00:09:38.444 --> 00:09:43.786]  And that he must remove the deep state operatives that were planning to try to sabotage his administration.
[00:09:43.986 --> 00:09:46.547]  Because they'd said they were spying on him illegally.
[00:09:46.847 --> 00:09:48.908]  They'd said they were going to undermine and block him.
[00:09:49.348 --> 00:09:56.750]  They said they were circulating COG plans when he was president-elect, of how they were going to do it.
[00:09:56.870 --> 00:10:02.772]  And then I've studied how they've done this in other countries, and how our own deep state works, and I laid it out.
[00:10:02.852 --> 00:10:05.133]  And that's why they want us off the air.
[00:10:05.453 --> 00:10:07.234]  Because we're on target.
[00:10:08.396 --> 00:10:17.122]  Not because we're fake news, but because when the globalists tune in, they go, my God, it's like this man shits in on our briefing rooms.
[00:10:17.623 --> 00:10:18.764]  How does he know all this?
[00:10:20.965 --> 00:10:30.812]  Well, has the average globalist even read Tragedy and Hope by Carl Quigley, one of your top operatives, or the four books by Zbigniew Brzezinski, where he talked about world government plan?
[00:10:30.832 --> 00:10:32.013]  He's one of the top advisors.
[00:10:32.814 --> 00:10:33.694]  Or Kissinger's books?
[00:10:34.555 --> 00:10:35.656]  They say it all!
[00:10:40.071 --> 00:10:42.172]  You're the reason your world government's in trouble.
[00:10:43.213 --> 00:10:45.033]  You're the reason it's falling apart, not me!
[00:10:47.915 --> 00:10:51.257]  You thought you'd set up a private, dictatorial world government?
[00:10:53.778 --> 00:11:00.201]  And that you would just deny it existed and then once it went totally operational with world armies and world taxes and world courts?
[00:11:02.442 --> 00:11:07.685]  And once you tried to dissolve western borders and collapse us into the third world, which is all part of the admitted plan?
[00:11:08.971 --> 00:11:10.592]  That people would put up with that?
[00:11:11.673 --> 00:11:13.374]  I believed in humanity.
[00:11:15.255 --> 00:11:19.778]  I believed that when people learned about this, they would get upset and say no.
[00:11:20.138 --> 00:11:21.599]  Now here's the stalemate.
[00:11:22.660 --> 00:11:23.601]  Here's the deadlock.
[00:11:24.441 --> 00:11:25.862]  Here's the Mexican standoff.
[00:11:27.163 --> 00:11:30.025]  Here is the catch-22 we're in.
[00:11:30.045 --> 00:11:37.350]  These globalists with fiat banking have stolen trillions and trillions of dollars for themselves and saddled us with fake fiat debt.
[00:11:38.356 --> 00:11:42.920]  They've got unlimited wealth, but they don't have political power anymore.
[00:11:44.020 --> 00:11:44.941]  As humanity awakens.
[00:11:45.922 --> 00:11:48.224]  And so, they're doubling down with censorship.
[00:11:49.084 --> 00:11:50.405]  And with social disorder.
[00:11:50.946 --> 00:11:52.567]  And with race war, in their own admissions.
[00:11:53.448 --> 00:11:53.928]  How do we know?
[00:11:54.028 --> 00:11:55.109]  It's in the WikiLeaks!
[00:11:57.051 --> 00:11:58.352]  But it's in the Ph.D.
[00:11:58.412 --> 00:11:58.712]  level.
[00:11:59.693 --> 00:12:02.155]  Social science is that you guys use class warfare.
[00:12:02.475 --> 00:12:03.816]  That's classic Marxism.
[00:12:06.256 --> 00:12:06.856]  Mega bankers?
[00:12:06.917 --> 00:12:07.417]  Marxism?
[00:12:07.457 --> 00:12:07.737]  Yes!
[00:12:09.117 --> 00:12:11.999]  People 170 years ago were leaving the plantations.
[00:12:13.339 --> 00:12:19.702]  So the British crown funded communism, it's all on record, as a way to get serfs to go, go back to a commune!
[00:12:21.083 --> 00:12:22.083]  They'd already been on that!
[00:12:22.143 --> 00:12:24.084]  That sounded like where they were supposed to go back to!
[00:12:24.544 --> 00:12:26.245]  This time the politicians will run you!
[00:12:27.506 --> 00:12:28.926]  Everyone will share everything!
[00:12:29.327 --> 00:12:30.467]  Boulderdash!
[00:12:31.708 --> 00:12:32.388]  Poppycock!
[00:12:33.971 --> 00:12:34.531]  B.S.
[00:12:34.832 --> 00:12:35.792]  Rabo Sierra.
[00:12:41.616 --> 00:12:46.800]  So, we've got Elizabeth Warren saying time to use 25th Amendment.
[00:12:49.442 --> 00:12:52.304]  We've got Al Green, Articles of Impeachment, 25th Amendment, everything else.
[00:12:53.105 --> 00:12:57.808]  And you've even got CNN saying, remember, the 25th Amendment requires political apocalypse.
[00:12:59.229 --> 00:12:59.949]  Apocalypse.
[00:13:02.651 --> 00:13:03.332]  Now what's that mean?
[00:13:06.555 --> 00:13:10.518]  Ladies and gentlemen, that's martial law.
[00:13:12.219 --> 00:13:13.400]  That's civil emergency.
[00:13:15.141 --> 00:13:29.330]  And I've talked hundreds of times about the executive orders Obama put into place before he left office, and how it was a deep state coup, and I laid out the entire blueprint, but it wasn't until I saw Mike Adams' article that it all clicked.
[00:13:30.580 --> 00:13:33.081]  When I first talked to him about it, then I saw it, I thought it was extreme.
[00:13:33.641 --> 00:13:34.881]  And from a perspective, it is.
[00:13:35.441 --> 00:13:36.221]  Emergency report.
[00:13:36.301 --> 00:13:37.441]  Trump planning mass arrest.
[00:13:37.742 --> 00:13:39.302]  Military tribunals for deep state traitors.
[00:13:39.502 --> 00:13:40.602]  It's on Infowars.com.
[00:13:40.642 --> 00:13:41.282]  It's gone viral.
[00:13:41.302 --> 00:13:41.962]  Get it out there, buddy.
[00:13:45.263 --> 00:13:48.744]  But it's because they've already said they're going to counterman the president.
[00:13:48.924 --> 00:13:50.264]  They're already ignoring his orders.
[00:13:50.544 --> 00:13:51.544]  That is martial law.
[00:13:51.705 --> 00:13:53.565]  When regular rule of law is suspended,
[00:13:54.736 --> 00:13:57.118]  Even by the Congress and the President, it's martial law.
[00:13:57.338 --> 00:14:06.966]  What about when it's the deep state, rogue groups in the CIA and the Justice Department trying to normalize it on television, saying, we're ignoring him, we're doing what we want, we're the resistance?
[00:14:08.767 --> 00:14:09.387]  What is that?
[00:14:09.548 --> 00:14:19.976]  That is martial law by a rogue group in the government, not even martial law during a meteor strike, or a super volcano, or a category 9.2 earthquake.
[00:14:22.810 --> 00:14:23.650]  And there's civil unrest.
[00:14:23.670 --> 00:14:25.071]  You declare martial law in those areas.
[00:14:25.431 --> 00:14:28.172]  This is political, bureaucratic martial law.
[00:14:28.192 --> 00:14:33.355]  And what did Lindsey Graham on Fox News and CNN, Sunday night, call it, we're going to play that clip coming up.
[00:14:33.775 --> 00:14:49.001]  He said, we have a political, bureaucratic coup, countermanding the rule of law, ruling over much of the federal government in the country, outside of law.
[00:14:51.001 --> 00:14:51.581]  That's a quote.
[00:14:52.322 --> 00:14:55.223]  That's martial law.
[00:14:58.445 --> 00:15:07.109]  These crazy people put us into a parallel martial law system and Obama is a mile from the White House running his own operation.
[00:15:08.950 --> 00:15:13.432]  They've got big tech taking all the orders to ban everybody from James Woods to Alex Jones.
[00:15:15.713 --> 00:15:17.154]  Right, James Woods just got suspended.
[00:15:18.055 --> 00:15:18.495]  It's on!
[00:15:22.321 --> 00:15:32.135]  And I have specifically had the White House and the President thank me recently for the fact that I'm covering the hard topics no one else will to hit the bar bar.
[00:15:32.416 --> 00:15:35.340]  So to all the disinfo operatives and people out there that claim I'm
[00:15:36.508 --> 00:15:37.949]  Somehow not with the President and all that.
[00:15:38.089 --> 00:15:41.310]  You see that disinfo pushed by YouTube and the big media.
[00:15:42.170 --> 00:15:43.610]  Everything else we say is shadow banned.
[00:15:43.991 --> 00:15:46.631]  It's because they don't want you to hear what the President wants you to hear.
[00:15:46.651 --> 00:15:48.612]  The President's been on my show.
[00:15:48.852 --> 00:15:49.772]  I talk to the President.
[00:15:50.113 --> 00:15:50.933]  I'm a real person.
[00:15:51.373 --> 00:15:52.974]  I'm not some anonymous person.
[00:15:53.494 --> 00:15:54.014]  You understand?
[00:15:55.334 --> 00:15:56.515]  Now!
[00:15:58.515 --> 00:15:59.836]  They think you're a goldfish!
[00:16:01.511 --> 00:16:03.572]  I've been betting on you my whole life!
[00:16:03.853 --> 00:16:04.933]  I believe in you!
[00:16:05.353 --> 00:16:06.474]  I don't think you're stupid!
[00:16:08.275 --> 00:16:11.137]  One man separates a woman!
[00:16:11.477 --> 00:16:13.078]  All genitals are cut off!
[00:16:13.318 --> 00:16:15.760]  And we're checking these traitors' asses politically!
[00:16:15.880 --> 00:16:17.121]  And we're not backing down on her!
[00:16:19.022 --> 00:16:19.962]  I wanna get these people!
[00:16:20.002 --> 00:16:20.723]  We're winning!
[00:16:20.783 --> 00:16:21.883]  I can feel the spirit rising!
[00:16:22.044 --> 00:16:22.504]  Can't you?
[00:16:22.804 --> 00:16:24.425]  We have broken their back!
[00:16:24.785 --> 00:16:25.946]  Yes, I can feel it!
[00:16:29.788 --> 00:16:30.329]  Let's go!
[00:16:31.730 --> 00:16:41.722]  C'mon, c'mon, c'mon, c'mon, c'mon, c'mon, c'mon, c'mon, c'mon!
[00:16:41.782 --> 00:16:43.444]  Vengeance is coming!
[00:16:44.084 --> 00:16:45.746]  Fire is coming!
[00:16:45.866 --> 00:16:49.991]  The real revolution against you is coming!
[00:16:50.191 --> 00:16:52.234]  And you will burn in hell!
[00:16:56.551 --> 00:16:59.793]  Right now is Massive Rampage Force!
[00:16:59.833 --> 00:17:00.093]  Go ahead.
[00:17:00.333 --> 00:17:05.936]  Alex, last night I was on with Laura Ingram and I had done the Alex Jones Show yesterday.
[00:17:06.116 --> 00:17:07.237]  I'd done The War Room.
[00:17:07.517 --> 00:17:09.978]  She's not on until 9.40 Central.
[00:17:09.998 --> 00:17:11.559]  That's 10.40 Eastern.
[00:17:11.599 --> 00:17:12.280]  I was exhausted.
[00:17:12.540 --> 00:17:15.822]  I popped two Brain Force Plus and I was good as new.
[00:17:16.162 --> 00:17:20.804]  I mean, it really is mentally stabilizing, mentally energizing.
[00:17:20.884 --> 00:17:22.906]  Tonight I'm on with Tucker Carlson.
[00:17:23.046 --> 00:17:23.566]  Uh, same thing.
[00:17:23.626 --> 00:17:25.707]  I'm gonna put in a full day here at InfoWars.
[00:17:25.807 --> 00:17:27.048]  I'm gonna go on the Tucker tonight.
[00:17:27.208 --> 00:17:29.290]  Thank goodness for this great product.
[00:17:29.330 --> 00:17:34.914]  This is my all-time favorite because it's so effective and it doesn't give you that jacked-up energy drink feeling.
[00:17:34.994 --> 00:17:36.475]  You know, you can sleep with it.
[00:17:36.755 --> 00:17:41.078]  And when you stack it with the Red Pill, the mind-body combination, that is the best.
[00:17:41.138 --> 00:17:43.920]  That supercharges your energy, your vitality.
[00:17:44.080 --> 00:17:45.781]  This is the best combination I have found.
[00:17:45.801 --> 00:17:46.581]  It really works.
[00:17:46.821 --> 00:17:51.425]  It's the best mineral-vitamin combination I have found and I've tried them all.
[00:17:51.785 --> 00:17:53.426]  I wasted a lot of money on old foods.
[00:17:53.626 --> 00:17:53.946]  Believe me.
[00:18:14.349 --> 00:18:19.694]  You want the very best product out there that's designed to aid a healthy heart and cardiovascular system?
[00:18:20.255 --> 00:18:23.658]  It's ExtendoWise, available at InfoWarsLife.com.
[00:18:23.878 --> 00:18:31.886]  And like all of our products are game changers, this baby is the most souped-up, awesome version the top formulators could come up with and still be affordable.
[00:18:32.486 --> 00:18:34.227]  It's one of the very best heart pills out there.
[00:18:34.547 --> 00:18:35.327]  It's XtendoWise.
[00:18:35.527 --> 00:18:38.248]  So, get some for yourself and family and friends.
[00:18:38.628 --> 00:18:41.689]  It's got the very best fish oil from the Fjords.
[00:18:41.729 --> 00:18:47.091]  It's very, very pure, very, very clean and has the EPA type that is specifically good for the heart, cardiovascular system.
[00:18:47.751 --> 00:18:51.252]  It's got the properly formulated type of CoQ10 and more.
[00:18:51.593 --> 00:18:53.153]  It is XtendoWise.
[00:18:53.193 --> 00:18:55.474]  Now available at mfulwardslife.com.
[00:18:56.014 --> 00:18:57.975]  Frank in North Carolina, thanks for holding so long.
[00:18:58.075 --> 00:18:58.375]  Go ahead.
[00:18:58.792 --> 00:19:00.894]  Yeah, Alec, I just have to say something, man.
[00:19:00.914 --> 00:19:03.936]  It seems like every time I turn on your broadcast, you're bragging.
[00:19:04.776 --> 00:19:05.877]  It just gets old, man.
[00:19:06.197 --> 00:19:07.898]  I'm gonna shut you down right now, okay?
[00:19:08.619 --> 00:19:10.700]  We're taking calls about your nomination.
[00:19:10.960 --> 00:19:14.943]  Do you understand they're having congressional hearings trying to shut us down?
[00:19:14.963 --> 00:19:17.425]  Do you understand I'm ringing the alarm?
[00:19:18.266 --> 00:19:20.567]  If that was happening to anybody else, I'd be freaked out.
[00:19:20.587 --> 00:19:22.048]  I mean, what's it gonna take?
[00:19:22.308 --> 00:19:23.189]  Us being shut down?
[00:19:23.429 --> 00:19:24.470]  Is that what you want, Frank?
[00:19:24.890 --> 00:19:25.931]  You know what, Alex?
[00:19:25.971 --> 00:19:27.051]  Hey, put him on pause again.
[00:19:27.071 --> 00:19:27.912]  Hey, Frank!
[00:19:28.152 --> 00:19:33.535]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:19:33.836 --> 00:19:38.118]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:19:38.358 --> 00:19:41.220]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:19:41.240 --> 00:19:41.861]  Do you understand?
[00:19:41.961 --> 00:19:43.221]  I need your help, Frank!
[00:19:43.602 --> 00:19:44.762]  I need your help, Frank!
[00:19:45.723 --> 00:19:50.686]  Go to Infowarsstore.com right now and help fund the Infowars.
[00:19:51.587 --> 00:19:52.287]  Do you understand?
[00:19:52.307 --> 00:19:53.488]  I need your help, Frank!
[00:19:59.801 --> 00:20:02.565]  You're listening to The Alex Jones Show.
[00:20:08.293 --> 00:20:17.164]  While you were sleeping, they came and took it all away.
[00:20:26.312 --> 00:20:42.562]  Ladies and gentlemen, Alex Jones here, worldwide.
[00:20:43.903 --> 00:20:46.765]  Broadcasting on hundreds of TV stations, radio stations across the country.
[00:20:49.469 --> 00:20:52.853]  And at InfoWars.com and NewsWars.com with our own audio and video feeds.
[00:20:52.893 --> 00:20:54.495]  But everywhere else we are being blocked.
[00:20:54.575 --> 00:20:56.137]  We are being completely banned.
[00:20:56.257 --> 00:20:57.278]  Not just shadow banned.
[00:20:57.759 --> 00:20:59.201]  And now it's happening to James Woods.
[00:21:00.002 --> 00:21:02.304]  Now it's happening to every other prominent person you can imagine.
[00:21:02.464 --> 00:21:04.267]  Only 43 days out from the election.
[00:21:04.707 --> 00:21:06.950]  The good news is Trump
[00:21:08.769 --> 00:21:14.271]  Pressuring Rosenstein to resign, because now Bloomberg's usually pretty accurate even though they're globalists.
[00:21:14.871 --> 00:21:15.711]  They're business news.
[00:21:15.751 --> 00:21:22.253]  I found them to be a lot more accurate than, you know, kind of your mainstream ABC or CBS or NBC or CNN.
[00:21:22.733 --> 00:21:30.575]  And they're saying that he has already resigned verbally, but of course they were trying to trick the president into announcing it early so he could then deny it.
[00:21:30.815 --> 00:21:32.335]  It's total rat-like behavior.
[00:21:33.036 --> 00:21:37.297]  And Trump has the Trump cards, pun intended,
[00:21:38.527 --> 00:21:44.791]  In that he has McCabe, he has Comey, he has all their text messages.
[00:21:45.732 --> 00:21:47.814]  These people are very, very arrogant.
[00:21:49.615 --> 00:21:52.297]  But now they're saying he expects to be fired.
[00:21:55.079 --> 00:22:02.764]  With that disgusting, again, possum-like smirk that he has that's so unbelievable.
[00:22:04.090 --> 00:22:20.450]  Remember, he changed the succession in the Justice Department from the Deputy Attorney General to the Inspector General, the watchdog, to just low-level political operatives of the Bushes and the Clintons.
[00:22:21.391 --> 00:22:23.494]  He is an arrogant little monster.
[00:22:24.790 --> 00:22:30.994]  And then they used the corporate media to bludgeon the president over the head to say, how dare you never remove him, never remove Mueller.
[00:22:31.374 --> 00:22:33.216]  Let him do giant fishing expeditions.
[00:22:33.256 --> 00:22:35.637]  Let him go after people's taxes 15 years ago.
[00:22:35.677 --> 00:22:40.220]  Let him go after girlfriends that you gave money to 15 years ago.
[00:22:40.781 --> 00:22:41.741]  Nothing to do with Russia.
[00:22:43.843 --> 00:22:45.044]  Let us raid your lawyers.
[00:22:45.404 --> 00:22:48.926]  Meanwhile, Hillary committed crimes that are mind-boggling.
[00:22:48.986 --> 00:22:51.068]  This is the arrogant mental illness
[00:22:52.358 --> 00:23:02.946]  ...of the Clinton-Bush dynasty and their little stay-behind operatives that they left behind inside the government via Obama's executive orders, believing that they were actually still in charge.
[00:23:03.506 --> 00:23:16.636]  So they all walked around cockily and they went on TV, Brennan and all the rest of them, and said, we're still in charge, the government's not going to do what this guy says, the government's going to kill the president, seven ways to Sunday to take him down, we're in charge.
[00:23:17.837 --> 00:23:20.219]  But the arrogance is now evaporating.
[00:23:21.179 --> 00:23:21.680]  But remember,
[00:23:23.394 --> 00:23:25.015]  Six presidents have been shot.
[00:23:25.715 --> 00:23:26.456]  I'm going from memory.
[00:23:26.476 --> 00:23:27.096]  We can look that up.
[00:23:27.136 --> 00:23:28.356]  How many presidents have been shot?
[00:23:28.597 --> 00:23:28.897]  Six.
[00:23:30.317 --> 00:23:31.698]  Six presidents have been shot.
[00:23:32.258 --> 00:23:33.599]  How many have been assassinated?
[00:23:33.659 --> 00:23:33.899]  Three?
[00:23:33.919 --> 00:23:36.000]  I'm going from memory.
[00:23:37.901 --> 00:23:39.902]  Woodrow Wilson probably got poisoned, but he'd be a fourth.
[00:23:41.104 --> 00:23:46.967]  There have been 30 attempts to kill an incumbent or former president or a president-elect have been made since the 1800s.
[00:23:47.347 --> 00:23:48.807]  Four sitting presidents have been killed.
[00:23:49.588 --> 00:23:50.588]  All of them by gunshot.
[00:23:50.728 --> 00:23:53.970]  Abraham Lincoln, James A. Garfield, William McKinley, and John F. Kennedy.
[00:23:54.010 --> 00:23:54.470]  That's four.
[00:23:54.830 --> 00:23:55.390]  I'm going from memory.
[00:23:57.171 --> 00:23:57.391]  Four.
[00:23:57.451 --> 00:24:01.293]  I guess one of them died from an infection, that's right, from the bullet wounds, so technically he died from it as well.
[00:24:02.353 --> 00:24:05.455]  So, their only option now
[00:24:06.536 --> 00:24:07.697]  Because the Senate gets it.
[00:24:08.177 --> 00:24:10.138]  Trump is now using his constitutional power.
[00:24:10.478 --> 00:24:12.139]  He's got all the emails, all the text.
[00:24:12.499 --> 00:24:17.341]  And suddenly the Senate goes, we know you got a whole bunch of other women lined up as political operatives.
[00:24:18.101 --> 00:24:20.122]  Every one of these stories has already fallen apart.
[00:24:20.522 --> 00:24:23.203]  We're going to go ahead with the vote on Friday.
[00:24:26.805 --> 00:24:35.369]  And so all the bluster, all the bravado, all the chutzpah, all of it, is now beginning
