[00:00:13.047 --> 00:00:13.908]  You found it.
[00:04:55.952 --> 00:05:00.313]  They will do anything to avoid putting that little bit of money to protect the border.
[00:05:00.734 --> 00:05:01.094]  Stay with us.
[00:05:01.114 --> 00:05:01.554]  We'll be right back.
[00:05:03.717 --> 00:05:04.858]  Defeat the globalists.
[00:05:05.398 --> 00:05:06.559]  Hashtag Alex Jones.
[00:05:07.119 --> 00:05:08.200]  Defeat the pedophiles.
[00:05:08.640 --> 00:05:09.741]  Hashtag Alex Jones.
[00:05:10.682 --> 00:05:14.925]  Defeat Alexandra Cortez and her mindless idiocy with hashtag Alex Jones.
[00:05:15.585 --> 00:05:18.788]  Defeat the censors with hashtag Alex Jones.
[00:05:19.388 --> 00:05:27.434]  They've tried to ban us off every platform out there, but we've just gotten stronger because you've taken action with hashtag Alex Jones.
[00:05:28.374 --> 00:05:37.738]  I am patient zero in the massive banning, but you can override the censors now, and if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[00:05:38.439 --> 00:05:42.321]  We've already changed the world together with our laser focus.
[00:05:42.381 --> 00:05:48.283]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[00:05:48.343 --> 00:05:51.165]  Call or talk radio, C-SPAN, shout it out loud in public.
[00:05:51.365 --> 00:05:52.605]  Hashtag Alex Jones.
[00:05:52.866 --> 00:05:55.907]  That's the rallying cry to restore the First Amendment.
[00:05:59.073 --> 00:06:02.636]  And the dynamic human spirit that refuses to submit!
[00:06:04.498 --> 00:06:09.563]  From the front lines of the Information War, it's Alex Jones.
[00:06:16.095 --> 00:06:32.827]  I've been on the air 24 years, but I've never covered a grouping of stories that together signify the biggest change, not just to United States policy, but to the entire direction of the world.
[00:06:34.228 --> 00:06:40.573]  This constellation of developments has the political establishment, the corrupt globalists, shaking to their core.
[00:06:42.503 --> 00:06:53.473]  But the underlying theme here is extreme change for the better, but also with an extreme danger to our 45th president, Donald John Trump.
[00:06:55.134 --> 00:06:59.758]  Now, I'm going to cover some of the latest developments with the president, and then I'm going to hit the big story.
[00:07:00.739 --> 00:07:08.446]  And that, of course, is the private run-for-profit Federal Reserve established 104 years ago secretly at Jekyll Island, Georgia.
[00:07:09.941 --> 00:07:17.266]  Ladies and gentlemen, Trump has openly signaled that he's ready to fire the private head of the Federal Reserve and even reorganize it.
[00:07:19.187 --> 00:07:25.671]  Mainstream corporate media has said that he doesn't have the power to do it, but I have the Federal Reserve Act in front of me, and I'm going to read to you from it.
[00:07:26.251 --> 00:07:36.158]  But obviously, if he appoints the head of the Fed, he can remove the head of the Fed, and we the people can abolish this fraudulent organization.
[00:07:37.346 --> 00:07:45.834]  But remember, the last president that tried to abolish the Federal Reserve got riddled with bullets in Dallas, Texas, Dealey Plaza.
[00:07:46.594 --> 00:07:48.817]  So let's run through why the establishment's so scared.
[00:07:50.298 --> 00:07:54.682]  Trump ran on removing troops from our longest war, Afghanistan, and against the Syrian war.
[00:07:55.322 --> 00:08:00.067]  Now we've basically ended the conflict there that Obama helped start, and the troops are being pulled out.
[00:08:01.676 --> 00:08:08.187]  Both political parties are now against him and the left have now become rabid pro-war zealots foaming at the mouth.
[00:08:08.247 --> 00:08:11.573]  The same people who used to show us death counts daily under the Bush era.
[00:08:12.615 --> 00:08:13.136]  Continuing.
[00:08:14.153 --> 00:08:16.854]  We have the bad trade deals being reversed.
[00:08:17.454 --> 00:08:18.954]  Millions of new jobs.
[00:08:18.974 --> 00:08:22.495]  The stock market had more than doubled until they sabotaged it.
[00:08:23.215 --> 00:08:35.898]  We've seen criminal justice reform, where Hillary Clinton helped get laws passed with Bill tripling sentences for black people over white people, and saying blacks are super predators that need to be brought to heel like dogs.
[00:08:36.818 --> 00:08:39.999]  Now that that's been signed and passed, the President's getting no credit for it.
[00:08:40.399 --> 00:08:41.079]  He truly is.
[00:08:42.606 --> 00:08:44.327]  The Liberator, ladies and gentlemen.
[00:08:45.007 --> 00:08:46.047]  Sovereignty's back.
[00:08:46.167 --> 00:08:49.169]  Territorial integrity is back.
[00:08:49.209 --> 00:08:55.471]  He pulled us out of unelected globalist trade deals that circumvented Congress, the presidency, and the people, like TPP.
[00:08:56.452 --> 00:08:58.392]  The list goes on and on.
[00:08:59.073 --> 00:09:07.556]  But now let's move to why Trump is for real and why he's in grave danger.
[00:09:08.917 --> 00:09:09.637]  President Trump
[00:09:11.030 --> 00:09:13.032]  He's moving against the private Federal Reserve.
[00:09:13.872 --> 00:09:20.377]  Hasn't been audited in 104 years, but when it was founded, it was confirmed that over 80% of it was basically European owned.
[00:09:21.758 --> 00:09:32.327]  So a private banking consortium has hoodwinked the public and the world into believing that it's above the law and no one can audit it and no one can question what it does.
[00:09:33.677 --> 00:09:42.325]  Well, the other three branches of government are questionable and audible, but it's not even a branch of government, like Federal Ammunition or Federal Express.
[00:09:42.405 --> 00:09:42.886]  It's private.
[00:09:43.226 --> 00:09:45.708]  And this is now all admitted and confirmed.
[00:09:46.449 --> 00:09:52.515]  A hundred years ago it was known, but over time they brainwashed the public where the public didn't even understand this.
[00:09:52.815 --> 00:09:54.617]  Now, because we've exposed it,
[00:09:56.024 --> 00:09:57.825]  We can have a real debate about it.
[00:09:58.465 --> 00:10:22.780]  But first, let's go to a short minute clip of Alan Greenspan, 10 years ago, during the subprime crisis that the private banks had engineered to consolidate control and get trillions in bailouts for themselves, telling Laird NewsHour that Congress and the President and everyone else cannot even question or say anything, that the Federal Reserve is like God.
[00:10:24.218 --> 00:10:32.002]  What is the proper relationship, what should be the proper relationship between a chairman of the Fed and a president of the United States?
[00:10:33.623 --> 00:10:47.331]  Well, first of all, the Federal Reserve is an independent agency, and that means basically that there is no other agency of government which can overrule actions that we take.
[00:10:48.750 --> 00:11:07.034]  So long as that is in place and there is no evidence that the administration or the Congress or anybody else is requesting that we do things other than what we think is the appropriate thing, then what the relationships are don't frankly matter.
[00:11:07.194 --> 00:11:10.855]  And I've had very good relationships with presidents.
[00:11:12.075 --> 00:11:14.716]  Now, I'm doing my best here to be calm.
[00:11:15.964 --> 00:11:27.130]  But did you just hear the giant con game, the giant Jedi mind trick that the former head of the Federal Reserve just put out there?
[00:11:28.351 --> 00:11:32.673]  That no one can question them, no one can investigate them, no one can look into them.
[00:11:34.334 --> 00:11:42.799]  They are completely above everything, not just above the law, but above investigation, above scrutiny.
[00:11:43.962 --> 00:11:46.203]  No one is above the law.
[00:11:47.803 --> 00:11:56.325]  Now, let's look at the facts, because CNN, MSNBC are saying Trump isn't allowed to even talk about firing the head of the private Federal Reserve.
[00:11:57.145 --> 00:11:57.785]  But he is!
[00:11:58.725 --> 00:12:00.946]  It's in the Federal Reserve Act that I'll read to you in a moment.
[00:12:00.966 --> 00:12:04.987]  But first, Trump was right during the campaign.
[00:12:05.827 --> 00:12:10.688]  And he was right, again, just a few months ago, in the second campaign, in the midterms.
[00:12:11.641 --> 00:12:22.206]  He said, if you want to plunge the stock market, if you want the regulations back, if you want to kill the recovery, elect the Democrats, because that will signal that they're going to be able to overturn this revolution.
[00:12:22.926 --> 00:12:27.108]  But he went on to say, the Federal Reserve better not raise interest rates anymore.
[00:12:27.128 --> 00:12:28.509]  They've already raised it seven times.
[00:12:29.269 --> 00:12:30.309]  Never did that under Obama.
[00:12:31.270 --> 00:12:33.631]  He said, if they do that, it'll tank our economy.
[00:12:34.807 --> 00:12:43.013]  The Federal Reserve is part of the OECD and the Ex-Im Bank, big international consortiums that basically rig interest rates around the world and other things.
[00:12:44.594 --> 00:12:52.360]  It's a monopoly over currency, just like OPEC's monopoly over oil and other petrochemicals and derivatives.
[00:12:53.520 --> 00:12:54.941]  And OPEC
[00:12:56.161 --> 00:13:01.625]  Has also, at many levels, been working with the same private Federal Reserve multinational consortium.
[00:13:02.265 --> 00:13:06.368]  And these groups have agreed to let China have 10% growth rates forever.
[00:13:07.169 --> 00:13:09.671]  And, it gets worse, 0% interest rates.
[00:13:10.151 --> 00:13:12.013]  So just remember why Trump is so angry.
[00:13:13.694 --> 00:13:16.216]  We get higher interest rates, China gets zero.
[00:13:16.536 --> 00:13:20.539]  All of this is to make China the place to invest.
[00:13:21.479 --> 00:13:23.201]  So here's this group that thinks it's above the law.
[00:13:24.690 --> 00:13:26.511]  Dictating to you what they're going to do.
[00:13:27.091 --> 00:13:29.912]  They've not been audited or investigated over 104 years.
[00:13:30.592 --> 00:13:31.533]  Here's an article out of Forbes.
[00:13:32.853 --> 00:13:37.075]  How Trump could fire Powell and rebuild the Fed.
[00:13:37.715 --> 00:13:40.316]  And then it says right here, from the Federal Reserve Act of 1913.
[00:13:40.656 --> 00:13:51.621]  Thereafter, each member shall hold office for a term of 14 years from the expiration of the term of his predecessor, unless sooner removed by cause for the president.
[00:13:53.241 --> 00:13:53.842]  So read that again.
[00:13:55.091 --> 00:13:59.153]  Unless sooner removed for cause by the president.
[00:14:00.834 --> 00:14:03.876]  And the president decides with his executive power the cause.
[00:14:05.056 --> 00:14:09.099]  Back when Obama was president, oh, the left loved all the powers of the presidency.
[00:14:09.139 --> 00:14:17.003]  But now that Trump's in there, they claim that he can't even trim his toenails without permission from the bureaucracy.
[00:14:18.203 --> 00:14:22.706]  They're saying it was some reckless move to pull out of Syria and to pull out of Afghanistan when he ran on that.
[00:14:23.446 --> 00:14:33.373]  The truth is, you have a political consortium that follows a global plan, and presidents have just become ceremonial, and now Trump is no longer being ceremonial.
[00:14:34.053 --> 00:14:35.195]  He is being the president.
[00:14:35.555 --> 00:14:39.540]  And whether you agree with him or disagree with him, this is how the Constitution works.
[00:14:39.641 --> 00:14:41.323]  This is how this country is supposed to operate.
[00:14:41.603 --> 00:14:49.714]  And that's why the people that have stolen and usurped our country's destiny are so unhappy because Trump is wresting the wheel of state away from them.
[00:14:50.695 --> 00:14:51.456]  These are the facts.
[00:14:51.996 --> 00:15:00.103]  Now David Knight's hosting live today so I'll take you back live to David Knight in studio hosting the Sunday show 4 to 6 p.m.
[00:15:00.443 --> 00:15:06.007]  every Sunday and then David comes back of course with his own program 8 a.m.
[00:15:06.227 --> 00:15:06.988]  Central every
[00:15:09.735 --> 00:15:10.636]  We're good to go.
[00:15:34.745 --> 00:15:39.367]  All right, that's Alex Jones, and I'm David Knight, and we're going to be talking more about what's going on with the Federal Reserve coming up.
[00:15:39.988 --> 00:15:42.669]  We're also going to talk about what's going on with the breaking news.
[00:15:42.729 --> 00:15:45.990]  President Trump said to General Mattis that you can't quit, I'm firing you.
[00:15:46.951 --> 00:15:49.372]  Effective January the 1st, you're out of here.
[00:15:49.392 --> 00:15:52.253]  And we're going to tell you about this other guy who walked out.
[00:15:52.894 --> 00:15:54.094]  Very interesting, I think you'll find.
[00:15:54.114 --> 00:15:55.155]  When we come back, stay with us.
[00:16:05.595 --> 00:16:11.178]  I almost have to just sit back and take a moment of silence to think about how far we've come against the globalists.
[00:16:12.079 --> 00:16:13.960]  Ten years ago, you talk about a private Federal Reserve.
[00:16:13.980 --> 00:16:14.560]  People laughed at you.
[00:16:14.600 --> 00:16:15.500]  Now everybody knows it's private.
[00:16:16.541 --> 00:16:21.444]  Ten years ago, you talk about a private one-world government with a plan for global carbon tax and a plan to break up the family.
[00:16:21.504 --> 00:16:22.965]  People told you you were crazy.
[00:16:24.305 --> 00:16:29.728]  But as 2018 prepares to unleash its mortal coil and give birth to 2019,
[00:16:32.096 --> 00:16:32.816]  We've been proven right.
[00:16:33.596 --> 00:16:44.558]  That's why we're branded as fake news, that's why we're branded as Nazis, and all this made-up crazy crap by the horrible, deceptive corporate media that's sold out to all these multinational interests, like the Chai Koms and others.
[00:16:45.078 --> 00:16:49.959]  So, I just want to make the statement again that humanity is awakening, thanks to God and all of your action.
[00:16:50.139 --> 00:16:56.680]  We are moving the ball down the field against the globalists, and now, more than ever, people have to realize that we're entering the event horizon.
[00:16:56.860 --> 00:17:00.701]  We've already passed the point of no return, and it's now up to you, InfoWars.
[00:17:01.281 --> 00:17:02.002]  Is in your hands.
[00:17:02.863 --> 00:17:06.586]  And InfoWars has been targeted because we are successful and we tell the truth.
[00:17:06.886 --> 00:17:08.768]  And they want to take us down to get at you.
[00:17:09.529 --> 00:17:12.251]  So just as I am in your hands, you are in our hands.
[00:17:13.012 --> 00:17:14.634]  We have a shared destiny.
[00:17:14.994 --> 00:17:15.995]  And everyone knows it.
[00:17:16.015 --> 00:17:16.656]  They can feel it.
[00:17:16.956 --> 00:17:17.616]  They can smell it.
[00:17:18.356 --> 00:17:19.558]  And they're coming from everybody.
[00:17:20.199 --> 00:17:27.308]  Michael Savage, Sean Hannity, and myself, and Owen Schroer, and Matt Drudge, and everybody.
[00:17:27.328 --> 00:17:29.752]  They're trying to take everybody, Gavin McGinnis, off the air right now.
[00:17:30.432 --> 00:17:33.256]  But none of those guys were ever able to build their own platform except for Drudge.
[00:17:34.315 --> 00:17:40.497]  That's why you've got to support the InfoWars platform, because this model would mean the death to the globalist program of people being independent.
[00:17:40.757 --> 00:17:45.799]  InfoWars is the renaissance model, not the conquest model, and it's you that funds it and supports it.
[00:17:45.839 --> 00:17:49.700]  So, I spread the word, praying for us, and financially supporting us getting great products.
[00:17:50.020 --> 00:17:51.821]  InfoWarsStore.com, you make it all possible.
[00:17:52.161 --> 00:17:56.543]  And we have the best deals ever until the end of the year at InfoWarsStore.com.
[00:17:56.783 --> 00:17:57.243]  Thank you all.
[00:18:03.132 --> 00:18:11.717]  Many of you watching or listening have either been completely banned off social media or you have been censored.
[00:18:12.538 --> 00:18:21.523]  And we've seen thousands of prominent voices banned off Facebook, Twitter, YouTube, Google, Instagram in the last two years.
[00:18:22.404 --> 00:18:28.487]  It all started the day after Hillary Clinton, who outspent Donald Trump 10 to 1 in the 2016 election.
[00:18:32.210 --> 00:18:41.933]  America was supposed to be all sewed up for the culture war, with the deindustrialization, the demoralization, but it didn't happen the way they'd planned it.
[00:18:42.674 --> 00:18:53.957]  And so now they've announced Michael Savage, 20-something years on air, number one in his slot nationwide, is having his show canceled and replaced with Ben Shapiro, who's never even had a talk show on the radio.
[00:18:55.778 --> 00:18:57.919]  Now we see they're trying to take Tucker Carlson off the air.
[00:18:58.823 --> 00:19:02.645]  Now we see Gavin McGinnis, number one on CRTV, taken down.
[00:19:03.366 --> 00:19:10.329]  Whoever's number one on their platform is taken down, because that's who the globalists fear is leaders.
[00:19:12.190 --> 00:19:21.456]  Ladies and gentlemen, there's national campaigns out there to not even let other people post this to YouTube, Twitter, or Facebook, where even our fans can't counter what's happening.
[00:19:22.284 --> 00:19:26.527]  Look, there's one thing they haven't figured out how to censor yet, and that's hashtags.
[00:19:27.248 --> 00:19:33.433]  Whether it's Twitter, whether it's Instagram, whether it's Facebook, whether it's YouTube, it leads people back to feeds of information.
[00:19:34.372 --> 00:19:36.633]  Hashtag Alex Jones.
[00:19:37.573 --> 00:19:51.239]  If all of you, when you make a tweet, or send it on Instagram, or even talk to your neighbors, or call in to talk radio, just tell people the way to get around the censorship and break the back of the system is hashtag Alex Jones.
[00:19:51.939 --> 00:19:56.200]  If everybody starts doing that, it's going to be the shot heard around the world.
[00:19:56.240 --> 00:19:59.902]  So whatever you do, start today with hashtag Alex Jones.
[00:20:06.444 --> 00:20:10.429]  You're listening to the Alex Jones Show.
[00:20:12.952 --> 00:20:16.776]  When the war was over, there were jobs galore.
[00:20:17.877 --> 00:20:18.718]  For the G.I.
[00:20:18.758 --> 00:20:21.541]  Josephs who were in the war.
[00:20:22.542 --> 00:20:25.626]  But for generals, things were not so grand.
[00:20:28.031 --> 00:20:31.654]  And it's not so hard to understand.
[00:20:34.456 --> 00:20:39.580]  What can you do with a general when he stops being a general?
[00:20:40.040 --> 00:20:43.823]  Oh, what can you do with a general who retired?
[00:20:44.384 --> 00:20:45.544]  Or maybe he was fired.
[00:20:45.644 --> 00:20:49.587]  We're trying to figure out whether this retired was fired, right?
[00:20:50.208 --> 00:20:52.530]  And this is at Washington Ablaze.
[00:20:52.570 --> 00:20:53.731]  Go ahead and take that down.
[00:20:53.751 --> 00:20:54.991]  Of course, that's from White Christmas.
[00:20:55.392 --> 00:20:56.713]  That movie, you may remember.
[00:20:57.827 --> 00:20:59.128]  Was about global warming.
[00:20:59.528 --> 00:21:00.048]  That's right!
[00:21:00.989 --> 00:21:04.991]  Maybe, you know, Mattis can retire and buy an inn in Vermont or something.
[00:21:05.051 --> 00:21:06.972]  But then of course, you know, we have that global warming.
[00:21:07.012 --> 00:21:08.513]  But then that was happening back then.
[00:21:08.553 --> 00:21:14.357]  They weren't silly enough back in the days of Irving Berlin to blame weather on mankind.
[00:21:14.497 --> 00:21:15.637]  But we are today.
[00:21:16.498 --> 00:21:21.481]  And so that whole movie, as you remember, was about a snow drought that they were having up there.
[00:21:21.521 --> 00:21:22.682]  And they organized a
[00:21:24.302 --> 00:21:25.283]  A charity event.
[00:21:26.263 --> 00:21:27.724]  Trying to get everybody to support the general.
[00:21:27.744 --> 00:21:34.286]  Who apparently doesn't have the kind of golden parachute pension plans that modern day generals do.
[00:21:34.766 --> 00:21:36.026]  Those generals are real generals.
[00:21:36.367 --> 00:21:39.468]  These guys are politicians and they are lifetime bureaucrats.
[00:21:39.508 --> 00:21:41.288]  They have a massive pension.
[00:21:41.308 --> 00:21:43.129]  But of course you can always have more, right?
[00:21:44.129 --> 00:21:45.250]  Just like Rockefeller said.
[00:21:45.710 --> 00:21:47.030]  It's always a little bit more.
[00:21:47.130 --> 00:21:48.551]  You never kind of get enough.
[00:21:49.231 --> 00:21:51.252]  But when we look at what happened
[00:21:52.991 --> 00:21:57.454]  Over the weekend, I talked about James Mattis, his manifesto.
[00:21:58.055 --> 00:21:59.396]  They call it a resignation letter.
[00:21:59.576 --> 00:22:01.117]  I call it a globalist manifesto.
[00:22:01.838 --> 00:22:04.160]  And I'll tell you why in just a moment.
[00:22:04.320 --> 00:22:12.686]  But President Trump had enough, and so he tweeted out today that he's got somebody that's going to be starting effective January the 1st.
[00:22:12.807 --> 00:22:17.710]  In other words, he's not going to wait for the 60 to 90 days that Mattis said he was going to hang around.
[00:22:18.231 --> 00:22:20.693]  To make sure, of course, that we had an adult in the room.
[00:22:22.327 --> 00:22:35.910]  And as one of the reports, Mattis said, this is a guy, when you look at the fact that they called him Mad Dog Mattis, and he bragged about how he wanted to have a plan to kill everybody in the room.
[00:22:36.731 --> 00:22:37.831]  He's the adult in the room.
[00:22:40.011 --> 00:22:42.472]  You can't make this stuff up.
[00:22:42.592 --> 00:22:44.372]  Pretty amazing what we have here.
[00:22:44.592 --> 00:22:46.773]  And of course, if we go back and look at his resignation letter,
[00:22:48.444 --> 00:22:56.407]  He's saying things like his core belief is that our strength as a nation is inextricably linked to the strength of our system of alliances and partnerships.
[00:22:56.447 --> 00:22:57.027]  Well, you know what?
[00:22:57.807 --> 00:23:00.968]  That is exactly the opposite of what America is about.
[00:23:02.429 --> 00:23:11.472]  It is enough to make the founders of America spend in their graves, Washington said in his farewell address, to avoid entangling alliances for this very reason.
[00:23:13.112 --> 00:23:15.653]  And yet he thinks that's our core strength.
[00:23:17.805 --> 00:23:22.890]  And he goes on to say that we have to do everything possible to advance an international order.
[00:23:23.050 --> 00:23:24.472]  No, that is not your job.
[00:23:25.373 --> 00:23:37.285]  All of these people who say that they can't spend a little tiny sliver of the budget to defend our country are adamant that we have to defend these alliances.
[00:23:38.581 --> 00:23:44.146]  Because, see, their loyalty is to these international alliances and to the military-industrial complex, not to America.
[00:23:44.707 --> 00:23:46.568]  That's the bottom line, folks, that you need to understand.
[00:23:47.189 --> 00:23:51.533]  It's great that President Trump is finally moving against these people.
[00:23:53.584 --> 00:24:02.332]  One individual, Matt Purple, said, and the American conservative said, Vladimir Putin is being given credit for all this stuff.
[00:24:03.072 --> 00:24:04.894]  No, it's actually President Trump.
[00:24:05.895 --> 00:24:13.321]  One headline said somehow he got a double shot of political Viagra and realized that he's got a lot of power that he can use.
[00:24:13.622 --> 00:24:17.125]  And he's going straight at the centers of power.
[00:24:17.585 --> 00:24:19.167]  But as Matt Purple said,
[00:24:20.267 --> 00:24:21.888]  Vladimir Putin must be a wily one.
[00:24:21.988 --> 00:24:24.710]  Think about all that he's managed to accomplish over the last 24 hours.
[00:24:25.250 --> 00:24:31.955]  According to the geopolitical wizards on Twitter, at Putin's behest, President Trump on Wednesday announced the withdrawal of American troops from Syria.
[00:24:32.918 --> 00:24:45.407]  That's now cleared the path for Russia to exert control over Damascus, the Middle East, indeed the world itself, because Moscow has at last secured the jewel in its neo-conservative, I should say, neo-Soviet empire.
[00:24:45.427 --> 00:24:47.108]  We're the ones with the neo-conservative empire.
[00:24:47.548 --> 00:24:50.770]  A strip of chaotic desert in northeast Syria.
[00:24:51.991 --> 00:24:54.393]  Yeah, it's pretty silly when we look at this.
[00:24:54.433 --> 00:25:01.838]  And of course, Rand Paul pointed out that we have these armchair generals and, you know, what are we going to do with them?
[00:25:02.817 --> 00:25:05.964]  We should show them the door just like President Trump did.
[00:25:06.425 --> 00:25:10.995]  But Rand Paul said this about the armchair generals who want to keep us at war forever.
[00:25:11.055 --> 00:25:11.917]  Video clip for.
[00:25:13.166 --> 00:25:14.106]  It was never the mission.
[00:25:14.126 --> 00:25:17.008]  The mission was to wipe out ISIS, and we did succeed.
[00:25:17.308 --> 00:25:20.689]  And the thing is, it's incredibly bold to win a war and come home.
[00:25:21.049 --> 00:25:22.250]  That's what the people want.
[00:25:22.630 --> 00:25:30.713]  If you poll the American people, it's 60-70% of people are ready to get out of Afghanistan, and I'll bet you the same is Syria if you ask the people.
[00:25:31.093 --> 00:25:35.775]  It's only the people in Washington, the armchair generals, that want to keep us at war forever.
[00:25:36.235 --> 00:25:37.998]  And people, Americans are tired of it.
[00:25:38.038 --> 00:25:39.299]  We want that money here at home.
