[00:00:06.147 --> 00:00:09.910]  Infowars.com is tomorrow's news.
[00:02:08.695 --> 00:02:09.416]  Great idea.
[00:02:09.736 --> 00:02:23.103]  We've done four or five of these just as little pieces where we, the talk show host, we, the reporters, we, the investigative journalists, we, the muckrakers, we, the firebrands, the rabble-rousers for 1776, we, the truth-tellers, give you our view.
[00:02:23.923 --> 00:02:27.204]  And I've got some of my ideas, but we're going to collate these.
[00:02:27.444 --> 00:02:29.145]  We're going to tweet them out at Real Alex Jones.
[00:02:29.445 --> 00:02:31.685]  We're going to tweet them out at Prison Planet with Paul Watson.
[00:02:31.886 --> 00:02:33.906]  We're going to tweet it out at Dews News.
[00:02:34.126 --> 00:02:36.227]  We're going to tweet it out at David Knight.
[00:02:37.107 --> 00:02:38.568]  We're going to tweet it out at The War Room.
[00:02:39.308 --> 00:02:42.069]  We're going to tweet all of this out.
[00:02:44.450 --> 00:02:46.930]  We're going to tweet your nominations.
[00:02:48.391 --> 00:02:51.792]  Your nominations for
[00:02:52.895 --> 00:02:55.496]  The Fake News Awards People's Choice.
[00:02:56.196 --> 00:02:58.476]  And, we're going to have the top ten.
[00:02:58.496 --> 00:03:21.621]  We're going to have the top ten today, by the time the war room has started, and then we're going to go over those ten on air, and we're going to judge, myself, Rob Dube, Owen Schroyer, Roger Stone, and other crew members, we're going to choose, in order,
[00:03:22.523 --> 00:03:31.287]  The top ten from those ten, and the top three individuals, when you call in, we're going to get your name and number with your nomination.
[00:03:31.307 --> 00:03:32.328]  It's going to be a lot of work.
[00:03:33.888 --> 00:03:35.289]  You're going to win first prize.
[00:03:38.330 --> 00:03:39.271]  $2,000.
[00:03:38.690 --> 00:03:39.271]  Second prize, $1,000.
[00:03:39.311 --> 00:03:42.173]  Third prize, a set of steak knives.
[00:03:42.293 --> 00:03:42.694]  Seriously.
[00:03:43.094 --> 00:03:45.937]  Just to make it fun and an ode to Lynn Leary, Glenn Ross.
[00:03:46.377 --> 00:03:48.659]  So, that's coming up today.
[00:03:48.779 --> 00:03:51.162]  It is going to be an extravaganza.
[00:03:51.682 --> 00:03:53.324]  It snuck up on me seven days ago.
[00:03:53.344 --> 00:03:54.805]  He moved it up.
[00:03:55.526 --> 00:03:57.828]  Moved it back because he needed more time to get ready, obviously.
[00:04:00.392 --> 00:04:00.672]  I don't know.
[00:04:16.884 --> 00:04:17.564]  Oval Office
[00:04:38.143 --> 00:04:39.184]  Top fake news here.
[00:04:39.204 --> 00:04:46.008]  I've already got some major contenders we're going to talk about on the other side of this break.
[00:04:46.328 --> 00:04:47.229]  I'm Alex Jones.
[00:04:47.569 --> 00:04:49.651]  Please stay with us and spread the live links.
[00:04:50.711 --> 00:04:52.753]  It's the People's Choice Fake News Awards!
[00:04:55.817 --> 00:05:00.679]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[00:05:00.979 --> 00:05:05.421]  After years of research on the human microbiome, not all probiotics are made the same.
[00:05:05.742 --> 00:05:14.085]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[00:05:14.425 --> 00:05:17.667]  This is critical because stomach acid kills most probiotics
[00:05:17.927 --> 00:05:22.870]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[00:05:23.170 --> 00:05:30.153]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[00:05:30.473 --> 00:05:34.095]  Did you know that over 80% of your immune system is located in your gut?
[00:05:34.395 --> 00:05:38.738]  That's why increasing gut probiotic levels is so important for overall health.
[00:05:39.118 --> 00:05:43.180]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a
[00:05:43.541 --> 00:05:46.889]  The 50 billion probiotic for a 30-day advanced gut restoration program.
[00:05:47.210 --> 00:05:51.120]  Head to InfoWarsLife.com to pick up your bottle of Floralife probiotics today.
[00:05:51.420 --> 00:05:52.723]  That's InfoWarsLife.com.
[00:06:20.552 --> 00:06:24.855]  From the front lines of the Information War, it's Alex Jones.
[00:06:24.875 --> 00:06:30.978]  What we are looking at is good and evil, right and wrong.
[00:06:31.178 --> 00:06:37.142]  The New World Order.
[00:06:37.162 --> 00:06:38.102]  Going down in flames!
[00:06:38.522 --> 00:06:39.123]  Move!
[00:06:39.423 --> 00:06:40.584]  Get out the way!
[00:06:41.644 --> 00:06:42.585]  Move, bitch!
[00:06:42.965 --> 00:06:44.146]  Get out the way!
[00:06:44.246 --> 00:06:45.286]  Get out the way!
[00:06:45.667 --> 00:06:46.447]  Move, bitch!
[00:06:46.767 --> 00:06:47.808]  Get out the way!
[00:06:52.188 --> 00:06:53.877]  Co-hosting today with me is Madam President.
[00:07:08.499 --> 00:07:12.401]  All right, we are live, ladies and gentlemen, broadcasting worldwide.
[00:07:12.421 --> 00:07:19.004]  And it is just an orgy of globalists falling apart and following on their disgusting snouts.
[00:07:19.944 --> 00:07:30.569]  It is just amazing to see victory after victory after victory after victory after victory after victory after victory after victory after victory after victory!
[00:07:31.749 --> 00:07:32.690]  America's back!
[00:07:33.090 --> 00:07:34.070]  Get out the way!
[00:07:34.331 --> 00:07:35.331]  Get out the way!
[00:07:35.551 --> 00:07:36.552]  Get out the way!
[00:07:37.881 --> 00:07:43.405]  That was our theme song for Hillary's fall and her destruction at the hands of the truth.
[00:07:45.747 --> 00:07:51.691]  And it is the first annual People's Choice Fake News Awards today.
[00:07:51.711 --> 00:07:53.873]  I told you we were going to do this seven days ago.
[00:07:54.233 --> 00:07:55.174]  So much has been happening.
[00:07:55.254 --> 00:07:56.335]  It snuck up on me.
[00:07:56.815 --> 00:07:58.877]  And I was sitting here getting ready for the show, looking at all the headlines.
[00:07:58.937 --> 00:07:59.637]  I went, wait a minute.
[00:08:00.278 --> 00:08:04.241]  I said we were going to have the People's Choice Fake News Awards.
[00:08:05.350 --> 00:08:12.215]  I've already beta tested it and kind of had some of the talk show hosts around here have done their own little talk show, you know, InfoWars fake news awards.
[00:08:12.795 --> 00:08:33.110]  But then it hit me seven days ago when the president moved back his fake news extravaganza when he, the president, will pick who he believes are the top winners that get the Oscars of deception and fake news as we strike back against the globalists and their disinformation operations to their total horror.
[00:08:34.872 --> 00:08:35.553]  But then it hit me.
[00:08:35.993 --> 00:08:40.559]  We're going to have the People's Choice Fake News Awards.
[00:08:41.681 --> 00:08:42.842]  You're going to be able to call in.
[00:08:42.862 --> 00:08:46.547]  You're going to be able to tweet at Real Alex Jones.
[00:08:46.587 --> 00:08:49.190]  We're going to have Paul Watson riding shotgun with us.
[00:08:49.230 --> 00:08:50.251]  We're going to have Owen Schroer.
[00:08:50.512 --> 00:08:51.373]  We're going to have Rob Doo.
[00:08:51.393 --> 00:08:52.574]  We're going to have Roger Stone.
[00:08:52.594 --> 00:08:53.635]  We're going to have everybody.
[00:08:55.165 --> 00:09:00.329]  Putting in their two cents on the top ten fake news stories of 2017.
[00:09:00.409 --> 00:09:04.012]  The people's choice.
[00:09:04.093 --> 00:09:17.023]  And then at four o'clock central, in the middle of the war room, with myself, Owen Schroer, and Roger Stunner and others, this is Alex Jones right here live, this is InfoWars Live, doing this broadcast at this same time slot for twenty years now, 11 a.m.
[00:09:17.063 --> 00:09:17.524]  to 3 p.m.
[00:09:19.445 --> 00:09:25.748]  But we've launched The Real News of the Day of the Night, doing a great job in the morning and 8 a.m., and we've got The War Room with Owen and everybody at 3 o'clock central.
[00:09:26.089 --> 00:09:29.651]  Our goal is to go at least 20 hours live a day by the end of 2018.
[00:09:30.651 --> 00:09:34.493]  So we're busy little beavers, as you can see.
[00:09:35.133 --> 00:09:48.341]  But if you go to InfoWars.com, Deep State in Panic tries to drop Fusion GPS out of the news as it becomes apparent that it is a total
[00:09:49.346 --> 00:09:49.666]  Fake.
[00:09:50.687 --> 00:09:53.828]  Global survey finds nuclear war, cyber threats among top concerns.
[00:09:54.208 --> 00:10:08.215]  And the big one, conspiracy theorist, CNN refuses to believe bipartisan doctor of four presidents who said Trump is physically fit, 15 pounds overweight, has the heart of like a 40-year-old.
[00:10:08.455 --> 00:10:12.397]  He said that's what's really phenomenal and that he had a perfect 30 out of 30.
[00:10:14.645 --> 00:10:25.388]  On the cognitive test, and if you don't pay absolute, total, focused attention on that particular lengthy test, they didn't give him a short one, you will lose a couple points.
[00:10:26.448 --> 00:10:30.909]  He got it perfect, which showed total, complete focus.
[00:10:32.990 --> 00:10:37.291]  So, ladies and gentlemen, we're gonna be breaking all of that down, but this is the day
[00:10:40.146 --> 00:10:41.988]  It is here, ladies and gentlemen.
[00:10:42.890 --> 00:10:44.171]  It is unfolding.
[00:10:45.052 --> 00:10:46.894]  Now, I see an article on InfoWars.com.
[00:10:46.914 --> 00:10:50.158]  I'm not disagreeing with my great crew, but I don't oversee and honcho everything.
[00:10:50.739 --> 00:10:53.563]  And I remember Trump saying there ought to be fake news awards.
[00:10:55.165 --> 00:10:58.509]  And then I remember we did fake news awards, but I really think it's Trump's idea.
[00:11:00.814 --> 00:11:02.695]  That's November 27th, 2017.
[00:11:02.735 --> 00:11:05.555]  Then let's see when we first called for it.
[00:11:06.156 --> 00:11:06.876]  Not that it matters.
[00:11:06.936 --> 00:11:08.356]  I just see that on InfoWars.
[00:11:09.016 --> 00:11:09.937]  And I'm like, huh?
[00:11:11.477 --> 00:11:13.578]  And there are the guys doing the Fake News Awards.
[00:11:13.598 --> 00:11:14.398]  Let's see when they did it.
[00:11:16.479 --> 00:11:17.399]  Let's see the date on that.
[00:11:20.100 --> 00:11:23.541]  Oh, that's the, uh, that's a live feed right now.
[00:11:23.621 --> 00:11:24.741]  So we're at the bottom of it.
[00:11:24.961 --> 00:11:30.043]  But it doesn't matter, ladies and gentlemen, because we're going to be taking your phone calls
[00:11:31.104 --> 00:11:42.851]  Here today, we're going to be hearing what your main nominations are for the worst, most out-of-control, egregious disinformation from mainstream media.
[00:11:43.979 --> 00:11:46.201]  And I really don't know what number one should be.
[00:11:46.601 --> 00:11:54.127]  Maybe the fake polls of 2017 that Trump was 10, 15, 20, 30, 40 points behind.
[00:11:54.467 --> 00:11:57.510]  CNN had some phone polls where Hillary was winning by 68%.
[00:11:58.210 --> 00:12:03.114]  And they were oversampling Democrats by 30-plus percent.
[00:12:03.194 --> 00:12:03.694]  Remember that?
[00:12:03.975 --> 00:12:04.675]  In their methodology.
[00:12:05.116 --> 00:12:10.220]  I think fake polls in 2017, right back into 2016,
[00:12:13.556 --> 00:12:18.957]  I think the New York Times saying that Hillary Clinton had more than a 99% chance.
[00:12:18.997 --> 00:12:20.038]  Remember the New York Times?
[00:12:21.078 --> 00:12:26.339]  The New York Times said that she had a first 99% chance with her computer algorithm.
[00:12:26.659 --> 00:12:28.840]  By election day it was, you know, 96%.
[00:12:30.961 --> 00:12:31.441]  There it is.
[00:12:31.621 --> 00:12:33.901]  Hillary has an 85% chance to win.
[00:12:34.582 --> 00:12:36.562]  On and on and on and on.
[00:12:36.582 --> 00:12:37.962]  And that was on election day.
[00:12:38.403 --> 00:12:39.343]  Ridiculous!
[00:12:40.621 --> 00:12:42.822]  Absolutely ridiculous!
[00:12:43.282 --> 00:12:44.802]  But you're going to say, well that's 2016.
[00:12:45.823 --> 00:13:00.567]  I think there's overlap here in the first annual 2017 Fake News Awards because the fact that they claim she really won and that he stole the election when the evidence was she stole at least six states according to Homeland Security, the state level.
[00:13:01.926 --> 00:13:04.789]  And they had millions of people voting in the names of dead people.
[00:13:05.150 --> 00:13:08.334]  That's all been confirmed by Harvard studies, worse than what the president said.
[00:13:09.155 --> 00:13:14.561]  It was fake news when they came out and said that the president was wrong, that no illegals and no dead people voted.
[00:13:15.017 --> 00:13:18.859]  Well, technically, no dead people voted, but people voted on the voter rolls, the names of dead people.
[00:13:19.079 --> 00:13:20.179]  That's another big fake news story.
[00:13:20.419 --> 00:13:21.740]  What about General Flynn?
[00:13:22.440 --> 00:13:36.646]  General Flynn, a couple months ago, supposedly said, I'm a Russian agent, the Russians ran the campaign, and you had the video of the view, and everybody's just in ecstasy, Joy Behar.
[00:13:36.926 --> 00:13:38.927]  Ladies and gentlemen, we've got breaking news!
[00:13:39.327 --> 00:13:39.928]  Oh my gosh!
[00:13:41.007 --> 00:13:42.107]  Flynn is going to testify!
[00:13:42.147 --> 00:13:43.788]  He wears a fur Russian hat!
[00:13:44.588 --> 00:13:45.408]  His mother was V.I.
[00:13:46.069 --> 00:13:46.449]  Lennon!
[00:13:47.409 --> 00:13:50.730]  Trump is born in Russia and is a secret KGB agent!
[00:13:51.210 --> 00:13:56.652]  And they admit that they lied to the FBI and they're all going down!
[00:13:56.812 --> 00:13:58.132]  It's all over!
[00:13:58.832 --> 00:13:59.773]  Ladies and gentlemen!
[00:14:02.974 --> 00:14:03.134]  So...
[00:14:04.304 --> 00:14:05.125]  That's in the running!
[00:14:05.746 --> 00:14:06.928]  And then it just goes on and on.
[00:14:07.969 --> 00:14:16.120]  17 agencies unanimously have put on down that Donald Trump works for the Russians, and they hacked into the elections, and they stole the election!
[00:14:17.619 --> 00:14:25.822]  And they go, well it's 15 agencies, it's 12 agencies, it's 9 agencies, it's 6 agencies, it's 3 agencies, it's 1 agency, it's no agency.
[00:14:26.562 --> 00:14:29.943]  It was 3 guys that have worked in 4 agencies.
[00:14:30.323 --> 00:14:38.626]  They went up on TV and said, UNANIMOUSLY, ALL 17 AGENCIES SAY THAT TRUMP IS GUILTY!
[00:14:38.646 --> 00:14:39.026]  GUILTY!
[00:14:39.807 --> 00:14:40.187]  GUILTY!
[00:14:40.207 --> 00:14:42.008]  So there you go.
[00:14:46.957 --> 00:14:47.237]  Woo!
[00:14:47.417 --> 00:14:54.283]  And he was the bad guy saying 17 agencies didn't say it, because he was already president-elect and talked to them, and they said, sir, we never said this.
[00:14:54.623 --> 00:14:55.563]  This is malarkey.
[00:14:55.764 --> 00:14:56.905]  Where's the report Trump said?
[00:14:56.945 --> 00:14:57.685]  There is no report.
[00:14:57.985 --> 00:15:02.209]  Oh, the fake news that the media said that Trump was wrong, that Comey was the leaker.
[00:15:02.229 --> 00:15:03.329]  Absolutely.
[00:15:09.743 --> 00:15:12.686]  Absolutely, ladies and gentlemen.
[00:15:12.806 --> 00:15:14.207]  Always love those little surprises.
[00:15:14.548 --> 00:15:21.775]  But that's going to be part of the incredible extravaganzas today of surprises here live on the air, ladies and gentlemen.
[00:15:21.995 --> 00:15:29.043]  So I'm very excited whether you're listening on local radio or whether you are watching on the internet at Infowars.com forward slash show.
[00:15:30.184 --> 00:15:31.185]  Whatever you're doing,
[00:15:32.532 --> 00:15:50.967]  Take that live link on Google, Facebook, Twitter, YouTube, you name it, and say, hey, to your email list, your neighbors, your friends, people at work, hey, this is gonna be the first annual People's Choice Fake News Awards where we strike back and roast and lampoon the enemies of America's recovery and more.
[00:15:51.388 --> 00:15:53.610]  We'll keep breaking down the chronicles of their fake news.
[00:15:54.230 --> 00:15:54.691]  Not a group.
[00:15:54.751 --> 00:15:56.152]  You developed Living Defense for us.
[00:15:56.192 --> 00:15:57.273]  It took you over a year to do it.
[00:15:57.533 --> 00:15:58.454]  Why is this so good?
[00:15:58.734 --> 00:16:03.979]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:16:04.059 --> 00:16:17.611]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:16:17.671 --> 00:16:19.052]  Right now with all the refugees,
[00:16:19.813 --> 00:16:21.414]  Uh, spreading disease around.
[00:16:21.474 --> 00:16:23.956]  We have biological warfare going on everywhere.
[00:16:24.056 --> 00:16:25.317]  These are all parasites.
[00:16:25.357 --> 00:16:26.457]  Tell us about all the stuff that's in it.
[00:16:26.477 --> 00:16:27.498]  There's so many things that are in it.
[00:16:27.818 --> 00:16:32.161]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:16:32.361 --> 00:16:35.523]  I recommend doing a parasite cleanse at least twice a year.
[00:16:35.643 --> 00:16:38.687]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:16:38.727 --> 00:16:39.728]  It just came back in yesterday.
[00:16:39.768 --> 00:16:41.671]  Living Defense, Infowarslife.com.
[00:16:41.731 --> 00:16:42.732]  And folks, you can't lose.
[00:16:42.752 --> 00:16:44.835]  It's full of stuff that's great for your body, period.
[00:16:45.456 --> 00:16:48.500]  And you support the broadcast, Infowarslife.com.
[00:16:48.760 --> 00:16:50.643]  Thank you, Dr. Group from the Global Healing Center.
[00:16:51.023 --> 00:16:52.986]  Thank you so much for all your work, sir, on this great product.
[00:16:54.847 --> 00:16:55.588]  I'm so excited.
[00:16:55.668 --> 00:17:05.214]  The new product at Infowarslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[00:17:05.814 --> 00:17:14.120]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[00:17:14.320 --> 00:17:23.086]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[00:17:25.187 --> 00:17:29.989]  For the formulae, and I came up with our own formula, working with some scientists and developers.
[00:17:30.509 --> 00:17:33.271]  Non-GMO, made right here in America, 120 capsules.
[00:17:33.411 --> 00:17:44.295]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[00:17:44.796 --> 00:17:46.076]  It is amazing!
[00:17:47.457 --> 00:17:52.439]  Red Pill, now available at InfoWarsStore.com and your purchase fugs the operation.
[00:17:54.352 --> 00:17:56.213]  Mike in Arizona, you're on the air worldwide.
[00:17:56.253 --> 00:17:56.613]  Go ahead.
[00:17:57.493 --> 00:17:59.374]  Oh, Alex, you can rant any day of the week.
[00:17:59.414 --> 00:18:08.738]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[00:18:09.443 --> 00:18:09.743]  Absolutely.
[00:18:09.923 --> 00:18:16.165]  And as a long-time InfoWars listener, I want to say thanks for the awesome BrainForce AnthroPlex.
[00:18:16.385 --> 00:18:18.525]  My girlfriend would like to say thanks for the AnthroPlex, too.
[00:18:18.625 --> 00:18:19.026]  Thank you.
[00:18:19.686 --> 00:18:22.166]  I use the BioTrue Selenium, the Super Blue toothpaste.
[00:18:22.186 --> 00:18:25.967]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[00:18:26.508 --> 00:18:29.468]  And thank you so much, Alex, for the InfoWars Life products.
[00:18:29.528 --> 00:18:30.509]  They are quality.
[00:18:30.849 --> 00:18:32.109]  I can't wait to get some more.
[00:18:32.569 --> 00:18:35.290]  And thank you so much for doing that for us to keep us healthy.
[00:18:35.450 --> 00:18:35.870]  Absolutely.
[00:18:36.530 --> 00:18:49.418]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[00:18:54.995 --> 00:18:59.057]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:59.697 --> 00:19:10.122]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:19:11.022 --> 00:19:15.385]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:19:15.825 --> 00:19:23.791]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:19:24.231 --> 00:19:31.596]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:19:31.956 --> 00:19:33.898]  Wake up refreshed and take on the day.
[00:19:34.378 --> 00:19:41.883]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:19:42.323 --> 00:19:45.685]  Get the sleep you deserve and experience the power of knockout.
[00:19:45.985 --> 00:19:50.028]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:19:50.368 --> 00:19:52.670]  That's InfoWarsLife.com.
[00:19:58.113 --> 00:20:00.735]  You're listening to the Alex Jones Show.
[00:20:17.285 --> 00:20:22.049]  Live from the InfoWars.com studios, it's Alex Jones.
[00:20:43.828 --> 00:20:44.789]  Ladies and gentlemen,
[00:20:45.862 --> 00:21:05.572]  When you get excited about the broadcast, when you take action, when you spread the word, when you spread the articles, the live links, the live transmission, when you tell people about the local AM and FM stations and TV stations and cable stations that are picking up the radio slash TV simulcast of the rebirth of the Second American Revolution, you change the world.
[00:21:06.292 --> 00:21:07.472]  We have beaten Google.
[00:21:07.493 --> 00:21:08.633]  We have beaten Facebook.
[00:21:08.853 --> 00:21:09.813]  We have beaten Twitter.
[00:21:09.833 --> 00:21:11.334]  We have defeated their algorithms.
[00:21:11.614 --> 00:21:18.197]  We have defeated them saying Hillary was a 99% chance she was going to win until election day and then they, you know, drop it down to 85%.
[00:21:18.277 --> 00:21:20.497]  It's all fraud.
[00:21:20.817 --> 00:21:22.358]  It's all the perception.
[00:21:22.958 --> 00:21:23.438]  Well, guess what?
[00:21:23.499 --> 00:21:24.799]  We're taking the narrative back.
[00:21:25.099 --> 00:21:27.360]  They want to call real news fake news.
[00:21:27.820 --> 00:21:29.441]  Now they beg us not to use that term.
[00:21:29.461 --> 00:21:35.143]  Well, this is the People's Choice InfoWars first annual.
[00:21:36.860 --> 00:21:37.881]  Fake News Awards.
[00:21:38.381 --> 00:21:42.043]  That is preceding the President's choice.
[00:21:42.783 --> 00:21:45.565]  Fake News Awards at 4 o'clock central.
[00:21:45.925 --> 00:21:51.068]  We're going to be carrying it live with analysis and more.
[00:21:51.409 --> 00:21:55.091]  InfoWars.com forward slash show.
[00:21:56.192 --> 00:22:25.505]  Ladies and gentlemen, and we've got live feeds on InfoWars.com and PrisonPlanet.com and NewsWars.com, where you can go get the news article that we have that says right there, watch the first annual People's Choice Fake News Awards, preceded by President Trump's Fake News Awards at four o'clock today, airing at InfoWars.com.
[00:22:27.890 --> 00:22:33.874]  And if you get that link out to everybody, or if you tell local stations that are carrying the war room, people can tune in and hear it.
[00:22:33.994 --> 00:22:38.457]  And this is so important because it absolutely infuriates the globalists.
[00:22:38.737 --> 00:22:40.939]  They can't stand it when we organize against them.
[00:22:41.179 --> 00:22:48.124]  They can't stand it when we organize and have award shows and make fun of them, how Hollywood has their own stupid award shows, and they all worship each other.
[00:22:48.164 --> 00:22:48.704]  It's a joke.
[00:22:49.264 --> 00:22:50.425]  I don't like any award shows.
[00:22:50.845 --> 00:22:57.470]  But I like award shows where we roast them for their fraud, for their deceit, for their garbage.
[00:22:58.591 --> 00:23:00.412]  What's one of the big 2017 lies?
[00:23:01.433 --> 00:23:12.141]  That President Trump is mentally deficient, that President Trump is in bad health, that President Trump has early onset of Alzheimer's and dementia.
[00:23:12.201 --> 00:23:22.808]  Well, a doctor that's worked for four different presidents and been the direct physician for three has come out, Ron Jackson,
[00:23:23.897 --> 00:23:26.318]  And said his heart is what's incredible.
[00:23:26.919 --> 00:23:28.380]  His brain is great as well.
[00:23:28.680 --> 00:23:33.703]  He got a 30 out of 30 on an in-depth psychological cognitive exam.
[00:23:34.203 --> 00:23:41.888]  And we did the heart test and the stress test and the president went in for days to, you know, off and on to be able to do all of these tests.
[00:23:42.908 --> 00:23:44.809]  And now they brought out information.
[00:23:44.849 --> 00:23:48.151]  You can look at him climbing over hills when nobody else is.
[00:23:48.632 --> 00:23:51.353]  Bear crawling up hills, you know, when he's playing golf.
[00:23:54.341 --> 00:23:56.982]  It just goes on and on and on.
[00:23:57.002 --> 00:24:03.644]  We're going to play some of those clips coming up a little bit later in the transmission.
[00:24:03.964 --> 00:24:08.446]  There's so much news up on Infowars.com and Newswars.com.
[00:24:10.026 --> 00:24:17.228]  Nobel Prize winner Trump has launched a nationalist revolution against the elite.
[00:24:18.649 --> 00:24:21.930]  And more and more true intellectuals, more and more true historians
[00:24:24.727 --> 00:24:25.808]  Have to admit the truth.
[00:24:25.848 --> 00:24:29.230]  Davos globalists seek to derail populist uprising.
[00:24:29.270 --> 00:24:36.795]  Nobel Prize winning economist and globalist Robert Schiller says that President Trump has launched a nationalist revolution against the elite.
[00:24:37.955 --> 00:24:38.796]  And is he a good guy?
[00:24:38.876 --> 00:24:39.076]  No.
[00:24:39.336 --> 00:24:43.239]  But at least he's honest about the fact that we are defeating them.
[00:24:43.839 --> 00:24:45.340]  And now Trump's going to go to Davos.
[00:24:46.488 --> 00:24:47.990]  I was saying we're going to send some reporters.
[00:24:48.050 --> 00:24:54.917]  I'm trying to get Paul to go, but a lot of this stuff isn't even in the budget here, ladies and gentlemen, because it's so expensive to run this operation.
[00:24:56.095 --> 00:24:57.135]  So let's get this started.
[00:24:57.816 --> 00:25:01.977]  I've cleared the decks of guests today because I want to take your phone calls.
[00:25:02.117 --> 00:25:06.479]  I want to hear what fake news stories of really the last year and a half.
[00:25:07.299 --> 00:25:09.960]  This first annual has been such an epic compendium of time.
[00:25:10.200 --> 00:25:15.842]  They've taken all the old lies and regurgitated them into 2017 and 2018, the last year and a half.
[00:25:16.302 --> 00:25:19.663]  So we can go back into the election 2016 as well.
[00:25:19.703 --> 00:25:21.004]  I think that's all fair game.
[00:25:21.684 --> 00:25:23.388]  The toll-free number to join us is 877-789-ALEX.
[00:25:23.408 --> 00:25:23.468]  877-789-2539.
[00:25:23.509 --> 00:25:24.190]  Just specifically.
[00:25:31.724 --> 00:25:35.787]  What the story was, what they did, we can search engine it, we can pull it up.
[00:25:36.248 --> 00:25:38.609]  Every nomination, guys, try to print it for me.
[00:25:39.190 --> 00:25:46.475]  Every nomination, like I've done the nomination, I'm saying, look, Hillary, Madam President, 200,000 plus copies already printed by Newsweek.
[00:25:46.796 --> 00:25:53.781]  They have fake photos in here of her accepting the night, her acceptance speech, her victory speech, how it all happened, all completely fake.
[00:25:54.061 --> 00:25:55.382]  This is how stupid they think you are.
