[00:00:20.575 --> 00:00:26.477]  From the front lines!
[00:06:47.502 --> 00:06:48.222]  Come on!
[00:06:48.222 --> 00:06:48.483]  Come on!
[00:06:48.483 --> 00:06:48.723]  Come on!
[00:06:48.723 --> 00:06:49.383]  Come on!
[00:06:49.383 --> 00:06:49.924]  Come on!
[00:06:49.924 --> 00:06:50.324]  Come on!
[00:06:50.324 --> 00:06:50.664]  Come on!
[00:06:50.664 --> 00:06:50.924]  Come on!
[00:06:50.924 --> 00:06:51.144]  Come on!
[00:06:51.144 --> 00:06:51.565]  Come on!
[00:06:51.565 --> 00:06:51.925]  Come on!
[00:06:51.925 --> 00:06:52.365]  Come on!
[00:06:52.365 --> 00:06:52.766]  Come on!
[00:06:52.766 --> 00:06:53.286]  Come on!
[00:06:53.286 --> 00:06:54.027]  Come on!
[00:06:54.027 --> 00:06:54.447]  Come on!
[00:06:54.447 --> 00:06:54.787]  Come on!
[00:06:54.787 --> 00:06:55.067]  Come on!
[00:06:55.067 --> 00:06:55.668]  Come on!
[00:06:55.668 --> 00:06:56.148]  Come on!
[00:06:56.148 --> 00:06:56.408]  Come on!
[00:06:56.408 --> 00:06:56.648]  Come on!
[00:06:56.648 --> 00:06:56.808]  Come on!
[00:06:56.808 --> 00:06:57.069]  Come on!
[00:06:57.069 --> 00:06:57.389]  Come on!
[00:06:57.389 --> 00:06:57.829]  Come on!
[00:06:57.829 --> 00:06:58.129]  Come on!
[00:06:58.129 --> 00:06:58.350]  Come on!
[00:06:58.350 --> 00:06:58.510]  Come on!
[00:06:58.510 --> 00:06:58.730]  Come on!
[00:06:58.730 --> 00:06:58.990]  Come on!
[00:06:58.990 --> 00:06:59.210]  Come on!
[00:06:59.210 --> 00:06:59.450]  Come on!
[00:06:59.450 --> 00:06:59.690]  Come on!
[00:06:59.690 --> 00:07:00.011]  Come on!
[00:07:00.011 --> 00:07:00.191]  Come on!
[00:07:00.191 --> 00:07:00.571]  Come on!
[00:07:00.571 --> 00:07:01.031]  Come on!
[00:07:01.031 --> 00:07:01.312]  Come on!
[00:07:01.312 --> 00:07:01.552]  Come on!
[00:07:01.552 --> 00:07:01.992]  Come on!
[00:07:01.992 --> 00:07:02.392]  Come on!
[00:07:02.392 --> 00:07:02.693]  Come on!
[00:07:02.693 --> 00:07:03.093]  Come on!
[00:07:03.093 --> 00:07:03.253]  Come
[00:07:08.892 --> 00:07:12.174]  But here's the good news, chumps.
[00:07:12.174 --> 00:07:20.618]  You think you're gonna assassinate Trump, or shoot down the independent media, and bully a bunch of us into going along with you?
[00:07:20.618 --> 00:07:22.098]  How do I preserve the hot stuff?
[00:07:22.098 --> 00:07:24.119]  Morons from being willing to have a fight.
[00:07:24.119 --> 00:07:25.620]  Wanting one at this point.
[00:07:25.620 --> 00:07:31.043]  And only the dumbest morons buy into your SJW globalist George Soros droppings.
[00:07:31.043 --> 00:07:32.083]  Stabilizing it.
[00:07:32.083 --> 00:07:35.725]  George Soros, Hillary Clinton, and the New World Order, and Michael Moore.
[00:07:35.725 --> 00:07:37.626]  Go back to Haiti, where you came from.
[00:07:38.957 --> 00:07:42.498]  We're awake, and you're not putting this bat in the coma!
[00:07:42.498 --> 00:07:43.958]  You got that, Jack?
[00:07:43.958 --> 00:07:44.679]  You're done!
[00:07:44.679 --> 00:07:45.079]  It's over!
[00:07:45.079 --> 00:07:45.999]  We're alive!
[00:07:45.999 --> 00:07:47.159]  Get him back!
[00:07:47.159 --> 00:07:48.379]  Get him back!
[00:07:48.379 --> 00:07:55.821]  Do you think there was more than one of those?
[00:07:55.821 --> 00:07:57.222]  There's very little.
[00:07:57.222 --> 00:07:58.802]  Definitely another shooter involved.
[00:07:58.802 --> 00:07:59.202]  For sure.
[00:07:59.202 --> 00:08:00.062]  I'm picking shooter.
[00:08:00.062 --> 00:08:04.124]  It sounds like it's confirmed there are at least two shooters with fully automatic weapons.
[00:08:04.124 --> 00:08:04.484]  Clear.
[00:08:04.484 --> 00:08:05.324]  What do you suggest?
[00:08:08.034 --> 00:08:11.315]  Ladies and gentlemen, it's Friday, the 25th day of May 2018.
[00:08:11.315 --> 00:08:14.897]  I'm going to be here for the next four hours.
[00:08:14.897 --> 00:08:28.483]  Then we've got the War Room coming up with Owen Schroyer, and he's going to be joined by a co-host today for the full three hours, and that is Craig Schroyer, former Navy SEAL in the DEV Group.
[00:08:29.830 --> 00:08:30.550]  And a patriot.
[00:08:30.550 --> 00:08:35.132]  His buddy and teammate just got the Congressional Medal of Honor yesterday.
[00:08:35.132 --> 00:08:37.672]  So that'll be interesting to discuss on air.
[00:08:37.672 --> 00:08:40.773]  Might even get that fellow on.
[00:08:40.773 --> 00:08:43.654]  Owen Schroyer and Craig Schroyer.
[00:08:43.654 --> 00:08:44.394]  Schroyer.
[00:08:44.394 --> 00:08:50.536]  So it's Schroyer and Schroyer are going to host the Veterans Call-In Show, A Voice for Our Veterans.
[00:08:50.536 --> 00:08:58.999]  They're going to take three hours of intense calls for veterans and active duty only going into Memorial Day weekend.
[00:08:59.941 --> 00:09:03.723]  And I've decided, because it's Memorial Day, I want to focus on veterans as well.
[00:09:03.723 --> 00:09:06.284]  So I'm going to come in and do the Sunday show live.
[00:09:06.284 --> 00:09:08.245]  4 to 6 p.m.
[00:09:08.245 --> 00:09:17.769]  most folks will be taking off, but I will be here this weekend because I want to focus on we're entering a post-human military.
[00:09:17.769 --> 00:09:26.573]  And that's going to sound good to a lot of people, but that's like the debate NASA had the last 20 years and said, oh, we don't want space exploration to be human.
[00:09:27.403 --> 00:09:31.367]  That's too dangerous, it's too costly, it's gonna be robots.
[00:09:31.367 --> 00:09:35.510]  We have to build a world for, of, and by humans.
[00:09:35.510 --> 00:09:38.853]  And then use robots and other things as an extension.
[00:09:38.853 --> 00:09:43.517]  But everything's being set up where it's a post-human future.
[00:09:43.517 --> 00:09:49.162]  That is the stated global compact of the Fortune 100.
[00:09:50.592 --> 00:09:53.073]  And that's what Elon Musk has warned you about.
[00:09:53.073 --> 00:09:55.134]  It's what Bill Joy has warned you about.
[00:09:55.134 --> 00:10:02.678]  It's what the Unabomber, who was in the MKUltra mind control program as a volunteer, Theodore Kaczynski has warned you about.
[00:10:02.678 --> 00:10:11.543]  And, you know, he thought just bomb technology heads and cause a revolution against technology because he thinks there's no way to adopt all this and survive.
[00:10:11.543 --> 00:10:15.245]  He's in a supermax prison right now.
[00:10:15.245 --> 00:10:16.786]  And the reason I mentioned MKUltra
[00:10:18.638 --> 00:10:20.379]  There's a lot of lawsuits that have been filed.
[00:10:20.379 --> 00:10:22.700]  In fact, I meant to get to that on like Tuesday and I didn't.
[00:10:22.700 --> 00:10:24.621]  Can you guys pull me that out of the stack?
[00:10:24.621 --> 00:10:38.768]  Also yesterday's stack I wanted to get into of the declassification of the CIA running the media in the 60s and ordering them to use the term conspiracy theory to criticize anyone exposing the planetary plan.
[00:10:38.768 --> 00:10:41.949]  I thought we should show all this for people.
[00:10:41.949 --> 00:10:45.391]  It's all coming out right now and a lot of it's because Trump is in office.
[00:10:46.718 --> 00:11:09.051]  But make no mistake, when you hear about Weinstein being indicted for multiple felony counts of rape and sexual abuse, torture basically, that's all because of the American people standing up to the media, to Hollywood, to the bullies, and getting Donald, John, Trump elected.
[00:11:09.051 --> 00:11:12.834]  Now I told you, from CIA, MI6, Army,
[00:11:15.712 --> 00:11:27.215]  Navy, Marine Corps sources, many of which have been on the show by name, that Trump's, one of his main planks was going after sex trafficking.
[00:11:27.215 --> 00:11:43.020]  Not just the Garden Variety, but the Harvey Weinstein on the plane of the Lolita Express owner, who has been convicted of trafficking young girls to his slave island.
[00:11:44.462 --> 00:11:48.506]  That Obama went to, that Bill Clinton went to, that they all go to.
[00:11:48.506 --> 00:12:00.157]  And now Richard Branson's private island had the NXIVM sex cult women, an entire group of hundreds of them on it, to quote, try to get him to join the cult.
[00:12:00.157 --> 00:12:03.000]  I'm just telling you, that's what's going on on these islands, ladies and gentlemen.
[00:12:04.212 --> 00:12:11.637]  I've talked to people in Hollywood that haven't given me details years ago, but that's how I'm on record saying they torture women.
[00:12:11.637 --> 00:12:23.004]  They're on record putting them through mind control because I've been told that by famous actresses and famous actors in Hollywood that they're running mind control operations.
[00:12:23.004 --> 00:12:30.869]  And that it's a branch of the CIA, but really the Aleister Crowley cult through Jack Parsons and the Jet Propulsion Laboratory.
[00:12:32.264 --> 00:12:35.167]  He caught Hollywood all this in the 50s and 60s and set it up.
[00:12:35.167 --> 00:12:37.689]  And that's in mainline history.
[00:12:37.689 --> 00:12:40.952]  That's in major newspapers.
[00:12:40.952 --> 00:12:42.654]  So, Katie, bar the door.
[00:12:42.654 --> 00:12:54.526]  You need to understand, this Weinstein thing, he reportedly, according to his driver and his long-time assistant, raped dozens of women in front of them.
[00:12:56.189 --> 00:13:00.773]  He liked about 95 pound women that looked like they were 15.
[00:13:00.773 --> 00:13:01.674]  They'd be 16, 17, 18.
[00:13:01.674 --> 00:13:07.518]  He'd pin them in the limo and rape them.
[00:13:07.518 --> 00:13:12.923]  And I'm not gonna go into the rest of the stuff that's even been documented, but it's exactly what these guys like.
[00:13:12.923 --> 00:13:18.107]  It's a beautiful young woman.
[00:13:18.107 --> 00:13:20.269]  I'm not even gonna say it.
[00:13:20.269 --> 00:13:22.391]  They like to humiliate women.
[00:13:22.391 --> 00:13:23.752]  Just like they like to hurt children.
[00:13:24.738 --> 00:13:28.221]  Now, Weinstein has not been implicated from any of my sources.
[00:13:28.221 --> 00:13:34.387]  There's underage stuff going on, which is bad enough, but the pedophilia has not popped up on my intel radar with him.
[00:13:34.387 --> 00:13:37.449]  But with a lot of the other folks, that's the case.
[00:13:37.449 --> 00:13:39.331]  So he's been smirking outside going in.
[00:13:39.331 --> 00:13:44.656]  He wasn't smirking once he was in handcuffs getting marched out of there.
[00:13:44.656 --> 00:13:45.617]  So that's all coming up.
[00:13:45.617 --> 00:13:47.338]  But I told you this was happening.
[00:13:47.338 --> 00:13:51.022]  There's like an eight-fold arrest of child traffickers, pedophiles.
[00:13:52.346 --> 00:13:54.487]  We're not talking about people that just have some child porn.
[00:13:54.487 --> 00:13:58.009]  We're talking about the producers of it.
[00:13:58.009 --> 00:14:01.932]  And it's happening all over the country and that's why the Democrats are so rattled.
[00:14:03.095 --> 00:14:10.798]  Because their extortion system is based on this and Trump knows all about it from, who did I tell you back in November last year?
[00:14:10.798 --> 00:14:14.139]  Five days before the election, two days before he went public in Breitbart.
[00:14:14.139 --> 00:14:22.103]  I was told by high-level people in the CIA and Pentagon that Eric Prince was quarterbacking this move with Trump to bring down the pedophiles.
[00:14:22.103 --> 00:14:25.644]  Now, I didn't know that was true from my sources, though they've been really accurate.
[00:14:25.644 --> 00:14:29.546]  Three, four days later, he's in Breitbart saying, yes, it's true.
[00:14:29.546 --> 00:14:31.687]  So, credit goes where credit's due.
[00:14:31.687 --> 00:14:32.247]  Eric Prince.
[00:14:33.513 --> 00:14:39.875]  Yes, the former founder of Blackwater that the left demonizes and says is this horrible person all day.
[00:14:39.875 --> 00:14:40.875]  Why is that?
[00:14:40.875 --> 00:14:42.215]  Why is that the case?
[00:14:42.215 --> 00:14:46.537]  Why did Blackwater get blamed for all this stuff that other mercenary groups did?
[00:14:46.537 --> 00:14:48.137]  Because now I know.
[00:14:48.137 --> 00:14:51.618]  Now I understand the bigger picture.
[00:14:51.618 --> 00:14:54.819]  So, that's what's really happening here, ladies and gentlemen.
[00:14:54.819 --> 00:14:58.020]  And so, you heard it here first and it's all been confirmed.
[00:14:59.568 --> 00:15:00.468]  There you go.
[00:15:00.468 --> 00:15:02.289]  So thanks to Eric Prince.
[00:15:02.289 --> 00:15:04.130]  Thanks to all our other sources.
[00:15:04.130 --> 00:15:08.511]  And we are so close right now to this whole house of cards coming down.
[00:15:08.511 --> 00:15:11.373]  And if you bring down Weinstein, it blows the door open on all of it.
[00:15:11.373 --> 00:15:19.856]  So they're trying to red herring and smokescreen as hard as they can with, oh, Morgan Friedman hit on women on the set.
[00:15:19.856 --> 00:15:22.737]  Oh, you know, another Hollywood guy.
[00:15:24.261 --> 00:15:25.902]  Hug the girl too hard.
[00:15:25.902 --> 00:15:30.785]  Or Prairie Day Companion, the woman hugged him and her shirt went up and he touched her back.
[00:15:30.785 --> 00:15:32.045]  Oh my gosh.
[00:15:32.045 --> 00:15:34.227]  That's not torturing little kids.
[00:15:34.227 --> 00:15:35.627]  That's not raping women.
[00:15:35.627 --> 00:15:38.789]  And don't compare the two to it!
[00:15:38.789 --> 00:15:40.270]  And I'm not defending Morgan Friedman.
[00:15:40.270 --> 00:15:41.571]  He's a total sellout.
[00:15:41.571 --> 00:15:43.532]  Did those stupid arrests, you know, Trump.
[00:15:44.335 --> 00:15:49.401]  TV pieces he did with that idiot Rob Reiner, meathead, who says we're in a civil war.
[00:15:49.401 --> 00:15:51.704]  Yeah, we are in one and you're getting your butt kicked.
[00:15:51.704 --> 00:15:53.246]  So keep censoring, keep pushing.
[00:15:53.246 --> 00:15:55.188]  We're bringing you down right now.
[00:15:55.188 --> 00:15:57.371]  The transmission goes into overdrive straight ahead.
[00:15:59.568 --> 00:16:00.869]  Were you born before the year 1956?
[00:16:00.869 --> 00:16:09.773]  If so, did you know you could be collecting between $575 and $2,200 in tax-free income right now?
[00:16:09.773 --> 00:16:11.674]  All thanks to the FHA.
[00:16:11.674 --> 00:16:12.835]  Or what about this?
[00:16:12.835 --> 00:16:14.776]  Did you know 54 U.S.
[00:16:14.776 --> 00:16:21.019]  congressmen have used a special tax-free account to earn up to 35 times more on their money?
[00:16:21.019 --> 00:16:22.840]  It's true, and you can do it too!
[00:16:23.300 --> 00:16:31.908]  These are just two of the secrets revealed inside a stunning new book from the Palm Beach Research Group and Ted Benne, the man behind the 401K.
[00:16:31.908 --> 00:16:38.193]  You'll discover the 18 best cash cows that can help you earn up to an extra $6,800 a month.
[00:16:38.193 --> 00:16:41.617]  If you're at or near retirement, this book is a must-read.
[00:16:41.617 --> 00:16:45.800]  Today you can get your very own free copy of Ted Benne's new book.
[00:16:45.800 --> 00:16:47.462]  Shipping and handling charges apply.
[00:16:47.782 --> 00:16:51.344]  Get your copy of Ted Bena's book when you text BENA to 7900.
[00:16:51.344 --> 00:16:53.146]  Text B-E-N-A to 7900.
[00:16:53.146 --> 00:16:54.567]  Text BENA to 7900 now!
[00:17:00.151 --> 00:17:02.031]  Health care reform is confusing.
[00:17:02.031 --> 00:17:10.633]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the health care system has become a challenge.
[00:17:10.633 --> 00:17:14.334]  Control your own health care costs and choices with Liberty HealthShare.
[00:17:14.334 --> 00:17:16.274]  Liberty HealthShare is not insurance.
[00:17:16.274 --> 00:17:22.316]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[00:17:22.316 --> 00:17:23.816]  Neighbor helping neighbor.
[00:17:23.816 --> 00:17:26.396]  Learn more now by going to libertyoncall.org.
[00:17:26.396 --> 00:17:28.257]  That's libertyoncall.org.
[00:17:29.608 --> 00:17:30.509]  It's a no-brainer.
[00:17:30.509 --> 00:17:32.910]  A Big Berkey water filter is the one you need, period.
[00:17:32.910 --> 00:17:41.056]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[00:17:41.056 --> 00:17:42.997]  And does it all at only two cents per gallon.
[00:17:42.997 --> 00:17:46.699]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[00:17:46.699 --> 00:17:51.423]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[00:17:51.423 --> 00:17:55.866]  Call or click 1-877-99-BERKEY or BigBerkeyWaterFilters.com.
[00:17:55.866 --> 00:17:56.506]  That's 1-877-99-BERKEY.
[00:18:00.269 --> 00:18:09.018]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:18:09.018 --> 00:18:09.539]  That's right.
[00:18:09.539 --> 00:18:14.804]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:18:14.804 --> 00:18:21.231]  Go to Infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use,
[00:18:21.471 --> 00:18:29.057]  And let me tell you, son, it is perfect for freeze-drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:18:29.057 --> 00:18:29.297]  Woo!
[00:18:29.297 --> 00:18:30.338]  That's what I'm talking about.
[00:18:30.338 --> 00:18:39.085]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:18:39.085 --> 00:18:47.191]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:18:48.652 --> 00:18:52.097]  Now that's what I call the miracle of food preservation.
[00:18:52.097 --> 00:18:56.223]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:18:56.223 --> 00:18:57.304]  So what are you waiting for?
[00:18:57.304 --> 00:18:59.868]  Check it out right now at InfoWarsStore.com.
[00:19:00.270 --> 00:19:03.952]  Guaranteeing your food independence is a crucial part of prepping.
[00:19:03.952 --> 00:19:11.956]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[00:19:11.956 --> 00:19:18.639]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[00:19:18.639 --> 00:19:27.864]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[00:19:28.584 --> 00:19:35.712]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[00:19:35.712 --> 00:19:40.798]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[00:19:40.798 --> 00:19:42.760]  They even work great for camping!
[00:19:42.760 --> 00:19:49.028]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[00:19:49.508 --> 00:19:52.029]  Don't be caught surprised by an emergency.
[00:19:52.029 --> 00:20:03.412]  Make sure you're stocked up today with all the food you need for an affordable price with InfoWars Life Select storable foods.
[00:20:03.412 --> 00:20:11.595]  You're listening to the Alex Jones Show.
[00:20:11.595 --> 00:20:16.696]  There's a need for a new world order.
[00:20:16.696 --> 00:20:18.517]  But it has different characteristics.
[00:20:19.762 --> 00:20:24.349]  In different parts of the world.
[00:20:24.349 --> 00:20:30.617]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:32.062 --> 00:20:35.483]  Well, North Korea has blown up their nuclear site a few days ago.
[00:20:35.483 --> 00:20:36.823]  They've released the video.
[00:20:36.823 --> 00:20:40.164]  That is a big victory for America and Trump.
[00:20:40.164 --> 00:20:47.946]  Even if the summit's been cancelled for now, that's just part of the negotiation process due to John Bolton and others trying to sabotage things.
[00:20:47.946 --> 00:20:51.347]  But we'll continue to track that and play that video coming up in the next segment.
[00:20:52.827 --> 00:21:10.020]  We're also going to continue to track what's happening in the economy and with these new privacy rules that Europe has put in place that are not really actually designed to protect your privacy because they're going to continue mass spying and all the rest of it and big data.
[00:21:10.020 --> 00:21:19.927]  It's designed to basically have an internet war and try to take regulatory control of the internet over from the United States and transfer it to Europe and the UN.
[00:21:20.868 --> 00:21:23.730]  And George Soros and others are a big supporter of it.
[00:21:23.730 --> 00:21:29.833]  Facebook and Google hit with $8.8 billion in lawsuits on day one of GDPR.
[00:21:31.109 --> 00:21:33.330]  And boy, we've been preparing for months for this.
[00:21:33.330 --> 00:21:35.832]  We already had a lot of the opt-out systems for folks.
[00:21:35.832 --> 00:21:39.814]  But the way the Internet's been designed is all of this tracking.
[00:21:39.814 --> 00:21:44.517]  I mean, that's how when you have an account, say, on Disqus, or Disqus, to be able to post.
[00:21:44.517 --> 00:21:48.099]  I mean, it knows what you did in the past, how you've operated, because it has cookies.
[00:21:48.099 --> 00:21:49.580]  It's the very nature of it.
[00:21:49.580 --> 00:21:59.306]  The issue is that it's all being tied together with larger databases by governments and megacorporations to then track everything you're doing, and Communist China
[00:22:00.330 --> 00:22:05.333]  Has come out, and here's the big secret that the EU's not talking about.
[00:22:05.333 --> 00:22:07.113]  It's not a secret what China's doing.
