[00:00:10.245 --> 00:00:14.268]  You are listening to an InfoWars.com Frontline Report.
[00:02:26.997 --> 00:02:48.167]  After Facebook finally closed down this group, they removed the posts as we highlighted last week after our big story on it, which was also top of Drudge Report, they closed down the Facebook group of people openly inciting shooters, killers, crazed killers to copy James T. Hodgkinson, who of course was the shooter of Congressman Steve Scalise,
[00:02:48.863 --> 00:02:51.524]  They called on people to go out and get blood.
[00:02:52.104 --> 00:02:57.745]  Get a revenge blood attack against NRA members, against Republicans in response to the shooting.
[00:02:57.805 --> 00:02:59.225]  What is going on in America?
[00:02:59.985 --> 00:03:05.307]  How hyper-partisan has the political environment become where this kind of thing is happening?
[00:03:05.647 --> 00:03:06.987]  Kill the NRA signs.
[00:03:07.247 --> 00:03:09.067]  This has been up since Friday.
[00:03:09.087 --> 00:03:11.088]  It hasn't even been taken down yet.
[00:03:11.108 --> 00:03:11.688]  It's Tuesday.
[00:03:11.728 --> 00:03:13.088]  It's three, four days later.
[00:03:13.448 --> 00:03:14.269]  It's still up there.
[00:03:14.329 --> 00:03:15.849]  No sign of it being taken down.
[00:03:16.696 --> 00:03:22.900]  This is the political climate that we're dealing with, that people can be allowed to do this and there's basically going to be no backlash whatsoever.
[00:03:24.061 --> 00:03:25.342]  These are the times we're living in.
[00:03:25.362 --> 00:03:32.906]  This is an anti-Trump resistance message calling on people to kill NRA members in response for this school shooting.
[00:03:33.447 --> 00:03:34.607]  Absolutely incredible.
[00:03:34.647 --> 00:03:36.429]  Meanwhile, we also have this story.
[00:03:37.469 --> 00:03:44.914]  In a similar vein, far-left writer calls on black people to start barking at white people who quote, speak out of turn.
[00:03:45.757 --> 00:03:46.738]  This is not The Onion.
[00:03:47.018 --> 00:03:49.780]  This is not a parody of far-left social justice warriors.
[00:03:50.040 --> 00:03:59.646]  This is an actual call for black people, in the spirit of the movie Black Panther, in which this takes place, to bark at white people to make them shut up.
[00:04:00.226 --> 00:04:04.209]  How unhinged, how insane do you need to be to even entertain this?
[00:04:04.249 --> 00:04:10.313]  Now obviously the article is written tongue-in-cheek style, but it's a guy actually calling for this to happen.
[00:04:10.573 --> 00:04:11.634]  This is not a parody.
[00:04:12.190 --> 00:04:18.016]  He says, quote, we're too infected with colonisation and the myriad of residues and peripheral effects.
[00:04:18.056 --> 00:04:19.678]  He's talking about Wakanda.
[00:04:19.718 --> 00:04:21.140]  He's talking about Black Panther.
[00:04:21.901 --> 00:04:31.851]  He then goes on to actually encourage black people to silence white people, not just de-platform them, but silence them by barking at them.
[00:04:32.212 --> 00:04:33.113]  For example, if
[00:04:33.837 --> 00:04:39.161]  A woman's walking down an alleyway and she's passing, say, a gang of black people, she grabs her purse.
[00:04:39.562 --> 00:04:45.726]  This guy says that those black guys should just start literally barking at a woman in an alleyway.
[00:04:45.887 --> 00:04:47.288]  That's one of the examples he gives.
[00:04:47.888 --> 00:04:56.335]  If somebody's going in an elevator and they clutch their purse, they're also calling for people to bark at white people, to shut them up, to put them in their place.
[00:04:56.875 --> 00:04:59.137]  Absolutely incredible hyper-partisan times.
[00:04:59.457 --> 00:05:01.258]  This is the kind of insanity we're dealing with.
[00:05:01.299 --> 00:05:02.219]  We'll be back after the break.
[00:05:03.360 --> 00:05:08.103]  Make no mistake, we've made some major gains against the globalists, but they're striking back all over the world.
[00:05:08.363 --> 00:05:13.887]  Now more than ever is the time to get prepared with the highest quality emergency supplies across the board.
[00:05:14.007 --> 00:05:19.271]  Medical supplies, emergency supplies, communications, tactical, it's all there.
[00:05:19.291 --> 00:05:23.053]  We're adding more and more every day of the very best products out there.
[00:05:23.213 --> 00:05:31.039]  So go to fortifiedsupply.com today to not just see the great products we offer there, but links to some of the other great sponsors that we have as well.
[00:05:31.139 --> 00:05:32.820]  That's fortifiedsupply.com.
[00:05:33.800 --> 00:05:41.026]  Introducing Icarin, a 30-day liver and kidney cleanse exclusively available at InfoWarsLife.com.
[00:05:41.506 --> 00:05:50.653]  We have set out with top researchers and developers to bring you the strongest, purest, most potent, documented system for your liver and your kidneys.
[00:05:50.933 --> 00:05:56.057]  There are two different formula blends in one powerful capsule.
[00:05:56.317 --> 00:05:59.159]  It also funds the InfoWars, a total 360 win.
[00:05:59.580 --> 00:06:02.382]  Icarin, available now at InfoWarsLife.com.
[00:06:08.445 --> 00:06:16.449]  Broadcasting live from the UN stronghold, Austin, Texas, you're listening to the Alex Jones Show.
[00:06:17.029 --> 00:06:20.851]  And now, your host, Paul Joseph Watson.
[00:06:23.733 --> 00:06:25.314]  We are live, it is the Alex Jones Show.
[00:06:25.334 --> 00:06:29.356]  I was talking about this article which is up on Infowars.com as of a couple of hours ago.
[00:06:29.956 --> 00:06:35.679]  Headline, far-left writer calls on black people to start barking at white people who speak out of turn.
[00:06:36.255 --> 00:06:43.258]  Now this is in reference to the Black Panther movie, which is smashing all records, big hit at the box office obviously, more power to them.
[00:06:43.478 --> 00:06:50.602]  Kind of ironic given that it promotes literally an ethno-state with no immigration and zero refugees, but we'll get on to that in a second.
[00:06:51.402 --> 00:06:58.125]  This is a writer by the name of Damon Young at The Root, which is a massive far-left social justice warrior website.
[00:06:58.948 --> 00:07:04.352]  He's calling on black people to start barking at white people who, quote, speak out of turn.
[00:07:04.893 --> 00:07:09.596]  Now, let's read what he actually says in this article, because it has to be heard to be believed.
[00:07:10.557 --> 00:07:27.250]  He says, one thing that we can and definitely should start doing is what Mbakao and his Kay Dog Jabari tribe did when encountering a problematic white dude who was speaking when there was no ask or need or purpose for the thoughts and opinions of problematic white dudes.
[00:07:27.710 --> 00:07:28.631]  That perennial woe.
[00:07:29.375 --> 00:07:29.835]  Bark!
[00:07:30.876 --> 00:07:31.917]  That's right, bark!
[00:07:31.937 --> 00:07:35.340]  He literally wants people to start barking at others to make them shut up.
[00:07:35.680 --> 00:07:37.441]  He says, not a purposeless bark.
[00:07:37.702 --> 00:07:40.344]  This isn't a Shih Tzu barking through the window at a squirrel.
[00:07:40.704 --> 00:07:49.171]  Instead, this would be an intentional bark, a targeted bark, an overpowering bark, a drowning bark, a Wakandian bark, a bark meant to communicate
[00:07:49.811 --> 00:07:51.732]  Who told you that you can speak?
[00:07:52.233 --> 00:07:54.194]  When it's time for your words, we will let you know.
[00:07:54.214 --> 00:07:56.316]  And maybe that time will never come.
[00:07:56.356 --> 00:07:57.576]  That's right, shut up, bigot!
[00:07:57.897 --> 00:07:59.057]  How dare you have an opinion?
[00:07:59.237 --> 00:08:01.859]  How dare you speak because of your skin colour?
[00:08:01.879 --> 00:08:05.281]  We're literally going to bark at you because of your skin colour and tell you to shut up.
[00:08:05.862 --> 00:08:07.663]  But we're the anti-racists, okay?
[00:08:08.343 --> 00:08:09.544]  He continues, we'll see.
[00:08:09.604 --> 00:08:11.245]  Now just shut up and stand there.
[00:08:11.766 --> 00:08:14.908]  Maybe get on your phone and Google, how not to be a coloniser.
[00:08:15.552 --> 00:08:18.574]  Whatever you do, I want to hear you not speaking.
[00:08:18.955 --> 00:08:24.679]  So he's literally in an article telling white people to shut up because of their skin colour.
[00:08:25.120 --> 00:08:29.043]  And this is a website that postures itself as an anti-racist website, okay?
[00:08:29.543 --> 00:08:32.986]  Coming out with the most virulent, vile racism you can imagine.
[00:08:33.346 --> 00:08:35.488]  And yeah, of course, some of it's tongue-in-cheek.
[00:08:36.168 --> 00:08:37.169]  But he's serious.
[00:08:37.629 --> 00:08:38.710]  He's serious with this.
[00:08:39.231 --> 00:08:40.832]  He goes on to advocate, listen to this.
[00:08:41.813 --> 00:08:49.716]  Opening a school of Wakandan white silencing while providing several examples of when white people should be barked at.
[00:08:50.276 --> 00:08:59.600]  This is inexcusable behaviour on behalf of white people and this deserves being barked at like they're literally being de-platformed because of their skin colour, which is what he's advocating.
[00:09:00.240 --> 00:09:02.661]  He says, a wayward white hand reaches for your hair.
[00:09:02.681 --> 00:09:04.302]  Woof woof woof!
[00:09:04.842 --> 00:09:11.205]  Now of course he's talking about this whole meme amongst the far left which is, oh white people always want to touch black people's hair.
[00:09:12.051 --> 00:09:16.932]  I mean, that happens with anyone who gets any kind of funky hairstyle, whether they're black or white.
[00:09:17.172 --> 00:09:19.273]  Oh, by the way, if you're white, you can't have dreadlocks either.
[00:09:19.313 --> 00:09:19.913]  That's racist.
[00:09:20.233 --> 00:09:21.493]  That's cultural appropriation.
[00:09:22.333 --> 00:09:26.714]  So he says, if a white person tries to touch a black person in any way, they should be barked at.
[00:09:27.655 --> 00:09:28.655]  He gives another example.
[00:09:29.015 --> 00:09:34.116]  A group of white people huddled on a sidewalk refused to step aside when you attempt to walk past them.
[00:09:34.436 --> 00:09:35.297]  Woof, woof, woof!
[00:09:36.157 --> 00:09:38.277]  A purse is clutched when you walk on an elevator.
[00:09:38.557 --> 00:09:39.277]  Woof, woof, woof!
[00:09:39.297 --> 00:09:41.378]  So if a young lady on her own
[00:09:42.190 --> 00:09:45.192]  Gets into an enclosed space with a group of guys.
[00:09:45.892 --> 00:09:47.053]  She should be balked at.
[00:09:47.133 --> 00:09:48.694]  She should be intimidated again.
[00:09:48.974 --> 00:09:50.455]  Because she's white.
[00:09:50.615 --> 00:09:52.716]  These are the anti-racists speaking, by the way.
[00:09:52.736 --> 00:09:58.800]  He continues, if they're going to act scared, you might as well give them a reason to be.
[00:09:58.820 --> 00:10:05.404]  So he's openly advocating scaring and intimidating women in enclosed spaces.
[00:10:06.164 --> 00:10:07.585]  Oh, but they're the anti-sexists.
[00:10:07.625 --> 00:10:08.646]  They're the anti-racists.
[00:10:08.766 --> 00:10:09.026]  Okay.
[00:10:10.911 --> 00:10:24.795]  So again, I continue in this article, despite its tongue-in-cheek nature, the article is yet another example of how identity politics obsessed progressives are using the Black Panther movie to stoke more racism and more division amongst Americans.
[00:10:25.676 --> 00:10:27.276]  Which of course has now kicked into high gear.
[00:10:27.296 --> 00:10:33.178]  We had the first black president, race relations worse than ever, and these people are exacerbating the problem.
[00:10:33.658 --> 00:10:36.399]  Those people on the far right are exacerbating the problem as well.
[00:10:36.759 --> 00:10:38.580]  They both need each other.
[00:10:39.423 --> 00:10:48.085]  That's why the media gives the alt-right and the far-right so much attention, because they need each other to continue fanning the flames of this hysteria, this division.
[00:10:49.385 --> 00:10:59.527]  The irony of this, of course, is pretty stunning, given that Wakanda, the fictional East African nation in which Black Panther is set, bears all the hallmarks of an alt-right utopia.
[00:10:59.887 --> 00:11:06.908]  There's actually a meme that I posted on Twitter where it shows all the characteristics, all the traits of Wakanda,
[00:11:07.737 --> 00:11:27.703]  This fictional East African country, Wakanda, is anti-immigration, isolationist, pro-wall, it's literally surrounded by walls to protect it, it has strict trade restrictions, it's anti-diversity, it's ethno-nationalist, it's anti-refugee, it's anti-democracy.
[00:11:28.204 --> 00:11:35.426]  In fact, they literally have a quote in the Black Panther movie which says, quote, refugees bring their problems with them.
[00:11:36.683 --> 00:11:40.564]  That's how they explain the fact that they're not going to allow any immigration.
[00:11:40.964 --> 00:11:46.365]  So by any score, Black Panther and Wakanda is an alt-right dream.
[00:11:46.585 --> 00:11:55.586]  If you want to really boil it down to its core characteristics, you know, the alt-right, the far-right, the racist, the racist Trump supporters should love this movie.
[00:11:56.007 --> 00:12:00.287]  Because it's basically everything they advocate, it takes it to the extreme.
[00:12:01.107 --> 00:12:03.748]  And yet this movie is being used again for division.
[00:12:04.517 --> 00:12:16.643]  In these hyper-partisan times, and now literally somebody at The Root is calling on black people to start barking at white people to intimidate them into silence, or simply to intimidate women on their own.
[00:12:17.563 --> 00:12:21.085]  And these people again, they're the anti-racists, we're the racists, okay.
[00:12:21.705 --> 00:12:25.847]  So Black Panther's doing extremely well at the box office as the culture wars intensify.
[00:12:26.208 --> 00:12:32.951]  Actually people who've watched the film have told me, I haven't had a chance to watch it, but people who've watched it and reviewed it have basically said that it's
[00:12:33.729 --> 00:12:46.143]  Basically a battle between hyper-ethno-nationalism, black supremacy, and the main character who at the end of the movie becomes more of a classical liberal and reason and logic tends to win the day.
[00:12:46.954 --> 00:12:54.497]  So, this movie is the complete opposite of what everyone thinks it is, with this whole liberation theology they've invested into.
[00:12:55.138 --> 00:13:04.162]  It's actually, from one perspective, it's an alt-right dream, and from another, the whole Black Lives Matter mantra gets demolished in the movie because they're the bad guys.
[00:13:05.071 --> 00:13:10.253]  So whatever people are transposing onto this Black Panther movie isn't really working out.
[00:13:10.293 --> 00:13:22.338]  There you see a screenshot that I did for my video with the main character with the Make America Great Again hat on, because again, a lot of aspects of Wakanda are stuff that literally Trump has advocated and is trying to implement.
[00:13:23.259 --> 00:13:25.100]  But no, that doesn't matter.
[00:13:25.360 --> 00:13:27.360]  They're just using this film for division.
[00:13:27.881 --> 00:13:28.301]  Meanwhile,
[00:13:29.423 --> 00:13:35.106]  Another headline here, Hollywood elites blast Clint Eastwood's film for not portraying sympathetic terrorists.
[00:13:35.867 --> 00:13:38.609]  Now this is exactly what I predicted would happen.
[00:13:39.069 --> 00:13:46.854]  So Clint Eastwood made a movie, very interesting movie, it's definitely one I want to watch, about the Paris train attack.
[00:13:46.874 --> 00:13:52.257]  You remember that a couple of years ago, where the terrorists tried to carry out a massacre on a train heading to Paris.
[00:13:52.856 --> 00:13:56.877]  Those three US soldiers intervened, stopped a terrorist attack.
[00:13:57.237 --> 00:13:58.518]  One of them was black, by the way.
[00:13:58.838 --> 00:14:02.779]  He's literally a black hero because he plays himself in the movie as well.
[00:14:03.199 --> 00:14:12.902]  So you've got an actual black hero, not somebody prances around in a leotard on a stage like in Black Panther, but an actual African-American hero who stopped a terrorist
[00:14:13.522 --> 00:14:14.402]  Nobody knows about him.
[00:14:14.523 --> 00:14:15.463]  Nobody cares about him.
[00:14:15.903 --> 00:14:22.066]  But Clint Eastwood's movie, 1517 to Paris, they use the same guys who actually stopped the terrorists.
[00:14:22.106 --> 00:14:24.187]  The original guys are in the movie.
[00:14:25.247 --> 00:14:26.868]  Of course, Clint Eastwood's a conservative.
[00:14:27.288 --> 00:14:34.531]  Hollywood literally has to have secret societies of conservatives simply for them to be able to talk to each other and still have careers.
[00:14:34.932 --> 00:14:36.132]  They have to do it behind the scenes.
[00:14:36.172 --> 00:14:36.953]  It's all hush-hush.
[00:14:37.513 --> 00:14:42.315]  So now a wave of negative reviews is pouring in for Clint Eastwood's movie.
[00:14:43.112 --> 00:14:44.252]  And we're going to read some of them here.
[00:14:44.512 --> 00:15:05.218]  Slant Magazine talks about the film's departure from the surprisingly visceral and nuanced book and says that one misses the prismatic structure of 1517 to Paris and basically they go on to say that the terrorist in the movie who is stopped by the heroes is not portrayed sympathetically enough.
[00:15:05.938 --> 00:15:10.699]  Pittsburgh Post-Gazette, even UK Daily Mail chastises this movie
[00:15:11.385 --> 00:15:11.505]  For
[00:15:29.802 --> 00:15:41.694]  At the Daily Mail, at the Pittsburgh Post-Gazette, at the Daily Beast, would the reviewers be complaining about the fact that the white supremacist terrorist wasn't portrayed sympathetically enough?
[00:15:42.296 --> 00:15:50.825]  Look at it that way, and yet that's exactly what they're doing with this Clint Eastwood movie while they fawn and worship at the feet of the Black Panther movie.
[00:15:51.185 --> 00:15:52.687]  Very interesting clash there.
[00:15:53.027 --> 00:15:58.733]  Very interesting case study for the intensified culture wars that we're now experiencing in America.
[00:15:58.773 --> 00:16:00.234]  We'll be back to talk about it after the break.
[00:16:00.274 --> 00:16:01.395]  Infowars.com.
[00:16:01.415 --> 00:16:01.896]  Don't go away.
[00:16:04.424 --> 00:16:22.732]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I'm not gonna speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[00:16:22.812 --> 00:16:28.154]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[00:16:28.274 --> 00:16:29.774]  It's a great deal at $39.
[00:16:30.215 --> 00:16:33.056]  Immune wall, beta-glucans, olive leaf,
[00:16:33.696 --> 00:16:34.676]  And so much more.
[00:16:35.216 --> 00:16:36.377]  It is concentrated.
[00:16:36.597 --> 00:16:38.317]  You need to go read what is in here.
[00:16:38.337 --> 00:16:44.019]  The Mushroom Blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[00:16:44.139 --> 00:16:45.319]  A Citrus Peel Blend.
[00:16:45.339 --> 00:16:47.280]  I mean, this is the next level.
[00:16:47.360 --> 00:16:49.740]  It's now available, ladies and gentlemen, Immune Wall.
[00:16:49.960 --> 00:16:51.241]  I think it's beyond seasonal.
[00:16:51.381 --> 00:16:53.201]  Beta, Glucan, Olive Leaf, and more.
[00:16:53.761 --> 00:16:54.362]  Immune Wall.
[00:16:54.462 --> 00:16:55.782]  Infowarsstore.com.
[00:16:55.902 --> 00:16:57.062]  Infowarslife.com or 888-253-3139.
[00:17:03.470 --> 00:17:06.053]  Brett Smith, author of Thump!
[00:17:06.193 --> 00:17:07.534]  The First Bundred Days.
[00:17:08.255 --> 00:17:09.736]  Explain to people about Thump!
[00:17:09.796 --> 00:17:11.738]  and why this is an important book and how it ties into things.
[00:17:12.099 --> 00:17:14.261]  And I just thought to myself, you know, this is brilliant.
[00:17:14.441 --> 00:17:19.326]  This is the ultimate juxtaposition of what everyone says about the president, you know.
[00:17:19.646 --> 00:17:24.012]  You know, they say that he's a racist, misogynist, sexist, bigoted, homophobic Nazi.
[00:17:24.072 --> 00:17:29.939]  So what better way to counter that than by turning him into an incredibly cute, lovable, fluffy little bunny?
[00:17:30.199 --> 00:17:32.682]  It's got that fun, rhyming structure to it.
[00:17:32.722 --> 00:17:33.844]  It's actually hilarious.
[00:17:33.904 --> 00:17:35.386]  I was cracking up reading the whole book.
[00:17:35.426 --> 00:17:36.367]  My wife was cracking up.
[00:17:36.567 --> 00:17:37.648]  And it's a great book for adults.
[00:17:37.668 --> 00:17:38.689]  It's a great book for children.
[00:17:38.729 --> 00:17:40.090]  We're selling the book.
[00:17:40.351 --> 00:17:46.256]  We've got it bundled as well here with a one-off poster that's a collector's item.
[00:17:46.457 --> 00:17:49.700]  Both of these, the book, the graphic novel, and the poster are $29.95.
[00:17:49.960 --> 00:17:51.582]  That helps support us.
[00:17:51.822 --> 00:17:52.823]  So get the book, Thump!
[00:17:52.943 --> 00:17:55.165]  The First Hundred Days and Alex Jones and Thump!
[00:17:55.485 --> 00:17:58.969]  The Art of Infowars for a limited edition at InfowarsStore.com.
[00:18:02.577 --> 00:18:07.062]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[00:18:07.202 --> 00:18:14.631]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[00:18:14.871 --> 00:18:18.816]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:18:19.036 --> 00:18:25.058]  Prepare this groundbreaking toothpaste with the Super Blue Fluoride-Free Mouthwash and supercharge your oral health.
[00:18:25.218 --> 00:18:31.599]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[00:18:31.819 --> 00:18:41.962]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[00:18:42.202 --> 00:18:48.624]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[00:18:49.004 --> 00:18:51.624]  Xylitol, Nano-Silver, and Iodine.
[00:18:51.865 --> 00:18:55.185]  Notice the difference with our Super Blue Fluoride-Free products.
[00:18:55.485 --> 00:19:00.387]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[00:19:00.487 --> 00:19:02.447]  That's InfoWarsStore.com.
[00:19:02.587 --> 00:19:04.568]  Frank in North Carolina, thanks for holding so long.
[00:19:04.648 --> 00:19:04.968]  Go ahead.
[00:19:05.419 --> 00:19:07.460]  Yeah, Alec, I just have to say something, man.
[00:19:07.481 --> 00:19:10.503]  It seems like every time I turn on your broadcast, you're bragging.
[00:19:11.343 --> 00:19:12.424]  It just gets old, man.
[00:19:12.784 --> 00:19:14.485]  I'm gonna shut you down right now, okay?
[00:19:15.206 --> 00:19:17.267]  We're taking calls about your nomination.
[00:19:17.527 --> 00:19:21.510]  Do you understand they're having congressional hearings trying to shut us down?
[00:19:21.530 --> 00:19:24.032]  Do you understand I'm ringing the alarm?
[00:19:24.832 --> 00:19:27.174]  If that was happening to anybody else, I'd be freaked out.
[00:19:27.534 --> 00:19:28.635]  I mean, what's it gonna take?
[00:19:28.875 --> 00:19:29.756]  Us being shut down?
[00:19:29.996 --> 00:19:31.037]  Is that what you want, Frank?
[00:19:31.457 --> 00:19:32.497]  You know what, Alex?
[00:19:32.537 --> 00:19:33.618]  Put him on pause again.
[00:19:33.638 --> 00:19:34.458]  Hey, Frank!
[00:19:34.738 --> 00:19:40.099]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:19:40.399 --> 00:19:44.680]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:19:44.900 --> 00:19:47.781]  I'm not going to just stop growth and let them start pushing us backwards.
[00:19:48.061 --> 00:19:48.441]  You understand?
[00:19:48.521 --> 00:19:49.781]  I need your help, Frank!
[00:19:50.162 --> 00:19:51.282]  I need your help, Frank!
[00:19:52.282 --> 00:19:57.188]  Go to Infowarsstore.com right now and help fund the InfoWars!
[00:19:57.869 --> 00:19:58.610]  Do you understand?
[00:19:58.630 --> 00:19:59.852]  I need your help, Frank!
[00:20:00.252 --> 00:20:01.754]  Free Press needs your help, Frank!
[00:20:06.540 --> 00:20:09.164]  You're listening to the Alex Jones Show.
[00:20:30.160 --> 00:20:32.602]  We're live on the Alex Jones Show.
[00:20:32.622 --> 00:20:45.632]  I'm going to get back into the news in a second, but I want to tell you about some of the great specials we have available right now at Infowarsstore.com, including this limited time sale, which is super blue 50% off.
[00:20:45.672 --> 00:20:54.099]  We're quickly running out of our best selling super blue products fortified with colloidal silver and iodine to give you a fluoride free smile.
[00:20:54.459 --> 00:20:57.462]  If you're not, if you're not using this product to this point, I mean, come on.
[00:20:58.022 --> 00:20:59.904]  Everybody uses fluoride-free toothpaste.
[00:20:59.984 --> 00:21:02.046]  Anyone who knows about the effects of fluoride, anyway.
[00:21:02.446 --> 00:21:03.687]  So why not get it from us?
[00:21:04.147 --> 00:21:07.870]  We're going to have to take this sale down in a few days as we're almost sold out.
[00:21:08.691 --> 00:21:12.714]  And it will be at least a month before we can get this Super Blue back at its low price.
[00:21:12.734 --> 00:21:14.035]  So there's no time to wait.
[00:21:14.076 --> 00:21:15.236]  Make sure to get yours right now.
[00:21:15.297 --> 00:21:17.058]  InfoWarsStore.com.
[00:21:17.478 --> 00:21:20.461]  Massive 50% off discount.
[00:21:20.921 --> 00:21:22.142]  And that's not the only discount.
[00:21:22.162 --> 00:21:23.283]  We got the iCurin at 50% off.
[00:21:23.323 --> 00:21:24.004]  Cell Force at 53% off.
[00:21:27.620 --> 00:21:28.541]  We're good to go.
[00:21:42.293 --> 00:21:45.755]  This is the anti-inflammatory support nutritional supplement.
[00:21:45.855 --> 00:21:46.635]  I've been taking this.
[00:21:46.835 --> 00:21:49.997]  I had a chest problem which was causing problems with breathing.
[00:21:50.037 --> 00:21:51.838]  It was basically an inflammation of the chest.
[00:21:51.898 --> 00:21:52.979]  It's a problem I've had before.
[00:21:52.999 --> 00:22:01.583]  I've been taking this product for about a week and a half now and it's really alleviated a lot of the symptoms with that anti-inflammatory support.
[00:22:01.623 --> 00:22:03.824]  It is bodies, whole body support.
[00:22:04.185 --> 00:22:06.846]  You can read the reviews at infowarstore.com.
[00:22:06.866 --> 00:22:09.667]  It's basically turmeric and we don't
[00:22:11.261 --> 00:22:11.922]  Broadcast.
[00:22:12.002 --> 00:22:17.245]  We don't cheerlead the benefits of turmeric in terms of alleviating mood as well.
[00:22:17.265 --> 00:22:22.149]  I mean, there are lots of scientific studies, double-blind studies, which show that it
[00:22:22.947 --> 00:22:27.429]  In some cases, it outperforms actual antidepressants in terms of lifting your mood.
[00:22:27.789 --> 00:22:29.230]  We're not selling it on that basis.
[00:22:29.270 --> 00:22:36.313]  We're selling it on the anti-inflammatory support, which I can personally testify has worked wonders for me in just the 10 days I've been taking it.
[00:22:36.873 --> 00:22:37.674]  It is bodies.
[00:22:37.734 --> 00:22:43.497]  It's available right now for £49.95, and that is a 120-capsule bottle.
[00:22:43.977 --> 00:22:47.098]  You take two a day, so that is going to last you for two months.
[00:22:47.598 --> 00:22:48.719]  If you have problems with
[00:22:49.474 --> 00:22:57.000]  Your joints, if you have problems with flexibility, if you've got inflammatory problems, BODYS could be the solution for you.
[00:22:57.260 --> 00:23:01.784]  And look at those 4.9 independent reviews out of 18 reviews.
[00:23:02.305 --> 00:23:03.446]  So other people have got it.
[00:23:03.726 --> 00:23:06.908]  They're raving about it on Infowarsstore.com.
[00:23:07.008 --> 00:23:11.392]  It is BODYS and I can personally recommend that just in the 10 days that I've been taking it.
[00:23:12.173 --> 00:23:13.654]  I've noticed a definite improvement.
[00:23:14.295 --> 00:23:20.487]  You can also select a delivery every 60 days or every under an 80 days with the AutoShip option.
[00:23:20.968 --> 00:23:24.996]  You get a 10% discount on that on top of the discount we're already running.
[00:23:25.982 --> 00:23:30.585]  So if you forget to order it, obviously we take a lot of supplements, sometimes we forget to order them.
[00:23:30.985 --> 00:23:38.851]  The auto ship means you don't have to continually reorder, it does it for you and of course you can cancel at any time, you're not locked into any kind of contract.
