[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[00:08:55.123 --> 00:09:02.326]  Making some moves here in traffic as I record this voice from a transmission today with Milo's co-hosting.
[00:09:02.326 --> 00:09:04.187]  I'll be coming on later.
[00:09:04.187 --> 00:09:10.170]  Take care of a lot of critical infrastructure and preparations for massive expansion in the face of the NWO.
[00:09:10.170 --> 00:09:16.053]  We've promised this each time and expanded massively and had devastating effects against the enemy.
[00:09:16.053 --> 00:09:22.376]  And I'm telling you now we're about to make our biggest expansion ever in the face of massive censorship and attacks.
[00:09:22.376 --> 00:09:23.397]  But getting back to Billy Graham.
[00:09:25.492 --> 00:09:36.621]  People would think six, seven years ago when I covered articles about elementary students in the UK being told that they're purple penguins, that you can't be a boy or a girl, people thought that was a joke.
[00:09:36.621 --> 00:09:37.902]  And then a year later, it was in the US.
[00:09:37.902 --> 00:09:41.385]  And then a few years later, it was all across the United States.
[00:09:41.385 --> 00:09:47.590]  And then they would tell parents on entrance form for kindergartners or Head Start, don't call yourself mother or father.
[00:09:47.590 --> 00:09:50.352]  That could be hurtful, but someone else that doesn't.
[00:09:50.352 --> 00:09:54.175]  Now you think about that from an authoritarian perspective of a fictitious 1984.
[00:09:56.314 --> 00:10:02.319]  Or even in 1984, they can use the words mother and father, and men and women still have relationships.
[00:10:02.319 --> 00:10:14.570]  But Orwell, in his fictional, futurist dystopia, projects that they would finally get rid of the family itself, because it was in competition with the state.
[00:10:14.570 --> 00:10:16.632]  And that's why they're getting rid of God.
[00:10:16.632 --> 00:10:18.854]  Because God can be your image, your idea.
[00:10:19.915 --> 00:10:23.856]  of a higher power, even if we don't believe in a real God.
[00:10:23.856 --> 00:10:43.860]  And that gets in the way of the social engineers whose God is political correctness, is racial division, is racial identity to the point that people are basically basket cases who don't know any real social interaction information, any real business information, any real charm.
[00:10:45.023 --> 00:10:53.225]  Any real destiny, any real success, and instead are just experts on fighting with each other and acting like ninny in basket cases.
[00:10:53.225 --> 00:11:10.408]  So, we can sit there and look at the strictures of conservatives and of Christians, and their warnings of what would happen if the nuclear family broke down, and their warnings of the disintegration of society, and think, well, that's a form
[00:11:12.145 --> 00:11:13.466]  Of control.
[00:11:13.466 --> 00:11:15.447]  That's a form of manipulation.
[00:11:15.447 --> 00:11:17.448]  And so we're rebelling against it.
[00:11:17.448 --> 00:11:37.821]  But if you look at what happened in the 60s and 70s and 80s, the CIA and others declassified the fact that his leftists inside those organizations admitted that they were seeking to overthrow the entire existing order and replace it with something infinitely more centralized, autocratic and authoritarian.
[00:11:37.821 --> 00:11:38.762]  And so that's a fact.
[00:11:39.673 --> 00:11:48.120]  There is an absolute war on what they call the bourgeois, the middle class, the upwardly mobile.
[00:11:48.120 --> 00:11:57.167]  And it's by the elite itself that wants to eradicate any cultures, any systems that it doesn't totally control.
[00:11:57.167 --> 00:11:59.269]  And so, yes, it's easy to
[00:12:00.509 --> 00:12:10.001]  Take on the so-called pseudo-intellectual garment of individuals that roll their eyes at preachers and the people that warn about the destruction of the family.
[00:12:10.001 --> 00:12:16.149]  But now the facts are in a hundred percent in triplicate that we indeed have seen
[00:12:16.890 --> 00:12:36.241]  A breakdown in civilization due to the breakdown of the family with the ongoing assault and even those that still carry out a system of stability and success and competency do it somewhat secretly and under a veil as if we are committing some type of dirty heretical
[00:12:37.723 --> 00:12:41.204]  It was the West that was open for women to vote.
[00:12:41.204 --> 00:12:46.505]  It was the West that was open to decriminalize same-sex activities.
[00:12:46.505 --> 00:13:01.969]  It was the West that was the trailblazer in true equality, in true open societies, in true live and let live philosophy.
[00:13:01.969 --> 00:13:06.110]  But just because you live and let live, just because you're tolerant
[00:13:07.313 --> 00:13:34.177]  Does it mean that you give up your basic operating system because just the mere existence of capitalism, or the mere existence of European or Western values, because the mere existence of it in museums affronts the globalists because it can't be allowed to stand because an open, free, true renaissance society is so much sexier and so much cooler
[00:13:36.272 --> 00:13:49.102]  Then the modern globalist technocracy, which is really just an ancient system of cult-like control with a high-tech overlay and high-tech digital straitjacket to control.
[00:13:49.102 --> 00:13:49.783]  So that said,
[00:13:51.707 --> 00:13:59.211]  The old western values would criticize and warn about broken families and warn about cheating on your wife.
[00:13:59.211 --> 00:14:03.333]  Not from some hypocritical perspective, but because they knew they'd done it.
[00:14:03.333 --> 00:14:05.754]  And they'd come out of the dark age and out of true barbarism.
[00:14:07.052 --> 00:14:25.498]  And so now look at where we are today, where it's not about equality, it's about the people that have put themselves into these new subgroups, now announcing themselves the dominant culture and the new religion, and telling all of us that we must comply, or we'll be banned from the internet, we'll be ostracized, we'll be censored.
[00:14:26.533 --> 00:14:27.894]  We'll be persecuted.
[00:14:27.894 --> 00:14:29.836]  We'll be hit in the head with a bike lock.
[00:14:29.836 --> 00:14:33.278]  You see signs up saying kill the NRA members.
[00:14:33.278 --> 00:14:35.680]  Major billboards still not taken down.
[00:14:35.680 --> 00:14:39.343]  Left is saying abort your babies so they don't die in mass shootings.
[00:14:39.343 --> 00:14:41.745]  Just open calls for violence everywhere.
[00:14:41.745 --> 00:14:48.790]  You see what happens when strong cultures, because they are seen as
[00:14:49.943 --> 00:14:51.324]  Too dominant.
[00:14:51.324 --> 00:14:52.665]  Too successful.
[00:14:52.665 --> 00:14:53.765]  Too sexy.
[00:14:53.765 --> 00:14:57.568]  Commits suicide, hoping it makes other systems
[00:14:58.860 --> 00:15:00.541]  Feel more at home.
[00:15:00.541 --> 00:15:03.063]  That is the essence of being a cuck.
[00:15:03.063 --> 00:15:05.584]  That is the essence of cultural suicide.
[00:15:05.584 --> 00:15:26.838]  And you see that into that vacuum comes the technocrats, then directing the most barbarous and racist and dumbed down and most controlling elements of all the different disparate groups, where the globalists have colonized the third world, enslaved it, weaponized it, dumbed it down, and are now, in movies like Black Panther, saying it's time for the third world
[00:15:27.378 --> 00:15:30.580]  to come in and then colonize what's left of the West.
[00:15:30.580 --> 00:15:33.542]  But in truth, they're not really going to be colonizing what's left of the West.
[00:15:33.542 --> 00:15:45.531]  They are just going to be making sure that anything that could ever allow freedom to spring again, or true diversity spring again, or true renaissance to spring again, or true free market to spring again, will be dynamited and will be destroyed.
[00:15:45.531 --> 00:15:51.115]  All right, back to the live transmission and the one, the only Milo hosting.
[00:15:51.115 --> 00:15:53.516]  I'll be in in the third hour co-hosting.
[00:15:53.516 --> 00:15:54.177]  Stay with us.
[00:15:54.177 --> 00:15:56.779]  Infowars.com, because there's a war on for your mind.
[00:15:59.272 --> 00:16:01.153]  Fully cooked, ready-to-eat bacon.
[00:16:01.153 --> 00:16:04.395]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:16:04.395 --> 00:16:05.997]  Savory and delicious.
[00:16:05.997 --> 00:16:08.818]  I buy some, I use some, I store some.
[00:16:08.818 --> 00:16:09.499]  Awesome.
[00:16:09.499 --> 00:16:12.581]  No refrigeration needed with a 10-year shelf life.
[00:16:12.581 --> 00:16:14.142]  NASA PAC Technology.
[00:16:14.142 --> 00:16:14.762]  Bacon.
[00:16:14.762 --> 00:16:18.925]  Fully cooked, fully hydrated, ready-to-eat, right from the pack bacon.
[00:16:18.925 --> 00:16:20.346]  Or warm and served.
[00:16:20.346 --> 00:16:22.407]  Life-saving, ready-to-eat bacon.
[00:16:22.407 --> 00:16:24.349]  10-year shelf life bacon.
[00:16:24.349 --> 00:16:27.131]  Ships free at FullyCookedBacon.com.
[00:16:27.131 --> 00:16:28.351]  FullyCookedBacon.com.
[00:16:29.652 --> 00:16:30.873]  Hear that?
[00:16:30.873 --> 00:16:36.257]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[00:16:36.257 --> 00:16:39.139]  And what they don't steal will be destroyed.
[00:16:39.139 --> 00:16:42.721]  This year, resolve not to be the next victim of a break-in.
[00:16:42.721 --> 00:16:50.306]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[00:16:50.306 --> 00:16:54.909]  Security is a mindset, and Faketv should be part of your security solution.
[00:16:54.909 --> 00:16:57.331]  Be vigilant, but not fearful.
[00:16:57.331 --> 00:16:57.771]  Faketv.com
[00:16:59.679 --> 00:17:01.641]  Heart disease is on the rise.
[00:17:01.641 --> 00:17:06.945]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:06.945 --> 00:17:08.527]  But the symptoms are there.
[00:17:08.527 --> 00:17:16.894]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:16.894 --> 00:17:22.579]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:22.759 --> 00:17:24.580]  My blood pressure has normalized.
[00:17:24.580 --> 00:17:26.842]  My diabetes has totally improved.
[00:17:26.842 --> 00:17:31.245]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:31.245 --> 00:17:33.426]  I recommend Heart and Body Extract to everyone.
[00:17:33.426 --> 00:17:41.171]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:41.331 --> 00:17:43.914]  Order your two-month supply today by calling 866-295-5305.
[00:17:43.914 --> 00:17:44.594]  That's 866-295-5305.
[00:17:44.594 --> 00:17:46.056]  Or order online at HBextract.com.
[00:17:46.056 --> 00:17:47.918]  Heart and Body Extract, 866-295-5305.
[00:17:47.918 --> 00:17:48.719]  Or HBextract.com.
[00:18:00.310 --> 00:18:09.393]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:18:09.393 --> 00:18:17.796]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:17.796 --> 00:18:22.678]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:22.678 --> 00:18:26.059]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:18:27.540 --> 00:18:28.340]  We're good to go.
[00:18:48.129 --> 00:18:53.673]  I want to plow into all of this, but I'm going to spend a few minutes here first just encouraging listeners to understand that
[00:19:09.341 --> 00:19:20.168]  When you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[00:19:20.168 --> 00:19:22.290]  I mean, I cannot say it any clearer.
[00:19:22.290 --> 00:19:26.292]  And so it is essential that you purchase the products at InfoWarsTore.com.
[00:19:26.292 --> 00:19:33.557]  And I want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[00:19:33.557 --> 00:19:35.939]  You cannot beat that for children and adults.
[00:19:35.939 --> 00:19:38.581]  We've got the best mouthwash designed by Dr. Jones.
[00:19:38.581 --> 00:19:39.181]  That's my dad.
[00:19:39.441 --> 00:19:40.742]  You're listening to the Alex Jones Show!
[00:20:26.892 --> 00:20:31.877]  If you are receiving this transmission, you are the resistance.
[00:20:31.877 --> 00:20:39.503]  Live from the InfoWars.com studios, it's Alex Jones.
[00:20:39.503 --> 00:20:41.085]  Welcome back.
[00:20:41.085 --> 00:20:47.590]  Before the break, you heard the dear leader, one pastor giving his eulogy to another.
[00:20:48.797 --> 00:20:52.638]  Now we're going to move on to the two things biggest in my mind today.
[00:20:52.638 --> 00:20:59.921]  First of all, the unfurling scandal surrounding aid charities.
[00:20:59.921 --> 00:21:09.564]  Oxfam is embroiled in controversy at the moment because of its prostitution activities in Haiti.
[00:21:10.976 --> 00:21:14.218]  Let me tell you, that's just the tip of the iceberg.
[00:21:14.218 --> 00:21:17.240]  Let's just be clear, aid workers are terrible people.
[00:21:17.240 --> 00:21:32.810]  This is not, you know, the giving self-sacrifice of a church parishioner who hops in on Sundays to help out people who cannot feed themselves properly.
[00:21:32.810 --> 00:21:39.114]  Aid workers in countries like Rwanda and Bosnia and Haiti are rich
[00:21:40.325 --> 00:21:49.490]  entitled white liberals out there spreading the gospel of climate change with a bent knee to the citadel of globalism.
[00:21:49.490 --> 00:21:50.850]  These are not heroes.
[00:21:50.850 --> 00:22:04.337]  These are people whose moral and ethical systems are heavily and irredeemably compromised by the terrible people they work around for and with.
[00:22:04.337 --> 00:22:07.379]  And it shouldn't surprise us that this unfurling tragedy is
[00:22:10.319 --> 00:22:18.403]  It's starting to tarnish the reputations of organizations that had previously been unscathed by critique, and it took the MeToo movement to do it.
[00:22:18.403 --> 00:22:38.432]  I worked for a climate change NGO, which I don't like to tell people very often because it's not a particularly bright spot on my resume, but I was chief researcher and speechwriter for a climate change NGO, one of the member organizations of this vast, parasitic bureaucracy that orbits the UN.
[00:22:39.562 --> 00:22:45.524]  And I saw firsthand how the IPCC cooks the books, makes up the numbers.
[00:22:45.524 --> 00:22:46.665]  I saw it with my own eyes.
[00:22:46.665 --> 00:22:53.627]  I saw people changing numbers from studies to better fit political priorities and hysterical language.
[00:22:53.627 --> 00:23:00.130]  I saw executive summaries being ginned up to be as hysterical as possible.
[00:23:00.130 --> 00:23:08.453]  And in my time there, I spent a lot of work trips with people who did the kind of work that Oxfam and other charities do in war-torn areas.
[00:23:09.798 --> 00:23:28.452]  Their lives may superficially be dedicated to the betterment of others and to the advancement of medicine and peace, but their lives are saturated not just with drugs and with sex, which they excuse by saying they're under so much stress, but also with guns.
[00:23:28.452 --> 00:23:39.120]  These people operate internationally and out of the reach of the rule of law, running shotgun with armies from both sides in some cases of conflicts,
[00:23:41.024 --> 00:24:00.105]  Throwing themselves around some of the most exciting and beautiful places on Earth, drenched in drugs, sex, and guns, whining about how stressed they are, and how really, you know, if only you knew how awful it was working for a rich, multinational, globalist NGO, spending time in the most beautiful places on planet Earth.
[00:24:00.105 --> 00:24:02.107]  You'd understand why I had to hire prostitutes.
[00:24:02.107 --> 00:24:02.567]  Give me a break.
[00:24:04.650 --> 00:24:13.870]  The other news story that is consuming the week is of course Florida and the left is not enjoying very much being caught out on its little canal.
[00:24:15.373 --> 00:24:17.234]  These poor innocent students.
[00:24:17.234 --> 00:24:25.577]  Let's show two tweets from one of the students that purport to represent the opinion of one of the kids caught in Florida.
[00:24:25.577 --> 00:24:38.863]  Now look, it's not a polite thing to say, it's not a very family-friendly thing to say, it's the sort of thing that makes people very upset at you, but it is unarguably true that there is something up with the testimony of these kids on TV.
[00:24:38.863 --> 00:24:40.324]  We saw this Douglas Hogg kid.
[00:24:41.360 --> 00:24:43.441]  Gives beautifully rehearsed lines one day.
[00:24:43.441 --> 00:24:44.942]  Stumble on another day.
[00:24:44.942 --> 00:24:51.827]  We saw video of him from California, some confected nonsense up there where he was presumably practicing for primetime.
[00:24:51.827 --> 00:24:54.969]  There's something up with the testimony from these kids.
[00:24:54.969 --> 00:24:55.830]  And we've got two tweets.
[00:24:55.830 --> 00:25:08.699]  One of them, as the kids, their minders, and TV networks run damage control with Douglas Hogg and his FBI dad on CNN, with Anderson Cooper, who never met a story he didn't cry at,
[00:25:10.168 --> 00:25:15.730]  desperately entreating America to set aside the conspiracy theories.
[00:25:15.730 --> 00:25:16.811]  But look for your own eyes.
[00:25:16.811 --> 00:25:18.211]  There's something weird about this.
[00:25:18.211 --> 00:25:23.113]  If we could throw these two tweets up from this girl screeching, we are kids!
[00:25:23.113 --> 00:25:25.194]  We are kids!
[00:25:25.194 --> 00:25:26.574]  And look at her.
[00:25:26.574 --> 00:25:28.135]  Yeah, there it is.
[00:25:28.135 --> 00:25:28.415]  This is
[00:25:31.035 --> 00:25:32.035]  This is very odd to me.
[00:25:32.035 --> 00:25:36.677]  If you look at the Twitter stream of this particular girl, there is something up with it.
[00:25:36.677 --> 00:25:44.139]  There's another tweet where she says, I just started organizing this march and I didn't even know anyone was going to show up and now everyone around the world is watching.
[00:25:44.139 --> 00:25:58.503]  This is like a middle-aged social justice warrior's idea of what a kid might say, of how to touch the hearts of millions with the intrepid and brave stories of these courageous children.
[00:26:00.612 --> 00:26:03.793]  But there's something up here and we're going to find out what it is.
[00:26:03.793 --> 00:26:13.816]  And the way you know that is the networks, I mentioned on the show yesterday, the way you know that there is something up is that the networks and the newspapers are so hysterically trying to shut it down.
[00:26:13.816 --> 00:26:17.337]  Ridiculing and badgering anybody who dares to mention it.
[00:26:18.641 --> 00:26:19.381]  CNN reports.
[00:26:19.381 --> 00:26:24.943]  If you ever want to really annoy yourself, go and take a look at CNN's reporting.
[00:26:24.943 --> 00:26:27.323]  The written reporting on CNN.com.
[00:26:27.323 --> 00:26:29.484]  And look at the adjectives.
[00:26:29.484 --> 00:26:30.564]  They're so desperate.
[00:26:30.564 --> 00:26:33.745]  The false reports from these shameful such-and-such, you know.
[00:26:33.745 --> 00:26:34.845]  This isn't news reporting.
[00:26:34.845 --> 00:26:41.207]  It's opinion writing masquerading as news in the service of CNN's own political agenda.
[00:26:42.554 --> 00:26:47.237]  This stuff is being used to push narratives, not just about gun control, but also about video games.
[00:26:47.237 --> 00:26:53.581]  Now, Florida legislators are suggesting, contrary to all evidence and experience, that video games can make you violent, so we should look at that.
[00:26:53.581 --> 00:26:55.202]  And even pornography.
[00:26:55.202 --> 00:26:58.685]  Somebody reported that the shooter was playing a lot of video games.
[00:26:58.685 --> 00:27:02.687]  There is no evidence whatsoever that video games can make you violent.
[00:27:02.687 --> 00:27:12.434]  In fact, there are studies that show that it helps boys to let off steam, and they behave more congenially and pleasantly to people after they've played very competitive games.
[00:27:13.475 --> 00:27:21.725]  No evidence for this whatsoever, but this is being used to push a variety of narratives, all of them designed to erode your freedoms.
[00:27:21.725 --> 00:27:23.587]  And it's even happening in Arizona.
[00:27:25.589 --> 00:27:34.036]  Indoctrination of young kids by teachers should be a cause for worry for anyone who has children in a public school.
[00:27:34.036 --> 00:27:37.099]  Let me read you a letter I got from a fan.
[00:27:37.099 --> 00:27:39.201]  She says, Hi Milo, my name is Brianna.
[00:27:39.201 --> 00:27:43.745]  I live in Arizona and my brother's high school made an announcement asking students to step outside.
[00:27:44.145 --> 00:27:46.726]  And protest Trump, as well as the NRA and guns.
[00:27:46.726 --> 00:27:50.067]  They're pushing for gun control and are using the students to do it.
[00:27:50.067 --> 00:27:55.448]  My brother got into an argument with his social studies teacher after he told her he would not be participating in the protest.
[00:27:55.448 --> 00:28:02.090]  She then proceeded to tell him if he did not participate, that she would fail him.
[00:28:02.090 --> 00:28:08.372]  Students are now threatening their kids' educations, their educational futures, because they have the wrong opinion.
[00:28:09.594 --> 00:28:09.854]  about it.
[00:28:23.393 --> 00:28:30.500]  Very often reasonable, respectable and kind people on both sides of debate can have different ideas about where the truth is.
[00:28:30.500 --> 00:28:38.808]  After the break I'm going to play you a clip from NBC crowing about gun owners melting down and smashing up their own guns.
[00:28:38.808 --> 00:28:43.052]  Because I think it gives you a little insight into the psychology of the people who are pushing this stuff.
[00:28:43.052 --> 00:28:45.274]  It is deeply, deeply upsetting.
[00:28:45.274 --> 00:28:46.174]  NBC crowing.
[00:28:47.268 --> 00:28:49.353]  And exhibiting the death of American freedoms.
[00:28:49.353 --> 00:28:53.503]  We'll be right back after this break and then I'm going to show you this clip from NBC because it's really really very distressing.
[00:28:53.503 --> 00:28:53.944]  We'll be right back.
[00:28:59.824 --> 00:29:00.625]  This is Dan Pilla.
[00:29:00.625 --> 00:29:02.426]  Do you owe the IRS money you can't pay?
[00:29:02.426 --> 00:29:04.087]  Are tax debts crippling you?
[00:29:04.087 --> 00:29:06.910]  I've defended people from the IRS for over 30 years.
[00:29:06.910 --> 00:29:09.191]  I've helped thousands and I can help you too.
[00:29:09.191 --> 00:29:13.715]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:29:13.715 --> 00:29:17.658]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:29:17.658 --> 00:29:21.421]  With the IRS's new programs, there's never been a better time to solve your problem.
