[00:00:23.232 --> 00:00:27.943]  Yeah, I think.
[00:04:54.836 --> 00:04:57.677]  We'll be back with the most censored broadcast in the Western Hemisphere.
[00:05:00.336 --> 00:05:01.677]  We knew it was coming.
[00:05:01.677 --> 00:05:03.137]  The whole thing was formulaic.
[00:05:03.137 --> 00:05:17.003]  First demonize InfoWars, lie about us, build a strawman, then sue us to add credibility to that, then have a few fake strikes on YouTube and Facebook with nebulous terms like bullying children and Islamophobia, and then voila!
[00:05:17.383 --> 00:05:27.435]  Two weeks later, ban InfoWars completely off of dozens of major platforms where we were all in the top five or top ten news feeds.
[00:05:27.435 --> 00:05:30.438]  Go to InfoWars.com forward slash show.
[00:05:30.438 --> 00:05:31.920]  Subscribe to the free podcast.
[00:05:31.920 --> 00:05:33.382]  Just click on the link.
[00:05:33.382 --> 00:05:36.325]  Whatever you're subscribing your podcast in, it'll pop up there.
[00:05:36.986 --> 00:05:46.449]  It's also critical to go to InfoWars.com forward slash newsletter and give us your email so that we can stay in contact with you and send you videos and articles on our own platform.
[00:05:46.449 --> 00:05:58.552]  But whatever you do, tell folks about InfoWars.com forward slash show, how they can download the free Android and iPhone apps, how they can then reach out to others with the information and point out, this is the verboten info.
[00:05:58.552 --> 00:05:59.833]  This is what they don't want you to see.
[00:06:22.262 --> 00:06:23.583]  It's Friday, August 17, 2018.
[00:06:23.583 --> 00:06:30.067]  There's only 81 days left until the most important elections in U.S.
[00:06:30.067 --> 00:06:31.367]  history.
[00:06:31.367 --> 00:06:41.093]  We are the tip of the spear attempting to alert the American people and the world to the threat of globalism and the all-out assault on Western civilization and America.
[00:06:41.093 --> 00:06:42.514]  Whatever you do, realize...
[00:06:43.034 --> 00:06:59.684]  The globalists have made a miscalculation and are committed to shut down this transmission with every form of assault you can imagine because they believe you're stupid and won't notice what's happening, but they can bring in their draconian Chinese communist style censorship in America.
[00:06:59.684 --> 00:07:01.665]  But we are here exposing it.
[00:07:01.665 --> 00:07:05.628]  They are scared of this information because it is the answer to their corruption.
[00:07:05.628 --> 00:07:09.170]  Again, thank you so much for joining us on this Friday Global Broadcast.
[00:07:10.157 --> 00:07:14.965]  Let me tell you what's coming up today, and then I'll get into all of it.
[00:07:16.673 --> 00:07:44.484]  The left, as I've told you for 20 plus years, is brainwashed to hate America and is trained by the high schools, the colleges, the mainline churches, the culture, that America is the ultimate evil in the world because the globalists want a one world planetary government that controls America and other western nations to enforce their planetary plan of absolute and complete domination.
[00:07:46.360 --> 00:07:47.941]  Now, that's known now.
[00:07:47.941 --> 00:07:54.167]  They tried to deny that any of that existed for decade after decade after decade while they built their world government.
[00:07:54.974 --> 00:08:10.865]  But once they had to emerge the world government, once they had to take it out of the shipyards and actually put it into the ocean, the world can now see the dreadnought, the corrupt battleship of tyranny, the aircraft carrier of lies that is the One World Government planetary program.
[00:08:10.865 --> 00:08:22.694]  So all over the world it's in big trouble because it's authoritarian, it's above the law, it is tax-exempt, it is diplomatically immune, it is totally maniacal and anti-human.
[00:08:23.672 --> 00:08:31.013]  And as the public begins to learn about that and learn that it's anti-prosperity and anti-human, there's going to be a giant resistance that forms.
[00:08:32.659 --> 00:08:39.381]  They have decided to take me, build me up as this monster, and then use me as the first domino to fall to eradicate free speech in the West.
[00:08:39.381 --> 00:08:41.542]  That is all confirmed now.
[00:08:41.542 --> 00:08:42.542]  Law firms in D.C.
[00:08:42.542 --> 00:08:52.185]  have gone and looked at the statements by Democrats in Congress, their own secret reports, and have concurred that by next year, they plan to basically end the First Amendment in America.
[00:08:52.185 --> 00:08:57.267]  It's our job to raise the alarm bell that A, they're doing that, and that B, it's got to be stopped.
[00:08:58.087 --> 00:09:10.355]  So the first thing I'm going to cover when we come back in the next segment, which will be the second thing I cover, I'm about to cover one big topic now that ties into this, is the fact that the Republicans don't understand what's happening.
[00:09:10.355 --> 00:09:12.897]  They've been manipulated.
[00:09:12.897 --> 00:09:15.359]  I'm not calling for government regulation of the Internet.
[00:09:15.359 --> 00:09:17.821]  I'm not calling for regulation of these corporations.
[00:09:17.821 --> 00:09:23.664]  But it's already happened by fiat via the EU and its fines and regulations.
[00:09:24.665 --> 00:09:26.526]  via these companies wanting to move to China.
[00:09:26.526 --> 00:09:38.011]  They're going under China's regulatory auspices and they're unifying, without asking anybody, an unofficial global corporate charter of censorship and control.
[00:09:38.011 --> 00:09:42.913]  And then the Republicans sit back like a bunch of fools and go, well, we're not going to get involved in what companies do.
[00:09:42.913 --> 00:09:44.473]  They're private companies.
[00:09:44.473 --> 00:09:45.334]  You can't operate.
[00:09:46.727 --> 00:09:48.548]  As a utility.
[00:09:48.548 --> 00:09:56.694]  And then have rules that you only selectively enforce on nationalists, capitalists, middle class, patriots, pro-military, pro-Second Amendment people.
[00:09:56.694 --> 00:09:59.216]  And we all know that's what's going on.
[00:09:59.216 --> 00:10:07.922]  So this is false advertising, it's racketeering, it's monopoly practices when you have the top six companies all in the same day ban info wars.
[00:10:07.922 --> 00:10:10.764]  And then 20 other companies plus follow suit.
[00:10:13.041 --> 00:10:15.782]  That is called a monopoly combine.
[00:10:15.782 --> 00:10:19.804]  The very worst monopoly system where a group of monopolies work in concert.
[00:10:19.804 --> 00:10:24.147]  It's called a car-kel.
[00:10:24.147 --> 00:10:25.988]  And so, we're going to get the message out.
[00:10:25.988 --> 00:10:31.651]  And we've been putting this message out to the White House, to Congress, and it's one big reason we've been banned.
[00:10:31.651 --> 00:10:32.531]  But I'm willing to do it.
[00:10:32.531 --> 00:10:35.833]  I'm not going to play along with the systems.
[00:10:37.081 --> 00:10:39.103]  I'm not... I mean, there it is.
[00:10:39.103 --> 00:10:46.751]  Apple banned Alex Jones, and then the dominoes started to fall.
[00:10:46.751 --> 00:10:50.114]  I didn't even know they'd actually written an article using that term, but that's exactly what I've been calling it.
[00:10:50.114 --> 00:11:00.425]  It's the domino effect, and then they go, oh, hip hip hooray, take Alex Jones down, and a lot of conservatives go, well, they've built a straw man about him, they've demonized him, I'm not going to really defend him.
[00:11:01.906 --> 00:11:02.767]  And then you're next.
[00:11:02.767 --> 00:11:04.848]  And of course it's now, it's now happened.
[00:11:04.848 --> 00:11:07.570]  So this is extremely draconian.
[00:11:07.570 --> 00:11:11.533]  These big companies together represent over 90% of the internet.
[00:11:11.533 --> 00:11:14.915]  And so now they're saying we're not gonna even let people advertise on our platforms.
[00:11:14.915 --> 00:11:16.816]  We're not gonna let people even have bank accounts.
[00:11:16.816 --> 00:11:19.458]  Jahad Watch has had their MasterCard taken away.
[00:11:19.458 --> 00:11:20.879]  They had for 20 years.
[00:11:20.879 --> 00:11:22.900]  Now MasterCard says you can't bank.
[00:11:22.900 --> 00:11:23.801]  You can't live.
[00:11:25.996 --> 00:11:27.398]  Oh, it's just a private company.
[00:11:27.398 --> 00:11:31.462]  They are organizing, like tyrannies always do, to link up.
[00:11:31.462 --> 00:11:37.189]  It's the linking up of companies in a cartel to persecute groups that is totally illegal.
[00:11:38.120 --> 00:11:42.542]  That is the most dangerous expression of communism and fascism and authoritarianism.
[00:11:42.542 --> 00:11:44.424]  It is the tell-tale sign.
[00:11:44.424 --> 00:11:48.626]  Censorship, cartels linking together, trying to kick you out of the market.
[00:11:48.626 --> 00:11:52.008]  It is exactly what Adolf Hitler did.
[00:11:52.008 --> 00:11:53.368]  It's exactly what V.I.
[00:11:53.368 --> 00:11:54.169]  Lenin did.
[00:11:54.169 --> 00:11:56.130]  It's exactly what Mao Zedong did.
[00:11:56.130 --> 00:11:58.051]  It's exactly what Hugo Chavez did.
[00:11:58.051 --> 00:12:01.813]  It's exactly what Fidel Castro did.
[00:12:01.813 --> 00:12:04.074]  It's exactly what these regimes do.
[00:12:04.074 --> 00:12:06.476]  One hundred percent it's what Mussolini did.
[00:12:07.213 --> 00:12:08.674]  Benito Mussolini.
[00:12:08.674 --> 00:12:19.221]  It is the blood, the guts, the bone, the brain, the skin, the hair, the arms, the everything of tyranny!
[00:12:19.221 --> 00:12:20.322]  It's it!
[00:12:20.322 --> 00:12:24.505]  We know what it looks like, we know what it acts like, we know how it behaves, we know what it is.
[00:12:24.505 --> 00:12:31.510]  So see, I've already kind of gotten into my whole argument that
[00:12:35.236 --> 00:12:37.057]  We must stop this now.
[00:12:37.057 --> 00:12:46.100]  By Congress not having any control over the Internet, they have removed net neutrality.
[00:12:46.100 --> 00:12:51.581]  Now again, Obama called it net neutrality.
[00:12:51.581 --> 00:12:57.523]  But what that was, was bringing in regulations so these companies could censor whoever they wanted to have liability protection.
[00:12:57.523 --> 00:13:04.766]  The Republicans said we're reversing that, but then they didn't put anything in its place, so then it became even more of a free-for-all.
[00:13:07.534 --> 00:13:08.474]  But again, it's global.
[00:13:08.474 --> 00:13:12.596]  America's only 325 million people.
[00:13:12.596 --> 00:13:14.316]  China's a billion and a half.
[00:13:14.316 --> 00:13:16.677]  India's a billion, 100 million.
[00:13:16.677 --> 00:13:18.478]  The EU's 350-something million.
[00:13:18.478 --> 00:13:25.180]  There's all these other places, and the EU's coming in with billion-dollar fines every few weeks against these companies to go under their regulations.
[00:13:25.180 --> 00:13:28.541]  They're not going to just create all these different regulations for different countries and regions.
[00:13:28.541 --> 00:13:31.462]  They're adopting the EU and Chinese model.
[00:13:31.462 --> 00:13:35.744]  They're building the Chinese censorship engines, and they're building them here, and they're just unifying it.
[00:13:36.906 --> 00:13:44.588]  So by Congress leaving this vacuum open, and by all of us sitting here like fools going, we're an open society,
[00:13:45.603 --> 00:13:46.603]  These are private companies.
[00:13:46.603 --> 00:13:47.724]  They can do what they want.
[00:13:47.724 --> 00:13:56.366]  The Democrats are now all over the news banning all Republicans even talking about their campaigns or putting their campaign ads up on their Facebook or Twitter or YouTube.
[00:13:56.366 --> 00:13:58.487]  But the Democrats can operate all they want.
[00:13:58.487 --> 00:14:04.289]  Antifa said we're going to put bullets in Congress's heads and kill Trump and kill his family and kill talk show hosts.
[00:14:04.289 --> 00:14:09.031]  And I go, well, folks, you better have your battle rifles ready by your bed because they may actually attack your houses.
[00:14:09.031 --> 00:14:10.711]  It's already been happening.
[00:14:10.711 --> 00:14:13.152]  That turns into, I said, battle rifles for the media.
[00:14:13.814 --> 00:14:15.575]  And they don't show it, do they?
[00:14:15.575 --> 00:14:18.257]  Because they've gone next-level fraud, folks.
[00:14:18.257 --> 00:14:20.179]  This shows they're going for broke.
[00:14:20.179 --> 00:14:25.843]  So, there is a vacuum.
[00:14:25.843 --> 00:14:31.287]  There is a system of Congress asleep at the switch, drooling.
[00:14:31.287 --> 00:14:43.236]  And the Googles and Facebooks and Apples of the world patting them on the back like they're complete morons while they adopt the EU and Chinese model and merge the censorship systems in standardization.
[00:14:44.827 --> 00:14:52.530]  And now they're saying, hell, if we win the House, we're going to go ahead with full internet takeover and total censorship.
[00:14:52.530 --> 00:14:54.051]  That's been out for weeks.
[00:14:54.051 --> 00:14:58.513]  And Senator Warner on Monday released more documents calling for it.
[00:14:58.513 --> 00:15:02.954]  I've got one of the top first-minute law firms in the country, and they looked at it and they could not believe it.
[00:15:02.954 --> 00:15:06.196]  This is true tyranny.
[00:15:06.196 --> 00:15:09.017]  Are you thinking they're not going to just fill that vacuum?
[00:15:09.017 --> 00:15:14.279]  Whenever Governor Cuomo said America was never great, America's a piece of crap, and CNN agreed with him, that's coming up.
[00:15:15.902 --> 00:15:17.623]  They're telling you the truth.
[00:15:17.623 --> 00:15:22.247]  They are such in their echo chambers that they literally hate America.
[00:15:22.247 --> 00:15:25.730]  The majority of millennials want communism, but they've got $1,000 phones and $200 skinny jeans.
[00:15:28.103 --> 00:15:34.830]  These people mean business, and they're making their move right now.
[00:15:34.830 --> 00:15:39.234]  And they're shutting us down because we're ringing the alarm bells, because we're faithful Americans.
[00:15:39.234 --> 00:15:40.756]  We're faithful to the Republic.
[00:15:40.756 --> 00:15:42.477]  We're faithful to the free market.
[00:15:42.477 --> 00:15:48.163]  We're faithful to prosperity and what we know is a steady, strong course that made us the apple of the world's eye.
[00:15:48.163 --> 00:15:51.767]  We know we have been exceptional when we exercised the principles that made us great.
[00:15:52.387 --> 00:15:54.348]  We know we are the light on the hill to the world.
[00:15:54.348 --> 00:15:57.209]  And we know the enemies are trying to pull that down.
[00:15:57.209 --> 00:15:57.709]  Stay with us.
[00:15:57.709 --> 00:16:00.290]  We are the Infowar.
[00:16:00.290 --> 00:16:02.030]  Let's talk tough.
[00:16:02.030 --> 00:16:03.431]  Let's talk comfort.
[00:16:03.431 --> 00:16:05.832]  Let's talk about down-home value.
[00:16:05.832 --> 00:16:08.753]  Made in the USA, blue jeans.
[00:16:08.753 --> 00:16:10.773]  Like you wore as a kid.
[00:16:10.773 --> 00:16:11.654]  Remember?
[00:16:11.654 --> 00:16:18.396]  There's a place down in Tennessee Where they make blue diamond gusset jeans.
[00:16:20.290 --> 00:16:23.815]  They sew pride in every stitch.
[00:16:23.815 --> 00:16:27.080]  Guarantee you'll love the way they fit.
[00:16:27.080 --> 00:16:33.270]  They put a diamond gusset in the crotch where you need it most.
[00:16:33.270 --> 00:16:35.853]  Blue diamond gussets got it.
[00:16:37.174 --> 00:16:39.475]  We're good old-fashioned comfort.
[00:16:39.475 --> 00:16:41.216]  Get Diamond Gusset Jeans.
[00:16:41.216 --> 00:16:42.717]  Every stitch guaranteed.
[00:16:42.717 --> 00:16:45.959]  In our Defender Motorcycle Jeans comes Kevlar reinforced.
[00:16:45.959 --> 00:16:46.819]  See them at gusset.com.
[00:16:46.819 --> 00:16:47.960]  That's gusset.com.
[00:16:47.960 --> 00:16:48.520]  Or call 888-848-7738.
[00:16:48.520 --> 00:16:48.760]  That's 888-848-7738.
[00:16:48.760 --> 00:16:49.700]  Diamond Gusset Jeans got it.
[00:16:49.700 --> 00:16:50.061]  Others don't.
[00:16:59.045 --> 00:17:00.927]  Healthcare reform is confusing.
[00:17:00.927 --> 00:17:09.533]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:17:09.533 --> 00:17:13.236]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:17:13.236 --> 00:17:15.198]  Liberty HealthShare is not insurance.
[00:17:15.198 --> 00:17:21.243]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[00:17:21.243 --> 00:17:22.744]  Neighbor helping neighbor.
[00:17:22.744 --> 00:17:25.306]  Learn more now by going to libertyoncall.org.
[00:17:25.306 --> 00:17:27.187]  That's libertyoncall.org.
[00:17:28.502 --> 00:17:29.402]  It's a no-brainer.
[00:17:29.402 --> 00:17:31.803]  A Big Berkey water filter is the one you need, period.
[00:17:31.803 --> 00:17:39.924]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[00:17:39.924 --> 00:17:41.864]  And does it all at only two cents per gallon.
[00:17:41.864 --> 00:17:45.565]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[00:17:45.565 --> 00:17:50.306]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[00:17:50.306 --> 00:17:54.746]  Call or click 1-877-99-BERKEY or BigBerkeyWaterFilters.com.
[00:17:54.746 --> 00:17:55.386]  That's 1-877-99-BERKEY.
[00:18:00.140 --> 00:18:03.743]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.743 --> 00:18:05.525]  Introducing Pollen Block.
[00:18:05.525 --> 00:18:16.794]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.555 --> 00:18:26.622]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.622 --> 00:18:32.707]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:32.707 --> 00:18:37.811]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.811 --> 00:18:40.053]  Pollen Block is natural and effective.
[00:18:40.413 --> 00:18:42.153]  It is not an antihistamine.
[00:18:42.153 --> 00:18:52.136]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.136 --> 00:18:54.777]  Go outside and enjoy the air you breathe.
[00:18:54.777 --> 00:18:59.478]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:04.983 --> 00:19:07.344]  The Real Red Pill Plus, ladies and gentlemen.
[00:19:07.344 --> 00:19:10.766]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:19:10.766 --> 00:19:17.789]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:19:17.789 --> 00:19:22.651]  The Real Red Pill Plus is an all-new version of the powerhouse Reglanone product.
[00:19:22.651 --> 00:19:30.335]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:19:30.775 --> 00:19:37.219]  A powerful craglinone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:19:37.219 --> 00:19:47.705]  Now, with an extra proprietary energy blend inside, including green tea extract, yerba mate, leaf extract, and more, you can get that extra pick-me-up, all supporting your mind and body in a healthy way.
[00:19:47.705 --> 00:19:52.308]  It's got all the great stuff that Real Red Pill has, but it's also got the boost in it.
[00:19:52.308 --> 00:19:56.150]  Get the Real Red Pill Plus at infowarrestore.com.
[00:20:02.768 --> 00:20:05.410]  You're listening to The Alex Jones Show!
[00:20:48.126 --> 00:20:50.306]  Welcome back.
[00:20:50.306 --> 00:20:59.648]  You are watching the most censored, most attacked, most under-sieged, most demonized broadcast in the Western Hemisphere.
[00:20:59.648 --> 00:21:05.690]  Much of the ish is already behind an iron curtain of the Chinese Great Firewall.
[00:21:05.690 --> 00:21:17.612]  Even Politico, we can put that article up on screen, came out and said, welcome to the age of worldwide digital censorship online, with China and the EU directing it.
[00:21:19.031 --> 00:21:38.259]  And Congress sits there sucking their thumb, saying, we're not going to regulate these private companies, meaning they leave a vacuum, and those companies are now under EU and CHICOM control, and are officially moving to China, and censoring everything here, and spying on everywhere you go and what you do.
[00:21:38.259 --> 00:21:42.361]  Google is more of a threat to our freedoms than the NSA could ever imagine.
[00:21:42.361 --> 00:21:44.321]  Apple has the worst slave factories.
[00:21:44.321 --> 00:21:46.042]  Apple pays the least taxes.
[00:21:46.042 --> 00:21:47.803]  Apple is a venomous, hateful group.
[00:21:49.551 --> 00:21:58.258]  But they camouflage themselves with gay pride parades and Black Lives Matter fundraisers.
[00:21:58.258 --> 00:22:07.165]  Absolutely wicked beyond imagination, but not a word from Tim Cook about China executing gays.
[00:22:07.165 --> 00:22:10.248]  But now they've come out of the closet, the America haters.
[00:22:11.442 --> 00:22:24.688]  If you go to the universities, or you've been brought up in the last 30, 40, 50 years in this country, most schools, most government institutions teach America-hating, Christian-hating, capitalism-hating.
[00:22:24.688 --> 00:22:28.030]  They give you a false history.
[00:22:28.030 --> 00:22:33.392]  You don't learn about the Trojan War, you don't learn about ancient China, or you don't learn about the Revolutionary War.
[00:22:33.392 --> 00:22:35.333]  You learn about America being racist.
[00:22:35.333 --> 00:22:37.074]  You learn about America being sexist.
[00:22:38.490 --> 00:22:44.895]  But it's been a big wake-up call when Governor Cuomo, who told Christians and conservatives and gun owners, get out of the state.
[00:22:44.895 --> 00:22:46.277]  People said, you're joking, two years ago.
[00:22:46.277 --> 00:22:50.981]  He goes, no, get the H out, he said.
[00:22:50.981 --> 00:22:51.401]  Remember that?
[00:22:53.720 --> 00:22:57.923]  And then, CNN and others came out to his defense, even though he backed off of it.
[00:22:57.923 --> 00:23:04.106]  He's speaking to fellow Democrats about, America's never been great, America's bad, America's mean to women.
[00:23:04.106 --> 00:23:09.190]  You need to have chips on your shoulders, and then come under my pimp's control.
[00:23:09.190 --> 00:23:10.350]  I'll pimp you out good.
[00:23:10.350 --> 00:23:15.954]  So that kind of blew up in his face, so he said, oh, I didn't mean it, it's out of context.
[00:23:15.954 --> 00:23:19.256]  And then, CNN and others go, no, no, no, America is bad.
[00:23:20.094 --> 00:23:24.675]  Well, that's what they're already teaching, because they want to conquer the idea of free market.
[00:23:24.675 --> 00:23:40.859]  They want to make everybody think that America isn't theirs, that they couldn't be wealthy, or successful, or free, or make their own choices, or that the potential of the American system is the most powerful potential the world's ever seen, and that we have been exceptional because of our ideals of rugged individualism.
[00:23:40.859 --> 00:23:44.880]  But they're fundamentally threatened with that.
[00:23:44.880 --> 00:23:46.520]  And as Trump said, he can't imagine
[00:23:48.308 --> 00:23:51.250]  What a worse statement is from Cuomo.
[00:23:51.250 --> 00:24:02.757]  That America's never really been that great or that it will never be that great.
[00:24:02.757 --> 00:24:05.879]  He asked the question in the tweet.
[00:24:05.879 --> 00:24:13.043]  He doesn't know which one of the statements is worse.
[00:24:13.043 --> 00:24:13.984]  So let's go ahead and
[00:24:16.141 --> 00:24:18.423]  We're not going to make America great again.
[00:24:18.423 --> 00:24:19.524]  It was never that great.
[00:24:19.524 --> 00:24:24.349]  We have not reached greatness.
[00:24:24.349 --> 00:24:24.949]  We will reach greatness.
[00:24:39.454 --> 00:24:52.568]  When every American is fully engaged, we will reach greatness when discrimination and stereotyping against women, 51% of our population, is gone.
[00:24:56.127 --> 00:25:12.313]  I think points like yours that are focusing only on the negative and not even acknowledging 700,000 new jobs for black people in this country, record low unemployment and the rest of it, it's tantamount to what Andrew Cuomo said today that upset me too, that America has never been great.
[00:25:12.313 --> 00:25:14.253]  Let's focus on what we've done well.
[00:25:16.254 --> 00:25:16.835]  You know what?
[00:25:32.150 --> 00:25:33.750]  You know what they're doing, right?
[00:25:33.750 --> 00:25:34.491]  It's called demoralization.
[00:25:34.491 --> 00:25:35.451]  What's Trump trying to do?
[00:25:35.451 --> 00:25:37.071]  Get our morale up.
[00:25:37.071 --> 00:25:39.292]  We are literally being demoralized.
[00:25:39.292 --> 00:25:41.692]  When an enemy government comes in and captures a nation,
[00:26:01.172 --> 00:26:10.976]  The first thing they do is demoralize the population and tell them the worst parts of their history and harp on it and then get collaborators to come and join and say, yeah, I hate the country.
[00:26:10.976 --> 00:26:15.978]  I'll go out and work against it and help you take it over.
[00:26:15.978 --> 00:26:24.501]  That's what they do in Red Dawn at the re-education camp that is a fictional camp, but based on what real Soviet camps would do to countries they'd taken over.
[00:26:24.501 --> 00:26:27.442]  So let's put one of Trump's many tweets about Como on screen.
[00:26:27.442 --> 00:26:30.023]  I'm going to read this and there's never been truer words spoken.
[00:26:30.023 --> 00:26:30.323]  Here it is.
[00:26:32.179 --> 00:26:49.676]  How does a politician, Cuomo, known for pushing people and businesses out of his state, not to mention having the highest taxes in the U.S., survive making the statement, we're not going to make America great again.
[00:26:49.676 --> 00:26:53.039]  It was never that great.
[00:26:54.858 --> 00:26:57.619]  Which section of the sentence is worse?
[00:26:57.619 --> 00:26:58.840]  It's really hard.
[00:26:58.840 --> 00:27:00.240]  Well, I think the worst part is this.
[00:27:00.240 --> 00:27:05.182]  You could say America wasn't great if you had a chip on your shoulder and a twisted view and didn't understand the real complexities.
[00:27:05.182 --> 00:27:06.823]  You could say, if you were ignorant...
[00:27:07.495 --> 00:27:09.236]  That America was never great.
[00:27:09.236 --> 00:27:12.198]  I don't agree with that, it's obviously stupid and doesn't know history.
[00:27:12.198 --> 00:27:34.353]  You measure America up, all the foreign historians, Japanese, French, German, Russian, Mexican, Chilean, they all said, just incredible, romantic background, the buildings, the construction, the invention, nobody could build the Panama Canal, two countries failed, we built it, then gave it to the Chi-Coms, you know, we go in, fight countries, turn them back over to them, nobody else does that.
[00:27:34.353 --> 00:27:37.155]  But you can sit there and argue, okay, we were never great, if you're ignorant.
[00:27:38.134 --> 00:27:46.456]  But to say, and will never be great, is saying, you are a piece of crap!
[00:27:46.456 --> 00:27:47.876]  You are my slave!
[00:27:47.876 --> 00:27:48.676]  I am over you!
