[00:00:01.414 --> 00:00:05.856]  The answer to 1984 is 1776.
[00:05:00.609 --> 00:05:02.930]  Fueling your body is hard work.
[00:05:02.930 --> 00:05:08.714]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.714 --> 00:05:17.139]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.139 --> 00:05:19.361]  There's no better way to power your body.
[00:05:19.881 --> 00:05:26.763]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.763 --> 00:05:37.925]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.925 --> 00:05:44.847]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:05:45.367 --> 00:05:51.532]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:05:51.532 --> 00:05:55.375]  Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.375 --> 00:05:58.558]  Try the InfoWars Life Daily Digestive Pack today!
[00:05:58.558 --> 00:06:06.505]  From the front lines of the Information War, it's Alex Jones!
[00:06:07.748 --> 00:06:11.929]  Ladies and gentlemen, thank you for joining us on this live transmission.
[00:06:11.929 --> 00:06:15.410]  It is Sunday, September 9th, 2018.
[00:06:15.410 --> 00:06:21.691]  And we're going to be here live with myself, Owen Schroer, and others as we track the U.S.
[00:06:21.691 --> 00:06:33.713]  bombardment under orders of President Donald J. Trump of Syrian forces entering the last al-Qaeda ISIS area of Aleppo.
[00:06:33.713 --> 00:06:35.954]  And Trump, earlier in the week, had pledged strikes
[00:06:37.319 --> 00:06:43.961]  against Assad forces if they went into that final area on the border with Turkey.
[00:06:43.961 --> 00:06:48.742]  Turkey is threatened to invade if those ISIS Al Qaeda forces are driven out.
[00:06:48.742 --> 00:06:57.284]  This is the last area stronghold that ISIS and Al Qaeda hold and we're going to be looking at the geopolitical ramifications of this coming up a little bit later in this transmission.
[00:06:57.284 --> 00:07:02.745]  But first here are the facts breaking at Infowars.com and Newswars.com.
[00:07:02.745 --> 00:07:03.485]  As this breaks
[00:07:04.770 --> 00:07:10.292]  There's only articles just now breaking in RT and in Reuters, both saying basically the same thing.
[00:07:10.292 --> 00:07:10.892]  Here they are.
[00:07:10.892 --> 00:07:11.232]  U.S.
[00:07:11.232 --> 00:07:16.854]  jets strike Syria town with banned white phosphorus bombs.
[00:07:16.854 --> 00:07:24.257]  Russian defense ministry giant fires raging in the area, obviously used to incinerate ground forces.
[00:07:24.257 --> 00:07:25.998]  Reuters, Russia says U.S.
[00:07:25.998 --> 00:07:28.299]  dropped phosphorus bombs over Syria's
[00:07:29.298 --> 00:07:36.922]  Dar al-Zor province and there's now reports of other bombings and attacks going on as well.
[00:07:36.922 --> 00:07:41.485]  Israel just admitted in the last month they bombed Syria more than 200 times.
[00:07:41.485 --> 00:07:45.187]  So the war is already going on, but here's the big takeaway that's important.
[00:07:48.675 --> 00:07:54.799]  Russia has said since the April 14th strikes earlier this year that did turn out to be false flags.
[00:07:54.799 --> 00:07:56.860]  The chemical attacks didn't even happen this time.
[00:07:56.860 --> 00:08:01.463]  There were two previous false flags that did happen where ISIS and al-Qaeda did launch chemical attacks.
[00:08:01.463 --> 00:08:06.566]  Even the UN later had to admit it and documented all of it.
[00:08:06.566 --> 00:08:08.647]  So just really amazing.
[00:08:08.647 --> 00:08:10.649]  We're going to cover more of that coming up in a moment.
[00:08:10.649 --> 00:08:12.370]  The actual video and actual history and actual
[00:08:13.812 --> 00:08:15.353]  Proof of that information.
[00:08:15.353 --> 00:08:37.972]  But what's incredible is, is that now, what, six, seven months later, Russia is still vowing to retaliate, as they did in public statements at the time, to try to shoot down any missiles or shoot down any aircraft that come in, and to target the launch site of the missiles or the bases where the aircraft were launched from.
[00:08:37.972 --> 00:08:39.473]  Now, there's the news of Australia.
[00:08:40.194 --> 00:08:41.556]  Put that back up on screen, please.
[00:08:41.556 --> 00:08:43.319]  Russia threatens to attack U.S.
[00:08:43.319 --> 00:08:45.382]  troops supporting Syrian rebels.
[00:08:45.382 --> 00:08:46.904]  Moscow won't bomb U.S.
[00:08:46.904 --> 00:08:50.249]  troops of Syria if they don't abandon bases occupied by rebel forces.
[00:08:50.249 --> 00:08:52.612]  But the last time they did this, dozens of Russians ended up dead.
[00:08:52.612 --> 00:08:53.113]  It was actually about 450.
[00:08:56.301 --> 00:08:56.521]  I think?
[00:09:22.068 --> 00:09:26.969]  So this is one of the areas I disagree with President Trump on very, very strongly.
[00:09:26.969 --> 00:09:29.170]  I understand the geopolitical reasons of why they're doing it.
[00:09:29.170 --> 00:09:29.970]  I'll get to that in a moment.
[00:09:29.970 --> 00:09:36.212]  I understand the geopolitical grand chessboard strategies and stratagems.
[00:09:36.212 --> 00:09:45.675]  But at the end of the day, if you're turning a sovereign country over to ISIS and Al Qaeda, and Assad didn't start the war seven years ago, and our own military said five years ago to Obama, we're not going to be Al Qaeda's
[00:09:47.734 --> 00:09:55.320]  Air Force, we're not gonna be ISIS's Air Force and Rand Paul spoke about it, Senator Paul, Senator Cruz valiantly did, both great men on that subject.
[00:09:55.320 --> 00:09:59.844]  And Trump spoke out against it when he was just a billionaire mogul.
[00:09:59.844 --> 00:10:09.192]  And then now it becomes a different direction from the President, one of the few areas that he's not continued with what his pledges were.
[00:10:09.192 --> 00:10:11.374]  Now, I understand he's the President, he knows things we don't know.
[00:10:13.375 --> 00:10:19.099]  What really got me mad back in April when this happened was it had been announced that he wasn't going to strike Syria.
[00:10:19.099 --> 00:10:23.181]  And that we thought it was a false flag, which it turned out to be.
[00:10:23.181 --> 00:10:24.842]  This time there wasn't even a chemical attack.
[00:10:24.842 --> 00:10:25.983]  They came and got kids out of school.
[00:10:25.983 --> 00:10:31.666]  They were later all interviewed and threw water on them and put green paint on them and said, you're dying.
[00:10:31.666 --> 00:10:35.989]  And later the exact kids that supposedly died were interviewed and said, no, it was all fake.
[00:10:35.989 --> 00:10:37.349]  It turned out it was.
[00:10:37.349 --> 00:10:39.491]  And then Trump began to cut the funding to the white helmets.
[00:10:40.589 --> 00:10:44.051]  Who the UN funds that are really ISIS and Al Qaeda funded by Saudi Arabia.
[00:10:44.051 --> 00:10:49.253]  So Trump was supposed to get in and stop all of this.
[00:10:49.253 --> 00:10:54.796]  And Trump was supposed to get in and make Saudi Arabia stop funding radical Islam, invading Wahhabism.
[00:10:54.796 --> 00:10:59.098]  He was supposed to get Iran to back down, which I agree Iran's a threat.
[00:10:59.098 --> 00:11:03.100]  And instead we're right back to backing Saudi Arabia again and taking over the region.
[00:11:03.100 --> 00:11:07.882]  Here's famous white helmet footage where they sent out over the satellite what actually happened.
[00:11:09.139 --> 00:11:11.500]  And then later, he just gets up and walks off.
[00:11:11.500 --> 00:11:12.660]  It's totally fake.
[00:11:12.660 --> 00:11:15.460]  There are hundreds of these videos.
[00:11:15.460 --> 00:11:18.981]  Can YouTube and others work to take them down?
[00:11:18.981 --> 00:11:27.163]  Just like CNN's been caught using actors to say Muslims were protesting the bombing, you know, of that pop concert last year of Little Girls.
[00:11:27.163 --> 00:11:33.044]  And then it turned out that it was all staged.
[00:11:34.144 --> 00:11:42.311]  So I'm not saying every event staged, but mainstream media has been caught staging dead babies in incubators that Saddam Hussein bashed the brains out of to get us in the Gulf War in 1990.
[00:11:42.311 --> 00:11:43.012]  That wasn't real.
[00:11:43.012 --> 00:11:45.874]  WMDs weren't real.
[00:11:45.874 --> 00:11:52.240]  Here's more fake footage, again, shot in Syria last year, where they actually, on the audio, in Arabic, say, action.
[00:11:52.240 --> 00:11:54.642]  In fact, let's back that up since we're into this now.
[00:11:54.642 --> 00:11:55.382]  Let's back that up.
[00:11:55.382 --> 00:11:56.083]  Let's go ahead and play this.
[00:11:58.374 --> 00:12:00.896]  They're even playing the sad music in the background.
[00:12:00.896 --> 00:12:03.477]  And then the kid's doing his thing, compulsing.
[00:12:03.477 --> 00:12:07.420]  And then the doctor winks, it's time to do it.
[00:12:07.420 --> 00:12:11.702]  Clearly he's an actor, and then he falls over, but no one else falls over from the chemical weapons.
[00:12:11.702 --> 00:12:13.704]  Not all the camera people.
[00:12:13.704 --> 00:12:20.308]  So if you're a radio listener, you need to go to Infowars.com, and you'll see the live feed of this.
[00:12:20.308 --> 00:12:21.628]  We'll also have it archived.
[00:12:21.628 --> 00:12:24.510]  This is why they want to shut off the internet, though.
[00:12:24.510 --> 00:12:25.651]  Because I'm going to show you this.
[00:12:25.651 --> 00:12:26.952]  Now the first two chemical attacks
[00:12:28.496 --> 00:12:34.525]  After Obama said there's a red line four years ago, five years ago, and if you cross it with chemical attacks, we'll invade.
[00:12:34.525 --> 00:12:35.827]  Well, Assad was already winning then.
[00:12:35.827 --> 00:12:37.449]  Why would he launch a chemical attack?
[00:12:37.449 --> 00:12:38.551]  He already agreed to give his weapons up.
[00:12:39.898 --> 00:12:45.982]  And it showed ISIS and Al Qaeda doing Allah Akbar chanting and firing the mortars into areas held by Assad.
[00:12:45.982 --> 00:12:49.324]  And then showing real dying kids saying, oh my God, look, he did this.
[00:12:49.324 --> 00:12:50.285]  We've got to invade.
[00:12:50.285 --> 00:12:52.126]  They did that twice and got caught.
[00:12:52.126 --> 00:12:54.047]  Turned out it was Saudi Arabia munitions.
[00:12:54.047 --> 00:12:57.690]  The third time in April this year, it got confirmed.
[00:12:57.690 --> 00:13:01.572]  Even British newspapers a few months after said, OK, it was staged.
[00:13:01.572 --> 00:13:05.255]  They had town halls in Syria showing all the kids you saw dying.
[00:13:06.454 --> 00:13:16.420]  Up there saying no, they came to our school, they gave us granola bars, they gave us candy, they gave us milk, they said come to the hospital, they dumped water on us, they told us flop around, they would give us more candy.
[00:13:16.420 --> 00:13:19.662]  So we'll get to those in a moment.
[00:13:19.662 --> 00:13:21.323]  But first off, here's the big issue.
[00:13:21.323 --> 00:13:25.785]  The US strikes have begun in Syria.
[00:13:25.785 --> 00:13:33.590]  Against the one area that's still held by ISIS and Al Qaeda and Saudi Arabian forces, who initiated the first invasion.
[00:13:34.600 --> 00:13:40.903]  In I-D-L-I-B, Idlib, right near the Turkish border.
[00:13:40.903 --> 00:13:43.964]  And so this is a very complex crisis for Europe.
[00:13:43.964 --> 00:13:53.888]  Turkey is threatened, the dictator has to open up all of Syria, let that humanitarian crisis flood through into Europe with the 20 million refugees, not just the 15 million that are there.
[00:13:53.888 --> 00:13:56.389]  So Trump's trying to contain that.
[00:13:56.389 --> 00:13:59.050]  So I'm not even second-guessing the president here, okay?
[00:13:59.050 --> 00:14:00.971]  Because I've really studied this and looked at it from every angle.
[00:14:01.843 --> 00:14:03.525]  I understand Iran's belligerent.
[00:14:03.525 --> 00:14:06.047]  They've got real sleeper cells in the US and Europe.
[00:14:06.047 --> 00:14:07.648]  They've been threatening our forces.
[00:14:07.648 --> 00:14:09.210]  They've got Hezbollah there.
[00:14:09.210 --> 00:14:10.691]  They mean business.
[00:14:10.691 --> 00:14:13.133]  So they are a real foreign power.
[00:14:13.133 --> 00:14:18.438]  Iran has threatened to activate these sleeper cells in just the last few months.
[00:14:18.438 --> 00:14:21.040]  We were the first to break it.
[00:14:21.040 --> 00:14:22.182]  Saudi Arabia is more of a
[00:14:23.314 --> 00:14:23.934]  We're good to go.
[00:14:46.195 --> 00:14:54.904]  And you totally turn this over to Assad, he's allied with Iran, and then now Hezbollah's gonna use this as a new offensive against all of its neighbors.
[00:14:54.904 --> 00:14:55.605]  Which is true!
[00:14:55.605 --> 00:15:02.453]  And Iran is not agreeing, like they did five years ago with the Pentagon, if we block the total takeover that Obama was planning with Saudi Arabia.
[00:15:03.971 --> 00:15:09.616]  Iran tacitly agreed to pull out once Al Qaeda and ISIS forces were pushed out of the region.
[00:15:09.616 --> 00:15:19.264]  Well, now they're basically pushed out, but the camel's nose is under the tent flap, and Trump's saying, no, we're going to fully push them out, then Assad's going to hold new elections, and then we're going to pull back.
[00:15:19.264 --> 00:15:23.327]  So the question is, who's going to blink first, Iran or the U.S.?
[00:15:23.327 --> 00:15:28.352]  But technically, Iran is not agreeing to the full agreement in Trump's view.
[00:15:29.312 --> 00:15:35.695]  But from their view, ISIS and Al Qaeda need to be fully driven from the region until they fully pull out, but the Pentagon doesn't trust them.
[00:15:35.695 --> 00:15:41.598]  So that's the Mexican standoff we're in, and I understand why the President's doing this, but it doesn't mean I don't agree with it or disagree with it.
[00:15:41.598 --> 00:15:45.240]  I'm simply saying this could trigger a new world war, as many analysts are saying.
[00:15:45.240 --> 00:15:47.761]  We're going to look at more of this coming up here in just a moment.
[00:15:59.665 --> 00:16:04.509]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:16:04.509 --> 00:16:13.417]  With changes in diet, unnatural ingredients, and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins, and minerals needed daily.
[00:16:13.417 --> 00:16:18.781]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:16:18.781 --> 00:16:27.048]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[00:16:27.148 --> 00:16:30.310]  And give your body the tools it needs to support your body.
[00:16:30.310 --> 00:16:39.216]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high-quality ingredients.
[00:16:39.216 --> 00:16:48.042]  Perfect for a hot summer day or relaxing at home, Vitamin Mineral Fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[00:16:48.042 --> 00:16:54.826]  Start supporting your body's needs in a great-tasting, natural and affordable drink mix with Vitamin Mineral Fusion today.
[00:16:54.826 --> 00:16:56.668]  Available at Infowarsstore.com.
[00:16:59.631 --> 00:17:05.939]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients.
[00:17:05.939 --> 00:17:06.980]  Ultimate Bone Broth.
[00:17:08.718 --> 00:17:15.301]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[00:17:15.301 --> 00:17:24.385]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth, one of the most popular health trends on the planet.
[00:17:24.385 --> 00:17:36.190]  Built with more than seven different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[00:17:36.790 --> 00:17:48.740]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[00:17:48.740 --> 00:17:52.483]  It's time to experience what Ultimate Bone Broth can do for you.
[00:17:52.483 --> 00:17:57.767]  Get a bottle of the all-new version of a fan favorite product today at InfoWarsStore.com.
[00:18:00.293 --> 00:18:03.897]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.897 --> 00:18:05.659]  Introducing Pollen Block.
[00:18:05.659 --> 00:18:16.932]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.712 --> 00:18:26.875]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.875 --> 00:18:37.418]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.938 --> 00:18:40.560]  Pollen Block is natural and effective.
[00:18:40.560 --> 00:18:42.281]  It is not an antihistamine.
[00:18:42.281 --> 00:18:52.288]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.288 --> 00:18:54.930]  Go outside and enjoy the air you breathe.
[00:18:54.930 --> 00:18:59.634]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:05.208 --> 00:19:07.570]  The Real Red Pill Plus, ladies and gentlemen.
[00:19:07.570 --> 00:19:11.013]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:19:11.013 --> 00:19:17.378]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:19:17.378 --> 00:19:22.882]  The Real Red Pill Plus is an all-new version of the powerhouse preglanone product.
[00:19:22.882 --> 00:19:30.568]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:19:31.028 --> 00:19:37.450]  A powerful pregnenone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:19:37.450 --> 00:19:47.813]  Now, with an extra proprietary energy blend inside, including Green Tea Extract, Aromante Leaf Extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[00:19:47.813 --> 00:19:52.555]  It's got all the great stuff that Real Red Pill has, but it's also got the boost in it.
[00:19:52.555 --> 00:19:55.816]  Get the Real Red Pill Plus at InfoWarStore.com.
[00:20:03.455 --> 00:20:10.125]  You're listening to the Alex Jones Show.
[00:20:10.125 --> 00:20:13.330]  So again, ladies and gentlemen, why am I demonized so much?
[00:20:13.330 --> 00:20:14.752]  Listen to the Alex Jones Show here.
[00:20:14.752 --> 00:20:16.114]  Owen Schroeder's coming up, with me.
[00:20:17.540 --> 00:20:21.402]  Because I actually study the geopolitical ramifications of this.
[00:20:21.402 --> 00:20:36.711]  And seven years ago, when the Arab Spring got funded by Obama, and Google, and Facebook, and Twitter, and they were overthrowing our allies that were non-radicals in Egypt and other areas, and they were killing Gaddafi who'd come out of the cold, was working with the West, who was stabilizing Africa.
[00:20:36.711 --> 00:20:39.793]  They were putting radical Wahhabis out of Saudi Arabia.
[00:20:41.152 --> 00:20:54.866]  From all over the world, out of Tajikistan, Uzbekistan, out of Turkmenistan, out of all these other areas, Chechnya, you name it, the Balkans, Albania, North Africa.
[00:20:56.198 --> 00:21:02.461]  Flooding into Egypt, flooding into Libya, flooding into Syria, flooding into Iraq to kill U.S.
[00:21:02.461 --> 00:21:04.863]  forces, to attack Israel.
[00:21:04.863 --> 00:21:16.589]  And our own Pentagon went, man, Obama's done a deal with Saudi Arabia and the Muslim Brotherhood that is Wahhabist, they're Sunni, the majority of Islam, 80%.
[00:21:18.390 --> 00:21:28.213]  This is a double cross of everything and destabilizing things and throwing our allies out and letting them blow up and burn hundreds and hundreds of churches in countries like Egypt.
[00:21:28.213 --> 00:21:29.433]  This is wrong.
[00:21:29.433 --> 00:21:32.094]  And so I came out and said it was wrong.
[00:21:32.094 --> 00:21:36.875]  All these other CIA insider whistleblowers like Tosh Plumlee went public.
[00:21:36.875 --> 00:21:39.896]  Colonel Anthony Schaeffer went public.
[00:21:39.896 --> 00:21:41.096]  Senator Paul went public.
[00:21:41.096 --> 00:21:45.498]  Senator Cruz went public and said we're not Al Qaeda's air force.
[00:21:45.498 --> 00:21:46.438]  Remember all that?
[00:21:48.428 --> 00:21:50.850]  And Obama was giving billions and billions of dollars of U.S.
[00:21:50.850 --> 00:22:00.176]  money to these groups, and Tucker Carlson was celebrating the revolution and how great it was when they blew up hundreds of churches and killed tens of thousands of Christians and others in these countries.
[00:22:00.176 --> 00:22:03.037]  It was incredibly evil.
[00:22:03.037 --> 00:22:05.959]  And so we had a magic moment five and a half, six years ago.
[00:22:05.959 --> 00:22:11.343]  The head of the Joint Chiefs, Dempsey, went to Obama and said, we will not be part of this.
[00:22:12.236 --> 00:22:13.577]  You better back off.
[00:22:13.577 --> 00:22:14.537]  We're going to have a peace.
[00:22:14.537 --> 00:22:18.678]  We're going to work with the Russians to come in and stabilize it, along with our forces.
[00:22:18.678 --> 00:22:27.162]  And we're going to kick Iran and we're going to kick the forces of Saudi Arabia out of there.
[00:22:27.162 --> 00:22:34.545]  But then, after they've all withdrawn, Assad agrees even beforehand to give up his chemicals, which he agreed to.
[00:22:34.545 --> 00:22:40.487]  And they agree to then have generally reviewed, internationally accepted,
[00:22:41.690 --> 00:22:41.930]  I think?
[00:23:00.725 --> 00:23:01.806]  It's amazing.
[00:23:01.806 --> 00:23:03.906]  They said the Russians and the Syrians could never do that.
[00:23:03.906 --> 00:23:08.628]  It's happened because the Saudi Arabian support has been cut off by the Russians, by President Trump, by the U.S.
[00:23:08.628 --> 00:23:10.269]  military, you name it.
[00:23:10.269 --> 00:23:25.035]  And John McCain, the author of Turning It Over to Saudi Arabia, all of Syria, a country that's been invaded and taken over by Saudi Arabia three times since Saudi Arabia's founding in the last hundred years, this is a war crime that McCain tried to engage in.
[00:23:25.035 --> 00:23:27.015]  He literally helped found ISIS.
[00:23:27.015 --> 00:23:28.056]  He helped bring in al-Qaeda.
[00:23:29.505 --> 00:23:45.671]  So our military had a great moral moment in all of this, and our own Senate did, and the American people did, and Infowars.com and PrisonPlanet.com were catalysts for the whistleblowers to have a place to speak, and for the U.S.
[00:23:45.671 --> 00:23:52.574]  military to hold up those signs saying, I didn't join the Navy or the Marine Corps or the Army or the Air Force to work for Al Qaeda.
[00:23:52.574 --> 00:23:58.536]  So the agreement was made with Assad, the agreement was made with Iran, and they made tacit agreement with the Pentagon.
[00:23:59.389 --> 00:24:26.567]  And the American people and Congress to bypass the Muslim Brotherhood in Saudi Arabia and Obama to cut them off because it was immoral and evil to turn that multi-religious, more open society, one of the most open societies in the Middle East over to the worst Wahhabist on the planet who don't let women drive and kill you if your wife isn't wearing a burqa over her head and stone their daughters to death, you know, if they don't say they believe in Muhammad.
[00:24:26.567 --> 00:24:27.687]  We had a good moral moment.
[00:24:27.687 --> 00:24:28.448]  It was the right thing to do.
[00:24:29.505 --> 00:24:31.648]  And sickeningly, Israel was involved.
[00:24:31.648 --> 00:24:32.969]  And I'm not an enemy of Israel.
[00:24:32.969 --> 00:24:34.011]  And Obama was involved.
[00:24:34.011 --> 00:24:42.982]  But the decision was made to turn that country, that ancient nation, one of the oldest Christian nations, originally, over to the most radical Islamists who would put them all to the sword.
