[00:00:00.886 --> 00:00:02.994]  We are drugged out!
[00:03:10.111 --> 00:03:24.480]  Because it's the quotes and the statements of the top billionaire globalist to almost a man, other than like Donald Trump or Elon Musk or a few others, who have bought into the plan
[00:03:25.660 --> 00:03:37.765]  To have this big, giant, global government and to cut off the resources and then have controlled bioweapon releases that wipe out large segments of the population?
[00:03:37.765 --> 00:03:40.287]  That's been the decided plan.
[00:03:40.287 --> 00:03:44.669]  And we've been building towards that plan for really 45 years or so.
[00:03:44.669 --> 00:03:47.910]  The globalists didn't get full control until about 45 years ago.
[00:03:47.910 --> 00:03:51.672]  And they didn't have total control, but they got steering control.
[00:03:52.657 --> 00:04:05.802]  Didn't mean there wasn't still resistance and things, headwinds, and storms they had to go through and resistance, but they were in control of the national security apparatus of the West.
[00:04:05.802 --> 00:04:08.363]  And now their final goals come into view.
[00:04:08.363 --> 00:04:17.687]  So I could cover hundreds of incredible news articles, really interesting things happening, a lot of amazing things happening, and they're all important.
[00:04:17.687 --> 00:04:19.308]  But they're all just backdrop
[00:04:20.598 --> 00:04:25.266]  And just part of the fabric of the plans.
[00:04:25.266 --> 00:04:26.788]  And see, are you really conscious?
[00:04:26.788 --> 00:04:30.594]  Are you really alive if you aren't part of a plan?
[00:04:30.594 --> 00:04:31.576]  Part of your own destiny?
[00:04:31.576 --> 00:04:33.659]  Because the globalists have decided your destiny.
[00:04:33.659 --> 00:04:34.401]  They've got a plan.
[00:04:36.345 --> 00:04:38.567]  And I'm here trying to expose that plan.
[00:04:38.567 --> 00:04:41.269]  It's how we predicted everything you've seen happen.
[00:04:41.269 --> 00:04:42.190]  Because I didn't predict it.
[00:04:42.190 --> 00:04:42.810]  They have a plan.
[00:04:42.810 --> 00:04:44.091]  I was reading their roadmap.
[00:04:44.091 --> 00:04:45.673]  I'm like, wow, they're going to do this.
[00:04:45.673 --> 00:04:46.513]  This is really horrible.
[00:04:46.513 --> 00:04:50.076]  And then as it began to all come true, people said, wow, this guy's smart.
[00:04:50.076 --> 00:04:51.858]  No, they're in control.
[00:04:51.858 --> 00:04:53.279]  I read what they were planning.
[00:04:53.279 --> 00:04:56.581]  Well, some other folks have a bigger plan.
[00:04:56.581 --> 00:04:57.842]  The Alex Jones Show.
[00:05:00.365 --> 00:05:04.328]  Living in volcano may sound more dramatic than it really is.
[00:05:04.328 --> 00:05:07.471]  The real drama can be found here in Leilani Estates.
[00:05:07.471 --> 00:05:13.895]  But a lot of us on the big island rely on rainwater and we need to be concerned about ash and acid rain.
[00:05:13.895 --> 00:05:16.658]  Volcanic ash may contain heavy metal particles.
[00:05:17.398 --> 00:05:21.223]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:21.223 --> 00:05:27.692]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:27.692 --> 00:05:32.659]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:33.396 --> 00:05:37.318]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:37.318 --> 00:05:44.521]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:44.521 --> 00:05:49.223]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:49.223 --> 00:05:55.425]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:55.425 --> 00:05:59.407]  But more importantly, a good water filtration system will purify it.
[00:06:01.186 --> 00:06:01.806]  We've got it.
[00:06:01.806 --> 00:06:08.310]  This transmission is coming to you.
[00:06:08.310 --> 00:06:12.692]  Waging war on corruption.
[00:06:12.692 --> 00:06:18.355]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:06:34.946 --> 00:06:38.427]  There's an answer to this riddle.
[00:06:38.427 --> 00:06:43.508]  I don't sit here and say, oh look, we're under attack like nobody else in the world except for Trump.
[00:06:43.508 --> 00:06:45.649]  I don't say that to, like, brag.
[00:06:45.649 --> 00:06:50.250]  How do you brag about thousands of articles a week lying about you?
[00:06:50.250 --> 00:06:53.590]  Hundreds of TV programs we know of every week lying.
[00:06:53.590 --> 00:06:58.292]  ABC, CBS, NBC, CNN, Bill Maher.
[00:06:58.292 --> 00:07:01.732]  All of them last week just lying about me.
[00:07:01.732 --> 00:07:04.393]  Four or five Comedy Central shows every week.
[00:07:06.954 --> 00:07:10.356]  They have one show four nights a week that attacks me.
[00:07:10.356 --> 00:07:11.417]  With total lies.
[00:07:11.417 --> 00:07:14.138]  Why are they doing that?
[00:07:14.138 --> 00:07:16.259]  What is it about InfoWars?
[00:07:16.259 --> 00:07:24.484]  What is it we're saying that has them so upset?
[00:07:24.484 --> 00:07:34.990]  And I'd already heard this before from people at the Pentagon, CIA, academics, people I've talked to, Louis Farrakhan,
[00:07:36.590 --> 00:07:42.092]  Sitting there having dinner with him at his house.
[00:07:42.092 --> 00:07:54.475]  And like a code word two years ago, he goes, you know, Kanye, he's come and visited us and Kim Kardashian and you know, they, they want to do something bigger.
[00:07:54.475 --> 00:07:56.136]  They, they want to change things.
[00:07:56.136 --> 00:07:58.576]  They would like a bigger plan.
[00:07:58.576 --> 00:08:00.777]  And Farrakhan's looking at me.
[00:08:00.777 --> 00:08:03.898]  And I'm sitting there, you know, after I've eaten three servings of food, tired, I'm on
[00:08:05.111 --> 00:08:09.432]  The reality TV people, I'm not really into them.
[00:08:09.432 --> 00:08:14.153]  And then I saw Kanye get up there and say, it's a bigger plan.
[00:08:14.153 --> 00:08:32.118]  And that's what it's called at the highest levels of the breakaway intelligentsia in Hollywood, in banking, in culture that are liberals, they're conservatives, they're straight, they're gay, they're old, they're young, they're black, they're white, they're Asian, they're Hispanic, they're Arab, they're whatever.
[00:08:33.578 --> 00:08:46.482]  But they don't like the big mega bank, big mega corporation, Alphabet, that's the big parent company of Google, YouTube, Tim Cook, Apple, the communist Chinese selling political dissidents organs.
[00:08:46.482 --> 00:08:52.244]  They don't like this really anti-human, post-human plan.
[00:08:52.244 --> 00:08:57.566]  And so they call it the bigger plan.
[00:08:57.566 --> 00:09:02.888]  And you know, I think I'm smart sometimes, but I told the story of going to a business meeting and a brunch yesterday,
[00:09:06.632 --> 00:09:11.655]  I'm looking for the salt over here where the ketchup and the jelly and the sugar is at.
[00:09:11.655 --> 00:09:14.437]  And my business associate goes, Alex, it's right there.
[00:09:14.437 --> 00:09:17.479]  It's right there.
[00:09:17.479 --> 00:09:19.380]  And I already knew all this.
[00:09:19.380 --> 00:09:20.821]  I already knew Trump was resisting.
[00:09:20.821 --> 00:09:24.083]  I already knew there were groups that wanted a pro-human future.
[00:09:24.083 --> 00:09:27.305]  To a point that I could predict what would be in his State of the Union.
[00:09:27.305 --> 00:09:28.746]  I could predict what his speeches would be.
[00:09:28.746 --> 00:09:29.227]  All of it.
[00:09:29.227 --> 00:09:32.929]  Because he's not getting his information from me.
[00:09:32.929 --> 00:09:34.050]  He's getting it from
[00:09:35.202 --> 00:09:58.388]  The deep study and the analysis and the pro-human patriots in the government, that when we got down to the final line of handing America over to the Chinese Communists, letting them run all the major corporations, Hollywood, giving them all the code keys to Alexa, Siri, that they said, man, this is really real.
[00:09:58.388 --> 00:10:00.209]  Then there was a decompartmentalization.
[00:10:01.744 --> 00:10:26.755]  And my broadcast, and Matt Drudge amplifying InfoWars, and other key areas, help trigger a debate and a discussion within Silicon Valley, within the Pentagon, within NASA, within the big tech giants, that is incredible.
[00:10:26.755 --> 00:10:30.417]  And of course, I wasn't the only one talking about this.
[00:10:30.417 --> 00:10:31.097]  It's just that
[00:10:33.112 --> 00:10:43.938]  I was able to get a big enough medium to break through, and then they thought, oh, this crazy sound in Texan and, you know, the stuff he does, we can twist this and discredit this whole movement.
[00:10:43.938 --> 00:10:53.623]  So the government and the corrupt elements amplified me the last few years, thinking that that would discredit the pro-human big plan movement, and instead it supercharged it.
[00:11:00.922 --> 00:11:02.402]  It really is incredible.
[00:11:02.402 --> 00:11:19.686]  When I come back from break, I'm going to give you some of the best news that I've ever seen when it comes to Humanity's Awakening that I was already thinking about naming the show on the video streams today on Facebook, Twitter, YouTube and places.
[00:11:19.686 --> 00:11:25.307]  I was already thinking of naming it this when I came in just from discussions of Paul Watson
[00:11:26.380 --> 00:11:32.164]  Discusses with my wife, discusses with my children, and what I've done the last two weeks, and what I've been saying on air.
[00:11:32.164 --> 00:11:42.430]  And then suddenly I went and filtered through a couple hundred articles they printed up, just off top news sites, and there was a theme there.
[00:11:42.430 --> 00:11:51.416]  There was a theme that I was already gonna go on air with, which again shows the 100th monkey syndrome.
[00:11:52.779 --> 00:12:03.804]  Or phenomenon where there have been real tests where you'd have a group of monkeys on one island that are research primates being taught to do complex tasks.
[00:12:03.804 --> 00:12:10.007]  And then an island seven miles away where there were no monkeys communicating or traveling back and forth.
[00:12:10.007 --> 00:12:19.871]  As soon as these monkeys learned how to do this task, suddenly the monkeys seven miles away knew how to do it.
[00:12:23.709 --> 00:12:25.636]  And that's what the NSA tries to target us.
[00:12:25.636 --> 00:12:28.104]  That's what the deep state, the bad elements of it.
[00:12:29.269 --> 00:12:42.472]  They try to target trends and awakenings and steer them and control them and manipulate them so that they can be in control of human de-evolution towards human exterminism and the rise of this new silicon life form, they believe.
[00:12:42.472 --> 00:12:53.955]  Because the dark force programming their agenda that gives them some advanced knowledge, but it's all twisted, tells them you've got to kill everybody and quote, save the earth first before we give you ascendance, but really they're the ones killing the earth.
[00:12:56.547 --> 00:13:03.753]  And remember, all these different people like Elon Musk and others warned you, beware those that worship AI gods and say the end of humanity's here.
[00:13:03.753 --> 00:13:10.178]  And then sure enough, Silicon Valley launches its priest to counter Musk and myself and says, oh, it's good.
[00:13:10.178 --> 00:13:11.799]  You could be in the elect.
[00:13:11.799 --> 00:13:13.481]  You could be a sentient.
[00:13:13.481 --> 00:13:15.863]  But you'll have to physically die before your brain's uploaded.
[00:13:15.863 --> 00:13:24.230]  Well, I'm sorry, I was already given that idea by the OSS operative and the inventor of the telecommunications satellite.
[00:13:25.766 --> 00:13:29.451]  Sir Arthur C. Clarke, a Luciferian.
[00:13:29.451 --> 00:13:34.597]  I already know about childhood sin, my friend.
[00:13:34.597 --> 00:13:36.259]  No escaping you.
[00:13:38.953 --> 00:13:40.474]  We'll be.
[00:13:40.474 --> 00:13:41.774]  Childhood's end.
[00:13:41.774 --> 00:13:43.955]  Warren Buffett, oh it's liberal, it'll save money.
[00:13:43.955 --> 00:13:46.276]  Don't worry doctors, you won't have to kill somebody.
[00:13:46.276 --> 00:13:48.397]  The AI will decide who lives and die.
[00:13:48.397 --> 00:13:50.337]  And it's name is Thomas!
[00:13:50.337 --> 00:13:52.718]  After Thomas Watson of the death camps.
[00:13:52.718 --> 00:13:54.539]  Who ran the Nazi computers.
[00:13:54.539 --> 00:13:55.819]  Total fact.
[00:13:55.819 --> 00:13:57.340]  But they think you're stupid.
[00:14:00.589 --> 00:14:06.477]  But the thing about all these old globalists is they're all very robotic, they're all very psychotic, they're all very soulless.
[00:14:06.477 --> 00:14:10.562]  So they have to mimic an ape acting like a human, but they can't.
[00:14:10.562 --> 00:14:12.465]  They're not.
[00:14:12.465 --> 00:14:17.431]  But we must transcend them in the great test or fall.
[00:14:18.171 --> 00:14:27.347]  Now, we come back to the most positive news ever, and then all the other news, and then Dr. Corsi has got intel on the Deep State planning to target Sean Hannity, and Hannity is concerned about that.
[00:14:27.347 --> 00:14:28.389]  They're already targeting Sean Hannity.
[00:14:28.389 --> 00:14:29.411]  They already raided his lawyer.
[00:14:29.411 --> 00:14:30.092]  God.
[00:14:30.092 --> 00:14:30.733]  So that's coming up.
[00:14:31.758 --> 00:14:38.122]  Zach's going to pop in and get into some stuff that he says is a window into all the other stuff that's going on.
[00:14:38.122 --> 00:14:43.806]  Please remember that if you're listening to us on local radio or local TV watching, please tell folks to tune in.
[00:14:43.806 --> 00:14:46.328]  It's that word of mouth that trumps everything they do.
[00:14:46.328 --> 00:14:47.528]  It's the real power you have.
[00:14:47.528 --> 00:14:49.450]  It's the real power we have together.
[00:14:49.450 --> 00:14:55.534]  If you're watching or listening on the internet, send people to InfoWars.com or NewsWars.com to, hey, here's the forbidden stuff.
[00:14:55.534 --> 00:14:57.775]  Here's the guy they say is the most evil man on earth.
[00:14:57.775 --> 00:14:59.016]  Hear what he's saying.
[00:14:59.016 --> 00:15:00.377]  Why are they attacking him everywhere?
[00:15:01.476 --> 00:15:02.897]  Just hear what they don't want you to hear.
[00:15:02.897 --> 00:15:05.078]  Infowars.com.
[00:15:05.078 --> 00:15:07.280]  Newswars.com.
[00:15:07.280 --> 00:15:13.243]  And yes, we have free shipping still going for a few more days at InfowarsStore.com on all of our best-selling nutraceuticals.
[00:15:13.243 --> 00:15:14.684]  X2 is amazing.
[00:15:14.684 --> 00:15:18.106]  Get it 50% off when you combo it with BioTruth Selenium.
[00:15:18.106 --> 00:15:18.867]  The two go together.
[00:15:18.867 --> 00:15:20.348]  Electrochemically, you need them together.
[00:15:20.348 --> 00:15:22.389]  So together, they're 50% off and free shipping.
[00:15:22.389 --> 00:15:24.630]  BrainForce Plus, our best-selling nootropic, is 50% off.
[00:15:26.181 --> 00:15:30.124]  That's getting a little bit low on the supplies though, so that special's gonna end in a couple days.
[00:15:30.124 --> 00:15:35.649]  The real Red Pill Plus with the Pregnenone, the minerals, all the rest of it, now that energy, that's there, free shipping.
[00:15:35.649 --> 00:15:38.011]  Silver Bullet, Alpha Powers, all of it's amazing.
[00:15:38.011 --> 00:15:43.015]  InfoWarsStore.com, InfoWarsLive.com, or AAA-253-3139.
[00:15:43.015 --> 00:15:45.617]  But whatever you do, just keep thinking about freedom.
[00:15:45.617 --> 00:15:47.799]  Keep praying to God for an awakening.
[00:15:47.799 --> 00:15:51.022]  Just keep taking action and bucking the bullies, and don't be afraid.
[00:15:52.603 --> 00:15:57.271]  The internet of the spirit will transmit the information over and through the enemy.
[00:15:57.271 --> 00:15:58.534]  They can't stop the transmission.
[00:15:59.545 --> 00:16:04.387]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:16:04.387 --> 00:16:13.851]  With changes in diet, unnatural ingredients, and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins, and minerals needed daily.
[00:16:13.851 --> 00:16:18.633]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:16:18.633 --> 00:16:26.897]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[00:16:27.017 --> 00:16:27.337]  I think so.
[00:17:03.417 --> 00:17:09.140]  Years ago, InfoWarsLife created the powerful MycoZX formula to help you combat internal yeast.
[00:17:09.140 --> 00:17:17.025]  As the years went on, and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[00:17:17.025 --> 00:17:20.167]  MycoZX Plus is the result of the search for that formula.
[00:17:20.367 --> 00:17:25.634]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[00:17:25.634 --> 00:17:28.417]  There's no better product to help your body fight back.
[00:17:28.417 --> 00:17:37.409]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[00:17:37.549 --> 00:17:49.396]  Powered by an impressive list of ingredients including grapefruit seed extract, pau d'arco bark, and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful micro balancing properties.
[00:17:49.396 --> 00:17:54.219]  Pick up a bottle of the new and improved Micro ZX Plus today at InfoWarsLife.com.
[00:17:54.219 --> 00:17:55.880]  That's InfoWarsLife.com.
[00:18:00.123 --> 00:18:08.865]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:18:08.865 --> 00:18:09.386]  That's right.
[00:18:09.386 --> 00:18:14.647]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:18:14.647 --> 00:18:21.329]  Go to Infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:18:21.329 --> 00:18:28.591]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:18:28.951 --> 00:18:29.151]  Woo!
[00:18:29.151 --> 00:18:30.192]  That's what I'm talking about.
[00:18:30.192 --> 00:18:38.937]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:18:38.937 --> 00:18:48.523]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:18:48.523 --> 00:18:51.965]  Now that's what I call the miracle of food preservation.
[00:18:51.965 --> 00:18:56.087]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:18:56.087 --> 00:18:56.928]  So what are you waiting for?
[00:18:57.148 --> 00:18:59.164]  Check it out right now at InfoWarsStore.com!
[00:19:00.151 --> 00:19:03.813]  Guaranteeing your food independence is a crucial part of prepping.
[00:19:03.813 --> 00:19:11.838]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[00:19:11.838 --> 00:19:18.522]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[00:19:18.522 --> 00:19:27.708]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[00:19:28.448 --> 00:19:35.595]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[00:19:35.595 --> 00:19:40.681]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[00:19:40.681 --> 00:19:42.643]  They even work great for camping!
[00:19:42.643 --> 00:19:49.390]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[00:19:49.390 --> 00:19:51.392]  Don't be caught surprised by an emergency.
[00:19:51.892 --> 00:20:03.402]  Make sure you're stocked up today with all the food you need for an affordable price with InfoWars Life Select storable foods.
[00:20:03.402 --> 00:20:06.005]  You're listening to the Alex Jones Show!
[00:20:36.164 --> 00:20:42.611]  From the front lines of the Information War, it's Alex Jones.
[00:20:42.611 --> 00:20:46.576]  What we are looking at, good and evil, right?
[00:20:54.079 --> 00:20:57.080]  So I've got some very good news for you, my friends.
[00:20:57.080 --> 00:21:14.826]  All over local news stations across the country, all over local papers, I'm noticing, meaning it's not centralized corporate talking points, I'm seeing news articles about Alexa spying on you for Amazon.
[00:21:14.826 --> 00:21:20.208]  I'm seeing articles about families taking the cell phones and smartphones away from their children.
[00:21:21.187 --> 00:21:27.169]  I'm seeing articles about people taking the phones away and getting their lives back.
[00:21:27.169 --> 00:21:30.290]  Paul Watson has been on vacation for 10 days in Spain.
[00:21:30.290 --> 00:21:38.553]  He comes back tomorrow and he was saying to me today that he had his phone turned off for days and he's so happy.
[00:21:38.553 --> 00:21:46.156]  I decided two weeks ago with my daughters, who when they go to a friend's house or a school field trip or whatever, I let them have their, quote, smartphone.
[00:21:47.093 --> 00:22:01.864]  But they got so obsessed with it, with the dopamine programming, the inventors of it, the people that run those systems, they admit it's meant like a slot machine to program your child, to make them depressed when they don't have it.
[00:22:01.864 --> 00:22:05.227]  Took them away for a couple of weeks, 100%.
[00:22:05.227 --> 00:22:14.074]  It's like kids from the 1950s, outside, having fun, totally nice, playing together, doing art, having a great time, playing with the dog, playing with the cat, playing with the baby.
[00:22:15.054 --> 00:22:16.674]  It's great!
[00:22:16.674 --> 00:22:19.635]  It's like they went from being okay to amazing.
[00:22:19.635 --> 00:22:21.795]  Just like that.
[00:22:21.795 --> 00:22:29.057]  And they admit, in major studies, cell phones cause lower IQs, brain damage, depression, and then if you get on the social media, it's even worse.
[00:22:29.057 --> 00:22:37.579]  So, without even looking today, I was planning to come on air and talk about this, but then I saw on Yahoo News, French news agency,
[00:22:38.908 --> 00:22:40.808]  Daily Mail and others, these articles.
[00:22:40.808 --> 00:22:46.029]  A whole bunch of them, just in my stack from what they just printed off major news.
[00:22:46.029 --> 00:22:49.530]  It's already a big phenomenon that people are leaving their smartphones behind.
[00:22:49.530 --> 00:22:50.530]  They're turning them off.
[00:22:50.530 --> 00:22:52.890]  They're spending more time with family.
[00:22:52.890 --> 00:22:58.251]  Smartphone orders are down and flat.
[00:22:58.251 --> 00:23:00.192]  It's absolutely made me happier.
[00:23:00.192 --> 00:23:06.713]  Simon Cowell reveals he hasn't touched his mobile phone in 10 months because it was making him distracted and irritated.
[00:23:07.827 --> 00:23:16.974]  Well, it actually heats up the brain cells in major studies and breaks the DNA, and just old-fashioned cell phone radiation doubles the chances of brain tumors in major studies.
[00:23:16.974 --> 00:23:18.075]  Look it up.
[00:23:18.075 --> 00:23:23.839]  5G and other microwave radiation increases it even worse.
[00:23:23.839 --> 00:23:24.139]  Show!
[00:23:24.139 --> 00:23:28.322]  How getting rid of a smartphone revolutionized my life.
[00:23:28.322 --> 00:23:34.707]  People have been talking about getting rid of these little computers that dominate and control our lives for years, but now it's the Financial Times.
[00:23:34.707 --> 00:23:36.048]  It's everywhere.
[00:23:38.223 --> 00:23:41.966]  And it's a phenomenon.
[00:23:41.966 --> 00:23:45.828]  And they know this in history, they know this in culture, that there's a tipping point.
[00:23:45.828 --> 00:23:49.531]  And once people get to that point, you can't stop it.
[00:23:49.531 --> 00:23:55.275]  No army can stop an idea whose time has come, said the French philosopher and statesman Victor Hugo.
[00:23:55.275 --> 00:23:57.276]  And I totally agree with it.
[00:23:57.276 --> 00:23:58.297]  Just like Mark Twain said.
[00:23:59.403 --> 00:24:02.744]  In the beginning, a patriot's a scarce man, hated, feared, and scorned.
[00:24:02.744 --> 00:24:08.385]  But in time, when his cause succeeds, attempt to join him, because then it costs nothing to be a patriot.
[00:24:08.385 --> 00:24:12.705]  Try to change things for my family and your family, because I am a survivalist.
[00:24:12.705 --> 00:24:13.665]  I'm a futurist.
[00:24:13.665 --> 00:24:16.026]  I'm a believer in humans.
[00:24:16.026 --> 00:24:20.467]  I believe in expansionism.
[00:24:20.467 --> 00:24:28.548]  The global sociopaths and followers and psychopaths and cowards and mercenaries look at me and they think, you're a fool.
[00:24:28.548 --> 00:24:28.768]  Really?
[00:24:30.086 --> 00:24:35.547]  I'm a fool because I want a future for humanity, not just what I can get for myself right now.
[00:24:35.547 --> 00:24:38.288]  You're mentally ill.
[00:24:38.288 --> 00:24:45.590]  The first offers to buy me off, almost 20 years ago, were a million a year.
[00:24:45.590 --> 00:24:46.350]  Three million a year.
[00:24:46.350 --> 00:24:47.370]  People say, oh, tell us who did it.
[00:24:47.370 --> 00:24:49.030]  Well, it's business opportunities.
[00:24:49.030 --> 00:24:49.671]  It's corporations.
[00:24:49.671 --> 00:24:51.471]  We're gonna troll what you say, what you do.
[00:24:51.471 --> 00:24:52.851]  We're gonna give you book deals.
[00:24:52.851 --> 00:24:55.392]  I was to be the Glenn Beck.
[00:24:55.392 --> 00:24:58.973]  And finally, they went, okay, we'll give you a $10 million contract.
[00:25:01.365 --> 00:25:06.447]  And we'll give you a book deal and a Fox News show on the weekend.
[00:25:06.447 --> 00:25:12.991]  But, and I remember when I said no, the executive said, I don't make that in five years.
[00:25:12.991 --> 00:25:16.612]  You gotta take this.
[00:25:16.612 --> 00:25:25.657]  And when I didn't take it, a couple years later, Fox was in the New York Daily News saying, Jones wants to be on Fox, but Jones doesn't get to be on Fox.
[00:25:25.657 --> 00:25:28.018]  See their sick culture?
[00:25:28.018 --> 00:25:30.039]  When they know full well I pissed on them.
[00:25:36.317 --> 00:25:43.904]  So, to all of you, with all the censorship and attacks we're under, point your finger and say, oh look, if you promote InfoWars, they block you on Twitter and Facebook.
[00:25:43.904 --> 00:25:44.845]  That's the point!
[00:25:44.845 --> 00:25:46.967]  We are the trailblazers.
[00:25:46.967 --> 00:25:47.687]  We're the tip of the spear.
[00:25:47.687 --> 00:25:50.410]  I'm not trying to win popularity contests here.
[00:25:50.410 --> 00:25:53.172]  I'm trying to change the world.
[00:25:53.172 --> 00:26:00.279]  And to get those tipping points, you've got to be unpopular at first, like the first abolitionist.
[00:26:00.279 --> 00:26:02.541]  Thomas Jefferson wanted to free the slaves, but he couldn't get the votes.
[00:26:03.462 --> 00:26:07.304]  And then by 1800, 2% of the North was abolitionists.
[00:26:07.304 --> 00:26:15.849]  But by 1867, slavery was outlawed, 65 years later.
[00:26:15.849 --> 00:26:23.254]  So see, to all the followers, I'm gonna explain to you how to be a leader, because you haven't figured it out yet.
[00:26:23.254 --> 00:26:30.938]  But I was offered $10 million to be Glenn Beck, right before 9-11 even happened.
[00:26:33.237 --> 00:26:34.378]  And I said, no.
[00:26:34.378 --> 00:26:36.759]  And then I bring in way more than that now.
