[00:00:08.707 --> 00:00:12.432]  Infowars.com is tomorrow's news.
[00:03:58.902 --> 00:04:01.323]  Yeah, how about that?
[00:04:01.343 --> 00:04:03.663]  It took 30 minutes for them to correct this mistake.
[00:04:04.463 --> 00:04:07.324]  Why didn't they... When they sent out the fake message...
[00:04:08.991 --> 00:04:12.733]  Of the ballistic missile, why didn't they immediately send out one saying false alarm?
[00:04:12.933 --> 00:04:13.433]  How about that?
[00:04:13.453 --> 00:04:13.913]  Think about that.
[00:04:13.953 --> 00:04:15.574]  That took 30 minutes.
[00:04:15.594 --> 00:04:19.316]  She said, I want to be here just in case it happens.
[00:04:19.436 --> 00:04:20.376]  It was really sad.
[00:04:20.577 --> 00:04:22.698]  A ballistic missile had been launched.
[00:04:22.738 --> 00:04:23.298]  Take cover.
[00:04:23.638 --> 00:04:25.839]  And this is not a drill.
[00:04:25.939 --> 00:04:26.739]  This is not a drill.
[00:04:26.759 --> 00:04:28.220]  A handful of minutes later, it came up.
[00:04:28.300 --> 00:04:28.960]  OK, so there you go.
[00:04:28.980 --> 00:04:29.661]  There's the scenes.
[00:04:29.701 --> 00:04:31.422]  There's some of the reports on that.
[00:04:31.502 --> 00:04:33.603]  Again, it took them 30 minutes to correct themselves.
[00:04:33.623 --> 00:04:35.804]  So today, I want to open up the phone lines to
[00:04:36.644 --> 00:04:43.189]  Hawaiians that experienced this firsthand.
[00:04:43.209 --> 00:04:44.951]  1-877-789-2539.
[00:04:44.971 --> 00:04:45.511]  1-877-789-ALEX.
[00:04:45.952 --> 00:04:48.233]  What was it like in Hawaii to experience this?
[00:04:48.253 --> 00:04:49.554]  We're going to talk more about this.
[00:04:49.695 --> 00:04:54.218]  And do you think this was a deep state attack to embarrass President Trump?
[00:04:54.258 --> 00:04:55.019]  And will it backfire?
[00:04:58.962 --> 00:05:01.524]  Matt in Ohio, you're on the air, another Matt, go ahead.
[00:05:01.564 --> 00:05:16.254]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[00:05:16.274 --> 00:05:23.819]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[00:05:23.899 --> 00:05:24.379]  Well, thank you.
[00:05:24.419 --> 00:05:29.343]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me.
[00:05:29.363 --> 00:05:31.925]  And it's a big Dayglo snake, Gadsden snake.
[00:05:32.325 --> 00:05:35.248]  And then it's got the American flag, Infowars.com on the right arm.
[00:05:35.628 --> 00:05:41.773]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[00:05:41.913 --> 00:05:44.575]  And the newest one is Trigger Warning T-shirt.
[00:05:45.075 --> 00:05:51.638]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[00:05:51.978 --> 00:05:56.520]  That is the new Shirt of the Mind, available exclusively at InfoWarsStore.com.
[00:05:59.268 --> 00:06:05.011]  This transmission is coming to you.
[00:06:05.091 --> 00:06:07.212]  Waging war on corruption.
[00:06:09.493 --> 00:06:15.136]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:24.213 --> 00:06:26.036]  So it is January 14th, 2018.
[00:06:26.096 --> 00:06:29.320]  Filling in for Alex Jones, I'm Owen Schroer.
[00:06:29.440 --> 00:06:30.562]  It is a Sunday here.
[00:06:32.717 --> 00:06:48.012]  And the big news over the weekend was a fake missile alert, an emergency alert, using the emergency alert system, goes out to people in Hawaii, saying that there is an incoming ballistic missile, this is not a drill, seek shelter immediately.
[00:06:48.032 --> 00:06:51.655]  It took them 30 minutes to correct this mistake.
[00:06:51.715 --> 00:06:54.578]  People were running around like crazy, not sure what to do.
[00:06:54.678 --> 00:06:55.519]  Can you blame them?
[00:06:57.475 --> 00:07:05.242]  And then we find out it was fake news, and they say, somebody just pushed the wrong button, but that is a blatant lie.
[00:07:06.263 --> 00:07:14.191]  If you listen to Alex Jones' fireside chat last night, on the Real Alex Jones channel on YouTube, it talks about how the deep state is
[00:07:15.529 --> 00:07:23.935]  Of course, initiating a coup against President Trump and how this was part of it, issuing this false alert in order to embarrass President Trump.
[00:07:23.975 --> 00:07:24.495]  Well, guess what?
[00:07:24.816 --> 00:07:32.101]  Now Ajit Pai has announced that he's going to launch an investigation into this with the FCC.
[00:07:32.201 --> 00:07:33.762]  So, will we get to the bottom of this?
[00:07:34.182 --> 00:07:39.046]  Was this an attack against President Trump to make him look bad?
[00:07:39.526 --> 00:07:41.267]  Is it even possible that it was a mistake?
[00:07:41.327 --> 00:07:41.468]  No.
[00:07:42.421 --> 00:07:43.522]  So what is behind this?
[00:07:44.082 --> 00:07:44.923]  We will find out.
[00:07:45.003 --> 00:07:49.065]  But if this was truly another deep state attack against President Trump, guess what?
[00:07:49.745 --> 00:07:53.328]  It's going to backfire just like the rest of them.
[00:07:53.408 --> 00:07:58.571]  So here's what I said in the first segment, and I will say it again.
[00:07:58.891 --> 00:08:04.314]  We want to open up the calls, the phone lines here today, for callers in Hawaii.
[00:08:05.115 --> 00:08:06.715]  What was it like for you on the ground?
[00:08:07.256 --> 00:08:10.778]  Do you think this was part of the deep state coup against President Trump?
[00:08:12.305 --> 00:08:14.047]  And what do you think needs to be done?
[00:08:15.308 --> 00:08:24.158]  So those are the questions I have and I really want to listen to what people thought about this from Hawaii who experienced this firsthand.
[00:08:24.218 --> 00:08:24.378]  So 1-877-789-2539.
[00:08:24.398 --> 00:08:24.598]  1-877-789-ALEX.
[00:08:24.618 --> 00:08:26.440]  Specifically, I want to hear from people in Hawaii.
[00:08:26.480 --> 00:08:27.161]  What was it like?
[00:08:35.009 --> 00:08:39.134]  Do you think it was part of a coup against President Trump to make him look bad?
[00:08:39.674 --> 00:08:42.377]  And what do you think the backlash for this will be?
[00:08:42.437 --> 00:08:44.980]  So we're going to start to aggregate your calls here.
[00:08:45.080 --> 00:08:49.565]  In the meantime, I do actually have stacks of news to get to.
[00:08:50.166 --> 00:08:55.852]  So while we get your calls ready, why don't I go ahead and get into some of this news here today.
[00:08:57.674 --> 00:09:02.737]  I'll just go right through this stack of kind of just random news that I have assorted here.
[00:09:03.257 --> 00:09:12.722]  Now, on Friday, President Trump held a press conference honoring Martin Luther King, and you had Martin Luther King Jr.'
[00:09:12.702 --> 00:09:19.085]  's family there, you had a number of other African Americans there, you had Mike Pence there, you had Katrina Pearson there.
[00:09:19.125 --> 00:09:23.448]  It was a good gathering, a lot of smiles, people were happy, very cordial.
[00:09:24.795 --> 00:09:25.955]  He honors Martin Luther King.
[00:09:25.995 --> 00:09:28.516]  He talks about the greatness of what Martin Luther King did.
[00:09:29.276 --> 00:09:34.677]  And then immediately after that, you have the liberal media saying, Trump, are you racist?
[00:09:34.737 --> 00:09:35.717]  Trump, are you racist?
[00:09:35.737 --> 00:09:39.178]  Well, what more can President Trump do to prove he's not racist?
[00:09:39.878 --> 00:09:43.499]  And so then you have April Ryan saying Trump is racist.
[00:09:43.839 --> 00:09:48.120]  And in fact, let's go ahead and just go to this clip right now, guys.
[00:09:48.480 --> 00:09:52.481]  Alveda King reacts to Trump being called a racist.
[00:09:55.255 --> 00:10:00.178]  So here's Trump in the White House on Friday after the meeting.
[00:10:01.800 --> 00:10:02.780]  Are you racist, Trump?
[00:10:04.061 --> 00:10:08.725]  Mr. President, are you a racist?
[00:10:08.745 --> 00:10:10.927]  Mr. President, Mr. President, are you racist?
[00:10:11.067 --> 00:10:12.028]  Are you a racist?
[00:10:12.128 --> 00:10:19.613]  Well, more media backlash over President Trump's comments about... Yeah, look at how racist he is bringing all of these African Americans to the White House.
[00:10:19.673 --> 00:10:20.614]  I mean, unbelievable.
[00:10:20.774 --> 00:10:23.616]  Look at the... Black unemployment is at record lows.
[00:10:23.636 --> 00:10:24.137]  What a racist.
[00:10:25.608 --> 00:10:27.871]  So now here's Alveda King.
[00:10:48.387 --> 00:10:50.328]  Well, I believe Rachel just put it best.
[00:10:50.388 --> 00:10:53.590]  And by the way, good morning, Fox and friends.
[00:10:53.651 --> 00:10:59.494]  Thank you for being on it with real news and not fake news.
[00:10:59.875 --> 00:11:00.735]  Absolutely.
[00:11:01.216 --> 00:11:09.421]  Racism is just a word that's being banded and thrown about and thrown at the president, in my opinion, unjustly.
[00:11:09.521 --> 00:11:13.023]  President Trump is not a racist.
[00:11:13.384 --> 00:11:15.285]  I've been with the president recently.
[00:11:15.305 --> 00:11:18.067]  So now the left is going to disavow the King family.
[00:11:18.147 --> 00:11:18.387]  You are.
[00:11:18.647 --> 00:11:20.870]  No, no, no.
[00:11:20.990 --> 00:11:21.371]  I'm serious.
[00:11:21.551 --> 00:11:30.121]  I bet you you can find videos of this clip on Twitter and all of the radical leftists are saying, oh my gosh, she's a race traitor.
[00:11:30.742 --> 00:11:31.542]  This is what they do.
[00:11:31.583 --> 00:11:32.404]  These people are sick.
[00:11:34.113 --> 00:11:49.102]  I'm so glad the president has done it, but what is so outrageous to call a man a racist who continues to acknowledge the significant work of Dr. Martin Luther King Jr., Reverend Dr. Martin Luther King Jr., my uncle, in a positive way?
[00:11:49.522 --> 00:11:52.724]  Yeah, he appoints Jerome Simpson, he appoints Ben Carson.
[00:11:52.764 --> 00:11:56.246]  I mean, it's unbelievable, the racism, but this is the great part about it.
[00:11:56.326 --> 00:12:00.869]  The beautiful part about this is that the liberal media is destroying itself.
[00:12:02.355 --> 00:12:03.897]  It is completely destroying itself.
[00:12:04.938 --> 00:12:08.222]  And so if there is a silver lining here, that is the silver lining.
[00:12:08.402 --> 00:12:13.608]  And speaking of destroying themselves, Jamie Demon, or Diamond, I'm not sure how you pronounce this,
[00:12:14.502 --> 00:12:15.823]  The JPMorgan Chase CEO.
[00:12:16.723 --> 00:12:20.865]  Last week or the week before, he predicted a 4% GDP growth pretty soon.
[00:12:21.025 --> 00:12:24.806]  I think if we stay on this path, we'll hit 5% by the year 2020.
[00:12:24.846 --> 00:12:27.327]  But he points out Democrats don't have a strong candidate for 2020.
[00:12:27.527 --> 00:12:30.249]  Yeah, that's why they're trying to shove Oprah down your throat.
[00:12:30.589 --> 00:12:32.269]  Boy, did that fail miserably.
[00:12:33.630 --> 00:12:35.873]  And you've got the Women's March coming up next week.
[00:12:36.434 --> 00:12:38.857]  Folks, that is going to be an absolute embarrassment for these people.
[00:12:39.097 --> 00:12:39.798]  Trust me on that.
[00:12:39.918 --> 00:12:41.981]  Cannot wait for that embarrassment.
[00:12:42.401 --> 00:12:45.685]  Flu season is shaping up as one of the worst in years, officials say.
[00:12:47.047 --> 00:12:50.812]  I wonder if that has anything to do with them shoving the flu shot down our throats.
[00:12:51.769 --> 00:12:53.109]  You know, President Trump made a comment.
[00:12:53.129 --> 00:12:54.210]  They asked, do you ever get a flu shot?
[00:12:54.230 --> 00:12:57.231]  He said, no, I don't like putting bad chemicals in my body.
[00:12:57.811 --> 00:12:58.191]  That's funny.
[00:12:58.231 --> 00:13:01.592]  President Trump has gotten the flu, but this flu season has been really bad.
[00:13:02.233 --> 00:13:04.594]  So that's that's been a big story.
[00:13:05.194 --> 00:13:08.395]  They'll probably try to use that to sell you even more flu shots.
[00:13:09.355 --> 00:13:10.656]  That nice concoction of poison.
[00:13:11.376 --> 00:13:15.918]  Elon Musk confirms he was at an alleged Silicon Valley sex party until 1 a.m.
[00:13:16.558 --> 00:13:17.838]  And that's when he left.
[00:13:18.118 --> 00:13:19.679]  Now, this is actually an interesting story.
[00:13:20.720 --> 00:13:28.951]  We had, essentially, our QAnon call into the Alex Jones Show two weeks ago and talk about how Elon Musk is a patriot.
[00:13:29.772 --> 00:13:31.073]  I've always liked Elon Musk.
[00:13:31.154 --> 00:13:32.355]  Obviously, he's an innovator.
[00:13:32.395 --> 00:13:33.076]  He's a genius.
[00:13:33.517 --> 00:13:36.921]  He might have some liberal politics, but there's nothing wrong with that, as long as you're fair.
[00:13:40.149 --> 00:13:44.230]  Now is this, was this an attempt to blackmail Elon Musk?
[00:13:44.551 --> 00:13:53.654]  Was this, was this an attempt to invite him to one of these parties and the next thing you know you wind up passed out in a room with uh, let's just say someone or something you don't want to be in a room with?
[00:13:54.414 --> 00:13:54.574]  Hmm?
[00:13:55.074 --> 00:13:57.575]  Little blackmail attempt against the patriot Elon Musk?
[00:13:58.632 --> 00:13:59.613]  Interesting story there.
[00:13:59.713 --> 00:14:02.495]  Glad Elon Musk is smarter than to fall for that.
[00:14:02.535 --> 00:14:10.841]  Speaking of being, well, not smart and falling for it, Mitt Romney has confirmed, that's what the reports are saying, he's going to run.
[00:14:10.861 --> 00:14:19.708]  Of course, Roger Stone had that report, actually I believe months ago, and so now the narrative is, will he run as a Trump friend or a Trump foe?
[00:14:19.848 --> 00:14:21.909]  Well, he's only got one option, and that's a Trump foe.
[00:14:22.270 --> 00:14:27.454]  Nobody's going to believe Mitt Romney is a friend of Trump after he betrayed him during the election cycle.
[00:14:28.522 --> 00:14:30.483]  You know, how do you explain something like this?
[00:14:31.163 --> 00:14:34.325]  Doctors warn teens against Tide Pod Challenge.
[00:14:34.365 --> 00:14:37.506]  So there's this, I guess it's like a laundry detergent?
[00:14:37.526 --> 00:14:41.588]  It's a Tide Pod, and teens are ingesting this.
[00:14:42.008 --> 00:14:43.468]  It's the Tide Pod Challenge.
[00:14:43.509 --> 00:14:44.489]  So, wow!
[00:14:45.149 --> 00:14:47.490]  Doctors are warning teens it's bad for their health.
[00:14:47.930 --> 00:14:48.391]  Oh my God!
[00:14:48.691 --> 00:14:49.311]  Shocking!
[00:14:50.852 --> 00:14:53.633]  Ingesting laundry detergent is bad for my health?
[00:14:54.856 --> 00:14:56.737]  Oh, thank God the doctor told me that.
[00:14:56.777 --> 00:14:58.198]  I had no idea.
[00:14:58.779 --> 00:15:00.560]  What is wrong with these teenagers?
[00:15:02.942 --> 00:15:03.702]  Good night.
[00:15:03.902 --> 00:15:09.566]  Yeah, Tide is reminding us with an... Rob Gronkowski, not to eat your Tide Pod.
[00:15:09.806 --> 00:15:10.447]  Thanks, Tide.
[00:15:11.407 --> 00:15:14.870]  I think you already put that as a disclaimer on the side of your...
[00:15:16.220 --> 00:15:18.503]  Your container there, but I guess teenagers can't read.
[00:15:18.864 --> 00:15:21.808]  Thanks, liberal indoctrinating public education.
[00:15:21.908 --> 00:15:23.009]  Thanks, public education.
[00:15:23.330 --> 00:15:25.833]  Teenagers are so smart now, they try to ingest Tide.
[00:15:27.305 --> 00:15:30.787]  SNL opens hits Morning Joe, Ban and Fire and Fury Book.
[00:15:31.107 --> 00:15:33.008]  Now this is actually great.
[00:15:33.688 --> 00:15:44.573]  If SNL actually made fun of the crazies in media like the Keith Olbermanns, the Mika Brzezinski's, the Joe Scarborough's, the Don Lemons, that would actually be funny and raise their ratings.
[00:15:45.053 --> 00:15:46.934]  Let's see if they get the message and do it.
[00:15:46.994 --> 00:15:48.394]  That's something that would actually be funny.
[00:15:48.474 --> 00:15:49.315]  Crazy Mika?
[00:15:49.695 --> 00:15:51.316]  I mean, come on, that's good entertainment.
[00:15:51.356 --> 00:15:53.577]  Alright, your call is from Hawaii on the other side.
[00:15:53.617 --> 00:15:54.197]  Don't go anywhere.
[00:15:56.869 --> 00:16:05.714]  I set out with top researchers, top scientists, top developers, with the biggest organic producer in the country, to come out with Immune Wall.
[00:16:06.934 --> 00:16:08.735]  Because it's backed by clinical studies.
[00:16:08.795 --> 00:16:15.899]  The compounds that are in it are the latest, modern, patented technology that we can even make claims on.
[00:16:16.319 --> 00:16:22.102]  But then it's got all the ancient herbs that line up their compounds with it, dead.
[00:16:22.782 --> 00:16:24.123]  Our ancestors knew, worked.
[00:16:24.724 --> 00:16:34.271]  So let me just briefly tell you that historic story and invite you to get your immune wall for your husband, your wife, your children, your neighbors today, all those you love.
[00:16:34.511 --> 00:16:43.778]  Because you can support your own body, build a greater wall, a greater defense against viruses, bacteria, outside microbes, boost your immune system, and boost
[00:16:44.859 --> 00:16:48.982]  Humanity's immune system to build basic societies of liberty and freedom.
[00:16:49.302 --> 00:16:54.585]  Because I'm not into the magic or the occult, but a lot of the stuff that hermetic people talked about a thousand years ago is true.
[00:16:54.985 --> 00:16:56.006]  As above, so below.
[00:16:56.586 --> 00:16:59.408]  What you see happening on the mass scale is also happening on the...
[00:17:00.308 --> 00:17:01.389]  Most tiniest scales.
[00:17:01.909 --> 00:17:03.010]  And that's what this comes down to.
[00:17:03.410 --> 00:17:04.891]  America is building its wall.
[00:17:05.311 --> 00:17:05.771]  Will it work?
[00:17:05.911 --> 00:17:06.391]  We don't know.
[00:17:06.892 --> 00:17:07.492]  Is Trump right?
[00:17:08.172 --> 00:17:10.334]  Well, he's trying to at least follow through on his promise.
[00:17:10.794 --> 00:17:16.777]  But we can build a wall in our own life that's been proven to work, and without this wall, we would all die.
[00:17:17.137 --> 00:17:23.041]  We set out to bring you the very best immune capsule for yourself and your family, and I know it's going to be a bestseller.
[00:17:23.781 --> 00:17:30.064]  I want you all to try it, so you reorder it, you fund the InfoWar, our world's a better place, you're healthier, you name it.
[00:17:30.824 --> 00:17:45.831]  So that's why, out of the gates, the normal MSRP is $39.95, but we're doing 25% off, $29.95, despite the fact that other similar formulas are $50, $60, $70, and aren't as organic and aren't as fresh.
[00:17:46.491 --> 00:17:48.852]  This is a 360 non-zero-sum game win.
[00:17:49.512 --> 00:17:52.753]  You will get Immune Wall and other great products at InfoWarsLife.com.
[00:17:53.093 --> 00:17:56.775]  Discounted, delivered to your door, and you're helping fund our operation.
[00:17:56.935 --> 00:18:05.938]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:18:06.018 --> 00:18:14.081]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:14.421 --> 00:18:19.103]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:19.283 --> 00:18:26.026]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:18:26.086 --> 00:18:33.170]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:18:33.250 --> 00:18:40.113]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:18:40.273 --> 00:18:44.616]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:18:44.757 --> 00:18:48.019]  Available in original or with our immune support infusion blend.
[00:18:48.159 --> 00:18:54.284]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:18:54.444 --> 00:18:56.125]  Available at InfoWarsLife.com.
[00:18:56.766 --> 00:19:01.249]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[00:19:01.389 --> 00:19:08.815]  Info Wars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[00:19:09.055 --> 00:19:13.078]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:19:13.298 --> 00:19:17.961]  Pair this groundbreaking toothpaste with a super blue fluoride free mouthwash and super
[00:19:17.961 --> 00:19:25.805]  To overcharge your oral health, our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[00:19:26.025 --> 00:19:36.150]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[00:19:36.390 --> 00:19:42.833]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[00:19:43.194 --> 00:19:45.775]  Xylitol, nano-silver, and iodine.
[00:19:46.075 --> 00:19:49.378]  Notice the difference with our super blue fluoride free products.
[00:19:49.658 --> 00:19:54.602]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[00:19:54.662 --> 00:19:56.663]  That's InfoWarsStore.com.
[00:20:00.126 --> 00:20:02.768]  You're listening to the Alex Jones Show!
[00:20:18.875 --> 00:20:25.157]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:29.998 --> 00:20:32.219]  Ole' Troyer filling in for Alex Jones today.
[00:20:32.239 --> 00:20:36.581]  He will be back tomorrow hosting the Alex Jones Show.
[00:20:37.221 --> 00:20:37.761]  As usual, 11 a.m.
[00:20:37.861 --> 00:20:38.101]  to 3 p.m.
[00:20:38.161 --> 00:20:38.361]  Central.
[00:20:42.561 --> 00:20:45.505]  And at this time, we are going to go to the phone line.
[00:20:45.565 --> 00:20:55.958]  Specifically, we're going to hear from people in Hawaii that experienced the false alarm missile notification telling you it's not a drill and to shelter in place immediately.
[00:20:56.018 --> 00:21:00.784]  So we want to go right to your calls to figure out what your experience was like.
[00:21:01.565 --> 00:21:07.808]  Do you think this was an effort by the deep state as part of the coup to embarrass President Trump?
[00:21:07.848 --> 00:21:13.612]  And what do you think the backlash for this will be should we find out that's the case?
[00:21:13.652 --> 00:21:15.853]  Let's start with Mary in Hawaii.
[00:21:15.873 --> 00:21:16.313]  Go ahead.
[00:21:17.153 --> 00:21:17.754]  Owen Scheuer.
[00:21:18.594 --> 00:21:18.854]  Yes.
[00:21:19.415 --> 00:21:19.955]  Can you hear me?
[00:21:20.635 --> 00:21:21.016]  Go ahead.
[00:21:21.656 --> 00:21:25.938]  Hi Owen, my name is Mary and I'm calling you from Hilo, Hawaii.
[00:21:27.019 --> 00:21:30.941]  And this is a really horrible thing that happened yesterday.
[00:21:32.158 --> 00:21:43.365]  I believe that the governor is guilty of Title 50 violation 841 and 842 of the United States Code.
[00:21:44.746 --> 00:21:46.147]  And what's the name of that governor again?
[00:21:47.288 --> 00:21:48.028]  David E. Gay.
[00:21:49.429 --> 00:21:50.650]  Governor David E. Gay?
[00:21:51.350 --> 00:21:51.670]  Yeah.
[00:21:53.251 --> 00:21:55.913]  Yeah, this was a planned attack.
[00:21:55.973 --> 00:21:57.454]  The governor's been having a lot of
[00:21:58.183 --> 00:22:01.704]  Problems this last week because I've been on them.
[00:22:02.944 --> 00:22:09.265]  Somebody served some false foreclosure papers against me in 17-1-0366.
[00:22:09.585 --> 00:22:14.866]  So I've been in contact with the U.S.
[00:22:14.926 --> 00:22:18.887]  Attorney and this was their reaction to it.
[00:22:20.807 --> 00:22:24.968]  And Chelsea Gabbard, you know, she jumped on there and she blamed Trump.
[00:22:25.899 --> 00:22:27.340]  And they were playing chicken.
[00:22:27.560 --> 00:22:35.783]  You see, they were trying to start World War III so that Governor Ige could stand up again and be the governor.
[00:22:36.523 --> 00:22:38.124]  Right now, his hands are tied.
[00:22:39.275 --> 00:22:53.642]  You know, it's interesting you mention Tulsi Gabbard, because a couple weeks ago, I've always felt that Tulsi Gabbard was a fair-minded person, obviously differing ideologies and politics from me, a conservative.
[00:22:53.682 --> 00:22:55.964]  She's obviously a liberal, but I always felt that she was fair.
[00:22:56.784 --> 00:23:07.351]  But I felt that last week after seeing some of her tweets and then seeing some of the things she was saying on TV and then she goes on Tucker Carlson and she's got this new hairdo that she has like literally like a new witch hairdo.
[00:23:07.411 --> 00:23:08.251]  It's really strange.
[00:23:08.652 --> 00:23:16.437]  I've never thought Tulsi Gabbard was the enemy but now I'm actually looking at Tulsi Gabbard and I get a weird strange feeling that she's gone to the dark side.
