[00:00:12.310 --> 00:00:18.576]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:05:13.853 --> 00:05:16.636]  Volcanic ash may contain heavy metal particles.
[00:05:17.376 --> 00:05:21.179]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:21.179 --> 00:05:27.663]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:27.663 --> 00:05:32.626]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:33.379 --> 00:05:37.302]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:37.302 --> 00:05:44.506]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:44.506 --> 00:05:49.209]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:49.209 --> 00:05:55.413]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:55.413 --> 00:05:59.376]  But more importantly, a good water filtration system will purify it.
[00:06:04.409 --> 00:06:11.012]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.012 --> 00:06:22.538]  If you are receiving this transmission, you are the resistance.
[00:06:22.538 --> 00:06:31.042]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:34.947 --> 00:06:38.248]  Ladies and gentlemen, the Democrats have nothing to lose.
[00:06:38.248 --> 00:06:49.253]  They have been caught committing massive crimes in the fake Russiagate investigation, illegally spying on candidate Trump, nominee Trump, President-elect Trump, and now President Trump.
[00:06:49.253 --> 00:06:51.554]  Obama and Hillary gave the orders.
[00:06:51.554 --> 00:06:52.074]  We now have the
[00:06:53.081 --> 00:06:54.241]  Documents that have been released.
[00:06:54.241 --> 00:06:57.822]  Comey has admitted that he lied to Congress hundreds of times.
[00:06:57.822 --> 00:07:03.303]  When he said he knew nothing about the Steele dossier, that he didn't know who ordered the creation of the special counsel.
[00:07:03.303 --> 00:07:04.203]  Any of this stuff.
[00:07:04.203 --> 00:07:12.765]  And it's just a cabal of Democrats who want to overturn the election of Trump and who want to stop the American recovery from taking place.
[00:07:12.765 --> 00:07:14.905]  What an incredible time to be alive.
[00:07:14.905 --> 00:07:21.527]  Right now, up on Infowars.com and Newswars.com, the most banned and demonized pro-America sites in the world,
[00:07:22.327 --> 00:07:32.339]  Congressman Schiff taking over the Intelligence Committee of the House on January 2nd says Trump may face quote real prospect of jail time.
[00:07:32.339 --> 00:07:37.625]  And ABC NBC hype President Trump's inevitable impeachment by the Dems.
[00:07:38.914 --> 00:07:49.540]  They said during the campaign they weren't going to do that because Americans wouldn't have supposedly voted for Democrats in the midterms, but oh, now they are because they're desperate to cover up their own crimes.
[00:07:49.540 --> 00:07:54.103]  Meanwhile, Trump has accurately tweeted that Comey lied to Congress.
[00:07:54.103 --> 00:08:00.927]  Comey told Congress, here's the big one of the 245 occasions that he lied that Trump's talking about.
[00:08:00.927 --> 00:08:02.748]  The big one that's ironclad.
[00:08:03.837 --> 00:08:09.702]  Is Comey saying, I've never leaked, and I don't know anyone that's leaked to the media.
[00:08:09.702 --> 00:08:19.771]  And it turned out he was the chief leaker, but he went, well, I gave the information to give it to the press, to a professor.
[00:08:19.771 --> 00:08:20.972]  Who would then give it to him?
[00:08:20.972 --> 00:08:28.499]  Oh, so I'm a drug dealer and I give them the suitcase full of cocaine.
[00:08:29.471 --> 00:08:35.476]  And then my dealer goes and sells to somebody I'm not involved in the cocaine dealing.
[00:08:35.476 --> 00:08:38.439]  Balderdash, BS, baloney.
[00:08:38.439 --> 00:08:45.124]  And it goes on and on and on and to watch the corporate press try to cover it up, it is just mind-blowing.
[00:08:45.124 --> 00:08:51.810]  And two years in, 33 million dollars in, and just this fake investigation, and they have
[00:08:53.032 --> 00:08:58.315]  People pleading guilty for not paying taxes for taxi cab services that Trump has nothing to do with in New York.
[00:08:58.315 --> 00:09:01.817]  Michael Cohen who did a 180 once they busted him and other crap like that.
[00:09:01.817 --> 00:09:06.520]  I mean, this is incredibly ridiculous.
[00:09:06.520 --> 00:09:07.421]  But they mean business!
[00:09:07.421 --> 00:09:10.883]  So we're going to be looking at all of that coming up.
[00:09:10.883 --> 00:09:19.108]  We're going to be looking at the EU and the fact that it's unelected, it's authoritarian, it's run by the grandson of the richest Nazi family.
[00:09:19.108 --> 00:09:20.729]  His father was also a Nazi, Junker.
[00:09:21.983 --> 00:09:28.386]  A man who can't even dress himself on record, was never elected but just keeps running the EU decade after decade.
[00:09:28.386 --> 00:09:31.067]  They've had, as you know, three weeks of riots in Paris.
[00:09:31.067 --> 00:09:40.711]  We've had our own Dan Lyman and other reporters on the ground there filing incredible live video reports to Infowars.com and Newswars.com in the last few days.
[00:09:40.711 --> 00:09:42.252]  And they are nationalists.
[00:09:42.252 --> 00:09:42.992]  They are patriots.
[00:09:42.992 --> 00:09:44.373]  They're sick of the Islamic invasion.
[00:09:45.179 --> 00:09:47.019]  They're sick of the welfare state.
[00:09:47.019 --> 00:09:51.880]  They're sick of the working families and farmers being killed by these massive carbon taxes.
[00:09:51.880 --> 00:09:57.422]  They are patriots, just like they are in Brazil, electing nationalists.
[00:09:57.422 --> 00:10:02.903]  And in Spain is now electing in every election right-wingers, populist nationalists.
[00:10:02.903 --> 00:10:06.264]  Germany, Merkel's party's lost power completely.
[00:10:06.264 --> 00:10:09.704]  She's still there for another year as a lame duck.
[00:10:09.704 --> 00:10:11.025]  I don't have to name all the places.
[00:10:11.025 --> 00:10:11.925]  Brexit, it goes on and on.
[00:10:14.178 --> 00:10:15.695]  The point is, is that...
[00:10:17.062 --> 00:10:19.423]  They're losing the hearts and minds.
[00:10:19.423 --> 00:10:21.843]  So they're rushing in with global censorship.
[00:10:21.843 --> 00:10:23.484]  They're rushing in with global control.
[00:10:23.484 --> 00:10:29.666]  They're rushing in with trying to arrest people for their speech, who they see as leaders of nationalist movements.
[00:10:29.666 --> 00:10:34.447]  But it's not going to work in the end, ladies and gentlemen, for one simple reason.
[00:10:34.447 --> 00:10:36.148]  People like being sovereign.
[00:10:36.148 --> 00:10:38.008]  They like their own culture.
[00:10:38.008 --> 00:10:40.029]  They know when they're being conquered and taken over.
[00:10:40.029 --> 00:10:43.910]  And the socialists are joining the nationalists and the right-wingers.
[00:10:44.830 --> 00:10:51.737]  All over the world, from Brazil to Italy, from the UK to you name it.
[00:10:51.737 --> 00:10:55.581]  The blue collar union workers voting for Trump two years ago.
[00:10:55.581 --> 00:11:07.953]  Reagan Democrats, because they know the bringing in tens of millions of illegals to be put on welfare and be client states of the EU and the US and other global controlled countries.
[00:11:09.215 --> 00:11:14.457]  It's meant to bankrupt the national pension system, which the Globalist admits to the plan.
[00:11:14.457 --> 00:11:20.980]  And so that's why in every European country where they ever vote, people understand that Soros and others have bragged.
[00:11:20.980 --> 00:11:22.121]  He's part of the EU.
[00:11:22.121 --> 00:11:30.545]  They want to bankrupt and scuttle the EU, and then out of that big global crisis, get full control and get trillions in bailouts.
[00:11:30.545 --> 00:11:35.827]  But then, you lose your pension fund in the process.
[00:11:38.837 --> 00:11:44.402]  Now, that is coming up as well with Dr. Nick Begich.
[00:11:44.402 --> 00:11:59.736]  Of course, his father is a famous congressman, his brother a senator, but he's best known for his best-selling books on MKUltra, mind control, weather modification, all these different secret programs that more and more are out in the open.
[00:11:59.736 --> 00:12:04.740]  He'll be in studio with us coming up in the second hour.
[00:12:06.817 --> 00:12:29.514]  But when we come back, I've already given a little bit of a prelude to it, I've already given you a bit of a foreshadowing, but we are going to get specifically, specifically into their plan to remove Trump and the fact that the Democrats have announced their plan, top Democrats have announced their plan to try to arrest and imprison the President.
[00:12:30.370 --> 00:12:32.531]  How sensational is that?
[00:12:32.531 --> 00:12:33.652]  And you say, but that's crazy.
[00:12:33.652 --> 00:12:35.293]  They have committed all these public crimes.
[00:12:35.293 --> 00:12:41.196]  That's precisely why they're making their move.
[00:12:41.196 --> 00:12:43.938]  It's because they know people don't listen to them anymore.
[00:12:43.938 --> 00:12:46.920]  They know they're going to lose if we have real elections in this country.
[00:12:46.920 --> 00:12:54.364]  So they want to end real elections and freedom in this nation completely and show the country up.
[00:12:54.364 --> 00:12:54.684]  Think about it.
[00:12:59.355 --> 00:13:26.076]  Everyone understands that if you want to conquer a nation, you demoralize it, you make it hate itself, you demonize its flag, you demonize its character, you divide people, and then you target any men who try to organize other men and other women and other people in a defense of our common heritage and our common infrastructure and what we've paid for and built.
[00:13:26.076 --> 00:13:28.278]  Just common sense instinct to stand up for yourself.
[00:13:28.953 --> 00:13:38.799]  And that's why InfoWars is so attacked and so lied about and constantly harassed by these deep state forces.
[00:13:38.799 --> 00:13:39.620]  You see it all over the news.
[00:13:41.260 --> 00:13:55.130]  Because they know, we're pointing out, they're the globalists, they're the outsiders, they're the ruthless megabanks that literally pay no taxes and have diplomatic immunity and who see us and our open society as an easy plum to take down from within.
[00:13:55.130 --> 00:14:08.419]  And so I'm here raising the alarm saying this is a fraud and this is wrong and they know that the military and the police and the president and other corporate leaders who are not evil,
[00:14:09.454 --> 00:14:30.403]  Realize this is really true and we're creating a dichotomy between the globalists that hate the nation and want to conquer us and those of us that love what's good about America and believe in our exceptionalism and believe in a future for us together and that believe that we have a right and a duty to stand up against this.
[00:14:30.403 --> 00:14:34.585]  And so that's why they hate us so much because they can't even allow us to exist
[00:14:35.984 --> 00:14:40.426]  Because they don't want to have a debate about what they've really set up, remember?
[00:14:40.426 --> 00:14:57.873]  Just four years ago, every newspaper in the country had articles every few weeks saying, there's no new world order, the Federal Reserve isn't private, nobody wants a world government, there's no carbon taxes, there's no plan to break up families, there's no plans, and then, boom, there's no Agenda 21,
[00:14:58.933 --> 00:15:03.296]  There's no plan to take your guns and now they're all over the news saying we're going to ban the Second Amendment.
[00:15:03.296 --> 00:15:05.057]  We're going to break your families up.
[00:15:05.057 --> 00:15:09.180]  We're going to force medical procedures, tainted vaccines on you, GMO.
[00:15:09.180 --> 00:15:10.701]  Yeah, we're weather modification.
[00:15:10.701 --> 00:15:11.621]  We don't care what you think.
[00:15:11.621 --> 00:15:13.183]  Yeah, the EU's unelected.
[00:15:13.183 --> 00:15:16.465]  We're going to arrest anybody that criticizes what we're doing.
[00:15:16.465 --> 00:15:19.387]  Yeah, we're going to ban all conservative and Christian speech.
[00:15:19.387 --> 00:15:21.388]  Yeah, the men in the military is obsolete.
[00:15:21.388 --> 00:15:22.829]  It's all going to be robots.
[00:15:22.829 --> 00:15:27.252]  Yeah, we're going to have a Mark of the Beast, microchips for the general public.
[00:15:28.519 --> 00:15:29.900]  Yeah, we've got a world government.
[00:15:29.900 --> 00:15:31.622]  Yeah, we've got a global social score.
[00:15:31.622 --> 00:15:37.166]  Yeah, the communist Chinese have put spy chips on all the devices and are working with deep staters to take down America.
[00:15:37.166 --> 00:15:39.408]  Everything we told you is true!
[00:15:39.408 --> 00:15:45.333]  So our credibility's gone up so high, we must be removed off the air.
[00:15:45.333 --> 00:15:46.714]  Because we are winners.
[00:15:46.714 --> 00:15:47.614]  We've been proven right.
[00:15:47.614 --> 00:15:49.236]  We've been proven steadfast.
[00:15:49.236 --> 00:15:50.537]  We've been proven loyal.
[00:15:50.537 --> 00:15:52.078]  We've been proven strong.
[00:15:52.078 --> 00:15:54.000]  We've been proven digilent.
[00:15:54.000 --> 00:15:56.021]  So we have to be memory hold.
[00:15:56.021 --> 00:15:56.882]  They can't compete with us.
[00:15:59.460 --> 00:16:03.702]  Please, whatever you do, realize that we're all getting punched drunk to the censorship.
[00:16:03.702 --> 00:16:07.183]  And you saw 18 Twitter accounts, they say, affiliated with InfoWars.
[00:16:07.183 --> 00:16:08.944]  Yeah, some of them are like little side accounts.
[00:16:08.944 --> 00:16:12.206]  They know we had like InfoWars store that just showed our products.
[00:16:12.206 --> 00:16:18.989]  But they just banned them all yesterday in punishment that I be at a Trump rally and be mobbed by all these folks that loved us.
[00:16:18.989 --> 00:16:24.071]  Your excitement about America, your excitement about this broadcast is what brought the country and the world back from the brick.
[00:16:24.511 --> 00:16:30.536]  The globalists now want to target where the resistance came from, so that we're not pesky in the future.
[00:16:30.536 --> 00:16:33.518]  I want to be troublesome and pesky.
[00:16:33.518 --> 00:16:34.599]  I want to keep going.
[00:16:34.599 --> 00:16:38.442]  I want to make them do the ultimate, not just destroy us financially.
[00:16:38.442 --> 00:16:40.444]  I want to push all the way.
[00:16:40.444 --> 00:16:41.745]  I've committed to do that.
[00:16:41.745 --> 00:16:42.826]  I've prayed for that.
[00:16:42.826 --> 00:16:44.467]  And I've been told that's going to happen.
[00:16:44.467 --> 00:16:47.409]  But you've got to back us, and I promise you this.
[00:16:47.409 --> 00:16:48.730]  I will never falter.
[00:16:48.730 --> 00:16:51.052]  I will never waver at the spiritual level.
[00:16:51.052 --> 00:16:51.673]  I physically will.
[00:16:52.293 --> 00:16:59.158]  I give you my commitment if you financially support us, InfoWars4.com, to give you my absolute total commitment.
[00:16:59.158 --> 00:17:07.044]  Introducing the final and biggest sale of 2018, InfoWars is proud to introduce the 12 Days of Christmas.
[00:17:07.044 --> 00:17:16.272]  And it's bigger than any previous sale before as we attempt to clear out all of our amazing inventory to escape the dreaded inventory tax at the end of the year.
[00:17:16.272 --> 00:17:21.896]  So get great products and help fund the InfoWars right now with the 12 Days of Christmas that is special.
[00:17:22.136 --> 00:17:22.356]  I don't
[00:17:39.998 --> 00:17:48.864]  24 hour only special at Infowarstore.com is the powerful silver bullet, always a great deal, is now 60% off.
[00:17:48.864 --> 00:17:51.466]  And knockout sleep support, now 60% off.
[00:17:51.466 --> 00:17:56.369]  I want to thank you all again for making the entire Infowar possible.
[00:17:56.369 --> 00:17:58.311]  Again, you are the resistance.
[00:18:02.760 --> 00:18:12.162]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.162 --> 00:18:23.584]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.584 --> 00:18:29.265]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.565 --> 00:18:41.014]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.014 --> 00:18:49.200]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.200 --> 00:18:51.702]  It's time to take care of your morning routine.
[00:18:51.702 --> 00:18:57.406]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:19:00.228 --> 00:19:08.734]  It's really hard to have the energy at the end of the day to still get to the gym, or to go for a run, or go to the park, or heck, even take your dog for a walk.
[00:19:08.734 --> 00:19:10.216]  Believe me, I know.
[00:19:10.216 --> 00:19:14.919]  I spend hours in front of a screen and then hours in front of bright lights every day.
[00:19:14.919 --> 00:19:19.923]  But thanks to super male vitality at Infowarstore.com, I still have that energy.
[00:19:20.143 --> 00:19:40.292]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[00:19:40.792 --> 00:19:44.793]  So go to InfoWarsTore.com and get Supermail Vitality before it's gone.
[00:19:44.793 --> 00:19:48.474]  This is actually our last run of Supermail Vitality.
[00:19:48.474 --> 00:19:53.456]  So I want you to experience Supermail Vitality before it's too late.
[00:19:53.456 --> 00:19:56.197]  Unleash the Supermail in you.
[00:19:56.197 --> 00:20:03.879]  Supermail Vitality from InfoWarsTore.com.
[00:20:03.879 --> 00:20:06.480]  You're listening to the Alex Jones Show.
[00:20:33.723 --> 00:20:44.272]  The arrogant globalists that were destroying nation states and sucking our country's industry and technology dry and transferring it to China were arrogant.
[00:20:44.272 --> 00:20:46.374]  They thought, oh, we'll defeat nationalists.
[00:20:46.374 --> 00:20:48.695]  People never organize against our world government.
[00:20:48.695 --> 00:20:54.540]  But in the last four or five years, they've gone from being arrogant to being very, very scared.
[00:20:54.540 --> 00:20:59.805]  And now they've overplayed their hand and are massively censoring and trying to arrest and indict
[00:21:01.289 --> 00:21:15.713]  Not just presidents, not just prime ministers, not just corporate leaders, but anybody that simply stands up for justice and freedom and especially anybody that stands up for the American way.
[00:21:15.713 --> 00:21:18.054]  Now let's get into it right now because here's the drumbeat.
[00:21:19.480 --> 00:21:23.182]  For two years they've been telling President Trump, oh, you're not the target, sir.
[00:21:23.182 --> 00:21:26.543]  We know you're not involved in Russiagate.
[00:21:26.543 --> 00:21:28.124]  In fact, there's nothing there.
[00:21:28.124 --> 00:21:34.586]  But they're just doing their investigation, even though it's all a bunch of people brought in by Hillary and Obama.
[00:21:34.586 --> 00:21:37.567]  When you were President-elect, they were panicking.
[00:21:37.567 --> 00:21:38.188]  What were they going to do?
[00:21:40.083 --> 00:21:43.445]  They've been in bed with Russia, they've been in bed with China, they've sold the nation out.
[00:21:43.445 --> 00:21:47.348]  They're the folks that say having a nation's bad, that America existing.
[00:21:47.348 --> 00:21:49.529]  America was never great, it'll never be great.
[00:21:49.529 --> 00:21:52.151]  Governor Cuomo in New York.
[00:21:52.151 --> 00:21:54.213]  We're going to plunge the economy to stop Trump.
[00:21:54.213 --> 00:21:55.193]  Bill Maher.
[00:21:55.193 --> 00:21:57.035]  Federal Reserve's doing it.
[00:21:57.035 --> 00:22:01.237]  So these are the anti-American team in their own statements.
[00:22:01.237 --> 00:22:04.660]  Oh, but now Trump turning the economy around in so much in two years.
[00:22:06.309 --> 00:22:08.471]  Oh, he's the agent, right.
[00:22:08.471 --> 00:22:13.555]  And all of you that voted for him, you're all Russians too.
[00:22:13.555 --> 00:22:19.660]  Because the Democrats are desperate to cover up the fact that they're the people that have been selling America out.
[00:22:19.660 --> 00:22:27.246]  So now, look at these headlines just today that are up on NewsWars.com and InfoWars.com and then go to DrudgeReport.com.
[00:22:27.246 --> 00:22:28.647]  Let's go to DrudgeReport.com, the main
[00:22:30.492 --> 00:22:32.534]  Main front page of it.
[00:22:32.534 --> 00:22:35.176]  And just look at the crazed look of Schiff.
[00:22:35.176 --> 00:22:43.104]  You know, Schiff and Alexander Cortez, you're not just waiting for a weird moment to grab a screenshot that isn't honest.
[00:22:43.104 --> 00:22:49.109]  They always have that power-mad lunatic look in their eyes.
[00:22:49.109 --> 00:22:50.250]  I mean, this guy is incredible.
[00:22:50.250 --> 00:22:54.074]  He helped cover up Uranium One, all the crimes of Hillary, her foundation.
[00:22:55.267 --> 00:23:03.472]  And here he is on national television today, we're going to play the clip in a moment, saying Trump's going to have jail time.
[00:23:03.472 --> 00:23:07.134]  Trump may face real prospect of jail time.
[00:23:07.134 --> 00:23:12.618]  And they're getting you ready because they always told the president, oh sir, we know you didn't do anything.
[00:23:12.618 --> 00:23:14.879]  So he wouldn't move on them early on.
[00:23:14.879 --> 00:23:17.341]  They wanted to build the fraud up.
[00:23:17.341 --> 00:23:21.824]  And Trump thought he'd turn the economy on and secure the border and increase the military pay.
[00:23:24.093 --> 00:23:38.205]  Try to get rid of the unfunded mandate of Obamacare and give you two good Supreme Court justices compared to what Hillary would do and thousands of new factories coming back and the best unemployment numbers in a hundred years.
[00:23:38.205 --> 00:23:42.269]  Let's see.
[00:23:42.269 --> 00:23:44.991]  That was his blind spot that he was innocent.
[00:23:44.991 --> 00:23:47.293]  So he thought this is a joke.
[00:23:47.293 --> 00:23:47.994]  They don't care.
[00:23:47.994 --> 00:23:49.956]  They're gonna go knowing you have hundreds of lawyers.
[00:23:51.636 --> 00:23:55.498]  over properties like the people you raided in Chicago, they're raiding a bunch of Trump lawyers.
[00:23:55.498 --> 00:24:09.427]  And then they'll find one of the Trump lawyers not paying taxes, and they tell him, you go say President Trump told you to do this and that, or you're gonna serve decades in prison.
[00:24:09.427 --> 00:24:18.193]  And people like Michael Cohen will totally change their tune from Trump knew nothing about big deal, private monies being transferred to an old girlfriend,
[00:24:19.445 --> 00:24:21.366]  Wasn't even campaign funds.
[00:24:21.366 --> 00:24:22.646]  The money was reimbursed.
[00:24:22.646 --> 00:24:25.708]  The Clintons have billions in illegal stuff in their foundation.
[00:24:25.708 --> 00:24:27.169]  But that's okay.
[00:24:27.169 --> 00:24:29.110]  Just, oh, Trump.
[00:24:29.110 --> 00:24:31.030]  Years ago.
[00:24:31.030 --> 00:24:34.812]  Money to a woman from a decade plus ago.
[00:24:34.812 --> 00:24:38.654]  And now we want to indict the President, even though it's a separation of powers.
[00:24:38.654 --> 00:24:44.797]  These grand juries won't be able to do anything, but the media knows the public's ignorant about the separation of powers.
[00:24:44.797 --> 00:24:46.998]  And so they're going to act like the President's going to jail.
[00:24:50.097 --> 00:25:01.726]  To build the momentum that everything he does is illegitimate so they can then breathe a sigh of relief and get him out of office and not go to prison for all the real crimes they've committed.
[00:25:03.194 --> 00:25:04.535]  That's why they're so dangerous.
[00:25:04.535 --> 00:25:05.656]  Andrew McCarthy.
[00:25:05.656 --> 00:25:08.618]  Why Trump is likely to be indicted by Manhattan U.S.
[00:25:08.618 --> 00:25:09.238]  Attorney.
[00:25:09.238 --> 00:25:10.339]  We'll play that next segment.
[00:25:10.339 --> 00:25:11.640]  That's Fox News.
[00:25:11.640 --> 00:25:19.505]  The major takeaway from the 40-page sentencing memorandum filed by federal prosecutors Friday for Michael Cohen, President Trump's former personal attorney, is this.
[00:25:19.505 --> 00:25:31.714]  The president is very likely to be indicted on a charge of violating federal campaign finance laws from a stool pigeon who's pled guilty to laundering $15 million separate from the president and a taxicab company.
[00:25:33.544 --> 00:25:39.546]  Who's totally changed his testimony and who's been indicted for lying to the FBI and lying to Congress.
[00:25:39.546 --> 00:25:43.687]  So a known liar, they claim, now changed the story.
[00:25:43.687 --> 00:25:44.988]  But remember, we're going to play this coming up too.
[00:25:44.988 --> 00:25:51.110]  Remember when the news like, we have the tape of Trump paying off Stormy Daniels and some other woman.
[00:25:51.110 --> 00:25:53.751]  We have the tape.
[00:25:53.751 --> 00:25:55.151]  And Cohen walks in and says, hey, how's it going?
[00:25:55.151 --> 00:25:56.151]  And Trump's like, okay, great.
[00:25:56.151 --> 00:25:57.212]  What's going on?
[00:25:57.212 --> 00:25:58.532]  Well, you know, we're going to need to make a payment.
[00:25:58.532 --> 00:25:59.052]  No, no, no.
[00:25:59.052 --> 00:25:59.873]  What are you talking about?
[00:25:59.873 --> 00:26:00.173]  What?
