[00:00:10.893 --> 00:00:12.954]  ["Ramblin' Man"]
[00:03:46.260 --> 00:03:47.380]  You invade a country.
[00:03:47.961 --> 00:03:49.441]  Well, they're invading the First Amendment.
[00:03:49.801 --> 00:03:51.402]  They're setting the precedent to shut us down.
[00:03:51.922 --> 00:04:11.928]  They had congressional hearings about internet censorship, and the Republicans were so incredibly stupid... The Republicans were so incredibly ignorant, and had circles being run around them, that
[00:04:14.141 --> 00:04:15.822]  They just green-lighted to go all the way.
[00:04:15.862 --> 00:04:17.364]  There's the Alex Jones Channel.
[00:04:18.104 --> 00:04:19.466]  Remember just a few weeks ago?
[00:04:19.486 --> 00:04:21.347]  Oh look, related channels.
[00:04:22.368 --> 00:04:39.683]  When you go to see what was left of Alex Jones, and when everybody goes to see that I was erased, put it back up, when billions of people go trying to find it, they'll see BuzzFeed, and The Tonight Show, and SNL, all the leftist fake news channels who pose as comedy.
[00:04:41.041 --> 00:04:42.442]  So there you go, isn't that funny?
[00:04:42.802 --> 00:04:44.023]  What happened to Alex Jones?
[00:04:44.263 --> 00:04:46.905]  Oh, nobody wants to listen to Buzzfeed or watch them.
[00:04:47.205 --> 00:04:47.906]  Oh, here they are.
[00:04:48.346 --> 00:04:49.647]  This is related channels.
[00:04:49.887 --> 00:04:51.848]  This is who took the scalp of the First Amendment.
[00:04:52.509 --> 00:05:01.875]  So at my grave marker on Chinatube, as YouTube and Google marry China, on my gravestone it says, Buzzfeed.
[00:05:07.056 --> 00:05:08.017]  Hey, have you heard?
[00:05:08.498 --> 00:05:10.560]  InfoWars is getting banned across the internet.
[00:05:10.660 --> 00:05:11.942]  Facebook, YouTube, Twitter.
[00:05:12.142 --> 00:05:13.163]  They're all censoring us.
[00:05:13.524 --> 00:05:19.431]  I need you to share these links to the videos and the websites and the stories at InfoWars.com immediately.
[00:05:19.731 --> 00:05:22.755]  And remember, if you can hear my voice, you are the revolution.
[00:05:33.706 --> 00:05:40.131]  We are kept afloat only by your loyal patronage, and that's why we need you to go to the site now.
[00:05:40.211 --> 00:05:47.016]  If you're not in the market for one of our greatest nutraceuticals, please consider a contribution.
[00:05:47.036 --> 00:06:02.567]  $25, $50, $100, $250, or even $500 would be a godsend to our important work here to beat back the globalists and to destroy their campaign of censorship in which they want to strangle our First Amendment rights.
[00:06:19.674 --> 00:06:21.278]  The Alex Jones Show.
[00:06:21.779 --> 00:06:23.202]  Because there is a war on.
[00:06:25.285 --> 00:06:27.746]  Apple and Google are now officially merged with China.
[00:06:27.766 --> 00:06:30.826]  They have announced anyone criticizing the Communist Chinese will be banned.
[00:06:31.306 --> 00:06:39.168]  They've announced they will comply, Apple specifically, with Chinese government rules and say in Reuters that the Chinese government now runs Apple worldwide.
[00:06:39.508 --> 00:06:41.669]  The code keys to all Apple devices in U.S.
[00:06:41.709 --> 00:06:44.409]  government military facilities, everything is compromised.
[00:06:44.589 --> 00:06:46.990]  Office of Personnel Management, everything transferred.
[00:06:47.050 --> 00:06:50.651]  Panama Canal, all deep water ports, 98% of rare earth minerals.
[00:06:52.722 --> 00:06:58.467]  Over 300,000 anchor baby women a year coming in, having babies from China, having it all paid for.
[00:06:58.747 --> 00:07:02.410]  Most of them wives of members of Chinese intelligence.
[00:07:02.810 --> 00:07:03.791]  All 50 U.S.
[00:07:04.231 --> 00:07:06.533]  public universities are basically run by the Chi-Coms.
[00:07:06.573 --> 00:07:07.554]  That's even mainstream news.
[00:07:07.894 --> 00:07:09.315]  We are wide open.
[00:07:09.875 --> 00:07:12.357]  Meanwhile, Jones, 86th on H6.
[00:07:12.718 --> 00:07:14.279]  Facebook strips InfoWars.
[00:07:15.865 --> 00:07:16.686]  Totally bans it.
[00:07:16.746 --> 00:07:17.947]  Crackdown intensifies.
[00:07:18.067 --> 00:07:19.368]  YouTube just banned us.
[00:07:19.708 --> 00:07:22.110]  Tech giant, completely, says we've been terminated.
[00:07:22.490 --> 00:07:22.951]  Terminated.
[00:07:22.991 --> 00:07:25.793]  Yeah, that's right, Skynet knew they'd already been beaten.
[00:07:25.833 --> 00:07:28.896]  All they could do was send back a Terminator from the past to defeat us.
[00:07:29.196 --> 00:07:30.557]  Ha ha ha, good luck.
[00:07:30.977 --> 00:07:31.978]  They already got you.
[00:07:32.218 --> 00:07:34.640]  Tech giants working together to block conservatives.
[00:07:35.041 --> 00:07:37.763]  Mass racketeering.
[00:07:38.744 --> 00:07:40.245]  Pure antitrust.
[00:07:40.665 --> 00:07:42.547]  One billion percent.
[00:07:43.797 --> 00:07:44.778]  They even admit they're working.
[00:07:44.958 --> 00:07:52.523]  Once user info, data from banks, so they can then financially start banning you from financial purchases.
[00:07:52.964 --> 00:07:55.265]  Next, pressure to ban climate deniers.
[00:07:55.826 --> 00:07:58.368]  Also, they're intensifying calls to ban Fox News.
[00:07:58.808 --> 00:08:02.631]  Social media, reducing children to mentality of three-year-olds.
[00:08:03.632 --> 00:08:06.674]  Anonymous vows to take down, expose QAnon.
[00:08:09.096 --> 00:08:12.739]  So it just goes on from there, ladies and gentlemen.
[00:08:12.779 --> 00:08:14.100]  Shooting on San Francisco Bridge.
[00:08:14.160 --> 00:08:14.600]  Chaos.
[00:08:15.000 --> 00:08:17.242]  Army soldiers deployed to fight California wildfires.
[00:08:21.425 --> 00:08:23.807]  What did we tell you about last week and this Sunday?
[00:08:25.968 --> 00:08:29.651]  Dianne Feinstein had Chinese spy as her driver for 20 years.
[00:08:31.072 --> 00:08:31.972]  Details surface.
[00:08:32.012 --> 00:08:32.873]  Trump slams.
[00:08:33.513 --> 00:08:34.374]  Trump must come out.
[00:08:34.454 --> 00:08:36.676]  It's the CHICOM takeover.
[00:08:38.288 --> 00:08:53.039]  The Chinese dictator went to Davos a year and a half ago and was so arrogant that he said that we will defeat Trump and this American populist movement will help Europe defeat yours with money and more.
[00:08:53.640 --> 00:08:54.480]  This is total treason.
[00:08:55.021 --> 00:09:00.565]  Juncker is the great heir to the most powerful, richest Nazi industrial family.
[00:09:01.638 --> 00:09:02.098]  Look it up.
[00:09:02.318 --> 00:09:05.320]  Juncker is the dictator of the unelected EU.
[00:09:05.400 --> 00:09:09.702]  He owns Luxembourg because his grandfather took it by force in World War II.
[00:09:12.623 --> 00:09:16.325]  He vowed to crush Trump and to crush the American worker.
[00:09:16.805 --> 00:09:22.748]  Lloyd Blankfein at Goldman Sachs made jokes at Trump last year and said, you'll never bring back America's economy!
[00:09:22.928 --> 00:09:23.628]  Never!
[00:09:27.030 --> 00:09:29.471]  All I can say is we've been shadow banned for a year and a half.
[00:09:30.535 --> 00:09:35.237]  And quite frankly, it's only made us stronger when it comes to the core base of InfoWars listeners taking action.
[00:09:35.738 --> 00:09:38.539]  But it has not allowed us to reach a lot of new people.
[00:09:38.819 --> 00:09:48.504]  That's why you have to understand now that InfoWars is the most censored program in the world because we know the truth and the Chai-coms want us off the air.
[00:09:49.619 --> 00:09:55.863]  The EU is fining Google, Facebook, Twitter for quote, hate speech, whatever they define it, totally anti-American.
[00:09:56.223 --> 00:09:58.065]  Secret groups report you, they never tell you what it is.
[00:09:58.465 --> 00:10:00.927]  So they're putting multi-billion dollar fines on these companies from one end.
[00:10:01.840 --> 00:10:04.662]  And then China's saying, you want to merge with us and have tax exemption.
[00:10:04.922 --> 00:10:07.383]  From the other end, you've got to take the patriots off.
[00:10:07.984 --> 00:10:09.505]  You've got to take any Taiwanese off.
[00:10:09.785 --> 00:10:16.549]  And you've got to block the Epoch Times, who are the Falun Gong folks, sick of their families being grabbed and their organs being harvested.
[00:10:16.909 --> 00:10:18.270]  And so now, they're being banned.
[00:10:18.390 --> 00:10:19.151]  They're being censored.
[00:10:19.171 --> 00:10:19.811]  They're being blocked.
[00:10:20.632 --> 00:10:30.838]  And notice, it was only people like Drudge Report and Epoch Times, people that had been persecuted, or people that were independent, or people who'd met with Supreme Court justices and things, that told them of this plan two and a half years ago.
[00:10:32.822 --> 00:10:38.026]  So, our tech giants working together, Censor Conservatives, Apple, and Facebook ban info wars on same day.
[00:10:38.146 --> 00:10:39.768]  YouTube now on the same day.
[00:10:40.088 --> 00:10:41.629]  Spotify on the same day.
[00:10:42.890 --> 00:10:49.575]  And I have the New York Times here on Friday, only because this lady's been basically following me around, my family around in Austin.
[00:10:50.076 --> 00:10:50.937]  I wanted to do a test.
[00:10:50.997 --> 00:10:51.957]  I told her I was going to record her.
[00:10:52.258 --> 00:10:54.019]  She says, what are you going to do when you get banned?
[00:10:54.039 --> 00:10:56.001]  We're going to air this recording very soon.
[00:10:56.886 --> 00:10:59.027]  She goes, what are you going to do when you get banned off all these platforms?
[00:10:59.107 --> 00:11:02.808]  And she knew it was coming, because the New York Times isn't a news agency.
[00:11:02.868 --> 00:11:05.548]  It's a globalist intelligence operation.
[00:11:06.249 --> 00:11:12.650]  On record, we have the Project Veritas videos where they're meeting with YouTube trying to get certain videos banned, interfacing with them.
[00:11:14.471 --> 00:11:25.614]  So CNN particularly, the New York Times, the Washington Post, then MSNBC, they liaison with Soros and others to then develop the plan to first demonize me,
[00:11:26.550 --> 00:11:27.590]  Build a straw man, I'm not.
[00:11:28.171 --> 00:11:31.252]  Trick conservatives, nationalists, others into turning against me.
[00:11:31.592 --> 00:11:36.514]  So when they get picked off one by one, everyone else is trained, well I'm not getting grabbed right now.
[00:11:36.955 --> 00:11:38.615]  You're not a sardine, folks.
[00:11:39.536 --> 00:11:40.216]  You're not a minnow.
[00:11:40.876 --> 00:11:43.938]  They all get in little schools together hoping they're not the one that gets grabbed next.
[00:11:44.278 --> 00:11:45.278]  Because they're not singled out.
[00:11:47.099 --> 00:11:49.780]  Men and humans with courage is about being singled out.
[00:11:50.341 --> 00:11:51.981]  I knew what the enemy was doing.
[00:11:52.061 --> 00:11:52.962]  I knew their battle plan.
[00:11:53.322 --> 00:11:55.223]  I made the conscious decision to take action.
[00:11:56.417 --> 00:12:07.716]  I made the conscious decision to draw their fire and expose who they were believing in you and believing when you see the Alamo assaulted and myself probably destroyed.
[00:12:09.409 --> 00:12:14.034]  I've been telling you this for years, that that is remember InfoWars, remember free speech.
[00:12:14.414 --> 00:12:15.275]  But see, they're smart.
[00:12:15.315 --> 00:12:17.578]  They're like, we gotta first demonize it so he's not a martyr.
[00:12:17.858 --> 00:12:18.899]  People see right through that.
[00:12:19.620 --> 00:12:25.786]  CNN that pushes the WMDs, the New York Times that wrote the lies on purpose that killed millions and sent our troops to be blown into bits.
[00:12:26.046 --> 00:12:29.330]  These are evil, wicked sociopaths that know you have a soul.
[00:12:30.745 --> 00:12:34.487]  So they try to punch your buttons all day, but don't forget the financial support.
[00:12:34.547 --> 00:12:38.690]  That is the strongest thing you can do to make sure we continue on and are strong in the fight.
[00:12:39.250 --> 00:12:40.250]  Feed your gladiator.
[00:12:41.071 --> 00:12:41.751]  Give us water.
[00:12:41.811 --> 00:12:43.032]  Give us your prayers as well.
[00:12:43.372 --> 00:12:44.213]  We will fight hard.
[00:12:45.233 --> 00:12:50.416]  Give us your love, your support, like sunshine on our faces, on our backs, on our chest, to make us strong.
[00:12:51.397 --> 00:12:52.017]  You are the water.
[00:12:52.057 --> 00:12:52.778]  You are the sunshine.
[00:12:52.798 --> 00:12:53.538]  You are the fresh air.
[00:12:53.578 --> 00:12:54.239]  You are the food.
[00:12:54.839 --> 00:12:57.400]  You are the blood of this operation.
[00:12:57.440 --> 00:12:58.201]  You are the veins.
[00:12:59.952 --> 00:13:05.194]  Infowarsstore.com Infowarslife.com
[00:13:06.661 --> 00:13:28.005]  Go there today and send them a strong message that you stand for the First Amendment, you stand for us, and get air filtration, water filtration, optics, preparedness gear, high-quality storable food, supplements that are so good for you and your family, the super high-quality fish oil, the super high-quality krill oil, the super high-quality honor roll formula for children and their minds and their brains and everything.
[00:13:28.245 --> 00:13:30.726]  Go to InfoWareStore and sign up for AutoShop 10% off.
[00:13:33.516 --> 00:13:35.177]  Sign up for AutoShip.
[00:13:35.918 --> 00:13:36.238]  10% off.
[00:13:37.359 --> 00:13:40.741]  So that you get it each month and don't have to forget to support us.
[00:13:40.981 --> 00:13:41.762]  Cancel any time.
[00:13:42.322 --> 00:13:43.263]  We got Patriot Points.
[00:13:43.283 --> 00:13:44.364]  5% of every purchase.
[00:13:44.644 --> 00:13:45.104]  Bills up.
[00:13:45.925 --> 00:13:46.885]  We've got free shipping.
[00:13:46.905 --> 00:13:47.726]  Only worth $50 or more.
[00:13:47.766 --> 00:13:48.667]  We make it so easy.
[00:13:48.707 --> 00:13:52.790]  But go there and know that we knew this was coming.
[00:13:52.810 --> 00:13:54.911]  That's why we really expanded on TV and radio.
[00:13:55.752 --> 00:13:57.973]  And that's why we encourage the local stations to advertise.
[00:13:58.073 --> 00:13:59.695]  We have the verboten Alex Jones.
[00:14:00.135 --> 00:14:02.777]  We have the verboten
[00:14:03.920 --> 00:14:04.640]  Trump support.
[00:14:04.700 --> 00:14:06.962]  They tried to break all the Republicans, persecute people.
[00:14:07.002 --> 00:14:08.983]  Trump broke through their bullying and lies.
[00:14:09.303 --> 00:14:10.243]  We stood beside him.
[00:14:10.684 --> 00:14:15.886]  Now they want to take out the press from under him, and they want to use me as the distorted poster child to do it.
[00:14:15.966 --> 00:14:16.767]  They think you're weak.
[00:14:18.548 --> 00:14:19.768]  Thank those local stations.
[00:14:20.028 --> 00:14:20.829]  Give them a donation.
[00:14:20.849 --> 00:14:21.629]  Become a sponsor.
[00:14:21.669 --> 00:14:22.450]  Support the sponsor.
[00:14:22.470 --> 00:14:24.631]  But whatever you do, tell folks, hey,
[00:14:26.411 --> 00:14:32.336]  Pick up the Alex Jones Show or listen to the streams off InfoWars.com or subscribe to the free podcast.
[00:14:32.737 --> 00:14:35.299]  See, Apple and all these other places, they didn't stream our stuff.
[00:14:35.319 --> 00:14:36.060]  They didn't pay for it.
[00:14:36.460 --> 00:14:39.183]  They just put up a thing where, oh, we carry all the podcasts.
[00:14:39.903 --> 00:14:44.087]  And then everybody then goes to their device so they can put ads on it and make money off your work.
[00:14:44.628 --> 00:14:48.992]  So yeah, we were in the top 10 news podcasts and everywhere else they'd already pretty much delisted us.
[00:14:51.263 --> 00:15:03.616]  And so all people have to do is go to InfoWars.com forward slash show and click the subscribe to the podcast and whatever system you're using, even if they've blocked us from the phone book directory, we're still there, no matter what system.
[00:15:03.876 --> 00:15:09.643]  And then if you can't get to us in the future, you just save it to another third party system or to your own device.
[00:15:11.491 --> 00:15:13.972]  They're just counting on you to be lazy and to be stupid.
[00:15:13.992 --> 00:15:22.995]  But we do have to change that eye candy up at the top from Facebook's gotta go, always should have, but it served us well as we're fighting for the Republic.
[00:15:23.655 --> 00:15:25.156]  And you've got to go through those other things.
[00:15:25.416 --> 00:15:26.156]  YouTube's gone.
[00:15:27.216 --> 00:15:28.377]  It's all gone.
[00:15:28.417 --> 00:15:31.178]  They blew it all away in the middle of the night.
[00:15:32.176 --> 00:15:36.559]  When we come back, I'm going to play an intro of why they're so bad, and why they want to shut us down.
[00:15:36.579 --> 00:15:50.909]  Because America's coming back, populism's exploding, the world's coming back, and the sick, anti-American, anti-God, cult of modern leftism, whose whole universe is hunting and controlling patriots and conservatives and families, and ripping apart language and dumbing people down.
[00:15:51.149 --> 00:15:55.813]  This sick priest class of the priest of power that want to stomp on the human soul forever.
[00:15:56.113 --> 00:15:59.575]  They see the sleeping giant awakening and they're panicking and they don't know what to do.
[00:15:59.835 --> 00:16:00.536]  They're scared.
[00:16:03.044 --> 00:16:07.406]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:16:07.886 --> 00:16:16.789]  With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[00:16:17.349 --> 00:16:21.911]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:16:22.151 --> 00:16:32.875]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[00:16:33.695 --> 00:16:42.278]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high-quality ingredients.
[00:16:42.598 --> 00:16:50.982]  Perfect for a hot summer day or relaxing at home, Vitamin Mineral Fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[00:16:51.422 --> 00:16:57.824]  Start supporting your body's needs in a great-tasting, natural and affordable drink mix with Vitamin Mineral Fusion today.
[00:16:58.204 --> 00:17:00.445]  Available at Infowarsstore.com.
[00:17:02.894 --> 00:17:08.137]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[00:17:08.878 --> 00:17:12.180]  For those who want to increase testosterone and energy levels.
[00:17:13.020 --> 00:17:18.604]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[00:17:21.065 --> 00:17:27.387]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[00:17:28.207 --> 00:17:33.449]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[00:17:34.069 --> 00:17:50.094]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia, makaroo from Peru, horny goatweed from China,
[00:17:50.834 --> 00:17:58.656]  Hey guys, my name is Savannah Hernandez, and if you're always on the go like me, then you're not always tied to your computer or TV.
[00:17:58.696 --> 00:18:01.777]  So we just released our free InfoWars official app.
[00:18:16.525 --> 00:18:25.535]  The InfoWars official app includes all of our live broadcasts like War Room with Owen Schroyer, Real News with David Knight, and the holy grail of podcasting radio, the Alex Jones Show.
[00:18:25.895 --> 00:18:32.142]  And the best part about the InfoWars official app is that every single time we go live, you get notifications so that you never miss a beat.
[00:18:32.922 --> 00:18:39.386]  The InfoWars official app integrates some of the most up-to-date news stories, reports, and specials from TheInfoWarsStore.com.
[00:18:39.886 --> 00:18:44.669]  So whether you're in the car or on a run, this app makes it easy to keep the InfoWars right in your pocket.
[00:18:45.129 --> 00:18:46.130]  So what are you waiting for?
[00:18:46.470 --> 00:18:51.813]  Download the InfoWars official app for tomorrow's news today for free from the Apple Store or Google Play.
[00:19:02.088 --> 00:19:09.356]  Western Europe has already banned free speech, and an iron curtain of censorship is descending down over the UK.
[00:19:09.736 --> 00:19:17.305]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:19:17.665 --> 00:19:20.769]  We know we're only about a year or two behind what's happening in the UK.
[00:19:21.369 --> 00:19:25.651]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:19:26.012 --> 00:19:29.954]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:19:30.174 --> 00:19:32.895]  Brainwash young people against InfoWars.
[00:19:33.295 --> 00:19:37.478]  Psychologically inoculate them with lies, so they don't actually hear what we have to say.
[00:19:38.058 --> 00:19:41.081]  We are the most hated news source in the world by globalists.
[00:19:41.521 --> 00:19:56.375]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:19:56.616 --> 00:19:57.917]  That is critical to this fight.
[00:19:58.137 --> 00:20:00.299]  We will prevail if you take action and I know you
[00:20:06.337 --> 00:20:09.061]  You're listening to the Alex Jones Show.
[00:20:16.050 --> 00:20:18.233]  Waging war on corruption.
[00:20:18.734 --> 00:20:23.881]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:36.932 --> 00:20:44.035]  If you want to see how they rub our noses in it, punch up where the Alex Jones Channel used to be before the globalist Death Star blew it up.
[00:20:46.135 --> 00:20:55.679]  And on the Tombstone they put Saturday Night Live, they put other so-called fake news comedy shows up there, and they put BuzzFeed.
[00:20:56.299 --> 00:20:57.539]  Show that, can we punch that up?
[00:20:57.700 --> 00:20:59.100]  Because I was asking during the break for it.
[00:21:00.421 --> 00:21:04.022]  When you go where our YouTube used to be,
[00:21:05.791 --> 00:21:11.516]  You see that they've said this account has been terminated for violating YouTube's community guidelines.
[00:21:11.896 --> 00:21:20.924]  The communities, a bunch of shadowy leftists from the Democratic Party, openly brag... Put it back up, please.
[00:21:21.665 --> 00:21:24.587]  Openly brag that they're going to shut us down.
[00:21:24.607 --> 00:21:33.215]  They run around for months doing it, lying and false flagging, in a true sense, making up stuff I never did.
[00:21:34.929 --> 00:21:41.471]  And then on the tombstone, they say, here's channels that are related, which of course is a total lie.
[00:21:44.552 --> 00:21:52.834]  BuzzFeed, The Tonight Show, The Late Show, with Stephen Colbert, Saturday Night Live.
[00:21:53.714 --> 00:21:55.375]  All the leftist garbage.
[00:21:55.955 --> 00:22:04.057]  So they piss on our grave, and on the billions of views and 2.5 million subscribers, and all the work
[00:22:05.205 --> 00:22:23.222]  about GMO and glyphosate giving you cancer and and all the amazing interviews like Gore Vidal and my point is is what they said we were wasn't even what we were and then they say in big joint statements from Google and Facebook and YouTube and
[00:22:24.910 --> 00:22:30.594]  Apple, they say, we don't allow the bullying of children or transgenders or Islamophobia.
[00:22:31.094 --> 00:22:32.215]  They don't show what I said or did.
[00:22:32.595 --> 00:22:34.396]  Those are hate speech terms out of Europe.
[00:22:34.596 --> 00:22:35.497]  It's authoritarianism.
[00:22:35.797 --> 00:22:36.598]  No judge, no jury.
[00:22:36.858 --> 00:22:38.179]  A secret group reports you.
[00:22:39.039 --> 00:22:40.820]  You don't get to see what it was you supposedly did.
[00:22:41.141 --> 00:22:50.887]  We go back and find the videos on our own servers and it's two and three year olds at a public event giving money to drag queens shaking their rear ends and their faces.
[00:22:51.467 --> 00:22:52.248]  I think that is
[00:22:53.536 --> 00:22:54.397]  Abusive to children.
[00:22:54.597 --> 00:22:55.438]  I think it's bizarre.
[00:22:57.459 --> 00:23:00.702]  But they then say you can't do it.
[00:23:00.722 --> 00:23:04.885]  Then we show a video from ABC News of a kid punching an adult in the face four times.
[00:23:05.145 --> 00:23:06.867]  The parent or the adult pushes him down.
[00:23:07.767 --> 00:23:09.769]  It's all over the news, but we're bullies.
[00:23:10.049 --> 00:23:13.472]  So see how everything they do is a fraud.
[00:23:15.333 --> 00:23:23.435]  CNN, which literally has the lowest ratings of any cable TV channel, reruns of Yogi Bear have double the viewers, is over.
[00:23:23.495 --> 00:23:23.875]  It's done.
[00:23:24.135 --> 00:23:40.058]  But now it's an engine of censorship and hate to go out and racketeer and work with the New York Times, the Washington Post, Google, Apple, all of them, News Corp is involved, and shut everyone down.
[00:23:41.448 --> 00:23:42.689]  And this is how they do it.
[00:23:42.769 --> 00:23:45.792]  This is how they carry out the fraud.
[00:23:48.554 --> 00:23:48.954]  And it's here.
[00:23:49.515 --> 00:23:50.916]  So they can steal the midterms.
[00:23:51.476 --> 00:23:57.101]  And so China can be protected as they set up censorship systems for Apple and Google.
[00:23:57.301 --> 00:23:59.063]  And it's officially in the news.
[00:24:02.950 --> 00:24:03.670]  I don't know, Gateway Pundit.
[00:24:03.690 --> 00:24:04.271]  It's just incredible.
[00:24:04.291 --> 00:24:04.871]  I told you this was coming.
[00:24:23.695 --> 00:24:24.916]  But they use military tactics.
[00:24:24.936 --> 00:24:26.376]  They would always say, no one's censoring you.
[00:24:27.177 --> 00:24:28.417]  Nobody took you off YouTuber Facebook.
[00:24:28.437 --> 00:24:28.998]  What are you talking about?
[00:24:29.018 --> 00:24:29.178]  Nobody.
[00:24:29.738 --> 00:24:31.299]  Until they finally dropped the hammer.
[00:24:31.639 --> 00:24:34.621]  Just like for six months before we invaded Panama in the late 80s.
[00:24:35.821 --> 00:24:37.342]  They had helicopter touch and goes.
[00:24:37.362 --> 00:24:38.203]  They fired blanks.
[00:24:38.223 --> 00:24:39.904]  They threw flashbangs out of helicopters.
[00:24:39.924 --> 00:24:51.149]  So when they finally hit the Panamanian defense forces with C-130s and helicopters and commandos, they were overwhelmed and defeated in about three hours and very low U.S.
[00:24:51.189 --> 00:24:51.650]  casualties.
[00:24:52.654 --> 00:24:55.360]  So what they do is they attack, they attack, they attack, but in probes.
[00:24:56.142 --> 00:24:58.567]  And now the universities, the media...
[00:24:59.502 --> 00:25:05.927]  The corporate media, the big tech giants, are all working in concert against the American people and the people of Europe.
[00:25:06.387 --> 00:25:07.928]  And former government spies are working.
[00:25:07.948 --> 00:25:13.712]  Remember four years ago, the former Stasi head of operations?
[00:25:14.813 --> 00:25:17.455]  She was high level over a whole action group.
[00:25:17.735 --> 00:25:22.278]  She was hired to run the program for Facebook censoring German nationalistic conservatives.
[00:25:22.298 --> 00:25:25.521]  Remember Zuckerberg on tape?
[00:25:26.428 --> 00:25:30.790]  With Merkel and a hot mic saying, don't worry, we'll soon censor all the conservatives off the web.
[00:25:32.631 --> 00:25:33.172]  This is it.
