[00:00:05.885 --> 00:00:08.086]  Hitler took the guns.
[00:02:42.429 --> 00:02:42.789]  Tonight,
[00:02:43.129 --> 00:02:53.861]  There are new concerns that anti-Trump FBI officials formed even a secret society at the FBI to subvert the president after his election.
[00:02:53.861 --> 00:03:02.090]  That's according to two Republican lawmakers who've seen some of the thousands of texts between the FBI's Peter Strzok and Lisa Page.
[00:03:03.775 --> 00:03:13.559]  And we have the full 10-minute segment where he annihilates them posted on Infowars.com, an article we wrote about the report on Fox Business last night.
[00:03:13.559 --> 00:03:17.960]  You ask my opinion, some of the best, most hard-hitting information is on Fox Business.
[00:03:17.960 --> 00:03:19.721]  And Lou Dobbs is a total patriot.
[00:03:19.721 --> 00:03:24.663]  We don't even know about the globalists in mainstream media if it wasn't for him and many others.
[00:03:24.663 --> 00:03:27.064]  But I just have to thank Lou Dobbs for his courage.
[00:03:28.164 --> 00:03:32.311]  It is time to declare war because they've already declared war on us.
[00:03:32.311 --> 00:03:34.434]  And now they're cornered rats.
[00:03:34.434 --> 00:03:39.583]  As I keep saying, we've reached the most dangerous point right now because the walls are closing in.
[00:03:43.021 --> 00:03:44.261]  This story hits close to home.
[00:03:44.261 --> 00:03:46.362]  It's a miscommunicator with legal reaction.
[00:03:46.362 --> 00:03:58.624]  Now also tonight the walls are closing in on those responsible for this massive corruption, abuse of power at the top levels of government in what we are now calling state-sponsored sabotage.
[00:03:58.624 --> 00:04:07.606]  Now with this flood of damning news exposing all this malfeasance, the special counsel Robert Mueller and his spokespeople in the media are now working overtime.
[00:04:07.606 --> 00:04:10.687]  They want to create as many distractions as possible
[00:04:11.247 --> 00:04:11.687]  That's right.
[00:04:11.687 --> 00:04:12.548]  We'll be right back.
[00:04:35.197 --> 00:04:39.660]  And the reason that's critical is they keep saying, oh, you hate all the FBI or everybody in the federal government.
[00:04:39.660 --> 00:04:44.843]  It's mainly FBI agents, former and current, that are speaking out against this and exposing it.
[00:04:44.843 --> 00:04:53.848]  So this is a criminal Clinton cabal, globalist cabal, hooked in with all these foreign powers that had been taking control of America and it's being rooted out.
[00:04:53.848 --> 00:04:56.630]  That's what the whole Trump presidency is about.
[00:04:56.630 --> 00:04:57.911]  And you heard it here first.
[00:05:00.262 --> 00:05:04.665]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[00:05:04.665 --> 00:05:12.772]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[00:05:12.772 --> 00:05:18.056]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[00:05:18.056 --> 00:05:20.578]  Digestive enzyme production declines as we age.
[00:05:20.578 --> 00:05:24.801]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[00:05:24.801 --> 00:05:27.243]  Enjoy the full potential of protein-rich foods again.
[00:05:28.703 --> 00:05:34.225]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[00:05:34.225 --> 00:05:36.086]  Don't let a meal go to waste.
[00:05:36.086 --> 00:05:37.306]  Use Carnivore by InfoWars Life.
[00:05:54.492 --> 00:05:57.975]  Head to Infowarslife.com and secure your model now.
[00:05:57.975 --> 00:06:08.844]  That's Infowarslife.com.
[00:06:08.844 --> 00:06:13.188]  Waging war on corruption.
[00:06:13.188 --> 00:06:18.933]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:06:22.609 --> 00:06:24.770]  That is a video still, a digital still.
[00:06:24.770 --> 00:06:29.612]  If you're watching us on television, for radio listeners, you can go to InfoWars.com forward slash show.
[00:06:29.612 --> 00:06:34.054]  And the video is also being posted as we speak to InfoWars.com.
[00:06:34.054 --> 00:06:46.020]  Our HD footage, that I think is better than the other footage I've seen, a lot of it exclusive, of Marine One, all three of them, because they use two of them as decoys, with anti-missile systems on board.
[00:06:46.980 --> 00:06:53.847]  Landing up at the plateau beneath the mountain in Davos, Switzerland.
[00:06:53.847 --> 00:06:58.791]  And then of course the president getting out and then traveling into Davos.
[00:06:58.791 --> 00:07:06.258]  That happened obviously earlier today because they are what's eight hours ahead of us there in Switzerland.
[00:07:06.258 --> 00:07:09.862]  I guess eight hours ahead of Texas time, seven hours ahead of
[00:07:12.509 --> 00:07:14.711]  New York Time, Eastern Time.
[00:07:14.711 --> 00:07:30.784]  There's an amazing new graph and new spreadsheet that goes into more detail about the Deep State Secret Society insurance policy group that the folks at the Epoch Times have put together.
[00:07:30.784 --> 00:07:35.747]  They're the mainly Buddhist-run world newspaper.
[00:07:36.608 --> 00:07:36.848]  I think?
[00:08:00.842 --> 00:08:09.288]  And this basically breaks down how the insurance policy set everybody up in stunning detail.
[00:08:09.288 --> 00:08:15.053]  So I'm going to be tweeting this out at Real Alex Jones very, very soon.
[00:08:15.053 --> 00:08:21.998]  And coming up at the bottom of the hour, I'm going to go through it piece by piece, but how the whole operation through Hillary Clinton,
[00:08:23.362 --> 00:08:24.843]  We're good to go.
[00:08:44.634 --> 00:08:54.790]  In between the political operatives of Hillary, Hollywood, Republican allies, the Democratic Party, between Obama and the intelligence agencies in a pincer attack.
[00:08:56.516 --> 00:09:16.378]  With John Brennan, the CIA, and others, along with Robert Mueller, Comey, and others, Loretta Lynch, all working in tandem, as well as Jay Johnson, to engage in one of the biggest criminal conspiracies the world has ever seen, that has now been blown absolutely, completely, and totally wide open.
[00:09:18.464 --> 00:09:29.813]  Now, there is a FISA memo that chronicles the last two and a half years activity that was posted to the Director of National Intelligence website and got almost no attention.
[00:09:29.813 --> 00:09:32.735]  William Benny, former Technical Head of the NSA, was contacted and said,
[00:09:33.757 --> 00:09:45.344]  This is the main body, the nine page memo that Nunes has the secret parts of and that is going to be in a larger summary and report he's going to put out.
[00:09:45.344 --> 00:09:56.071]  But there's four pages he's alluding to that is the blacked out areas of the document that is still classified.
[00:09:56.071 --> 00:10:01.935]  The whole document was classified and that it shows the perjury of Justice Department
[00:10:02.895 --> 00:10:08.858]  Former and current FBI and others on what they've testified to versus what's in the document.
[00:10:08.858 --> 00:10:11.419]  That then connects into the secret society.
[00:10:11.419 --> 00:10:13.339]  It connects into the insurance policy.
[00:10:13.339 --> 00:10:15.420]  It connects into the off-site secret meetings.
[00:10:15.420 --> 00:10:18.041]  It connects into the erased text messages.
[00:10:18.041 --> 00:10:24.564]  And they have text messages where they said, we're now going to all erase our text messages.
[00:10:24.564 --> 00:10:26.825]  But that got picked up in the drag nets.
[00:10:26.825 --> 00:10:28.206]  So they've been caught.
[00:10:29.065 --> 00:10:41.208]  And right now, because we have people that have courage like Devin Nunes, and Trey Gowdy, and Jim Jordan, and others.
[00:10:41.208 --> 00:10:45.729]  Because of this, the whole house of cards is coming down.
[00:10:45.729 --> 00:10:47.650]  So first, the media said there is no memo.
[00:10:49.827 --> 00:10:56.992]  And they came out and said, here's the headline, did Devin Nunes invent his own smoking gun?
[00:10:56.992 --> 00:11:05.278]  We already have the smoking guns with the head, deputy head of the FBI, later the head of the FBI, meeting in secret to organize the insurance policy.
[00:11:05.278 --> 00:11:08.680]  We already have them saying we can't let Trump get in.
[00:11:08.680 --> 00:11:10.642]  When he was president-elect, we've got to stop him.
[00:11:10.642 --> 00:11:18.027]  We have the whole chain of events, from when he was a candidate, to the nominee, to the president-elect.
[00:11:19.195 --> 00:11:22.701]  And they just didn't know what to do with themselves.
[00:11:22.701 --> 00:11:24.223]  And so now they lied to Congress.
[00:11:24.223 --> 00:11:24.984]  Comey lied.
[00:11:24.984 --> 00:11:26.366]  Mueller lied.
[00:11:26.366 --> 00:11:27.488]  McCabe lied.
[00:11:27.488 --> 00:11:30.372]  They all lied over and over again.
[00:11:32.392 --> 00:11:54.998]  Insurance policy, the hole they dug for American voters to kill our will and the restoration of our republic, at least getting control of our country back in the hands of the states and the Congress and the President and the courts, that's all this is, is a second American revolution against a new modern form of globalist colonialism, taking our country back.
[00:11:54.998 --> 00:11:57.999]  And they don't know what to do.
[00:11:59.727 --> 00:12:06.671]  And that's why we're at the critical juncture right now, because the walls are closing in, as Sean Hannity said last night.
[00:12:06.671 --> 00:12:11.093]  As I've been saying for the last few weeks, they're cornered rats.
[00:12:11.093 --> 00:12:13.995]  And the best way to say it is the walls are closing in.
[00:12:13.995 --> 00:12:15.696]  I describe it as water.
[00:12:15.696 --> 00:12:22.159]  Like in a movie, you know, you're trapped in a, in a, say, a submerged boat or something, and the water is coming in.
[00:12:22.159 --> 00:12:25.561]  It's an upside-down capsized boat.
[00:12:25.561 --> 00:12:28.383]  Or it's one of those old movies where you're in the Egyptian temple,
[00:12:29.369 --> 00:12:36.373]  And all of a sudden, the sand starts pouring in, and a big stone blocks the door.
[00:12:36.373 --> 00:12:40.995]  That is exactly the analogies I've used, and Hannity's boiled it down excellently.
[00:12:40.995 --> 00:12:43.196]  The walls are closing in.
[00:12:43.196 --> 00:12:45.458]  So what are they going to do?
[00:12:46.738 --> 00:13:07.686]  Now that the walls are closing in, now that we know there's a war on America, a war on sovereignty, the New York Times has gone from saying globalism doesn't exist, Ron Paul's insane, Trump's insane, Jones is insane, Drudge is insane, to okay, there's a fox in the globalist henhouse in Davos and our world government's falling apart.
[00:13:07.686 --> 00:13:13.729]  And now the Indian president just joined Trump saying globalism's done.
[00:13:13.729 --> 00:13:14.609]  That clip's coming up.
[00:13:16.380 --> 00:13:23.067]  And now more and more governments are saying, we're not handing our power over to you anymore.
[00:13:23.067 --> 00:13:26.231]  This is the collapse of the New World Order.
[00:13:26.231 --> 00:13:28.072]  Doesn't mean some utopia is on the other side.
[00:13:28.072 --> 00:13:29.094]  Doesn't mean everything is going to be perfect.
[00:13:30.183 --> 00:13:42.768]  Arrogance of the mega-corporations who thought they would create private corporate governments that are authoritarian, transfer all our power to them, and exempt themselves from all the regulations and taxes that they foist on us.
[00:13:42.768 --> 00:13:46.450]  This is the beginning of the world awakening to that fraud.
[00:13:46.450 --> 00:13:56.174]  And the fortunes of Google, Facebook, Twitter, Amazon, especially Apple, all of it is based on this rigged system.
[00:13:57.128 --> 00:14:04.535]  Set up by the globalists, by the Rockefellers, and really expressed by the Clintons, through George W., through Obama.
[00:14:04.535 --> 00:14:14.123]  And it has destroyed the nation-state, it has destroyed wealth, it has savaged societies, and now, in office only 340 days.
[00:14:14.123 --> 00:14:14.343]  No, 370 days.
[00:14:21.517 --> 00:14:24.761]  370 days, only in office, 370 days.
[00:14:24.761 --> 00:14:33.250]  President Trump is in Davos, just as we told you he was going to do, going in and saying, you're going to listen to me or leave.
[00:14:33.250 --> 00:14:35.292]  You're lucky I'm here.
[00:14:35.292 --> 00:14:38.916]  I'm here to talk about a future for your companies, not screwing people over.
[00:14:39.912 --> 00:14:41.833]  And all of a sudden they're all saying, we like Trump.
[00:14:41.833 --> 00:14:42.993]  We like what he's done the last year.
[00:14:42.993 --> 00:14:43.413]  He's right.
[00:14:43.413 --> 00:14:44.913]  We all got even richer.
[00:14:44.913 --> 00:14:46.374]  But see, they don't want to just get richer.
[00:14:46.374 --> 00:14:48.254]  They want to run it and control it all.
[00:14:48.254 --> 00:14:59.778]  So suddenly Lloyd Blankfein and Bezos and all of them are rolling over and showing their bellies right now because the United States of America isn't under their full control.
[00:14:59.778 --> 00:15:00.358]  But believe me.
[00:15:02.025 --> 00:15:05.026]  They will stab the president in the back as soon as they can.
[00:15:05.026 --> 00:15:06.166]  They'll stab us in the back.
[00:15:06.166 --> 00:15:16.909]  It's the nature of these scumbags that would want to make everybody else poor and ally with the communist Chinese so that they could take control of our world.
[00:15:16.909 --> 00:15:18.889]  Think about that.
[00:15:18.889 --> 00:15:24.491]  Allied with the worst authoritarian regimes in the world and Trump's already outflanked.
[00:15:25.512 --> 00:15:28.793]  China with his India move and his South Korea move.
[00:15:28.793 --> 00:15:32.655]  He's already outflanked the EU with his support of Brexit and everything else.
[00:15:32.655 --> 00:15:37.717]  It's already happening because their system's authoritarian, tenuous, and based on lies.
[00:15:37.717 --> 00:15:44.320]  It will be easy to destroy it and build something much better because it's parasitic, but first we've got to beat Hollywood.
[00:15:45.040 --> 00:15:54.594]  The mainstream media stay behind networks that are trying to kick off a civil war in this country and trying to bully the resistance with all these fake sex assault charges.
[00:15:54.594 --> 00:15:57.138]  We got to make it through this final minefield.
[00:15:59.707 --> 00:16:01.689]  Heart disease is on the rise.
[00:16:01.689 --> 00:16:06.994]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:16:06.994 --> 00:16:08.576]  But the symptoms are there.
[00:16:08.576 --> 00:16:16.944]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:16:16.944 --> 00:16:22.630]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:16:22.790 --> 00:16:24.611]  My blood pressure has normalized.
[00:16:24.611 --> 00:16:26.872]  My diabetes has totally improved.
[00:16:26.872 --> 00:16:31.293]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:16:31.293 --> 00:16:33.474]  I recommend Heart and Body Extract to everyone.
[00:16:33.474 --> 00:16:41.337]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:16:41.377 --> 00:16:43.840]  Order your two-month supply today by calling 866-295-5305.
[00:16:43.840 --> 00:16:44.280]  That's 866-295-5305.
[00:16:44.280 --> 00:16:46.102]  Or order online at HBextract.com.
[00:16:46.102 --> 00:16:47.965]  Heart and Body Extract, 866-295-5305.
[00:16:47.965 --> 00:16:48.766]  Or HBextract.com.
[00:16:58.777 --> 00:17:03.901]  The answer to being in control of your own health care is freedom from insurance.
[00:17:03.901 --> 00:17:09.624]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:17:09.624 --> 00:17:14.808]  Individual share amounts begin at $107 a month and $347 for families.
[00:17:14.808 --> 00:17:16.749]  Choose from three health sharing programs.
[00:17:16.749 --> 00:17:19.131]  Holistic treatments may be eligible for sharing.
[00:17:19.131 --> 00:17:20.092]  See guidelines.
[00:17:20.092 --> 00:17:23.374]  Discount programs available for dental, vision, and pharmacy.
[00:17:23.374 --> 00:17:25.335]  Go to LibertyOnCall.org.
[00:17:25.335 --> 00:17:26.876]  That's LibertyOnCall.org.
[00:17:28.638 --> 00:17:35.420]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:17:35.420 --> 00:17:39.681]  Since 2005, thousands have depended on Berkey Purified Water.
[00:17:39.681 --> 00:17:44.302]  The Berkey guy provides the lowest price filtration systems in every size.
[00:17:44.302 --> 00:17:49.784]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:17:49.784 --> 00:17:50.004]  877-886-3653.
[00:17:50.004 --> 00:17:50.344]  GoBerkey.com.
[00:18:00.293 --> 00:18:09.398]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:18:09.398 --> 00:18:17.802]  For more than a decade, my favorite coffee has come from the high mountains of Southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:17.802 --> 00:18:22.685]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:22.685 --> 00:18:29.308]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:18:29.448 --> 00:18:36.636]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:18:36.636 --> 00:18:43.663]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:18:43.663 --> 00:18:48.148]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:18:48.148 --> 00:18:51.351]  Available in original or with our immune support infusion blend.
[00:18:51.531 --> 00:18:57.813]  You will be supporting a free press, all the while enjoying a truly great-tasting cup of my favorite coffee.
[00:18:57.813 --> 00:19:00.454]  Available at InfoWarsLife.com.
[00:19:00.454 --> 00:19:03.915]  InfoWarsLife is bringing you a breakthrough in modern medicine.
[00:19:03.915 --> 00:19:15.439]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[00:19:15.439 --> 00:19:16.319]  This is pollen blood.
[00:19:17.339 --> 00:19:30.012]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucous production.
[00:19:30.012 --> 00:19:34.337]  They began studying the effects in published trials.
[00:19:34.337 --> 00:19:38.341]  Now we are introducing the fruit of the research, a fast-acting chewable tablet
[00:19:38.801 --> 00:19:48.883]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[00:19:48.883 --> 00:19:52.003]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[00:19:52.003 --> 00:19:56.124]  Available now at Infowarslife.com or by calling toll free.
[00:19:56.124 --> 00:19:57.964]  888-253-3139 You're listening to the Alex Jones Show.
[00:20:21.816 --> 00:20:25.880]  Infowars.com is tomorrow's news.
[00:20:25.880 --> 00:20:34.908]  Today, you're listening to the Alex Jones Show.
[00:20:34.908 --> 00:20:41.774]  So, the mainstream corporate enemy media has already collapsed.
[00:20:41.774 --> 00:20:45.698]  They're all bankrupt, every single one of them, from the New York Times, the Washington Post.
[00:20:45.698 --> 00:20:46.779]  They're all propped up.
[00:20:48.154 --> 00:20:53.918]  By kingpins like Bezos and Carlos Slim, two of the richest men in the world.
[00:20:53.918 --> 00:21:04.946]  And some of the messages came out from the union negotiation with the Washington Post, where the employees are having their promised pay increases and things taken away.
[00:21:04.946 --> 00:21:09.570]  And Bezos' representative actually told him, sit down and shut up.
[00:21:09.570 --> 00:21:10.671]  That was in the news yesterday.
[00:21:10.671 --> 00:21:13.213]  You're lucky to even have a job.
[00:21:13.213 --> 00:21:14.794]  We're taking the promises away.
[00:21:16.604 --> 00:21:17.785]  See how that works?
[00:21:17.785 --> 00:21:19.126]  And they don't care.
[00:21:19.126 --> 00:21:24.391]  They're in there lying 24-7, trying to destroy this country as much as they can.
[00:21:24.391 --> 00:21:29.595]  And when they're done, and Bezos is one, if he's successful, he'll get rid of all of them.
[00:21:29.595 --> 00:21:34.260]  Because Bezos is all about using people up, and throwing them in the gutter.
[00:21:34.260 --> 00:21:41.206]  There it is, WAPO staffers fighting for better wages, told to sit down, shut up, and be grateful for Bezos.
[00:21:41.206 --> 00:21:42.467]  Yeah, it said that they get
[00:21:43.442 --> 00:21:46.445]  They were getting $8 increases a year.
[00:21:46.445 --> 00:21:52.590]  Now he says they're not going to get pay increases and other people are going to have their pay cut if you actually go read what it says.
[00:21:52.590 --> 00:21:54.331]  So that headline's not even strong enough.
[00:21:54.331 --> 00:21:57.934]  But again, that's just a side issue.
[00:21:57.934 --> 00:22:05.801]  Under Trump, hundreds of companies have given $1,000 to $5,000 bonuses to even their lowest level employees.
[00:22:05.801 --> 00:22:07.343]  And the average family's gotten a $13,000 tax decrease.
[00:22:10.731 --> 00:22:30.860]  And the stock market's at 26,000, and there's millions of new jobs, and we've got the highest increases in wages ever recorded, and the lowest black unemployment ever recorded, but CNN, The Washington Post, and everybody, they have endless articles telling you, oh, well, black unemployment is the lowest ever, but here's what's behind it, or wages are up, but here's what's behind it.
[00:22:30.860 --> 00:22:33.902]  It's not Trump, it's Obama!
[00:22:33.902 --> 00:22:35.242]  That's right.
[00:22:35.242 --> 00:22:37.263]  Obama did it all.
[00:22:37.263 --> 00:22:38.764]  Obama got Apple to move back.
[00:22:39.969 --> 00:22:42.590]  Obama called thousands of companies.
[00:22:42.590 --> 00:22:44.872]  No, Trump got the tax cuts.
[00:22:44.872 --> 00:22:47.713]  Trump got the corporate tax cut.
[00:22:47.713 --> 00:22:50.415]  So, that's their talking points.
[00:22:50.415 --> 00:22:53.617]  First off, there'll never be prosperity, you'll never get above 3%.
[00:22:53.617 --> 00:23:00.840]  And then they said, okay, it is gonna probably go to 7 or 8, 9% in the next couple of years.
[00:23:00.840 --> 00:23:03.062]  You're right, it's about 3.3 right now.
[00:23:03.062 --> 00:23:06.564]  Okay, it's Obama, he did it.
[00:23:06.564 --> 00:23:07.084]  Obama did it.
[00:23:08.672 --> 00:23:11.114]  So, there you go, ladies and gentlemen.
[00:23:11.114 --> 00:23:13.857]  And getting back to the memo, and I want to open the phones up.
[00:23:13.857 --> 00:23:23.025]  Justice Department makes last-ditch effort to block release of FISA memo.
[00:23:23.025 --> 00:23:30.932]  Peter Schiff and all the usual suspects running the fraud at the congressional level came out and said it's a conspiracy theory, there's nothing there.
[00:23:30.932 --> 00:23:32.814]  Devin Nunes made it up.
[00:23:32.814 --> 00:23:33.835]  Those are the quotes.
[00:23:33.835 --> 00:23:34.796]  That was about two weeks ago.
[00:23:35.700 --> 00:23:36.761]  About all these documents.
[00:23:36.761 --> 00:23:46.105]  Then they said, okay, it's real, but you can't understand it, so we shouldn't release it.
[00:23:46.105 --> 00:23:50.046]  And now they're saying, uh, don't release it, period.
[00:23:50.046 --> 00:23:53.208]  But the Democrats are going to release their own memo.
[00:23:53.208 --> 00:23:59.611]  It's not quotes and text and documents and secret societies and all this other garbage.
[00:23:59.611 --> 00:23:59.771]  No.
[00:24:01.880 --> 00:24:04.121]  No, ladies and gentlemen, it's just their opinion.
[00:24:04.121 --> 00:24:15.648]  Meanwhile, MSNBC, FBI Secret Society, is a dangerous conspiracy theory, even though it's FBI agents telling Congress this and text messages.
[00:24:15.648 --> 00:24:20.130]  Talking about secret meetings and insurance policies, all that's confirmed.
[00:24:20.130 --> 00:24:23.112]  But don't worry, it's a conspiracy theory.
[00:24:23.112 --> 00:24:26.534]  And then let's have an old neocon on there.
[00:24:28.217 --> 00:24:31.702]  To tell everybody that everything is actually okay.
[00:24:31.702 --> 00:24:35.066]  So Justice Department makes last-ditch effort to block release of the FISA Memo.
[00:24:35.066 --> 00:24:37.550]  That's up on Infowars.com.
[00:24:37.550 --> 00:24:38.631]  And here's the big one.
[00:24:38.631 --> 00:24:44.639]  Comey, Rosenstein, McCabe, all named in FISA Memo according to first leak.
[00:24:46.667 --> 00:24:53.074]  Now again, that's the first leak being reported by the Daily Beast, because mainstream media is giving that attention, saying it's the first leak.
[00:24:53.074 --> 00:24:55.197]  No, we've gotten leaks.
[00:24:55.197 --> 00:24:57.599]  Jack Posobiec's gotten leaks.
[00:24:57.599 --> 00:25:02.265]  Roger Stone has talked to four members of Congress, some of them that you see on television.
[00:25:03.863 --> 00:25:10.168]  And as of last night, he still wasn't ready to say what they told him, and he asked me not to say yet.
[00:25:10.168 --> 00:25:20.856]  But he does just tell me all this incredible stuff, just so I know how good his sources are, and then 99% of the time, we wait too long and we get scooped.
[00:25:20.856 --> 00:25:22.917]  That didn't really happen in this Daily Beast.
[00:25:22.917 --> 00:25:26.120]  It's just reporting what we've always known.
[00:25:26.120 --> 00:25:30.103]  Much of what Nunes talks about when he says the secret FISA court memo,
[00:25:31.670 --> 00:25:41.629]  Is the FISA court 99 page memo that gives you the dates of when they were spying, the FISA court saying this is illegal, over and over again?
[00:25:43.646 --> 00:25:50.552]  So the Daily Beast spins it, Devin Nunes' anti-FBI memo names James Comey, Rod Rosenstein, and Andrew McCabe.
[00:25:50.552 --> 00:26:02.323]  Because they're the ones involved back before Trump was even in office during the campaign, and when he was president-elect, they're the ones running the FISA operation!
[00:26:02.323 --> 00:26:09.870]  They're the ones taking the Fusion GPS baloney package in.
[00:26:11.417 --> 00:26:12.477]  They're the ones!
[00:26:12.477 --> 00:26:16.399]  That's why that document's important?
[00:26:16.399 --> 00:26:17.859]  Is because it shows the blueprint.
[00:26:17.859 --> 00:26:23.881]  And yes, there's secret parts we haven't released that are the blacked out parts, but they play semantical games.
[00:26:23.881 --> 00:26:27.082]  Just like the talking point is, Devin Nunes has nothing.
[00:26:27.082 --> 00:26:27.962]  There is nothing.
[00:26:27.962 --> 00:26:29.023]  He made it up.
[00:26:29.023 --> 00:26:30.443]  Alex Jones made it all up.
[00:26:30.443 --> 00:26:31.503]  It's all fake.
[00:26:31.503 --> 00:26:32.524]  It's all fake.
[00:26:32.524 --> 00:26:33.704]  Hillary won.
[00:26:33.704 --> 00:26:35.925]  She's Madam President.
[00:26:35.925 --> 00:26:36.865]  Where's my Madam President?
[00:26:36.865 --> 00:26:39.326]  I guess they've hung it back on the wall by my office.
[00:26:40.305 --> 00:26:43.909]  This is how they play these games.
[00:26:43.909 --> 00:26:52.560]  Oh, and of course, I'm sure we all believe this, CBS News, thousands of FBI-issued phones had a glitch that failed to save tax.
[00:26:56.124 --> 00:26:56.925]  Made up crap.
[00:26:56.925 --> 00:27:04.432]  That particular Samsung Galaxy phone hardcodes the text.
[00:27:04.432 --> 00:27:06.534]  Oh, but they're saying that's what glitched.
[00:27:06.534 --> 00:27:09.817]  But you still have to manually erase them.
[00:27:09.817 --> 00:27:11.378]  And everybody knows that.
[00:27:11.378 --> 00:27:13.180]  So, oh my goodness!
[00:27:13.180 --> 00:27:17.063]  The FBI says we wouldn't do that.
[00:27:17.063 --> 00:27:20.427]  And again, the New York Times said 99% chance Hillary was going to win.
[00:27:21.414 --> 00:27:23.015]  Madam President.
[00:27:23.015 --> 00:27:25.497]  So, they never engage in fake news.
[00:27:25.497 --> 00:27:26.378]  No.
[00:27:26.378 --> 00:27:29.800]  They only tell us the truth.
[00:27:29.800 --> 00:27:34.904]  Again, did Nunes invent his own smoking gun?
[00:27:34.904 --> 00:27:39.428]  That's the talking point when we have the smoking guns.
