[00:00:01.668 --> 00:00:03.073]  We are drugged out!
[00:01:52.168 --> 00:02:00.312]  Now, if the police knew the phone number and knew the machine address of the device being used by the criminal they were attempting to
[00:02:01.773 --> 00:02:03.914]  Uh, listen to, that would be one thing.
[00:02:04.234 --> 00:02:06.034]  But in most cases, they do not.
[00:02:06.494 --> 00:02:11.856]  They just know that the criminal lives nearby, or is in an apartment here, or is in an automobile there.
[00:02:12.416 --> 00:02:18.997]  So they have to listen to everybody's conversation to filter out and find the actual person that they are interested in.
[00:02:19.357 --> 00:02:29.080]  Which means that every single conversation within a quarter of a mile is being listened to, and has to be listened to, to determine which conversation is the one that they're interested in.
[00:02:29.571 --> 00:02:42.974]  World Net Daily reports Shahid Buttar explained that the Electronic Frontier Foundation, a California bill SB 1186, would vastly strengthen oversight relative to the indefensible and completely opaque status quo.
[00:02:43.194 --> 00:02:50.096]  EFF supports the bill because it would expand transparency and community control over the acquisition of surveillance technology.
[00:02:50.196 --> 00:02:58.438]  For nearly a decade, the company Harris Corporation sold sophisticated military surveillance equipment to police departments across the United States
[00:02:58.598 --> 00:03:03.424]  Without any elected policy makers knowing that their tools even existed.
[00:03:03.564 --> 00:03:11.693]  There is no municipality in America that has more than 5,000 people that does not have access to at least one of these devices.
[00:03:12.674 --> 00:03:15.617]  Some of the largest cities have many hundreds of these devices.
[00:03:16.598 --> 00:03:38.772]  The central problem with the stingrays, other than the fact that the Harris Corporation, almost in league with the government, has a contract so tightly bound that anyone who buys one cannot tell anybody else where they got it from, what the name of the product is, how much they paid for it, how many other products similar to it that they own, or anything else.
[00:03:39.755 --> 00:03:40.376]  Think about that.
[00:03:40.436 --> 00:03:59.893]  They're saying that they signed a paper with a corporation that they're not going to disclose this information to a judge as required under the law, under the Constitution, that their non-disclosure agreement with this corporation is more important than the Constitution or any laws that we write subsequent to that.
[00:04:00.314 --> 00:04:04.618]  The surveillance state has grown like an STD that, of course, nobody wants.
[00:04:04.978 --> 00:04:14.687]  Automatic facial recognition and automatic number plate recognition have in the span of a few years become the norm in a big brother prison planet society.
[00:04:14.927 --> 00:04:29.661]  All the technocrats and their socialistocratic government soldiers need to do is apply the Chinese style social credit system on American citizens and a sliding slope for totalitarian domination is right around the corner.
[00:04:29.941 --> 00:04:37.368]  Unfortunately, we have reached the point where Americans need to demand the enforcement of their Bill of Rights now more than ever.
[00:04:37.668 --> 00:04:40.751]  John Bowne reporting for Infowars.com.
[00:05:01.004 --> 00:05:04.685]  Hey, how would you like to take InfoWars with you wherever you go?
[00:05:04.865 --> 00:05:09.906]  Well, now you can do just that with the new official InfoWars app.
[00:05:10.086 --> 00:05:11.246]  And here's the best part.
[00:05:11.386 --> 00:05:13.006]  It is absolutely free.
[00:05:13.226 --> 00:05:18.187]  At the Apple Store and Google Play, you can join the InfoWars today.
[00:05:18.427 --> 00:05:22.308]  Check it out right now at InfoWars.com forward slash app.
[00:05:22.388 --> 00:05:26.289]  It's the InfoWars official app, taken on the globalist at point-blank range.
[00:05:26.509 --> 00:05:30.610]  And with your help spreading it, and with your help downloading it, we are unstoppable.
[00:05:31.090 --> 00:05:35.273]  Everything we do here at InfoWars is possible with your support at InfoWarsStore.com.
[00:05:35.293 --> 00:05:36.414]  We have huge specials.
[00:05:36.454 --> 00:05:40.036]  If you've not seen the InfoWars store yet, go check it out.
[00:05:40.476 --> 00:05:44.919]  New t-shirts at the InfoWars store as well, including one that I just got.
[00:05:45.340 --> 00:05:47.921]  The new InfoWars hexagon logo.
[00:05:48.121 --> 00:05:50.043]  Very, very cool logo.
[00:05:50.483 --> 00:05:56.187]  And kind of more discreet, so a radical liberal might not come over and try to punch you in the face or spit on you.
[00:05:56.467 --> 00:05:59.329]  So it's all possible thanks to your support at InfoWarsStore.com.
[00:05:59.349 --> 00:06:00.810]  Huge discount store-wide right now.
[00:06:07.953 --> 00:06:14.656]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:06:14.896 --> 00:06:17.057]  You better believe you've got one!
[00:06:19.198 --> 00:06:24.300]  From the front lines of the information war, it's Alex Jones.
[00:06:42.677 --> 00:06:46.720]  Everyone thinks so, but I would never say it.
[00:06:46.760 --> 00:06:48.302]  You know what I want to do?
[00:06:48.622 --> 00:06:50.563]  I want to get it finished.
[00:06:51.224 --> 00:06:53.386]  The prize I want is victory for the world.
[00:07:11.236 --> 00:07:15.679]  It's also what happens when you listen to the radio host Alex Jones.
[00:07:16.519 --> 00:07:17.400]  Move, bitch!
[00:07:17.720 --> 00:07:18.601]  Get out the way!
[00:07:26.081 --> 00:07:31.084]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:07:31.184 --> 00:07:34.566]  It's been a cozy relationship from the beginning.
[00:07:34.586 --> 00:07:36.087]  I will not let you down.
[00:07:36.227 --> 00:07:39.108]  You'll be very, very impressed, I hope.
[00:07:39.308 --> 00:07:40.789]  And I think we'll be speaking a lot.
[00:07:40.809 --> 00:07:42.890]  Donald Trump and Alex Jones.
[00:07:42.930 --> 00:07:48.474]  This means that Donald Trump will be the 45th President of the United States.
[00:07:48.534 --> 00:07:51.095]  Waging war on corruption.
[00:07:51.255 --> 00:07:52.476]  It's Alex Jones!
[00:07:55.558 --> 00:08:02.342]  A lot of his supporters believe that we are the enemy of the American people, and that is really, really an awful situation.
[00:08:02.662 --> 00:08:04.864]  We are not the enemy of the American people.
[00:08:04.884 --> 00:08:06.285]  We love the American people.
[00:08:17.492 --> 00:08:19.673]  We are not the enemy of the American people.
[00:08:19.713 --> 00:08:21.114]  We love the American people.
[00:08:21.214 --> 00:08:22.595]  We love the American people.
[00:08:24.537 --> 00:08:26.058]  We love the American people.
[00:08:26.958 --> 00:08:40.826]  They came in peace.
[00:08:40.846 --> 00:08:43.007]  We are not the enemy of the American people.
[00:08:43.027 --> 00:08:44.908]  We love the American people.
[00:08:52.208 --> 00:08:53.609]  This is CNN.
[00:08:57.731 --> 00:09:05.575]  If you are receiving this transmission, you are the resistance.
[00:09:05.915 --> 00:09:14.180]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[00:09:23.770 --> 00:09:28.172]  It's 11.59 at Radio Free America, and this is Uncle Sam with music and the truth until dawn.
[00:09:28.792 --> 00:09:32.373]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:09:32.793 --> 00:09:34.394]  The chair is against the wall.
[00:09:34.854 --> 00:09:36.535]  The chair is against the wall.
[00:09:37.075 --> 00:09:38.776]  John has a long mustache.
[00:09:39.076 --> 00:09:40.716]  John has a long mustache.
[00:09:41.116 --> 00:09:43.797]  It's 12 o'clock, Americans, another day closer to victory.
[00:09:43.977 --> 00:09:48.059]  And for all of you out there on or behind the lines, this is your song.
[00:09:53.968 --> 00:09:55.409]  But they took a lot of people away.
[00:09:55.849 --> 00:09:57.750]  People that they thought were gonna make trouble for them.
[00:09:57.990 --> 00:10:00.611]  People that had guns and things they wanted, they just took them away.
[00:10:01.191 --> 00:10:01.452]  Where?
[00:10:02.572 --> 00:10:04.413]  Re-education camps, that's what they call it.
[00:10:04.673 --> 00:10:12.617]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:10:12.917 --> 00:10:16.779]  I have decided we really need camps for adults.
[00:10:18.884 --> 00:10:23.167]  And we need a big dance that you all run.
[00:10:23.207 --> 00:10:23.868]  I mean, really.
[00:10:24.128 --> 00:10:27.030]  All persons of Japanese descent were required to register.
[00:10:27.490 --> 00:10:32.493]  Now they were taken to racetracks and fairgrounds where the army almost overnight had built assembly centers.
[00:10:32.593 --> 00:10:34.455]  I'm a sovereign citizen.
[00:10:34.515 --> 00:10:36.256]  I refuse to recognize you guys.
[00:10:36.556 --> 00:10:38.317]  What kind of a situation in the U.S.
[00:10:38.357 --> 00:10:39.497]  would you see that happening?
[00:10:39.517 --> 00:10:43.439]  We've got a lot of Constitutionalists and a lot of people that stockpile weapons.
[00:10:44.059 --> 00:10:52.343]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[00:10:53.984 --> 00:10:59.847]  These people are radicalized and they don't support the United States and they're disloyal to the United States.
[00:10:59.987 --> 00:11:04.549]  It's our right and our obligation to segregate them from the normal community
[00:11:11.388 --> 00:11:13.690]  It's what we're doing here, and let's not kid about it.
[00:11:13.891 --> 00:11:17.915]  We're building a domestic army because the government is afraid of its own citizens.
[00:11:17.935 --> 00:11:18.916]  Seriously?
[00:11:18.956 --> 00:11:19.977]  Put your gun down, really?
[00:11:22.159 --> 00:11:26.583]  Rallying patriots worldwide in defense of human liberty.
[00:11:27.144 --> 00:11:28.665]  It's Alex Jones.
[00:11:28.986 --> 00:11:30.988]  Are you some kind of a constitutionalist?
[00:11:33.656 --> 00:11:38.723]  So these people who hold themselves out to be patriots are not.
[00:11:39.204 --> 00:11:41.487]  They're nothing more than domestic terrorists.
[00:11:41.968 --> 00:11:45.853]  If you are receiving this transmission, you are the resistance.
[00:11:59.952 --> 00:12:10.176]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[00:12:13.937 --> 00:12:18.478]  Ladies and gentlemen, it is Monday the 30th day of July 2018.
[00:12:19.259 --> 00:12:28.402]  I'm your host Alex Jones and we're going to be live here for the next four hours and we've got obviously the war room
[00:12:30.480 --> 00:12:41.714]  I don't feel sorry for myself being a hunted, demonized, lied about individual because I know I'm on the right side of history.
[00:12:41.814 --> 00:12:42.475]  I know this is a
[00:12:43.530 --> 00:12:47.291]  Globalist military propaganda operation we're fighting and I signed up for this show.
[00:12:47.712 --> 00:13:04.338]  I expect it, but I will tell you The level of deception and lies by these people is so over-the-top And so duplicitous and you can only know it when you're on the inside of it that it's it's a real education And I'm gonna try my best today to go over some of that.
[00:13:04.358 --> 00:13:07.459]  I mean Here's an example.
[00:13:07.699 --> 00:13:12.301]  I don't want our show to be the soap opera of what's happening to Alex Jones, but you know you've got
[00:13:13.709 --> 00:13:24.016]  Everybody from Tucker Carlson to Senator Ted Cruz to Sean Hannity coming out defending me and saying basically I'm being lied about.
[00:13:24.036 --> 00:13:26.998]  They're setting a precedent to ban conservatives off the internet.
[00:13:27.638 --> 00:13:28.719]  That's totally Twilight Zone.
[00:13:29.139 --> 00:13:30.941]  You've got tens of thousands of articles.
[00:13:31.101 --> 00:13:37.825]  Every local TV station in the country basically is running disinfo pieces with pure lies about me.
[00:13:38.846 --> 00:13:41.908]  They've got something big planned.
[00:13:50.922 --> 00:13:58.806]  Now, here's just an example of what I've read this weekend.
[00:14:00.367 --> 00:14:03.668]  Alex Jones threatened to poison David Hogg.
[00:14:08.051 --> 00:14:08.751]  Totally untrue.
[00:14:09.291 --> 00:14:12.453]  Alex Jones bullied a child and endangered them.
[00:14:12.833 --> 00:14:13.453]  Totally untrue.
[00:14:18.356 --> 00:14:20.397]  Alex Jones said
[00:14:22.000 --> 00:14:23.982]  Mean things to transsexuals and bullied them.
[00:14:24.302 --> 00:14:24.763]  Not true.
[00:14:26.644 --> 00:14:30.528]  And that's what's amazing about all this is, it's total lies.
[00:14:31.529 --> 00:14:39.516]  And then when they say it, they don't even link to where I said it or show it.
[00:14:40.397 --> 00:14:47.283]  I mean, I started seeing this weekend that Alex Jones made threats on David Hogg to poison his water.
[00:14:49.622 --> 00:14:51.724]  And that's why he's been taking off Facebook and YouTube.
[00:14:53.045 --> 00:14:53.945]  And I'm like, what?
[00:14:54.265 --> 00:15:01.791]  And then you see it, and like, Forbes saying I beat up a kid, and then not showing where the town was, when it happened, what the police report said.
[00:15:02.151 --> 00:15:07.295]  Just stuff they've always have to do, and it's in all these publications never showing it.
[00:15:07.455 --> 00:15:09.296]  It's next level lies.
[00:15:10.417 --> 00:15:13.820]  The likes of which I've never seen, I've never heard of.
[00:15:13.980 --> 00:15:18.543]  It just makes me ask, what in the world is going on, ladies and gentlemen?
[00:15:21.271 --> 00:15:29.513]  We're asking why, if you're watching TV, why I'm wearing my sunglasses.
[00:15:30.273 --> 00:15:31.434]  This happens every few years.
[00:15:31.514 --> 00:15:34.334]  I fall asleep on my face with your eye open on the pillow.
[00:15:34.354 --> 00:15:35.955]  You know, you wake up, your eye's stuck to the pillow.
[00:15:36.595 --> 00:15:42.216]  I got a big cut on my eye and it got infected and I look like a vampire or something.
[00:15:42.256 --> 00:15:43.937]  So the light hurts my eye.
[00:15:45.103 --> 00:15:46.444]  I've got these shades on.
[00:15:46.504 --> 00:15:48.686]  I'm not visually impaired.
[00:15:48.706 --> 00:15:49.606]  I better not say blind.
[00:15:49.626 --> 00:15:50.407]  That'll be hate speech.
[00:15:50.427 --> 00:15:52.368]  I'll be banned off the air show.
[00:15:52.849 --> 00:15:54.810]  Did you hear Alex Jones beat up a blind man today?
[00:15:54.890 --> 00:15:55.831]  That'll be the next thing.
[00:15:56.672 --> 00:15:58.173]  It's just, that's what they, it's just total lies.
[00:16:00.334 --> 00:16:02.656]  InfoWars Life is launching its newest product.
[00:16:02.676 --> 00:16:04.417]  We're really, really proud of it.
[00:16:04.838 --> 00:16:07.640]  It's a best source prebiotic fiber.
[00:16:08.766 --> 00:16:19.811]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[00:16:20.251 --> 00:16:29.355]  And it synergistically works with our 50 billion live active culture flora life as well as MycoZx that targets the yeast, the mold, and the funguses in the gut.
[00:16:29.855 --> 00:16:35.423]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[00:16:35.644 --> 00:16:40.791]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[00:16:41.072 --> 00:16:43.055]  And I'm doing this to introduce these products to you.
[00:16:43.355 --> 00:16:43.876]  Buy these!
[00:16:44.497 --> 00:16:45.378]  Sold out in a month!
[00:16:46.632 --> 00:16:49.414]  Strongest concentrated turmeric formula we could come up with.
[00:16:49.634 --> 00:16:51.015]  It sold out for another month and a half.
[00:16:51.675 --> 00:16:54.217]  We sold it at 50% off till it sold out.
[00:16:54.957 --> 00:16:56.939]  And I think it's gonna be the same way with this fiber.
[00:16:57.499 --> 00:16:59.801]  Get yours today at fullwarslife.com.
[00:17:00.021 --> 00:17:00.541]  Look at that.
[00:17:01.301 --> 00:17:03.243]  Everybody else is just like yellow or clear.
[00:17:03.283 --> 00:17:04.664]  That's because it's been denatured.
[00:17:04.684 --> 00:17:05.504]  It's been watered down.
[00:17:05.884 --> 00:17:06.645]  We didn't do that.
[00:17:08.283 --> 00:17:12.404]  You think I would metaphysically tell you something that is the very best I can get?
[00:17:12.824 --> 00:17:14.485]  I'd rather go to hell than do that.
[00:17:15.065 --> 00:17:23.607]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[00:17:24.088 --> 00:17:25.768]  What I do to you, I do to myself.
[00:17:25.808 --> 00:17:26.928]  Don't you get the big secret?
[00:17:27.589 --> 00:17:30.109]  You ever seen fish oil look like that?
[00:17:30.169 --> 00:17:31.270]  No, you've never seen that, have you?
[00:17:32.030 --> 00:17:34.851]  And this little jewel right here is solid.
[00:17:42.637 --> 00:17:43.879]  Look it up!
[00:17:43.979 --> 00:17:50.006]  Find out how even the FDA and the government admits fish oil is incredible.
[00:17:50.026 --> 00:17:54.892]  The number one thing anybody can do for themselves is take good fish oil or krill oil.
[00:17:55.373 --> 00:17:57.976]  Just like our information is dynamite, so are our products in 4store.com.
[00:18:00.157 --> 00:18:03.280]  The President of the United States is racist.
[00:18:03.981 --> 00:18:04.742]  He's a punk.
[00:18:05.702 --> 00:18:06.463]  He's a dog.
[00:18:07.264 --> 00:18:07.965]  He's a pig.
[00:18:08.105 --> 00:18:12.309]  And he can suck my f**king d**k. He's a con, a bullsh** artist, a mutt.
[00:18:12.429 --> 00:18:16.033]  Kiss my motherf**king ass, you big punk s**t.
[00:18:16.853 --> 00:18:20.457]  The President of the United States is a weak man.
[00:18:20.657 --> 00:18:22.799]  He's not only unfit to be President.
[00:18:22.899 --> 00:18:28.524]  In my book, his lack of empathy, his lack of leadership, his lack of courage, he's unfit to be human.
[00:18:28.564 --> 00:18:32.227]  He is clearly trying to ignite a civil war in this country.
[00:18:34.129 --> 00:18:35.290]  This is CNN.
[00:18:40.114 --> 00:18:44.140]  Donald J. Trump is president of the United States.
[00:19:02.961 --> 00:19:04.383]  Let's talk to Victor in Florida.
[00:19:04.423 --> 00:19:05.884]  Victor, you're calling.
[00:19:05.944 --> 00:19:06.285]  Go ahead.
[00:19:06.385 --> 00:19:06.705]  Yes.
[00:19:07.106 --> 00:19:07.847]  Hi, Alex.
[00:19:07.947 --> 00:19:14.154]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[00:19:14.374 --> 00:19:18.319]  I've ordered several of the products over and over because it's amazing.
[00:19:18.559 --> 00:19:20.000]  In particular, silver bullet.
[00:19:20.401 --> 00:19:30.228]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some silver bullet and it like, I'll still feel a little sick, but it won't last as long.
[00:19:30.308 --> 00:19:33.711]  And I just ordered the body, the alpha power, and the pollen block.
[00:19:34.011 --> 00:19:35.592]  Well, let me just say something, Victor.
[00:19:35.632 --> 00:19:43.458]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[00:19:43.478 --> 00:19:49.302]  But when you mention the Silver Bullet colloidal silver, it's got thousands of reviews, a 98% review.
[00:19:49.442 --> 00:19:54.766]  It is our highest-reviewed product, because it is from the top lab in the country, discounted, high-quality colloidal silver.
[00:19:54.846 --> 00:19:57.828]  It's not a silver bullet, but it's the closest thing you're going to find to a silver bullet.
[00:20:04.196 --> 00:20:08.379]  You're listening to the Alex Jones Show.
[00:20:22.509 --> 00:20:28.593]  Defending the Republic from enemies foreign and domestic, it's Alex Jones.
[00:20:39.614 --> 00:20:39.894]  Show!
[00:20:42.315 --> 00:20:52.580]  I want to lay something out right here in front of the whole world so people understand what is happening politically, culturally, economically, spiritually, genetically on this planet.
[00:20:53.801 --> 00:20:54.901]  And all of it's intertwined.
[00:20:57.842 --> 00:21:03.025]  Powerful corporate systems want control of the human life cycle.
[00:21:04.568 --> 00:21:07.049]  They want control of every action of humanity.
[00:21:07.069 --> 00:21:09.489]  They call it the final revolution.
[00:21:11.750 --> 00:21:25.593]  Where everything humans do naturally, the whole process of life, is put into an artificiality system, just like the Terminator seeds put out 30 years ago by Monsanto, that are child's play today.
[00:21:28.154 --> 00:21:34.565]  Where the plants no longer produce seeds that continue the life cycle, you've got to get new seeds out of the laboratory.
[00:21:36.508 --> 00:21:40.395]  It is a total scientific, cold-blooded, corporate takeover.
[00:21:42.278 --> 00:21:44.699]  And that's what all the transgenderism is.
[00:21:45.179 --> 00:21:47.180]  That's what all the attack on the family is.
[00:21:47.960 --> 00:21:50.741]  All of that is a takeover of civilization.
[00:21:51.321 --> 00:21:52.582]  A takeover of the life cycle.
[00:21:52.822 --> 00:22:03.746]  And the people that are into whatever the latest globalist fad is, to push the agenda, they are victims of it.
[00:22:05.527 --> 00:22:10.749]  So that when you criticize the system, they then personalize it and say, oh look, you're attacking this poor individual.
[00:22:12.554 --> 00:22:30.791]  This is a codified, declassified, long-term strategic plan that you can read about in the 1920s being developed by the Royal Commission in England and then being deployed by the UN by the 1960s in a global plan.
[00:22:30.891 --> 00:22:35.055]  We are living in this science fiction dystopic system.
[00:22:36.332 --> 00:22:44.456]  And humanity is trying to learn how this thing works, trying to struggle against it, pretty late in the game, but coming back late in the game.
[00:22:46.277 --> 00:22:49.219]  So I want to say something.
[00:22:49.239 --> 00:22:56.983]  I would obviously do some things differently in hindsight of how I said certain things or how I did certain things, but in the main,
[00:22:59.200 --> 00:23:01.981]  95% of what I've done, I would do it all over again.
[00:23:02.001 --> 00:23:06.823]  I would endorse Donald Trump three years ago, even stronger than I did.
[00:23:06.843 --> 00:23:25.350]  I would follow this course, because I know we're changing history for the better, and I know we're standing up against really, really twisted, selfish, anti-human individuals that think they're playing God, and who don't live by the same rules they want to foist upon us.
[00:23:25.530 --> 00:23:26.531]  And this is
[00:23:28.061 --> 00:23:31.464]  The epic battle for humanity taking place and transpiring right now.
[00:23:33.445 --> 00:23:47.317]  And no one else, other than President Trump, or maybe a Rand Paul, could tell you from the trenches and the experiences I've been in, how this thing works.
[00:23:47.397 --> 00:23:49.999]  And I learn more exponentially every day.
[00:23:50.519 --> 00:23:53.682]  And I have no fear for myself, or for InfoWars itself,
[00:23:56.016 --> 00:24:17.853]  I have true nauseating concern now that we haven't done a good enough job to wake people up because now I really know for sure my research and my fact-finding missions and all the interviews we did and the facts that we just stulted together just got massive chills.
[00:24:18.033 --> 00:24:24.438]  We're totally dead on except for we saw a mountain of evil and thought that was the evil.
[00:24:25.768 --> 00:24:32.195]  And then we scaled the peak and saw a mountain ten times bigger, and that this mountain was just the first wave.
[00:24:33.116 --> 00:24:38.701]  God, there may be something bigger on the other side of that, but God's gonna lift us up for those challenges for each.
[00:24:39.753 --> 00:24:42.353]  Wave we go over and then see a bigger tsunami.
[00:24:42.774 --> 00:24:44.374]  This is the animating contest.
[00:24:44.934 --> 00:24:45.514]  This is it.
[00:24:46.194 --> 00:24:52.095]  And I just hope folks out there can understand what we're facing and what we're dealing with.
[00:24:52.635 --> 00:25:02.017]  Because these are going to be the times that try men and women's souls and if you look at the public that are under leftist, globalist, corporate TV control.
[00:25:02.037 --> 00:25:03.597]  I mean TV is what's killing humanity.
[00:25:05.298 --> 00:25:06.838]  The shut-in society, the
[00:25:08.547 --> 00:25:12.410]  The passivity, the sedentariness, the brainwaves lowering.
[00:25:12.851 --> 00:25:18.455]  If you look at people that follow the system, they look like they're dead.
[00:25:18.815 --> 00:25:20.657]  They're not just physically in bad shape.
[00:25:22.799 --> 00:25:24.200]  They look shriveled.
[00:25:24.240 --> 00:25:26.202]  Their eyes are dead.
[00:25:26.942 --> 00:25:28.043]  There's nothing there.
[00:25:28.884 --> 00:25:29.885]  It's beyond sleep.
[00:25:29.965 --> 00:25:34.428]  They are being put into a trance to then be psychically fed on.
[00:25:34.909 --> 00:25:35.950]  The whole Bible's real.
[00:25:36.490 --> 00:25:37.311]  It's interdimensional.
[00:25:38.556 --> 00:25:41.458]  And this whole thing is anti-life, anti-human.
[00:25:42.879 --> 00:25:45.161]  The Earth is in the process of being killed right now.
[00:25:46.422 --> 00:25:52.086]  And they know you at a spiritual and intellectual level, and mathematical level, know that's happening.
[00:25:52.307 --> 00:25:53.748]  So they go, oh, the Earth's dying.
[00:25:54.048 --> 00:25:55.169]  We're the guardians of it.
[00:25:55.209 --> 00:25:56.650]  Let's cut the carbon dioxide off.
[00:25:56.830 --> 00:25:58.071]  That's the key to the whole life cycle.
[00:25:59.092 --> 00:26:02.935]  And they could actually clean the planet if we could boost it like it was in previous ages.
[00:26:04.936 --> 00:26:07.018]  The one thing that could really
[00:26:08.444 --> 00:26:09.265]  Clean the planet up.
[00:26:09.625 --> 00:26:11.506]  That is the regenerative system.
[00:26:11.546 --> 00:26:13.267]  It's not oxygen, it's carbon dioxide.
[00:26:13.547 --> 00:26:15.108]  And it's what's lowering really fast.
[00:26:15.829 --> 00:26:17.069]  The lowest levels ever recorded.
[00:26:17.650 --> 00:26:21.112]  You compare the numbers of the last century to a million years ago.
[00:26:21.632 --> 00:26:22.553]  10 million, 25 million.
[00:26:22.593 --> 00:26:25.074]  I mean, we're in a crisis and it's big.
[00:26:26.335 --> 00:26:31.959]  And the globalists are terraforming their geoengineering towards everything they say they're trying to stop.
[00:26:32.499 --> 00:26:34.661]  And so when you really pull back from this, it's big.
[00:26:36.340 --> 00:26:43.843]  They're so upset that a anti-Satanist, a pro-human, has gotten into the White House in the middle of their operation.
[00:26:44.083 --> 00:26:45.183]  They've got him walled off.
[00:26:45.784 --> 00:26:48.685]  He's only been able to do limited things to prove he can turn the economy around.
[00:26:49.285 --> 00:26:56.708]  But if Trump could just get into the real shadow government, you would be blown away.
[00:26:58.683 --> 00:26:59.203]  So that's it.
[00:26:59.463 --> 00:27:01.064]  Everybody's being targeted by this.
[00:27:01.144 --> 00:27:08.147]  I don't care if you're black or white or old or young or, you know, you're a transsexual or you're a whatever you are.
[00:27:09.848 --> 00:27:24.154]  This whole delusion about be whatever you want in an imaginary world is because they want you to imagine imaginary rights and they want you to think about crimes against humanity hundreds of years ago so that you don't recognize the crimes against humanity that are taking place now.
[00:27:32.546 --> 00:27:39.508]  This is... This is how the evil attacks.
[00:27:39.688 --> 00:28:02.175]  It does it by stealth, it does it through the culture, it does it through the water, the food, the chemicals, it does it through the whole program, and it gets a bunch of people full of anxiety, a bunch of people scared, because at their human gut level they know humanity's in a crisis, and then they misdirect it at the surface level onto people that are trying to turn the ship around and fix things, and say, you're full of anxiety, you've got Trump derangement syndrome,
[00:28:05.796 --> 00:28:14.321]  Because of Trump and Alex Jones, not because the whole globalist system was designed to make you a failure, and was designed to bring you down.
[00:28:15.802 --> 00:28:28.569]  So we have a lot of good things happening, and we have a lot of bad things happening, and we're going to break it all down coming up today, but if you want to know why they're really mad at InfoWars, it's little things like the top of InfoWars.com, the front page.
[00:28:29.410 --> 00:28:31.111]  You just click right there, save the internet,
[00:28:32.882 --> 00:28:36.783]  And it's the Adams report on the shadow bang and everything we put out two weeks ago.
[00:28:36.803 --> 00:28:39.903]  And you notice Congress, literally no one had written a report.
[00:28:39.923 --> 00:28:40.483]  We got it to them.
[00:28:41.064 --> 00:28:41.764]  You got it to them.
[00:28:41.784 --> 00:28:42.164]  You did that.
