[00:00:06.328 --> 00:00:07.488]  You have the power.
[00:07:07.418 --> 00:07:36.380]  The Director of National Intelligence, all of them are being criminally probed for the illegal spying on the Trump campaign, when the President wasn't just a candidate, when he was a nominee, when he was the President-elect, and they kept doing it even after he was President, with their stay-behind networks inside the 17 agencies, and they also
[00:07:37.728 --> 00:07:48.093]  Had human intelligence on the ground, not just the professor we exposed five days before anybody else, Halperin, but others.
[00:07:51.675 --> 00:08:05.062]  Going in and bringing up Russians and Russian influence at all these different public events when President Trump was a candidate, the nominee, president-elect, and then president.
[00:08:06.704 --> 00:08:17.766]  And over and over again, it comes out in all these meetings, they were rebuffed on being approached by the so-called Russian state, or by people that claimed that they wanted to talk to them about the Russians.
[00:08:19.887 --> 00:08:21.127]  They followed everything by the book.
[00:08:22.807 --> 00:08:34.170]  So then they took the President-elect's National Security Advisor, who it's customary on January 20th, right after the President's sworn in, is handed the football,
[00:08:35.111 --> 00:08:39.854]  The codes, they go in and have emergency meetings, they're updated on the latest information.
[00:08:41.015 --> 00:08:42.156]  That's what Trump did that day.
[00:08:42.216 --> 00:08:50.142]  And then General Flynn began calling all the different world leaders to line up meetings with the President, which is what you do over the telephone.
[00:08:51.322 --> 00:08:51.883]  That's what you do.
[00:08:51.923 --> 00:08:59.468]  You reach out to Russia and China and Britain and Germany and Mexico and Canada and Australia and Japan.
[00:08:59.728 --> 00:09:01.710]  That's what you do default.
[00:09:02.577 --> 00:09:15.542]  And the media turned all that into a circus and tried to get Flynn to give a false statement to the FBI about something, even though there's nothing illegal there, but just trip him up and make him make a mistake.
[00:09:15.983 --> 00:09:22.746]  And so they ended up getting him, folks, with threats of not having his paperwork filled out on Turkey lobbying.
[00:09:24.346 --> 00:09:25.807]  That's really why Flynn just pled guilty.
[00:09:25.827 --> 00:09:27.247]  He said, fine, I'm not going to defend any of this.
[00:09:27.267 --> 00:09:28.228]  I haven't done anything wrong.
[00:09:28.488 --> 00:09:29.889]  You want to put me in prison for something?
[00:09:29.909 --> 00:09:30.909]  Just make it up and do it.
[00:09:32.915 --> 00:09:33.455]  That's what happened.
[00:09:34.435 --> 00:09:39.776]  In the four years since he was the head of the Defense Intelligence Agency, he did lobbying.
[00:09:40.316 --> 00:09:41.617]  He went out and was a consultant.
[00:09:41.637 --> 00:09:43.137]  That's what retired generals do.
[00:09:45.017 --> 00:09:52.539]  And they went, oh, you might not have filled out an exact lobbying form right on this new regulation that came up in 2016.
[00:09:53.119 --> 00:09:58.300]  And he went, okay, no one's ever been charged with it.
[00:09:58.600 --> 00:09:59.920]  You don't even get fines for it.
[00:10:03.413 --> 00:10:05.114]  That's the type of stuff they've got on Flynn.
[00:10:05.154 --> 00:10:18.161]  So, if you go to CNN, it's just all these crazy articles about how dare President Trump meanly call for a criminal investigation of Obama.
[00:10:18.622 --> 00:10:30.288]  And then now the Justice Department announced today that indeed it's a criminal investigation and the mainstream corporate media has now gone into convulsions of fear.
[00:10:30.989 --> 00:10:31.749]  Because here's the deal.
[00:10:36.499 --> 00:10:44.505]  Clapper, the very arrogant criminal that told Congress twice under oath that the NSA spies on no one in the U.S.
[00:10:44.645 --> 00:10:44.845]  ever.
[00:10:47.547 --> 00:10:53.712]  Turns out Obama was already spying on Trump five years ago when Clapper made that statement.
[00:10:54.052 --> 00:10:55.233]  Trump was under full surveillance.
[00:10:55.253 --> 00:10:56.674]  This has all come out in the FISA Court.
[00:10:57.135 --> 00:11:02.579]  And the FISA Court's put out an emergency report last year to the president that's public that we covered.
[00:11:05.066 --> 00:11:08.769]  Remember Nunes called it the FISA memo and then he put out his report based on that?
[00:11:09.729 --> 00:11:28.802]  And the FISA memo lays out three instances where they illegally lied to get fake warrants to cover previous criminal investigations that were going on without warrants illegally.
[00:11:28.822 --> 00:11:30.824]  It's called parallel construction.
[00:11:32.159 --> 00:11:41.550]  Why do you think Mueller's subpoenaing now eight different Trump associates just last week and grabbing them off the street and interrogating them and then demanding all their emails and correspondence?
[00:11:41.810 --> 00:11:45.655]  They already have it from the Senate committee that investigated Stone.
[00:11:45.895 --> 00:11:52.203]  They already have it from the House committee, but they're having to parallel construct it because they already illegally have it.
[00:11:53.561 --> 00:11:59.983]  That's all been confirmed, so they have to now act like they got it from somebody else to try to use that in court against Stone.
[00:12:00.464 --> 00:12:06.866]  Even though there's nothing illegal there, they just want to try to find something that doesn't 100% match up.
[00:12:08.867 --> 00:12:22.112]  So, that is the point that we have gotten to in this country, where there is a criminal investigation that has been opened up
[00:12:23.277 --> 00:12:41.204]  Rightfully so, by the office of the Inspector General, not under the control of the President of the country, Rosenstein, and his deputy, the most dangerous man in America, the rogue Attorney General, who is completely compromised, and involved in a dereliction of duty.
[00:12:41.424 --> 00:12:52.008]  But the Inspector General is doing his job and following the President's directive, and has now launched a criminal investigation of Obama, and of the Hillary campaign,
[00:12:53.129 --> 00:12:54.350]  And we already have them.
[00:12:54.490 --> 00:13:04.775]  We already have Obama to the New York Times on January 8th, 9th, and 10th of 2017 saying, don't worry, we're going to bring Trump down.
[00:13:05.235 --> 00:13:06.476]  We've got the data.
[00:13:06.896 --> 00:13:09.257]  We've been monitoring him and his campaign.
[00:13:09.638 --> 00:13:11.138]  We know they did wrong.
[00:13:11.419 --> 00:13:15.241]  We know they're in bed with the Russians and others, and we're going to bring Trump down.
[00:13:15.381 --> 00:13:19.303]  That was put in the New York Times to go, look, the president, still sitting.
[00:13:20.387 --> 00:13:23.248]  Says, Trump's a criminal, he's a Russian.
[00:13:23.548 --> 00:13:31.350]  So that people in the CIA, the FBI, the NSA would go, okay, we'll keep spying on him, we'll stay where we are, we'll refuse his orders.
[00:13:31.850 --> 00:13:36.131]  And they came to him, this was even in the news, and said, do not follow the President's orders if he gets in.
[00:13:36.771 --> 00:13:37.992]  He'll be gone within a few months.
[00:13:38.652 --> 00:13:40.152]  Then a few months passed, he wasn't gone.
[00:13:40.552 --> 00:13:46.594]  Then Brennan and Clapper go on CNN and say, he will be gone by November, guaranteed.
[00:13:47.674 --> 00:13:49.175]  And then Will Blitzer goes, you mean impeachment?
[00:13:50.051 --> 00:13:53.235]  They said, no, extrajudicially.
[00:13:53.515 --> 00:13:58.141]  And Blitzer goes, wow, because this is the former head of the CIA and former head of national intelligence.
[00:14:01.285 --> 00:14:05.331]  And so they know this is speaking for the shadow government that Obama and John McCain were heading up.
[00:14:06.331 --> 00:14:08.012]  And so he took it like, wow, this is amazing.
[00:14:08.352 --> 00:14:10.153]  Just hold on, hold on to your places.
[00:14:10.233 --> 00:14:10.934]  We're gonna beat them.
[00:14:11.574 --> 00:14:12.355]  Hold on, hold on.
[00:14:12.415 --> 00:14:13.275]  Everything's PR.
[00:14:13.575 --> 00:14:31.807]  Suing Trump, suing me, saying Trump's a liar, saying the economy's falling apart, saying all of this, saying that mainstream media's winning is meant to make their people hold on in an impossible situation while they try to dig something up to remove Trump, but then they came up empty-handed.
[00:14:32.087 --> 00:14:35.329]  So they are now in one trillion percent panic mode.
[00:14:36.414 --> 00:14:40.879]  And when Trump keeps saying this is bigger than Watergate, it's true.
[00:14:41.760 --> 00:14:49.948]  That's why Clapper, famous perjurer, is saying that Trump's tweets are disturbing assault on Justice Department's independence.
[00:14:50.308 --> 00:14:53.291]  The Justice Department is under the executive and the president.
[00:14:53.972 --> 00:14:58.497]  The Justice Department has become rogue to the globalists.
[00:15:01.584 --> 00:15:30.351]  The Justice Department is running around with only a few people, Clinton and Obama stay-behinds, that are acting outside of their authority, and have the mainstream media saying it'll be this giant faux pas, this giant era of justice, this mafia criminal activity, if Trump does anything to these people, who are completely rogue, raiding his lawyer, leaking everything to the media, telling all these lies, going on TV saying the President better watch his mouth,
[00:15:31.852 --> 00:15:35.577]  But you can see the megalomania is draining out of their faces.
[00:15:36.197 --> 00:15:37.779]  They're now white as ghosts.
[00:15:38.280 --> 00:15:39.502]  They're now white as a sheep.
[00:15:40.963 --> 00:15:44.748]  As all of their criminal activity and the fact that Trump knew even
[00:15:45.714 --> 00:16:00.258]  During the campaign, when he wasn't doing illegal spying, he was doing counter-surveillance, legal surveillance of his communications and his systems, and they knew they were being followed, tracked, watched, and attempted infiltrated.
[00:16:00.699 --> 00:16:01.699]  You've been set up, Obama!
[00:16:06.724 --> 00:16:12.246]  Years ago, Info Wars Life created the powerful MycoZX formula to help you combat internal yeast.
[00:16:12.446 --> 00:16:20.048]  As the years went on, and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[00:16:20.308 --> 00:16:23.469]  MycoZX Plus is the result of the search for that formula.
[00:16:23.669 --> 00:16:28.752]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[00:16:28.932 --> 00:16:31.474]  There's no better product to help your body fight back.
[00:16:31.714 --> 00:16:40.719]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[00:16:40.859 --> 00:16:52.468]  Powered by an impressive list of ingredients, including Grapefruit Seed Extract, Pau Darko Bark, and Grape Seed Extract, our formula is fueled by ingredients that stood the test of time as powerful micro-balancing properties.
[00:16:52.709 --> 00:16:57.412]  Pick up a bottle of the new and improved Micro ZX Plus today at InfoWarsLife.com.
[00:16:57.532 --> 00:16:59.194]  That's InfoWarsLife.com.
[00:17:07.253 --> 00:17:10.355]  Let's go ahead and go to Lloyd in Washington.
[00:17:10.395 --> 00:17:10.915]  You're on the air.
[00:17:10.935 --> 00:17:12.096]  Thanks for holding.
[00:17:12.116 --> 00:17:12.956]  Mr. Alex Jones.
[00:17:13.156 --> 00:17:13.797]  Hey, brother.
[00:17:14.077 --> 00:17:14.437]  Good, man.
[00:17:14.457 --> 00:17:15.277]  Thank you for calling.
[00:17:15.358 --> 00:17:20.420]  Hey, I just wanted to say thanks for your products and everything that you're doing to try to save the country.
[00:17:20.620 --> 00:17:26.984]  I mean, I've tried your Secret 12, Super Male, Anthroplex, the Silver Bullet, Biome Defense, Micro ZX.
[00:17:27.004 --> 00:17:28.825]  I mean, it's all good stuff.
[00:17:28.925 --> 00:17:35.889]  Secret 12, if everybody would just drop their energy drinks and get some Secret 12, take a shot of that.
[00:17:36.169 --> 00:17:37.350]  That's the thing about Secret 12.
[00:17:37.410 --> 00:17:39.853]  Just a half a dropper has way more energy.
[00:17:39.893 --> 00:17:41.414]  People ask, why is it sweet?
[00:17:41.815 --> 00:17:43.396]  Real organic B12 is sweet.
[00:17:43.857 --> 00:17:44.597]  And exactly.
[00:17:44.617 --> 00:17:48.862]  When I'm super tired, I go, hey, why am I drinking coffee at 10 at night if I'm going on some show like Coast to Coast?
[00:17:49.222 --> 00:17:49.482]  Boom!
[00:17:49.622 --> 00:17:52.465]  Secret 12, 30 minutes later, massive energy.
[00:17:52.505 --> 00:17:53.046]  It's amazing.
[00:17:53.106 --> 00:17:54.407]  Yeah, that stuff will wake you up.
[00:17:54.467 --> 00:17:57.350]  And the clarity of mind that comes along with that is just amazing.
[00:18:02.625 --> 00:18:05.267]  We're going to continue to stand up for America.
[00:18:05.688 --> 00:18:10.832]  We are going to call BS on the mainstream media when they lie.
[00:18:11.493 --> 00:18:14.435]  This is the essence of InfoWars.
[00:18:14.856 --> 00:18:18.379]  This is why your trip to the InfoWars store is so vitally important.
[00:18:18.999 --> 00:18:30.288]  You see, we don't have any right-wing industrialists or multi-billionaires standing in the wings writing big checks to Alex Jones to subsidize our work here at InfoWars.
[00:18:30.909 --> 00:18:41.657]  We have to depend on the individual InfoWarrior, on men and women out there who believe in freedom, who believe in liberty, and believe in the message that we are delivering.
[00:18:41.977 --> 00:18:47.382]  You can support us by going to the InfoWars store and loading up on some of these terrific products.
[00:18:47.702 --> 00:18:50.986]  Take a look at our t-shirts, our books.
[00:18:51.526 --> 00:18:52.948]  It's a 360 win.
[00:18:53.328 --> 00:18:58.634]  When you buy the Super Blue Silver Moon Gargle, you're helping the fight for freedom.
[00:18:58.915 --> 00:19:00.276]  So please go to the site now.
[00:19:00.717 --> 00:19:02.299]  We need your support.
[00:19:02.759 --> 00:19:06.341]  Staying healthy on the go is just as important as staying healthy at home.
[00:19:06.741 --> 00:19:09.162]  But sometimes supplements don't work fast enough.
[00:19:09.462 --> 00:19:13.844]  That's why InfoWars Life has created a powerful new addition to the Super Blue line.
[00:19:14.284 --> 00:19:16.145]  Super Blue Silver Immune Gargle.
[00:19:16.685 --> 00:19:19.666]  Available in 1 oz., 3.5 oz., and 16 oz.
[00:19:19.706 --> 00:19:23.028]  bottles, Immune Gargle is perfect for the bathroom, kitchen,
[00:19:23.388 --> 00:19:24.229]  Or wherever you go.
[00:19:24.809 --> 00:19:31.035]  The incredible new purifying formula is dentist recommended for daily use whenever you feel like you need to stay clean.
[00:19:31.515 --> 00:19:39.102]  As a powerful hand purifier or oral cleansing formula, just a small spray will help you stay clean when you feel surrounded by toxins.
[00:19:39.643 --> 00:19:46.409]  With powerful, yet simple ingredients, Immune Gargle features Silver Soul Nano Silver for a powerful cleansing alternative.
[00:19:46.829 --> 00:19:51.452]  With Super Blue Silver Immune Gargle, staying toxin free is easy and affordable.
[00:19:52.012 --> 00:19:56.815]  Help stop the spread of toxins and stay healthy with Super Blue Silver Immune Gargle.
[00:19:57.315 --> 00:19:59.576]  Only available at Infowarslife.com.
[00:19:59.956 --> 00:20:01.997]  That's Infowarslife.com.
[00:20:06.380 --> 00:20:09.081]  You're listening to the Alex Jones Show.
[00:20:25.210 --> 00:20:31.111]  Coming to you from the former United States of America from deep in the heart of Texas.
[00:20:31.451 --> 00:20:33.372]  It's Alex Jones.
[00:20:45.301 --> 00:20:49.504]  A lot has gone on in the last year and a half since President Trump got into office.
[00:20:52.446 --> 00:21:09.377]  But when Trump talks about this being a scandal bigger than Watergate, a second-rate failed burglary spying on the psychiatrist of the Democrat nominee that Nixon was never even proven to have been running brought him down.
[00:21:11.658 --> 00:21:12.619]  On the case of
[00:21:13.865 --> 00:21:15.666]  This whole Russiagate situation.
[00:21:16.787 --> 00:21:23.712]  Obama was illegally spying on Trump and Hillary was illegal spying on Trump throughout the campaign.
[00:21:24.673 --> 00:21:29.836]  Trump was under NSA surveillance since 2010.
[00:21:30.957 --> 00:21:33.779]  The FBI is now admitting all of this.
[00:21:33.839 --> 00:21:35.160]  So that's the big takeaway.
[00:21:36.821 --> 00:21:37.722]  Quantifying this.
[00:21:38.422 --> 00:21:42.905]  The FBI is now confirming there was illegal spying, monitoring,
[00:21:43.851 --> 00:22:11.905]  Whatever you want to call it, the old terms wiretapping, but also physical infiltration, physical spying to track what the Trump campaign was doing, and to know what their next move would be politically, and they use the Russia investigation as the smokescreen for the major criminal political meddling that dwarfs anything we've ever seen in a fascist country or a third world banana republic.
[00:22:13.376 --> 00:22:23.421]  And that's the big takeaway here that Obama and Hillary and all the Clapper and Brennan were so arrogant they thought they'd spy on him illegally and beat him.
[00:22:24.441 --> 00:22:26.202]  Then when they failed they panicked.
[00:22:28.103 --> 00:22:34.746]  So they went public with their fake Russia investigation and hoped to find something that the public would buy.
[00:22:35.246 --> 00:22:37.447]  They came up empty-handed and the whole time
[00:22:38.891 --> 00:22:44.012]  Trump knew what was going on and was giving them rope when they testified before Congress.
[00:22:44.152 --> 00:22:44.552]  Mueller.
[00:22:44.932 --> 00:22:45.392]  Comey.
[00:22:46.572 --> 00:22:47.073]  Clapper.
[00:22:48.093 --> 00:22:48.593]  Brennan.
[00:22:49.833 --> 00:22:50.293]  Hayden.
[00:22:51.353 --> 00:22:53.294]  They are in deep, deep trouble.
[00:22:53.374 --> 00:23:05.036]  And so now, the FBI, the Justice Department are like, okay, there was an operation going back into the early days of the campaign, Operation Crossfire Hurricane.
[00:23:07.185 --> 00:23:15.009]  And they're saying national security, you cannot release it to the House and Senate intelligence committees, who have the highest security clearances.
[00:23:15.429 --> 00:23:26.215]  They're saying Rosenstein and all the rest of these people are saying, do not give this to Congress.
[00:23:26.295 --> 00:23:28.556]  And so Trump says, checkmate.
[00:23:29.940 --> 00:23:33.464]  The President is the final arbiter of what is classified and what isn't.
[00:23:33.965 --> 00:23:39.972]  Under the Constitution, the President can go meet with the Russians, the Chinese, anybody, and give them launch codes.
[00:23:40.873 --> 00:23:45.478]  Now, it'd be up to Congress to impeach him over that, but the point is, they've got the power to at least execute that.
[00:23:45.858 --> 00:23:47.721]  That's how Obama sold us out to foreign powers.
[00:23:47.741 --> 00:23:48.722]  That's how he opened the borders.
[00:23:51.894 --> 00:23:55.115]  So we first reported on Operation Crossfire Hurricane.
[00:23:55.275 --> 00:23:58.555]  We first reported on Professor Halperin, Stefan Halperin.
[00:23:59.136 --> 00:24:00.796]  We first reported on all of it.
[00:24:01.596 --> 00:24:05.237]  We first reported on eight Trump associates grabbed last week.
[00:24:05.637 --> 00:24:14.419]  You won't hear about it for days, because the media is so dutiful, they've got to wait till they hear from John Podesta and Hillary and Mueller, who are still in charge of the media.
[00:24:15.239 --> 00:24:20.200]  And when they decide what to do, you will then hear the new talking point.
[00:24:20.998 --> 00:24:22.279]  There's no filter here, folks.
[00:24:22.860 --> 00:24:23.580]  There's no filter here.
[00:24:23.981 --> 00:24:27.404]  By the way, Roger Stone talked to a high-level economist in the White House.
[00:24:27.424 --> 00:24:29.626]  I'm sure a lot of you can guess.
[00:24:29.646 --> 00:24:37.593]  A high-level economist that Roger was very supportive of for the new job of the economic head, economic czar.
[00:24:39.495 --> 00:24:44.259]  And guess, ladies and gentlemen, what an individual told Roger last week.
[00:24:45.080 --> 00:24:47.382]  When the new quarterly numbers come out,
[00:24:52.401 --> 00:24:56.223]  Right now, it's estimated to be at 4 to 4.1.
[00:24:58.904 --> 00:25:00.946]  What are the Democrats going to do when that comes out?
[00:25:01.566 --> 00:25:06.008]  They are going to crap their collective big boy pants.
[00:25:08.710 --> 00:25:10.631]  You can feel the tide turn, folks.
[00:25:10.991 --> 00:25:11.411]  It's turned.
[00:25:12.992 --> 00:25:13.572]  Trump's winning.
[00:25:13.732 --> 00:25:14.493]  America's winning.
[00:25:14.553 --> 00:25:15.033]  We're winning.
[00:25:15.113 --> 00:25:15.813]  Here's the problem.
[00:25:17.834 --> 00:25:20.356]  For those of us on the front lines, like myself,
[00:25:21.556 --> 00:25:22.877]  They are coming for us.
[00:25:23.778 --> 00:25:25.239]  But it's a necessary sacrifice.
[00:25:25.960 --> 00:25:27.581]  Pawn sacrifice is what it's all about.
[00:25:28.382 --> 00:25:29.283]  It's called a gambit.
[00:25:29.643 --> 00:25:30.644]  It's called stratagem.
[00:25:31.004 --> 00:25:31.745]  It's called victory.
[00:25:32.506 --> 00:25:35.328]  And I believe InfoWars will make it through this even stronger.
[00:25:35.428 --> 00:25:36.129]  But know this.
[00:25:37.830 --> 00:25:39.112]  It's the path I've chosen.
[00:25:40.433 --> 00:25:42.034]  And so I'm a winner one way or the other.
[00:25:42.054 --> 00:25:42.715]  I want that clear.
[00:25:43.660 --> 00:25:50.146]  They're not taking my victory away from me if they kill me, or set me up, or put me in prison, or bankrupt us, or whatever, and then going, oh look, we beat him.
[00:25:50.206 --> 00:25:50.366]  No!
[00:25:51.207 --> 00:25:52.188]  I'm taking you down.
[00:25:53.329 --> 00:25:55.331]  I have chosen this kamikaze attack.
[00:25:56.532 --> 00:25:57.874]  So let's get that straight, globalists.
[00:26:00.396 --> 00:26:01.837]  These people are such sociopaths, though.
[00:26:01.857 --> 00:26:02.798]  They're so self-centered.
[00:26:03.564 --> 00:26:04.665]  They think I'm like them.
[00:26:04.865 --> 00:26:06.406]  I'll never be like you.
[00:26:06.587 --> 00:26:07.667]  I'm about destiny.
[00:26:07.688 --> 00:26:09.369]  I'm about changing the world.
[00:26:09.429 --> 00:26:12.271]  I'm about my life really meaning something for good.
[00:26:12.872 --> 00:26:13.693]  That's the value.
[00:26:15.514 --> 00:26:16.195]  That's what I want.
[00:26:18.036 --> 00:26:19.417]  So, why are we under attack?
[00:26:20.198 --> 00:26:22.240]  I've got to get more crew in here just to be archivist.
