[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[00:03:46.833 --> 00:03:49.596]  But I'm glad that Roger's going over there to do that.
[00:03:50.136 --> 00:03:50.917]  The invitation's open.
[00:03:50.937 --> 00:03:52.879]  I'll probably go do that sometime as well.
[00:03:54.980 --> 00:04:07.087]  Why not just give you kind of a little foretaste of what I intend, when I speak someplace like Oxford, to say here on air?
[00:04:07.127 --> 00:04:13.291]  Because it has an anglophilic vein through it.
[00:04:13.671 --> 00:04:16.073]  It's a particular speech I would give in England.
[00:04:17.165 --> 00:04:20.707]  But then I was thinking about that speech that I would give in England that I never gave because I didn't go.
[00:04:20.727 --> 00:04:25.390]  And I was thinking about, well, why not just give that speech here today?
[00:04:25.450 --> 00:04:27.271]  So I never wrote the speech.
[00:04:27.331 --> 00:04:28.011]  It's in my head.
[00:04:28.352 --> 00:04:32.334]  But you're going to get that speech coming up at the bottom of the hour.
[00:04:32.794 --> 00:04:37.219]  I'm even thinking about putting a lectern in, in an area here in one of our new studios, where I can go give speeches.
[00:04:37.640 --> 00:04:52.736]  Just think about being in a lectern, and maybe even have a studio audience in sometimes, and to do that, because as folks know, I haven't given a lot of speeches in years, but I did previously, and folks, that's particularly where I shine, is to a large group or audience.
[00:04:53.057 --> 00:04:54.038]  We'll be back, stay with us.
[00:04:57.958 --> 00:05:02.023]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:05:02.664 --> 00:05:13.096]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:05:13.977 --> 00:05:18.340]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:05:18.780 --> 00:05:26.744]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:05:27.184 --> 00:05:34.549]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:05:34.909 --> 00:05:36.870]  Wake up refreshed and take on the day.
[00:05:37.330 --> 00:05:44.837]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:05:45.277 --> 00:05:48.660]  Get the sleep you deserve and experience the power of knockout.
[00:05:48.961 --> 00:05:53.004]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:05:53.345 --> 00:05:54.906]  That's InfoWarsLife.com.
[00:06:12.860 --> 00:06:18.945]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:06:23.689 --> 00:06:26.691]  Ladies and gentlemen, I am your host Alex Jones.
[00:06:26.711 --> 00:06:28.132]  We're gonna be here for the next two hours.
[00:06:28.192 --> 00:06:29.813]  Thank you so much for joining us.
[00:06:29.853 --> 00:06:32.555]  This is the live Sunday transmission.
[00:06:32.576 --> 00:06:33.816]  I've been doing this for 10 years.
[00:06:35.320 --> 00:06:37.281]  10 years here in the Sunday slot, 4 to 6 p.m.
[00:06:37.662 --> 00:06:40.484]  Then, of course, the weekday transmission, 11 a.m.
[00:06:40.604 --> 00:06:41.284]  to 3 p.m.
[00:06:41.324 --> 00:06:41.704]  Central.
[00:06:42.025 --> 00:06:43.586]  Been doing that for 20 years.
[00:06:43.666 --> 00:06:45.547]  I've been on air for 23 years.
[00:06:46.187 --> 00:06:49.890]  It'll be 23 years coming up in April.
[00:06:51.811 --> 00:06:52.111]  Wow!
[00:06:52.211 --> 00:06:52.912]  Where to start?
[00:06:54.773 --> 00:07:00.997]  When you're embedded in the news and you really pay attention to what's going on and you actually know the facts versus
[00:07:02.984 --> 00:07:07.467]  What the mainstream corporate media is saying, and you see their talking points, it's really frustrating.
[00:07:07.847 --> 00:07:12.730]  And I know most Americans have caught the lies, the propaganda, the twisting for themselves.
[00:07:14.110 --> 00:07:17.753]  But so much of the real brainwashing goes on inside entertainment.
[00:07:18.453 --> 00:07:30.000]  And have you ever asked why the so-called left, really the modern authoritarians, posing as liberals, are so willing to censor the internet now, and so willing to try to shut down everybody's free speech with their own?
[00:07:31.041 --> 00:07:35.204]  It's because it's what the modern left has done the last hundred years all over the world.
[00:07:35.224 --> 00:07:36.545]  They always shut down free speech.
[00:07:36.565 --> 00:07:38.506]  Look at Venezuela and it's collapsed right now.
[00:07:38.546 --> 00:07:40.167]  Look at so many other leftist countries.
[00:07:40.187 --> 00:07:46.092]  They always end in barbarous, cutthroat, freebooting, road warrior-like collapse.
[00:07:48.373 --> 00:08:00.542]  But particularly, we've seen the bullying in Hollywood, the bullying in mainline newspapers, the bullying in mainline TV, where anybody
[00:08:02.130 --> 00:08:10.318]  Who is even mildly nationalistic, mildly free market, gets attacked, gets demonized, doesn't get booked on shows, doesn't get written about.
[00:08:10.598 --> 00:08:13.701]  They try to publish their books, and the publishers dump them.
[00:08:14.442 --> 00:08:15.062]  Like Milo.
[00:08:16.143 --> 00:08:26.193]  They learn that Neil Strauss, one of the top writers, wants to publish a big book with me, and they found out about the secret.
[00:08:28.038 --> 00:08:36.804]  Shopping of the book, and CNN came out and said, we've absolutely got to, you know, shut this down, not let Alex Jones publish this book.
[00:08:36.844 --> 00:08:37.565]  They're incredible.
[00:08:39.706 --> 00:08:50.534]  And so you see Jay-Z, worth hundreds of millions of dollars, coming out complaining about Trump, saying he's a racist with no evidence of it, when it's Jay-Z being the racist.
[00:08:51.914 --> 00:08:55.578]  And Trump responds back, hey, we've got the lowest black unemployment ever.
[00:08:56.459 --> 00:09:08.433]  I am directly meeting with black leaders across the Rust Belt to get massive investment targeted into those neighborhoods with incentives for high paying training and jobs.
[00:09:09.855 --> 00:09:10.596]  I mean, we're talking about
[00:09:11.903 --> 00:09:19.269]  Starting $50,000 a year, $60,000, $70,000, $80,000, $100,000 a year with chances into management, which isn't like affirmative action.
[00:09:19.329 --> 00:09:28.256]  Pay somebody to sit at home and watch TV and have kids that then get involved in drugs and crime and create a cycle of prisons and poverty, which they admit is going on.
[00:09:28.656 --> 00:09:29.797]  This is the real deal.
[00:09:29.857 --> 00:09:31.578]  This is direct investment.
[00:09:34.180 --> 00:09:38.864]  And you see the so-called black leaders, which are a bunch of hip-hop stars and people like that.
[00:09:40.322 --> 00:09:41.383]  Out there race baiting.
[00:09:41.423 --> 00:09:42.664]  It's truly sickening.
[00:09:42.684 --> 00:09:44.165]  And then Michael Moore lays in.
[00:09:44.285 --> 00:09:49.128]  And it's crazy to see how upset they are that all of this is happening.
[00:09:49.168 --> 00:09:49.448]  Here it is.
[00:09:49.869 --> 00:09:52.530]  Unhinged Michael Moore assails Trump.
[00:09:52.811 --> 00:09:54.832]  Unfit narcissist sociopath.
[00:09:55.212 --> 00:09:56.133]  Threat to humanity.
[00:09:56.553 --> 00:09:57.934]  That's just the latest stuff right there.
[00:09:59.655 --> 00:10:04.879]  And the censorship comes in with a big top star.
[00:10:04.959 --> 00:10:06.980]  In fact, I guess they say she's the top star.
[00:10:08.341 --> 00:10:08.762]  Period.
[00:10:09.875 --> 00:10:10.275]  Out there.
[00:10:11.336 --> 00:10:13.056]  And of course, everybody knows who I'm talking about.
[00:10:13.997 --> 00:10:16.718]  She won't get into all of this.
[00:10:17.258 --> 00:10:22.420]  She won't join in to all of the endless hating and the rest of it.
[00:10:22.740 --> 00:10:23.440]  Taylor Swift.
[00:10:25.621 --> 00:10:29.462]  So, I was reading what the mainstream news and people say about her.
[00:10:30.022 --> 00:10:31.723]  She's aggressively white.
[00:10:33.424 --> 00:10:36.885]  She needs to apologize for the fact that she's even white.
[00:10:38.550 --> 00:10:48.615]  And because she won't attack the president, they're now trying to boycott her and shut down her shows when she's the highest grossing beyond the Beatles, beyond George Strait.
[00:10:48.895 --> 00:10:52.237]  First George Strait broke the Beatles record, and now it's Taylor Swift.
[00:10:53.098 --> 00:11:03.943]  And she's number one, she's apolitical for people that want escapism, and because of that, there's a big move to try to shut her down because she's white.
[00:11:04.383 --> 00:11:07.425]  That is incredible racism.
[00:11:08.848 --> 00:11:09.228]  I don't know.
[00:11:28.783 --> 00:11:33.008]  They're like, hey, you better join us politically, or we're going to call you aggressively white.
[00:11:33.168 --> 00:11:35.651]  And it's white people that are driving this.
[00:11:35.771 --> 00:11:36.372]  It's incredible.
[00:11:36.833 --> 00:11:37.934]  They're looking at demographics.
[00:11:37.954 --> 00:11:41.618]  They're racist white people who use race to control.
[00:11:42.519 --> 00:11:43.180]  A true racist.
[00:11:44.001 --> 00:11:44.842]  Isn't even believing it.
[00:11:44.882 --> 00:11:47.906]  They're just using it for balkanization and control issues.
[00:11:49.437 --> 00:12:02.666]  They then know that classical Americans are good people and aren't racist, so they can bully us, and they say, you will do what we say, you will pick up our political views, or we will attack you, even if you don't say anything political.
[00:12:02.946 --> 00:12:04.327]  You are our slave.
[00:12:06.108 --> 00:12:11.452]  Taylor Swift has no fear of bullies on the left.
[00:12:12.790 --> 00:12:13.831]  It's out of the Herald Sun.
[00:12:14.151 --> 00:12:21.495]  The bullying of Taylor Swift for the egregious crime of not publicly supporting Hillary Clinton or denouncing Donald Trump has entered its third year.
[00:12:21.855 --> 00:12:29.860]  Despite unrelenting pressure, Swift refuses to become an overtly political feminist pet who obediently regurgitates lefty talking points.
[00:12:30.281 --> 00:12:33.162]  For this sin, the singer-songwriter has paid a heavy price.
[00:12:33.322 --> 00:12:35.684]  She's been labeled aggressively white.
[00:12:36.656 --> 00:12:43.719]  Linked to Neo-Nazis and accused of being a messenger, these are quotes, for a disturbing new era.
[00:12:45.500 --> 00:12:56.525]  Last week she was criticized by BuzzFeed, that's the PPgate people, the fake news kings, for not taking part in a second annual Women's March, aka the world's longest post-election tantrum.
[00:12:57.045 --> 00:13:02.908]  Another BuzzFeed hit piece blamed Swift for having white supremacist fans and claimed that she is intrinsically
[00:13:04.741 --> 00:13:06.402]  Likened to whiteness and privilege!
[00:13:08.083 --> 00:13:11.205]  And I'm gonna stop there as they move forward with trying to shut her down.
[00:13:11.445 --> 00:13:15.507]  But don't worry, Katy Perry and Beyoncé and Lady Gaga, they'll all play along.
[00:13:15.848 --> 00:13:21.251]  Miley Cyrus while they degrade women and everybody else and cover up for Hollywood's incredible crimes.
[00:13:21.571 --> 00:13:28.375]  Then you watch these women's marches that love Hillary when she's the poster child of covering up men abusing women, raping women.
[00:13:29.781 --> 00:13:34.824]  And Sharon Stone is in the news saying, Harvey Weinstein, you know, you don't give somebody the death penalty for a parking ticket.
[00:13:34.844 --> 00:13:35.384]  That's a quote.
[00:13:36.044 --> 00:13:50.512]  We've got dozens of witnesses, people that are credible, like his chauffeur, like his butlers, saying he would jump on top women, small women's what he likes, like 100 pounds, and rape them with them begging and pleading with their legs back behind their ears.
[00:13:51.272 --> 00:13:52.254]  That's what rape is.
[00:13:52.515 --> 00:13:54.680]  When you're a big man and you force yourself on a woman.
[00:13:54.880 --> 00:13:56.965]  That's rape, rape, rape.
[00:13:57.225 --> 00:13:58.067]  And I got three daughters.
[00:13:58.328 --> 00:14:00.993]  You rape one of my daughters, you're not gonna have to wait for the police to come.
[00:14:02.319 --> 00:14:09.242]  You know, it's better for you to know that it's better to be tried by nine than carried by six.
[00:14:09.262 --> 00:14:10.603]  And that's what's going to happen to you.
[00:14:10.623 --> 00:14:11.763]  You're going to be getting carried by six.
[00:14:12.264 --> 00:14:13.024]  You touch my daughters.
[00:14:13.064 --> 00:14:16.446]  The point is, is these people signal, signal, signal, signal, signal.
[00:14:16.726 --> 00:14:25.370]  Well, Oprah is bringing people in to basically be thrown at Weinstein.
[00:14:25.410 --> 00:14:31.793]  They say it's like, I thought it'd be safe because Oprah's there and all of a sudden she turns me over to Weinstein.
[00:14:33.490 --> 00:14:42.914]  We're going to talk more about this when we come back from break, but Vanity Fair has photoshopped a male actor out because a girlfriend said once he forced her head down too forcefully.
[00:14:43.574 --> 00:14:44.574]  In consensual sex.
[00:14:44.794 --> 00:14:48.716]  I'm not defending, who knows, it's Hollywood, the thing's a cesspool, it's a latrine.
[00:14:49.956 --> 00:14:53.398]  But oh, they left Oprah in the photoshop.
[00:14:54.458 --> 00:14:54.818]  You see?
[00:14:55.798 --> 00:14:56.419]  We'll show you that.
[00:14:57.264 --> 00:14:57.664]  We're good to go.
[00:15:18.018 --> 00:15:19.479]  Saying, oh yeah, we're the bitches.
[00:15:19.519 --> 00:15:20.479]  We're the nasty women.
[00:15:20.519 --> 00:15:21.800]  Yeah, let's go, bitches.
[00:15:22.421 --> 00:15:24.722]  And that's what the women say in these marches.
[00:15:24.782 --> 00:15:25.482]  We hate men.
[00:15:25.502 --> 00:15:26.583]  We're nasty.
[00:15:27.383 --> 00:15:28.644]  We're into being gross.
[00:15:28.764 --> 00:15:30.785]  We're into being selfish.
[00:15:31.426 --> 00:15:32.466]  We don't want to be appealing.
[00:15:32.766 --> 00:15:33.707]  We want to be ugly.
[00:15:33.727 --> 00:15:35.188]  And that's why studies show
[00:15:35.868 --> 00:15:37.049]  Liberals are seen.
[00:15:37.369 --> 00:15:41.612]  Five to one is more ugly than conservatives across the board in every culture.
[00:15:41.632 --> 00:15:44.133]  And we've got those documents coming up as well.
[00:15:44.173 --> 00:15:46.335]  But the big news is also coming up.
[00:15:46.675 --> 00:15:49.857]  Trump ignores DOJ warning once FISA memo released.
[00:15:50.417 --> 00:15:50.998]  Stay with us.
[00:15:51.058 --> 00:15:52.659]  And the State of the Union is coming up as well.
[00:15:53.019 --> 00:15:54.080]  Infowars.com.
[00:15:56.411 --> 00:15:58.212]  Joel Gilbert joins us for the balance of the hour.
[00:15:58.272 --> 00:16:02.816]  Here is the trailer for the powerful new film available at Infowarsstore.com.
[00:16:03.597 --> 00:16:05.278]  Trump, the art of the insult.
[00:16:05.318 --> 00:16:07.760]  Directed by the amazing director, Joel Gilbert.
[00:16:07.800 --> 00:16:08.640]  Here is the trailer.
[00:16:09.101 --> 00:16:13.324]  Call women you don't like fat pigs, dogs, slobs.
[00:16:14.225 --> 00:16:15.626]  Only Rosie O'Donnell.
[00:16:17.327 --> 00:16:19.068]  And they said that wasn't politically correct.
[00:16:19.108 --> 00:16:19.609]  Who cares?
[00:16:23.243 --> 00:16:24.263]  You haven't been called.
[00:16:26.144 --> 00:16:27.184]  Go back to Univision.
[00:16:27.364 --> 00:16:29.944]  I think Jeff is a nice person.
[00:16:29.984 --> 00:16:31.005]  He's very low energy.
[00:16:31.185 --> 00:16:35.546]  I'm not used to that kind of a person.
[00:16:35.646 --> 00:16:36.126]  Throw him out.
[00:16:36.366 --> 00:16:37.226]  Throw him out into the cold.
[00:16:37.246 --> 00:16:40.047]  Don't give him their coat.
[00:16:41.447 --> 00:16:43.047]  No coats.
[00:16:43.407 --> 00:16:44.768]  L-Y-I-N apostrophe.
[00:16:44.848 --> 00:16:46.168]  Lying dead.
[00:16:50.563 --> 00:16:53.664]  I have never seen a human being eat in such a disgusting fashion.
[00:16:53.684 --> 00:16:54.924]  The most dishonest human beings.
[00:16:54.964 --> 00:16:58.325]  These people right here.
[00:16:58.345 --> 00:17:01.686]  Look at all the cameras.
[00:17:01.706 --> 00:17:04.646]  So disgusting.
[00:17:04.666 --> 00:17:06.447]  This socialist slash communist.
[00:17:06.867 --> 00:17:07.747]  Crazy murder.
[00:17:07.807 --> 00:17:09.327]  He's crazy as it may look.
[00:17:11.828 --> 00:17:12.548]  Pocahontas?
[00:17:12.588 --> 00:17:13.428]  The Indian?
[00:17:13.628 --> 00:17:14.568]  Very offensive.
[00:17:14.689 --> 00:17:15.889]  I'm sorry about that.
[00:17:15.909 --> 00:17:16.609]  Pocahontas?
[00:17:18.983 --> 00:17:19.624]  Crooked Hillary!
[00:17:19.704 --> 00:17:20.885]  Crooked Hillary, folks!
[00:17:20.925 --> 00:17:22.987]  She's been crooked from the beginning.
[00:17:28.371 --> 00:17:28.952]  Crooked Hillary!
[00:17:28.992 --> 00:17:32.375]  Politicians are really dishonest.
[00:17:32.475 --> 00:17:35.898]  Donald Trump alleges that my dad was involved in assassinating JFK.
[00:17:35.918 --> 00:17:37.639]  This had nothing to do with me.
[00:17:37.959 --> 00:17:39.321]  Except I might have pointed it out.
[00:17:41.454 --> 00:17:43.577]  This guy was sweating so badly.
[00:17:43.737 --> 00:17:45.560]  Thank God he has really large ears.
[00:17:45.580 --> 00:17:46.922]  The biggest ears I've ever seen.
[00:17:47.623 --> 00:17:49.185]  Because they were protecting him.
[00:17:49.285 --> 00:17:50.206]  I'm trying to be nice.
[00:17:50.246 --> 00:17:51.728]  You know, I'm working hard to be nice.
[00:17:53.030 --> 00:17:54.632]  He was begging for my endorsement.
[00:17:54.873 --> 00:17:56.675]  I could have said, Mitt, drop to your knees.
[00:17:56.715 --> 00:17:57.857]  He would have dropped to his knees.
[00:17:59.608 --> 00:18:02.049]  He put glasses on so people will think he's smart.
[00:18:02.189 --> 00:18:02.890]  It just doesn't work.
[00:18:02.950 --> 00:18:05.090]  You know, people can see through the glasses.
[00:18:05.191 --> 00:18:08.052]  I'll make three or four major speeches.
[00:18:08.072 --> 00:18:10.873]  He makes a speech for 15 minutes, he goes home, goes to bed.
[00:18:12.014 --> 00:18:13.674]  We live off Chinese manufacturing.
[00:18:13.694 --> 00:18:17.396]  That's because when you say we, you are stupid.
[00:18:17.676 --> 00:18:18.617]  Repeat after me.
[00:18:18.637 --> 00:18:21.458]  Donald, you're not going to be able to insult your way to the presidency.
[00:18:21.518 --> 00:18:22.878]  That's not going to happen.
[00:18:23.419 --> 00:18:24.239]  So help me God.
[00:18:24.559 --> 00:18:25.900]  Congratulations, Mr. President.
[00:18:31.977 --> 00:18:35.004]  We will make America great again!
[00:18:36.247 --> 00:18:37.289]  Go home to mommy.
[00:18:37.650 --> 00:18:38.873]  Don't want to tuck you in bed.
[00:18:39.154 --> 00:18:40.697]  And your mother is voting for Trump!
[00:18:42.071 --> 00:18:43.292]  You made a lot of amazing films.
[00:18:43.312 --> 00:18:44.073]  We carried them all.
[00:18:44.353 --> 00:18:44.973]  We sell them all.
[00:18:44.993 --> 00:18:45.734]  They're all groundbreaking.
[00:18:45.754 --> 00:18:47.536]  But this one, this one is fun.
[00:18:48.216 --> 00:18:49.477]  And very, very celebratory.
[00:18:49.517 --> 00:18:52.039]  So, congratulations on what you've done.
[00:18:52.059 --> 00:18:52.900]  It's really a special film.
[00:18:54.001 --> 00:18:54.461]  Thanks a lot.
[00:18:54.501 --> 00:18:59.305]  Look, I urge everyone, you gotta get this film in the Infowars.com store.
[00:19:00.106 --> 00:19:02.788]  First of all, you'll laugh non-stop the whole time.
[00:19:03.429 --> 00:19:06.111]  But more importantly, there's a lot of important lessons.
[00:19:06.671 --> 00:19:19.198]  You'll see how Middle America fell in love with a Manhattan billionaire because he was the only one of the Republicans that was willing and capable of standing up to Hillary and the leftist media complex.
[00:19:19.498 --> 00:19:22.659]  And he did it, don't forget, with a mix of truth and humor.
[00:19:22.699 --> 00:19:23.680]  That's why it stuck.
[00:19:23.880 --> 00:19:28.903]  So this film, 95 minutes of non-stop laughter, but you get to know Donald Trump.
[00:19:29.063 --> 00:19:29.983]  I thought I knew Trump.
[00:19:30.083 --> 00:19:30.904]  I studied Trump.
[00:19:31.364 --> 00:19:32.064]  I thought I knew him.
[00:19:32.585 --> 00:19:35.386]  Only when you see this all back to back, how he reacts.
[00:19:35.966 --> 00:19:37.127]  You're listening to the Alex Jones Show.
[00:20:24.642 --> 00:20:29.786]  From the front lines of the Information War, it's Alex Jones.
[00:20:34.390 --> 00:20:35.891]  We are back live, ladies and gentlemen.
[00:20:35.911 --> 00:20:38.192]  I want to get into the big news dealing with the...
[00:20:40.074 --> 00:20:43.715]  Secret FISA memo that could be released as early as tomorrow.
[00:20:43.775 --> 00:20:44.516]  The State of the Union.
[00:20:44.536 --> 00:20:46.336]  Just huge news on that front.
[00:20:46.456 --> 00:20:49.637]  Breaking exclusive intel on the secrets of QAnon.
[00:20:50.197 --> 00:20:53.879]  One of these intelligence sources that's been proven to be frighteningly accurate.
[00:20:54.699 --> 00:20:58.360]  We'll have Dr. Corsi coming up at the end of the broadcast for two segments.
[00:20:58.800 --> 00:20:59.881]  Breaking that down here.
[00:20:59.961 --> 00:21:00.741]  It's all coming up.
[00:21:01.889 --> 00:21:04.691]  But just getting back in to the hypocrisy of Hollywood.
[00:21:05.452 --> 00:21:11.116]  I know all of us listening, most of us, are aware that Hollywood's a cesspool, that they're hypocrites, that they're out of control.
[00:21:12.037 --> 00:21:20.824]  But again, Hollywood knew about Harvey Weinstein for decades, reportedly raping scores of women, not just abusing them.
[00:21:21.920 --> 00:21:22.240]  I don't know.
[00:21:41.857 --> 00:21:44.100]  Says Weinstein used Oprah as bait for sex.
[00:21:44.220 --> 00:21:47.764]  Actors say Oprah duped her into thinking Weinstein would help her career.
[00:21:48.405 --> 00:21:59.157]  So it's well known that she was a prostitute, Oprah, that Oprah hires prostitutes, that Oprah is a lesbian, which, again, I'm not attacking her for that, I'm just, that's the facts, and that
[00:22:00.518 --> 00:22:03.620]  She's at the very core of the elite of Hollywood.
[00:22:03.660 --> 00:22:04.300]  What's that tell you?
[00:22:04.840 --> 00:22:07.121]  Oh, but did Vanity Fair... Let's put it on screen for TV viewers.
[00:22:07.461 --> 00:22:13.324]  Did Vanity Fair photoshop her out of the latest issue coming out?
[00:22:14.345 --> 00:22:17.286]  With all of these other Hollywood
[00:22:19.422 --> 00:22:25.368]  I mean all of these Trump haters who just go out and virtue signal and try to stop the economy coming back.
[00:22:25.448 --> 00:22:30.554]  Tom Hanks and of course other losers like Robert De Niro that said Trump would never be president.
[00:22:30.594 --> 00:22:31.895]  He's a punk and wants to beat him up.
[00:22:32.396 --> 00:22:33.377]  Harrison Ford.
[00:22:33.857 --> 00:22:36.640]  I mean who could go see any movies these losers are in?
[00:22:36.940 --> 00:22:40.885]  And right there there's Oprah with women sexually all over her.
[00:22:42.097 --> 00:22:51.162]  One woman's between her legs, other woman's got her breast shoved in her face, and they're letting you know who the goddess is right there, with all the little goddesses attached to her like harpies.
[00:22:51.922 --> 00:22:53.643]  So they're telling you everything you need to know right there.
[00:22:53.983 --> 00:22:57.465]  And then Franco, James Franco, he's edited out.
[00:22:59.746 --> 00:23:02.668]  And he's saying, he comes up and says, okay, his girlfriend says, well,
[00:23:03.846 --> 00:23:09.788]  Eighteen years ago or something, he shoved my face down in his crotch, you know, in the car when he was my boyfriend.
[00:23:10.068 --> 00:23:10.348]  Okay?
[00:23:10.769 --> 00:23:11.689]  Another girl, yeah.
[00:23:12.249 --> 00:23:15.310]  You know, once he got me really drunk and we had sex and he was rude to me.
[00:23:15.690 --> 00:23:15.990]  Okay.
[00:23:16.010 --> 00:23:19.612]  I mean, the guy does come off kind of like a, you know, partying moron.
[00:23:20.952 --> 00:23:22.153]  Put him in jail if he did something wrong.
[00:23:22.653 --> 00:23:24.574]  But what about Oprah?
[00:23:24.594 --> 00:23:26.994]  See, you don't Photoshop her up.
[00:23:27.595 --> 00:23:30.136]  It's the total and complete hypocrisy.
[00:23:30.196 --> 00:23:30.856]  And then meanwhile,
[00:23:32.125 --> 00:23:33.987]  There's other hypocrisy here.
[00:23:34.647 --> 00:23:41.373]  You've got this family, arrested after 12 children, ages 2 to 29, found shackled in a California home.
[00:23:41.813 --> 00:23:47.758]  Now they've released photos of a Texas home that was foreclosed on a few years ago that was just absolutely nightmarish.
[00:23:48.438 --> 00:23:53.342]  And I say because they were Christians, Christians, Christians, and homeschoolers, as if homeschoolers do this.
[00:23:53.723 --> 00:23:55.404]  It's all over the news saying that.
[00:23:57.841 --> 00:24:05.910]  When CNN or others do report on tens of thousands of men, women, and children being sold into slavery, nowhere is there anything about Islam.
[00:24:06.891 --> 00:24:10.956]  CNN this week, people for sale, where lives are auctioned for $400.
[00:24:11.737 --> 00:24:12.778]  Men, women, and children.
[00:24:13.739 --> 00:24:18.104]  But never do they tell you in the whole article, it's legal under Islamic law.
[00:24:19.787 --> 00:24:20.628]  Oh, no, no, no, no.
[00:24:20.748 --> 00:24:21.509]  Never, never.
[00:24:21.809 --> 00:24:22.870]  People for sale.
[00:24:23.471 --> 00:24:41.369]  Since Hillary came and helped bring down Libya and blow up its infrastructure, now Saharan, Sub-Saharan Africans come in, mainly animist, some of them Christian, out of Southern Sudan, and they say in the article, oh, they were kidnapped in Southern Sudan by Muslims!
[00:24:43.484 --> 00:24:44.767]  It's all over the foreign press.
[00:24:44.807 --> 00:24:45.949]  It's all over the African press.
[00:24:46.209 --> 00:24:50.938]  The ongoing civil war for 30 years as the Muslims have invaded into Sudan and taken 90% of it.
[00:24:52.790 --> 00:24:54.110]  But that's why it's so frustrating.
