[00:00:12.597 --> 00:00:13.960]  Yeah, we're good.
[00:11:40.765 --> 00:11:47.109]  Mexico's beautiful, great, interesting culture, but it's got corruption, and if you don't get rid of that, it'll bring you down.
[00:11:47.189 --> 00:11:48.170]  Look at every other nation.
[00:11:49.841 --> 00:11:51.562]  Look at our own problem with corruption right now.
[00:11:52.802 --> 00:12:02.185]  And what will it be like when the economy comes back in a year and a half just because Trump's in there, and he's only gotten a little bit of control over things, maybe 20, 30 percent, to just change a little bit of what they were doing?
[00:12:02.205 --> 00:12:04.946]  Can you imagine what he could do if he stays in?
[00:12:05.006 --> 00:12:15.649]  And that's why they're panicking, because they know that if Trump is able to continue to turn things around, you will 1,000 percent understand the con game, and it's all over, and you won't want to be dependent.
[00:12:15.689 --> 00:12:16.549]  You won't want to be a slave.
[00:12:18.630 --> 00:12:19.450]  So you think about
[00:12:21.081 --> 00:12:27.802]  Somebody worth $100 million, in his own words, who makes $10 million a year just on his HBO show, Bill Maher.
[00:12:29.283 --> 00:12:33.884]  And he lectures you again and says, you need to go take a course on comparison.
[00:12:35.664 --> 00:12:42.405]  Because it'd be better to have a crashing economy, he now backs it off to recession, than to have Trump in.
[00:12:42.465 --> 00:12:42.745]  Really?
[00:12:43.445 --> 00:12:43.706]  Really?
[00:12:43.866 --> 00:12:44.746]  What did Trump do?
[00:12:45.446 --> 00:12:47.386]  Go, oh, you got a $900 billion tariff on us, we'll do $50 billion.
[00:12:53.351 --> 00:12:54.772]  If anything, that isn't strong enough.
[00:12:54.792 --> 00:12:56.633]  But again, it shows how smart Trump is.
[00:12:57.073 --> 00:12:59.355]  He gets how dependent we are and how set up we are.
[00:12:59.775 --> 00:13:01.196]  He just says, give us something.
[00:13:01.256 --> 00:13:01.857]  My God.
[00:13:04.258 --> 00:13:05.819]  He's like, why do you hate America so much?
[00:13:05.899 --> 00:13:06.139]  Why?
[00:13:06.560 --> 00:13:07.760]  Why would we want to make it poor?
[00:13:07.800 --> 00:13:08.741]  That'll hurt the whole world economy.
[00:13:08.761 --> 00:13:09.562]  He's just a pragmatist.
[00:13:09.582 --> 00:13:11.303]  He's like, this is good real estate.
[00:13:16.106 --> 00:13:16.806]  That's what he says.
[00:13:16.886 --> 00:13:17.587]  It's what he did.
[00:13:19.104 --> 00:13:21.745]  And they're like, you're mentally ill because you don't hate America.
[00:13:21.765 --> 00:13:24.826]  You don't want the bigger... Trump doesn't get the big picture, folks.
[00:13:24.887 --> 00:13:25.567]  He's not smart.
[00:13:25.847 --> 00:13:28.348]  It's like child molesters that kidnap some kid and go rape him.
[00:13:28.748 --> 00:13:31.329]  And if a normal person said, man, that's sick, they'd go, oh, you just don't get it.
[00:13:31.369 --> 00:13:31.870]  You're crazy.
[00:13:31.890 --> 00:13:38.693]  Like if you were telling Hitler in 1942, when he's rounding up people for death camps, like, hey, dude, that's not really cool, but shut up.
[00:13:38.713 --> 00:13:39.273]  What do you know?
[00:13:39.373 --> 00:13:40.413]  I've got everything figured out.
[00:13:43.895 --> 00:13:44.655]  And it's the same.
[00:13:44.835 --> 00:13:45.916]  And then you look at Brennan.
[00:13:46.929 --> 00:13:53.335]  And all these other former CIA directors saying, we're going for the 25th amendment to have Trump's own cabinet.
[00:13:55.149 --> 00:13:57.831]  Say he's mentally incompatible and remove him.
[00:13:58.111 --> 00:13:59.632]  It'd be one thing if we were in a depression.
[00:13:59.932 --> 00:14:01.253]  It'd be one thing if we were in a war.
[00:14:01.553 --> 00:14:04.655]  It'd be one thing if he wasn't doing all these great things and showed all this stamina.
[00:14:04.936 --> 00:14:17.104]  But it's like some quarterback throws for four Super Bowls consecutively and wins and is in their fifth Super Bowl and is 50 points ahead of zero and you go, my God, let's pull him and put him on the bench.
[00:14:17.144 --> 00:14:21.267]  You'd be like, what in the hell are you talking about?
[00:14:22.467 --> 00:14:24.669]  What planet are you from?
[00:14:28.137 --> 00:14:29.999]  Now, Trump's not a whiz kid.
[00:14:31.701 --> 00:14:33.183]  I'm gonna come back and play the Markleps, the new ones.
[00:14:33.704 --> 00:14:37.068]  Trump's not a whiz kid in that he could turn the economy around.
[00:14:37.588 --> 00:14:42.294]  You can't tie a modern industrial country like America down with our desire, our smarts.
[00:14:42.795 --> 00:14:44.397]  We had half the wealth 50 years ago.
[00:14:44.677 --> 00:14:45.157]  We only have 20-30% now.
[00:14:48.985 --> 00:14:51.467]  Just getting the foot off our neck was the move.
[00:14:51.967 --> 00:14:54.048]  It's like a leg's bleeding out, put a tourniquet around it.
[00:14:54.088 --> 00:14:55.589]  Well, Trump put a tourniquet on.
[00:14:55.849 --> 00:14:58.211]  Now it's barely bleeding instead of spraying blood all over the walls.
[00:15:01.493 --> 00:15:03.114]  That wasn't Trump's achievement.
[00:15:04.013 --> 00:15:22.069]  His vision to see it, his vision not to care about being attacked and losing over a billion dollars in boycotts and over a thousand lawsuits, and his will to not be a Satanist and a scumbag and a person that only cared about himself, but a bigger vision and to not want to screw everybody over and to want global victory and to want real peace.
[00:15:22.289 --> 00:15:24.471]  That was what Trump did.
[00:15:24.571 --> 00:15:25.832]  That's why he's amazing.
[00:15:27.970 --> 00:15:30.251]  He's only got 20-30% control right now.
[00:15:30.992 --> 00:15:35.974]  And we're turning over like somebody that had the flu and got some chicken noodle soup and some Gatorade and they feel better.
[00:15:36.034 --> 00:15:37.715]  I mean, it's like, wow!
[00:15:38.876 --> 00:15:41.677]  And that's why they're panicking and that's why they want to remove him from office.
[00:15:42.017 --> 00:15:44.799]  So we'll get into what they're saying, what they're doing, play the clips, all of it.
[00:15:45.279 --> 00:15:48.664]  Straight ahead, if you're watching live on the TV or radio, please spread the word.
[00:15:48.724 --> 00:15:50.687]  Everybody you know, that's how we get around the censors.
[00:15:50.727 --> 00:15:59.840]  If you're watching live video links on NewsWars.com or InfoWars.com or Twitter, Facebook, YouTube, it's a total act of resistance to share that link and say, here's the forbidden information.
[00:16:06.366 --> 00:16:11.868]  Years ago, Info Wars Life created the powerful MycoZX formula to help you combat internal yeast.
[00:16:12.088 --> 00:16:19.730]  As the years went on, and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[00:16:19.970 --> 00:16:23.111]  MycoZX Plus is the result of the search for that formula.
[00:16:23.311 --> 00:16:28.414]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[00:16:28.594 --> 00:16:31.136]  There's no better product to help your body fight back.
[00:16:31.356 --> 00:16:40.341]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[00:16:40.501 --> 00:16:52.130]  Powered by an impressive list of ingredients, including Grapefruit Seed Extract, Pal Darko Bark, and Grape Seed Extract, our formula is fueled by ingredients that stood the test of time as powerful micro-balancing properties.
[00:16:52.370 --> 00:16:57.073]  Pick up a bottle of the new and improved Micro ZX Plus today at InfoWarsLife.com.
[00:16:57.194 --> 00:16:58.855]  That's InfoWarsLife.com.
[00:17:02.924 --> 00:17:05.865]  Right now is Massive Rampage Force.
[00:17:05.885 --> 00:17:06.445]  Go ahead.
[00:17:06.685 --> 00:17:12.267]  Alex, last night I was on with Laura Ingram and I had done the Alex Jones Show yesterday.
[00:17:12.467 --> 00:17:13.567]  I'd done The War Room.
[00:17:13.867 --> 00:17:16.328]  She's not on until 9.40 Central.
[00:17:16.348 --> 00:17:17.908]  That's 10.40 Eastern.
[00:17:17.948 --> 00:17:18.569]  I was exhausted.
[00:17:18.889 --> 00:17:22.150]  I popped two Brain Force Plus and I was good as new.
[00:17:22.490 --> 00:17:27.131]  I mean, it really is mentally stabilizing, mentally energizing.
[00:17:27.211 --> 00:17:29.252]  Tonight, I'm on with Tucker Carlson.
[00:17:29.632 --> 00:17:30.052]  Same thing.
[00:17:30.452 --> 00:17:32.053]  Put in a full day here at InfoWars.
[00:17:32.153 --> 00:17:33.374]  I'm gonna go on the Tucker tonight.
[00:17:33.554 --> 00:17:35.635]  Thank goodness for this great product.
[00:17:35.675 --> 00:17:41.659]  This is my all-time favorite because it's so effective and it doesn't give you that jacked-up energy drink feeling, you know?
[00:17:41.960 --> 00:17:42.800]  You can sleep with it.
[00:17:43.100 --> 00:17:47.423]  And when you stack it with the Red Pill, the mind-body combination, that is the best.
[00:17:47.463 --> 00:17:50.285]  That supercharges your energy, your vitality.
[00:17:50.425 --> 00:17:52.126]  This is the best combination I have found.
[00:17:52.146 --> 00:17:52.947]  It really works.
[00:17:53.187 --> 00:17:57.750]  It's the best mineral-vitamin combination I have found and I've tried them all.
[00:17:58.130 --> 00:18:00.272]  I wasted a lot of money on old foods, believe me.
[00:18:02.453 --> 00:18:05.895]  Living in volcano may sound more dramatic than it really is.
[00:18:05.915 --> 00:18:09.177]  The real drama can be found here in Leilani Estates.
[00:18:09.697 --> 00:18:15.501]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:18:15.961 --> 00:18:18.743]  Volcanic ash may contain heavy metal particles.
[00:18:19.483 --> 00:18:22.928]  An acid rain could lower the pH of the water to unhealthy levels.
[00:18:23.288 --> 00:18:29.377]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:18:29.777 --> 00:18:34.744]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:18:35.478 --> 00:18:38.903]  Next, we tested the water from our Alexa Pure gravity filter.
[00:18:39.404 --> 00:18:45.953]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:18:46.614 --> 00:18:51.221]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:18:51.841 --> 00:18:56.925]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:18:57.505 --> 00:19:01.488]  But more importantly, a good water filtration system will purify it.
[00:19:02.109 --> 00:19:05.011]  Western Europe has already banned free speech.
[00:19:05.191 --> 00:19:09.374]  And an iron curtain of censorship is descending down over the UK.
[00:19:09.755 --> 00:19:17.240]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:19:17.680 --> 00:19:20.763]  We know we're only about a year or two behind what's happening in the UK.
[00:19:21.383 --> 00:19:25.648]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:19:26.028 --> 00:19:29.952]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:19:30.153 --> 00:19:32.896]  Brainwash young people against InfoWars.
[00:19:33.316 --> 00:19:37.521]  Psychologically inoculate them with lies, so they don't actually hear what we have to say.
[00:19:38.061 --> 00:19:41.082]  We are the most hated news source in the world by globalists.
[00:19:41.522 --> 00:19:56.366]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:19:56.606 --> 00:19:57.906]  That is critical to this fight.
[00:19:58.126 --> 00:20:00.247]  We will prevail if you take action and I know you
[00:20:05.535 --> 00:20:14.457]  You're listening to the Alex Jones Show.
[00:20:22.959 --> 00:20:26.800]  Alex Jones, the cure to fake news.
[00:20:27.400 --> 00:20:30.641]  Coming to you live from Austin, Texas.
[00:20:33.595 --> 00:20:41.158]  Broadcasting worldwide and delivering human victory.
[00:20:41.459 --> 00:20:43.880]  That means planetary victory.
[00:20:45.801 --> 00:20:47.121]  President let that slip, didn't he?
[00:20:51.543 --> 00:21:00.067]  That's right, ladies and gentlemen, we are now in the midst of the battle for the victory and the future of humanity.
[00:21:00.847 --> 00:21:01.548]  I can't sleep.
[00:21:03.470 --> 00:21:07.333]  I can't do anything since you set your eyes on me.
[00:21:09.635 --> 00:21:10.835]  I tell you it's true.
[00:21:12.837 --> 00:21:20.382]  You're driving me crazy.
[00:21:20.402 --> 00:21:23.705]  Alright, let's get into the big news here.
[00:21:26.055 --> 00:21:38.218]  The globalists have been artificially suppressing Western nations, but they've also been on record suppressing developing nations to keep them in control and to exploit them, and then to weaponize them against the West.
[00:21:38.938 --> 00:21:43.979]  We're now deeply into a multi-decades long global program that's public.
[00:21:44.979 --> 00:21:47.100]  The bad news is we were asleep for a long time.
[00:21:47.140 --> 00:21:52.441]  The good news is the globalists were so arrogant because we were asleep, they were very, very honest about their operations.
[00:21:53.939 --> 00:22:15.852]  Now, if you're a long-time listener, how many thousands of times, thousands, have you heard me open the broadcast up that the globalists are above the law, they seek to suppress free market, they seek to make you poor, they seek to control you, they want monopolies, they're tax-exempt, they have diplomatic immunity, and then if you ever understand that, their whole program's done.
[00:22:18.913 --> 00:22:19.874]  And now that's understood.
[00:22:21.786 --> 00:22:32.594]  But to have Bill Maher come out two weeks ago and say that he hopes for an economic collapse.
[00:22:32.614 --> 00:22:34.095]  They later spun it into a recession.
[00:22:34.595 --> 00:22:36.316]  But economic collapse is what he first said.
[00:22:37.617 --> 00:22:39.339]  Seven million people.
[00:22:39.459 --> 00:22:41.400]  There is a crashing economy is the actual quote.
[00:22:43.161 --> 00:22:48.105]  The major university studies you can look up estimate that seven million people
[00:22:51.547 --> 00:22:53.108]  It's more Jews than died in the Holocaust.
[00:22:56.790 --> 00:22:59.872]  Died during the decade-long Great Depression.
[00:23:01.153 --> 00:23:02.114]  Decade-plus long.
[00:23:02.154 --> 00:23:04.695]  Thirteen-year-long Great Depression in the United States.
[00:23:06.314 --> 00:23:11.857]  Now just like Venezuela, where they have over a thousand a week dying according to Amnesty International for starvation, they don't call it that.
[00:23:11.917 --> 00:23:14.599]  But you would get sick because you were starving to death.
[00:23:14.619 --> 00:23:17.260]  You look at the old videos, old footage, there's like thousands lined up.
[00:23:17.280 --> 00:23:18.221]  They're like scarecrows.
[00:23:18.621 --> 00:23:19.862]  Little babies are all skinny.
[00:23:19.882 --> 00:23:20.823]  Never seen skinny babies.
[00:23:20.843 --> 00:23:22.343]  They're like wanting some soup.
[00:23:22.423 --> 00:23:23.544]  I mean the country collapsed.
[00:23:24.645 --> 00:23:25.545]  And the banks engineered it.
[00:23:26.826 --> 00:23:29.508]  Well Bill Maher is such a monstrous pig.
[00:23:30.506 --> 00:23:31.767]  He always says, I want abortion.
[00:23:31.887 --> 00:23:32.467]  I want death.
[00:23:32.787 --> 00:23:34.709]  Maybe next time we should play that intro promo.
[00:23:35.229 --> 00:23:35.949]  I forget the name of it.
[00:23:35.969 --> 00:23:36.670]  We've got a bunch of them.
[00:23:36.690 --> 00:23:37.530]  It's just Bill Maher.
[00:23:37.630 --> 00:23:38.231]  I want death.
[00:23:38.351 --> 00:23:39.231]  I want abortion.
[00:23:39.591 --> 00:23:40.892]  I want the highways to move quicker.
[00:23:41.453 --> 00:23:42.433]  It's a really nasty video.
[00:23:42.473 --> 00:23:43.034]  I forget the name of it.
[00:23:43.054 --> 00:23:43.974]  We haven't aired it in like a year.
[00:23:45.075 --> 00:23:46.215]  He goes on all the time.
[00:23:46.235 --> 00:23:48.157]  I mean, I know people that know him, have been to dinner with him.
[00:23:48.237 --> 00:23:49.938]  I know women that have dated him in Hollywood.
[00:23:50.919 --> 00:23:53.380]  And they're just like, yeah, Bill Maher's a miserable person.
[00:23:53.400 --> 00:23:56.722]  He'll just sit there at dinner and talk about how much he hates Christians.
[00:23:56.762 --> 00:24:00.264]  And people are like, well, I'm not a Christian, but we just, okay, fine.
[00:24:00.864 --> 00:24:05.186]  Like, you want to have a two-hour dinner with him just saying how much he hates Christians, how much he hates America?
[00:24:05.867 --> 00:24:09.829]  But hell, don't listen to me years ago telling you how many people had dinner with him.
[00:24:16.482 --> 00:24:17.803]  I'm not going to tell the story, I'm going to stop right there.
[00:24:18.344 --> 00:24:31.217]  The point is, is that, because it was told to me in confidence, the issue is he tells you he wants to abort you, he wants you to die, he wants you to go away, he tells you he's a vampire, and he tells you that he wants you poor.
