[00:00:07.004 --> 00:00:08.224]  You found it.
[00:12:26.458 --> 00:12:28.980]  Taking these children on a very dangerous journey.
[00:12:28.980 --> 00:12:33.483]  Perhaps taking this child on this journey even when the child was sick.
[00:12:33.483 --> 00:12:36.905]  Maybe the child got sick as part of the journey, I don't know.
[00:12:36.905 --> 00:12:40.047]  But the child was taken into custody one day and died the next.
[00:12:41.550 --> 00:12:44.873]  So he probably came across the border sick.
[00:12:44.873 --> 00:13:01.948]  Yet, if we talk about vetting the people who are coming across the border, people that we don't know anything about, we don't even know if these children are in the company of their parents, or if it's somebody else that is bringing them across, if they've been brought over by child traffickers, or kidnapped.
[00:13:03.444 --> 00:13:07.428]  And so the parentage needs to be discussed there.
[00:13:07.428 --> 00:13:09.950]  But they talk about Ellis Island all the time.
[00:13:09.950 --> 00:13:15.175]  Ellis Island, the people that would come in there would be quarantined for quite some time to make sure they weren't bringing diseases into the country.
[00:13:16.240 --> 00:13:18.702]  This child was sick when he came in.
[00:13:18.702 --> 00:13:19.603]  We don't know what he had.
[00:13:19.603 --> 00:13:23.246]  He was initially diagnosed by hospital staff with a common cold.
[00:13:23.246 --> 00:13:33.035]  Evaluated for release, they said, then they found a fever, they brought him back in after giving him some antibiotics, amoxicillin, ibuprofen for a fever and so forth, and then he suddenly died.
[00:13:33.035 --> 00:13:36.779]  They still don't know what was wrong with the child.
[00:13:36.779 --> 00:13:40.783]  And yet, if you look at all the headlines, they make it out, they imply,
[00:13:41.752 --> 00:13:43.933]  That he was murdered by our policies.
[00:13:43.933 --> 00:13:45.634]  Murdered by our border.
[00:13:45.634 --> 00:13:48.175]  Murdered by our border patrol.
[00:13:48.175 --> 00:13:50.757]  Nothing could be further from the truth.
[00:13:50.757 --> 00:13:53.858]  It was child endangerment.
[00:13:53.858 --> 00:13:57.580]  And it is very sad to see this being given a pass.
[00:13:57.580 --> 00:14:01.742]  You know, we had the situation just a little over a year ago.
[00:14:01.742 --> 00:14:06.705]  So much hepatitis in San Diego, right there at the border, that they were washing the streets with bleach.
[00:14:08.192 --> 00:14:13.997]  This is an underreported side effect of immigration, and that is the health issues.
[00:14:13.997 --> 00:14:16.099]  So what about our children?
[00:14:16.099 --> 00:14:18.221]  When other children are brought in sick?
[00:14:18.221 --> 00:14:23.246]  We don't have any ability to quarantine or to vet these children?
[00:14:23.246 --> 00:14:25.388]  That's what the liberals don't want.
[00:14:25.388 --> 00:14:27.370]  This is not about a wall.
[00:14:27.370 --> 00:14:28.571]  This is about having a border.
[00:14:29.619 --> 00:14:32.021]  The wall is one aspect of it.
[00:14:32.021 --> 00:14:35.384]  But these are the same people who say, you don't need a wall, a wall's not effective.
[00:14:35.384 --> 00:14:39.828]  These are the same people who want to abolish ICE as well.
[00:14:39.828 --> 00:14:50.957]  So once the people get in, once they get past Border Patrol, and Border Patrol's intercepting enough people that it amounts to more than a caravan a week that are coming in, bits and pieces.
[00:14:50.957 --> 00:14:52.578]  Those are just the people that they intercept.
[00:14:52.578 --> 00:14:56.161]  The people that they don't intercept, oh, they don't want them taken away by ICE.
[00:14:57.745 --> 00:15:04.309]  And they don't want anybody inspected for whether or not they are criminals or whether they have any diseases.
[00:15:04.309 --> 00:15:05.150]  None of that.
[00:15:05.150 --> 00:15:07.251]  We just leave the borders open.
[00:15:07.251 --> 00:15:21.361]  And as we look at the open borders, one of the things that's been sold to us for this, we had the UN selling us back around 2000, saying you have to open up your borders because the Ponzi schemes that we've set up everywhere, you've got an aging population,
[00:15:22.526 --> 00:15:23.989]  And you're not going to have your social security.
[00:15:23.989 --> 00:15:26.493]  So we have to bring in people from other countries.
[00:15:26.493 --> 00:15:28.176]  And now it's reached peak absurdity.
[00:15:28.176 --> 00:15:28.878]  We now have...
[00:15:30.077 --> 00:15:39.859]  A study from the American Enterprise Institute, a guy there named Lyman Stone, who's looking at our aging population and the Ponzi scheme lie that Social Security's always been.
[00:15:39.859 --> 00:15:40.759]  He says, I got an idea.
[00:15:40.759 --> 00:15:49.021]  What we could do is we could give people credits if they have children based on the amount of money that their children are adding back into the economy.
[00:15:49.021 --> 00:15:51.362]  It's like, well, that used to be called families.
[00:15:51.362 --> 00:15:52.882]  We used to have things called families.
[00:15:52.882 --> 00:15:56.543]  Why is it that the population is declining like that?
[00:15:56.543 --> 00:15:57.543]  We'll talk about that when we come back.
[00:15:57.543 --> 00:15:57.883]  Stay with us.
[00:15:59.212 --> 00:16:05.577]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:16:05.577 --> 00:16:08.619]  George Washington had warned us against foreign wars.
[00:16:08.619 --> 00:16:14.543]  The United States of Empire shows that World Wars I and II left England broken.
[00:16:14.543 --> 00:16:18.325]  Its former colony, the U.S., had to save the empire.
[00:16:18.325 --> 00:16:19.586]  Was there ever a vote?
[00:16:19.586 --> 00:16:20.927]  Who do we fight for?
[00:16:20.927 --> 00:16:27.132]  The deep state began with World War I. The United States of Empire by James Dunn.
[00:16:27.132 --> 00:16:28.573]  Available at Amazon Books.
[00:16:29.286 --> 00:16:33.047]  You may need this herbal tea for relief right away, so write this down.
[00:16:33.047 --> 00:16:36.568]  DrMillersClinic.com.
[00:16:36.568 --> 00:16:42.931]  If you take meds, then suffer stomach distress, constipation, indigestion, acid reflux, or bloating, and nothing else helps.
[00:16:42.931 --> 00:16:50.733]  Get Dr. Miller's Holy Tea or Super Holy Tea, a cleansing, detoxifying herbal tea, now available at great rates, direct from Dr. Miller's office.
[00:16:50.733 --> 00:16:52.094]  Call or click 888-660-7039 or DrMillersClinic.com.
[00:16:59.224 --> 00:17:02.166]  At WolfHillAmmo.com, we love shotguns.
[00:17:02.166 --> 00:17:07.950]  We offer the best specialty shotgun ammo on the market, including our defensive combo packs for home and retreat.
[00:17:07.950 --> 00:17:12.453]  Our less lethal combo is good for animal control, the four-legged kind and two-legged.
[00:17:12.453 --> 00:17:17.336]  When lethal force is necessary, reach for our stop-em, drop-em or our home defense combos.
[00:17:17.336 --> 00:17:20.999]  These five-round packs include different heavy hitters to protect your loved ones.
[00:17:20.999 --> 00:17:27.283]  Visit WolfHillAmmo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[00:17:27.283 --> 00:17:28.664]  WolfHillAmmo.com
[00:17:29.544 --> 00:17:30.764]  Hear that?
[00:17:30.764 --> 00:17:36.145]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[00:17:36.145 --> 00:17:39.046]  And what they don't steal will be destroyed.
[00:17:39.046 --> 00:17:42.626]  This year, resolve not to be the next victim of a break-in.
[00:17:42.626 --> 00:17:50.208]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[00:17:50.208 --> 00:17:54.788]  Security is a mindset, and Faketv should be part of your security solution.
[00:17:54.788 --> 00:17:57.229]  Be vigilant, but not fearful.
[00:17:57.229 --> 00:17:58.389]  Faketv.com
[00:18:02.908 --> 00:18:12.317]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.317 --> 00:18:23.747]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.747 --> 00:18:27.050]  Ancient Mayan knowledge is paired with the natural fertility of the land.
[00:18:27.310 --> 00:18:41.142]  To generate the world's finest coffee beans, carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.142 --> 00:18:45.406]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:18:45.406 --> 00:18:51.532]  Infused with a powerful blend to support your immune response and stamina, it's time to take care of your morning routine.
[00:18:51.832 --> 00:19:00.554]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:19:00.554 --> 00:19:06.075]  The globalists are trying to set up a private corporate world government that's above the law.
[00:19:06.075 --> 00:19:14.577]  If there's any opposition, if there's any independent media that can call the fact that the emperor has no clothes, that can call BS, it's game over.
[00:19:15.831 --> 00:19:23.937]  But if you look at everybody else, like Michael Savage and Rush Limbaugh and Tucker Carlson and Sean Hannity, they are all beholden to the networks they're on that can be targeted.
[00:19:24.923 --> 00:19:32.850]  There's only two groups in the US, Infowars and Matt Drudge of DrudgeReport.com, that are truly independent.
[00:19:32.850 --> 00:19:35.953]  And of course, they're two of the dominant media forces in the world.
[00:19:35.953 --> 00:19:37.455]  It really is amazing.
[00:19:37.455 --> 00:19:44.161]  That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together.
[00:19:44.161 --> 00:19:46.784]  Just remind you that you are the power, you're the strength, you're the will.
[00:19:48.129 --> 00:19:49.670]  Of Infowars.
[00:19:49.670 --> 00:19:50.971]  So please spread the links.
[00:19:50.971 --> 00:19:54.333]  Infowars.com, Newswars.com, PrisonPlanet.com.
[00:19:54.333 --> 00:19:57.636]  Because if you don't spread the articles and the videos, no one else will.
[00:19:57.636 --> 00:19:58.956]  We're all in each other's hands.
[00:19:58.956 --> 00:20:03.399]  God bless you all and thank you.
[00:20:03.399 --> 00:20:06.041]  You're listening to the Alex Jones Show.
[00:20:12.368 --> 00:20:13.449]  Welcome back.
[00:20:13.449 --> 00:20:15.850]  It's 104 years since peace broke out
[00:20:42.518 --> 00:20:46.039]  Between the Germans and the British at the beginning of World War One.
[00:20:46.039 --> 00:20:49.761]  It was the first Christmas since the war had started.
[00:20:49.761 --> 00:20:52.222]  And the generals made sure that would never happen again.
[00:20:52.222 --> 00:20:54.543]  Now you remember the story.
[00:20:54.543 --> 00:20:58.184]  There was a German tenor from the Berlin Opera.
[00:20:58.184 --> 00:21:01.725]  Started singing Silent Night first in German then in English.
[00:21:01.725 --> 00:21:06.727]  He was joined by other people as a New American recounts the story.
[00:21:06.727 --> 00:21:08.788]  It was on Christmas Eve 1914.
[00:21:08.788 --> 00:21:10.789]  Troops in the trenches of both sides.
[00:21:12.237 --> 00:21:18.842]  ...began singing Christmas carols, with the trenches on the opposing sides frequently being close enough that troops on either side could hear each other.
[00:21:18.842 --> 00:21:28.630]  First, one side would sing a carol, then the other side would, and then singing carols at both sides, often recognized like Silent Night, Holy Night, or others.
[00:21:28.630 --> 00:21:32.273]  And as one historian pointed out, it was impromptu, nobody had planned it.
[00:21:32.273 --> 00:21:38.577]  And if it hadn't been for a shared culture, certainly there would have been no Christmas truce.
[00:21:38.577 --> 00:21:40.639]  Maybe it was also a shared religion.
[00:21:41.461 --> 00:21:42.225]  A lot of these people.
[00:21:42.225 --> 00:21:45.843]  Nevertheless, they said the guy came forward, he's saying, uh, silent night, shooting stopped.
[00:21:46.830 --> 00:21:50.832]  And in that silence, he sang and the British knew the song and sang back.
[00:21:50.832 --> 00:21:54.974]  The morning after the singing took place, soldiers from both sides wished each other a Merry Christmas.
[00:21:54.974 --> 00:21:57.396]  They made arrangements to have a truce.
[00:21:57.396 --> 00:22:02.318]  Soldiers then emerged from the trenches, traded gifts with each other, kicked around soccer balls, buried their dead.
[00:22:02.318 --> 00:22:08.902]  It's rumored that even one British soldier got a haircut from a guy that was a German barber before the war.
[00:22:08.902 --> 00:22:13.244]  It's estimated that as many, this is the key thing, how big this got, it kept spreading.
[00:22:15.111 --> 00:22:18.253]  It says, rich man's war, poor man's fight.
[00:22:18.253 --> 00:22:22.056]  That's pretty much the way it is every one of these wars, isn't it?
[00:22:22.056 --> 00:22:31.822]  It's estimated that as many as two-thirds of the troops on the front lines, nearly 100,000 men, participated in the truce, sometimes continuing it for many, many days.
[00:22:31.822 --> 00:22:33.744]  The generals got very angry.
[00:22:33.744 --> 00:22:35.745]  They got them fighting again.
[00:22:35.745 --> 00:22:43.130]  And then they sent out word that if you ever do anything like that again, there's going to be very severe penalties for fraternizing with the enemy.
[00:22:44.815 --> 00:22:47.096]  And we're kind of seeing something like that right now.
[00:22:47.096 --> 00:22:49.137]  The pushback.
[00:22:49.137 --> 00:22:52.119]  As President Trump said, we won.
[00:22:52.119 --> 00:22:54.000]  Let's enjoy a little bit of peace.
[00:22:54.000 --> 00:23:00.003]  Maybe we should secure our borders here instead of continuing to push for regime change.
[00:23:00.003 --> 00:23:02.544]  And of course they're not saying it's regime change anymore.
[00:23:02.544 --> 00:23:03.685]  They're very open about that.
[00:23:05.229 --> 00:23:21.282]  Under Obama, you had the National Security Council, you had Hillary Clinton, you had John McCain saying, look, Hillary and the National Security Council, they demanded that Obama fund and arm ISIS so he could get Assad out of there.
[00:23:21.282 --> 00:23:22.463]  And Obama's just not doing it.
[00:23:22.463 --> 00:23:24.565]  Well, did he do it?
[00:23:24.565 --> 00:23:26.546]  Or did they do it for him?
[00:23:26.546 --> 00:23:28.348]  It was done.
[00:23:28.348 --> 00:23:34.413]  And we saw McCain meeting with ISIS, we saw these people prolonging the war, but now it's not about regime change anymore.
[00:23:35.717 --> 00:23:40.161]  No, now we've got, let's see, what is the excuse of the week?
[00:23:40.161 --> 00:23:42.123]  The mission creep?
[00:23:42.123 --> 00:23:45.626]  Oh, we've got to stay there to keep the Iranians under control.
[00:23:45.626 --> 00:23:47.928]  Well, you know, you've got the Saudis for that.
[00:23:47.928 --> 00:23:51.130]  You've also got the Israelis for that.
[00:23:51.130 --> 00:23:56.655]  We have to, you know, we've got to fight ISIS, now we've got to do the Iranian thing.
[00:23:56.655 --> 00:23:58.257]  Now they're going to come up with some
[00:23:59.255 --> 00:24:01.676]  Reason to keep this going forever.
[00:24:01.676 --> 00:24:02.356]  There he is.
[00:24:02.356 --> 00:24:03.257]  Friend of terrorists.
[00:24:03.257 --> 00:24:05.278]  John McCain.
[00:24:05.278 --> 00:24:06.018]  They admitted it.
[00:24:06.018 --> 00:24:07.739]  They admitted that they were funding the terrorists.
[00:24:07.739 --> 00:24:09.220]  Many times they said that.
[00:24:09.220 --> 00:24:16.903]  It was General Flynn who told us in 2015 that they had armed ISIS, that they'd made a conscious decision to do that.
