[00:00:00.109 --> 00:00:01.310]  Agenda 2030.
[00:02:48.154 --> 00:02:50.335]  I'm not allowed to go over there and film this.
[00:02:50.935 --> 00:02:53.596]  I'm not allowed to go over there and ask questions.
[00:02:54.096 --> 00:03:02.461]   I'm not allowed to go south of the border, but anybody So let's see if we get kicked off of this land.
[00:03:02.362 --> 00:03:09.362]   the United States of America. Why? Let's go walk over there and see what we can do. Let's
[00:03:09.362 --> 00:03:16.362]   do it. Come on. Let's go. It's all right. We're just going to -- we're making a point.
[00:03:16.362 --> 00:03:23.362]   Yeah, yeah, yeah. I'm still rolling, too. Tell people what we're going to do. So let's
[00:03:23.362 --> 00:03:28.362]   see if we get kicked off of this land. Noncitizens, illegal immigrants, criminals, foreign nationals
[00:03:28.362 --> 00:03:33.362]   are not allowed to film through this gate. Let's see if I'm even allowed to walk through
[00:03:33.362 --> 00:03:34.362]  this gate.
[00:03:34.474 --> 00:03:37.175]  That sign says, do not trespass.
[00:03:37.375 --> 00:03:39.215]  All right.
[00:03:39.356 --> 00:03:41.416]  You're not allowed to go up there.
[00:03:41.736 --> 00:03:44.237]  Sure, okay, so we're just going to make a point.
[00:03:44.297 --> 00:03:45.137]  Put the mic down.
[00:03:45.157 --> 00:03:47.878]  So we can have six million illegal immigrants.
[00:03:48.158 --> 00:03:50.439]  I'm not mad at you, we're just making a point.
[00:03:50.479 --> 00:03:52.079]  You're not allowed to talk to me.
[00:03:52.459 --> 00:03:55.140]  Well, you did just come up and talk to me, though.
[00:03:55.160 --> 00:03:56.661]  So I'm not allowed to stand here.
[00:03:57.521 --> 00:04:00.842]  But there are how many illegal immigrants over there that are coming in today?
[00:04:02.103 --> 00:04:02.684]  So that's okay.
[00:04:02.704 --> 00:04:03.284]  Just say it's okay.
[00:04:03.324 --> 00:04:04.365]  I know you're not the problem.
[00:04:04.445 --> 00:04:07.048]  You're just here to facilitate illegal immigration.
[00:04:07.288 --> 00:04:07.608]  It's fine.
[00:04:07.628 --> 00:04:09.590]  So I'm not allowed to stand in America.
[00:04:09.910 --> 00:04:11.532]  I'm not allowed to stand in America.
[00:04:11.932 --> 00:04:13.374]  I'm not allowed to report in America.
[00:04:13.434 --> 00:04:14.795]  He's not allowed to talk to the media.
[00:04:15.015 --> 00:04:27.264]   But criminals, rapists, pedophiles, murderers, foreign nationals, millions of them can come across the southern border all day long And our law enforcement, our government pays for it and facilitates it.
[00:04:27.425 --> 00:04:32.187]  I can't even stand on American ground without getting harassed by so-called law enforcement.
[00:04:32.527 --> 00:04:33.548]  I'm not mad at you guys.
[00:04:33.568 --> 00:04:34.788]  You guys are just doing your job.
[00:04:35.068 --> 00:04:35.489]  I get it.
[00:04:35.509 --> 00:04:37.790]  Just like so many other people just do their job.
[00:04:38.410 --> 00:04:43.653]  All those people that you see on the other side of that gate, I'm not even allowed to stand on American soil.
[00:04:44.113 --> 00:04:45.294]  I'm an American citizen.
[00:04:46.034 --> 00:04:53.436]  I'm an American citizen, and I can't even stand on American soil, and there's thousands of illegal immigrants on the other side of that gate.
[00:04:53.456 --> 00:04:56.797]  They're going to walk right across that border, and they're all going to get free stuff.
[00:04:56.817 --> 00:04:57.357]  Free phones.
[00:04:57.677 --> 00:05:02.078]  Free phones, free plane rides, free bus tickets, free everything.
[00:05:02.518 --> 00:05:05.659]  But my law enforcement tells me to get off my soil.
[00:05:06.039 --> 00:05:08.500]  Get off the American land, you dirty American.
[00:05:09.060 --> 00:05:11.040]  Get off the land, you dirty American.
[00:05:11.300 --> 00:05:13.181]  This is an illegal immigrant country now.
[00:05:14.299 --> 00:05:15.300]  Unbelievable stuff.
[00:05:15.320 --> 00:05:16.301]  So you just saw it, folks.
[00:05:16.321 --> 00:05:17.381]  You think this is a game?
[00:05:17.701 --> 00:05:18.862]  You think we're messing around?
[00:05:19.162 --> 00:05:20.784]  You think we just make this stuff up?
[00:05:21.404 --> 00:05:22.665]  You just witnessed it.
[00:05:22.725 --> 00:05:27.048]  An American citizen threatened... See how they hooked two?
[00:05:27.168 --> 00:05:27.688]  They hooked two!
[00:05:27.728 --> 00:05:28.489]  Right out of the car!
[00:05:28.529 --> 00:05:29.149]  Hooked two!
[00:05:29.970 --> 00:05:30.290]  Hooked two!
[00:05:30.450 --> 00:05:31.451]  We got an American citizen!
[00:05:31.531 --> 00:05:31.851]  Hooked two!
[00:05:31.871 --> 00:05:32.211]  Stop him!
[00:05:32.291 --> 00:05:32.652]  Hooked two!
[00:05:32.672 --> 00:05:33.032]  Hooked two!
[00:05:33.232 --> 00:05:33.732]  Out of the car!
[00:05:34.033 --> 00:05:36.034]  Sitting up there... Do you want to see the rest of the video?
[00:05:37.720 --> 00:05:38.740]  It's on Bandot Video.
[00:05:38.780 --> 00:05:41.103]  They filed more than 20 reports yesterday and today.
[00:05:41.123 --> 00:05:43.064]  They're going to be up and down the border.
[00:05:43.204 --> 00:05:44.606]  It is total bedlam.
[00:05:45.146 --> 00:05:47.528]  Owen and the crew will be joining us live, coming up in about an hour and a half.
[00:05:48.029 --> 00:05:49.750]  Huge news for Roger Stone in 30 minutes.
[00:05:50.271 --> 00:05:51.532]  It is just insane.
[00:05:52.092 --> 00:05:55.135]  Yep, we're inside the New World Order now and it sucks, doesn't it?
[00:05:56.516 --> 00:05:57.637]  Infowars.com.
[00:05:57.697 --> 00:05:58.678]  Tomorrow's news today.
[00:05:58.778 --> 00:05:59.879]  Bandot Video.
[00:05:59.819 --> 00:06:14.860]  Mad Max Worlds on TV.
[00:06:15.141 --> 00:06:17.302]  You better believe you got one!
[00:06:18.302 --> 00:06:25.302]   From the front lines of the information war, it's Alex Jones.
[00:06:25.302 --> 00:06:47.302]   That clip you just saw is from 16 years ago at the premiere of the endgame blueprint for global enslavement in New York
[00:06:47.302 --> 00:06:47.302]  City.
[00:06:47.302 --> 00:06:49.822]  York City.
[00:06:49.886 --> 00:06:52.427]  And I'm wearing the same t-shirt today I was wearing then.
[00:06:52.447 --> 00:06:56.009]  I was digging around, clearing out my closet, found this the other day.
[00:06:56.029 --> 00:07:02.732]  It says, hey, still standing, still surviving, still on air, vindicated, thanks to you, the viewers and listeners, keeping us on air.
[00:07:05.009 --> 00:07:08.271]  I don't know how all this is going to end, but if you want to fight, you better believe you've got one.
[00:07:09.352 --> 00:07:15.216]  Thank you for joining us on this live Thursday, May 11th, 2023 transmission.
[00:07:16.957 --> 00:07:20.940]  The great Owen Schroer and the rest of the InfoWars crew is down on the Texas border.
[00:07:21.661 --> 00:07:26.704]  They filed incredible reports, more than 20 of them, that are at InfoWars.com and Band.Video.
[00:07:26.724 --> 00:07:32.888]  We're going to have some of the highlights or lowlights of this, drone footage, you name it.
[00:07:32.928 --> 00:07:33.489]  It's crazy.
[00:07:35.822 --> 00:07:43.664]  In the next four hours, Owen Schroeder joins us in an hour and a half from El Paso border in Southwest Texas.
[00:07:45.104 --> 00:07:50.446]  Let me, as customarily I do, just read you a few of the headlines we've got here.
[00:07:51.986 --> 00:07:52.726]  Get ready for this one.
[00:07:54.067 --> 00:08:00.888]  Anger as Biden administration hands another $2.3 million to EcoHealth Alliance to research bat coronaviruses.
[00:08:00.908 --> 00:08:02.909]  Where are the folks that brought you COVID-19?
[00:08:04.938 --> 00:08:05.298]  Wow.
[00:08:06.018 --> 00:08:07.099]  Talk about that for four hours.
[00:08:08.039 --> 00:08:11.920]  DOJ seeks to ban FBI agents from using crime statistics in law enforcement.
[00:08:12.441 --> 00:08:26.145]  Last two and a half years, they've already ordered the FBI to stop collating the data because it shows a 21 to 1 black on white crime rate and shows that blue cities are 10 plus times more dangerous than red cities and towns.
[00:08:26.805 --> 00:08:27.826]  There aren't many red cities.
[00:08:29.426 --> 00:08:29.866]  Incredible.
[00:08:30.347 --> 00:08:37.281]   Senator Ron Johnson, we have evidence Hunter Biden paid sex trafficked prostitutes And the media isn't looking into it.
[00:08:37.301 --> 00:08:38.102]  Well, of course they aren't.
[00:08:38.242 --> 00:08:38.822]  It's not the media.
[00:08:38.842 --> 00:08:40.825]  It's bought and paid for mouthpieces.
[00:08:41.345 --> 00:08:44.329]  Biden family tried to hide over $10 million from the Chai comms to their families.
[00:08:44.749 --> 00:08:46.111]  House GOP investigation.
[00:08:47.612 --> 00:08:50.496]  But the Justice Department is trying to block them getting any documents.
[00:08:52.472 --> 00:09:03.239]  Trump knocked it out of the park last night on the CNN town hall because they won't have him on Fox, so he went to CNN, which I think is a smart move, and the CNN hosts were literally crying.
[00:09:03.840 --> 00:09:06.301]  They hate him so much, but he wiped the floor with them.
[00:09:07.943 --> 00:09:23.861]   You know, I feel really bad having to even look at this, so I don't want to really show it on air, but the French government paid To hang up signs, and we blurred them out on Infowars, but you know what?
[00:09:23.881 --> 00:09:24.582]  We're not going to do that.
[00:09:25.523 --> 00:09:26.324]  Get the unblurred ones.
[00:09:27.365 --> 00:09:30.509]  This was hung up in public and on subways in Paris by the French government.
[00:09:31.129 --> 00:09:36.756]  It shows children bound and chained, being raped by men with giant penises.
[00:09:40.974 --> 00:09:44.376]  And the French President, when one got defaced, said, this is horrible.
[00:09:45.056 --> 00:09:46.217]  You defaced this beautiful art.
[00:09:46.237 --> 00:09:51.020]  Remember he, the evidence is overwhelming, was an underage sex operative as well.
[00:09:51.820 --> 00:09:57.244]  So a lot of the victims of this turn into promoters and proprietors of it.
[00:09:59.325 --> 00:10:00.165]  It continues on.
[00:10:00.185 --> 00:10:01.346]  There's a lot of good news.
[00:10:01.406 --> 00:10:02.707]  The pushback against the tyrants.
[00:10:03.407 --> 00:10:05.789]  Bud Light sales still plunging across the entire U.S.
[00:10:05.809 --> 00:10:07.329]  down 29% in Rocky Mountain states.
[00:10:07.870 --> 00:10:09.791]  HSBC downgrades Anheuser-Busch stock.
[00:10:13.584 --> 00:10:14.805]  Get woke, go broke.
[00:10:17.986 --> 00:10:18.466]  Celebrity.
[00:10:20.247 --> 00:10:22.108]  Says son identifies as a female at age 3.
[00:10:24.149 --> 00:10:25.329]  And they're gonna chop him up.
[00:10:27.010 --> 00:10:28.531]  We got a big report on that front.
[00:10:29.551 --> 00:10:30.672]  And some more good news.
[00:10:32.691 --> 00:10:39.553]  State Attorney General's move to block BlackRock's ESG meddling and utility companies will explain what ESGs are.
[00:10:39.573 --> 00:10:47.555]  I know most of you know, but they are the enemy's real next big attack to shut off our energy and plunge us into third world serfdom.
[00:10:47.875 --> 00:10:51.316]  Obviously, confusion reigns the U.S.-Mexican border before a rule change.
[00:10:51.656 --> 00:10:58.797]  Biden now says it's a crisis after having his press secretary say that border crossings are down 90 percent.
[00:10:59.898 --> 00:11:05.066]   No, they're up about A thousand percent from Trump, who shut the border down 95%.
[00:11:06.766 --> 00:11:14.228]  And they're up several fold from Obama, who obviously really accelerated all this and still running things today from behind the scenes.
[00:11:15.028 --> 00:11:15.908]  So we've got all that news.
[00:11:17.368 --> 00:11:20.309]  Border crossings up 10,000 daily as migrants seek U.S.
[00:11:20.369 --> 00:11:21.489]  aid before Title 42 ends.
[00:11:21.869 --> 00:11:22.869]  That's according to the Border Patrol.
[00:11:22.889 --> 00:11:29.631]  But the Border Patrol's told us they're told to lie with the statistics and not report the getaways.
[00:11:31.653 --> 00:11:32.474]  And that's up to 80%.
[00:11:33.014 --> 00:11:38.498]  So you can up that number to 20, 30, 40, 50, 60 thousand a day.
[00:11:40.339 --> 00:11:42.421]  Texas uses aggressive tactics to arrest migrants.
[00:11:42.441 --> 00:11:43.241]  The title 42 ends.
[00:11:44.582 --> 00:11:47.725]  Migrants in El Paso are urged to turn themselves into immigration officials out of 42.
[00:11:47.805 --> 00:11:49.006]  It's already ended.
[00:11:50.607 --> 00:11:53.289]  Reporter goes off on board patrol for a secret human smuggling operation.
[00:11:53.689 --> 00:11:54.410]  Caught on drone.
[00:11:54.930 --> 00:11:56.091]  These are some of the incredible reports.
[00:11:58.288 --> 00:12:04.171]  Up on Infowars.com and banned out video right now that the establishment doesn't want you to see.
[00:12:05.872 --> 00:12:11.335]  But looking at all this incredible news, what really is the most important news?
[00:12:12.496 --> 00:12:16.958]  Well, as soon as I entered the show yesterday, I realized I didn't cover the big topic I wanted to hit.
[00:12:16.998 --> 00:12:19.560]  And I was just sitting there looking at all this news saying, what's most important?
[00:12:22.990 --> 00:12:24.171]  China building up for that.
[00:12:24.291 --> 00:12:24.471]  U.S.
[00:12:24.511 --> 00:12:28.534]  forces pivoting quickly to the South China Sea.
[00:12:31.337 --> 00:12:37.061]  But on top of all that, you guys reprinted the articles yesterday about baby with three parents born for the first time.
[00:12:38.022 --> 00:12:39.944]  Baby with three people's DNA born.
[00:12:39.964 --> 00:12:40.684]  It's a humanoid.
[00:12:41.245 --> 00:12:46.449]  That's something we should really dive into today because I mentioned it, but it really is a huge deal.
[00:12:48.047 --> 00:12:50.589]  And what it portends for the future in civilization and society.
[00:12:50.629 --> 00:12:54.091]  So I'll be covering that coming up as well.
[00:12:55.892 --> 00:13:01.275]  But the first thing I want to hit, when we come back in the next segment, is this.
[00:13:03.116 --> 00:13:14.262]  And when I saw this this morning, and I went and followed the links and read it, witnessed it for myself, and it's at science.org, the government's announcing it like it's a good thing.
[00:13:17.807 --> 00:13:22.188]  They're studying gain-of-function, which is totally illegal.
[00:13:23.048 --> 00:13:29.009]  So they get caught lying to Congress, they get caught doing it, and their answer is now publicly announced they're doing it, and say, screw off.
[00:13:32.510 --> 00:13:33.990]  They're endangering all of humanity.
[00:13:35.750 --> 00:13:38.010]  They have viruses that don't kill 1% of people.
[00:13:39.011 --> 00:13:41.491]  They have viruses they're ready to release that kill 90-plus percent.
[00:13:42.371 --> 00:13:43.891]  Weaponize Ebola, airborne.
[00:13:44.452 --> 00:13:46.292]  Weaponize Marburg, airborne.
[00:13:47.165 --> 00:13:50.927]  Weaponized respiratory viruses that literally eat your lungs.
[00:13:52.047 --> 00:14:03.152]  And they're all sitting there on their globalist power trip, proliferating into biolabs all over the world, so they have plausible deniability of where it came from when they release the next one.
[00:14:04.392 --> 00:14:18.095]   And the only way you'll be safe is if you are literally in the middle of nowhere on a rural farm and are self-sufficient, and even then you know after they wipe out the major cities and they decide to go with a full depopulation agenda, The drones are coming, the helicopters are coming.
[00:14:18.555 --> 00:14:19.396]  They're just going to spray you.
[00:14:20.516 --> 00:14:21.377]  Spray you with nerve gas.
[00:14:21.397 --> 00:14:35.405]  As soon as they get enough robots in place, as soon as they have enough drills, like the last three years of lockdowns, and believe you'll behave and stay in your houses, it's on the table in their war games to go ahead and just kill everybody.
[00:14:37.406 --> 00:14:48.290]   And you'll know when they're about to do it because the globalists, that's why they should be watched very closely, will all go to their ships, all go to their big yachts, like Larry Page that hasn't left in The South Pacific in three plus years.
[00:14:49.811 --> 00:14:53.553]  He owns a bunch of little islands out there with his private army, founder of Google.
[00:14:54.493 --> 00:14:55.954]  But he's out there because he knows what's coming down.
[00:14:57.015 --> 00:14:59.776]  Same thing with James Cameron.
[00:15:01.017 --> 00:15:04.439]  I knew this 15 years ago, 16 years ago from my sources.
[00:15:06.300 --> 00:15:10.583]  That's why he uses the write-off claiming he's looking for sunken ships, you know, the Titanic and all that.
[00:15:10.603 --> 00:15:13.925]  And the guy has private ocean liners.
[00:15:14.898 --> 00:15:18.479]  Because you'll only be safe on one of those when they kill everybody.
[00:15:19.580 --> 00:15:21.201]  And I don't say this for effect.
[00:15:21.221 --> 00:15:22.101]  I don't say it to be shocking.
[00:15:23.542 --> 00:15:24.482]  Just get right with God.
[00:15:25.863 --> 00:15:30.524]  Because the only reason they haven't released the weapons yet is they don't have full control of Russia.
[00:15:31.245 --> 00:15:32.225]  They have control of China.
[00:15:32.625 --> 00:15:35.927]  If they had control of Russia and China, they have control of the EU, the US, most of the world.
[00:15:36.487 --> 00:15:38.067]  The globalists will release the bioweapon.
[00:15:39.268 --> 00:15:40.508]  And they will kill 90% of us.
[00:15:40.529 --> 00:15:41.429]  That's their admitted plan.
[00:15:42.941 --> 00:15:47.264]  But Russia still has nuclear weapons and the globals are worried it'll get out of control.
[00:15:47.445 --> 00:15:52.629]  Only reason we're all not dead right now is mutually assured destruction.
[00:15:52.949 --> 00:15:56.071]  We'll come back and talk about it on the other side.
[00:15:56.252 --> 00:15:56.672]  Stay with us.
[00:15:58.013 --> 00:16:11.802]   If you're a new listener and you tuned in for the first time and you heard me say that The corrupt globalists, eugenicists, depopulationists, corporate planetary rulership wants to kill 90% of you.
[00:16:11.942 --> 00:16:18.345]  I can play clips of Prince Charles, Prince Philip, Ted Turner, all of them saying that's the plan.
[00:16:19.505 --> 00:16:25.348]  And they finance both government and private entities, private labs, all over the world, on record.
[00:16:27.386 --> 00:16:29.747]  To produce weaponized mousepox alone.
[00:16:29.807 --> 00:16:57.124]  I remember 12 years ago, there was a big expose in ABC Australia, and they just asked the question, back when the media wasn't totally controlled, why did the Australian government crack the genetic code of mousepox, that when it's weaponized to humans kills 90 plus percent, and why did they release the genetic sequence to the world, so that other people could make it?
[00:16:57.912 --> 00:16:58.972]  Well, plausible liability.
[00:17:00.233 --> 00:17:04.615]  So, they're running around creating gain-of-function viruses.
[00:17:05.135 --> 00:17:09.937]  COVID was manufactured, but spread very easily, but mainly only killed old folks.
[00:17:10.797 --> 00:17:12.558]  It was very weak as a test.
[00:17:13.999 --> 00:17:16.480]  But it scared virologists, because when they looked at it, they knew it was man-made.
[00:17:16.520 --> 00:17:17.300]  Now that's all confirmed.
[00:17:17.320 --> 00:17:18.181]  We told you three years ago.
[00:17:18.721 --> 00:17:33.611]   Plus, And so remember them denying it came out of the Wuhan lab, and denying it first got made by Obama, who funded it with Fauci and Chapel Hill in 2012, 13, 14, 15, big controversy, even hit the news.
[00:17:34.331 --> 00:17:37.333]  So they were denying things that were in the news in 2014, 15.
[00:17:38.974 --> 00:17:43.537]  And that the program was stopped here, it was illegal, and scientists went public about it at Chapel Hill.
[00:17:44.958 --> 00:17:49.381]  So they moved it to Ukraine, after they overthrew the Ukrainian government in 2015.
[00:17:50.871 --> 00:17:57.436]  And they moved it to Wuhan so they could have plausible liability to blame the Chinese, who I'm not fans of.
[00:17:57.456 --> 00:17:58.177]  The Communist Chinese.
[00:17:58.477 --> 00:17:58.977]  Just facts.
[00:18:00.519 --> 00:18:02.420]  Now it's come out, the Pentagon was running the whole program.
[00:18:04.542 --> 00:18:10.787]  Anger as Biden administration hands another $2.3 million to EcoHealth Alliance to research bat coronaviruses and gain a function.
[00:18:11.707 --> 00:18:26.830]   We got links to mainline press releases by the federal government, science.org, Daily Mail, Associated Press, a lot of Telegraph, it goes on and on.
[00:18:29.192 --> 00:18:34.937]  So, multirational hearings, there's like eight of them, and Fauci, there's no such thing, we've never done gain of function.
[00:18:34.957 --> 00:18:49.239]   Well, here's emails ten years ago where he said, in favor of gain of function conference, and we're gonna create gain of function, and we're gonna do it with SARS viruses, and Then they had COVID-19 patented in 2019.
[00:18:49.680 --> 00:18:50.460]  That's all come out!
[00:18:51.340 --> 00:18:52.381]  Had it on the damn shelf!
[00:18:53.001 --> 00:18:54.281]  Had the vaccines already ready.
[00:18:54.582 --> 00:18:55.382]  So-called vaccines.
[00:18:57.723 --> 00:18:59.363]  It's so incredible how stupid they think we are.
[00:18:59.804 --> 00:19:06.606]  And now, oh, more funding for the very same thing in your face as if this is the only funding.
[00:19:06.987 --> 00:19:08.707]  But it's about rubbing our noses in it.
[00:19:09.988 --> 00:19:23.726]   Republican lawmakers have labeled as absolutely reckless, close quote, a decision to grant A further 2.3 million to the very same outfit at the center of the likely coronavirus lab leak that led directly to the global pandemic.
[00:19:27.227 --> 00:19:32.730]  Science.org says, NIH restarts bat virus grant suspended three years ago by Trump.
[00:19:34.310 --> 00:19:38.092]  Kerry Sheffield says, what fresh hell is this?
[00:19:39.032 --> 00:19:39.952]  Did we learn nothing?
[00:19:40.073 --> 00:19:43.334]  NIH restarts bat virus grant suspended three years ago by Trump?
[00:19:44.261 --> 00:19:48.823]  This new four-year grant is a stripped-down version of the original grant to the EcoHealth Alliance.
[00:19:50.043 --> 00:19:51.264]  Of course, that's just the federal grant.
[00:19:51.604 --> 00:19:53.164]  Google gave $10 million to the initiative.
[00:19:53.705 --> 00:19:55.385]  Facebook gave, what, $6 million?
[00:19:55.786 --> 00:19:59.487]  Oh yeah, they're all involved on the team, making the stuff to get rid of us.
[00:19:59.527 --> 00:20:02.948]  This was just the drill, the fire drill, the Kool-Aid drinking drill.
[00:20:02.968 --> 00:20:10.091]  You know, Jim Jones, every day, three times a day, drink your grape Kool-Aid, drink your cherry Kool-Aid, drink your root beer Kool-Aid, until the day it has cyanide in it.
[00:20:11.392 --> 00:20:12.172]  And you drink it and die.
[00:20:13.152 --> 00:20:27.555]  As reported in the Daily Mail, the Biden Administration, via the National Institutes of Health, has renewed the taxpayer grant for Ecovillage Hawaiians to research the coronavirus over the next four years, with the proviso that no gain-of-function activity is carried out, even though the whole thing is a gain-of-function program.
[00:20:27.955 --> 00:20:39.057]  Funding was previously blocked when it emerged that zoologist Peter Daszak had enabled the funneling of the money to the Welland Institute of Virology, where the research into making the virus more deadly was carried out, which they had met.
[00:20:41.087 --> 00:20:42.188]  What do you think about that?
[00:20:42.228 --> 00:20:43.689]  Does that make you a little angry?
[00:20:44.950 --> 00:20:57.939]  When you tuck your children in at night, or you go visit your mom in the nursing home, or you, you know, go into work and see your crew members, or when you go to church and go to Sunday school, or when you go to the bar and have a beer with the buds and maybe a hamburger.
[00:20:58.940 --> 00:21:09.808]  But while you just want to live your life and be a nice person, these crazy mad scientists are running completely roughshod over everything, saying, trust the science and transgendering and sterilizing our children.
[00:21:10.782 --> 00:21:19.867]  They're waging war on us because their religion is eugenics, their religion is depopulation, their religion is taking full control of culture and the world.
[00:21:21.668 --> 00:21:24.870]  We'll talk more about this as the day goes on.
[00:21:24.890 --> 00:21:26.951]  We're also going to get into what I mentioned yesterday we didn't cover.
[00:21:27.331 --> 00:21:29.092]  First baby with three parents, born.
[00:21:29.132 --> 00:21:29.933]  It's not a human.
[00:21:30.673 --> 00:21:31.894]  It is a humanoid.
[00:21:33.415 --> 00:21:34.475]  We'll be explaining that.
[00:21:34.535 --> 00:21:35.556]  It's not the first one born.
[00:21:35.576 --> 00:21:38.878]  They're just coming out of the closet with the whole New World Order agenda right now.
[00:21:40.535 --> 00:21:40.776]  All right.
[00:21:43.259 --> 00:21:43.860]  We're gonna go to break.
[00:21:43.900 --> 00:21:47.786]  Come back with Roger Stone and look at some of the excerpts of Trump's powerful town hall last night.
[00:21:48.267 --> 00:21:53.736]  The aftermath of the civil conviction for defaming a woman by saying he didn't rape her and he's innocent.
[00:21:54.721 --> 00:22:00.143]  Well, she runs around on TV and says rape is hot, rape is sexy, and just acts completely bonkers.
[00:22:00.783 --> 00:22:02.584]  Reportedly, her cat's name is Vagina.
[00:22:03.124 --> 00:22:04.685]  She called her black husband the ape.
[00:22:05.185 --> 00:22:08.186]  They had the evidence of this and witnesses, but weren't allowed to bring it in.
[00:22:08.827 --> 00:22:11.788]  The woman looks to me like an insane person, but whatever.
[00:22:12.915 --> 00:22:14.796]  We'll talk about that in the depth of due process.
[00:22:15.276 --> 00:22:18.597]  Real Red Pill Plus has been sold out for more than two years because of proprietary products in it.
[00:22:19.037 --> 00:22:19.577]  We couldn't get them.
[00:22:19.857 --> 00:22:21.678]  It's finally back, but it's about to sell out again.
[00:22:21.698 --> 00:22:28.500]  Probably won't be two years this time, but if you want to stock up on experience, as close as you're going to get to the Fountain of Youth with the Pregwinone and all the other key compounds that are in it.
[00:22:28.860 --> 00:22:29.760]  So good for your whole body.
[00:22:29.800 --> 00:22:32.101]  So good for your stamina, libido, energy.
[00:22:32.561 --> 00:22:33.361]  It is a must get.
[00:22:33.702 --> 00:22:34.002]  Still 40% off.
[00:22:35.714 --> 00:22:44.964]  But, the sale will end tomorrow afternoon, because it's almost sold out, and whatever's left will go to full price, because we're not going to get more in for months, and that full price will go towards funding the operation.
[00:22:44.984 --> 00:22:49.428]  If you want to support us more, wait until it goes back to full price tomorrow afternoon, and buy it then, but it's 40% off right now.
[00:22:49.448 --> 00:22:51.110]  If you've never experienced it, you really should.
[00:22:51.671 --> 00:22:53.312]  Ultimate bone broth, ladies and gentlemen!
[00:22:54.133 --> 00:22:55.433]  Upgraded, even better.
[00:22:55.534 --> 00:22:56.514]  It's called Plus now.
