[00:00:00.069 --> 00:00:00.850]  I understand.
[00:03:04.557 --> 00:03:18.683]  I want to commend the crew and just point out that I will be back in the office this afternoon with reports and more and I will also be back in studio tomorrow, Friday, hosting the full four hours of the transmission.
[00:03:18.703 --> 00:03:21.584]  I don't want to cut it as eight hours time so maybe I'll co-host with them.
[00:03:22.304 --> 00:03:26.864]   the fourth hour. So there is an update on that front and then I'll be back Saturday.
[00:03:26.864 --> 00:03:31.582]   We'll do a live show like we did last week for several hours at noon and of course we'll be back
[00:03:31.582 --> 00:03:39.903]   Sunday 4 to 8 p.m. Central with a Sunday transmission. So I am not lavishing myself
[00:03:39.903 --> 00:03:47.264]   being fed grapes under a palm tree somewhere. Huge, big news. You'll see it next week. I'll
[00:03:47.264 --> 00:03:53.743]   stop right there. Okay, the entire House of Cards is coming down for the left and I've pointed out
[00:03:53.743 --> 00:03:58.864]   that I am neutral on the Palestinian-Israel conflict but I do not support the Palestinians
[00:03:58.864 --> 00:04:04.383]   going in and killing all those men, women, and children. I also don't like some of the facts
[00:04:04.383 --> 00:04:09.343]   that the settlements have been involved in basically ethically cleansing the Muslims,
[00:04:09.343 --> 00:04:12.304]  the "Palestinians" as well.
[00:04:12.470 --> 00:04:13.451]  I am not a tribalist.
[00:04:13.571 --> 00:04:15.171]  I am not in one of those two tribes.
[00:04:15.952 --> 00:04:24.936]  And I see the larger 35,000-foot view that when it comes to Iran and Hezbollah and Hamas and the Democratic Party, they're in thick as thieves.
[00:04:25.436 --> 00:04:31.899]  The Democrats have unfrozen, as you know, $6 billion a month ago, and then that allowed them to reallocate the other money towards these attacks.
[00:04:32.379 --> 00:04:37.321]  Hamas has bragged that, obviously, Iran was helping coordinate and green-light the attack.
[00:04:37.421 --> 00:04:39.022]  I said that Saturday, the day of the attack.
[00:04:39.042 --> 00:04:39.922]  I got attacked for it.
[00:04:40.002 --> 00:04:41.603]  Now, it's admitted that I was right.
[00:04:42.003 --> 00:04:43.123]  That's just historical fact.
[00:04:43.544 --> 00:04:46.785]  So I knew when I was saying that, that there was already evidence of it was going to come out.
[00:04:47.905 --> 00:04:54.808]  Then if you expand on that, you also got, people are mad at me for saying $7 billion of weapons out of Afghanistan.
[00:04:54.828 --> 00:04:56.069]  They're saying it's $87 billion.
[00:04:56.789 --> 00:04:58.550]  The Pentagon number is $7 billion.
[00:04:58.610 --> 00:05:01.731]  Whether it's $7 billion or $87 billion, it doesn't matter.
[00:05:02.231 --> 00:05:03.652]  That was criminal what Biden did.
[00:05:03.952 --> 00:05:08.914]  And obviously it's way more than $7 billion, but that is an undisputed number.
[00:05:09.774 --> 00:05:13.399]  If you count all the infrastructure and all the things that were done, yes, it's over $80 billion.
[00:05:13.920 --> 00:05:18.627]  But $7 billion of weapons is just unbelievable.
[00:05:18.647 --> 00:05:22.011]  But let's just divide it in two and just say it's $40 billion in weapons.
[00:05:22.930 --> 00:05:24.532]  It's unprecedented.
[00:05:25.292 --> 00:05:31.858]  And if you or I sold one of our rifles to somebody in Hamas or Hezbollah, we'd get 20 years in prison.
[00:05:32.058 --> 00:05:32.719]  And we should.
[00:05:33.159 --> 00:05:39.545]  But when our government does it, and then knows full well what's going to happen, they get more power and more control over our lives.
[00:05:40.065 --> 00:05:46.891]  And the whole apparatus that was set up for 9-11 to deal with, quote, radical, aggressive expansions of Islam, has now been turned around against us.
[00:05:46.971 --> 00:05:49.874]  And that brings us into what's currently going on and happening.
[00:05:50.334 --> 00:05:58.600]  When our government allows intelligence failures like 9-11 or intelligence failures like we just saw in Israel, they get more power, they get more control, they get more funding.
[00:05:58.640 --> 00:06:00.802]  And we're seeing that yet again.
[00:06:00.842 --> 00:06:07.147]  And then we see Black Lives Matter, not just in New York, but in other major cities around the country.
[00:06:07.907 --> 00:06:11.650]  Demonstrating in support of Hamas and Hezbollah.
[00:06:12.071 --> 00:06:16.795]  I'm putting on images of hang gliders with the Palestinian flag and cheering them on.
[00:06:16.835 --> 00:06:19.997]  It shows you how sick these people are.
[00:06:21.198 --> 00:06:23.781]  Supporting the murder of women and children.
[00:06:24.541 --> 00:06:33.725]  And absolutely loving it because they hate everything the West stands for and they see Israel as being a big part of the West and it certainly is what I call more of a Western culture outpost.
[00:06:33.765 --> 00:06:49.431]  So these people will support terror attacks when they happen in America and I believe we will see Hamas or Hezbollah or both sleeper cells activate and carry out attacks sometime in the next year if the government isn't put on the spot and made to shut this crap down now.
[00:06:49.712 --> 00:06:50.352]  We'll be right back.
[00:06:50.472 --> 00:06:51.172]  InfoWars.com.
[00:06:51.212 --> 00:06:52.193]  Tomorrow's news today.
[00:06:52.213 --> 00:06:52.913]  Please stay with us.
[00:06:53.693 --> 00:06:55.474]  It's Thursday, October 12th.
[00:06:55.615 --> 00:06:56.035]  The year is 2023.
[00:06:56.135 --> 00:06:58.336]  I'm your host, Alex Jones.
[00:06:58.376 --> 00:07:01.238]  We're gonna be live here for the next four hours.
[00:07:01.258 --> 00:07:02.339]  All right.
[00:07:03.460 --> 00:07:15.908]  Obviously, the big story right now is the fact that Black Lives Matter has been publicly demonstrating, not just in New York, but around the country, praising the Hamas-Hezbollah attacks in Israel.
[00:07:17.309 --> 00:07:19.711]  Why is anyone surprised by this?
[00:07:21.684 --> 00:07:30.235]  The Democratic Party is funded by the largest, most powerful banks and BlackRock that control over 80% of all the assets and money in the world.
[00:07:31.252 --> 00:07:33.714]  They want to destroy the Western world.
[00:07:34.275 --> 00:07:38.379]  They don't want the third world aspiring to an American way of life.
[00:07:38.439 --> 00:07:48.729]  They admit this, it's their plan, and they're bringing in the ESGs and the central bank digital currencies for the social credit score to micromanage and control every facet of our life.
[00:07:49.390 --> 00:07:56.123]   And to get us ready for the discrimination the ESG's, they are coming out and saying, "Oh, we're going
[00:07:56.123 --> 00:08:00.302]   to have reparations for black people," or, "Oh, if a little black girl gets kidnapped, we're
[00:08:00.302 --> 00:08:04.893]   going to show that more on TV than a white girl because she's more important."
[00:08:04.893 --> 00:08:08.692]  That's meant to just train you to be discriminated against.
[00:08:08.692 --> 00:08:14.093]   So with the ESG's, they can discriminate against you because of what type of car you have or
[00:08:14.093 --> 00:08:19.852]   what type of foods you eat in that database to track and control every facet of your life.
[00:08:19.852 --> 00:08:21.552]  You don't have to wait for this to happen.
[00:08:21.552 --> 00:08:24.012]  This is being implemented now.
[00:08:24.012 --> 00:08:28.512]   The airlines, the big airlines and many other companies are already putting your carbon
[00:08:28.512 --> 00:08:33.493]   score and your ESG score on your ticket when you're checking in.
[00:08:33.493 --> 00:08:35.091]  So read the contract.
[00:08:35.091 --> 00:08:39.613]   They're getting you ready to force it on you, but they're already asking people to opt in
[00:08:39.613 --> 00:08:42.353]  and pay money for carbon offsets.
[00:08:42.353 --> 00:08:47.412]   Some of the carbon offsets go to set up these giant scrubbers here in the US, billion dollar
[00:08:47.412 --> 00:08:52.893]   factories, that suck carbon dioxide out of the air and then sequester it in the ground.
[00:08:52.893 --> 00:08:54.773]  It gets more insane than that.
[00:08:54.773 --> 00:08:58.093]  Obviously, we'll be covering it here more on the broadcast.
[00:08:58.093 --> 00:09:03.333]   Bill Gates, they're already doing it, are cutting down trees and burying them to "carbon
[00:09:03.333 --> 00:09:04.333]  offsets."
[00:09:04.333 --> 00:09:08.812]   So when you buy carbon offsets, you're paying to have life-giving gas sucked out of the
[00:09:08.812 --> 00:09:13.533]   atmosphere and to have trees cut down and to have initiatives to have farmers' land
[00:09:13.533 --> 00:09:16.812]   taken and ranchers' land taken, not just here but all over the world.
[00:09:16.868 --> 00:09:23.753]  It's happening now in the Netherlands and in Ireland, to literally kill off their cattle herds, because you know the answer.
[00:09:24.354 --> 00:09:33.861]  Methane that cows pass, fart, is now being listed as toxic as well, even though it's part of the atmosphere, and part of what holds the atmosphere in.
[00:09:33.881 --> 00:09:35.823]  But I'm going on a rabbit trail here.
[00:09:36.283 --> 00:10:01.591]   Reason I'm bringing this up is when you see Disney and Anheuser-Busch and all these big companies and Nike putting billions of dollars into Black Lives Matter in the last five years and funding these riots around the country and the vice president when she was a candidate Kamala Harris bailing out hundreds of violent offenders that were involved in arson and attacking people, you name it.
[00:10:01.611 --> 00:10:08.717]  They're literally encouraging their criminal mobs to be ready, when they activate them, to burn this country down.
[00:10:09.158 --> 00:10:15.583]  And that's the same reason they brought in all these Islamists, who are almost all military age men, same thing's happening here, into the United States.
[00:10:16.304 --> 00:10:23.390]   They're given smartphones by the UN, They're given smartphones by the State Department, U.S.
[00:10:23.410 --> 00:10:24.671]  aid operation, on record.
[00:10:25.051 --> 00:10:29.454]  They're given debit cards of thousands of dollars a month to get to the United States.
[00:10:30.315 --> 00:10:36.299]  And once they're here, they're politically organized into groups that they control.
[00:10:36.680 --> 00:10:38.141]  So they're not soldiers yet.
[00:10:38.221 --> 00:10:38.901]  Some of them are.
[00:10:39.742 --> 00:10:48.066]  But what they are is a block of people that criminal government controls because they can deport them any time they want.
[00:10:48.106 --> 00:10:54.269]  But all of their deportation hearings have been set at least a year to two years out.
[00:10:54.770 --> 00:10:58.331]  Most of them have been set in the year 2030, many in the year 2035.
[00:10:59.312 --> 00:11:00.973]  You heard me right.
[00:11:01.013 --> 00:11:01.913]  Look it up yourself.
[00:11:02.233 --> 00:11:03.194]  You can't make this up.
[00:11:03.614 --> 00:11:11.876]   So as long as they behave themselves, as long as they keep the cell phone on them, as long as they are are under globalist control,
[00:11:11.876 --> 00:11:13.417]  then they're allowed to stay in the country.
[00:11:13.417 --> 00:11:17.436]   But before they get here, they're put in a refugee camp in Africa
[00:11:17.436 --> 00:11:22.736]   or in areas of Latin America or areas of the Middle East for up to a year, usually about six months.
[00:11:22.736 --> 00:11:27.336]   They're brainwashed, they're prepared to hate Europe, to hate America, to hate white people.
[00:11:27.336 --> 00:11:28.456]  This is on record.
[00:11:28.456 --> 00:11:32.976]   They're then brought into the next country and then they stay in another refugee camp
[00:11:32.976 --> 00:11:36.535]  to be brainwashed and prepared for a few more weeks.
[00:11:36.535 --> 00:11:42.056]   And then they're sent to refugee centers, quote, migrant centers, illegal alien invader centers,
[00:11:42.056 --> 00:11:45.817]   all over the United States because places like Illinois and New York
[00:11:45.817 --> 00:11:46.976]  are getting pissed off.
[00:11:47.101 --> 00:11:56.507]  Biden has announced that they're planning to sign an executive order as early as next week to put ankle bracelets on them and make them stay permanently in Texas and Arizona.
[00:11:57.087 --> 00:11:58.528]  Now you can see the control.
[00:11:58.948 --> 00:12:01.950]  That's how they're going to turn the states blue by giving them driver's license.
[00:12:02.510 --> 00:12:06.954]  And then by letting them vote as they're already doing in city elections across the country.
[00:12:07.234 --> 00:12:08.415]  So this is the admitted plan.
[00:12:08.435 --> 00:12:09.697]  This is the replacement migration.
[00:12:10.417 --> 00:12:12.359]  It's why the ADL comes after you if you talk about it.
[00:12:12.739 --> 00:12:17.063]  Because if America wakes up to this and stops this, it's over.
[00:12:17.743 --> 00:12:18.324]  It's over.
[00:12:18.965 --> 00:12:21.687]  Biden's brought in 10 million conservatively since he got in.
[00:12:22.087 --> 00:12:23.128]  That's a conservative number.
[00:12:23.849 --> 00:12:24.950]  4 million confirmed.
[00:12:24.990 --> 00:12:25.710]  That's confirmed.
[00:12:26.651 --> 00:12:45.180]  Just this year so far and it is Accelerating so when you see the squad out there celebrating these attacks In Israel that are so brutal Understand a lot of people don't like Israel people don't like other countries.
[00:12:45.220 --> 00:12:55.844]   They don't like having to give money to Israel I don't think Israel's perfect either, but understand this there are much bigger sleeper cells inside the United States tens of thousands of In cities like New York.
[00:12:56.204 --> 00:13:05.267]  Thousands in cities like Dallas, conservatively, in Austin, Texas, that are ready to attack when they're given the order over their cell phone.
[00:13:05.647 --> 00:13:07.368]  Ready to shoot you up at the bus station.
[00:13:07.408 --> 00:13:08.448]  Ready to attack your church.
[00:13:08.788 --> 00:13:09.888]  Ready to attack your synagogue.
[00:13:09.948 --> 00:13:11.169]  Ready to attack the police station.
[00:13:11.469 --> 00:13:12.889]  Ready to set up a truck bomb.
[00:13:13.389 --> 00:13:15.130]  Ready to poison a water supply.
[00:13:15.450 --> 00:13:21.832]  Ready to dump chlorine gas, because they're the maintenance man, down a 50-story ventilation system in your building and kill you.
[00:13:22.492 --> 00:13:24.234]  So understand that's what they're training to do.
[00:13:24.515 --> 00:13:25.936]  That's what Iran's training them to do.
[00:13:26.337 --> 00:13:27.138]  They're prepared.
[00:13:27.438 --> 00:13:28.980]  They're ready to do it.
[00:13:29.460 --> 00:13:39.232]  And of course, when it happens, then Biden will just be able to get more power and more control and maybe even suspend the election coming up in only 12 and a half months.
[00:13:39.912 --> 00:13:41.014]  That's what they've been setting up.
[00:13:41.394 --> 00:13:45.699]  That's what they've been preparing and this is a life and death situation.
[00:13:45.759 --> 00:13:52.266]  So just like we made their attempts to run new lockdowns a number one issue and backed them down to a great extent in the last two months.
[00:13:52.807 --> 00:14:06.857]   If we get ahead of this and call Congress and call C-SPAN and call our legislatures and go to the meet and greets with Congress people and peacefully but forcefully get in their face very decisively and tell them when the terror attacks come
[00:14:06.857 --> 00:14:11.857]   with these Hamas and Hezbollah cells, it'll be Hamas directed, excuse me, Hezbollah
[00:14:11.857 --> 00:14:16.997]   directed, when that happens they will be held accountable for their criminal
[00:14:16.997 --> 00:14:21.527]   negligence and really racketeering and working with these organizations to
[00:14:21.527 --> 00:14:27.007]   do it. The CIA and the FBI are saying the number one threat is Trump
[00:14:27.007 --> 00:14:28.317]  supporters.
[00:14:27.017 --> 00:14:29.281]  The CIA is not supposed to even be operating domestically.
[00:14:29.601 --> 00:14:32.726]  Came out in Congress months ago, but that's indeed what they've been doing.
[00:14:33.207 --> 00:14:34.228]  So this is the setup.
[00:14:34.328 --> 00:14:37.894]  Remember, after 9-11, did the government get in trouble for letting it happen, bare minimum?
[00:14:38.294 --> 00:14:39.815]  No, they got more power and control.
[00:14:40.135 --> 00:14:41.857]  And it was always about the American people.
[00:14:42.217 --> 00:14:43.958]  And now that's what's been set up here again.
[00:14:44.278 --> 00:14:47.341]  So again, emergency alert, emergency alert.
[00:14:47.741 --> 00:14:52.904]  There are hundreds of thousands of military age jihadis in the United States.
[00:14:53.445 --> 00:14:57.348]  Hundreds of thousands of them that came in under Obama and that came in under Biden.
[00:14:57.388 --> 00:14:58.829]  Trump shut it down.
[00:14:59.669 --> 00:15:02.972]  99%.
[00:14:59.709 --> 00:15:02.972]  Banned them even coming in from nine countries.
[00:15:03.312 --> 00:15:03.712]  Period.
[00:15:03.752 --> 00:15:05.413]  Because they were flooding in under Obama.
[00:15:05.734 --> 00:15:06.414]  And they are here.
[00:15:06.854 --> 00:15:07.535]  And they are ready.
[00:15:07.895 --> 00:15:08.656]  And they are pissed.
[00:15:08.916 --> 00:15:09.656]  And they're ready to go.
[00:15:09.856 --> 00:15:10.877]  And they're all over Europe.
[00:15:11.297 --> 00:15:12.418]  And they're all over the UK.
[00:15:12.738 --> 00:15:13.879]  And they're all over Australia.
[00:15:14.099 --> 00:15:15.160]  And they're all over New Zealand.
[00:15:15.420 --> 00:15:18.663]  And they're all over every other major western country.
[00:15:18.943 --> 00:15:21.985]  They have huge trading camps in northern Mexico that are on record.
[00:15:22.425 --> 00:15:23.706]  Local newscasts have carried it.
[00:15:24.267 --> 00:15:26.368]  This is the globalist ace in the hole.
[00:15:26.748 --> 00:15:31.807]   They basically have a self-destruct system or a suicide bomb planted on our chest with
[00:15:31.807 --> 00:15:33.948]  these hundreds of thousands of military-age men.
[00:15:33.948 --> 00:15:37.267]   So even though you're not a suicide bomber, your government has brought in those suicide
[00:15:37.267 --> 00:15:43.748]   bombers who have collectively put a big suicide bomb, three pounds of C4 explosives strapped
[00:15:43.748 --> 00:15:48.267]   to America's chest, that any time the Ayatollah, Khomeini, or any of the other people who are
[00:15:48.274 --> 00:16:00.559]  Anytime any of these people want to give that order, their sleeper cells are going to murder you and your family, and then the government's going to put you under martial law and take your freedoms and target you with a giant police state they've set up.
[00:16:00.919 --> 00:16:03.840]  And that's the reality, and that's why it's important to support InfoWars.
[00:16:04.280 --> 00:16:06.341]  That's why it's important to spread the word about this broadcast.
[00:16:06.581 --> 00:16:11.743]  That's why it's life and death to get this past the censors and get this posted on Twitter and Instagram and everywhere else.
[00:16:12.043 --> 00:16:13.224]  How many times do I have to be right?
[00:16:13.444 --> 00:16:15.785]  How many times do I have to tell you before it happens again?
[00:16:16.025 --> 00:16:20.048]  And this time it's going to be much worse than 9-11 with thousands of little attacks.
[00:16:20.348 --> 00:16:21.409]  InfoWars.com.
[00:16:21.609 --> 00:16:22.529]  Tomorrow's news today.
[00:16:22.509 --> 00:16:41.909]  We'll be right back.
[00:16:41.958 --> 00:16:46.620]  Exactly one year before the invasion, Alex Jones predicted it.
[00:16:47.221 --> 00:16:50.082]  So now everybody's going, wow, it really was the Iraqis.
[00:16:50.102 --> 00:16:51.823]  That's just because they're getting ready to invade Iraq.
[00:16:52.884 --> 00:16:53.864]  What a beautiful setup.
[00:16:54.245 --> 00:17:00.368]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:17:00.668 --> 00:17:05.288]   Visit info wars.com forward slash show and share the link today
[00:17:05.288 --> 00:17:29.095]   And we are back live on this Thursday edition Owen Schroer and others are set to take over here in just a few moments.
[00:17:29.355 --> 00:17:33.038]  But I wanted to go back to something I mentioned last segment because I just mentioned it and I didn't get back to it.
[00:17:33.378 --> 00:17:37.401]  It probably sounded crazy like when I say Bill Gates wants to cut trees down or block out the sun.
[00:17:37.481 --> 00:17:37.861]  Look it up.
[00:17:37.961 --> 00:17:38.322]  It's real.
[00:17:38.822 --> 00:17:42.224]  California introduces ebony alert to find missing black kids, young women.
[00:17:42.645 --> 00:17:49.770]  So on highway signs and on amber alerts and on jumbotrons inside the cities, they're going to tell you a little black girl gets kidnapped.
[00:17:50.310 --> 00:17:50.990]  Or black boy.
[00:17:51.031 --> 00:17:51.271]  Great!
[00:17:51.811 --> 00:17:53.072]  Anytime they can adapt, they should.
[00:17:53.492 --> 00:17:58.836]  Colorblind, no matter what color they are, whether they got, you know, white skin with little freckles or brown skin.
[00:17:59.116 --> 00:18:06.400]  That is so evil to introduce the idea of race, but that's what they're going to to divide and conquer and control.
[00:18:06.661 --> 00:18:08.662]  These are very sick, evil people.
[00:18:09.262 --> 00:18:17.846]  And that's why they're sowing the seeds of racism and trying to bring back basically segregation into this country where the Democratic Party controls and manipulates the different sides.
[00:18:18.246 --> 00:18:21.268]  Please support InfoWars now more than ever.
[00:18:21.868 --> 00:18:25.509]  Please, please stand with InfoWars now more than ever.
[00:18:26.030 --> 00:18:28.151]  And understand that we are not backing down.
[00:18:28.971 --> 00:18:32.214]  And understand that we've got our finger on the pulse of what's really going on.
[00:18:32.734 --> 00:18:39.900]  And understand that we are the most hated by the globalists because we have the greatest understanding of how they operate and what their game plan is.
[00:18:40.200 --> 00:18:46.365]  And that if this message gets out to the wider masses, it is game over for the globalists.
[00:18:46.385 --> 00:18:46.926]  Now that said...
[00:18:47.526 --> 00:18:52.691]  When I leave town, revenue drops massively at InfoWars to a point where we'll shut down if I basically wasn't the host.
[00:18:52.711 --> 00:18:55.353]  Nothing against the other hosts, they're amazing, but it's the Alex Jones Show.
[00:18:55.373 --> 00:18:57.816]  People tune in for me because that's the basis of the show.
[00:18:58.216 --> 00:18:59.097]  We need your support.
[00:18:59.397 --> 00:19:02.079]  We're fighting for you, we're fighting for ourselves, we're fighting for our children.
[00:19:02.560 --> 00:19:05.603]  We have a flash sale of DNA Force Plus that is our flagship product.
[00:19:05.683 --> 00:19:07.484]  It's so good for your whole body, so good for your cells.
[00:19:07.805 --> 00:19:09.686]  Makes your telomeres last longer, does so much.
[00:19:10.147 --> 00:19:12.169]  It is powerful, it is real, it works.
[00:19:12.529 --> 00:19:15.774]  It detoxifies your cells, your blood, everything you need to get it.
[00:19:15.794 --> 00:19:17.997]  50% off, we haven't done that in a year.
[00:19:18.017 --> 00:19:20.681]  Infowarsstore.com.
[00:19:20.882 --> 00:19:23.185]  Infowarsstore.com or 888-253-3139.
[00:19:23.245 --> 00:19:24.066]  Also my new book.
[00:19:28.112 --> 00:19:28.912]  The Great Awakening.
[00:19:29.232 --> 00:19:32.173]  The plan to defeat the globalists and launch the second great renaissance.
[00:19:32.393 --> 00:19:37.915]  It is available and starts shipping in just seven days at InfoWarsStore.com.
[00:19:37.955 --> 00:19:38.695]  It's in stock.
[00:19:39.095 --> 00:19:40.716]  We have the signed and unsigned copies.
[00:19:40.736 --> 00:19:41.976]  The signed copies are a fundraiser.
[00:19:41.996 --> 00:19:43.196]  I want to thank you all for your support.
[00:19:43.696 --> 00:19:45.597]  InfoWars Platinum is back in stock.
[00:19:45.937 --> 00:19:47.097]  The HGH Max Boost.
[00:19:47.117 --> 00:19:49.058]  The 1776 Testosterone Boost.
[00:19:49.598 --> 00:19:50.398]  The Pain MD.
[00:19:50.458 --> 00:19:56.540]   They're all three private labels of an already nationwide certified bestseller that people absolutely love and works That's great.
[00:19:56.640 --> 00:19:58.262]  Infowars Platinum, back in stock.
[00:19:58.362 --> 00:20:01.445]  InfowarsStore.com or 888-253-3139.
[00:20:01.765 --> 00:20:04.847]  Owen is loaded for bears, so is the rest of the crew.
[00:20:05.308 --> 00:20:07.850]  Huge amounts of news and information for you today.
[00:20:08.391 --> 00:20:20.221]  Please spread the word about the broadcasts, how we bypass the sensors and the controllers, and how we expose the plan to launch the new 9-11 in South America and Europe to bring us under the total police state control grid.
[00:20:20.501 --> 00:20:21.382]  They're doing it with COVID.
[00:20:21.562 --> 00:20:23.504]  They're doing it with the climate change garbage.
[00:20:23.844 --> 00:20:27.988]  They're doing it with the water power grab, and now they're coming for all of our freedoms.
[00:20:28.728 --> 00:20:29.569]  We've got to stop them.
[00:20:29.609 --> 00:20:30.530]  We've got to recognize that.
[00:20:30.550 --> 00:20:31.311]  We've got to wake up.
[00:20:31.351 --> 00:20:32.171]  We've got to say no.
[00:20:32.472 --> 00:20:37.296]  But it takes funds and money and word of mouth to run this operation in the face of these sensors and controllers.
[00:20:37.676 --> 00:20:46.304]  So I'm counting on you to break the back of the sensors and the controllers by sharing the live links to this show right now and supporting the broadcast at InfoWarsTour.com.
[00:20:46.464 --> 00:20:47.105]  Thank you so much.
[00:20:47.685 --> 00:20:48.345]  Thank you, Alex.
[00:20:48.405 --> 00:20:50.847]  We are now live inside the InfoWars World Headquarters.
[00:20:50.927 --> 00:20:52.808]  Owen Schroer sitting next to me, Chase Geiser.
[00:20:53.608 --> 00:20:57.950]  And we're going to be discussing some odds and ends here in the short time we have remaining in this segment.
[00:20:58.390 --> 00:21:03.653]  In the next segment, we're going to have the individual on who Dan Crenshaw tried to assault, tried to trip.
[00:21:04.293 --> 00:21:17.258]  Uh, quite frankly, for Crenshaw's sake and the guest coming up, Noel Frisch's sake, he's lucky that he didn't actually trip and fall and bust his head on the steps because that would have been some serious medical issues.
[00:21:17.318 --> 00:21:24.161]  And then for Crenshaw, I mean, maybe some jail time, but I guess he's a protected member of the Swamp, so probably wouldn't have been a problem for him.
[00:21:25.221 --> 00:21:38.513]  And then, after that, I have heard that Alex is going to be coming back on the show with a devastating report on the sleeper cells that could be in the United States right now, waiting to have the Hamas moment that they had in Israel.
[00:21:39.540 --> 00:21:46.205]  Which will of course be celebrated by the American left because they hate this country, they want the open borders, and we've seen too much of that.
[00:21:46.305 --> 00:21:49.848]  Burning the American flag, they hate cops, they hate white people, I mean they just hate everything.
[00:21:50.268 --> 00:21:50.948]  It's hate in their heart.
[00:21:52.169 --> 00:21:55.412]  Now I want to just get something out there too.
[00:21:55.432 --> 00:21:57.793]  We're going to be monitoring the House Speaker race.
[00:21:58.934 --> 00:22:06.399]  Now, I did not think Steve Scalise would have much of a struggle to become the next speaker, but it looks like he may, actually.
[00:22:07.000 --> 00:22:09.382]  And so we'll be talking about that as well.
[00:22:09.402 --> 00:22:12.624]  But first, I want to play this clip and then get Chase Geyser's response.
[00:22:12.924 --> 00:22:16.086]  This was John Kirby yesterday addressing the media.
