[00:00:00.189 --> 00:00:04.193]  Ladies and gentlemen, we've got something really special for you here today.
[00:08:42.992 --> 00:08:51.778]  We're going to block the links conspiracyfact.info and we're going to break the will of the American people and others.
[00:08:52.178 --> 00:08:55.200]  And it's going to be the reign of people like me.
[00:08:55.560 --> 00:09:05.246]  I've seen your jokes over the years that if you were casting somebody in a Hollywood movie to play the part of a pedophile, you'd cast me.
[00:09:05.787 --> 00:09:07.128]  But let me tell you something.
[00:09:07.828 --> 00:09:15.954]  Through the transgenderism we have control of your children and we're going to sterilize them.
[00:09:16.514 --> 00:09:23.559]  So I gotta get back to my forum on a big global organization working with the UN and Big Tech to censor you.
[00:09:25.881 --> 00:09:27.242]  There's nothing you can do!
[00:09:27.562 --> 00:09:29.103]  We're gonna rip your body!
[00:09:29.123 --> 00:09:30.524]  Rip your medical rights!
[00:09:30.624 --> 00:09:31.965]  Rip your children's minds!
[00:09:32.185 --> 00:09:33.646]  We're gonna ship Finland!
[00:09:33.866 --> 00:09:35.427]  We're gonna destroy every facet!
[00:09:35.466 --> 00:09:36.787]  Everyone rules!
[00:09:36.787 --> 00:09:41.787]  [laughing]
[00:09:41.787 --> 00:09:47.547]  And finally, I just want to say, I love Bill Gates too!
[00:09:47.606 --> 00:09:51.248]  And Bill Gates knows what's best for your life and your body.
[00:09:51.688 --> 00:09:56.171]  And I'm so proud of our record with the shots that are safe and effective.
[00:09:56.472 --> 00:09:58.953]  If you have the shots, you cannot get COVID.
[00:09:59.514 --> 00:10:01.955]  And they, by the way, cure you of everything else.
[00:10:02.336 --> 00:10:05.458]  So go out and take all your shots.
[00:10:05.838 --> 00:10:09.861]  I've got to get back to the Davos Group and the WEF and running your life.
[00:10:10.541 --> 00:10:11.702]  Bye-bye, slaves!
[00:10:11.842 --> 00:10:13.263]  What do you say to that, folks?
[00:10:14.944 --> 00:10:15.785]  Everybody hates him.
[00:10:15.805 --> 00:10:16.746]  He's a laughingstock.
[00:10:18.467 --> 00:10:24.452]  And now where does he run but to his bosses that were controlling him all along?
[00:10:24.932 --> 00:10:32.178]  So I'm going to end this little interview here before we come back live with a short compilation of Klaus Schwab talking about how he penetrates the cabinets.
[00:10:32.638 --> 00:10:37.102]  Now they're going to put the microchips in you and some of the other terrible things these people have said.
[00:10:37.950 --> 00:10:40.432]  They think we're their slaves.
[00:10:40.552 --> 00:10:42.013]  They think that they can destroy us.
[00:10:42.073 --> 00:10:47.236]  But if we wake up to who they are and expose them, we can and we will bring them down.
[00:10:47.496 --> 00:10:49.037]  And that's already currently happening.
[00:10:49.458 --> 00:10:55.182]  So for myself, the entire Fort Worth family, I'm going to let Brian Stilter and his bosses know, you will be defeated.
[00:10:55.962 --> 00:10:58.524]  And the answer to 1984 is 1776.
[00:10:58.824 --> 00:11:08.049]  The young generation, like Prime Minister Trudeau, half of this government, are actually young global leaders of the world.
[00:11:08.509 --> 00:11:12.872]  So if we penetrate the cabinets, the change is not just happening.
[00:11:13.992 --> 00:11:17.734]  The change can be shaped by us.
[00:11:18.535 --> 00:11:20.996]  We have to prepare for a more angry world.
[00:11:21.457 --> 00:11:22.397]  How to prepare?
[00:11:22.577 --> 00:11:25.699]  To take the necessary action to create a fairer world.
[00:11:28.832 --> 00:11:30.573]  I see the need for a great reset.
[00:11:31.273 --> 00:11:38.357]  So people assume we are just going back to the good old world which we had and everything will be normal again.
[00:11:38.377 --> 00:11:41.579]  This is, let's say, fiction.
[00:11:42.019 --> 00:11:42.899]  It will not happen.
[00:11:43.420 --> 00:11:47.001]  There is only one way this pandemic is going to go.
[00:11:47.802 --> 00:11:50.863]  It's going to get worse and worse and worse.
[00:11:51.464 --> 00:11:53.625]  Pay insufficient attention.
[00:11:54.537 --> 00:12:09.523]  To the frightening scenario of a comprehensive cyber attack, which would bring to a complete halt to the power supply, transportation, hospital services, our society as a whole.
[00:12:11.183 --> 00:12:23.183]   The COVID-19 crisis would be seen in this respect as a small disturbance in comparison to a major cyber attack.
[00:12:23.183 --> 00:12:34.183]  Good, Brian's got the good!
[00:12:34.536 --> 00:12:38.578]  This message brought to you by CCP, main sponsor of W.E.B.
[00:12:38.638 --> 00:12:39.378]  and Gross World.
[00:12:39.778 --> 00:12:48.481]  Do not visit Infowars.com, do not visit, do not be part of special broadcasts, do not go to ConspiracyFact.info.
[00:12:48.922 --> 00:12:50.022]  I have to hatch you out!
[00:12:51.963 --> 00:13:04.471]  In the year 2000, Alex Jones' film, Dark Secrets Inside Bohemian Grove, showed the world how our so-called elite leaders practice mock ritual sacrifices in private.
[00:13:07.290 --> 00:13:17.077]  In 2007, Alex Jones releases Endgame, exposing the world elite's plans for covertly using biological weapons against all of mankind.
[00:13:17.537 --> 00:13:28.864]  And by the time they launched their attack in 2020, Alex Jones' InfoWars and our audience were there to warn the people of the deadly vaccines that we knew were coming.
[00:13:29.365 --> 00:13:30.906]  This is why they attack us.
[00:13:31.366 --> 00:13:33.608]  This is why we need your support.
[00:13:33.928 --> 00:13:35.269]  Because we tell the truth.
[00:13:35.730 --> 00:13:37.291]  Alex Jones was right.
[00:13:37.812 --> 00:13:39.933]  Join the resistance this Tuesday.
[00:13:40.334 --> 00:13:41.114]  All day long.
[00:13:41.595 --> 00:13:44.037]  The Alex Jones was right marathon.
[00:13:44.477 --> 00:13:46.399]  Join us in the fight for freedom.
[00:13:46.819 --> 00:13:48.961]  And help us defeat the New World Order.
[00:13:51.650 --> 00:13:54.432]  Tuesday, January 17th, 2022.
[00:13:54.992 --> 00:13:57.373]  Coming up in just a few hours is a very special date.
[00:13:57.954 --> 00:14:00.315]  A special marathon broadcast at 8 a.m.
[00:14:00.635 --> 00:14:06.579]  past midnight where we expose the globalists' deepest, darkest secrets and lay out their future plans and how to stop them.
[00:14:06.939 --> 00:14:10.901]  Join me and tell others to join us this Tuesday starting at 8 a.m.
[00:14:11.201 --> 00:14:13.463]  at InfoWars.com forward slash show.
