[00:00:00.029 --> 00:00:00.509]  Guess what?
[00:09:07.431 --> 00:09:12.234]  When I get upset, when I get angry, when I start going into a rage, I just say what I'm thinking.
[00:09:13.440 --> 00:09:15.341]  And that's what I was thinking.
[00:09:16.721 --> 00:09:28.745]  I did cogently when I was getting remarried seven years ago, in Hawaii of all places, with my second wife, who soon to be was pregnant with my fourth child.
[00:09:28.785 --> 00:09:32.186]  My daughter is now almost seven or six and a half.
[00:09:34.006 --> 00:09:35.967]  She wasn't pressuring me to quit or cut back.
[00:09:37.026 --> 00:09:39.428]  I said, hey, I work, as you know, 15 hours a day.
[00:09:39.448 --> 00:09:41.049]  I never take off back then, especially.
[00:09:41.069 --> 00:09:45.213]  And I said, I'd really like to keep him forwards going with other hosts that host the show.
[00:09:45.893 --> 00:09:57.463]  I like to do special reports a few times a week, write books, make films, and really come in with well thought out mini documentaries and things like I've done in the past that are really the most effective.
[00:09:58.463 --> 00:10:06.222]   And that after at that point doing like 24 years, 23 years on air, now it's 29, that
[00:10:06.222 --> 00:10:13.103]  I really wanted to make that transition.
[00:10:13.347 --> 00:10:31.800]  And I hate to let our enemies govern what I do, but they do, because the world's just in too much trouble for me to try to shift into more of a analysis guru type guy that just sits back and puts out the Jordan Peterson broad brushes.
[00:10:32.981 --> 00:10:36.884]  I've got to stay as a general in the information war, right in the thick of the battle.
[00:10:36.964 --> 00:10:38.245]  That's my lot in life.
[00:10:39.438 --> 00:10:47.426]  And the fact that my enemies really want to get me off air and really want to silence me, and know how important our role is, lets me know that it's my responsibility.
[00:10:48.086 --> 00:10:52.490]  And so instead of cutting back, as you've seen, I started a new show weekly with Crowder.
[00:10:52.991 --> 00:10:55.373]  We'll be starting shows about three days a week very soon.
[00:10:55.393 --> 00:11:04.481]  And we're doing more special reports again, and I'm writing books, and we're going into development on films, and I'm going in a lot of other shows.
[00:11:05.402 --> 00:11:16.972]  I can always open up the company email and have 50 interview requests a day, and for years I just politely declined almost all of them just because it's too exhausting.
[00:11:17.012 --> 00:11:25.399]  But now I'm doing interviews every day, some days three or four times a day, and I just want my enemies to know that you did this.
[00:11:26.580 --> 00:11:41.952]   And that's how the Lord works, is because I'm not going to be allowed to Like at the end of The Patriot, Mel Gibson is a composite of three true stories, composite of historical fiction.
[00:11:43.172 --> 00:11:48.095]  I'm comparing myself to him, a fictional composite of real characters, Swamp Fox and others.
[00:11:48.855 --> 00:11:56.038]  But it really just does come down to that is it's duty and I'm going to continue on and most days I want to be here.
[00:11:57.419 --> 00:11:59.580]  Sometimes I do want to forget this all exists.
[00:12:01.184 --> 00:12:07.367]  On one end, you've got us that are totally committed to fighting, and you the hardcore listeners and viewers and activists who I salute.
[00:12:07.828 --> 00:12:12.490]  On the other end, you've got people that still are in La La Land and have no idea what's going on.
[00:12:13.331 --> 00:12:19.034]  And the globalists count on keeping all of them in the dark so they're not aware of what's going on.
[00:12:19.074 --> 00:12:19.914]  It's really that simple.
[00:12:20.555 --> 00:12:24.897]  And so, we can go try to disengage the New World Order, but it's coming for us.
[00:12:24.997 --> 00:12:25.917]  It's not going to go away.
[00:12:26.598 --> 00:12:35.414]   And the road of sticking our head in the sand, even partially, Very quickly will bring us into a dystopic nightmare, as you can already see.
[00:12:35.754 --> 00:12:36.315]  We're entering.
[00:12:37.375 --> 00:12:41.598]  And so the cautionary tale I give you about myself is one for yourself.
[00:12:41.618 --> 00:12:46.882]  Because I would imagine a lot of you would rather we're not in this situation.
[00:12:47.623 --> 00:12:48.663]  In fact, I think all of you.
[00:12:49.364 --> 00:12:56.029]  But we talked about those that are still asleep and those of us that are awakening or coming to new levels of understanding.
[00:12:56.809 --> 00:13:17.377]   But then there is that tiny minority of people Very race, color, and creed, but they serve evil, who count on our laziness, or count on the fact that we're sick of engaging them, or count on the fact that they're so disgusting that we really don't want to get in the pit with them and fight them.
[00:13:18.177 --> 00:13:20.378]  Not out of cowardice, but just out of disgust.
[00:13:21.178 --> 00:13:28.941]  But you've got to understand, those of us that are warriors have to climb down into that pit.
[00:13:31.508 --> 00:13:40.730]  And we have to engage these people, because that pit is caving in all around itself, sucking like a black hole all of civilization into it.
[00:13:41.930 --> 00:13:51.031]  So, I was also frustrated with myself yesterday, because two and a half hours into the show, I had only hit maybe three of the stacks.
[00:13:51.292 --> 00:13:57.593]  And every one of these stacks, a bunch of them from yesterday, a bunch of them from today, is beyond amazing.
[00:13:58.313 --> 00:13:59.413]  Beyond critical.
[00:14:01.607 --> 00:14:02.968]  So we have official U.S.
[00:14:02.988 --> 00:14:05.750]  government documents on weather control to control the population.
[00:14:07.731 --> 00:14:12.594]  Going back to 1965 and up to today, easily you can spend two hours on that.
[00:14:12.654 --> 00:14:14.095]  We're going to hit it and spend 10 minutes on it.
[00:14:14.976 --> 00:14:15.796]  Give me the synopsis.
[00:14:17.537 --> 00:14:20.079]  We've got the over-the-top developments in Ukraine and Russia.
[00:14:22.581 --> 00:14:29.205]  We've got the Washington Post and New York Times and others and new articles calling for censoring the public for the greater good.
[00:14:30.402 --> 00:14:32.143]  Evil for the cause of good.
[00:14:32.263 --> 00:14:33.264]  Injustifies the means.
[00:14:34.365 --> 00:14:42.451]  We have the insane developments in the different Trump kangaroo trials that are being developed and set up.
[00:14:45.153 --> 00:14:50.477]  We have it all coming up today and so much more.
[00:14:51.538 --> 00:14:53.560]  So you will definitely want to stay with us for this.
[00:14:54.901 --> 00:15:25.618]   Now the first thing I want to hit when we come back California and New York, two captured states on each end of the country, on each coast, on the Atlantic and Pacific side, have officially rolled out new COVID protocols and mandates on their websites, and I'll show it to you, and said that indeed they're bringing back the controls.
[00:15:26.957 --> 00:15:40.106]  Now we're not spineless creatures, so we're going to be able to expose this and block this on the second go-around, but we really caught them with their pants down almost two weeks ago with the whistleblower info.
[00:15:40.886 --> 00:15:43.668]  They still went ahead with their rollout of the fear, and it's here.
[00:15:44.389 --> 00:15:52.214]  But I was sent by the whistleblower this morning a link to the California website they just updated yesterday.
[00:15:53.829 --> 00:15:57.970]  And it says the controls are back, and here they are, right there in black and white.
[00:15:57.990 --> 00:15:59.311]  They're going to roll them out.
[00:16:00.371 --> 00:16:02.352]  So we have that, and a lot more.
[00:16:03.052 --> 00:16:04.572]  That's just one of the stacks.
[00:16:05.532 --> 00:16:05.953]  Right here.
[00:16:06.893 --> 00:16:09.494]  When we come back, it's all on InfoWars.com.
[00:16:10.094 --> 00:16:11.914]  The tip of the spear in the fight for human liberty.
[00:16:12.394 --> 00:16:12.835]  Stay with us.
[00:16:14.195 --> 00:16:15.235]  You want to stop tyranny?
[00:16:16.436 --> 00:16:18.796]  Well, so do I. And I know how to do it.
[00:16:19.897 --> 00:16:20.757]  And you know how to do it.
[00:16:21.618 --> 00:16:34.691]  And together, we're going to choose the way forward as we arrive today at the exact center of the fork in the road.
[00:16:37.834 --> 00:16:38.875]  And there's no going back.
[00:16:40.676 --> 00:16:45.201]  There's the path of resistance, or there's the path of total enslavement.
[00:16:46.949 --> 00:16:47.470]  Come on.
[00:16:48.130 --> 00:16:50.633]  Your ancestors were stronger than this.
[00:16:51.533 --> 00:16:52.494]  You're stronger than this.
[00:16:53.415 --> 00:17:02.484]  You can focus on the New World Order and its activities, and you can ask God to lead, guide, and direct you with discernment.
[00:17:03.725 --> 00:17:06.768]  And you do that, we're unstoppable together.
[00:17:10.265 --> 00:17:11.426]  All right, it's official.
[00:17:11.526 --> 00:17:12.087]  It's everywhere.
[00:17:12.127 --> 00:17:16.831]  They're rolling out the COVID restrictions, as my whistleblower told me two weeks ago.
[00:17:17.752 --> 00:17:21.015]  We released the info about 11 days ago, 12 days ago.
[00:17:21.915 --> 00:17:24.678]  California, New York, you name it, you should go read it for yourself.
[00:17:24.838 --> 00:17:26.079]  I didn't even pay attention to this.
[00:17:26.099 --> 00:17:26.960]  It wasn't in the news.
[00:17:27.680 --> 00:17:33.145]  The whistleblower contacted me this morning and sent me this document I'm about to show you.
[00:17:33.205 --> 00:17:34.246]  And I went and looked.
[00:17:34.306 --> 00:17:35.487]  They updated it yesterday.
[00:17:36.488 --> 00:17:40.430]  And they said the COVID restrictions never went away, and they were about to be brought back.
[00:17:42.311 --> 00:17:44.612]  Nice double speak.
[00:17:47.233 --> 00:17:48.753]  And it's incredible.
[00:17:49.394 --> 00:17:50.294]  It's right there.
[00:17:50.774 --> 00:18:05.661]  And through the institutions, and the corporations, and the hospitals, and the hotels, through the colleges, through the public schools, all over the country, they are shutting down public schools if there's one COVID case.
[00:18:07.659 --> 00:18:11.001]  That's creating the lockdown by sending the children back home.
[00:18:11.381 --> 00:18:12.342]  That's the beginning of it.
[00:18:13.422 --> 00:18:16.944]  And remember what I said two Fridays ago.
[00:18:18.845 --> 00:18:30.131]  I said, my sources, because I called around and confirmed what the first source said, said middle of September, Biden is set to start the rollout.
[00:18:31.452 --> 00:18:38.224]   Now, five, six days later, It's a little longer.
[00:18:38.264 --> 00:18:41.368]  It was last Tuesday, so about eight days ago.
[00:18:43.510 --> 00:18:44.171]  Seven days ago.
[00:18:45.272 --> 00:18:46.174]  They said, you know what?
[00:18:46.214 --> 00:18:52.201]  We're going to have a new shot that just happens to be ready for the new variant on the 15th of September.
[00:18:52.641 --> 00:18:54.163]  Now, what did I say they were told?
[00:18:54.963 --> 00:18:57.304]  The beginning of the announcements begin September 15th.
[00:18:57.944 --> 00:19:05.028]  This was just the warming up and getting ready that just so happened to begin right after I announced it literally six hours later.
[00:19:05.468 --> 00:19:05.808]  Everywhere.
[00:19:05.988 --> 00:19:12.331]  They just opened up on the public, every controlled corporate outlet, and then the institutions to create the fear.
[00:19:14.952 --> 00:19:18.174]  And now you go to the grocery store here in Austin, a third of the people are wearing masks.
[00:19:18.734 --> 00:19:23.116]  Two weeks ago, you might be in there and there'd be 150 people, you might see two masks.
[00:19:24.861 --> 00:19:25.961]  Now you go everywhere.
[00:19:26.762 --> 00:19:27.462]  That's where I live.
[00:19:27.762 --> 00:19:29.083]  We're getting reports the same thing everywhere.
[00:19:29.363 --> 00:19:30.443]  And the articles are coming out.
[00:19:30.643 --> 00:19:33.465]  Oh, last week it was just a few hospitals in New York.
[00:19:33.745 --> 00:19:35.045]  Now it's most of them.
[00:19:35.666 --> 00:19:36.666]  It was a few nursing homes.
[00:19:36.706 --> 00:19:37.666]  Now it's all of them.
[00:19:38.087 --> 00:19:40.007]  And the same thing spreading all over the country.
[00:19:40.388 --> 00:19:41.468]  From the west and east coast.
[00:19:41.948 --> 00:19:42.448]  Towards the middle.
[00:19:45.430 --> 00:19:45.650]  So.
[00:19:46.410 --> 00:19:48.511]  They've attacked the August 18th episode.
[00:19:50.612 --> 00:19:55.936]   Saying, oh, it's disinformation because they don't want you to Develop your own opinion now and say no.
[00:19:55.976 --> 00:19:57.778]  They want to just slip it in before you say no.
[00:19:58.459 --> 00:20:03.085]  So here's some excerpts of myself, not last Friday, but the Friday before last.
[00:20:03.666 --> 00:20:09.034]  And then a clip of the press secretary yesterday afternoon announcing the quote new booster.
[00:20:10.455 --> 00:20:24.099]  Whistleblowers from TSA and Border Patrol have raised the alarm to InfoWars that the Biden administration is setting the stage for full cupboard lockdowns that will begin with incremental restrictions like masking TSA employees in mid-September.
[00:20:24.259 --> 00:20:30.941]  The Biden administration is setting the stage for full cupboard lockdowns that will begin with incremental restrictions in mid-September.
[00:20:31.161 --> 00:20:32.241]  Two weeks later...
[00:20:32.561 --> 00:20:36.683]  FDA and CDC, they've made an announcement on the new vaccine.
[00:20:37.063 --> 00:20:43.265]  So certainly they said that they will have an, there'll be an updated vaccine in September, mid-September.
[00:20:43.285 --> 00:20:50.167]  The Biden administration is setting the stage for full covered lockdowns that will begin with incremental restrictions in mid-September.
[00:20:50.507 --> 00:20:53.428]  There'll be an updated vaccine in September, mid-September.
[00:20:53.448 --> 00:20:55.669]  So are we going to sit here and take this?
[00:20:55.869 --> 00:20:57.330]  Are we going to sit here and wait out of this?
[00:20:58.482 --> 00:21:06.569]  And let them put the narrative out and use the fear-mongering and then it's the concerts and then it's the grocery stores and then it's the fear and all the same thing.
[00:21:06.589 --> 00:21:08.611]  Are we gonna go through Groundhog Day again?
[00:21:09.752 --> 00:21:10.893]  We'll work hard to expose it.
[00:21:10.913 --> 00:21:11.813]  It'll get us ahead of it.
[00:21:12.614 --> 00:21:16.738]  But I got a sneaking suspicion we'll be sitting here very soon going Alex Jones is right again.
[00:21:17.518 --> 00:21:19.400]  Let's not fail this time folks!
[00:21:19.680 --> 00:21:20.321]  Please!
[00:21:20.820 --> 00:21:21.820]  Please!
[00:21:21.820 --> 00:21:35.300]   Now, let's play the full clip of the press secretary yesterday afternoon, 11, 12 days
[00:21:35.300 --> 00:21:43.940]   after we broke it, saying September 15th, in the full hour I did, I said September 15th,
[00:21:43.940 --> 00:21:44.620]  that's what I was told.
[00:21:44.620 --> 00:21:54.619]  [BLANK_AUDIO]
[00:21:45.673 --> 00:21:46.594]  I said it like 10 times.
[00:21:47.234 --> 00:21:53.256]  He said, we'll be getting the guidelines the next week, but then by September 15th they announced it.
[00:21:54.841 --> 00:21:56.222]  Well, now the guidelines are out.
[00:21:57.002 --> 00:21:58.063]  Just like he told me.
[00:22:01.204 --> 00:22:01.644]  Here she is.
[00:22:02.985 --> 00:22:09.488]  The president said in Tahoe that he had tentatively decided to recommend everyone get the new vaccine.
[00:22:09.568 --> 00:22:11.469]  When is he going to decide finally?
[00:22:11.489 --> 00:22:14.811]  So, I think you've heard from the FDA and CDC.
[00:22:15.251 --> 00:22:17.693]  They've made an announcement on the new vaccine.
[00:22:18.053 --> 00:22:24.216]  So, certainly, they said that they will have an updated vaccine in September, mid-September.
[00:22:24.856 --> 00:22:25.577]  I believe so.
[00:22:26.037 --> 00:22:38.967]  We know that, as you all know, vaccinations against COVID-19 remains the safest protection for avoiding hospitalization, long-term health outcomes, and death, which is why we are going to be encouraging Americans to stay up-to-date on their vaccines.
[00:22:40.508 --> 00:22:41.810]  And she says it's the 15th.
[00:22:41.910 --> 00:22:46.994]  So, our whistleblower nailed it because they were getting the direct info.
[00:22:47.014 --> 00:22:47.994]  Of course they nailed it.
[00:22:48.134 --> 00:22:51.037]  It's not hard to nail it when you're just telling the truth.
[00:22:52.244 --> 00:22:52.984]  Totally nailed it.
[00:22:53.304 --> 00:22:53.685]  Nailed it.
[00:22:55.325 --> 00:22:55.665]  Nailed it.
[00:22:55.966 --> 00:22:56.306]  Nailed it.
[00:22:57.026 --> 00:22:58.246]  Not just, oh, it's a whistleblower.
[00:22:58.547 --> 00:22:59.567]  Naming the day.
[00:23:02.368 --> 00:23:04.549]  Over a week and a half before they said it themselves.
[00:23:05.209 --> 00:23:07.730]  That's called nailing it.
[00:23:10.251 --> 00:23:16.614]  That's like Michael Jordan flying 30 feet in the air and dunking and breaking the rim.
[00:23:19.107 --> 00:23:20.248]  That's what we did together.
[00:23:21.029 --> 00:23:22.510]  And they are freaked out.
[00:23:23.831 --> 00:23:25.292]  They are super pissed right now.
[00:23:26.973 --> 00:23:27.194]  So.
[00:23:28.695 --> 00:23:30.596]  We're not getting caught with our pants down this time.
[00:23:30.636 --> 00:23:32.117]  They've been caught with their pants down.
[00:23:32.478 --> 00:23:33.439]  But they can't help it.
[00:23:33.479 --> 00:23:34.399]  They're still rolling ahead.
[00:23:37.422 --> 00:23:38.983]  But did you catch what she said there?
[00:23:40.444 --> 00:23:41.185]  She reads the notes.
[00:23:41.665 --> 00:23:43.427]  Whatever the question is, she flips the page and reads it.
[00:23:43.467 --> 00:23:44.327]  Okay, the 15th.
[00:23:44.928 --> 00:23:45.728]  It'll protect you.
[00:23:45.989 --> 00:23:46.809]  It's hospitalization.
[00:23:46.989 --> 00:23:48.150]  You know, spreading and getting sick.
[00:23:48.170 --> 00:23:48.391]  Whatever.
[00:23:49.250 --> 00:23:50.411]  Shame old lies.
[00:23:51.512 --> 00:23:52.713]  They always tell.
[00:23:52.733 --> 00:23:58.316]  And sometimes you'll watch a football game and the coach just keeps running up the middle of the same play.
[00:23:59.417 --> 00:24:04.741]  Or they go, you know, out for a far pass or whatever.
[00:24:05.161 --> 00:24:07.303]  And they just run the same play over and over again.
[00:24:07.583 --> 00:24:13.187]  And they just run the same play, same play, the same play, the same play, the same play, the same play.
[00:24:14.775 --> 00:24:21.319]  All right, I'm going to come back and drill through all this when we return because it's wild and it's on.
[00:24:21.880 --> 00:24:24.241]  But you've got to go to Infowars.com and read the article.
[00:24:24.622 --> 00:24:26.723]  You've got to link through to the California site.
[00:24:26.763 --> 00:24:27.904]  We're going to link to New York as well.
[00:24:27.924 --> 00:24:30.325]  I forgot to tell the writers about that.
[00:24:31.006 --> 00:24:32.967]  And it's announcing it all right here.
[00:24:33.608 --> 00:24:37.010]  Most populous state, teeing you up for the same garbage.
[00:24:38.251 --> 00:24:44.702]   You know, a lot of people think that rock and rollers party, but I can tell you, ZZ Top.
[00:24:45.883 --> 00:24:46.263]  Parties.
[00:24:46.863 --> 00:24:47.824]  Little Bird told me once.
[00:24:48.824 --> 00:24:54.326]  Part of the crazy things I've seen in this wild 29 years on air.
[00:24:54.346 --> 00:24:54.406]  Woo!
[00:24:55.947 --> 00:24:56.788]  Diamond ring.
[00:24:58.028 --> 00:25:00.369]  I ain't missing not a single thing.
[00:25:01.950 --> 00:25:02.810]  Cuff links.
