[00:00:00.000 --> 00:00:00.500]  [BEEP]
[00:04:33.846 --> 00:04:39.286]   things by voting. Ladies and gentlemen, this full breakdown is on Infowars.com.
[00:04:39.474 --> 00:04:41.575]  It's an excellent video of a political prisoner.
[00:04:42.056 --> 00:04:42.736]  You need to watch it.
[00:04:42.776 --> 00:04:46.139]  This is a psychological warfare operation designed to destroy civilization.
[00:04:46.459 --> 00:04:49.281]  But if we're aware of the operation, it'll be easy to beat it.
[00:04:49.321 --> 00:04:51.903]  But people must admit they're under the attack.
[00:04:51.923 --> 00:04:54.425]  And I know it's scary, but it's much more scary to live in denial.
[00:04:54.965 --> 00:04:56.326]  Let these sharks tear your guts out.
[00:04:56.386 --> 00:04:57.147]  We are winning.
[00:04:57.567 --> 00:04:58.688]  Humanity's coming back from the brink.
[00:05:03.683 --> 00:05:09.848]  Two of our best-selling nootropics, or brain boosters, are now back in stock and in FullWorthStore.com.
[00:05:10.049 --> 00:05:14.713]  And for a limited time, they're 50% off when you get them together, or 40% off when you get them individually.
[00:05:15.053 --> 00:05:17.335]  Brain Force Plus and Brain Force Ultra.
[00:05:17.715 --> 00:05:19.137]  Two separate formulas.
[00:05:19.417 --> 00:05:21.779]  They both give you good, clean energy without the crash.
[00:05:22.379 --> 00:05:27.744]  One is a 4-6 hour good base of clean energy, again with no hangover or letdown.
[00:05:27.984 --> 00:05:30.807]  And the other is a very special proprietary formula.
[00:05:31.007 --> 00:05:33.308]  That's Brain Force Ultra that hits really, really quick.
[00:05:33.569 --> 00:05:33.989]  And I love it.
[00:05:34.009 --> 00:05:35.169]  It wears off in two to three hours.
[00:05:35.470 --> 00:05:39.452]  So if I've got to work at night, but don't want to stay up all night, I can take it and stay nine o'clock at night.
[00:05:39.692 --> 00:05:42.093]  Got to stay up till midnight working, doing a radio interview or something.
[00:05:42.434 --> 00:05:42.954]  And boom!
[00:05:43.854 --> 00:05:45.075]  Writing an article or writing a book.
[00:05:45.435 --> 00:05:46.016]  And then I get...
[00:05:46.556 --> 00:05:48.657]  Two, three hours of energy, and then you'll go right to bed after it.
[00:05:48.857 --> 00:05:50.939]  BrainForce Ultra, BrainForce Plus, both.
[00:05:51.439 --> 00:05:53.700]  50% off by themselves, or 40% off individually.
[00:05:53.720 --> 00:05:55.581]  A lot of people love these products.
[00:05:55.601 --> 00:05:58.263]  They've got five-star reviews, but if you haven't tried them, you really should.
[00:05:58.283 --> 00:05:58.583]  50% off.
[00:05:58.603 --> 00:05:59.024]  Infowarscore.com.
[00:06:02.967 --> 00:06:21.616]  From the front lines of the Information War, it's Alex Jones.
[00:06:22.697 --> 00:06:31.922]  Thank you for inviting me to testify today on how we can ensure the safety and well-being of unaccompanied children.
[00:06:32.950 --> 00:06:46.383]  The historic border crisis our country is currently facing isn't only harming American communities and the integrity of our system, but migrants themselves, especially children, many of whom arrive unaccompanied.
[00:06:47.264 --> 00:06:50.507]  Let's face it, this is a crisis within a crisis.
[00:06:51.548 --> 00:07:01.018]  And it began in 2008 with passage of the Trafficking Victims Protection Reauthorization Act, or TVPRA, a law that hasn't lived up to its name.
[00:07:01.879 --> 00:07:09.527]  If we really want to ensure the safety and well-being of these vulnerable children, we must be honest about what caused the crisis and how to end it.
[00:07:10.475 --> 00:07:31.982]   What started in the mid-1980s as the Flores class action lawsuit about immigration detention conditions for alien minors, and to whom such minors may be released, has turned into a multi-billion dollar legal regime that encourages unaccompanied minors to come on a treacherous journey to the U.S., requires the federal government to release
[00:07:31.982 --> 00:07:38.553]   them into the custody of sponsors who too often end up abusing or trafficking them, and
[00:07:38.553 --> 00:07:43.913]   according to DHS's Enforcement Life Cycle Report, results in 94 percent of them remaining in
[00:07:43.913 --> 00:07:50.333]   the U.S. Alejandro Mayorkas said repeatedly at the beginning and throughout his tenure as
[00:07:50.333 --> 00:07:55.462]   Secretary of Homeland Security that he would not send back unaccompanied minors.
[00:07:55.711 --> 00:08:00.414]  What did that tell parents, teenagers and smugglers seeking to line their pockets?
[00:08:01.154 --> 00:08:07.138]  That this administration was opening the door wide open for unaccompanied minors to enter and stay in the U.S.
[00:08:07.958 --> 00:08:11.662]  And the parents, teens, and smugglers around the world heard it loud and clear.
[00:08:11.682 --> 00:08:21.612]  A historic 366,000 unaccompanied minors have been encountered just on the southwest border so far under the Biden administration.
[00:08:22.653 --> 00:08:27.257]  For those who closely follow border security, border data is tracked month by month.
[00:08:28.055 --> 00:08:39.027]  Yet after 28 months of record entry of unaccompanied minors, the Biden administration has not changed its policies to prevent such minors from coming here.
[00:08:39.908 --> 00:08:43.932]  Instead, the administration's response has been, get them in faster.
[00:08:44.873 --> 00:08:59.959]  HHS Secretary Xavier Becerra was quoted by the New York Times complaining to staff about delays in releasing unaccompanied minors into the country, saying, quote, if Henry Ford had seen this in his plants, he would have never become famous and rich.
[00:09:00.439 --> 00:09:03.340]  This is not the way you do an assembly line, unquote.
[00:09:04.406 --> 00:09:11.493]  Secretary Mayorkas has likewise pushed for speedier processing of illegal aliens, including minors, into the U.S.
[00:09:12.354 --> 00:09:29.590]  In his joint proposed rule, Circumvention of Lawful Pathways, Secretary Mayorkas admits that the objective of the CBP-1 mobile application appointment scheme is for CBP, quote, to process more individuals than would otherwise be possible, unquote.
[00:09:30.816 --> 00:09:36.721]  Like the border crisis itself, this administration's handling of unaccompanied minors is intentional.
[00:09:37.422 --> 00:09:43.348]  And beyond the historically high numbers, the results have been disastrous for the children involved and for Americans.
[00:09:44.597 --> 00:09:53.302]  Unaccompanied children are regularly raped and exploited on their journey to the U.S., and their lives, sadly, do not improve once they enter the U.S.
[00:09:53.982 --> 00:10:04.929]  They are turned over to questionable, if not dangerous, sponsors, forced to work in unsafe conditions that violate child labor laws, go missing by HHS, and are sex trafficked.
[00:10:05.839 --> 00:10:12.243]  Furthermore, MS-13 and other gang members, who are often teenagers, easily enter the U.S.
[00:10:12.263 --> 00:10:13.464]  as unaccompanied minors.
[00:10:14.264 --> 00:10:21.369]  Too many Americans and migrants have needlessly died at the hands of vicious gang members who were released into our communities.
[00:10:22.878 --> 00:10:32.169]  The Biden administration has also recently made the nonsensical decision to stop using DNA testing of suspected fake families at the border.
[00:10:32.790 --> 00:10:34.392]  The results are very predictable.
[00:10:35.033 --> 00:10:39.138]  A return to more child smuggling, child recycling, and trafficking.
[00:10:39.959 --> 00:10:42.422]  Say you're a family, and we'll take your word for it.
[00:10:43.680 --> 00:10:52.142]  Both the title and intent of Section 235 of TPRA is, quote, enhancing efforts to combat the trafficking of children, unquote.
[00:10:52.622 --> 00:11:14.586]   And yet, from the historic volume of unaccompanied minors enticed by the law, the careless release of these minors to inadequately vetted sponsors, and the multi-billion dollar windfall in profits, this administration's open border policies have given the cartels It is clear this administration is only creating more abuse, exploitation, and human trafficking.
[00:11:15.535 --> 00:11:21.340]  Section 235 of the TVPRA and the Flores Court Interpretation are abject failures.
[00:11:22.140 --> 00:11:41.096]  Instead of exploring ways to accommodate the current flow of unaccompanied children, Congress should accept that laws and judicial orders have resulted in terrible consequences, and it should replace them with a rational and effective system to prevent the unlawful and dangerous flow of unaccompanied minors into the U.S.
[00:11:42.515 --> 00:11:53.903]  Now that's testimony on Wednesday by the head of the Border Security Immigration Studies Center at the Heritage Foundation.
[00:11:54.884 --> 00:11:58.866]  Now, I don't need to listen to her or see her statistics and read articles about it to know it's true.
[00:11:59.767 --> 00:12:02.489]  I've been to the Texas border many, many times.
[00:12:02.589 --> 00:12:04.350]  Her crew has been there many more times.
[00:12:05.291 --> 00:12:09.514]  And we've been to the California, Arizona, New Mexico border many times.
[00:12:10.578 --> 00:12:18.062]  And this was started under Obama, who got massive funding to bring children as young as six months old here.
[00:12:18.302 --> 00:12:19.343]  People just throw them over the fence.
[00:12:20.383 --> 00:12:25.766]  And then with no ID, no DNA, no name, no check, that child just disappears into a black hole.
[00:12:26.846 --> 00:12:30.208]  They find them dead, they find them raped, mutilated.
[00:12:30.268 --> 00:12:46.926]   I mean, it's just, it's so massive and so criminal, those of us that still live in insulated lives, middle class lives, We see the homelessness of the crime increasing and you know family members get mugged and all the rest of this your neighbor takes the shot and has a heart attack and dies but we still just stay in this comfort zone.
[00:12:47.948 --> 00:13:01.541]   We don't realize that things are getting bad because they're getting bad incrementally but it's not incremental for those Who are being smuggled across when you hear 300 and something thousand just the last two and a half years under, uh, Biden.
[00:13:02.241 --> 00:13:10.445]  Remember that that's only a fraction of the ones that get discovered upwards of 80% are never made contact where they just go through.
[00:13:11.426 --> 00:13:13.507]  So let that sink in.
[00:13:13.667 --> 00:13:22.771]  And the reason I played this clip coming in is this, and I went and checked this when I saw this last night, and it is indeed true for the 20% or so.
[00:13:25.012 --> 00:13:37.159]  Of the people they catch illegally coming in, they will do a DNA swab of the cheek, take a digital photo of them, take the ID they claim who they are, if they have ID, and create an identity for the person.
[00:13:37.840 --> 00:13:46.076]   Now, You then see the illegals at the airport, including with children, when they don't have the documents, just being allowed on airplanes.
[00:13:46.136 --> 00:13:49.580]  They just have a piece of paper from DHS saying, I'm flying to here.
[00:13:49.600 --> 00:13:55.688]  It's usually Dallas or Chicago or New York or Salt Lake City or Kansas City.
[00:13:55.768 --> 00:13:56.770]  It's just all over the country.
[00:13:57.150 --> 00:13:58.171]  Milwaukee, Wisconsin.
[00:13:59.478 --> 00:14:00.199]  Minneapolis St.
[00:14:00.219 --> 00:14:41.173]   Paul and they just load them on and we're there at the airport our crews every time we go we just go to the airport every time it's there and there's just women from Catholic charities and other things just handing six-month-old two-year-old babies just over to people with no paperwork and they just disappear and weird creepy dudes that I'm not saying they're pedophiles but if I was gonna cast somebody in a movie for a pedophile I would hire them and hire their white van they pull up in they're literally in white vans just driving off of kids with no IDs So, for the 20% or so they actually catch, that actually get processed, when they're, quote, children, that's why you have a 30-year-old saying they're 16, they get DNA databased.
[00:14:42.414 --> 00:14:48.439]  Now, you shouldn't get DNA databases as a citizen unless you commit a crime, but these are people illegally coming in, they should be databased.
[00:14:48.919 --> 00:14:53.743]  Especially children, because we'll never know who they are, they can get new identities.
[00:14:54.184 --> 00:14:55.124]  And that's what's going on here.
[00:14:55.184 --> 00:14:58.227]  They can be killed, they can be put in slave labor, and that's what's happening.
[00:14:59.525 --> 00:15:20.633]  So whenever you look at the federal government and you look at these people that run it at the top, I mean, from the judges on average down, the Border Patrol's horrified, the federal marshals are horrified, the FBI agents are horrified, and that's why the good people quit, because you just can't be around this all day and be powerless.
[00:15:20.713 --> 00:15:26.375]  I mean, believe me, I don't like going to the border, even though it's a huge story and important, because it makes me feel like a sack of garbage.
[00:15:27.162 --> 00:15:33.364]  Because you're there watching all this crime and human exploitation happening and you have empathy because you know you're in danger because of it too.
[00:15:34.424 --> 00:15:38.205]  And the left's just laughing at you in your face and getting in your face.
[00:15:38.645 --> 00:15:41.306]  Pink haired commies ordering the feds around.
[00:15:41.886 --> 00:15:43.047]  Go down there and see it for yourself.
[00:15:46.024 --> 00:15:54.806]  I've got to make myself realize it's for the greater good and make myself go do it, but I cannot imagine being these federal judges down on the border or these magistrates or these agents.
[00:15:54.926 --> 00:15:59.527]  I mean, it's, it's, it's, you're, you're, you are complicit in a crime.
[00:16:00.247 --> 00:16:03.408]  You are trying to stop it as best you can, but your hands are tied.
[00:16:04.728 --> 00:16:11.330]  And then you realize, well, there'll be no law and order if you don't stay on the job, but then you're still facilitating.
[00:16:11.390 --> 00:16:12.990]  So it's just, it's a disaster.
[00:16:14.818 --> 00:16:19.200]  And it tears my guts out, but you have my pledge that I'm gonna be going to the border very, very soon.
[00:16:19.220 --> 00:16:20.761]  Owen's gonna be going back very, very soon.
[00:16:21.801 --> 00:16:26.203]  For the last two years, we've not had the money, even though I've gone down there last year, he's gone this year.
[00:16:26.523 --> 00:16:27.344]  We've not had the money.
[00:16:28.044 --> 00:16:36.188]  So before I get into this key information that's so big, and then moving to some other big subjects that all ties together, let me just remind listeners again.
[00:16:37.768 --> 00:16:40.570]  We didn't have the money to go to Bilderberg this year, and it was such an important meeting.
[00:16:40.590 --> 00:16:41.870]  We didn't have the money to go to Davos.
[00:16:42.370 --> 00:16:43.511]  We currently do not have the money.
[00:16:44.773 --> 00:16:55.918]  To go cover the RNC and DNC, even though when I get there to the RNC and DNC, we'll be interviewed hundreds of times, we'll send massive traffic to InfoWars, people will wake up, and we will bring in a bunch of funds from that.
[00:16:56.539 --> 00:17:01.761]  We are in the position of not having the seed money, like a farmer, to plant the seed to get the crop.
[00:17:02.361 --> 00:17:06.243]  Of the hearts and minds and the listeners going, wow, you're still on air?
[00:17:06.323 --> 00:17:09.385]  So many folks really think we're taking off air because the media declared we were off air.
[00:17:09.845 --> 00:17:13.727]  People slowly find that we're there and the show's been growing a lot again, thanks to you spreading the word.
[00:17:14.387 --> 00:17:16.168]  As a listener, you're like, what, people don't know you're still on air?
[00:17:16.648 --> 00:17:20.429]  Just because you're smart and informed and dialed in doesn't mean the general public's paying attention.
[00:17:20.770 --> 00:17:22.390]  They're used to YouTube or something else.
[00:17:22.410 --> 00:17:23.471]  They don't see you there for years.
[00:17:23.671 --> 00:17:24.331]  They think you're gone.
[00:17:24.511 --> 00:17:26.472]  They don't think, oh, I go to InfoWars.com.
[00:17:26.712 --> 00:17:28.192]  I go to InfoWars.com forward slash show.
[00:17:28.253 --> 00:17:28.973]  You've got to remind them.
[00:17:30.373 --> 00:17:31.914]  Because this is a war, ladies and gentlemen.
[00:17:32.894 --> 00:17:34.255]  I was reading the transcript of the hearings.
[00:17:34.655 --> 00:17:38.757]  That clip you just saw basically has no views online and no one even knows about it.
[00:17:38.957 --> 00:17:39.837]  And it's not even an issue.
[00:17:40.537 --> 00:17:42.238]  Good job to Breitbart.
[00:17:45.469 --> 00:17:48.311]  I'm going to say that again.
[00:17:48.130 --> 00:17:53.250]   all the work they do on the border. John Binder, there's of course a lot of other great folks who
[00:17:53.250 --> 00:18:00.290]   did a great job with Breitbart on the border to some of the best work out there. But expert
[00:18:00.290 --> 00:18:05.809]   witness Biden to boost migrant child trafficking by ending DNA testing at southern border. I'm
[00:18:05.809 --> 00:18:11.489]   going to say that again. Babies, toddlers, five-year-olds, 10-year-olds, 15-year-olds
[00:18:13.809 --> 00:18:21.489]   who have no IDs are not going to be DNA tested and they're just going to be turned loose
[00:18:21.489 --> 00:18:24.770]  to quote Democrat party sponsors.
[00:18:24.960 --> 00:18:33.586]  Now ladies and gentlemen, the Senate report in 2015 found Obama and the DHS knowingly placed tens of thousands of children with sex traffickers.
[00:18:34.067 --> 00:18:34.467]  There it is.
[00:18:34.847 --> 00:18:37.990]  Obama administration placed children with human traffickers, Senate report says.
[00:18:39.298 --> 00:18:41.900]  Report came out in 2015, but it was an article in 2016.
[00:18:41.940 --> 00:18:42.440]  There you go.
[00:18:42.500 --> 00:18:46.423]  I don't know, the crew just pulled that up magically when I said it.
[00:18:46.463 --> 00:18:47.044]  That's fast.
[00:18:48.004 --> 00:18:48.685]  Makes my head spin.
[00:18:49.526 --> 00:18:56.751]  So, what we're getting at here is that... I'm going to explain this to everybody very, very slowly.
[00:18:59.659 --> 00:19:07.042]  You can say a baby isn't a human, and that's a lie, and kill it, but people believe the lies so God forgives them because they don't know they're killing a baby.
[00:19:07.362 --> 00:19:09.704]  The left lies to them, tells them it's not a human, doesn't have a soul.
[00:19:10.184 --> 00:19:10.944]  They think it's okay.
[00:19:12.005 --> 00:19:16.086]  But as long as you were involved in that and didn't know what you were doing, you repent, you're gonna be fine.
[00:19:16.246 --> 00:19:17.267]  Believe me, I'm in the same boat.
[00:19:17.927 --> 00:19:19.768]  The left always goes, why does he say these things about himself?
[00:19:19.788 --> 00:19:22.629]  He's against abortion, but he admits he's paid for them.
[00:19:23.950 --> 00:19:27.271]  Well, it'd be like if I murdered somebody and then I realized it was wrong later and I repent.
[00:19:27.371 --> 00:19:32.370]   I mean, it's like, I shot myself in the foot and later realized I shouldn't have done it.
[00:19:33.311 --> 00:19:35.913]  Again, they've murdered logic, ladies and gentlemen.
[00:19:36.333 --> 00:19:41.958]  But if you knowingly kill your child and think it's funny like the left does now and says, yeah, I killed that little bastard.
[00:19:42.498 --> 00:19:51.666]  In fact, the new thing that are being sold in stores and places like Target are shirts that celebrate abortion and then say, I aborted that little bastard.
[00:19:51.726 --> 00:19:53.667]  And, you know, it's so great.
[00:19:53.687 --> 00:19:54.708]  And I killed my baby.
[00:19:54.828 --> 00:19:57.611]  I mean, in fact, that's an article I didn't get to yesterday.
[00:19:58.533 --> 00:20:08.420]  They are literally promoting the murder of children, and say, yeah, it's a person, and I'm a greedy person, and I come first, and I killed that little son of a bitch.
[00:20:09.060 --> 00:20:15.265]  We've played you compilations of these Democrats and their operatives, and Gloria Steinem up there saying, yeah, you know what, it is a person.
[00:20:15.465 --> 00:20:19.428]  First they tried to tell you it wasn't a person, now you know it is, so people are turning against abortion in all the polls.
[00:20:19.668 --> 00:20:23.551]  The majority of people are now against abortion, including young people who are like 75% against now.
[00:20:23.811 --> 00:20:24.992]  The numbers have flipped in the last 30 years.
[00:20:26.804 --> 00:20:28.265]  You know what, it is a person.
[00:20:28.565 --> 00:20:39.111]  Okay, well, they talk all day about how Trump put kids in cages and on dirty space blanket nests because he told them all surge up here and overwhelmed things.
[00:20:39.591 --> 00:20:43.533]  Trump shut that down, cleaned it up, Border Patrol did a great job, cut it back by over 95%.
[00:20:43.953 --> 00:20:46.615]  They lied to show the fake cages and all that.
[00:20:47.195 --> 00:20:49.576]  Well, they were real cages, but it was fake saying they were Trump's cages.
[00:20:49.796 --> 00:20:50.757]  They were Obama's cages.
[00:20:51.733 --> 00:21:05.459]  And now it's ten times conservatively worse than under Obama because the floodgates are completely open and the same group's running it, and they're not even creating a record of who the children are when they're given to the sponsors.
[00:21:06.059 --> 00:21:31.987]   So when I want to get on an airplane and, say, fly to Florida to be on a podcast next week, hypothetically, which I'm actually doing, it's not hypothetical, but, and, you know, they want to grab my testicles, You know, the homosexual TSA agent takes a particular interest in my black bodyguard and hits on him and grabs his genitals.
[00:21:32.367 --> 00:21:33.888]  You know, that's just a regular thing for a U.S.
[00:21:33.908 --> 00:21:35.689]  citizen to have that happen.
[00:21:36.930 --> 00:21:39.071]  And that's what happened last time I flew.
[00:21:40.232 --> 00:21:41.732]  And luckily, he didn't take interest in me.
[00:21:42.153 --> 00:21:44.654]  But he was like, oh, big handsome black guy, come over here.
[00:21:45.234 --> 00:21:45.715]  What's this?
[00:21:45.955 --> 00:21:48.136]  He literally grabbed his junk and said, what is this?
[00:21:48.156 --> 00:21:49.177]  He goes, what do you think it is?
[00:21:50.967 --> 00:21:53.511]  And the guy literally said, wow, that's big.
[00:21:54.213 --> 00:21:58.861]  I mean, folks, that's the level of humiliation in this country.
[00:21:59.850 --> 00:22:06.536]  That literally they grab your testicles, and I'm not saying they're all criminals or bad, the point is the whole thing is a joke.
[00:22:07.076 --> 00:22:38.322]   They are grabbing people's penises and putting you through microwave ovens and scanners, scanning your naked bodies, doing all this while the border is completely wide open, and if a person comes across the border with a year-old child, They are now killing the funding and the regulations to create a database and a DNA test on who the hell this kid is, so if they find him dead two years later, somewhere the FBI can't test and see that kid came across, so they're covering their tracks, bringing children into the United States.
[00:22:38.602 --> 00:22:41.765]  I mean, ladies and gentlemen, come on, man!
[00:22:41.785 --> 00:22:49.171]  I mean, what is it that we will... Is there any level of evil that we will not put up with?
[00:22:51.038 --> 00:22:51.779]  And yeah, this happened.
[00:22:52.679 --> 00:23:02.666]  I flew on a business trip months ago, and one of the security guys, I only took one security guy with me, my friend Mike, and he was kind of irritating.
[00:23:02.686 --> 00:23:03.987]  He's really a calm guy.
[00:23:04.007 --> 00:23:10.512]  And after he, they held him up while my wife and I went to the thing, and he seemed just a little irritated.
[00:23:10.792 --> 00:23:12.153]  He's always really chill and cool.
[00:23:12.173 --> 00:23:12.793]  He's been on the show.
[00:23:13.634 --> 00:23:16.996]  He's an author and researcher, too, as well, and a popular podcaster.
[00:23:17.697 --> 00:23:18.477]  And he seemed irritated.
[00:23:18.497 --> 00:23:19.158]  I said, what's going on, Mike?
[00:23:19.178 --> 00:23:26.593]   And he said, man, that guy just, you know, He literally just grabbed me and made comments about it and everything, and he told me the rest of the story.
[00:23:27.633 --> 00:23:32.857]  And the guy's like, really, that's your... He has to have a conversation about his penis with some dude grabbing it.
[00:23:32.937 --> 00:23:34.379]  I mean, come on, folks!
[00:23:35.119 --> 00:23:37.021]  Come on, man, this is real!
[00:23:37.681 --> 00:23:44.827]  I do the, come on, man, with Joe Biden, the pervert pedophile, who just groped some woman's breast on TV at the White House.
[00:23:45.851 --> 00:23:50.533]  I mean, it just goes on and on and on and on and on.
[00:23:50.713 --> 00:23:51.914]  And let me ask everybody a question.
[00:23:53.134 --> 00:23:56.736]  You think they're going to stop with millions of children?
[00:23:56.796 --> 00:23:59.537]  It's not 360-something thousand like they said in the report.
[00:23:59.557 --> 00:24:00.278]  That's what they call it.
[00:24:00.798 --> 00:24:07.121]  You think it's going to stop with the millions of children being smuggled in and God knows what's going on with them, it runs from bad to worse?
[00:24:07.161 --> 00:24:07.341]  No.
[00:24:07.721 --> 00:24:14.044]  There's no end to this because we've gone over the cliff, ladies and gentlemen.
[00:24:16.590 --> 00:24:22.533]  And if we don't have a social contract, and if we don't protect people's rights, we're not going to have any rights.
[00:24:22.553 --> 00:24:24.714]  So I'm going to say it again.
[00:24:24.774 --> 00:24:41.123]  Out of all this news, we have stacks of a new CDC report that heart attack risk rises 13,200% among vaccinated, CDC report confirms.
[00:24:43.924 --> 00:24:44.624]  I mean, think about that.
[00:24:44.845 --> 00:24:52.985]   The government Under Obama started a regime to tell young people to come here, but at least they'd process them and get their DNA.
[00:24:53.285 --> 00:24:58.627]  Now they're killing that, so there's no record of who they really are, so they can do God knows what with them.
[00:24:59.807 --> 00:25:00.508]  Which we know they're doing.
[00:25:00.768 --> 00:25:03.129]  Slave labor is like a 1.
[00:25:03.209 --> 00:25:04.289]  It's terrible, it's bad.
[00:25:04.449 --> 00:25:06.930]  But raping and killing kids, that's going on, that's a 10.
[00:25:07.871 --> 00:25:10.252]  But it runs the gambit of exploiting these children.
[00:25:12.273 --> 00:25:14.794]  As young as 11 years old, they put them to work at sweatshops.
[00:25:16.058 --> 00:25:19.080]  And then they skim part of their paycheck, about half of it.
[00:25:19.801 --> 00:25:22.383]  They put them in a flop house controlled by Democrat managers.
[00:25:22.803 --> 00:25:24.745]  If they give them problems, they deport them right there.
[00:25:25.626 --> 00:25:40.477]  Oh, you've all got deportation hearings in 2030 and 2034, 2035, but if you get uppity with your Democrat handler and the local lawyer that manages it, you get picked up by the DHS the next day and your ass is back to wherever you came from.
[00:25:42.059 --> 00:25:43.680]  Think of the control they've got over these people.
[00:25:44.190 --> 00:25:52.254]  But it's liberal, it's trendy, and you think you're going to be safe when no one has your ID and no one knows who you are and nobody has your DNA?
[00:25:52.274 --> 00:26:02.820]  Because you know the FBI is sitting around going, man, we're digging up all these dead bodies, not just in Mexico or on the border there, tens of thousands of them, just on the Texas-Mexico border they've dug up.
[00:26:03.341 --> 00:26:04.121]  Yeah, tens of thousands.
[00:26:05.084 --> 00:26:06.625]  Heads chopped off, dead babies.
[00:26:06.986 --> 00:26:12.150]  I mean, routinely they'll find like a year old baby that's been raped and they'll find the sperm of 35 men in it.
[00:26:12.610 --> 00:26:13.991]  That was just a little blurb I saw.
[00:26:14.892 --> 00:26:17.274]  They found a dead baby, had been raped by over 20 men.
[00:26:17.294 --> 00:26:20.236]  They found DNA of over 20 men and a little girl.
[00:26:23.758 --> 00:26:25.059]  That's the kind of smugglers there are.
[00:26:25.240 --> 00:26:25.860]  I mean, who the hell?
[00:26:26.140 --> 00:26:28.602]  How could you find 20-something people want to rape a baby?
[00:26:28.822 --> 00:26:30.123]  Well, that's what's going on on the border.
[00:26:31.084 --> 00:26:33.086]  Cutting people's heads off, raping babies.
[00:26:34.702 --> 00:26:41.827]  Burning people up with gasoline, total death and destruction, just garbage and filth and flies and just everywhere insanity.
