[00:00:00.000 --> 00:00:14.660]  [outro music]
[00:14:19.020 --> 00:14:21.600]  I had Fox News try to do it.
[00:14:22.841 --> 00:14:23.521]  Roger Ailes.
[00:14:23.821 --> 00:14:26.974]   I had I wouldn't even say buy me off, just get me to join them.
[00:14:27.635 --> 00:14:28.195]  Switch sides.
[00:14:29.076 --> 00:14:34.080]  I had Henry Kissinger, head of the Kissinger Group, try to get me to go to New York, meet with Kissinger.
[00:14:34.100 --> 00:14:35.201]  I've told you about that a lot.
[00:14:35.761 --> 00:14:39.584]  They were dumb enough to not say it was off-record in front of my producer, John Harmon.
[00:14:40.625 --> 00:14:49.632]  But it's happened other times, and those were off-record meetings, so I'm not going to violate the off-record nature of it, because I wear a journalist hat, and when something's off-record, it's off-record, unless what they're doing is illegal.
[00:14:51.393 --> 00:14:57.136]  Is illegal, but that's just another example of how real this New World Order is.
[00:14:57.157 --> 00:15:01.579]  I mean, it doesn't get any more real than when Henry Kissinger tries to hire you.
[00:15:02.460 --> 00:15:04.862]  So, I've never had shy comms approach me.
[00:15:06.643 --> 00:15:08.404]  I have had British intelligence approach me.
[00:15:10.786 --> 00:15:16.990]  But they just wanted to ask me what my intentions were.
[00:15:18.308 --> 00:15:20.069]  And I've had Mossad visit the office.
[00:15:20.169 --> 00:15:21.530]  I met with Mossad once.
[00:15:22.171 --> 00:15:22.831]  Very high level.
[00:15:23.952 --> 00:15:27.495]  Wanted to know that was a threat to Israel and wanted to destroy Israel.
[00:15:28.255 --> 00:15:30.577]  I learned that was because I was doing press TV interviews.
[00:15:30.637 --> 00:15:34.800]  I do Japanese, Iranian, Russian, British, Brazilian.
[00:15:35.341 --> 00:15:38.323]  But I got a little visit from the Mossad.
[00:15:38.423 --> 00:15:39.304]  Very well-known person.
[00:15:39.404 --> 00:15:41.085]  Actually, someone's on record with the Mossad.
[00:15:42.606 --> 00:15:44.547]  We went and had dinner at a Mexican food restaurant.
[00:15:45.228 --> 00:15:46.469]  He was so paranoid, so scared.
[00:15:49.426 --> 00:15:51.106]  I, uh, anyway, that's a funny story.
[00:15:52.107 --> 00:16:01.889]  But, uh, as soon as they figured out that I really wasn't some intelligence operative for government, he just, very arrogant after that, just laughed at me and said, okay, whatever.
[00:16:02.989 --> 00:16:09.071]  But, uh, that's, that's how real, that's how real this is, ladies and gentlemen.
[00:16:09.929 --> 00:16:18.296]  No, I'm just an American that wants to live in a secure, happy country where I can practice my religion and raise my children healthy and have low crime and have a future.
[00:16:18.656 --> 00:16:19.937]  I don't want to run things.
[00:16:19.977 --> 00:16:21.359]  I don't want to be in the D.C.
[00:16:21.419 --> 00:16:21.739]  crowd.
[00:16:21.759 --> 00:16:22.960]  I don't want to attack Israel.
[00:16:22.980 --> 00:16:24.101]  I don't want to attack Iran.
[00:16:24.141 --> 00:16:25.222]  I don't want to attack China.
[00:16:25.242 --> 00:16:26.363]  I don't want to attack the Russians.
[00:16:26.423 --> 00:16:28.224]  I don't want drag queen pedophile time.
[00:16:28.244 --> 00:16:29.125]  I don't want open borders.
[00:16:29.165 --> 00:16:31.547]  I just want to be left the hell alone.
[00:16:31.887 --> 00:16:32.908]  Can't you understand that?
[00:16:34.109 --> 00:16:34.910]  To the globals watching.
[00:16:36.343 --> 00:16:39.004]  That's why they can't get it, because they always work for somebody.
[00:16:39.624 --> 00:16:41.544]  All these people work for somebody.
[00:16:42.384 --> 00:16:44.105]  Like Bob Dylan says, you gotta serve somebody.
[00:16:44.145 --> 00:16:46.105]  Well, I try to serve God.
[00:16:46.125 --> 00:16:50.406]  And that isn't some hoity-toity, I'm a Pharisee, I'm better than you, I'm this holy man.
[00:16:50.906 --> 00:16:51.386]  Far from it.
[00:16:51.426 --> 00:16:52.186]  But I do love God.
[00:16:52.706 --> 00:16:53.587]  And I do love justice.
[00:16:53.627 --> 00:16:55.807]  And I realize what happens to your children happens to my children.
[00:16:56.347 --> 00:16:59.868]  And so I genuinely work for humanity, and I genuinely try to work for God.
[00:17:01.206 --> 00:17:05.007]  That doesn't mean I always follow what the Holy Spirit tells me to do, but I'm a genuine person.
[00:17:05.367 --> 00:17:07.988]  And of course, they've now completely figured that out, and they're even more scared.
[00:17:08.428 --> 00:17:15.011]  Because see, I can't be bought, I can't be intimidated, I can be killed, I can be put in prison, but that just makes me a martyr.
[00:17:15.271 --> 00:17:16.191]  And hell, that may happen.
[00:17:16.751 --> 00:17:22.153]  But I'm on this course, and who I really wanted to thank today before I hit all the news, is the viewers and listeners.
[00:17:22.193 --> 00:17:26.855]  Because we're together now at this critical time in history, and we couldn't have done this without you.
[00:17:27.015 --> 00:17:29.676]  You're not just like some side thing, or the tail on the dog.
[00:17:30.877 --> 00:17:31.818]  You're not vestigial.
[00:17:31.838 --> 00:17:32.758]  You're not ceremonial.
[00:17:32.878 --> 00:17:33.979]  You're not like a pat on the head.
[00:17:34.059 --> 00:17:35.080]  You're everything.
[00:17:35.620 --> 00:17:40.843]  Your word of mouth, your prayer, your financial support, this incredible crew that puts up with me and works so hard.
[00:17:41.383 --> 00:17:42.344]  I want to thank the crew.
[00:17:42.364 --> 00:17:43.364]  I want to thank my family.
[00:17:43.425 --> 00:17:46.486]  I want to thank my family, the audience, the viewers and listeners.
[00:17:46.566 --> 00:17:48.928]  I want to thank all the great mentors.
[00:17:48.948 --> 00:17:52.270]  I didn't realize what great men they were when I was first on the scene.
[00:17:52.290 --> 00:17:54.711]  I was very blessed to have a big show right away.
[00:17:54.731 --> 00:18:11.885]   And to have the Ted Gunderson's and the General Benton K. Barton's and the G. Edward Griffins and the Ron Pauls instantly give me advice, instantly help me, instantly come to my aid and support because they understood it was about the future.
[00:18:11.905 --> 00:18:13.085]  They understood they weren't going to live forever.
[00:18:13.346 --> 00:18:14.667]  They were great men, are great men.
[00:18:15.747 --> 00:18:23.253]  So I just want to take time out because you never know how long you got on air with the World War III and the economy collapsing and the imminent cyber attacks.
[00:18:23.273 --> 00:18:30.061]   They're hyping and getting ready to bring in their new central bank digital currencies that every day is precious
[00:18:30.061 --> 00:18:34.490]   to be able to communicate to all the viewers and listeners how much I appreciate you and how much I appreciate the
[00:18:34.490 --> 00:18:36.301]  crew and what we've gone through together.
[00:18:36.301 --> 00:18:42.301]   So let me mention these articles and we'll drill into them with the mighty Drew Hernandez and Robert Barnes and others.
[00:18:42.301 --> 00:18:44.301]  So let's start going over.
[00:18:44.635 --> 00:18:45.896]  Just to give you an example of what I was talking about.
[00:18:45.916 --> 00:18:46.997]  This is a small spattering.
[00:18:47.677 --> 00:18:50.859]  Donald Trump warns of Chinese spies everywhere in America.
[00:18:51.400 --> 00:18:52.260]  Well, that's totally true.
[00:18:52.661 --> 00:18:53.821]  But what about the U.S.
[00:18:53.861 --> 00:18:55.062]  government officials on the payroll?
[00:18:55.743 --> 00:18:59.005]  Bill Maher, woke revolution very similar to Mao's culture revolution.
[00:18:59.025 --> 00:19:00.266]  Well, it's modeled after that.
[00:19:00.626 --> 00:19:02.087]  How many times you heard me say that the last 20 years?
[00:19:02.928 --> 00:19:08.272]  Border Patrol Union, China watching our border more closely than the Biden administration.
[00:19:09.492 --> 00:19:10.033]  Totally true.
[00:19:11.397 --> 00:19:16.480]  Chinese spies on the border, shipping fentanyl across, working with the drug gangs.
[00:19:16.640 --> 00:19:18.742]  I mean, this is bad.
[00:19:19.402 --> 00:19:24.085]  But then when you fly back into the country, they want to search you.
[00:19:24.125 --> 00:19:25.106]  They want to ask you questions.
[00:19:25.386 --> 00:19:31.890]  When you fly from Albuquerque, New Mexico, to New York City, the TSA wants to grab your junk.
[00:19:32.851 --> 00:19:35.673]  I took off four days last week.
[00:19:35.893 --> 00:19:37.414]  We hadn't been to Cancun in three or four years.
[00:19:38.174 --> 00:19:40.456]  We zipped down there on a Southwest Airline flight.
[00:19:41.584 --> 00:19:44.685]  And I brought a bodyguard with me, and I watched it happen.
[00:19:44.985 --> 00:19:55.029]  Good friend of mine, big black guy, and a clearly gay TSA agent grabbed him and said, what's this?
[00:19:55.729 --> 00:19:56.950]  And he said, what do you think it is?
[00:19:57.750 --> 00:19:58.290]  I'm packing.
[00:20:01.571 --> 00:20:02.812]  So that's the first violation.
[00:20:04.363 --> 00:20:05.044]  He told me about it.
[00:20:05.084 --> 00:20:06.045]  I said, did I just see what I saw?
[00:20:06.065 --> 00:20:06.705]  And he said, yeah.
[00:20:07.166 --> 00:20:09.948]  The guy literally grabbed his genitals and said, what is this?
[00:20:10.309 --> 00:20:11.330]  He goes, what do you think it is?
[00:20:11.970 --> 00:20:14.893]  The guy didn't believe it was that, you know, obviously that big.
[00:20:15.193 --> 00:20:17.315]  And I'm only quoting that because the security guy said that's what he said to him.
[00:20:17.335 --> 00:20:18.156]  I couldn't see what was being said.
[00:20:18.196 --> 00:20:21.799]  I just saw him grabbing his genitals while I was waiting for him to go through.
[00:20:21.840 --> 00:20:23.281]  So they grab him and say, what is that?
[00:20:23.681 --> 00:20:25.703]  Well, that's big dicks what that is, OK?
[00:20:26.224 --> 00:20:27.805]  So that happens.
[00:20:29.983 --> 00:20:30.864]  At the Austin Airport.
[00:20:31.224 --> 00:20:32.244]  I'm shaking TSA hands.
[00:20:32.264 --> 00:20:32.985]  They're not all bad.
[00:20:33.465 --> 00:20:35.106]  But I've had a similar situation.
[00:20:35.126 --> 00:20:36.847]  He didn't say, boy, that's gigantic.
[00:20:36.907 --> 00:20:38.528]  He's grabbing and smiling at me.
[00:20:38.548 --> 00:20:39.708]  That was about 10 years ago.
[00:20:39.728 --> 00:20:40.469]  I got really mad about it.
[00:20:40.489 --> 00:20:41.089]  It was another guy.
[00:20:41.629 --> 00:20:42.910]  But that's the violation.
[00:20:42.970 --> 00:20:44.971]  That's the cult of manipulating you.
[00:20:45.011 --> 00:20:47.593]  That's the cult of getting in your face.
[00:20:47.653 --> 00:20:50.254]  That's the cult of letting you know you have no rights.
[00:20:51.155 --> 00:20:55.517]  And that's what 9-11 was about, was making the American people the enemy and setting up a domestic control arm.
[00:20:55.577 --> 00:20:57.058]  Then I fly back in to Customs.
[00:20:59.175 --> 00:21:00.236]  They let everybody through.
[00:21:00.336 --> 00:21:03.018]  They just look at their passports, 30 seconds, check their name, let them through.
[00:21:03.458 --> 00:21:03.859]  Not me.
[00:21:04.359 --> 00:21:12.345]  So my wife, my daughter, the bodyguard, they get sent through into the Austin Airport.
[00:21:14.247 --> 00:21:18.610]  And the guy behind the counter looks at me and he goes, but you're not smuggling anything.
[00:21:18.630 --> 00:21:19.050]  And I said, no.
[00:21:19.070 --> 00:21:20.291]  And he goes, well, you got to go get searched.
[00:21:20.832 --> 00:21:24.495]  So I go back there and I started talking to the gentleman back there.
[00:21:25.711 --> 00:21:26.571]  And I say, you know who I am?
[00:21:26.591 --> 00:21:27.251]  They go, yeah, we know who you are.
[00:21:27.271 --> 00:21:28.852]  I said, I have no criminal record.
[00:21:29.292 --> 00:21:33.093]  The last three times I flew back to the U.S., this happened and I'm pissed off about it.
[00:21:33.533 --> 00:21:35.833]  They looked at me and they said, yeah, you need to be concerned.
[00:21:35.873 --> 00:21:37.193]  You need to go do a FOIA request.
[00:21:38.054 --> 00:21:39.694]  They said, wait a minute, I gotta go make phone calls.
[00:21:39.734 --> 00:21:44.175]  So the manager goes off, he comes back, he goes, you need to check a FOIA request.
[00:21:44.215 --> 00:21:48.876]  I can't tell you what they flagged, but you, and he shook my hand and said, we're not searching you.
[00:21:49.976 --> 00:21:53.517]  But that's why they want AI and computers in the future, where it's not a human making the decision.
[00:21:54.793 --> 00:21:58.575]  They were not going to let me leave, and they were going to detain me, ladies and gentlemen.
[00:21:59.275 --> 00:22:06.399]  And they were shaking their heads, and they got pissed off, because they know full damn well whatever was flagged on there wasn't true.
[00:22:07.019 --> 00:22:20.926]  So that's where America's at, where our borders are wide open, and leaving the country, my bodyguard, and again, I have a bodyguard, because I'm not going to get in a fight when somebody starts one, and it happens occasionally, you're going to have to deal with this guy.
[00:22:22.250 --> 00:22:24.931]  And notice it doesn't happen anymore when I got a bodyguard with me.
[00:22:24.951 --> 00:22:26.632]  And that's part of the reason we need finances to pay for that.
[00:22:26.652 --> 00:22:27.393]  I had one guy with me.
[00:22:28.333 --> 00:22:32.655]  But the issue here is that he got fondled.
[00:22:33.655 --> 00:22:36.197]  Oh, when Hollywood does it, it's evil and wrong.
[00:22:36.237 --> 00:22:40.859]  A lot of famous men have had their junk grabbed by Hollywood people, but they do it to men and women.
[00:22:40.979 --> 00:22:41.839]  It's all part of the power.
