[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[00:13:26.434 --> 00:13:29.535]  Books for seven-year-olds how they can worship Satan and conjure demons.
[00:13:30.055 --> 00:13:35.237]  This isn't throwing it in Christians' faces and LARPing or trolling.
[00:13:35.577 --> 00:13:36.597]  This is who they are.
[00:13:36.617 --> 00:13:37.598]  And I'm going to explain to you again.
[00:13:39.078 --> 00:13:44.620]  God gives us experiences in our life to teach us how the world really works for missions God has for us.
[00:13:44.680 --> 00:13:48.809]   And most people End up never really taking the mission on that God offers them.
[00:13:48.829 --> 00:13:50.610]  And that's fine.
[00:13:51.751 --> 00:13:56.274]  As long as you still love God and try to do the right thing and ask Christ your heart, I think you're going to be all right.
[00:13:56.895 --> 00:14:03.239]  But I was like growing up in a rich area of Dallas, richest area in Texas at the time.
[00:14:04.340 --> 00:14:09.204]  And I was just like, what is up with all the devil worship with the rich people?
[00:14:10.345 --> 00:14:14.774]   And I was like, why am I being shown this?
[00:14:14.854 --> 00:14:18.016]  Why am I getting caught up in this?
[00:14:18.056 --> 00:14:32.784]  I mean, I never took part in the rituals, but I mean, I've literally been taken to eyes wide shut type events and had to leave and walk down the highway back before they had, you know, people had cell phones and knock on a farmer's door and have my dad drive 40 minutes out in the country to pick me up.
[00:14:33.544 --> 00:14:34.625]  Because I've been there, folks.
[00:14:34.645 --> 00:14:35.405]  I mean, eyes wide shut.
[00:14:36.166 --> 00:14:36.606]  Eyes wide shut.
[00:14:38.010 --> 00:14:48.814]  I just thought, man, I'm lucky I'm dating the sexiest girl in high school, the high school senior, when I'm a freshman, and I was promiscuous, and it's like, and it happened repeatedly again.
[00:14:50.354 --> 00:14:58.217]  Because these cults are real, ladies and gentlemen, and the devil doesn't have an omnipresence, but the devil can pick up on things.
[00:14:59.397 --> 00:15:00.998]  And the devil's like, we're gonna get this guy.
[00:15:02.077 --> 00:15:03.237]  And that's how they operate.
[00:15:03.257 --> 00:15:04.198]  They're all over the place.
[00:15:04.218 --> 00:15:05.218]  They're devil worshippers.
[00:15:05.758 --> 00:15:07.479]  Just all over the place, ladies and gentlemen.
[00:15:07.939 --> 00:15:13.501]  And I told you this for a long time, and now it's out in the open.
[00:15:16.542 --> 00:15:17.702]  And then I still didn't learn my lesson.
[00:15:18.002 --> 00:15:25.445]  A few months later, oh, one of the other hottest chicks from the nearby school, you know, driving her Jaguar.
[00:15:26.885 --> 00:15:28.326]  Oh, she lives in a 20-bedroom house.
[00:15:28.466 --> 00:15:28.886]  Oh, she, you know.
[00:15:30.260 --> 00:15:32.903]  Oh, you know, she's a high school senior too.
[00:15:32.923 --> 00:15:33.804]  She wants to date me.
[00:15:35.085 --> 00:15:41.732]  And then I'm on top of her and she's, you know, you really ought to join our group.
[00:15:43.734 --> 00:15:46.577]  Then I'm leaving the house and the dad's like, you enjoy having sex with my daughter?
[00:15:47.238 --> 00:15:47.779]  I sure do.
[00:15:48.219 --> 00:15:49.320]  Why don't you join us, Jones?
[00:15:51.162 --> 00:15:52.504]  These people are for real.
[00:15:53.840 --> 00:15:55.401]  And they're all over the place.
[00:15:56.161 --> 00:15:59.863]  And they've been building the army under the surface, and now they're launching.
[00:16:00.703 --> 00:16:01.783]  Alright, I've been there.
[00:16:02.544 --> 00:16:03.264]  I've seen it.
[00:16:04.424 --> 00:16:05.865]  Yeah, Tom Cruise is in a movie.
[00:16:06.385 --> 00:16:07.166]  I'd actually been there.
[00:16:07.606 --> 00:16:08.166]  We'll be right back.
[00:16:08.186 --> 00:16:08.586]  Stay with us.
[00:16:09.927 --> 00:16:11.567]  Welcome back to the Alex Jones Show.
[00:16:11.907 --> 00:16:15.269]  Jack Masubi's got more big breaking news coming up next segment.
[00:16:16.616 --> 00:16:19.437]  Let me do this, because I'm going to hit all this today, one way or another.
[00:16:20.158 --> 00:16:21.698]  Let me just go over the headlines here.
[00:16:21.978 --> 00:16:28.521]  First off, as I mentioned, the Z for defeat, Biden aid package risk collapse, Ukraine on cusp of losing war.
[00:16:29.402 --> 00:16:34.804]  As if $26 million could beat $180 million or whatever the Russians have got in all their weapons.
[00:16:35.485 --> 00:16:44.549]  I mean, this is just sick and evil, and they knew, and the Pentagon told them they would lose day one, but it was a good way for the globalists to launder money and rob the American people and kill a bunch of people.
[00:16:46.027 --> 00:16:47.748]  Ukraine's on the cusp of losing this war.
[00:16:47.828 --> 00:16:48.648]  We're screwed.
[00:16:50.188 --> 00:16:51.589]  Is this the end for Zelensky?
[00:16:51.669 --> 00:16:52.769]  Yeah, they're getting ready to blame him.
[00:16:53.409 --> 00:16:57.110]  Ukrainian Zelensky to visit Capitol Hill and USA package risk collapse.
[00:16:58.851 --> 00:17:00.691]  He says, no, no, no, we're not going to defend your border.
[00:17:01.092 --> 00:17:01.872]  Don't pass that.
[00:17:01.892 --> 00:17:04.773]  No, no, no, Biden, we're not going to shut down the border either.
[00:17:05.673 --> 00:17:09.074]  Just give us money to keep this war going on forever.
[00:17:10.819 --> 00:17:14.360]  And then here's the big enchilada that I'm going to raise with Jack Posobiec.
[00:17:14.380 --> 00:17:16.661]  People ask how I know tomorrow's news today.
[00:17:18.702 --> 00:17:32.927]  Because the globalists know, statistically, since the advent, you can call it that, since the tragedy of television, that the average person is in a near-sleep daydream state.
[00:17:32.947 --> 00:17:35.468]  They're not in it, but they're very highly suggestible.
[00:17:37.301 --> 00:17:41.584]  And the more you watch television, the higher levels of neurological disorders, Alzheimer's, death.
[00:17:42.124 --> 00:17:45.607]  Just type in, watching a lot of television statistically kills you earlier.
[00:17:45.987 --> 00:17:47.648]  Television watching tied to Alzheimer's.
[00:17:47.668 --> 00:17:49.190]  There's literally thousands of studies.
[00:17:52.332 --> 00:18:03.420]  And so, when you see Klaus Schwab say, if you think COVID is bad, wait until there is a cyber attack that will shut down civilization.
[00:18:05.211 --> 00:18:06.873]  So we need global government to stop it.
[00:18:06.913 --> 00:18:10.216]  Meanwhile, he wants to shut down civilization for the general public.
[00:18:11.057 --> 00:18:11.797]  They want to go back to feudalism.
[00:18:12.698 --> 00:18:13.979]  And that was going on a few years ago.
[00:18:14.019 --> 00:18:16.041]  And I said, they're pre-programming a cyber attack.
[00:18:16.381 --> 00:18:18.924]  They're going to blame it on Russia and claim they're working with domestic groups.
[00:18:18.984 --> 00:18:20.245]  I just saw that at the tea leaves.
[00:18:20.705 --> 00:18:29.855]   And then they came out earlier this year, what, in January, now 10 months ago, 11 months ago, and said, FBI memo with no proof.
[00:18:30.495 --> 00:18:42.239]  The American MAGA movement working with Russia, we already know that's all crap, is going to cyber attack America, probably for the election, to steal it for Trump.
[00:18:42.459 --> 00:18:42.699]  What?
[00:18:45.360 --> 00:18:47.561]  And now Obama's new Netflix show is out.
[00:18:51.463 --> 00:18:53.143]  Leaving the world behind.
[00:18:53.183 --> 00:18:54.084]  Yeah, give up.
[00:18:54.484 --> 00:18:55.404]  The world's gonna end.
[00:18:55.444 --> 00:18:56.725]  Just accept it's your fault.
[00:18:56.785 --> 00:18:57.285]  You're bad.
[00:18:59.170 --> 00:19:02.571]  I haven't seen the show, I've seen the trailer, but the crew, one of the crew saw it.
[00:19:02.611 --> 00:19:12.455]  It's all just the cyber attacks coming, everything's over, dystopia, everybody's cheating on each other, you know, all this, you know, perverts everywhere.
[00:19:12.475 --> 00:19:15.277]  I mean, just, just, just a nasty snake bite.
[00:19:16.977 --> 00:19:17.597]  Just poison.
[00:19:18.598 --> 00:19:25.100]  Obama produced dystopian movie foretells nightmare future after cyber attack collapses civilization.
[00:19:25.621 --> 00:19:35.936]   So the UN officially, Rio de Janeiro 1992, Once a post-industrial world, and they're telling you everything's shutting down because you're bad.
[00:19:35.976 --> 00:19:37.517]  No, they're cutting all the resources off.
[00:19:38.478 --> 00:19:44.783]  And they've got King Charles saying it, and they've got all the Hollywood, William Shatner out running around doing it.
[00:19:45.563 --> 00:19:48.945]  And now the new Obama show is out.
[00:19:50.527 --> 00:19:55.610]  Obama produced a dystopian movie foretells nightmare future after cyber attack, collapse of civilization.
[00:19:55.630 --> 00:19:56.711]  And you're like, well, yeah, okay.
[00:19:57.131 --> 00:20:03.479]   And then the WEF Just had their big meeting after COP 28.
[00:20:07.422 --> 00:20:11.905]  And they say imminently, cyber attacks and the power going off.
[00:20:14.229 --> 00:20:17.371]  So I'm going to talk about this with Jack Posobiec in the interest of time.
[00:20:18.031 --> 00:20:21.593]  I won't play the clip, so next hour, I'm going to start with this and give you my analysis.
[00:20:21.653 --> 00:20:26.035]  But this is, they always foretell and pre-program.
[00:20:26.055 --> 00:20:30.017]  Now, if you're not in a trance, you're like, okay, they're getting you ready for it, predictive programming.
[00:20:30.057 --> 00:20:35.313]   But if you're in a trance, Then you accept it when it happens and who they tell you has done it.
[00:20:35.614 --> 00:21:00.112]  So they're telling the FBI in briefings, men, women, agents of the bureau, we've got intel, it's classified, we can't show it to you, but Trump supporters are going to shut off the power grid and or the internet grid and there'll only be government websites available during this, that's obviously internet kill switch, coup d'etat move, but it's not the government seizing power when this happens, it's the Russians with the Trump supporters.
[00:21:02.179 --> 00:21:04.040]  What are they going to do about Trump?
[00:21:04.060 --> 00:21:05.842]  10, 15, 20 points ahead in different polls.
[00:21:06.743 --> 00:21:08.624]  What are they going to do when everybody's waking up?
[00:21:08.664 --> 00:21:10.185]  Well, they'll pull the damn plug.
[00:21:11.306 --> 00:21:12.867]  And Obama got the kill switch in.
[00:21:12.907 --> 00:21:13.288]  Look it up.
[00:21:13.328 --> 00:21:16.090]  I told you about it years before it was official, because I had sources.
[00:21:16.970 --> 00:21:19.092]  And before he left office, Obama got the kill switch in.
[00:21:19.112 --> 00:21:42.278]   But what it means is there'll still be the internet, but cyber attackers from China or Russia, or now, MAGA, They will use the internet to keep hacking the bridges, and the ferries, and the air traffic controllers, and the gas pipelines, and the highway signs, and the hospital machines, and just total disaster, and they show you all these movies, get ready for it.
[00:21:43.078 --> 00:21:50.421]  But if we cut everybody's internet off, you'll still have internet, but you can only then get approved channels.
[00:21:51.801 --> 00:21:52.681]  And they even war game it.
[00:21:52.701 --> 00:21:54.082]  At first, it's just the White House.
[00:21:55.148 --> 00:21:56.269]  Your cell phone, your computer.
[00:21:56.689 --> 00:22:01.714]  You can't get anything but what they say.
[00:22:03.436 --> 00:22:04.196]  Narrative control.
[00:22:04.236 --> 00:22:08.360]  Not enough to lock you in your house in a lockdown and force feed your brainwatching for years.
[00:22:09.922 --> 00:22:14.606]  And make you work at home and telecommute so they can spy on what you're doing when you're on the Zoom with their AI.
[00:22:15.127 --> 00:22:15.967]  That was just a war game.
[00:22:16.648 --> 00:22:17.589]  This is total.
[00:22:18.510 --> 00:22:24.210]   And this is what you need to take over the communications during A soft coup going into a hot coup.
[00:22:25.011 --> 00:22:27.372]  So they're swinging from the chandeliers.
[00:22:27.412 --> 00:22:34.356]  They're running around like chickens with their heads cut off, telling you the cyber attack is imminent.
[00:22:36.037 --> 00:22:38.919]  And with no proof, it's the Russians.
[00:22:39.639 --> 00:22:44.702]  But now they're even saying, oh, China has launched major attacks that are ongoing.
[00:22:45.342 --> 00:22:50.782]   Oh, maybe China ransomed the East Coast pipeline that caught up with Eurasia.
[00:22:50.782 --> 00:22:58.722]  But who's really shutting off thousands of pipelines?
[00:22:59.690 --> 00:23:02.532]  Thousands of the Spurs and Lynx?
[00:23:03.173 --> 00:23:03.753]  Who won't let us?
[00:23:03.773 --> 00:23:09.396]  Who's trying to shut down the Canadian pipeline we've had since the 70s that supplies most of the central part of the country?
[00:23:10.937 --> 00:23:18.042]  Who shut down the Keystone pipeline that was going to massively cut our gas prices and produce tens of millions of barrels of gasoline a day?
[00:23:19.703 --> 00:23:20.223]  The globalists.
[00:23:21.104 --> 00:23:22.685]  Who's telling you they want to shut off the fuel?
[00:23:23.769 --> 00:23:26.270]  And then they go, oh, it's the Russians, yeah.
[00:23:26.730 --> 00:23:28.811]  Oh, yeah, the Russians blew up Nord Stream 2, right?
[00:23:30.972 --> 00:23:32.012]  No, they didn't.
[00:23:34.813 --> 00:23:36.074]  They didn't blow up Nord Stream 2.
[00:23:36.294 --> 00:23:39.055]  The globalists did.
[00:23:39.455 --> 00:23:47.218]  And if the Russians were doing any of this, I've never been to Russia, I would be their enemy so fast you'd make your head spin.
[00:23:47.238 --> 00:23:48.518]  But that's just not true, folks.
[00:23:49.539 --> 00:23:52.820]  The Russians are the excuse that they use for all this crap.
[00:23:54.718 --> 00:23:55.978]  Did the Russians get rid of our border?
[00:23:56.519 --> 00:23:57.819]  Did the Russians ship in the fentanyl?
[00:23:58.339 --> 00:24:00.120]  Did the Russians have drag queen pedophile time?
[00:24:00.360 --> 00:24:03.641]  Did the Russians put satanic Baphomet idols in the state capitals?
[00:24:04.421 --> 00:24:07.642]  Did they abort 68 million Americans, half of them black?
[00:24:09.143 --> 00:24:10.483]  Did the Russians ship in the cocaine?
[00:24:10.503 --> 00:24:11.443]  No, that was the CIA.
[00:24:12.044 --> 00:24:16.445]  We have a ruthless, insane group of criminals that have hijacked the government.
[00:24:16.785 --> 00:24:18.986]  And they're destroying the world around us.
[00:24:19.046 --> 00:24:21.387]  And we can stop them because the Great Awakening is here.
[00:24:21.467 --> 00:24:22.587]  So we got a lot on that.
[00:24:23.959 --> 00:24:28.282]  And the WEFO, the imminent attack, it's going to shut down civilization.
[00:24:28.662 --> 00:24:31.223]  Meanwhile, we have IMF, World Bank, WEF videos.
[00:24:31.443 --> 00:24:38.007]  How great it was during a lockdown, how good it was for the Earth, and we need more lockdowns, but those damn Russians are going to put us in a lockdown.
[00:24:40.229 --> 00:24:42.150]  Tuesday Live, it's official.
