[00:00:00.000 --> 00:00:02.480]  [BEEPING]
[00:05:21.391 --> 00:05:25.216]  And you want to support the show, plus have something in your medicine cabinet, have to give to others.
[00:05:25.276 --> 00:05:25.857]  It's topical.
[00:05:25.877 --> 00:05:26.938]  You can also take it orally.
[00:05:28.120 --> 00:05:29.722]  It really does a lot of amazing things.
[00:05:29.842 --> 00:05:31.104]  Anti-infection, you name it.
[00:05:31.504 --> 00:05:34.508]  Nothing's a silver bullet, but it's as close to a silver bullet as you're going to get.
[00:05:34.528 --> 00:05:37.772]  Silver Bullet, back in stock, discounted, in full war store.
[00:05:38.953 --> 00:05:43.796]  And we also have Brain Force Ultra, the incredible, fast-acting, nootropic back in stock.
[00:05:44.816 --> 00:05:45.817]  60% off part of the big sale.
[00:05:46.137 --> 00:05:50.299]  The new sale we've got, immune support, organic, green fibers, 50% off.
[00:05:50.319 --> 00:05:51.199]  Those are both incredible.
[00:05:51.559 --> 00:05:53.080]  Vitamin D3 gummies, amazing.
[00:05:53.640 --> 00:05:55.801]  Infowarsstore.com or 888-253-3139.
[00:05:55.621 --> 00:06:02.621]  or 888-253-3139.
[00:06:02.621 --> 00:06:14.781]   From the front lines of the information war, it's Alex Jones.
[00:06:14.781 --> 00:06:20.781]  [music]
[00:06:20.818 --> 00:06:23.399]  President Trump has issued an emergency alert.
[00:06:24.080 --> 00:06:25.800]  America is under a globalist coup.
[00:06:26.120 --> 00:06:28.141]  We're going into a permanent dictatorship.
[00:06:28.281 --> 00:06:40.521]   We've got to stop it for ourselves and our children's future now.
[00:06:40.532 --> 00:06:56.652]  2023.
[00:06:40.832 --> 00:07:05.051]   I'm your host Alex Jones, and I want everybody to just sit back and focus on the fact that we are in a captured nation by BlackRock, by the mega banks, by the private Federal Reserve, and they are openly Traveling all over the country, filing lawsuits that have failed to remove members of Congress from being able to run for office again.
[00:07:05.411 --> 00:07:07.292]  With Gozer and MTG, you've seen that.
[00:07:07.913 --> 00:07:19.722]  But now with their state and federal charges in these Soros-controlled courts, they are openly trying to remove President Trump from the ballot in Colorado and New Hampshire.
[00:07:20.703 --> 00:07:21.283]  And other states.
[00:07:21.984 --> 00:07:25.687]  There's no debating Trump is 70% of the Republican field.
[00:07:26.007 --> 00:07:27.468]  Against all their candidates.
[00:07:27.488 --> 00:07:28.048]  They're 30%.
[00:07:28.909 --> 00:07:29.389]  10 candidates.
[00:07:29.469 --> 00:07:30.290]  Pence just dropped out.
[00:07:30.910 --> 00:07:32.131]  He's 70% on average.
[00:07:32.612 --> 00:07:33.112]  Picking on the poll.
[00:07:33.552 --> 00:07:34.933]  The low polls are 65%.
[00:07:35.754 --> 00:07:38.976]  There's no doubt he's 20 plus points ahead of Biden in their mainline polls.
[00:07:39.377 --> 00:07:43.900]  They are in panic mode and they're telling you, you can't have this man.
[00:07:45.041 --> 00:07:49.324]  If he wasn't somebody I supported, I would still say it's wrong to take the voters' rights away.
[00:07:50.077 --> 00:07:54.480]  And they've indicted him for claiming there was election meddling in 2020.
[00:07:55.741 --> 00:08:08.832]  And three years later, it's come out the CIA, the FBI, big tech colluding to block voters from information, to cover up stories about Joe Biden, all the illegal aliens, the people voting the names of dead people, and the mail-in ballots in the six key states.
[00:08:10.473 --> 00:08:17.899]  And now Trump has come out in a speech we're about to play, it's very short, but so historic and powerful, and said they're establishing a permanent dictatorship.
[00:08:18.877 --> 00:08:24.686]  And once they're able to steal this from us again, and from President Trump, they're never going to let go.
[00:08:25.086 --> 00:08:27.450]  They know there's been a political realignment.
[00:08:27.850 --> 00:08:33.558]  People have broken with the BlackRock-controlled, WEF-controlled, Globalist Democratic Party.
[00:08:34.795 --> 00:08:40.057]  So what do you do when the people say no, legally and lawfully, and declare their Declaration of Independence through voting?
[00:08:40.917 --> 00:08:42.938]  You declare them an enemy terrorist group.
[00:08:43.418 --> 00:08:45.098]  They've got all the false reports everywhere.
[00:08:45.218 --> 00:08:47.879]  FBI says Trump supporters are going to engage in terror.
[00:08:47.919 --> 00:08:52.641]  And, oh, Trump supporters work with Russia to cut the power off, and that may cancel the election.
[00:08:53.081 --> 00:08:57.943]  And they've got World War III and the Israel conflict and Russia, and all of that is a distraction.
[00:08:58.583 --> 00:09:11.197]   In the next 12 months, and it's basically 12 months this week, We're gonna see hell released to censor you, to shut down InfoWars, and to imprison President Trump and remove him on the ballot.
[00:09:11.477 --> 00:09:14.057]  They're now saying, hey, you keep criticizing these courts.
[00:09:14.677 --> 00:09:20.198]  We've given you two strikes, the third when you're going to jail, for saying these courts are a fraud, for saying they're Democratic Party operatives.
[00:09:20.418 --> 00:09:23.919]  When the judge in New York bragged, I don't follow the law, I do what I want.
[00:09:23.939 --> 00:09:27.840]  When the Attorney General in New York said, I'm gonna put Trump in jail, that's my political mission.
[00:09:28.956 --> 00:09:30.559]  This is dictatorship being set up.
[00:09:31.079 --> 00:09:33.804]  Dictatorship is the standard position in the world.
[00:09:34.204 --> 00:09:35.266]  Free countries are rare.
[00:09:35.526 --> 00:09:37.950]  It's why everyone came here to experience this.
[00:09:37.990 --> 00:09:42.136]  So, ladies and gentlemen, this is the fight of our lives, as Trump has said a hundred times or more.
[00:09:43.200 --> 00:09:43.940]  They're not coming after him.
[00:09:44.501 --> 00:09:45.461]  They're coming after you.
[00:09:45.801 --> 00:09:48.823]  They've just got to get through him to get to you.
[00:09:49.483 --> 00:09:53.285]  So ladies and gentlemen, I will encourage you again today to realize how precious InfoWars is.
[00:09:53.765 --> 00:09:56.807]  To take these clips, to take these reports, and post them everywhere.
[00:09:56.827 --> 00:10:02.090]  And to share them on your email, your text messages, by word of mouth, to strangers, to friends, to family, to your church.
[00:10:03.050 --> 00:10:03.911]  Don't spread InfoWars.
[00:10:03.951 --> 00:10:04.771]  Spread something else.
[00:10:04.831 --> 00:10:08.033]  Steve Bannon, or Jack Posobiec, or President Trump.
[00:10:09.684 --> 00:10:13.188]  Tucker Carlson, but whatever you do, stand now.
[00:10:13.268 --> 00:10:24.879]  This is your chance to be part of the Second American Revolution, and it's an information war, and the enemy's losing, so they're now saying Hezbollah's gonna launch terror attacks in America, when they're the ones who brought Hezbollah in.
[00:10:25.742 --> 00:10:29.244]  They're saying Iran's already assassinated American officials, but won't tell us who.
[00:10:30.165 --> 00:10:31.426]  We're going into the false flags.
[00:10:31.446 --> 00:10:32.326]  We're going into the tyranny.
[00:10:32.666 --> 00:10:36.409]  It's happening right now, and this is game time, ladies and gentlemen.
[00:10:37.089 --> 00:10:38.230]  You are the InfoWars.
[00:10:38.450 --> 00:10:39.631]  You are the human intelligence.
[00:10:39.771 --> 00:10:40.451]  You are the power.
[00:10:41.252 --> 00:10:45.595]  So, all of you, take the live links right now to InfoWars.com forward slash show.
[00:10:45.835 --> 00:10:46.455]  Band out video.
[00:10:46.735 --> 00:10:47.456]  Share them everywhere.
[00:10:48.817 --> 00:10:50.959]  The great Michael Yan and others are about to be with us.
[00:10:51.239 --> 00:10:59.907]  But first, let's play this important emergency alert with the real president, the former president, telling you we're going into a permanent dictatorship.
[00:10:59.987 --> 00:11:05.692]  Imagine 10 years ago, a former president saying we're going into a dictatorship with communists and the New World Order.
[00:11:05.712 --> 00:11:06.953]  You wouldn't even believe that was possible.
[00:11:07.534 --> 00:11:09.695]  But he's telling the truth, and it's happening.
[00:11:10.615 --> 00:11:11.696]  Let that sink in.
[00:11:11.776 --> 00:11:12.796]  Let that soak in.
[00:11:13.437 --> 00:11:17.179]  Now's not the time to watch Sunday night football games and go to the baseball game.
[00:11:17.199 --> 00:11:18.980]  None of the World Series is basically over.
[00:11:19.581 --> 00:11:27.225]  Now is the time to realize that the globalists are coming for your currency, your children, your way of life, your right to religion, everything else.
[00:11:27.686 --> 00:11:30.507]  Here's President Trump with the emergency alert he's issuing.
[00:11:31.148 --> 00:11:35.711]  And the political climate's so crazy, think about all the fact this is even no big deal.
[00:11:36.687 --> 00:11:38.149]  This isn't the top story in the country.
[00:11:38.609 --> 00:11:43.574]  That shows how desensitized with learned helplessness and mass Stockholm syndrome we've gotten.
[00:11:44.415 --> 00:11:49.461]  A fake trial is currently taking place to try and illegally remove my name from the ballot.
[00:11:50.062 --> 00:11:55.207]  I often say that 2024 will be the most important election in the history of our country.
[00:11:55.728 --> 00:12:09.261]   The reason for that and that statement Is that our country is being destroyed by people have no idea what they're doing, or even worse, they may very well have an idea they may hate our country, and they may want to see it destroyed.
[00:12:10.063 --> 00:12:12.266]  But it may also be the last election.
[00:12:13.120 --> 00:12:13.920]  We ever have.
[00:12:14.601 --> 00:12:23.645]  If this election doesn't work, if this election is rigged and stolen, if bad things happen, our country will not survive.
[00:12:24.125 --> 00:12:32.649]  If Crooked Joe and the Democrats get away with removing my name from the ballot, then there will never be a free election in America again.
[00:12:33.129 --> 00:12:37.552]  We will have become a dictatorship where your president is chosen for you.
[00:12:38.072 --> 00:12:42.235]  You will no longer have a vote or certainly won't have a meaningful vote.
[00:12:42.495 --> 00:12:45.017]  And you could say, frankly, that that has already begun.
[00:12:45.677 --> 00:12:48.579]  This truly is our final chance to save America.
[00:12:48.619 --> 00:13:01.788]  And with the 2024 election now less than one year away, this is your chance to take a stand against tyrants that support the one and only movement that can save our country and make America great again.
[00:13:02.228 --> 00:13:05.432]  We must win in 2024.
[00:13:06.073 --> 00:13:09.037]  If we don't win, we will not have a country.
[00:13:09.517 --> 00:13:15.665]  If we do win, we will make America greater than it's ever been before.
[00:13:15.945 --> 00:13:16.305]  Thank you.
[00:13:17.105 --> 00:13:22.408]  So let's go over those words right now that President Trump just said.
[00:13:22.428 --> 00:13:25.629]  I often say 2024 will be the most important election in the history of our country.
[00:13:26.190 --> 00:13:32.253]  The reason for that and this statement is that our country is being destroyed by people who have no idea what they're doing.
[00:13:33.013 --> 00:13:39.916]  Or even worse, they may very well have an idea, they may hate our country, and they may want to see it destroyed.
[00:13:40.337 --> 00:13:48.701]  The average globalist minion just being paid to do this thinks they're on a winning team, but the chi-coms and BlackRock and the globalists know they're pushing America into a civil war.
[00:13:48.761 --> 00:13:55.604]  So it's both the things President Trump said there, but he's really good at saying something to get you to think, to come to your own conclusion.
[00:13:56.504 --> 00:13:57.065]  He continues.
[00:13:57.805 --> 00:14:00.886]  But it may also be the last election we ever have.
[00:14:01.367 --> 00:14:01.987]  That's totally true.
[00:14:03.447 --> 00:14:08.728]  If this election doesn't work, if this election is rigged and stolen, if bad things happen, our country will not survive.
[00:14:09.068 --> 00:14:10.949]  The false flags, the race war, they're already priming.
[00:14:11.869 --> 00:14:17.770]  If Crooked Joe and the Democrats get away with removing my name from the ballot, then there will never be a free election in America again.
[00:14:18.311 --> 00:14:21.571]  Of course, they're trying to remove members of Congress from being able to vote.
[00:14:21.851 --> 00:14:23.472]  That's open election meddling.
[00:14:23.792 --> 00:14:26.533]  Trying to say you can't even vote for the person you want.
[00:14:26.853 --> 00:14:30.874]  That is cut and dry election theft, not just election meddling.
[00:14:31.774 --> 00:14:32.314]  He continues.
[00:14:33.533 --> 00:14:35.416]  We will have become a dictatorship.
[00:14:35.796 --> 00:14:40.363]  We would have become a dictatorship of this oligarchy.
[00:14:41.971 --> 00:14:43.892]  We will have become a dictatorship.
[00:14:43.932 --> 00:14:45.053]  That's a president saying that.
[00:14:45.773 --> 00:14:47.734]  We would have become a dictatorship.
[00:14:47.994 --> 00:14:49.715]  We would have become a dictatorship.
[00:14:50.276 --> 00:14:56.920]  Where your president is chosen for you, you will no longer have a vote, or certainly a meaningful vote.
[00:14:57.140 --> 00:14:59.741]  You can say, frankly, that this has already begun.
[00:15:00.201 --> 00:15:00.762]  And it has.
[00:15:01.102 --> 00:15:05.925]  He said, adding that this is truly our final chance to save America.
[00:15:08.641 --> 00:15:17.427]  A lawsuit in Colorado is challenging Trump's eligibility for the state's presidential ballot next year, claiming he should be removed from the ballot.
[00:15:18.628 --> 00:15:21.891]  Oh, you claim there's election fraud, so we're going to remove you from the ballot.
[00:15:22.851 --> 00:15:36.221]  Just like the CIA advised the communist government of Brazil when they stole the election there earlier this year, or late last year, to then now bar Bolsonaro forever running, because he questioned the election.
[00:15:37.540 --> 00:15:42.964]  Michael Young and others are about to take over, and I want to remind listeners again, I'm in a total info war.
[00:15:43.444 --> 00:15:45.546]  I won't give up, I won't give in, I won't give out.
[00:15:45.946 --> 00:15:53.872]  But the reason I've said is, I may have to quit, is because if you don't support us, and I'm not blaming you, I'm just telling you the facts, it feels like quitting.
[00:15:54.373 --> 00:15:54.953]  I'm not quitting.
[00:15:55.614 --> 00:16:03.799]   But if I don't have the funds to fund info wars, if I don't have the funds to continue to fight on this critical final 12 months going into this great epic battle, You're taking me off the field.
[00:16:03.819 --> 00:16:07.060]  You're taking me out of the football stadium itself.
[00:16:07.841 --> 00:16:11.602]  So, I can't do this without you, ladies and gentlemen.
[00:16:11.642 --> 00:16:13.722]  I want to be on the field in this fight.
[00:16:14.102 --> 00:16:15.723]  I want to be in the front line.
[00:16:16.403 --> 00:16:17.423]  But I can't do it without you.
[00:16:17.463 --> 00:16:19.244]  So please, pray for us.
[00:16:19.324 --> 00:16:20.404]  Please spread the links and articles.
[00:16:20.964 --> 00:16:29.167]  And please tell people all over the web, where our clips are viral every day, that you can hear the actual live show in the source at InfoWars.com forward slash show.
[00:16:30.207 --> 00:16:31.288]  Keep me on the field.
[00:16:31.368 --> 00:16:32.388]  Keep me in the stadium.
[00:16:33.459 --> 00:16:38.381]  Quite frankly, not having the funds we need, it's like I'm halfway on the bench half the time, unable to fight like I need to.
[00:16:38.421 --> 00:16:42.403]  So please, get great products you need at InfoWarsStore.com.
[00:16:42.884 --> 00:16:44.224]  Get my book, The Great Awakening.
[00:16:45.185 --> 00:16:46.165]  Get the other documentaries.
[00:16:46.205 --> 00:16:46.786]  Get the other books.
[00:16:46.826 --> 00:16:48.126]  Get high-quality water filtration.
[00:16:48.506 --> 00:16:56.490]  Whatever you do, I want to thank you for your past support, but realize, now is the time to be supporting in the face of this evil, InfoWarsStore.com.
[00:16:56.770 --> 00:16:57.811]  There's no excuses.
[00:16:58.431 --> 00:17:10.539]   Either decide to join the Globalists and throw in your towel and roll over and give up, Or decide to stand with myself and President Trump and General Flynn and others and spread the word about this broadcast and get great products now like Brain Force Ultra.
[00:17:10.639 --> 00:17:12.480]  It's an incredible, clean nootropic.
[00:17:12.620 --> 00:17:13.761]  It's 60% off.
[00:17:14.301 --> 00:17:15.402]  The sale's gonna end soon.
[00:17:15.742 --> 00:17:16.283]  Get it now.
[00:17:16.383 --> 00:17:16.943]  Experience it.
[00:17:16.963 --> 00:17:18.524]  But regardless, know you support the broadcast.
[00:17:18.845 --> 00:17:20.005]  Go to mfullerswore.com.
[00:17:20.306 --> 00:17:21.807]  Click the support donate button.
[00:17:22.087 --> 00:17:25.169]  Whatever you do, keep us in the fight because we've proven we're right.
[00:17:25.469 --> 00:17:27.070]  We've proven we're talking about the real world.
[00:17:27.371 --> 00:17:29.132]  Elon Musk is quoting me verbatim now.
[00:17:29.472 --> 00:17:30.613]  We're getting a lot of traction.
[00:17:30.953 --> 00:17:33.458]  But the enemy's coming after us, so please keep me in the fight.
[00:17:33.979 --> 00:17:37.205]  Whatever you do, realize how historic this moment is.
[00:17:37.806 --> 00:17:39.308]  And get in the stadium.
[00:17:39.769 --> 00:17:40.811]  Get off the bench.
[00:17:41.372 --> 00:17:42.735]  And get in the fight.
[00:17:44.480 --> 00:17:45.481]  Arena right now.
[00:17:45.641 --> 00:17:47.583]  Get on the field right now.
[00:17:47.703 --> 00:17:49.946]  That's what this is all about, ladies and gentlemen.
[00:17:50.266 --> 00:17:51.167]  It is going down.
[00:17:51.187 --> 00:17:53.369]  Global corporate forces think you're stupid.
[00:17:53.629 --> 00:17:54.530]  They think you're mindless.
[00:17:54.770 --> 00:17:55.671]  They think you're an idiot.
[00:17:55.871 --> 00:17:57.053]  They think you're easy to defeat.
[00:17:57.313 --> 00:17:58.594]  They think you don't understand things.
[00:17:58.614 --> 00:17:59.815]  They don't think you know what's happening.
[00:18:00.056 --> 00:18:02.578]  And Congress knew nothing about big tech censorship five years ago.
[00:18:02.878 --> 00:18:05.081]  Now their growth curve of understanding has really launched.
[00:18:06.112 --> 00:18:07.052]  So they're on the field now.
[00:18:07.853 --> 00:18:10.994]  This is all about being on the field during this critical time.
[00:18:11.394 --> 00:18:15.775]  You gotta be in the stadium, and you gotta get off the bench, and you gotta get on the field.
[00:18:16.275 --> 00:18:19.817]  And I just keep saying that over and over again, because this is the historic moment we're in.
[00:18:20.037 --> 00:18:25.118]  We just saw the former president have the election stolen from him, telling him we're going into a permanent dictatorship.
[00:18:25.298 --> 00:18:32.301]  They're trying to remove him from the ballot, which is election theft and stealing an election by the very definition of it.
[00:18:32.941 --> 00:18:34.342]  And I know I keep repeating that.
[00:18:34.602 --> 00:18:36.483]  They're stealing the election openly.
[00:18:36.744 --> 00:18:38.465]  They know he's 20 points ahead of Biden.
[00:18:39.585 --> 00:18:41.787]  Of course they did it before, they're doing it again.
[00:18:41.807 --> 00:18:44.969]  And they've indicted him for pointing out what they did.
[00:18:45.950 --> 00:18:53.855]  And a bunch of cowards that work for him turn around and say that they're complicit in fraud, but they admit, but he never told me to do this.
[00:18:55.109 --> 00:18:56.790]  All you gotta do is say President Trump's a fraud.
[00:18:57.210 --> 00:18:59.832]  All you gotta do is say the election wasn't stolen, and we'll leave you alone.
[00:19:00.172 --> 00:19:02.073]  They were the ones that always said elections were stolen before.
[00:19:02.613 --> 00:19:07.916]  But now they don't want it to be said because they're about to have a permanent dictatorship in this country.
[00:19:07.956 --> 00:19:12.739]  That's what the former President of the United States just said to you right now.
[00:19:13.079 --> 00:19:14.620]  Do you understand the time you're living in?
[00:19:14.960 --> 00:19:16.241]  I don't have words intense enough.
[00:19:17.341 --> 00:19:17.682]  I don't have...
[00:19:18.891 --> 00:19:20.973]  Things I could say of the magnitude.
[00:19:21.453 --> 00:19:23.675]  You've seen all the evil they've already committed against us.
[00:19:24.036 --> 00:19:25.557]  You've seen the destruction of our country.
[00:19:25.577 --> 00:19:30.481]  You've seen the wars, the pedophilia, the Satanism, the human trafficking, the fentanyl.
[00:19:32.103 --> 00:19:35.726]  Can you imagine what they're going to do next once they've fully got us in their hold?
[00:19:36.627 --> 00:19:37.547]  These people are evil.
[00:19:38.479 --> 00:19:41.543]  I'm gonna hand the show over now to Michael Young and General Flynn and others.
[00:19:41.683 --> 00:19:43.245]  InfoWars.com to Mars News Today.
[00:19:43.265 --> 00:19:44.407]  I need your support.
[00:19:44.948 --> 00:19:45.729]  It's up to you now.
[00:19:46.149 --> 00:19:46.830]  This is your mission.
[00:19:46.850 --> 00:19:48.993]  If you choose to accept it, please take action now.
[00:19:49.052 --> 00:19:59.532]  God bless and good luck.
[00:19:59.593 --> 00:20:03.175]  I'm in the lightning chair for Alex Jones with Michael Yan.
[00:20:03.195 --> 00:20:06.817]  We're on Operation Burning Edge and we're taking over for this transmission today.
[00:20:06.877 --> 00:20:08.057]  This is Do or Die, folks.
[00:20:08.197 --> 00:20:15.201]  Alex Jones, the message she was just giving was absolutely poetic, prophetic and necessary for the American people to hear and to act.
[00:20:15.788 --> 00:20:27.119]  Michael, this is a war for humanity, and America is in the way of the global tyrants, the globalists, from taking over and destroying humanity and remaking it in what their image is, and clearly not what's God's.
[00:20:27.179 --> 00:20:29.241]  It's great to be with you, Michael, down here in Central America.
[00:20:29.541 --> 00:20:30.122]  Great, yeah.
[00:20:30.422 --> 00:20:32.785]  Actually, this time we're in Belize.
[00:20:32.825 --> 00:20:34.726]  We've been in Panama quite a bit lately.
[00:20:35.047 --> 00:20:37.069]  As you can see, Panama is being destabilized.
[00:20:37.509 --> 00:20:40.771]  It's not in the news much, but we have a team down there right now.
[00:20:41.151 --> 00:20:43.212]  They just actually went through the Darien Gap.
[00:20:43.252 --> 00:20:46.014]  They just emerged yesterday morning, survived it.
[00:20:46.314 --> 00:20:50.156]  They came through with some very malicious behaving Syrians.
[00:20:50.556 --> 00:20:54.658]  They came through with a huge number of Chinese, Venezuelans as well.
[00:20:54.938 --> 00:20:58.020]  By the way, many Venezuelans actually are Hespelot.
[00:20:58.040 --> 00:20:59.421]  A lot of people don't realize that.
[00:20:59.841 --> 00:21:05.864]  And they speak Spanish fluently, I mean natively, because many of the Hespelot actually were born in Venezuela.
[00:21:06.297 --> 00:21:10.242]  So they actually can fit right in with the body language and the whole works.
[00:21:10.682 --> 00:21:15.128]  And so we have people from about 140 countries coming through the Darien Gap.
[00:21:15.428 --> 00:21:23.458]  An Imbra Indian friend just messaged me about an hour and a half ago saying that 6,000 aliens came through the Darien Gap yesterday.
[00:21:23.837 --> 00:21:27.382]  So they're sleeping on the streets now in Panama.
[00:21:27.422 --> 00:21:36.997]  They're unable to get the buses through to pick up the migrants or the aliens who come through the Darien Gap, the illegal aliens, because there's huge unrest going on in Panama now.
[00:21:37.357 --> 00:21:38.379]  The streets are blocked.
[00:21:38.945 --> 00:21:47.590]  Not directly related to the to the aliens coming through, but related to Chinese destabilization and World Economic Forum destabilization of Panama.
[00:21:47.890 --> 00:21:49.251]  That's what's actually going on.
[00:21:49.651 --> 00:21:59.516]  Nominally, it's about a about a copper mine contract with a Canadian company, which is actually heavily and openly financed by China.
[00:21:59.997 --> 00:22:01.697]  And so BlackRock and whatnot.
[00:22:01.998 --> 00:22:06.260]  So, I mean, bottom line is Panama is one of the most vital terrains on planet Earth.
[00:22:06.844 --> 00:22:12.145]  And it is being destabilized, just as we've been saying for several years now that it would happen.
[00:22:12.605 --> 00:22:26.289]  And these aliens coming through the Darien Gap, I must have said this on 200 interviews in the last few years, eventually that spigot will be stopped and those aliens coming through will be used to destabilize Panama.
